rank	needScore	rankPreview	rankImg	rewardItems	money	bindRMB	rewardItemsPreview
34	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
35	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
36	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
37	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
38	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
39	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
40	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
41	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
42	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
43	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
44	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
45	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
46	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
47	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
48	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
49	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
50	15000	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]	0	0	[(27568,75),(26450,20),(26344,20),(25763,1)]
51	10000	9	SDJNH_Text51	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
52	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
53	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
54	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
55	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
56	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
57	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
58	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
59	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
60	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
61	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
62	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
63	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
64	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
65	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
66	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
67	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
68	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
69	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
70	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
71	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
72	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
73	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
74	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
75	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
76	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
77	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
78	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
79	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
80	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
81	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
82	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
83	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
84	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
85	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
86	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
87	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
88	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
89	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
90	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
91	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
92	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
93	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
94	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
95	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
96	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
97	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
98	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
99	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
100	10000	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]	0	0	[(27568,50),(26450,10),(26344,10),(25754,1)]
