goodId	rangeId	levelRange	item	des	itemCnt	rateValue	originalUnbindRMB	needUnbindRMB	RMBType	needScore	discountFlag	isLowestPrice
47	5	80,89	(26933,5)	星灵之羽	1	1000	100	60	0	0	SDJNH_6z	0
48	6	90,99	(26933,5)	星灵之羽	1	1000	100	60	0	0	SDJNH_6z	0
49	7	100,119	(26933,5)	星灵之羽	1	1000	100	60	0	0	SDJNH_6z	0
50	8	120,139	(26933,5)	星灵之羽	1	1000	100	60	0	0	SDJNH_6z	0
51	9	140,179	(26933,5)	星灵之羽	1	1000	100	60	0	0	SDJNH_6z	0
52	3	60,64	(26676,1)	时装之魄	1	1000	298	240	0	60	SDJNH_8z	0
53	4	65,79	(26676,1)	时装之魄	1	1000	298	240	0	60	SDJNH_8z	0
54	5	80,89	(26676,1)	时装之魄	1	1000	298	240	0	60	SDJNH_8z	0
55	6	90,99	(26676,1)	时装之魄	1	1000	298	240	0	60	SDJNH_8z	0
56	7	100,119	(26676,1)	时装之魄	1	1000	298	240	0	60	SDJNH_8z	0
57	8	120,139	(26676,1)	时装之魄	1	1000	298	240	0	60	SDJNH_8z	0
58	9	140,179	(26676,1)	时装之魄	1	1000	298	240	0	60	SDJNH_8z	0
59	5	80,89	(26298,5)	圣器附魔石	1	1000	250	200	0	0	SDJNH_8z	0
60	6	90,99	(26298,5)	圣器附魔石	1	1000	250	200	0	0	SDJNH_8z	0
61	7	100,119	(26298,5)	圣器附魔石	1	1000	250	200	0	0	SDJNH_8z	0
62	8	120,139	(26298,5)	圣器附魔石	1	1000	250	200	0	0	SDJNH_8z	0
63	9	140,179	(26298,5)	圣器附魔石	1	1000	250	200	0	0	SDJNH_8z	0
64	5	80,89	(26298,1)	圣器附魔石	1	1000	50	35	0	0	SDJNH_7z	0
65	6	90,99	(26298,1)	圣器附魔石	1	1000	50	35	0	0	SDJNH_7z	0
66	7	100,119	(26298,1)	圣器附魔石	1	1000	50	35	0	0	SDJNH_7z	0
67	8	120,139	(26298,1)	圣器附魔石	1	1000	50	35	0	0	SDJNH_7z	0
68	9	140,179	(26298,1)	圣器附魔石	1	1000	50	35	0	0	SDJNH_7z	0
69	3	60,64	(26936,10)	魂炼之石	1	1000	100	80	0	0	SDJNH_8z	0
70	4	65,79	(26936,10)	魂炼之石	1	1000	100	80	0	0	SDJNH_8z	0
71	5	80,89	(26936,10)	魂炼之石	1	1000	100	80	0	0	SDJNH_8z	0
72	6	90,99	(26936,10)	魂炼之石	1	1000	100	80	0	0	SDJNH_8z	0
73	7	100,119	(26936,10)	魂炼之石	1	1000	100	80	0	0	SDJNH_8z	0
74	8	120,139	(26936,10)	魂炼之石	1	1000	100	80	0	0	SDJNH_8z	0
75	9	140,179	(26936,10)	魂炼之石	1	1000	100	80	0	0	SDJNH_8z	0
76	2	40,59	(26925,5)	生命之源	1	1000	125	88	0	0	SDJNH_7z	0
77	3	60,64	(26925,5)	生命之源	1	1000	125	88	0	0	SDJNH_7z	0
78	4	65,79	(26925,5)	生命之源	1	1000	125	88	0	0	SDJNH_7z	0
79	5	80,89	(26925,5)	生命之源	1	1000	125	88	0	0	SDJNH_7z	0
80	6	90,99	(26925,5)	生命之源	1	1000	125	88	0	0	SDJNH_7z	0
81	7	100,119	(26925,5)	生命之源	1	1000	125	88	0	0	SDJNH_7z	0
82	8	120,139	(26925,5)	生命之源	1	1000	125	88	0	0	SDJNH_7z	0
83	9	140,179	(26925,5)	生命之源	1	1000	125	88	0	0	SDJNH_7z	0
84	2	40,59	(26924,5)	生命结晶	1	1000	125	88	0	0	SDJNH_7z	0
85	3	60,64	(26924,5)	生命结晶	1	1000	125	88	0	0	SDJNH_7z	0
86	4	65,79	(26924,5)	生命结晶	1	1000	125	88	0	0	SDJNH_7z	0
87	5	80,89	(26924,5)	生命结晶	1	1000	125	88	0	0	SDJNH_7z	0
88	6	90,99	(26924,5)	生命结晶	1	1000	125	88	0	0	SDJNH_7z	0
89	7	100,119	(26924,5)	生命结晶	1	1000	125	88	0	0	SDJNH_7z	0
90	8	120,139	(26924,5)	生命结晶	1	1000	125	88	0	0	SDJNH_7z	0
91	9	140,179	(26924,5)	生命结晶	1	1000	125	88	0	0	SDJNH_7z	0
92	5	80,89	(27041,5)	龙脉精华	1	1000	150	120	0	0	SDJNH_8z	0
93	6	90,99	(27041,5)	龙脉精华	1	1000	150	120	0	0	SDJNH_8z	0
94	7	100,119	(27041,5)	龙脉精华	1	1000	150	120	0	0	SDJNH_8z	0
95	8	120,139	(27041,5)	龙脉精华	1	1000	150	120	0	0	SDJNH_8z	0
96	9	140,179	(27041,5)	龙脉精华	1	1000	150	120	0	0	SDJNH_8z	0
97	5	80,89	(27042,5)	龙脉精魄	1	1000	150	120	0	0	SDJNH_8z	0
98	6	90,99	(27042,5)	龙脉精魄	1	1000	150	120	0	0	SDJNH_8z	0
99	7	100,119	(27042,5)	龙脉精魄	1	1000	150	120	0	0	SDJNH_8z	0
100	8	120,139	(27042,5)	龙脉精魄	1	1000	150	120	0	0	SDJNH_8z	0
101	9	140,179	(27042,5)	龙脉精魄	1	1000	150	120	0	0	SDJNH_8z	0
102	1	30,39	(26026,1)	四级宝石礼盒	1	1000	120	58	0	36	SDJNH_5z	0
103	2	40,59	(26026,1)	四级宝石礼盒	1	1000	120	58	0	36	SDJNH_5z	0
104	3	60,64	(26026,1)	四级宝石礼盒	1	1000	120	58	0	36	SDJNH_5z	0
105	4	65,79	(26026,1)	四级宝石礼盒	1	1000	120	58	0	36	SDJNH_5z	0
106	5	80,89	(26026,1)	四级宝石礼盒	1	1000	120	58	0	36	SDJNH_5z	0
107	6	90,99	(26026,1)	四级宝石礼盒	1	1000	120	58	0	36	SDJNH_5z	0
108	7	100,119	(26026,1)	四级宝石礼盒	1	1000	120	58	0	36	SDJNH_5z	0
109	8	120,139	(26026,1)	四级宝石礼盒	1	1000	120	58	0	36	SDJNH_5z	0
110	9	140,179	(26026,1)	四级宝石礼盒	1	1000	120	58	0	36	SDJNH_5z	0
111	3	60,64	(26227,1)	四级符文礼盒	1	1000	120	72	0	36	SDJNH_6z	0
112	4	65,79	(26227,1)	四级符文礼盒	1	1000	120	72	0	36	SDJNH_6z	0
113	5	80,89	(26227,1)	四级符文礼盒	1	1000	120	72	0	36	SDJNH_6z	0
114	6	90,99	(26227,1)	四级符文礼盒	1	1000	120	72	0	36	SDJNH_6z	0
115	7	100,119	(26227,1)	四级符文礼盒	1	1000	120	72	0	36	SDJNH_6z	0
116	8	120,139	(26227,1)	四级符文礼盒	1	1000	120	72	0	36	SDJNH_6z	0
117	9	140,179	(26227,1)	四级符文礼盒	1	1000	120	72	0	36	SDJNH_6z	0
118	1	30,39	(25656,1)	一星召唤令	1	1000	250	50	0	0	SDJNH_2z	0
119	2	40,59	(25657,1)	二星召唤令	1	1000	250	50	0	0	SDJNH_2z	0
120	3	60,64	(25658,1)	三星召唤令	1	1000	250	50	0	0	SDJNH_2z	0
121	4	65,79	(25658,1)	三星召唤令	1	1000	250	50	0	0	SDJNH_2z	0
122	5	80,89	(25659,1)	四星召唤令	1	1000	250	50	0	0	SDJNH_2z	0
123	6	90,99	(25659,1)	四星召唤令	1	1000	250	50	0	0	SDJNH_2z	0
124	7	100,119	(25660,1)	五星召唤令	1	1000	250	50	0	0	SDJNH_2z	0
125	8	120,139	(26525,1)	六星召唤令	1	1000	250	50	0	0	SDJNH_2z	0
126	9	140,179	(27047,1)	七星召唤令	1	1000	250	50	0	0	SDJNH_2z	0
127	1	30,39	(26033,1)	二级宝石礼盒	1	1000	30	6	0	0	SDJNH_2z	0
128	2	40,59	(26033,1)	二级宝石礼盒	1	1000	30	6	0	10	SDJNH_2z	0
129	3	60,64	(26033,1)	二级宝石礼盒	1	1000	30	6	0	10	SDJNH_2z	0
130	4	65,79	(26033,1)	二级宝石礼盒	1	1000	30	6	0	10	SDJNH_2z	0
131	5	80,89	(26033,1)	二级宝石礼盒	1	1000	30	6	0	10	SDJNH_2z	0
132	6	90,99	(26033,1)	二级宝石礼盒	1	1000	30	6	0	10	SDJNH_2z	0
133	7	100,119	(26033,1)	二级宝石礼盒	1	1000	30	6	0	10	SDJNH_2z	0
134	8	120,139	(26033,1)	二级宝石礼盒	1	1000	30	6	0	10	SDJNH_2z	0
135	9	140,179	(26033,1)	二级宝石礼盒	1	1000	30	6	0	10	SDJNH_2z	0
136	3	60,64	(26119,1)	二级符文礼盒	1	1000	30	9	0	10	SDJNH_3z	0
137	4	65,79	(26119,1)	二级符文礼盒	1	1000	30	9	0	10	SDJNH_3z	0
138	5	80,89	(26119,1)	二级符文礼盒	1	1000	30	9	0	10	SDJNH_3z	0
139	6	90,99	(26119,1)	二级符文礼盒	1	1000	30	9	0	10	SDJNH_3z	0
140	7	100,119	(26119,1)	二级符文礼盒	1	1000	30	9	0	10	SDJNH_3z	0
141	8	120,139	(26119,1)	二级符文礼盒	1	1000	30	9	0	10	SDJNH_3z	0
142	9	140,179	(26119,1)	二级符文礼盒	1	1000	30	9	0	10	SDJNH_3z	0
143	2	40,59	(26042,5)	占卜令	1	1000	1000	500	0	0	SDJNH_5z	0
144	3	60,64	(26042,5)	占卜令	1	1000	1000	500	0	0	SDJNH_5z	0
145	2	40,59	(26042,1)	占卜令	1	1000	200	100	0	0	SDJNH_5z	0
146	3	60,64	(26042,1)	占卜令	1	1000	200	100	0	0	SDJNH_5z	0
147	4	65,79	(37011,1)	青衣之恋	1	1000	1000	622	0	200	SDJNH_6z	0
148	5	80,89	(37011,1)	青衣之恋	1	1000	1000	622	0	200	SDJNH_6z	0
149	6	90,99	(37011,1)	青衣之恋	1	1000	1000	622	0	200	SDJNH_6z	0
150	7	100,119	(37011,1)	青衣之恋	1	1000	1000	622	0	200	SDJNH_6z	0
151	8	120,139	(37011,1)	青衣之恋	1	1000	1000	622	0	200	SDJNH_6z	0
152	9	140,179	(37011,1)	青衣之恋	1	1000	1000	622	0	200	SDJNH_6z	0
153	4	65,79	(37013,1)	紫陌倾城	1	1000	1000	622	0	200	SDJNH_6z	0
154	5	80,89	(37013,1)	紫陌倾城	1	1000	1000	622	0	200	SDJNH_6z	0
155	6	90,99	(37013,1)	紫陌倾城	1	1000	1000	622	0	200	SDJNH_6z	0
156	7	100,119	(37013,1)	紫陌倾城	1	1000	1000	622	0	200	SDJNH_6z	0
157	8	120,139	(37013,1)	紫陌倾城	1	1000	1000	622	0	200	SDJNH_6z	0
158	9	140,179	(37013,1)	紫陌倾城	1	1000	1000	622	0	200	SDJNH_6z	0
159	2	40,59	(37018,1)	幽影	1	1000	488	288	0	50	SDJNH_6z	0
160	3	60,64	(37018,1)	幽影	1	1000	488	288	0	50	SDJNH_6z	0
161	4	65,79	(37018,1)	幽影	1	1000	488	288	0	50	SDJNH_6z	0
162	5	80,89	(37018,1)	幽影	1	1000	488	288	0	50	SDJNH_6z	0
163	6	90,99	(37018,1)	幽影	1	1000	488	288	0	50	SDJNH_6z	0
164	7	100,119	(37018,1)	幽影	1	1000	488	288	0	50	SDJNH_6z	0
165	8	120,139	(37018,1)	幽影	1	1000	488	288	0	50	SDJNH_6z	0
166	9	140,179	(37018,1)	幽影	1	1000	488	288	0	50	SDJNH_6z	0
167	2	40,59	(37019,1)	幽灵	1	1000	488	288	0	50	SDJNH_6z	0
168	3	60,64	(37019,1)	幽灵	1	1000	488	288	0	50	SDJNH_6z	0
169	4	65,79	(37019,1)	幽灵	1	1000	488	288	0	50	SDJNH_6z	0
170	5	80,89	(37019,1)	幽灵	1	1000	488	288	0	50	SDJNH_6z	0
171	6	90,99	(37019,1)	幽灵	1	1000	488	288	0	50	SDJNH_6z	0
172	7	100,119	(37019,1)	幽灵	1	1000	488	288	0	50	SDJNH_6z	0
173	8	120,139	(37019,1)	幽灵	1	1000	488	288	0	50	SDJNH_6z	0
174	9	140,179	(37019,1)	幽灵	1	1000	488	288	0	50	SDJNH_6z	0
175	2	40,59	(37020,1)	幽鬼	1	1000	388	238	0	50	SDJNH_6z	0
176	3	60,64	(37020,1)	幽鬼	1	1000	388	238	0	50	SDJNH_6z	0
177	4	65,79	(37020,1)	幽鬼	1	1000	388	238	0	50	SDJNH_6z	0
178	5	80,89	(37020,1)	幽鬼	1	1000	388	238	0	50	SDJNH_6z	0
179	6	90,99	(37020,1)	幽鬼	1	1000	388	238	0	50	SDJNH_6z	0
180	7	100,119	(37020,1)	幽鬼	1	1000	388	238	0	50	SDJNH_6z	0
181	8	120,139	(37020,1)	幽鬼	1	1000	388	238	0	50	SDJNH_6z	0
182	9	140,179	(37020,1)	幽鬼	1	1000	388	238	0	50	SDJNH_6z	0
183	1	30,39	(26226,1)	七级宝石礼盒	1	1000	960	488	0	200	SDJNH_5z	0
184	2	40,59	(26226,1)	七级宝石礼盒	1	1000	960	488	0	200	SDJNH_5z	0
185	3	60,64	(26226,1)	七级宝石礼盒	1	1000	960	488	0	200	SDJNH_5z	0
186	4	65,79	(26226,1)	七级宝石礼盒	1	1000	960	488	0	200	SDJNH_5z	0
187	5	80,89	(26226,1)	七级宝石礼盒	1	1000	960	488	0	200	SDJNH_5z	0
188	6	90,99	(26226,1)	七级宝石礼盒	1	1000	960	488	0	200	SDJNH_5z	0
189	7	100,119	(26226,1)	七级宝石礼盒	1	1000	960	488	0	200	SDJNH_5z	0
190	8	120,139	(26226,1)	七级宝石礼盒	1	1000	960	488	0	200	SDJNH_5z	0
191	9	140,179	(26226,1)	七级宝石礼盒	1	1000	960	488	0	200	SDJNH_5z	0
192	3	60,64	(26230,1)	七级符文礼盒	1	1000	960	576	0	200	SDJNH_6z	0
193	4	65,79	(26230,1)	七级符文礼盒	1	1000	960	576	0	200	SDJNH_6z	0
194	5	80,89	(26230,1)	七级符文礼盒	1	1000	960	576	0	200	SDJNH_6z	0
195	6	90,99	(26230,1)	七级符文礼盒	1	1000	960	576	0	200	SDJNH_6z	0
196	7	100,119	(26230,1)	七级符文礼盒	1	1000	960	576	0	200	SDJNH_6z	0
197	8	120,139	(26230,1)	七级符文礼盒	1	1000	960	576	0	200	SDJNH_6z	0
198	9	140,179	(26230,1)	七级符文礼盒	1	1000	960	576	0	200	SDJNH_6z	0
199	1	30,39	(25793,1)	九级物攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
200	2	40,59	(25793,1)	九级物攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
201	3	60,64	(25793,1)	九级物攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
202	4	65,79	(25793,1)	九级物攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
203	5	80,89	(25793,1)	九级物攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
204	6	90,99	(25793,1)	九级物攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
205	7	100,119	(25793,1)	九级物攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
206	8	120,139	(25793,1)	九级物攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
207	9	140,179	(25793,1)	九级物攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
208	1	30,39	(25794,1)	九级法攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
209	2	40,59	(25794,1)	九级法攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
210	3	60,64	(25794,1)	九级法攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
211	4	65,79	(25794,1)	九级法攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
212	5	80,89	(25794,1)	九级法攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
213	6	90,99	(25794,1)	九级法攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
214	7	100,119	(25794,1)	九级法攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
215	8	120,139	(25794,1)	九级法攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
216	9	140,179	(25794,1)	九级法攻宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
217	3	60,64	(25798,1)	九级免暴宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
218	4	65,79	(25798,1)	九级免暴宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
219	5	80,89	(25798,1)	九级免暴宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
220	6	90,99	(25798,1)	九级免暴宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
221	7	100,119	(25798,1)	九级免暴宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
222	8	120,139	(25798,1)	九级免暴宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
223	9	140,179	(25798,1)	九级免暴宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
224	3	60,64	(25950,1)	九级信仰符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
225	4	65,79	(25950,1)	九级信仰符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
226	5	80,89	(25950,1)	九级信仰符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
227	6	90,99	(25950,1)	九级信仰符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
228	7	100,119	(25950,1)	九级信仰符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
229	8	120,139	(25950,1)	九级信仰符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
230	9	140,179	(25950,1)	九级信仰符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
231	3	60,64	(25797,1)	九级暴击宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
232	4	65,79	(25797,1)	九级暴击宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
233	5	80,89	(25797,1)	九级暴击宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
234	6	90,99	(25797,1)	九级暴击宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
235	7	100,119	(25797,1)	九级暴击宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
236	8	120,139	(25797,1)	九级暴击宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
237	9	140,179	(25797,1)	九级暴击宝石	1	1000	3840	2688	0	1000	SDJNH_7z	0
238	3	60,64	(25948,1)	九级英勇符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
239	4	65,79	(25948,1)	九级英勇符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
240	5	80,89	(25948,1)	九级英勇符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
241	6	90,99	(25948,1)	九级英勇符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
242	7	100,119	(25948,1)	九级英勇符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
243	8	120,139	(25948,1)	九级英勇符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
244	9	140,179	(25948,1)	九级英勇符文	1	1000	3840	3072	0	1000	SDJNH_8z	0
245	7	100,119	(27587,10)	装备洗练石	1	1000	100	80	0	0	SDJNH_8z	0
246	8	120,139	(27587,10)	装备洗练石	1	1000	100	80	0	0	SDJNH_8z	0
247	9	140,179	(27587,10)	装备洗练石	1	1000	100	80	0	0	SDJNH_8z	0
248	7	100,119	(27587,1)	装备洗练石	1	1000	10	8	0	0	SDJNH_8z	0
249	8	120,139	(27587,1)	装备洗练石	1	1000	10	8	0	0	SDJNH_8z	0
250	9	140,179	(27587,1)	装备洗练石	1	1000	10	8	0	0	SDJNH_8z	0
251	6	90,99	(27570,10)	时装水晶石	1	1000	100	80	0	20	SDJNH_8z	0
252	7	100,119	(27570,10)	时装水晶石	1	1000	100	80	0	20	SDJNH_8z	0
253	8	120,139	(27570,10)	时装水晶石	1	1000	100	80	0	20	SDJNH_8z	0
254	9	140,179	(27570,10)	时装水晶石	1	1000	100	80	0	20	SDJNH_8z	0
255	6	90,99	(27570,1)	时装水晶石	1	1000	10	8	0	0	SDJNH_8z	0
256	7	100,119	(27570,1)	时装水晶石	1	1000	10	8	0	0	SDJNH_8z	0
257	8	120,139	(27570,1)	时装水晶石	1	1000	10	8	0	0	SDJNH_8z	0
258	9	140,179	(27570,1)	时装水晶石	1	1000	10	8	0	0	SDJNH_8z	0
259	1	30,39	(26450,5)	许愿币	1	1000	100	40	1	40	SDJNH_4z	1
260	2	40,59	(26450,5)	许愿币	1	1000	100	40	1	40	SDJNH_4z	1
261	3	60,64	(26450,5)	许愿币	1	1000	100	40	1	40	SDJNH_4z	1
262	4	65,79	(26450,5)	许愿币	1	1000	100	40	1	40	SDJNH_4z	1
263	5	80,89	(26450,5)	许愿币	1	1000	100	40	1	40	SDJNH_4z	1
264	6	90,99	(26450,5)	许愿币	1	1000	100	40	1	40	SDJNH_4z	1
265	7	100,119	(26450,5)	许愿币	1	1000	100	40	1	40	SDJNH_4z	1
266	8	120,139	(26450,5)	许愿币	1	1000	100	40	1	40	SDJNH_4z	1
267	9	140,179	(26450,5)	许愿币	1	1000	100	40	1	40	SDJNH_4z	1
268	3	60,64	(26144,10)	宠物圣果	1	1000	100	40	1	40	SDJNH_4z	1
269	4	65,79	(26144,10)	宠物圣果	1	1000	100	40	1	40	SDJNH_4z	1
270	5	80,89	(26144,10)	宠物圣果	1	1000	100	40	1	40	SDJNH_4z	1
271	6	90,99	(26144,10)	宠物圣果	1	1000	100	40	1	40	SDJNH_4z	1
272	7	100,119	(26144,10)	宠物圣果	1	1000	100	40	1	40	SDJNH_4z	1
273	8	120,139	(26144,10)	宠物圣果	1	1000	100	40	1	40	SDJNH_4z	1
274	9	140,179	(26144,10)	宠物圣果	1	1000	100	40	1	40	SDJNH_4z	1
275	5	80,89	(26677,5)	时装精华	1	1000	100	40	1	40	SDJNH_4z	1
276	6	90,99	(26677,5)	时装精华	1	1000	100	40	1	40	SDJNH_4z	1
277	7	100,119	(26677,5)	时装精华	1	1000	100	40	1	40	SDJNH_4z	1
278	8	120,139	(26677,5)	时装精华	1	1000	100	40	1	40	SDJNH_4z	1
279	9	140,179	(26677,5)	时装精华	1	1000	100	40	1	40	SDJNH_4z	1
280	3	60,64	(26934,5)	星灵水晶	1	1000	100	50	1	50	SDJNH_5z	1
281	4	65,79	(26934,5)	星灵水晶	1	1000	100	50	1	50	SDJNH_5z	1
282	5	80,89	(26934,5)	星灵水晶	1	1000	100	50	1	50	SDJNH_5z	1
283	6	90,99	(26934,5)	星灵水晶	1	1000	100	50	1	50	SDJNH_5z	1
284	7	100,119	(26934,5)	星灵水晶	1	1000	100	50	1	50	SDJNH_5z	1
285	8	120,139	(26934,5)	星灵水晶	1	1000	100	50	1	50	SDJNH_5z	1
286	9	140,179	(26934,5)	星灵水晶	1	1000	100	50	1	50	SDJNH_5z	1
287	3	60,64	(26933,5)	星灵之羽	1	1000	100	40	1	40	SDJNH_4z	1
288	4	65,79	(26933,5)	星灵之羽	1	1000	100	40	1	40	SDJNH_4z	1
289	5	80,89	(26933,5)	星灵之羽	1	1000	100	40	1	40	SDJNH_4z	1
290	6	90,99	(26933,5)	星灵之羽	1	1000	100	40	1	40	SDJNH_4z	1
291	7	100,119	(26933,5)	星灵之羽	1	1000	100	40	1	40	SDJNH_4z	1
292	8	120,139	(26933,5)	星灵之羽	1	1000	100	40	1	40	SDJNH_4z	1
293	9	140,179	(26933,5)	星灵之羽	1	1000	100	40	1	40	SDJNH_4z	1
294	3	60,64	(26676,1)	时装之魄	1	1000	298	120	1	300	SDJNH_4z	1
