cardId	level	starNum	cardNum
18	4	(26341,400)	[(18,1)]
18	5	(26341,800)	[(18,1)]
19	2	(26341,100)	
19	3	(26341,200)	
19	4	(26341,400)	[(19,1)]
19	5	(26341,800)	[(19,1)]
20	2	(26341,100)	
20	3	(26341,200)	
20	4	(26341,400)	[(20,1)]
20	5	(26341,800)	[(20,1)]
101	2	(26341,100)	
101	3	(26341,200)	
101	4	(26341,400)	[(1,1)]
101	5	(26341,800)	[(1,1)]
101	6	(26341,1200)	[(1,2)]
101	7	(26341,1600)	[(1,3)]
101	8	(26341,2000)	[(1,4),(101,1)]
101	9	(26341,2500)	[(1,5),(101,2)]
101	10	(26341,3000)	[(1,6),(101,3)]
102	2	(26341,100)	
102	3	(26341,200)	
102	4	(26341,400)	[(2,1)]
102	5	(26341,800)	[(2,1)]
102	6	(26341,1200)	[(2,2)]
102	7	(26341,1600)	[(2,3)]
102	8	(26341,2000)	[(2,4),(102,1)]
102	9	(26341,2500)	[(2,5),(102,2)]
102	10	(26341,3000)	[(2,6),(102,3)]
103	2	(26341,100)	
103	3	(26341,200)	
103	4	(26341,400)	[(3,1)]
103	5	(26341,800)	[(3,1)]
103	6	(26341,1200)	[(3,2)]
103	7	(26341,1600)	[(3,3)]
103	8	(26341,2000)	[(3,4),(103,1)]
103	9	(26341,2500)	[(3,5),(103,2)]
103	10	(26341,3000)	[(3,6),(103,3)]
104	2	(26341,100)	
104	3	(26341,200)	
104	4	(26341,400)	[(4,1)]
104	5	(26341,800)	[(4,1)]
104	6	(26341,1200)	[(4,2)]
104	7	(26341,1600)	[(4,3)]
104	8	(26341,2000)	[(4,4),(104,1)]
104	9	(26341,2500)	[(4,5),(104,2)]
104	10	(26341,3000)	[(4,6),(104,3)]
105	2	(26341,100)	
105	3	(26341,200)	
105	4	(26341,400)	[(5,1)]
105	5	(26341,800)	[(5,1)]
105	6	(26341,1200)	[(5,2)]
105	7	(26341,1600)	[(5,3)]
105	8	(26341,2000)	[(5,4),(105,1)]
105	9	(26341,2500)	[(5,5),(105,2)]
105	10	(26341,3000)	[(5,6),(105,3)]
106	2	(26341,100)	
106	3	(26341,200)	
106	4	(26341,400)	[(6,1)]
106	5	(26341,800)	[(6,1)]
106	6	(26341,1200)	[(6,2)]
106	7	(26341,1600)	[(6,3)]
106	8	(26341,2000)	[(6,4),(106,1)]
106	9	(26341,2500)	[(6,5),(106,2)]
106	10	(26341,3000)	[(6,6),(106,3)]
107	2	(26341,100)	
107	3	(26341,200)	
107	4	(26341,400)	[(7,1)]
107	5	(26341,800)	[(7,1)]
107	6	(26341,1200)	[(7,2)]
107	7	(26341,1600)	[(7,3)]
107	8	(26341,2000)	[(7,4),(107,1)]
107	9	(26341,2500)	[(7,5),(107,2)]
107	10	(26341,3000)	[(7,6),(107,3)]
108	2	(26341,100)	
108	3	(26341,200)	
108	4	(26341,400)	[(8,1)]
108	5	(26341,800)	[(8,1)]
108	6	(26341,1200)	[(8,2)]
108	7	(26341,1600)	[(8,3)]
108	8	(26341,2000)	[(8,4),(108,1)]
108	9	(26341,2500)	[(8,5),(108,2)]
108	10	(26341,3000)	[(8,6),(108,3)]
109	2	(26341,100)	
109	3	(26341,200)	
109	4	(26341,400)	[(9,1)]
109	5	(26341,800)	[(9,1)]
109	6	(26341,1200)	[(9,2)]
109	7	(26341,1600)	[(9,3)]
109	8	(26341,2000)	[(9,4),(109,1)]
109	9	(26341,2500)	[(9,5),(109,2)]
109	10	(26341,3000)	[(9,6),(109,3)]
110	2	(26341,100)	
110	3	(26341,200)	
110	4	(26341,400)	[(10,1)]
110	5	(26341,800)	[(10,1)]
110	6	(26341,1200)	[(10,2)]
110	7	(26341,1600)	[(10,3)]
110	8	(26341,2000)	[(10,4),(110,1)]
110	9	(26341,2500)	[(10,5),(110,2)]
110	10	(26341,3000)	[(10,6),(110,3)]
111	2	(26341,100)	
111	3	(26341,200)	
111	4	(26341,400)	[(11,1)]
111	5	(26341,800)	[(11,1)]
111	6	(26341,1200)	[(11,2)]
111	7	(26341,1600)	[(11,3)]
111	8	(26341,2000)	[(11,4),(111,1)]
111	9	(26341,2500)	[(11,5),(111,2)]
111	10	(26341,3000)	[(11,6),(111,3)]
112	2	(26341,100)	
112	3	(26341,200)	
112	4	(26341,400)	[(12,1)]
112	5	(26341,800)	[(12,1)]
112	6	(26341,1200)	[(12,2)]
112	7	(26341,1600)	[(12,3)]
112	8	(26341,2000)	[(12,4),(112,1)]
112	9	(26341,2500)	[(12,5),(112,2)]
112	10	(26341,3000)	[(12,6),(112,3)]
113	2	(26341,100)	
113	3	(26341,200)	
113	4	(26341,400)	[(13,1)]
113	5	(26341,800)	[(13,1)]
113	6	(26341,1200)	[(13,2)]
113	7	(26341,1600)	[(13,3)]
113	8	(26341,2000)	[(13,4),(113,1)]
113	9	(26341,2500)	[(13,5),(113,2)]
113	10	(26341,3000)	[(13,6),(113,3)]
114	2	(26341,100)	
114	3	(26341,200)	
114	4	(26341,400)	[(14,1)]
114	5	(26341,800)	[(14,1)]
114	6	(26341,1200)	[(14,2)]
114	7	(26341,1600)	[(14,3)]
114	8	(26341,2000)	[(14,4),(114,1)]
114	9	(26341,2500)	[(14,5),(114,2)]
114	10	(26341,3000)	[(14,6),(114,3)]
115	2	(26341,100)	
115	3	(26341,200)	
115	4	(26341,400)	[(15,1)]
115	5	(26341,800)	[(15,1)]
115	6	(26341,1200)	[(15,2)]
115	7	(26341,1600)	[(15,3)]
115	8	(26341,2000)	[(15,4),(115,1)]
115	9	(26341,2500)	[(15,5),(115,2)]
115	10	(26341,3000)	[(15,6),(115,3)]
116	2	(26341,100)	
116	3	(26341,200)	
116	4	(26341,400)	[(16,1)]
116	5	(26341,800)	[(16,1)]
116	6	(26341,1200)	[(16,2)]
116	7	(26341,1600)	[(16,3)]
116	8	(26341,2000)	[(16,4),(116,1)]
116	9	(26341,2500)	[(16,5),(116,2)]
116	10	(26341,3000)	[(16,6),(116,3)]
117	2	(26341,100)	
117	3	(26341,200)	
117	4	(26341,400)	[(17,1)]
117	5	(26341,800)	[(17,1)]
117	6	(26341,1200)	[(17,2)]
117	7	(26341,1600)	[(17,3)]
117	8	(26341,2000)	[(17,4),(117,1)]
117	9	(26341,2500)	[(17,5),(117,2)]
117	10	(26341,3000)	[(17,6),(117,3)]
118	2	(26341,100)	
118	3	(26341,200)	
118	4	(26341,400)	[(18,1)]
118	5	(26341,800)	[(18,1)]
118	6	(26341,1200)	[(18,2)]
118	7	(26341,1600)	[(18,3)]
118	8	(26341,2000)	[(18,4),(118,1)]
118	9	(26341,2500)	[(18,5),(118,2)]
118	10	(26341,3000)	[(18,6),(118,3)]
119	2	(26341,100)	
119	3	(26341,200)	
119	4	(26341,400)	[(19,1)]
119	5	(26341,800)	[(19,1)]
119	6	(26341,1200)	[(19,2)]
119	7	(26341,1600)	[(19,3)]
119	8	(26341,2000)	[(19,4),(119,1)]
119	9	(26341,2500)	[(19,5),(119,2)]
119	10	(26341,3000)	[(19,6),(119,3)]
120	2	(26341,100)	
120	3	(26341,200)	
120	4	(26341,400)	[(20,1)]
120	5	(26341,800)	[(20,1)]
120	6	(26341,1200)	[(20,2)]
120	7	(26341,1600)	[(20,3)]
120	8	(26341,2000)	[(20,4),(120,1)]
120	9	(26341,2500)	[(20,5),(120,2)]
120	10	(26341,3000)	[(20,6),(120,3)]
