cardId	cardLevel	UnbindRMB	backstar	backcard
19	2	20	(26341,100)	[(19,1)]
19	3	30	(26341,300)	[(19,1)]
19	4	40	(26341,700)	[(19,2)]
19	5	50	(26341,1500)	[(19,3)]
20	1	0	(26341,300)	
20	2	20	(26341,100)	[(20,1)]
20	3	30	(26341,300)	[(20,1)]
20	4	40	(26341,700)	[(20,2)]
20	5	50	(26341,1500)	[(20,3)]
101	1	0	(26341,1000)	
101	2	20	(26341,100)	[(101,1)]
101	3	30	(26341,300)	[(101,1)]
101	4	40	(26341,700)	[(1,1),(101,1)]
101	5	50	(26341,1500)	[(1,2),(101,1)]
101	6	60	(26341,2700)	[(1,4),(101,1)]
101	7	70	(26341,4300)	[(1,7),(101,1)]
101	8	80	(26341,6300)	[(1,11),(101,2)]
101	9	90	(26341,8800)	[(1,16),(101,4)]
101	10	100	(26341,11800)	[(1,22),(101,7)]
102	1	0	(26341,1000)	
102	2	20	(26341,100)	[(102,1)]
102	3	30	(26341,300)	[(102,1)]
102	4	40	(26341,700)	[(2,1),(102,1)]
102	5	50	(26341,1500)	[(2,2),(102,1)]
102	6	60	(26341,2700)	[(2,4),(102,1)]
102	7	70	(26341,4300)	[(2,7),(102,1)]
102	8	80	(26341,6300)	[(2,11),(102,2)]
102	9	90	(26341,8800)	[(2,16),(102,4)]
102	10	100	(26341,11800)	[(2,22),(102,7)]
103	1	0	(26341,1000)	
103	2	20	(26341,100)	[(103,1)]
103	3	30	(26341,300)	[(103,1)]
103	4	40	(26341,700)	[(3,1),(103,1)]
103	5	50	(26341,1500)	[(3,2),(103,1)]
103	6	60	(26341,2700)	[(3,4),(103,1)]
103	7	70	(26341,4300)	[(3,7),(103,1)]
103	8	80	(26341,6300)	[(3,11),(103,2)]
103	9	90	(26341,8800)	[(3,16),(103,4)]
103	10	100	(26341,11800)	[(3,22),(103,7)]
104	1	0	(26341,1000)	
104	2	20	(26341,100)	[(104,1)]
104	3	30	(26341,300)	[(104,1)]
104	4	40	(26341,700)	[(4,1),(104,1)]
104	5	50	(26341,1500)	[(4,2),(104,1)]
104	6	60	(26341,2700)	[(4,4),(104,1)]
104	7	70	(26341,4300)	[(4,7),(104,1)]
104	8	80	(26341,6300)	[(4,11),(104,2)]
104	9	90	(26341,8800)	[(4,16),(104,4)]
104	10	100	(26341,11800)	[(4,22),(104,7)]
105	1	0	(26341,1000)	
105	2	20	(26341,100)	[(105,1)]
105	3	30	(26341,300)	[(105,1)]
105	4	40	(26341,700)	[(5,1),(105,1)]
105	5	50	(26341,1500)	[(5,2),(105,1)]
105	6	60	(26341,2700)	[(5,4),(105,1)]
105	7	70	(26341,4300)	[(5,7),(105,1)]
105	8	80	(26341,6300)	[(5,11),(105,2)]
105	9	90	(26341,8800)	[(5,16),(105,4)]
105	10	100	(26341,11800)	[(5,22),(105,7)]
106	1	0	(26341,1000)	
106	2	20	(26341,100)	[(106,1)]
106	3	30	(26341,300)	[(106,1)]
106	4	40	(26341,700)	[(6,1),(106,1)]
106	5	50	(26341,1500)	[(6,2),(106,1)]
106	6	60	(26341,2700)	[(6,4),(106,1)]
106	7	70	(26341,4300)	[(6,7),(106,1)]
106	8	80	(26341,6300)	[(6,11),(106,2)]
106	9	90	(26341,8800)	[(6,16),(106,4)]
106	10	100	(26341,11800)	[(6,22),(106,7)]
107	1	0	(26341,1000)	
107	2	20	(26341,100)	[(107,1)]
107	3	30	(26341,300)	[(107,1)]
107	4	40	(26341,700)	[(7,1),(107,1)]
107	5	50	(26341,1500)	[(7,2),(107,1)]
107	6	60	(26341,2700)	[(7,4),(107,1)]
107	7	70	(26341,4300)	[(7,7),(107,1)]
107	8	80	(26341,6300)	[(7,11),(107,2)]
107	9	90	(26341,8800)	[(7,16),(107,4)]
107	10	100	(26341,11800)	[(7,22),(107,7)]
108	1	0	(26341,1000)	
108	2	20	(26341,100)	[(108,1)]
108	3	30	(26341,300)	[(108,1)]
108	4	40	(26341,700)	[(8,1),(108,1)]
108	5	50	(26341,1500)	[(8,2),(108,1)]
108	6	60	(26341,2700)	[(8,4),(108,1)]
108	7	70	(26341,4300)	[(8,7),(108,1)]
108	8	80	(26341,6300)	[(8,11),(108,2)]
108	9	90	(26341,8800)	[(8,16),(108,4)]
108	10	100	(26341,11800)	[(8,22),(108,7)]
109	1	0	(26341,1000)	
109	2	20	(26341,100)	[(109,1)]
109	3	30	(26341,300)	[(109,1)]
109	4	40	(26341,700)	[(9,1),(109,1)]
109	5	50	(26341,1500)	[(9,2),(109,1)]
109	6	60	(26341,2700)	[(9,4),(109,1)]
109	7	70	(26341,4300)	[(9,7),(109,1)]
109	8	80	(26341,6300)	[(9,11),(109,2)]
109	9	90	(26341,8800)	[(9,16),(109,4)]
109	10	100	(26341,11800)	[(9,22),(109,7)]
110	1	0	(26341,1000)	
110	2	20	(26341,100)	[(110,1)]
110	3	30	(26341,300)	[(110,1)]
110	4	40	(26341,700)	[(10,1),(110,1)]
110	5	50	(26341,1500)	[(10,2),(110,1)]
110	6	60	(26341,2700)	[(10,4),(110,1)]
110	7	70	(26341,4300)	[(10,7),(110,1)]
110	8	80	(26341,6300)	[(10,11),(110,2)]
110	9	90	(26341,8800)	[(10,16),(110,4)]
110	10	100	(26341,11800)	[(10,22),(110,7)]
111	1	0	(26341,1000)	
111	2	20	(26341,100)	[(111,1)]
111	3	30	(26341,300)	[(111,1)]
111	4	40	(26341,700)	[(11,1),(111,1)]
111	5	50	(26341,1500)	[(11,2),(111,1)]
111	6	60	(26341,2700)	[(11,4),(111,1)]
111	7	70	(26341,4300)	[(11,7),(111,1)]
111	8	80	(26341,6300)	[(11,11),(111,2)]
111	9	90	(26341,8800)	[(11,16),(111,4)]
111	10	100	(26341,11800)	[(11,22),(111,7)]
112	1	0	(26341,1000)	
112	2	20	(26341,100)	[(112,1)]
112	3	30	(26341,300)	[(112,1)]
112	4	40	(26341,700)	[(12,1),(112,1)]
112	5	50	(26341,1500)	[(12,2),(112,1)]
112	6	60	(26341,2700)	[(12,4),(112,1)]
112	7	70	(26341,4300)	[(12,7),(112,1)]
112	8	80	(26341,6300)	[(12,11),(112,2)]
112	9	90	(26341,8800)	[(12,16),(112,4)]
112	10	100	(26341,11800)	[(12,22),(112,7)]
113	1	0	(26341,1000)	
113	2	20	(26341,100)	[(113,1)]
113	3	30	(26341,300)	[(113,1)]
113	4	40	(26341,700)	[(13,1),(113,1)]
113	5	50	(26341,1500)	[(13,2),(113,1)]
113	6	60	(26341,2700)	[(13,4),(113,1)]
113	7	70	(26341,4300)	[(13,7),(113,1)]
113	8	80	(26341,6300)	[(13,11),(113,2)]
113	9	90	(26341,8800)	[(13,16),(113,4)]
113	10	100	(26341,11800)	[(13,22),(113,7)]
114	1	0	(26341,1000)	
114	2	20	(26341,100)	[(114,1)]
114	3	30	(26341,300)	[(114,1)]
114	4	40	(26341,700)	[(14,1),(114,1)]
114	5	50	(26341,1500)	[(14,2),(114,1)]
114	6	60	(26341,2700)	[(14,4),(114,1)]
114	7	70	(26341,4300)	[(14,7),(114,1)]
114	8	80	(26341,6300)	[(14,11),(114,2)]
114	9	90	(26341,8800)	[(14,16),(114,4)]
114	10	100	(26341,11800)	[(14,22),(114,7)]
115	1	0	(26341,1000)	
115	2	20	(26341,100)	[(115,1)]
115	3	30	(26341,300)	[(115,1)]
115	4	40	(26341,700)	[(15,1),(115,1)]
115	5	50	(26341,1500)	[(15,2),(115,1)]
115	6	60	(26341,2700)	[(15,4),(115,1)]
115	7	70	(26341,4300)	[(15,7),(115,1)]
115	8	80	(26341,6300)	[(15,11),(115,2)]
115	9	90	(26341,8800)	[(15,16),(115,4)]
115	10	100	(26341,11800)	[(15,22),(115,7)]
116	1	0	(26341,1000)	
116	2	20	(26341,100)	[(116,1)]
116	3	30	(26341,300)	[(116,1)]
116	4	40	(26341,700)	[(16,1),(116,1)]
116	5	50	(26341,1500)	[(16,2),(116,1)]
116	6	60	(26341,2700)	[(16,4),(116,1)]
116	7	70	(26341,4300)	[(16,7),(116,1)]
116	8	80	(26341,6300)	[(16,11),(116,2)]
116	9	90	(26341,8800)	[(16,16),(116,4)]
116	10	100	(26341,11800)	[(16,22),(116,7)]
117	1	0	(26341,1000)	
117	2	20	(26341,100)	[(117,1)]
117	3	30	(26341,300)	[(117,1)]
117	4	40	(26341,700)	[(17,1),(117,1)]
117	5	50	(26341,1500)	[(17,2),(117,1)]
117	6	60	(26341,2700)	[(17,4),(117,1)]
117	7	70	(26341,4300)	[(17,7),(117,1)]
117	8	80	(26341,6300)	[(17,11),(117,2)]
117	9	90	(26341,8800)	[(17,16),(117,4)]
117	10	100	(26341,11800)	[(17,22),(117,7)]
118	1	0	(26341,1000)	
118	2	20	(26341,100)	[(118,1)]
118	3	30	(26341,300)	[(118,1)]
118	4	40	(26341,700)	[(18,1),(118,1)]
118	5	50	(26341,1500)	[(18,2),(118,1)]
118	6	60	(26341,2700)	[(18,4),(118,1)]
118	7	70	(26341,4300)	[(18,7),(118,1)]
118	8	80	(26341,6300)	[(18,11),(118,2)]
118	9	90	(26341,8800)	[(18,16),(118,4)]
118	10	100	(26341,11800)	[(18,22),(118,7)]
119	1	0	(26341,1000)	
119	2	20	(26341,100)	[(119,1)]
119	3	30	(26341,300)	[(119,1)]
119	4	40	(26341,700)	[(19,1),(119,1)]
119	5	50	(26341,1500)	[(19,2),(119,1)]
119	6	60	(26341,2700)	[(19,4),(119,1)]
119	7	70	(26341,4300)	[(19,7),(119,1)]
119	8	80	(26341,6300)	[(19,11),(119,2)]
119	9	90	(26341,8800)	[(19,16),(119,4)]
119	10	100	(26341,11800)	[(19,22),(119,7)]
120	1	0	(26341,1000)	
120	2	20	(26341,100)	[(120,1)]
120	3	30	(26341,300)	[(120,1)]
120	4	40	(26341,700)	[(20,1),(120,1)]
120	5	50	(26341,1500)	[(20,2),(120,1)]
120	6	60	(26341,2700)	[(20,4),(120,1)]
120	7	70	(26341,4300)	[(20,7),(120,1)]
120	8	80	(26341,6300)	[(20,11),(120,2)]
120	9	90	(26341,8800)	[(20,16),(120,4)]
120	10	100	(26341,11800)	[(20,22),(120,7)]
201	1	0	(26341,2000)	
201	2	20	(26341,100)	[(201,1)]
201	3	30	(26341,300)	[(1,1),(201,1)]
201	4	40	(26341,700)	[(1,2),(201,1)]
201	5	50	(26341,1500)	[(1,3),(201,1)]
201	6	60	(26341,2700)	[(1,5),(201,1)]
201	7	70	(26341,4300)	[(1,7),(101,1),(201,1)]
201	8	80	(26341,6300)	[(1,10),(101,2),(201,1)]
201	9	90	(26341,8800)	[(1,14),(101,4),(201,2)]
201	10	100	(26341,11800)	[(1,19),(101,6),(201,3)]
201	11	110	(26341,15400)	[(1,25),(101,9),(201,4)]
201	12	120	(26341,19600)	[(1,32),(101,12),(201,5)]
201	13	130	(26341,24500)	[(1,40),(101,15),(201,6)]
201	14	140	(26341,30100)	[(1,49),(101,18),(201,7)]
201	15	150	(26341,36500)	[(1,59),(101,21),(201,9)]
202	1	0	(26341,2000)	
202	2	20	(26341,100)	[(202,1)]
202	3	30	(26341,300)	[(2,1),(202,1)]
202	4	40	(26341,700)	[(2,2),(202,1)]
202	5	50	(26341,1500)	[(2,3),(202,1)]
202	6	60	(26341,2700)	[(2,5),(202,1)]
202	7	70	(26341,4300)	[(2,7),(102,1),(202,1)]
202	8	80	(26341,6300)	[(2,10),(102,2),(202,1)]
202	9	90	(26341,8800)	[(2,14),(102,4),(202,2)]
202	10	100	(26341,11800)	[(2,19),(102,6),(202,3)]
202	11	110	(26341,15400)	[(2,25),(102,9),(202,4)]
202	12	120	(26341,19600)	[(2,32),(102,12),(202,5)]
202	13	130	(26341,24500)	[(2,40),(102,15),(202,6)]
202	14	140	(26341,30100)	[(2,49),(102,18),(202,7)]
202	15	150	(26341,36500)	[(2,59),(102,21),(202,9)]
203	1	0	(26341,2000)	
203	2	20	(26341,100)	[(203,1)]
203	3	30	(26341,300)	[(3,1),(203,1)]
203	4	40	(26341,700)	[(3,2),(203,1)]
203	5	50	(26341,1500)	[(3,3),(203,1)]
203	6	60	(26341,2700)	[(3,5),(203,1)]
203	7	70	(26341,4300)	[(3,7),(103,1),(203,1)]
203	8	80	(26341,6300)	[(3,10),(103,2),(203,1)]
203	9	90	(26341,8800)	[(3,14),(103,4),(203,2)]
203	10	100	(26341,11800)	[(3,19),(103,6),(203,3)]
203	11	110	(26341,15400)	[(3,25),(103,9),(203,4)]
203	12	120	(26341,19600)	[(3,32),(103,12),(203,5)]
203	13	130	(26341,24500)	[(3,40),(103,15),(203,6)]
203	14	140	(26341,30100)	[(3,49),(103,18),(203,7)]
203	15	150	(26341,36500)	[(3,59),(103,21),(203,9)]
205	1	0	(26341,2000)	
205	2	20	(26341,100)	[(205,1)]
205	3	30	(26341,300)	[(5,1),(205,1)]
205	4	40	(26341,700)	[(5,2),(205,1)]
205	5	50	(26341,1500)	[(5,3),(205,1)]
205	6	60	(26341,2700)	[(5,5),(205,1)]
205	7	70	(26341,4300)	[(5,7),(105,1),(205,1)]
205	8	80	(26341,6300)	[(5,10),(105,2),(205,1)]
205	9	90	(26341,8800)	[(5,14),(105,4),(205,2)]
205	10	100	(26341,11800)	[(5,19),(105,6),(205,3)]
205	11	110	(26341,15400)	[(5,25),(105,9),(205,4)]
205	12	120	(26341,19600)	[(5,32),(105,12),(205,5)]
205	13	130	(26341,24500)	[(5,40),(105,15),(205,6)]
205	14	140	(26341,30100)	[(5,49),(105,18),(205,7)]
205	15	150	(26341,36500)	[(5,59),(105,21),(205,9)]
206	1	0	(26341,2000)	
206	2	20	(26341,100)	[(206,1)]
206	3	30	(26341,300)	[(6,1),(206,1)]
206	4	40	(26341,700)	[(6,2),(206,1)]
206	5	50	(26341,1500)	[(6,3),(206,1)]
206	6	60	(26341,2700)	[(6,5),(206,1)]
206	7	70	(26341,4300)	[(6,7),(106,1),(206,1)]
206	8	80	(26341,6300)	[(6,10),(106,2),(206,1)]
206	9	90	(26341,8800)	[(6,14),(106,4),(206,2)]
206	10	100	(26341,11800)	[(6,19),(106,6),(206,3)]
206	11	110	(26341,15400)	[(6,25),(106,9),(206,4)]
206	12	120	(26341,19600)	[(6,32),(106,12),(206,5)]
206	13	130	(26341,24500)	[(6,40),(106,15),(206,6)]
206	14	140	(26341,30100)	[(6,49),(106,18),(206,7)]
206	15	150	(26341,36500)	[(6,59),(106,21),(206,9)]
213	1	0	(26341,2000)	
213	2	20	(26341,100)	[(213,1)]
213	3	30	(26341,300)	[(13,1),(213,1)]
213	4	40	(26341,700)	[(13,2),(213,1)]
213	5	50	(26341,1500)	[(13,3),(213,1)]
213	6	60	(26341,2700)	[(13,5),(213,1)]
213	7	70	(26341,4300)	[(13,7),(113,1),(213,1)]
213	8	80	(26341,6300)	[(13,10),(113,2),(213,1)]
213	9	90	(26341,8800)	[(13,14),(113,4),(213,2)]
213	10	100	(26341,11800)	[(13,19),(113,6),(213,3)]
213	11	110	(26341,15400)	[(13,25),(113,9),(213,4)]
213	12	120	(26341,19600)	[(13,32),(113,12),(213,5)]
213	13	130	(26341,24500)	[(13,40),(113,15),(213,6)]
213	14	140	(26341,30100)	[(13,49),(113,18),(213,7)]
213	15	150	(26341,36500)	[(13,59),(113,21),(213,9)]
216	1	0	(26341,2000)	
216	2	20	(26341,100)	[(216,1)]
216	3	30	(26341,300)	[(16,1),(216,1)]
216	4	40	(26341,700)	[(16,2),(216,1)]
216	5	50	(26341,1500)	[(16,3),(216,1)]
216	6	60	(26341,2700)	[(16,5),(216,1)]
216	7	70	(26341,4300)	[(16,7),(116,1),(216,1)]
216	8	80	(26341,6300)	[(16,10),(116,2),(216,1)]
216	9	90	(26341,8800)	[(16,14),(116,4),(216,2)]
216	10	100	(26341,11800)	[(16,19),(116,6),(216,3)]
216	11	110	(26341,15400)	[(16,25),(116,9),(216,4)]
216	12	120	(26341,19600)	[(16,32),(116,12),(216,5)]
216	13	130	(26341,24500)	[(16,40),(116,15),(216,6)]
216	14	140	(26341,30100)	[(16,49),(116,18),(216,7)]
216	15	150	(26341,36500)	[(16,59),(116,21),(216,9)]
220	1	0	(26341,2000)	
220	2	20	(26341,100)	[(220,1)]
220	3	30	(26341,300)	[(20,1),(220,1)]
220	4	40	(26341,700)	[(20,2),(220,1)]
220	5	50	(26341,1500)	[(20,3),(220,1)]
220	6	60	(26341,2700)	[(20,5),(220,1)]
220	7	70	(26341,4300)	[(20,7),(120,1),(220,1)]
220	8	80	(26341,6300)	[(20,10),(120,2),(220,1)]
220	9	90	(26341,8800)	[(20,14),(120,4),(220,2)]
220	10	100	(26341,11800)	[(20,19),(120,6),(220,3)]
220	11	110	(26341,15400)	[(20,25),(120,9),(220,4)]
220	12	120	(26341,19600)	[(20,32),(120,12),(220,5)]
220	13	130	(26341,24500)	[(20,40),(120,15),(220,6)]
220	14	140	(26341,30100)	[(20,49),(120,18),(220,7)]
220	15	150	(26341,36500)	[(20,59),(120,21),(220,9)]
