cardId	cardtype	name	nameimage	nameimage_US	iconImage	iconBackgroundColor	backimage1	backimage2	effectName	effectPos	grade	maxlevel	heroput	exchangeItem	pt1	pv1	pt2	pv2	cardskill	suitId	zdlDes	skill_zdl
102	2	双鱼座女神	Tfk_syzns	Tfk_syzns	xztfk2	5	shengqi6261	Yunxiao_sole1	TFKShuangyu		2	10	1	[26322,100]	1	(7500, 7800, 8100, 9000, 10500, 12600, 15000, 18000, 21600, 27000)	0		[(802,6),(802,7),(802,8),(802,9),(802,10),(802,11),(802,12),(802,13),(802,14),(802,15)]	(901, 903)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
103	3	双子座女神	Tfk_suzzns	Tfk_suzzns	xztfk3	5	shengqi6261	Yunxiao_sole1	TFKShuangzi		2	10	1	[26323,100]	4	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	6	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	[(803,6),(803,7),(803,8),(803,9),(803,10),(803,11),(803,12),(803,13),(803,14),(803,15)]	(903, 904)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
104	4	巨蟹座女神	Tfk_jxzns	Tfk_jxzns	xztfk4	5	shengqi6261	Yunxiao_sole1	TFKJuxie		2	10	1	[26324,100]	4	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	6	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	[(804,6),(804,7),(804,8),(804,9),(804,10),(804,11),(804,12),(804,13),(804,14),(804,15)]	(905, 906)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
105	5	狮子座女神	Tfk_sizzns	Tfk_sizzns	xztfk5	5	shengqi6261	Yunxiao_sole1	TFKShizi		2	10	1	[26325,100]	1	(7500, 7800, 8100, 9000, 10500, 12600, 15000, 18000, 21600, 27000)	0		[(805,6),(805,7),(805,8),(805,9),(805,10),(805,11),(805,12),(805,13),(805,14),(805,15)]	(904, 906)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
106	6	处女座女神	Tfk_cnzns	Tfk_cnzns	xztfk6	5	shengqi6261	Yunxiao_sole1	TFKChunv		2	10	0	[26326,100]	4	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	6	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	[(806,6),(806,7),(806,8),(806,9),(806,10),(806,11),(806,12),(806,13),(806,14),(806,15)]	(907, 908)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
107	7	白羊座女神	Tfk_byzns	Tfk_byzns	xztfk7	5	shengqi6261	Yunxiao_sole1	TFKBaiyang		2	10	1	[26327,100]	4	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	6	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	[(807,6),(807,7),(807,8),(807,9),(807,10),(807,11),(807,12),(807,13),(807,14),(807,15)]	(902, 909,916)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
108	8	金牛座女神	Tfk_jnzns	Tfk_jnzns	xztfk8	5	shengqi6261	Yunxiao_sole1	TFKJinniu		2	10	1	[26328,100]	1	(7500, 7800, 8100, 9000, 10500, 12600, 15000, 18000, 21600, 27000)	0		[(808,6),(808,7),(808,8),(808,9),(808,10),(808,11),(808,12),(808,13),(808,14),(808,15)]	(905, 910)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
109	9	天秤座女神	Tfk_tczns	Tfk_tczns	xztfk9	5	shengqi6261	Yunxiao_sole1	TFKTiancheng		2	10	1	[26329,100]	1	(7500, 7800, 8100, 9000, 10500, 12600, 15000, 18000, 21600, 27000)	0		[(809,6),(809,7),(809,8),(809,9),(809,10),(809,11),(809,12),(809,13),(809,14),(809,15)]	(905, 910)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
110	10	天蝎座女神	Tfk_txzns	Tfk_txzns	xztfk10	5	shengqi6261	Yunxiao_sole1	TFKTianxie		2	10	1	[26330,100]	4	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	6	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	[(816,6),(816,7),(816,8),(816,9),(816,10),(816,11),(816,12),(816,13),(816,14),(816,15)]	(903, 909)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
111	11	射手座女神	Tfk_sszns	Tfk_sszns	xztfk11	5	shengqi6261	Yunxiao_sole1	TFKSheshou		2	10	1	[26331,100]	1	(7500, 7800, 8100, 9000, 10500, 12600, 15000, 18000, 21600, 27000)	0		[(811,6),(811,7),(811,8),(811,9),(811,10),(811,11),(811,12),(811,13),(811,14),(811,15)]	(901, 908)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
112	12	摩羯座女神	Tfk_mjzns	Tfk_mjzns	xztfk12	5	shengqi6261	Yunxiao_sole1	TFKMojie		2	10	1	[26332,100]	1	(7500, 7800, 8100, 9000, 10500, 12600, 15000, 18000, 21600, 27000)	0		[(817,6),(817,7),(817,8),(817,9),(817,10),(817,11),(817,12),(817,13),(817,14),(817,15)]	(909, 912)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
113	13	飞马座女神	Tfk_fmzns	Tfk_fmzns	xztfk15	5	shengqi6261	Yunxiao_sole1	TFKFeima		2	10	1	[26335,100]	4	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	6	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	[(815,6),(815,7),(815,8),(815,9),(815,10),(815,11),(815,12),(815,13),(815,14),(815,15)]	(906, 914,916)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
114	14	天琴座女神	Tfk_tqzns	Tfk_tqzns	xztfk13	5	shengqi6261	Yunxiao_sole1	TFKTianqin		2	10	1	[26333,100]	1	(7500, 7800, 8100, 9000, 10500, 12600, 15000, 18000, 21600, 27000)	0		[(813,6),(813,7),(813,8),(813,9),(813,10),(813,11),(813,12),(813,13),(813,14),(813,15)]	(912, 913)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
115	15	天鹅座女神	Tfk_tezzns	Tfk_tezzns	xztfk14	5	shengqi6261	Yunxiao_sole1	TFKTiane		2	10	1	[26334,100]	1	(7500, 7800, 8100, 9000, 10500, 12600, 15000, 18000, 21600, 27000)	0		[(814,6),(814,7),(814,8),(814,9),(814,10),(814,11),(814,12),(814,13),(814,14),(814,15)]	(904, 908,915)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
116	16	仙女座女神	Tfk_xnzns	Tfk_xnzns	xztfk16	5	shengqi6261	Yunxiao_sole1	TFKXiannv		2	10	1	[26336,100]	4	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	6	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	[(810,6),(810,7),(810,8),(810,9),(810,10),(810,11),(810,12),(810,13),(810,14),(810,15)]	(910, 911)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
117	17	凤凰座女神	Tfk_fhzns	Tfk_fhzns	xztfk17	5	shengqi6261	Yunxiao_sole1	TFKFenghuang		2	10	1	[26337,100]	4	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	6	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	[(812,6),(812,7),(812,8),(812,9),(812,10),(812,11),(812,12),(812,13),(812,14),(812,15)]	(902, 911)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
118	18	天鹰座女神	Tfk_tyzns	Tfk_tyzns	xztfk18	5	shengqi6261	Yunxiao_sole1	TFKTianying		2	10	1	[26338,100]	4	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	6	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	[(818,6),(818,7),(818,8),(818,9),(818,10),(818,11),(818,12),(818,13),(818,14),(818,15)]	(907, 913)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
119	19	猎户座女神	Tfk_lhzns	Tfk_xnzns	xztfk19	5	shengqi6261	Yunxiao_sole1	TFKliehu		2	10	1	[28560,100]	4	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	6	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	[(820,6),(820,7),(820,8),(820,9),(820,10),(820,11),(820,12),(820,13),(820,14),(820,15)]	(914, 907,916)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
120	20	室女座女神	Tfk_snzns	Tfk_fhzns	xztfk20	5	shengqi6261	Yunxiao_sole1	TFKshinv		2	10	1	[28561,100]	4	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	6	(2500, 2600, 2700, 3000, 3500, 4200, 5000, 6000, 7200, 9000)	[(819,6),(819,7),(819,8),(819,9),(819,10),(819,11),(819,12),(819,13),(819,14),(819,15)]	(913, 911,915)	7500,8250,9300,10500,12000,14250,16500,19500,24000,30000	[5625,6300,7275,8250,9375,11100,12750,15000,18600,23250]
1	1	水瓶座女神	Tfk_spzns	Tfk_spzns	xztfk1	3	shengqi6261	Yunxiao_sole1	TFKShuiping		1	5	1	[26303,100]	1	(4500, 4800, 5100, 6000, 7500)	0		[(801,1),(801,2),(801,3),(801,4),(801,5)]	(901, 902,915)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
2	2	双鱼座女神	Tfk_syzns	Tfk_syzns	xztfk2	3	shengqi6261	Yunxiao_sole1	TFKShuangyu		1	5	1	[26304,100]	1	(4500, 4800, 5100, 6000, 7500)	0		[(802,1),(802,2),(802,3),(802,4),(802,5)]	(901, 903)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
3	3	双子座女神	Tfk_suzzns	Tfk_suzzns	xztfk3	3	shengqi6261	Yunxiao_sole1	TFKShuangzi		1	5	1	[26305,100]	4	(1500, 1600, 1700, 2000, 2500)	6	(1500, 1600, 1700, 2000, 2500)	[(803,1),(803,2),(803,3),(803,4),(803,5)]	(903, 904)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
4	4	巨蟹座女神	Tfk_jxzns	Tfk_jxzns	xztfk4	3	shengqi6261	Yunxiao_sole1	TFKJuxie		1	5	1	[26306,100]	4	(1500, 1600, 1700, 2000, 2500)	6	(1500, 1600, 1700, 2000, 2500)	[(804,1),(804,2),(804,3),(804,4),(804,5)]	(905, 906)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
5	5	狮子座女神	Tfk_sizzns	Tfk_sizzns	xztfk5	3	shengqi6261	Yunxiao_sole1	TFKShizi		1	5	1	[26307,100]	1	(4500, 4800, 5100, 6000, 7500)	0		[(805,1),(805,2),(805,3),(805,4),(805,5)]	(904, 906)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
6	6	处女座女神	Tfk_cnzns	Tfk_cnzns	xztfk6	3	shengqi6261	Yunxiao_sole1	TFKChunv		1	5	0	[26308,100]	4	(1500, 1600, 1700, 2000, 2500)	6	(1500, 1600, 1700, 2000, 2500)	[(806,1),(806,2),(806,3),(806,4),(806,5)]	(907, 908)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
7	7	白羊座女神	Tfk_byzns	Tfk_byzns	xztfk7	3	shengqi6261	Yunxiao_sole1	TFKBaiyang		1	5	1	[26309,100]	4	(1500, 1600, 1700, 2000, 2500)	6	(1500, 1600, 1700, 2000, 2500)	[(807,1),(807,2),(807,3),(807,4),(807,5)]	(902, 909,916)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
8	8	金牛座女神	Tfk_jnzns	Tfk_jnzns	xztfk8	3	shengqi6261	Yunxiao_sole1	TFKJinniu		1	5	1	[26310,100]	1	(4500, 4800, 5100, 6000, 7500)	0		[(808,1),(808,2),(808,3),(808,4),(808,5)]	(905, 910)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
9	9	天秤座女神	Tfk_tczns	Tfk_tczns	xztfk9	3	shengqi6261	Yunxiao_sole1	TFKTiancheng		1	5	1	[26311,100]	1	(4500, 4800, 5100, 6000, 7500)	0		[(809,1),(809,2),(809,3),(809,4),(809,5)]	(905, 910)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
10	10	天蝎座女神	Tfk_txzns	Tfk_txzns	xztfk10	3	shengqi6261	Yunxiao_sole1	TFKTianxie		1	5	1	[26312,100]	4	(1500, 1600, 1700, 2000, 2500)	6	(1500, 1600, 1700, 2000, 2500)	[(816,1),(816,2),(816,3),(816,4),(816,5)]	(903, 909)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
11	11	射手座女神	Tfk_sszns	Tfk_sszns	xztfk11	3	shengqi6261	Yunxiao_sole1	TFKSheshou		1	5	1	[26313,100]	1	(4500, 4800, 5100, 6000, 7500)	0		[(811,1),(811,2),(811,3),(811,4),(811,5)]	(901, 908)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
12	12	摩羯座女神	Tfk_mjzns	Tfk_mjzns	xztfk12	3	shengqi6261	Yunxiao_sole1	TFKMojie		1	5	1	[26314,100]	1	(4500, 4800, 5100, 6000, 7500)	0		[(817,1),(817,2),(817,3),(817,4),(817,5)]	(909, 912)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
13	13	飞马座女神	Tfk_fmzns	Tfk_fmzns	xztfk15	3	shengqi6261	Yunxiao_sole1	TFKFeima		1	5	1	[26317,100]	4	(1500, 1600, 1700, 2000, 2500)	6	(1500, 1600, 1700, 2000, 2500)	[(815,1),(815,2),(815,3),(815,4),(815,5)]	(906, 914,916)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
14	14	天琴座女神	Tfk_tqzns	Tfk_tqzns	xztfk13	3	shengqi6261	Yunxiao_sole1	TFKTianqin		1	5	1	[26315,100]	1	(4500, 4800, 5100, 6000, 7500)	0		[(813,1),(813,2),(813,3),(813,4),(813,5)]	(912, 913)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
15	15	天鹅座女神	Tfk_tezzns	Tfk_tezzns	xztfk14	3	shengqi6261	Yunxiao_sole1	TFKTiane		1	5	1	[26316,100]	1	(4500, 4800, 5100, 6000, 7500)	0		[(814,1),(814,2),(814,3),(814,4),(814,5)]	(904, 908,915)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
16	16	仙女座女神	Tfk_xnzns	Tfk_xnzns	xztfk16	3	shengqi6261	Yunxiao_sole1	TFKXiannv		1	5	1	[26318,100]	4	(1500, 1600, 1700, 2000, 2500)	6	(1500, 1600, 1700, 2000, 2500)	[(810,1),(810,2),(810,3),(810,4),(810,5)]	(910, 911)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
17	17	凤凰座女神	Tfk_fhzns	Tfk_fhzns	xztfk17	3	shengqi6261	Yunxiao_sole1	TFKFenghuang		1	5	1	[26319,100]	4	(1500, 1600, 1700, 2000, 2500)	6	(1500, 1600, 1700, 2000, 2500)	[(812,1),(812,2),(812,3),(812,4),(812,5)]	(902, 911)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
18	18	天鹰座女神	Tfk_tyzns	Tfk_tyzns	xztfk18	3	shengqi6261	Yunxiao_sole1	TFKTianying		1	5	1	[26320,100]	4	(1500, 1600, 1700, 2000, 2500)	6	(1500, 1600, 1700, 2000, 2500)	[(818,1),(818,2),(818,3),(818,4),(818,5)]	(907, 913)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
19	19	猎户座女神	Tfk_lhzns	Tfk_lhzns	xztfk19	3	shengqi6261	Yunxiao_sole1	TFKliehu		1	5	1	[28558,100]	4	(1500, 1600, 1700, 2000, 2500)	6	(1500, 1600, 1700, 2000, 2500)	[(820,1),(820,2),(820,3),(820,4),(820,5)]	(914, 907,916)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
20	20	室女座女神	Tfk_snzns	Tfk_snzns	xztfk20	3	shengqi6261	Yunxiao_sole1	TFKshinv		1	5	1	[28559,100]	4	(1500, 1600, 1700, 2000, 2500)	6	(1500, 1600, 1700, 2000, 2500)	[(819,1),(819,2),(819,3),(819,4),(819,5)]	(913, 911,915)	3000,3750,4800,6000,7500	[1875,2550,3525,4500,5625]
