Index	skillByslotDec	skillByCardDec
(809,14)		免破率提升26%
(809,15)		免破率提升30%
(810,1)		生命低于30%时，伤害加成15%两回合，战斗中生效一次
(810,2)		生命低于30%时，伤害加成18%两回合，战斗中生效一次
(810,3)		生命低于30%时，伤害加成21%两回合，战斗中生效一次
(810,4)		生命低于30%时，伤害加成25%两回合，战斗中生效一次
(810,5)		生命低于30%时，伤害加成30%两回合，战斗中生效一次
(810,6)		生命低于50%时，伤害加成20%两回合，战斗中生效一次
(810,7)		生命低于50%时，伤害加成23%两回合，战斗中生效一次
(810,8)		生命低于50%时，伤害加成26%两回合，战斗中生效一次
(810,9)		生命低于50%时，伤害加成30%两回合，战斗中生效一次
(810,10)		生命低于50%时，伤害加成35%两回合，战斗中生效一次
(810,11)		生命低于50%时，伤害加成40%两回合，战斗中生效一次
(810,12)		生命低于50%时，伤害加成45%两回合，战斗中生效一次
(810,13)		生命低于50%时，伤害加成51%两回合，战斗中生效一次
(810,14)		生命低于50%时，伤害加成58%两回合，战斗中生效一次
(810,15)		生命低于50%时，伤害加成65%两回合，战斗中生效一次
(811,1)		受到伤害减少8%
(811,2)		受到伤害减少9%
(811,3)		受到伤害减少11%
(811,4)		受到伤害减少13%
(811,5)		受到伤害减少16%
(811,6)		受到伤害减少12%
(811,7)		受到伤害减少13%
(811,8)		受到伤害减少15%
(811,9)		受到伤害减少17%
(811,10)		受到伤害减少20%
(811,11)		受到伤害减少23%
(811,12)		受到伤害减少27%
(811,13)		受到伤害减少31%
(811,14)		受到伤害减少35%
(811,15)		受到伤害减少40%
(812,1)		被治疗效果提升10%
(812,2)		被治疗效果提升12%
(812,3)		被治疗效果提升14%
(812,4)		被治疗效果提升17%
(812,5)		被治疗效果提升20%
(812,6)		被治疗效果提升15%
(812,7)		被治疗效果提升17%
(812,8)		被治疗效果提升19%
(812,9)		被治疗效果提升22%
(812,10)		被治疗效果提升25%
(812,11)		被治疗效果提升29%
(812,12)		被治疗效果提升33%
(812,13)		被治疗效果提升38%
(812,14)		被治疗效果提升44%
(812,15)		被治疗效果提升50%
(813,1)		抗眩晕率提升15%
(813,2)		抗眩晕率提升18%
(813,3)		抗眩晕率提升21%
(813,4)		抗眩晕率提升25%
(813,5)		抗眩晕率提升30%
(813,6)		抗眩晕率提升25%
(813,7)		抗眩晕率提升28%
(813,8)		抗眩晕率提升31%
(813,9)		抗眩晕率提升35%
(813,10)		抗眩晕率提升40%
(813,11)		抗眩晕率提升45%
(813,12)		抗眩晕率提升51%
(813,13)		抗眩晕率提升57%
(813,14)		抗眩晕率提升63%
(813,15)		抗眩晕率提升70%
(814,1)		自身每回合持续回血，回复血量为自身血量的3%
(814,2)		自身每回合持续回血，回复血量为自身血量的4%
(814,3)		自身每回合持续回血，回复血量为自身血量的5%
(814,4)		自身每回合持续回血，回复血量为自身血量的6%
(814,5)		自身每回合持续回血，回复血量为自身血量的8%
(814,6)		自身每回合持续回血，回复血量为自身血量的5%
(814,7)		自身每回合持续回血，回复血量为自身血量的6%
(814,8)		自身每回合持续回血，回复血量为自身血量的7%
(814,9)		自身每回合持续回血，回复血量为自身血量的8%
(814,10)		自身每回合持续回血，回复血量为自身血量的10%
(814,11)		自身每回合持续回血，回复血量为自身血量的12%
(814,12)		自身每回合持续回血，回复血量为自身血量的14%
(814,13)		自身每回合持续回血，回复血量为自身血量的16%
(814,14)		自身每回合持续回血，回复血量为自身血量的18%
(814,15)		自身每回合持续回血，回复血量为自身血量的20%
(815,1)		目标生命低于30%时，伤害提升20%
(815,2)		目标生命低于30%时，伤害提升24%
(815,3)		目标生命低于30%时，伤害提升29%
(815,4)		目标生命低于30%时，伤害提升34%
(815,5)		目标生命低于30%时，伤害提升40%
(815,6)		目标生命低于50%时，伤害提升20%
(815,7)		目标生命低于50%时，伤害提升24%
(815,8)		目标生命低于50%时，伤害提升29%
(815,9)		目标生命低于50%时，伤害提升34%
(815,10)		目标生命低于50%时，伤害提升40%
(815,11)		目标生命低于50%时，伤害提升46%
(815,12)		目标生命低于50%时，伤害提升53%
(815,13)		目标生命低于50%时，伤害提升60%
(815,14)		目标生命低于50%时，伤害提升67%
(815,15)		目标生命低于50%时，伤害提升75%
(816,1)		伤害提升10%
(816,2)		伤害提升12%
(816,3)		伤害提升14%
(816,4)		伤害提升17%
(816,5)		伤害提升20%
(816,6)		伤害提升15%
(816,7)		伤害提升17%
(816,8)		伤害提升19%
(816,9)		伤害提升22%
(816,10)		伤害提升25%
(816,11)		伤害提升29%
(816,12)		伤害提升33%
(816,13)		伤害提升38%
(816,14)		伤害提升44%
(816,15)		伤害提升50%
(817,1)		战斗未结束时死亡，复活并回复20%生命值，一次战斗中只能生效一次
(817,2)		战斗未结束时死亡，复活并回复24%生命值，一次战斗中只能生效一次
(817,3)		战斗未结束时死亡，复活并回复29%生命值，一次战斗中只能生效一次
(817,4)		战斗未结束时死亡，复活并回复34%生命值，一次战斗中只能生效一次
(817,5)		战斗未结束时死亡，复活并回复40%生命值，一次战斗中只能生效一次
(817,6)		战斗未结束时死亡，复活并回复30%生命值，一次战斗中只能生效一次
(817,7)		战斗未结束时死亡，复活并回复34%生命值，一次战斗中只能生效一次
(817,8)		战斗未结束时死亡，复活并回复39%生命值，一次战斗中只能生效一次
(817,9)		战斗未结束时死亡，复活并回复44%生命值，一次战斗中只能生效一次
(817,10)		战斗未结束时死亡，复活并回复50%生命值，一次战斗中只能生效一次
(817,11)		战斗未结束时死亡，复活并回复58%生命值，一次战斗中只能生效一次
(817,12)		战斗未结束时死亡，复活并回复66%生命值，一次战斗中只能生效一次
(817,13)		战斗未结束时死亡，复活并回复75%生命值，一次战斗中只能生效一次
(817,14)		战斗未结束时死亡，复活并回复85%生命值，一次战斗中只能生效一次
(817,15)		战斗未结束时死亡，复活并回复100%生命值，一次战斗中只能生效一次
(818,1)		破防率提升7%
(818,2)		破防率提升8%
(818,3)		破防率提升9%
(818,4)		破防率提升10%
(818,5)		破防率提升12%
(818,6)		破防率提升10%
(818,7)		破防率提升11%
(818,8)		破防率提升12%
(818,9)		破防率提升13%
(818,10)		破防率提升15%
(818,11)		破防率提升17%
(818,12)		破防率提升19%
(818,13)		破防率提升22%
(818,14)		破防率提升26%
(818,15)		破防率提升30%
(819,1)		进入战斗后，增加自身生命值15%
(819,2)		进入战斗后，增加自身生命值18%
(819,3)		进入战斗后，增加自身生命值21%
(819,4)		进入战斗后，增加自身生命值25%
(819,5)		进入战斗后，增加自身生命值30%
(819,6)		进入战斗后，增加自身生命值25%
(819,7)		进入战斗后，增加自身生命值28%
(819,8)		进入战斗后，增加自身生命值31%
(819,9)		进入战斗后，增加自身生命值35%
(819,10)		进入战斗后，增加自身生命值40%
(819,11)		进入战斗后，增加自身生命值45%
(819,12)		进入战斗后，增加自身生命值51%
(819,13)		进入战斗后，增加自身生命值57%
(819,14)		进入战斗后，增加自身生命值63%
(819,15)		进入战斗后，增加自身生命值70%
(820,1)		单次受到的最大伤害不超过最大生命的80%，对boss的秒杀技能无效
(820,2)		单次受到的最大伤害不超过最大生命的76%，对boss的秒杀技能无效
(820,3)		单次受到的最大伤害不超过最大生命的72%，对boss的秒杀技能无效
(820,4)		单次受到的最大伤害不超过最大生命的68%，对boss的秒杀技能无效
(820,5)		单次受到的最大伤害不超过最大生命的64%，对boss的秒杀技能无效
(820,6)		单次受到的最大伤害不超过最大生命的70%，对boss的秒杀技能无效
(820,7)		单次受到的最大伤害不超过最大生命的66%，对boss的秒杀技能无效
(820,8)		单次受到的最大伤害不超过最大生命的62%，对boss的秒杀技能无效
(820,9)		单次受到的最大伤害不超过最大生命的58%，对boss的秒杀技能无效
(820,10)		单次受到的最大伤害不超过最大生命的54%，对boss的秒杀技能无效
(820,11)		单次受到的最大伤害不超过最大生命的50%，对boss的秒杀技能无效
(820,12)		单次受到的最大伤害不超过最大生命的45%，对boss的秒杀技能无效
(820,13)		单次受到的最大伤害不超过最大生命的40%，对boss的秒杀技能无效
(820,14)		单次受到的最大伤害不超过最大生命的35%，对boss的秒杀技能无效
(820,15)		单次受到的最大伤害不超过最大生命的30%，对boss的秒杀技能无效
(901,1)	格挡强度提升15%#H生命+4500	
(901,2)	格挡强度提升18%#H生命+4800	
(901,3)	格挡强度提升21%#H生命+5100	
(901,4)	格挡强度提升25%#H生命+6000	
(901,5)	格挡强度提升30%#H生命+7500	
(901,6)	格挡强度提升25%#H生命+7500	
(901,7)	格挡强度提升28%#H生命+7800	
(901,8)	格挡强度提升31%#H生命+8100	
(901,9)	格挡强度提升35%#H生命+9000	
(901,10)	格挡强度提升40%#H生命+10500	
(901,11)	格挡强度提升45%#H生命+12600	
(901,12)	格挡强度提升51%#H生命+15000	
(901,13)	格挡强度提升57%#H生命+18000	
(901,14)	格挡强度提升63%#H生命+21600	
(901,15)	格挡强度提升70%#H生命+27000	
(902,1)	战斗开始时受到伤害减少16%，持续2回合#H生命+4500	
(902,2)	战斗开始时受到伤害减少18%，持续2回合#H生命+4800	
(902,3)	战斗开始时受到伤害减少22%，持续2回合#H生命+5100	
(902,4)	战斗开始时受到伤害减少26%，持续2回合#H生命+6000	
(902,5)	战斗开始时受到伤害减少32%，持续2回合#H生命+7500	
(902,6)	战斗开始时受到伤害减少24%，持续2回合#H生命+7500	
(902,7)	战斗开始时受到伤害减少26%，持续2回合#H生命+7800	
(902,8)	战斗开始时受到伤害减少30%，持续2回合#H生命+8100	
(902,9)	战斗开始时受到伤害减少34%，持续2回合#H生命+9000	
(902,10)	战斗开始时受到伤害减少40%，持续2回合#H生命+10500	
(902,11)	战斗开始时受到伤害减少46%，持续2回合#H生命+12600	
(902,12)	战斗开始时受到伤害减少54%，持续2回合#H生命+15000	
(902,13)	战斗开始时受到伤害减少62%，持续2回合#H生命+18000	
(902,14)	战斗开始时受到伤害减少70%，持续2回合#H生命+21600	
(902,15)	战斗开始时受到伤害减少80%，持续2回合#H生命+27000	
(903,1)	将3%的主动技能伤害转化为自身生命值#H物攻+1500 法攻+1500	
(903,2)	将4%的主动技能伤害转化为自身生命值#H物攻+1600 法攻+1600	
(903,3)	将5%的主动技能伤害转化为自身生命值#H物攻+1700 法攻+1700	
(903,4)	将6%的主动技能伤害转化为自身生命值#H物攻+2000 法攻+2000	
(903,5)	将8%的主动技能伤害转化为自身生命值#H物攻+2500 法攻+2500	
(903,6)	将5%的主动技能伤害转化为自身生命值#H物攻+2500 法攻+2500	
(903,7)	将6%的主动技能伤害转化为自身生命值#H物攻+2600 法攻+2600	
(903,8)	将7%的主动技能伤害转化为自身生命值#H物攻+2700 法攻+2700	
(903,9)	将8%的主动技能伤害转化为自身生命值#H物攻+3000 法攻+3000	
(903,10)	将10%的主动技能伤害转化为自身生命值#H物攻+3500 法攻+3500	
(903,11)	将12%的主动技能伤害转化为自身生命值#H物攻+4200 法攻+4200	
(903,12)	将14%的主动技能伤害转化为自身生命值#H物攻+5000 法攻+5000	
(903,13)	将16%的主动技能伤害转化为自身生命值#H物攻+6000 法攻+6000	
(903,14)	将18%的主动技能伤害转化为自身生命值#H物攻+7200 法攻+7200	
(903,15)	将20%的主动技能伤害转化为自身生命值#H物攻+9000 法攻+9000	
(904,1)	目标生命高于70%时候，造成伤害提高20%#H物攻+1500 法攻+1500	
(904,2)	目标生命高于70%时候，造成伤害提高24%#H物攻+1600 法攻+1600	
(904,3)	目标生命高于70%时候，造成伤害提高29%#H物攻+1700 法攻+1700	
(904,4)	目标生命高于70%时候，造成伤害提高34%#H物攻+2000 法攻+2000	
(904,5)	目标生命高于70%时候，造成伤害提高40%#H物攻+2500 法攻+2500	
(904,6)	目标生命高于50%时候，造成伤害提高20%#H物攻+2500 法攻+2500	
(904,7)	目标生命高于50%时候，造成伤害提高24%#H物攻+2600 法攻+2600	
(904,8)	目标生命高于50%时候，造成伤害提高29%#H物攻+2700 法攻+2700	
(904,9)	目标生命高于50%时候，造成伤害提高34%#H物攻+2700 法攻+2700	
(904,10)	目标生命高于50%时候，造成伤害提高40%#H物攻+3000 法攻+3000	
(904,11)	目标生命高于50%时候，造成伤害提高46%#H物攻+3500 法攻+3500	
(904,12)	目标生命高于50%时候，造成伤害提高53%#H物攻+4200 法攻+4200	
(904,13)	目标生命高于50%时候，造成伤害提高60%#H物攻+5000 法攻+5000	
(904,14)	目标生命高于50%时候，造成伤害提高67%#H物攻+6000 法攻+6000	
(904,15)	目标生命高于50%时候，造成伤害提高75%#H物攻+7200 法攻+7200	
(905,1)	反弹伤害3%，最大反伤值不超过自身生命值的50%#H生命+4500	
(905,2)	反弹伤害4%，最大反伤值不超过自身生命值的50%#H生命+4800	
(905,3)	反弹伤害5%，最大反伤值不超过自身生命值的50%#H生命+5100	
(905,4)	反弹伤害6%，最大反伤值不超过自身生命值的50%#H生命+6000	
(905,5)	反弹伤害8%，最大反伤值不超过自身生命值的50%#H生命+7500	
(905,6)	反弹伤害5%，最大反伤值不超过自身生命值的50%#H生命+7500	
(905,7)	反弹伤害6%，最大反伤值不超过自身生命值的50%#H生命+7800	
(905,8)	反弹伤害7%，最大反伤值不超过自身生命值的50%#H生命+8100	
(905,9)	反弹伤害8%，最大反伤值不超过自身生命值的50%#H生命+9000	
(905,10)	反弹伤害10%，最大反伤值不超过自身生命值的50%#H生命+10500	
(905,11)	反弹伤害12%，最大反伤值不超过自身生命值的50%#H生命+12600	
(905,12)	反弹伤害14%，最大反伤值不超过自身生命值的50%#H生命+15000	
(905,13)	反弹伤害16%，最大反伤值不超过自身生命值的50%#H生命+18000	
(905,14)	反弹伤害18%，最大反伤值不超过自身生命值的50%#H生命+21600	
(905,15)	反弹伤害20%，最大反伤值不超过自身生命值的50%#H生命+27000	
(906,1)	战斗未结束时死亡，复活并回复20%生命值，一次战斗中只能生效一次#H生命+4500	
(906,2)	战斗未结束时死亡，复活并回复24%生命值，一次战斗中只能生效一次#H生命+4800	
(906,3)	战斗未结束时死亡，复活并回复29%生命值，一次战斗中只能生效一次#H生命+5100	
(906,4)	战斗未结束时死亡，复活并回复34%生命值，一次战斗中只能生效一次#H生命+6000	
(906,5)	战斗未结束时死亡，复活并回复40%生命值，一次战斗中只能生效一次#H生命+7500	
(906,6)	战斗未结束时死亡，复活并回复30%生命值，一次战斗中只能生效一次#H生命+7500	
(906,7)	战斗未结束时死亡，复活并回复34%生命值，一次战斗中只能生效一次#H生命+7800	
(906,8)	战斗未结束时死亡，复活并回复39%生命值，一次战斗中只能生效一次#H生命+8100	
(906,9)	战斗未结束时死亡，复活并回复44%生命值，一次战斗中只能生效一次#H生命+9000	
(906,10)	战斗未结束时死亡，复活并回复50%生命值，一次战斗中只能生效一次#H生命+10500	
(906,11)	战斗未结束时死亡，复活并回复58%生命值，一次战斗中只能生效一次#H生命+12600	
(906,12)	战斗未结束时死亡，复活并回复66%生命值，一次战斗中只能生效一次#H生命+15000	
(906,13)	战斗未结束时死亡，复活并回复75%生命值，一次战斗中只能生效一次#H生命+18000	
(906,14)	战斗未结束时死亡，复活并回复85%生命值，一次战斗中只能生效一次#H生命+21600	
(906,15)	战斗未结束时死亡，复活并回复100%生命值，一次战斗中只能生效一次#H生命+27000	
(907,1)	受到伤害减少8%#H生命+4500	
(907,2)	受到伤害减少9%#H生命+4800	
(907,3)	受到伤害减少11%#H生命+5100	
(907,4)	受到伤害减少13%#H生命+6000	
(907,5)	受到伤害减少16%#H生命+7500	
(907,6)	受到伤害减少12%#H生命+7500	
(907,7)	受到伤害减少13%#H生命+7800	
(907,8)	受到伤害减少15%#H生命+8100	
(907,9)	受到伤害减少17%#H生命+9000	
(907,10)	受到伤害减少20%#H生命+10500	
(907,11)	受到伤害减少23%#H生命+12600	
(907,12)	受到伤害减少27%#H生命+15000	
(907,13)	受到伤害减少31%#H生命+18000	
(907,14)	受到伤害减少35%#H生命+21600	
(907,15)	受到伤害减少40%#H生命+27000	
(908,1)	伤害提升10%#H物攻+1500 法攻+1500	
(908,2)	伤害提升12%#H物攻+1600 法攻+1600	
(908,3)	伤害提升14%#H物攻+1700 法攻+1700	
(908,4)	伤害提升17%#H物攻+2000 法攻+2000	
(908,5)	伤害提升20%#H物攻+2500 法攻+2500	
(908,6)	伤害提升15%#H物攻+2500 法攻+2500	
(908,7)	伤害提升17%#H物攻+2600 法攻+2600	
(908,8)	伤害提升19%#H物攻+2700 法攻+2700	
(908,9)	伤害提升22%#H物攻+3000 法攻+3000	
(908,10)	伤害提升25%#H物攻+3500 法攻+3500	
(908,11)	伤害提升29%#H物攻+4200 法攻+4200	
(908,12)	伤害提升33%#H物攻+5000 法攻+5000	
(908,13)	伤害提升38%#H物攻+6000 法攻+6000	
(908,14)	伤害提升44%#H物攻+7200 法攻+7200	
(908,15)	伤害提升50%#H物攻+9000 法攻+9000	
(909,1)	暴击伤害提升15%#H物攻+1500 法攻+1500	
(909,2)	暴击伤害提升18%#H物攻+1600 法攻+1600	
(909,3)	暴击伤害提升21%#H物攻+1700 法攻+1700	
(909,4)	暴击伤害提升25%#H物攻+2000 法攻+2000	
(909,5)	暴击伤害提升30%#H物攻+2500 法攻+2500	
(909,6)	暴击伤害提升25%#H物攻+2500 法攻+2500	
(909,7)	暴击伤害提升28%#H物攻+2600 法攻+2600	
(909,8)	暴击伤害提升31%#H物攻+2700 法攻+2700	
(909,9)	暴击伤害提升35%#H物攻+3000 法攻+3000	
(909,10)	暴击伤害提升40%#H物攻+3500 法攻+3500	
(909,11)	暴击伤害提升45%#H物攻+4200 法攻+4200	
(909,12)	暴击伤害提升51%#H物攻+5000 法攻+5000	
(909,13)	暴击伤害提升57%#H物攻+6000 法攻+6000	
(909,14)	暴击伤害提升63%#H物攻+7200 法攻+7200	
(909,15)	暴击伤害提升70%#H物攻+9000 法攻+9000	
(910,1)	自身每回合持续回血，回复血量为自身血量的3%#H生命+4500	
(910,2)	自身每回合持续回血，回复血量为自身血量的4%#H生命+4800	
(910,3)	自身每回合持续回血，回复血量为自身血量的5%#H生命+5100	
(910,4)	自身每回合持续回血，回复血量为自身血量的6%#H生命+6000	
(910,5)	自身每回合持续回血，回复血量为自身血量的8%#H生命+7500	
(910,6)	自身每回合持续回血，回复血量为自身血量的5%#H生命+7500	
(910,7)	自身每回合持续回血，回复血量为自身血量的6%#H生命+7800	
(910,8)	自身每回合持续回血，回复血量为自身血量的7%#H生命+8100	
(910,9)	自身每回合持续回血，回复血量为自身血量的8%#H生命+9000	
(910,10)	自身每回合持续回血，回复血量为自身血量的10%#H生命+10500	
(910,11)	自身每回合持续回血，回复血量为自身血量的12%#H生命+12600	
(910,12)	自身每回合持续回血，回复血量为自身血量的14%#H生命+15000	
(910,13)	自身每回合持续回血，回复血量为自身血量的16%#H生命+18000	
(910,14)	自身每回合持续回血，回复血量为自身血量的18%#H生命+21600	
(910,15)	自身每回合持续回血，回复血量为自身血量的20%#H生命+27000	
(911,1)	破防率提升7%#H物攻+1500 法攻+1500	
(911,2)	破防率提升8%#H物攻+1600 法攻+1600	
(911,3)	破防率提升9%#H物攻+1700 法攻+1700	
(911,4)	破防率提升10%#H物攻+2000 法攻+2000	
(911,5)	破防率提升12%#H物攻+2500 法攻+2500	
(911,6)	破防率提升10%#H物攻+2500 法攻+2500	
(911,7)	破防率提升11%#H物攻+2600 法攻+2600	
(911,8)	破防率提升12%#H物攻+2700 法攻+2700	
(911,9)	破防率提升13%#H物攻+3000 法攻+3000	
(911,10)	破防率提升15%#H物攻+3500 法攻+3500	
(911,11)	破防率提升17%#H物攻+4200 法攻+4200	
(911,12)	破防率提升19%#H物攻+5000 法攻+5000	
(911,13)	破防率提升22%#H物攻+6000 法攻+6000	
(911,14)	破防率提升26%#H物攻+7200 法攻+7200	
(911,15)	破防率提升30%#H物攻+9000 法攻+9000	
(912,1)	生命低于30%时，无视伤害加成6%两回合，战斗中生效一次#H生命+4500	
(912,2)	生命低于30%时，无视伤害加成8%两回合，战斗中生效一次#H生命+4800	
(912,3)	生命低于30%时，无视伤害加成10%两回合，战斗中生效一次#H生命+5100	
(912,4)	生命低于30%时，无视伤害加成12%两回合，战斗中生效一次#H生命+6000	
(912,5)	生命低于30%时，无视伤害加成15%两回合，战斗中生效一次#H生命+7500	
(912,6)	生命低于50%时，无视伤害加成8%两回合，战斗中生效一次#H生命+7500	
(912,7)	生命低于50%时，无视伤害加成10%两回合，战斗中生效一次#H生命+7800	
(912,8)	生命低于50%时，无视伤害加成12%两回合，战斗中生效一次#H生命+8100	
