wingId	grade	maxGrade	needWingLevel	needItemCoding	needItemCnt	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	resId	name	nameImg	icon
5	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92006	紫陌倾城	YuYi_YY_TextZMQC	zimoqingcheng
5	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92006	紫陌倾城	YuYi_YY_TextZMQC	zimoqingcheng
5	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92006	紫陌倾城	YuYi_YY_TextZMQC	zimoqingcheng
6	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92007	血舞一生	YuYi_YY_TextXWYS	xuewuyisheng
6	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92007	血舞一生	YuYi_YY_TextXWYS	xuewuyisheng
6	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92007	血舞一生	YuYi_YY_TextXWYS	xuewuyisheng
6	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92007	血舞一生	YuYi_YY_TextXWYS	xuewuyisheng
6	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92007	血舞一生	YuYi_YY_TextXWYS	xuewuyisheng
7	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92008	璀璨人生	YuYi_YY_TextCCRS	cuicanrensheng
7	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92008	璀璨人生	YuYi_YY_TextCCRS	cuicanrensheng
7	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92008	璀璨人生	YuYi_YY_TextCCRS	cuicanrensheng
7	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92008	璀璨人生	YuYi_YY_TextCCRS	cuicanrensheng
7	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92008	璀璨人生	YuYi_YY_TextCCRS	cuicanrensheng
8	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92009	蓝色魅力	YuYi_YY_TextLSML	lanshemeili
8	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92009	蓝色魅力	YuYi_YY_TextLSML	lanshemeili
8	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92009	蓝色魅力	YuYi_YY_TextLSML	lanshemeili
8	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92009	蓝色魅力	YuYi_YY_TextLSML	lanshemeili
8	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92009	蓝色魅力	YuYi_YY_TextLSML	lanshemeili
9	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92010	倾城之恋	YuYi_YY_TextQCZL	qingchengzhilian
9	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92010	倾城之恋	YuYi_YY_TextQCZL	qingchengzhilian
9	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92010	倾城之恋	YuYi_YY_TextQCZL	qingchengzhilian
9	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92010	倾城之恋	YuYi_YY_TextQCZL	qingchengzhilian
9	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92010	倾城之恋	YuYi_YY_TextQCZL	qingchengzhilian
10	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92011	天使之翼	YuYi_YY_TextTSZY	szyuyi1
10	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92011	天使之翼	YuYi_YY_TextTSZY	szyuyi1
10	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92011	天使之翼	YuYi_YY_TextTSZY	szyuyi1
10	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92011	天使之翼	YuYi_YY_TextTSZY	szyuyi1
10	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92011	天使之翼	YuYi_YY_TextTSZY	szyuyi1
11	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92012	恶魔之翼	YuYi_YY_TextEMZY	szyuyi2
11	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92012	恶魔之翼	YuYi_YY_TextEMZY	szyuyi2
11	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92012	恶魔之翼	YuYi_YY_TextEMZY	szyuyi2
11	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92012	恶魔之翼	YuYi_YY_TextEMZY	szyuyi2
11	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92012	恶魔之翼	YuYi_YY_TextEMZY	szyuyi2
12	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92013	情人之翼	YuYi_YY_TextQRZY	qingrenjiechibang
12	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92013	情人之翼	YuYi_YY_TextQRZY	qingrenjiechibang
12	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92013	情人之翼	YuYi_YY_TextQRZY	qingrenjiechibang
12	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92013	情人之翼	YuYi_YY_TextQRZY	qingrenjiechibang
12	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92013	情人之翼	YuYi_YY_TextQRZY	qingrenjiechibang
13	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92014	红红火火	YuYi_YY_TextHHHH	chunjiechibang
13	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92014	红红火火	YuYi_YY_TextHHHH	chunjiechibang
13	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92014	红红火火	YuYi_YY_TextHHHH	chunjiechibang
13	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92014	红红火火	YuYi_YY_TextHHHH	chunjiechibang
13	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92014	红红火火	YuYi_YY_TextHHHH	chunjiechibang
14	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92015	黑龙之翼	YuYi_YY_TextHLZY	heilongzhiyi
14	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92015	黑龙之翼	YuYi_YY_TextHLZY	heilongzhiyi
14	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92015	黑龙之翼	YuYi_YY_TextHLZY	heilongzhiyi
14	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92015	黑龙之翼	YuYi_YY_TextHLZY	heilongzhiyi
14	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92015	黑龙之翼	YuYi_YY_TextHLZY	heilongzhiyi
15	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92016	怒火羽翼	YuYi_YY_TextNHYY	nuhuoyuyi
15	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92016	怒火羽翼	YuYi_YY_TextNHYY	nuhuoyuyi
15	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92016	怒火羽翼	YuYi_YY_TextNHYY	nuhuoyuyi
15	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92016	怒火羽翼	YuYi_YY_TextNHYY	nuhuoyuyi
15	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92016	怒火羽翼	YuYi_YY_TextNHYY	nuhuoyuyi
16	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92017	黄金之翼	YuYi_YY_TextHJZY	huangjinzhiyi
16	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92017	黄金之翼	YuYi_YY_TextHJZY	huangjinzhiyi
16	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92017	黄金之翼	YuYi_YY_TextHJZY	huangjinzhiyi
16	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92017	黄金之翼	YuYi_YY_TextHJZY	huangjinzhiyi
16	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92017	黄金之翼	YuYi_YY_TextHJZY	huangjinzhiyi
17	1	5	2	27167	5	1182	0	0	430	0	430	0	68	68	0	0	68	68	0	0	92018	七夕之梦	YuYi_YY_TextQXZM	qixichibang
17	2	5	4	27167	15	2364	0	0	860	0	860	0	136	136	0	0	136	136	0	0	92018	七夕之梦	YuYi_YY_TextQXZM	qixichibang
17	3	5	7	27167	30	4137	0	0	1505	0	1505	0	238	238	0	0	238	238	0	0	92018	七夕之梦	YuYi_YY_TextQXZM	qixichibang
17	4	5	10	27167	90	6500	0	0	2365	0	2365	0	374	374	0	0	374	374	0	0	92018	七夕之梦	YuYi_YY_TextQXZM	qixichibang
17	5	5	14	27167	300	9456	0	0	3440	0	3440	0	544	544	0	0	544	544	0	0	92018	七夕之梦	YuYi_YY_TextQXZM	qixichibang
