rewardId	score	scoreMax	levelRange	rewardItems	experience	rewardItemShow
22	9001	12000	2	[(25662,84),(25667,42),(25672,21)]	183750	[(25662,84),(25667,42),(25672,21),(25712,183750)]
23	12001	16000	2	[(25662,96),(25667,48),(25672,24)]	191250	[(25662,96),(25667,48),(25672,24),(25712,191250)]
24	16001	20000	2	[(25662,108),(25667,54),(25672,27)]	198750	[(25662,108),(25667,54),(25672,27),(25712,198750)]
25	20001	25000	2	[(25662,120),(25667,60),(25672,30)]	206250	[(25662,120),(25667,60),(25672,30),(25712,206250)]
26	25001	30000	2	[(25662,132),(25667,66),(25672,33)]	213750	[(25662,132),(25667,66),(25672,33),(25712,213750)]
27	30001	40000	2	[(25662,144),(25667,72),(25672,36)]	221250	[(25662,144),(25667,72),(25672,36),(25712,221250)]
28	40001	50000	2	[(25662,160),(25667,80),(25672,40)]	228750	[(25662,160),(25667,80),(25672,40),(25712,228750)]
29	50001	60000	2	[(25662,176),(25667,88),(25672,44)]	236250	[(25662,176),(25667,88),(25672,44),(25712,236250)]
30	60001	80000	2	[(25662,192),(25667,96),(25672,48)]	243750	[(25662,192),(25667,96),(25672,48),(25712,243750)]
31	80001	100000	2	[(25662,200),(25667,100),(25672,50)]	251250	[(25662,200),(25667,100),(25672,50),(25712,251250)]
32	100001	120000	2	[(25662,200),(25667,100),(25672,50)]	258750	[(25662,200),(25667,100),(25672,50),(25712,258750)]
33	120001	150000	2	[(25662,200),(25667,100),(25672,50)]	266250	[(25662,200),(25667,100),(25672,50),(25712,266250)]
34	150001	99999999	2	[(25662,200),(25667,100),(25672,50)]	273750	[(25662,200),(25667,100),(25672,50),(25712,273750)]
35	1	2000	3	[(25663,40),(25668,20),(25673,10)]	300000	[(25663,40),(25668,20),(25673,10),(25712,300000)]
36	2001	4000	3	[(25663,48),(25668,24),(25673,12)]	310000	[(25663,48),(25668,24),(25673,12),(25712,310000)]
37	4001	6000	3	[(25663,60),(25668,30),(25673,15)]	320000	[(25663,60),(25668,30),(25673,15),(25712,320000)]
38	6001	9000	3	[(25663,72),(25668,36),(25673,18)]	330000	[(25663,72),(25668,36),(25673,18),(25712,330000)]
39	9001	12000	3	[(25663,84),(25668,42),(25673,21)]	340000	[(25663,84),(25668,42),(25673,21),(25712,340000)]
40	12001	16000	3	[(25663,96),(25668,48),(25673,24)]	350000	[(25663,96),(25668,48),(25673,24),(25712,350000)]
41	16001	20000	3	[(25663,108),(25668,54),(25673,27)]	360000	[(25663,108),(25668,54),(25673,27),(25712,360000)]
42	20001	25000	3	[(25663,120),(25668,60),(25673,30)]	370000	[(25663,120),(25668,60),(25673,30),(25712,370000)]
43	25001	30000	3	[(25663,132),(25668,66),(25673,33)]	380000	[(25663,132),(25668,66),(25673,33),(25712,380000)]
44	30001	40000	3	[(25663,144),(25668,72),(25673,36)]	390000	[(25663,144),(25668,72),(25673,36),(25712,390000)]
45	40001	50000	3	[(25663,160),(25668,80),(25673,40)]	400000	[(25663,160),(25668,80),(25673,40),(25712,400000)]
46	50001	60000	3	[(25663,176),(25668,88),(25673,44)]	410000	[(25663,176),(25668,88),(25673,44),(25712,410000)]
47	60001	80000	3	[(25663,192),(25668,96),(25673,48)]	420000	[(25663,192),(25668,96),(25673,48),(25712,420000)]
48	80001	100000	3	[(25663,200),(25668,100),(25673,50)]	430000	[(25663,200),(25668,100),(25673,50),(25712,430000)]
49	100001	120000	3	[(25663,200),(25668,100),(25673,50)]	440000	[(25663,200),(25668,100),(25673,50),(25712,440000)]
50	120001	150000	3	[(25663,200),(25668,100),(25673,50)]	450000	[(25663,200),(25668,100),(25673,50),(25712,450000)]
51	150001	99999999	3	[(25663,200),(25668,100),(25673,50)]	460000	[(25663,200),(25668,100),(25673,50),(25712,460000)]
52	1	2000	4	[(25664,40),(25669,20),(25674,10)]	480000	[(25664,40),(25669,20),(25674,10),(25712,480000)]
53	2001	4000	4	[(25664,48),(25669,24),(25674,12)]	492000	[(25664,48),(25669,24),(25674,12),(25712,492000)]
54	4001	6000	4	[(25664,60),(25669,30),(25674,15)]	504000	[(25664,60),(25669,30),(25674,15),(25712,504000)]
55	6001	9000	4	[(25664,72),(25669,36),(25674,18)]	516000	[(25664,72),(25669,36),(25674,18),(25712,516000)]
56	9001	12000	4	[(25664,84),(25669,42),(25674,21)]	528000	[(25664,84),(25669,42),(25674,21),(25712,528000)]
57	12001	16000	4	[(25664,96),(25669,48),(25674,24)]	540000	[(25664,96),(25669,48),(25674,24),(25712,540000)]
58	16001	20000	4	[(25664,108),(25669,54),(25674,27)]	552000	[(25664,108),(25669,54),(25674,27),(25712,552000)]
59	20001	25000	4	[(25664,120),(25669,60),(25674,30)]	564000	[(25664,120),(25669,60),(25674,30),(25712,564000)]
60	25001	30000	4	[(25664,132),(25669,66),(25674,33)]	576000	[(25664,132),(25669,66),(25674,33),(25712,576000)]
61	30001	40000	4	[(25664,144),(25669,72),(25674,36)]	588000	[(25664,144),(25669,72),(25674,36),(25712,588000)]
62	40001	50000	4	[(25664,160),(25669,80),(25674,40)]	600000	[(25664,160),(25669,80),(25674,40),(25712,600000)]
63	50001	60000	4	[(25664,176),(25669,88),(25674,44)]	612000	[(25664,176),(25669,88),(25674,44),(25712,612000)]
64	60001	80000	4	[(25664,192),(25669,96),(25674,48)]	624000	[(25664,192),(25669,96),(25674,48),(25712,624000)]
65	80001	100000	4	[(25664,200),(25669,100),(25674,50)]	636000	[(25664,200),(25669,100),(25674,50),(25712,636000)]
66	100001	120000	4	[(25664,200),(25669,100),(25674,50)]	648000	[(25664,200),(25669,100),(25674,50),(25712,648000)]
67	120001	150000	4	[(25664,200),(25669,100),(25674,50)]	660000	[(25664,200),(25669,100),(25674,50),(25712,660000)]
68	150001	99999999	4	[(25664,200),(25669,100),(25674,50)]	672000	[(25664,200),(25669,100),(25674,50),(25712,672000)]
69	1	2000	5	[(25665,40),(25670,20),(25675,10)]	702000	[(25665,40),(25670,20),(25675,10),(25712,702000)]
70	2001	4000	5	[(25665,48),(25670,24),(25675,12)]	717000	[(25665,48),(25670,24),(25675,12),(25712,717000)]
71	4001	6000	5	[(25665,60),(25670,30),(25675,15)]	732000	[(25665,60),(25670,30),(25675,15),(25712,732000)]
72	6001	9000	5	[(25665,72),(25670,36),(25675,18)]	747000	[(25665,72),(25670,36),(25675,18),(25712,747000)]
73	9001	12000	5	[(25665,84),(25670,42),(25675,21)]	762000	[(25665,84),(25670,42),(25675,21),(25712,762000)]
74	12001	16000	5	[(25665,96),(25670,48),(25675,24)]	777000	[(25665,96),(25670,48),(25675,24),(25712,777000)]
75	16001	20000	5	[(25665,108),(25670,54),(25675,27)]	792000	[(25665,108),(25670,54),(25675,27),(25712,792000)]
76	20001	25000	5	[(25665,120),(25670,60),(25675,30)]	807000	[(25665,120),(25670,60),(25675,30),(25712,807000)]
77	25001	30000	5	[(25665,132),(25670,66),(25675,33)]	822000	[(25665,132),(25670,66),(25675,33),(25712,822000)]
78	30001	40000	5	[(25665,144),(25670,72),(25675,36)]	837000	[(25665,144),(25670,72),(25675,36),(25712,837000)]
79	40001	50000	5	[(25665,160),(25670,80),(25675,40)]	852000	[(25665,160),(25670,80),(25675,40),(25712,852000)]
80	50001	60000	5	[(25665,176),(25670,88),(25675,44)]	867000	[(25665,176),(25670,88),(25675,44),(25712,867000)]
81	60001	80000	5	[(25665,192),(25670,96),(25675,48)]	882000	[(25665,192),(25670,96),(25675,48),(25712,882000)]
82	80001	100000	5	[(25665,200),(25670,100),(25675,50)]	897000	[(25665,200),(25670,100),(25675,50),(25712,897000)]
83	100001	120000	5	[(25665,200),(25670,100),(25675,50)]	912000	[(25665,200),(25670,100),(25675,50),(25712,912000)]
84	120001	150000	5	[(25665,200),(25670,100),(25675,50)]	927000	[(25665,200),(25670,100),(25675,50),(25712,927000)]
85	150001	99999999	5	[(25665,200),(25670,100),(25675,50)]	942000	[(25665,200),(25670,100),(25675,50),(25712,942000)]
86	1	2000	6	[(27048,40),(27049,20),(27050,10)]	988000	[(27048,40),(27049,20),(27050,10),(25712,988000)]
87	2001	4000	6	[(27048,48),(27049,24),(27050,12)]	1008000	[(27048,48),(27049,24),(27050,12),(25712,1008000)]
88	4001	6000	6	[(27048,60),(27049,30),(27050,15)]	1028000	[(27048,60),(27049,30),(27050,15),(25712,1028000)]
89	6001	9000	6	[(27048,72),(27049,36),(27050,18)]	1048000	[(27048,72),(27049,36),(27050,18),(25712,1048000)]
90	9001	12000	6	[(27048,84),(27049,42),(27050,21)]	1068000	[(27048,84),(27049,42),(27050,21),(25712,1068000)]
91	12001	16000	6	[(27048,96),(27049,48),(27050,24)]	1088000	[(27048,96),(27049,48),(27050,24),(25712,1088000)]
92	16001	20000	6	[(27048,108),(27049,54),(27050,27)]	1108000	[(27048,108),(27049,54),(27050,27),(25712,1108000)]
93	20001	25000	6	[(27048,120),(27049,60),(27050,30)]	1128000	[(27048,120),(27049,60),(27050,30),(25712,1128000)]
94	25001	30000	6	[(27048,132),(27049,66),(27050,33)]	1148000	[(27048,132),(27049,66),(27050,33),(25712,1148000)]
95	30001	40000	6	[(27048,144),(27049,72),(27050,36)]	1168000	[(27048,144),(27049,72),(27050,36),(25712,1168000)]
96	40001	50000	6	[(27048,160),(27049,80),(27050,40)]	1188000	[(27048,160),(27049,80),(27050,40),(25712,1188000)]
97	50001	60000	6	[(27048,176),(27049,88),(27050,44)]	1208000	[(27048,176),(27049,88),(27050,44),(25712,1208000)]
98	60001	80000	6	[(27048,192),(27049,96),(27050,48)]	1228000	[(27048,192),(27049,96),(27050,48),(25712,1228000)]
99	80001	100000	6	[(27048,200),(27049,100),(27050,50)]	1248000	[(27048,200),(27049,100),(27050,50),(25712,1248000)]
100	100001	120000	6	[(27048,200),(27049,100),(27050,50)]	1268000	[(27048,200),(27049,100),(27050,50),(25712,1268000)]
101	120001	150000	6	[(27048,200),(27049,100),(27050,50)]	1288000	[(27048,200),(27049,100),(27050,50),(25712,1288000)]
102	150001	99999999	6	[(27048,200),(27049,100),(27050,50)]	1308000	[(27048,200),(27049,100),(27050,50),(25712,1308000)]
103	1	2000	7	[(27904,40),(27905,20),(27906,10)]	1348000	[(27904,40),(27905,20),(27906,10),(25712,1348000)]
104	2001	4000	7	[(27904,48),(27905,24),(27906,12)]	1360000	[(27904,48),(27905,24),(27906,12),(25712,1360000)]
105	4001	6000	7	[(27904,60),(27905,30),(27906,15)]	1372000	[(27904,60),(27905,30),(27906,15),(25712,1372000)]
106	6001	9000	7	[(27904,72),(27905,36),(27906,18)]	1384000	[(27904,72),(27905,36),(27906,18),(25712,1384000)]
107	9001	12000	7	[(27904,84),(27905,42),(27906,21)]	1396000	[(27904,84),(27905,42),(27906,21),(25712,1396000)]
108	12001	16000	7	[(27904,96),(27905,48),(27906,24)]	1408000	[(27904,96),(27905,48),(27906,24),(25712,1408000)]
109	16001	20000	7	[(27904,108),(27905,54),(27906,27)]	1420000	[(27904,108),(27905,54),(27906,27),(25712,1420000)]
110	20001	25000	7	[(27904,120),(27905,60),(27906,30)]	1432000	[(27904,120),(27905,60),(27906,30),(25712,1432000)]
111	25001	30000	7	[(27904,132),(27905,66),(27906,33)]	1444000	[(27904,132),(27905,66),(27906,33),(25712,1444000)]
112	30001	40000	7	[(27904,144),(27905,72),(27906,36)]	1456000	[(27904,144),(27905,72),(27906,36),(25712,1456000)]
113	40001	50000	7	[(27904,160),(27905,80),(27906,40)]	1468000	[(27904,160),(27905,80),(27906,40),(25712,1468000)]
114	50001	60000	7	[(27904,176),(27905,88),(27906,44)]	1480000	[(27904,176),(27905,88),(27906,44),(25712,1480000)]
115	60001	80000	7	[(27904,192),(27905,96),(27906,48)]	1492000	[(27904,192),(27905,96),(27906,48),(25712,1492000)]
116	80001	100000	7	[(27904,200),(27905,100),(27906,50)]	1504000	[(27904,200),(27905,100),(27906,50),(25712,1504000)]
117	100001	120000	7	[(27904,200),(27905,100),(27906,50)]	1516000	[(27904,200),(27905,100),(27906,50),(25712,1516000)]
118	120001	150000	7	[(27904,200),(27905,100),(27906,50)]	1528000	[(27904,200),(27905,100),(27906,50),(25712,1528000)]
119	150001	99999999	7	[(27904,200),(27905,100),(27906,50)]	1540000	[(27904,200),(27905,100),(27906,50),(25712,1540000)]
