monster_camp_id	Des	pos1	pos2	pos3	pos4	pos5	pos6
1062	副本	1063	1063	1063	1063	1063	1063
1063	副本	1064	1064	1064	1062	1064	1064
1071	副本	1071	1071	1071	1071	1071	1071
1072	副本	1073	1073	1073	1073	1073	1073
1073	副本	1074	1074	1074	1072	1074	1074
1081	副本	1081	1081	1081	1081	1081	1081
1082	副本	1083	1083	1083	1083	1083	1083
1083	副本	1084	1084	1084	1082	1084	1084
1091	副本	1091	1091	1091	1091	1091	1091
1092	副本	1093	1093	1093	1093	1093	1093
1093	副本	1094	1094	1094	1092	1094	1094
1101	副本	1101	1101	1101	1101	1101	1101
1102	副本	1103	1103	1103	1103	1103	1103
1103	副本	1104	1104	1104	1102	1104	1104
1111	副本	1111	1111	1111	1111	1111	1111
1112	副本	1113	1113	1113	1113	1113	1113
1113	副本	1114	1114	1114	1112	1114	1114
1121	副本	1121	1121	1121	1121	1121	1121
1122	副本	1123	1123	1123	1123	1123	1123
1123	副本	1124	1124	1124	1122	1124	1124
1131	副本	1131	1131	1131	1131	1131	1131
1132	副本	1133	1133	1133	1133	1133	1133
1133	副本	1134	1134	1134	1132	1134	1134
1141	副本	1141	1141	1141	1141	1141	1141
1142	副本	1143	1143	1143	1143	1143	1143
1143	副本	1144	1144	1144	1142	1144	1144
1151	副本	1151	1151	1151	1151	1151	1151
1152	副本	1153	1153	1153	1153	1153	1153
1153	副本	1154	1154	1154	1152	1154	1154
1161	副本	1161	1161	1161	1161	1161	1161
1162	副本	1163	1163	1163	1163	1163	1163
1163	副本	1164	1164	1164	1162	1164	1164
1171	副本	1171	1171	1171	1171	1171	1171
1172	副本	1173	1173	1173	1173	1173	1173
1173	副本	1174	1174	1174	1172	1174	1174
1181	副本	1181	1181	1181	1181	1181	1181
1182	副本	1183	1183	1183	1183	1183	1183
1183	副本	1184	1184	1184	1182	1184	1184
1191	副本	1191	1191	1191	1191	1191	1191
1192	副本	1193	1193	1193	1193	1193	1193
1193	副本	1194	1194	1194	1192	1194	1194
1201	副本	1201	1201	1201	1201	1201	1201
1202	副本	1203	1203	1203	1203	1203	1203
1203	副本	1204	1204	1204	1202	1204	1204
1211	副本	1211	1211	1211	1211	1211	1211
1212	副本	1213	1213	1213	1213	1213	1213
1213	副本	1214	1214	1214	1212	1214	1214
1221	副本	1221	1221	1221	1221	1221	1221
1222	副本	1223	1223	1223	1223	1223	1223
1223	副本	1224	1224	1224	1222	1224	1224
1231	副本	1231	1231	1231	1231	1231	1231
1232	副本	1233	1233	1233	1233	1233	1233
1233	副本	1234	1234	1234	1232	1234	1234
1241	副本	1241	1241	1241	1241	1241	1241
1242	副本	1243	1243	1243	1243	1243	1243
1243	副本	1244	1244	1244	1242	1244	1244
1251	副本	1251	1251	1251	1251	1251	1251
1252	副本	1253	1253	1253	1253	1253	1253
1253	副本	1254	1254	1254	1252	1254	1254
1261	副本	1261	1261	1261	1261	1261	1261
1262	副本	1263	1263	1263	1263	1263	1263
1263	副本	1264	1264	1264	1262	1264	1264
1271	副本	1271	1271	1271	1271	1271	1271
1272	副本	1273	1273	1273	1273	1273	1273
1273	副本	1274	1274	1274	1272	1274	1274
1281	副本	1281	1281	1281	1281	1281	1281
1282	副本	1283	1283	1283	1283	1283	1283
1283	副本	1284	1284	1284	1282	1284	1284
1291	副本	1291	1291	1291	1291	1291	1291
1292	副本	1293	1293	1293	1293	1293	1293
1293	副本	1294	1294	1294	1292	1294	1294
1301	副本	1301	1301	1301	1301	1301	1301
1302	副本	1303	1303	1303	1303	1303	1303
1303	副本	1304	1304	1304	1302	1304	1304
1311	副本	1311	1311	1311	1311	1311	1311
1312	副本	1313	1313	1313	1313	1313	1313
1313	副本	1314	1314	1314	1312	1314	1314
1321	副本	1321	1321	1321	1321	1321	1321
1322	副本	1323	1323	1323	1323	1323	1323
1323	副本	1324	1324	1324	1322	1324	1324
1331	副本	1331	1331	1331	1331	1331	1331
1332	副本	1333	1333	1333	1333	1333	1333
1333	副本	1334	1334	1334	1332	1334	1334
1341	副本	1341	1341	1341	1341	1341	1341
1342	副本	1343	1343	1343	1343	1343	1343
1343	副本	1344	1344	1344	1342	1344	1344
1351	副本	1351	1351	1351	1351	1351	1351
1352	副本	1353	1353	1353	1353	1353	1353
1353	副本	1354	1354	1354	1352	1354	1354
1361	副本	1361	1361	1361	1361	1361	1361
1362	副本	1363	1363	1363	1363	1363	1363
1363	副本	1364	1364	1364	1362	1364	1364
1371	副本	1371	1371	1371	1371	1371	1371
1372	副本	1373	1373	1373	1373	1373	1373
1373	副本	1374	1374	1374	1372	1374	1374
1381	副本	1381	1381	1381	1381	1381	1381
1382	副本	1383	1383	1383	1383	1383	1383
1383	副本	1384	1384	1384	1382	1384	1384
1391	副本	1391	1391	1391	1391	1391	1391
1392	副本	1393	1393	1393	1393	1393	1393
1393	副本	1394	1394	1394	1392	1394	1394
1401	副本	1401	1401	1401	1401	1401	1401
1402	副本	1403	1403	1403	1403	1403	1403
1403	副本	1404	1404	1404	1402	1404	1404
1411	副本	1411	1411	1411	1411	1411	1411
1412	副本	1413	1413	1413	1413	1413	1413
1413	副本	1414	1414	1414	1412	1414	1414
1421	副本	1421	1421	1421	1421	1421	1421
1422	副本	1423	1423	1423	1423	1423	1423
1423	副本	1424	1424	1424	1422	1424	1424
1431	副本	1431	1431	1431	1431	1431	1431
1432	副本	1433	1433	1433	1433	1433	1433
1433	副本	1434	1434	1434	1432	1434	1434
1441	副本	1441	1441	1441	1441	1441	1441
1442	副本	1443	1443	1443	1443	1443	1443
1443	副本	1444	1444	1444	1442	1444	1444
1451	副本	1451	1451	1451	1451	1451	1451
1452	副本	1453	1453	1453	1453	1453	1453
1453	副本	1454	1454	1454	1452	1454	1454
1461	副本	1461	1461	1461	1461	1461	1461
1462	副本	1463	1463	1463	1463	1463	1463
1463	副本	1464	1464	1464	1462	1464	1464
1471	副本	1471	1471	1471	1471	1471	1471
1472	副本	1473	1473	1473	1473	1473	1473
1473	副本	1474	1474	1474	1472	1474	1474
1481	副本	1481	1481	1481	1481	1481	1481
1482	副本	1483	1483	1483	1483	1483	1483
1483	副本	1484	1484	1484	1482	1484	1484
1491	副本	1491	1491	1491	1491	1491	1491
1492	副本	1493	1493	1493	1493	1493	1493
1493	副本	1494	1494	1494	1492	1494	1494
1501	副本	1501	1501	1501	1501	1501	1501
1502	副本	1503	1503	1503	1503	1503	1503
1503	副本	1504	1504	1504	1502	1504	1504
1511	副本	1511	1511	1511	1511	1511	1511
1512	副本	1513	1513	1513	1513	1513	1513
1513	副本	1514	1514	1514	1512	1514	1514
1521	副本	1521	1521	1521	1521	1521	1521
1522	副本	1523	1523	1523	1523	1523	1523
1523	副本	1524	1524	1524	1522	1524	1524
1531	副本	1531	1531	1531	1531	1531	1531
1532	副本	1533	1533	1533	1533	1533	1533
1533	副本	1534	1534	1534	1532	1534	1534
1541	副本	1541	1541	1541	1541	1541	1541
1542	副本	1543	1543	1543	1543	1543	1543
1543	副本	1544	1544	1544	1542	1544	1544
1551	副本	1551	1551	1551	1551	1551	1551
1552	副本	1553	1553	1553	1553	1553	1553
1553	副本	1554	1554	1554	1552	1554	1554
1561	副本	1561	1561	1561	1561	1561	1561
1562	副本	1563	1563	1563	1563	1563	1563
1563	副本	1564	1564	1564	1562	1564	1564
1571	副本	1571	1571	1571	1571	1571	1571
1572	副本	1573	1573	1573	1573	1573	1573
1573	副本	1574	1574	1574	1572	1574	1574
1581	副本	1581	1581	1581	1581	1581	1581
1582	副本	1583	1583	1583	1583	1583	1583
1583	副本	1584	1584	1584	1582	1584	1584
1591	副本	1591	1591	1591	1591	1591	1591
1592	副本	1593	1593	1593	1593	1593	1593
1593	副本	1594	1594	1594	1592	1594	1594
1601	副本	1601	1601	1601	1601	1601	1601
1602	副本	1603	1603	1603	1603	1603	1603
1603	副本	1604	1604	1604	1602	1604	1604
1611	副本	1611	1611	1611	1611	1611	1611
1612	副本	1613	1613	1613	1613	1613	1613
1613	副本	1614	1614	1614	1612	1614	1614
1621	副本	1621	1621	1621	1621	1621	1621
1622	副本	1623	1623	1623	1623	1623	1623
1623	副本	1624	1624	1624	1622	1624	1624
2001	恶魔深渊		4111		4111		4111
2002	恶魔深渊		4112		4112		4112
2003	恶魔深渊				4114		
2004	恶魔深渊		4121		4121		4121
2005	恶魔深渊		4122		4122		4122
2006	恶魔深渊				4124		
2007	恶魔深渊		4131		4131		4131
2008	恶魔深渊		4132		4132		4132
2009	恶魔深渊				4134		
2010	恶魔深渊		4141		4141		4141
2011	恶魔深渊		4142		4142		4142
2012	恶魔深渊				4144		
2013	恶魔深渊	4211	4211	4211	4211	4211	4211
2014	恶魔深渊	4212	4212	4212	4212	4212	4212
2015	恶魔深渊				4214		
2016	恶魔深渊	4221	4221	4221	4221	4221	4221
2017	恶魔深渊	4222	4222	4222	4222	4222	4222
2018	恶魔深渊				4224		
2019	恶魔深渊	4231	4231	4231	4231	4231	4231
2020	恶魔深渊	4232	4232	4232	4232	4232	4232
2021	恶魔深渊				4234		
2022	恶魔深渊	4241	4241	4241	4241	4241	4241
2023	恶魔深渊	4242	4242	4242	4242	4242	4242
2024	恶魔深渊				4244		
2025	恶魔深渊	4311	4311	4311	4311	4311	4311
2026	恶魔深渊	4312	4312	4312	4312	4312	4312
2027	恶魔深渊				4314		
2028	恶魔深渊	4321	4321	4321	4321	4321	4321
2029	恶魔深渊	4322	4322	4322	4322	4322	4322
2030	恶魔深渊				4324		
2031	恶魔深渊	4331	4331	4331	4331	4331	4331
2032	恶魔深渊	4332	4332	4332	4332	4332	4332
2033	恶魔深渊				4334		
2034	恶魔深渊	4341	4341	4341	4341	4341	4341
2035	恶魔深渊	4342	4342	4342	4342	4342	4342
2036	恶魔深渊				4344		
2037	恶魔深渊	4411	4411	4411	4411	4411	4411
2038	恶魔深渊	4412	4412	4412	4412	4412	4412
2039	恶魔深渊				4414		
2040	恶魔深渊	4421	4421	4421	4421	4421	4421
2041	恶魔深渊	4422	4422	4422	4422	4422	4422
2042	恶魔深渊				4424		
2043	恶魔深渊	4431	4431	4431	4431	4431	4431
2044	恶魔深渊	4432	4432	4432	4432	4432	4432
2045	恶魔深渊				4434		
2046	恶魔深渊	4441	4441	4441	4441	4441	4441
2047	恶魔深渊	4442	4442	4442	4442	4442	4442
2048	恶魔深渊				4444		
2049	恶魔深渊	4511	4511	4511	4511	4511	4511
2050	恶魔深渊	4512	4512	4512	4512	4512	4512
2051	恶魔深渊				4514		
2052	恶魔深渊	4521	4521	4521	4521	4521	4521
2053	恶魔深渊	4522	4522	4522	4522	4522	4522
2054	恶魔深渊				4524		
2055	恶魔深渊	4531	4531	4531	4531	4531	4531
2056	恶魔深渊	4532	4532	4532	4532	4532	4532
2057	恶魔深渊				4534		
2058	恶魔深渊	4541	4541	4541	4541	4541	4541
2059	恶魔深渊	4542	4542	4542	4542	4542	4542
2060	恶魔深渊				4544		
2061	恶魔深渊	4611	4611	4611	4611	4611	4611
2062	恶魔深渊	4612	4612	4612	4612	4612	4612
2063	恶魔深渊				4614		
2064	恶魔深渊	4621	4621	4621	4621	4621	4621
2065	恶魔深渊	4622	4622	4622	4622	4622	4622
2066	恶魔深渊				4624		
2067	恶魔深渊	4631	4631	4631	4631	4631	4631
2068	恶魔深渊	4632	4632	4632	4632	4632	4632
2069	恶魔深渊				4634		
2070	恶魔深渊	4641	4641	4641	4641	4641	4641
2071	恶魔深渊	4642	4642	4642	4642	4642	4642
2072	恶魔深渊				4644		
2073	恶魔深渊	4711	4711	4711	4711	4711	4711
2074	恶魔深渊	4712	4712	4712	4712	4712	4712
2075	恶魔深渊				4714		
2076	恶魔深渊	4721	4721	4721	4721	4721	4721
2077	恶魔深渊	4722	4722	4722	4722	4722	4722
2078	恶魔深渊				4724		
2079	恶魔深渊	4731	4731	4731	4731	4731	4731
2080	恶魔深渊	4732	4732	4732	4732	4732	4732
2081	恶魔深渊				4734		
2082	恶魔深渊	4741	4741	4741	4741	4741	4741
2083	恶魔深渊	4742	4742	4742	4742	4742	4742
2084	恶魔深渊				4744		
2085	恶魔深渊	4811	4811	4811	4811	4811	4811
2086	恶魔深渊	4812	4812	4812	4812	4812	4812
2087	恶魔深渊				4814		
2088	恶魔深渊	4821	4821	4821	4821	4821	4821
2089	恶魔深渊	4822	4822	4822	4822	4822	4822
2090	恶魔深渊				4824		
2091	恶魔深渊	4831	4831	4831	4831	4831	4831
2092	恶魔深渊	4832	4832	4832	4832	4832	4832
2093	恶魔深渊				4834		
2094	恶魔深渊	4841	4841	4841	4841	4841	4841
2095	恶魔深渊	4842	4842	4842	4842	4842	4842
2096	恶魔深渊				4844		
2900	36情缘副本boss				5000		
2901	40情缘副本boss				5001		
2902	60情缘副本boss				5002		
2903	80情缘副本boss				5003		
2904	100情缘副本boss				5004		
2905	36情缘副本小怪				5010		
2906	40情缘副本小怪				5011		
2907	60情缘副本小怪				5012		
2908	80情缘副本小怪				5013		
2909	100情缘副本小怪				5014		
2910	120情缘副本小怪				5015		
2911	120情缘副本boss				5016		
2912	140情缘副本小怪				5017		
2913	140情缘副本boss				5018		
2914	160情缘副本小怪				5019		
2915	160情缘副本boss				5020		
3001	心魔炼狱	5101	5101	5101	5101	5101	5101
3002	心魔炼狱	5102	5102	5102	5102	5102	5102
3003	心魔炼狱				5116		
3004	心魔炼狱	5104	5104	5104	5104	5104	5104
3005	心魔炼狱	5105	5105	5105	5105	5105	5105
3006	心魔炼狱				5117		
3007	心魔炼狱	5107	5107	5107	5107	5107	5107
3008	心魔炼狱	5108	5108	5108	5108	5108	5108
3009	心魔炼狱	5109	5109	5109	5118	5109	5109
3010	心魔炼狱	5110	5110	5110	5110	5110	5110
3011	心魔炼狱	5111	5111	5111	5111	5111	5111
3012	心魔炼狱	5112	5523	5112	5119	5112	5523
3013	心魔炼狱	5113	5113	5113	5113	5113	5113
3014	心魔炼狱	5114	5114	5114	5114	5114	5114
3015	心魔炼狱	5115	5524	5115	5120	5115	5524
3016	心魔炼狱	5201	5201	5201	5201	5201	5201
3017	心魔炼狱	5202	5202	5202	5202	5202	5202
3018	心魔炼狱	5203	5203	5203	5216	5203	5203
3019	心魔炼狱	5204	5204	5204	5204	5204	5204
3020	心魔炼狱	5205	5205	5205	5205	5205	5205
3021	心魔炼狱	5206	5206	5206	5217	5206	5206
3022	心魔炼狱	5207	5207	5207	5207	5207	5207
3023	心魔炼狱	5208	5208	5208	5208	5208	5208
3024	心魔炼狱	5209	5209	5209	5218	5209	5209
3025	心魔炼狱	5210	5210	5210	5210	5210	5210
3026	心魔炼狱	5211	5211	5211	5211	5211	5211
3027	心魔炼狱	5212	5521	5212	5219	5212	5521
3028	心魔炼狱	5213	5213	5213	5213	5213	5213
3029	心魔炼狱	5214	5214	5214	5214	5214	5214
3030	心魔炼狱	5215	5522	5215	5220	5215	5522
3031	心魔炼狱	5301	5301	5301	5301	5301	5301
3032	心魔炼狱	5302	5302	5302	5302	5302	5302
3033	心魔炼狱	5303	5303	5303	5316	5303	5303
3034	心魔炼狱	5304	5304	5304	5304	5304	5304
3035	心魔炼狱	5305	5305	5305	5305	5305	5305
3036	心魔炼狱	5306	5306	5306	5317	5306	5306
3037	心魔炼狱	5307	5307	5307	5307	5307	5307
3038	心魔炼狱	5308	5308	5308	5308	5308	5308
3039	心魔炼狱	5309	5309	5309	5318	5309	5309
3040	心魔炼狱	5310	5310	5310	5310	5310	5310
3041	心魔炼狱	5311	5311	5311	5311	5311	5311
3042	心魔炼狱	5312	5525	5312	5319	5312	5525
3043	心魔炼狱	5313	5313	5313	5313	5313	5313
3044	心魔炼狱	5314	5314	5314	5314	5314	5314
3045	心魔炼狱	5315	5526	5315	5320	5315	5526
3046	心魔炼狱	5401	5401	5401	5401	5401	5401
3047	心魔炼狱	5402	5402	5402	5402	5402	5402
3048	心魔炼狱	5403	5403	5403	5416	5403	5403
3049	心魔炼狱	5404	5404	5404	5404	5404	5404
3050	心魔炼狱	5405	5405	5405	5405	5405	5405
3051	心魔炼狱	5406	5406	5406	5417	5406	5406
3052	心魔炼狱	5407	5407	5407	5407	5407	5407
3053	心魔炼狱	5408	5408	5408	5408	5408	5408
3054	心魔炼狱	5409	5409	5409	5418	5409	5409
3055	心魔炼狱	5410	5410	5410	5410	5410	5410
3056	心魔炼狱	5411	5411	5411	5411	5411	5411
3057	心魔炼狱	5412	5525	5412	5419	5412	5525
3058	心魔炼狱	5413	5413	5413	5413	5413	5413
3059	心魔炼狱	5414	5414	5414	5414	5414	5414
3060	心魔炼狱	5415	5526	5415	5420	5415	5526
3061	心魔炼狱	5501	5501	5501	5501	5501	5501
3062	心魔炼狱	5502	5502	5502	5502	5502	5502
3063	心魔炼狱	5503	5503	5503	5516	5503	5503
3064	心魔炼狱	5504	5504	5504	5504	5504	5504
3065	心魔炼狱	5505	5505	5505	5505	5505	5505
3066	心魔炼狱	5506	5506	5506	5517	5506	5506
3067	心魔炼狱	5507	5507	5507	5507	5507	5507
3068	心魔炼狱	5508	5508	5508	5508	5508	5508
3069	心魔炼狱	5509	5509	5509	5518	5509	5509
3070	心魔炼狱	5510	5510	5510	5510	5510	5510
3071	心魔炼狱	5511	5511	5511	5511	5511	5511
