skillId	skillLevel	name	skillZDL
2212	1	气元素进阶主动技	100
2213	1	水元素主动技	100
2214	1	水元素进阶主动技	100
2215	1	火元素主动技	100
2216	1	火元素进阶主动技	100
2217	1	岩石之肤	100
2218	1	钻石之肤	100
2219	1	灵光照	100
2220	1	圣光之耀	100
2221	1	暗元素主动技	100
2222	1	暗元素进阶主动技	100
2223	1	冰火之怒	100
2224	1	圣光之耀	100
2225	1	瞄准射击	100
2226	1	巨炮轰击	100
2227	1	吸血之触	100
2228	1	血腥之翼	100
2229	1	快刀斩	100
2230	1	双刀风暴	100
2231	1	法师主动技	100
2232	1	法师进阶主动技	100
2233	1	神怪主动技	100
2234	1	神怪进阶主动技	100
2235	1	光刃斩	100
2236	1	疾风双刃	100
2237	1	泰坦主动技	100
2238	1	泰坦进阶主动技	100
2239	1	强盗主动技	100
2240	1	强盗进阶主动技	100
2241	1	海盗主动技	100
2242	1	海盗进阶主动技	100
2243	1	夺命射击	100
2244	1	双枪射击	100
2245	1	夺灵术	100
2246	1	吸魂术	100
2247	1	毒刃	100
2248	1	夜影击	100
2249	1	怒劈	100
2250	1	俯冲斩	100
31001	1	铁盾	100
31002	1	钢盾	100
31003	1	穿杨	100
31004	1	裂甲	100
31005	1	健体(1级)	100
31006	1	健体(2级)	100
31127	1	健体(3级)	100
31007	1	锋利(1级)	100
31008	1	锋利(2级)	100
31128	1	锋利(3级)	100
31009	1	法师奥义(1级)	100
31010	1	法师奥义(2级)	100
31129	1	法师奥义(3级)	100
31011	1	骑术	100
31012	1	骑兵突击	100
31013	1	测试	100
31014	1	测试	100
31015	1	测试	100
31016	1	测试	100
31017	1	测试	100
31018	1	测试	100
31019	1	鬼影(1级)	100
31020	1	鬼影(2级)	100
31130	1	鬼影(3级)	100
31021	1	巨剑之力	100
31022	1	黑暗之力	100
31023	1	测试	100
31024	1	测试	100
31025	1	测试	100
31026	1	测试	100
31027	1	死亡气息(1级)	100
31028	1	死亡气息(2级)	100
31131	1	死亡气息(3级)	100
31029	1	测试	100
31030	1	测试	100
31031	1	狡诈(1级)	100
31032	1	狡诈(2级)	100
31132	1	狡诈(3级)	100
31033	1	好战	100
31034	1	勇猛	100
31035	1	钢铁之躯(1级)	100
31036	1	钢铁之躯(2级)	100
31133	1	钢铁之躯(3级)	100
31037	1	雷电之翼(1级)	100
31038	1	雷电之翼(2级)	100
31134	1	雷电之翼(3级)	100
31039	1	测试	100
31040	1	测试	100
31041	1	强壮(1级)	100
31042	1	强壮(2级)	100
31135	1	强壮(3级)	100
31043	1	刀刃护体(1级)	100
31044	1	刀刃护体(2级)	100
31136	1	刀刃护体(3级)	100
31045	1	穿心箭头(1级)	100
31046	1	穿心箭头(2级)	100
31137	1	穿心箭头(3级)	100
31047	1	聪慧	100
31048	1	睿智	100
31049	1	测试	100
31050	1	测试	100
31051	1	急速俯冲(1级)	100
31052	1	急速俯冲(2级)	100
31138	1	急速俯冲(3级)	100
31053	1	测试	100
31054	1	测试	100
31055	1	急速火焰(1级)	100
31056	1	急速火焰(2级)	100
31139	1	急速火焰(3级)	100
31057	1	顽强	100
31058	1	越战越勇	100
31059	1	测试	100
31060	1	测试	100
31061	1	坚韧	100
31062	1	不死决心	100
31063	1	测试	100
31064	1	测试	100
31065	1	魔法力量(1级)	100
31066	1	魔法力量(2级)	100
31140	1	魔法力量(3级)	100
31067	1	清晰(1级)	100
31068	1	清晰(2级)	100
31141	1	清晰(3级)	100
31069	1	顽强	100
31070	1	越战越勇	100
31071	1	测试	100
31072	1	测试	100
31073	1	龙之眼(1级)	100
31074	1	龙之眼(2级)	100
31142	1	龙之眼(3级)	100
31075	1	魅影(1级)	100
31076	1	魅影(2级)	100
31143	1	魅影(3级)	100
31077	1	测试	100
31078	1	测试	100
31079	1	测试	100
31080	1	测试	100
31081	1	测试	100
31082	1	测试	100
31083	1	深渊之力(1级)	100
31084	1	深渊之力(2级)	100
31144	1	深渊之力(3级)	100
31085	1	测试	100
31086	1	测试	100
31087	1	测试	100
31088	1	测试	100
31089	1	测试	100
31090	1	测试	100
31091	1	大地苏醒(1级)	100
31092	1	大地苏醒(2级)	100
31145	1	大地苏醒(3级)	100
31093	1	无形	100
31094	1	虚灵	100
31095	1	测试	100
31096	1	测试	100
31097	1	魔法凝聚(1级)	100
31098	1	魔法凝聚(2级)	100
31146	1	魔法凝聚(3级)	100
31099	1	稳固	100
31100	1	爆破火药	100
31101	1	利齿	100
31102	1	血之诅咒	100
31103	1	快刀	100
31104	1	无影	100
31105	1	测试	100
31106	1	测试	100
31107	1	测试	100
31108	1	测试	100
31109	1	坚毅(1级)	100
31110	1	坚毅(2级)	100
31147	1	坚毅(3级)	100
31111	1	测试	100
31112	1	测试	100
31113	1	测试	100
31114	1	测试	100
31115	1	测试	100
31116	1	测试	100
31117	1	精准枪头(1级)	100
31118	1	精准枪头(2级)	100
31148	1	精准枪头(3级)	100
31119	1	无形(1级)	100
31120	1	无形(2级)	100
31149	1	无形(3级)	100
31121	1	敏锐	100
31122	1	刺杀	100
31123	1	平衡打击(1级)	100
31124	1	平衡打击(2级)	100
31150	1	平衡打击(3级)	100
31125	1	测试	100
31126	1	测试	100
