lotteryTimes	rateItems	extraItem	nextExtraItemPreview	specialItem	specialItemPreview	extraItemNeedTimes	mountId	needRMB	rateTimes
18	[(27073,1,525),(28511,1,525),(25600,24,2441),(26344,24,2441),(26343,24,2441),(26224,1,1627)]		[(27566,2)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26224,1)]	3	20,14	240	150
19	[(27073,1,613),(28511,1,612),(25600,26,2393),(26344,26,2393),(26343,26,2393),(26225,1,1596)]		[(27566,2)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26225,1)]	2	20,14	260	175
20	[(27073,1,700),(28511,1,700),(25600,28,2345),(26344,28,2345),(26343,28,2345),(26225,1,1565)]	[(27566,2)]	[(27566,2)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26225,1)]	1	20,14	280	200
21	[(27073,1,788),(28511,1,787),(25600,28,2298),(26344,28,2298),(26343,28,2298),(26225,1,1531)]		[(27566,3)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26225,1)]	5	20,14	288	225
22	[(27073,1,875),(28511,1,875),(25600,28,2250),(26344,28,2250),(26343,28,2250),(26225,1,1500)]		[(27566,3)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1,(26225,1)]	4	20,14	288	250
23	[(27073,1,963),(28511,1,962),(25600,28,2202),(26344,28,2202),(26343,28,2202),(26225,1,1469)]		[(27566,3)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26225,1)]	3	20,14	288	275
24	[(27073,1,1050),(28511,1,1050),(25600,28,2155),(26344,28,2155),(26343,28,2155),(26225,1,1435)]		[(27566,3)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26225,1)]	2	20,14	288	300
25	[(27073,1,1138),(28511,1,1137),(25600,28,2107),(26344,28,2107),(26343,28,2107),(26225,1,1404)]	[(27566,3)]	[(27566,3)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26225,1)]	1	20,14	288	325
26	[(27073,1,1225),(28511,1,1225),(25600,28,2059),(26344,28,2059),(26343,28,2059),(26225,1,1373)]		[(27566,4)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26225,1)]	5	20,14	288	350
27	[(27073,1,1313),(28511,1,1312),(25600,28,2011),(26344,28,2011),(26343,28,2011),(26225,1,1342)]		[(27566,4)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26225,1)]	4	20,14	288	375
28	[(27073,1,1400),(28511,1,1400),(25600,28,1964),(26344,28,1964),(26343,28,1964),(26225,1,1308)]		[(27566,4)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26225,1)]	3	20,14	288	400
29	[(27073,1,1488),(28511,1,1487),(25600,28,1916),(26344,28,1916),(26343,28,1916),(26225,1,1277)]		[(27566,4)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26225,1)]	2	20,14	288	425
30	[(27073,1,1575),(28511,1,1575),(25600,28,1868),(26344,28,1868),(26343,28,1868),(26225,1,1246)]	[(27566,4)]	[(27566,4)]	[(27073,1),(28511,1)]	[(27073,1),(28511,1),(26225,1)]	1	20,14	288	450
31	[(27073,1,5000),(28511,1,5000)]			[(27073,1),(28511,1)]	[(27073,1)]	0	20,14	300	999
