rewardId	rewardType	rangeId	levelRange	item	rate	isPrecious	items
29	2	3	[60,79]	(25789,1,1)	25	1	[(27169,1),(46,1),(25789,1),(25791,1),(26925,5),(26924,5),(27171,1),(26227,1),(26224,1)]
30	2	3	[60,79]	(25791,1,1)	25	1	[(27169,1),(46,1),(25789,1),(25791,1),(26925,5),(26924,5),(27171,1),(26227,1),(26224,1)]
31	2	3	[60,79]	(26925,5,1)	1050	0	[(27169,1),(46,1),(25789,1),(25791,1),(26925,5),(26924,5),(27171,1),(26227,1),(26224,1)]
32	2	3	[60,79]	(26924,5,1)	1050	0	[(27169,1),(46,1),(25789,1),(25791,1),(26925,5),(26924,5),(27171,1),(26227,1),(26224,1)]
33	2	3	[60,79]	(27171,1,1)	1000	0	[(27169,1),(46,1),(25789,1),(25791,1),(26925,5),(26924,5),(27171,1),(26227,1),(26224,1)]
34	2	3	[60,79]	(27170,1,1)	1200	0	[(27169,1),(46,1),(25789,1),(25791,1),(26925,5),(26924,5),(27171,1),(26227,1),(26224,1)]
35	2	3	[60,79]	(26227,1,1)	1000	0	[(27169,1),(46,1),(25789,1),(25791,1),(26925,5),(26924,5),(27171,1),(26227,1),(26224,1)]
36	2	3	[60,79]	(26224,1,1)	800	0	[(27169,1),(46,1),(25789,1),(25791,1),(26925,5),(26924,5),(27171,1),(26227,1),(26224,1)]
37	2	3	[60,79]	(25837,15,1)	625	0	[(27169,1),(46,1),(25789,1),(25791,1),(26925,5),(26924,5),(27171,1),(26227,1),(26224,1)]
38	2	3	[60,79]	(26479,10,1)	1000	0	[(27169,1),(46,1),(25789,1),(25791,1),(26925,5),(26924,5),(27171,1),(26227,1),(26224,1)]
39	2	3	[60,79]	(26144,10,1)	625	0	[(27169,1),(46,1),(25789,1),(25791,1),(26925,5),(26924,5),(27171,1),(26227,1),(26224,1)]
40	2	4	[80,89]	(27169,1,1)	1000	1	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27170,1),(26227,1)]
41	2	4	[80,89]	(46,1,2)	25	1	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27170,1),(26227,1)]
42	2	4	[80,89]	(25942,1,1)	25	1	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27170,1),(26227,1)]
43	2	4	[80,89]	(25943,1,1)	25	1	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27170,1),(26227,1)]
44	2	4	[80,89]	(26925,5,1)	1050	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27170,1),(26227,1)]
45	2	4	[80,89]	(26924,5,1)	1050	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27170,1),(26227,1)]
46	2	4	[80,89]	(27171,1,1)	1000	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27170,1),(26227,1)]
47	2	4	[80,89]	(27170,1,1)	1200	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27170,1),(26227,1)]
48	2	4	[80,89]	(26227,1,1)	1000	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27170,1),(26227,1)]
49	2	4	[80,89]	(26224,1,1)	800	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27170,1),(26227,1)]
50	2	4	[80,89]	(25837,15,1)	625	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27170,1),(26227,1)]
51	2	4	[80,89]	(26479,10,1)	1000	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27170,1),(26227,1)]
52	2	4	[80,89]	(26144,10,1)	625	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27170,1),(26227,1)]
53	2	4	[80,89]	(28030,1,1)	0	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(28032,1),(27710,1)]
54	2	4	[80,89]	(28031,1,1)	0	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(28032,1),(27710,1)]
55	2	4	[80,89]	(28032,1,1)	0	1	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(28032,1),(27710,1)]
56	2	4	[80,89]	(27709,1,1)	0	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(28032,1),(27710,1)]
57	2	4	[80,89]	(27710,1,1)	0	1	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(28032,1),(27710,1)]
58	2	5	[90,179]	(27169,1,1)	1000	1	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
59	2	5	[90,179]	(46,1,2)	25	1	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
60	2	5	[90,179]	(25942,1,1)	25	1	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
61	2	5	[90,179]	(25943,1,1)	25	1	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
62	2	5	[90,179]	(26925,5,1)	1050	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
63	2	5	[90,179]	(26924,5,1)	1050	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
64	2	5	[90,179]	(27171,1,1)	1000	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
65	2	5	[90,179]	(27041,5,1)	800	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
66	2	5	[90,179]	(27041,5,1)	800	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
67	2	5	[90,179]	(26227,1,1)	1000	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
68	2	5	[90,179]	(26224,1,1)	800	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
69	2	5	[90,179]	(25837,15,1)	625	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
70	2	5	[90,179]	(26479,10,1)	1000	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
71	2	5	[90,179]	(26144,10,1)	625	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(27041,1),(26227,1)]
72	2	5	[90,179]	(28030,1,1)	0	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(28032,1),(27710,1)]
73	2	5	[90,179]	(28031,1,1)	0	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(28032,1),(27710,1)]
74	2	5	[90,179]	(28032,1,1)	0	1	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(28032,1),(27710,1)]
75	2	5	[90,179]	(27709,1,1)	0	0	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(28032,1),(27710,1)]
76	2	5	[90,179]	(27710,1,1)	0	1	[(27169,1),(46,1),(25942,1),(25943,1),(26925,5),(26924,5),(27171,1),(28032,1),(27710,1)]
77	1	1	[45,59]	(26925,1,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26032,1),(25600,2),(26344,1),(26343,1)]
78	1	1	[45,59]	(26924,1,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26032,1),(25600,2),(26344,1),(26343,1)]
79	1	1	[45,59]	(26044,1,1)	250	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26032,1),(25600,2),(26344,1),(26343,1)]
80	1	1	[45,59]	(26033,1,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26032,1),(25600,2),(26344,1),(26343,1)]
81	1	1	[45,59]	(26032,1,1)	1000	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26032,1),(25600,2),(26344,1),(26343,1)]
82	1	1	[45,59]	(25600,2,1)	1000	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26032,1),(25600,2),(26344,1),(26343,1)]
83	1	1	[45,59]	(25600,3,1)	600	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26032,1),(25600,2),(26344,1),(26343,1)]
84	1	1	[45,59]	(25600,5,1)	400	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26032,1),(25600,2),(26344,1),(26343,1)]
85	1	1	[45,59]	(26344,1,1)	1000	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26032,1),(25600,2),(26344,1),(26343,1)]
86	1	1	[45,59]	(26344,2,1)	600	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26032,1),(25600,2),(26344,1),(26343,1)]
87	1	1	[45,59]	(26344,3,1)	400	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26032,1),(25600,2),(26344,1),(26343,1)]
88	1	1	[45,59]	(26343,1,1)	1000	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26032,1),(25600,2),(26344,1),(26343,1)]
89	1	3	[60,79]	(26925,1,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
90	1	3	[60,79]	(26924,1,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
91	1	3	[60,79]	(26044,1,1)	250	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
92	1	3	[60,79]	(26033,1,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
93	1	3	[60,79]	(26032,1,1)	1000	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
94	1	3	[60,79]	(26267,1,1)	200	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
95	1	3	[60,79]	(26119,1,1)	400	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
96	1	3	[60,79]	(26266,1,1)	800	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
97	1	3	[60,79]	(25837,2,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
98	1	3	[60,79]	(26144,2,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
99	1	3	[60,79]	(26479,2,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
100	1	3	[60,79]	(25837,1,1)	1000	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
101	1	3	[60,79]	(26144,1,1)	1000	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
102	1	3	[60,79]	(26479,1,1)	1000	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26266,1),(25837,2)]
103	1	6	[80,179]	(26925,1,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
104	1	6	[80,179]	(26924,1,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
105	1	6	[80,179]	(26044,1,1)	250	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
106	1	6	[80,179]	(26033,1,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
107	1	6	[80,179]	(26032,1,1)	1000	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
108	1	6	[80,179]	(26267,1,1)	200	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
109	1	6	[80,179]	(26119,1,1)	400	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
110	1	6	[80,179]	(26266,1,1)	800	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
111	1	6	[80,179]	(25837,2,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
112	1	6	[80,179]	(26144,2,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
113	1	6	[80,179]	(26479,2,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
114	1	6	[80,179]	(25837,1,1)	1000	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
115	1	6	[80,179]	(26144,1,1)	1000	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
116	1	6	[80,179]	(26479,1,1)	1000	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
117	1	6	[80,179]	(26302,1,1)	500	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
118	1	6	[80,179]	(26302,2,1)	1000	0	[(26925,1),(26924,1),(26044,1),(26032,1),(26033,1),(26267,1),(26119,1),(26302,2),(25837,2)]
119	3	7	[45,179]	(27169,1,1)	1000	0	[(27169,1),(26925,10),(26924,10)]
120	3	7	[45,179]	(26925,10,1)	1000	0	[(27169,1),(26925,10),(26924,10)]
121	3	7	[45,179]	(26924,10,1)	1000	0	[(27169,1),(26925,10),(26924,10)]
