level	winUpRange	lostDownRange	exploreFactor	winContribution	winResource	lostContribution	lostResource
93	(8,14)	(6,10)	1	200	0	150	0
94	(8,14)	(6,10)	1	200	0	150	0
95	(8,14)	(6,10)	1	200	0	150	0
96	(8,14)	(6,10)	1	200	0	150	0
97	(8,14)	(6,10)	1	200	0	150	0
98	(8,14)	(6,10)	1	200	0	150	0
99	(8,14)	(6,10)	1	200	0	150	0
100	(8,14)	(6,10)	1	200	0	150	0
101	(8,14)	(6,10)	1	200	0	150	0
102	(8,14)	(6,10)	1	200	0	150	0
103	(8,14)	(6,10)	1	200	0	150	0
104	(8,14)	(6,10)	1	200	0	150	0
105	(8,14)	(6,10)	1	200	0	150	0
106	(8,14)	(6,10)	1	200	0	150	0
107	(8,14)	(6,10)	1	200	0	150	0
108	(8,14)	(6,10)	1	200	0	150	0
109	(8,14)	(6,10)	1	200	0	150	0
110	(8,14)	(6,10)	1	200	0	150	0
111	(8,14)	(6,10)	1	200	0	150	0
112	(8,14)	(6,10)	1	200	0	150	0
113	(8,14)	(6,10)	1	200	0	150	0
114	(8,14)	(6,10)	1	200	0	150	0
115	(8,14)	(6,10)	1	200	0	150	0
116	(8,14)	(6,10)	1	200	0	150	0
117	(8,14)	(6,10)	1	200	0	150	0
118	(8,14)	(6,10)	1	200	0	150	0
119	(8,14)	(6,10)	1	200	0	150	0
120	(8,14)	(6,10)	1	200	0	150	0
121	(8,14)	(6,10)	1	200	0	150	0
122	(8,14)	(6,10)	1	200	0	150	0
123	(8,14)	(6,10)	1	200	0	150	0
124	(8,14)	(6,10)	1	200	0	150	0
125	(8,14)	(6,10)	1	200	0	150	0
126	(8,14)	(6,10)	1	200	0	150	0
127	(8,14)	(6,10)	1	200	0	150	0
128	(8,14)	(6,10)	1	200	0	150	0
129	(8,14)	(6,10)	1	200	0	150	0
130	(8,14)	(6,10)	1	200	0	150	0
131	(8,14)	(6,10)	1	200	0	150	0
132	(8,14)	(6,10)	1	200	0	150	0
133	(8,14)	(6,10)	1	200	0	150	0
134	(8,14)	(6,10)	1	200	0	150	0
135	(8,14)	(6,10)	1	200	0	150	0
136	(8,14)	(6,10)	1	200	0	150	0
137	(8,14)	(6,10)	1	200	0	150	0
138	(8,14)	(6,10)	1	200	0	150	0
139	(8,14)	(6,10)	1	200	0	150	0
140	(8,14)	(6,10)	1	200	0	150	0
141	(8,14)	(6,10)	1	200	0	150	0
142	(8,14)	(6,10)	1	200	0	150	0
143	(8,14)	(6,10)	1	200	0	150	0
144	(8,14)	(6,10)	1	200	0	150	0
145	(8,14)	(6,10)	1	200	0	150	0
146	(8,14)	(6,10)	1	200	0	150	0
147	(8,14)	(6,10)	1	200	0	150	0
148	(8,14)	(6,10)	1	200	0	150	0
149	(8,14)	(6,10)	1	200	0	150	0
150	(8,14)	(6,10)	1	200	0	150	0
151	(8,14)	(6,10)	1	200	0	150	0
152	(8,14)	(6,10)	1	200	0	150	0
153	(8,14)	(6,10)	1	200	0	150	0
154	(8,14)	(6,10)	1	200	0	150	0
155	(8,14)	(6,10)	1	200	0	150	0
156	(8,14)	(6,10)	1	200	0	150	0
157	(8,14)	(6,10)	1	200	0	150	0
158	(8,14)	(6,10)	1	200	0	150	0
159	(8,14)	(6,10)	1	200	0	150	0
160	(8,14)	(6,10)	1	200	0	150	0
161	(8,14)	(6,10)	1	200	0	150	0
162	(8,14)	(6,10)	1	200	0	150	0
163	(8,14)	(6,10)	1	200	0	150	0
164	(8,14)	(6,10)	1	200	0	150	0
165	(8,14)	(6,10)	1	200	0	150	0
166	(8,14)	(6,10)	1	200	0	150	0
167	(8,14)	(6,10)	1	200	0	150	0
168	(8,14)	(6,10)	1	200	0	150	0
169	(8,14)	(6,10)	1	200	0	150	0
170	(8,14)	(6,10)	1	200	0	150	0
171	(8,14)	(6,10)	1	200	0	150	0
172	(8,14)	(6,10)	1	200	0	150	0
173	(8,14)	(6,10)	1	200	0	150	0
174	(8,14)	(6,10)	1	200	0	150	0
175	(8,14)	(6,10)	1	200	0	150	0
176	(8,14)	(6,10)	1	200	0	150	0
177	(8,14)	(6,10)	1	200	0	150	0
178	(8,14)	(6,10)	1	200	0	150	0
179	(8,14)	(6,10)	1	200	0	150	0
