level	rightUpRange	wrongDownRange	exploreFactor	rightContribution	rightResource	wrongContribution	wrongResource
55	(6,12)	(4,8)	1	140	120	90	60
56	(6,12)	(4,8)	1	140	120	90	60
57	(6,12)	(4,8)	1	140	120	90	60
58	(6,12)	(4,8)	1	140	120	90	60
59	(6,12)	(4,8)	1	140	120	90	60
60	(6,12)	(4,8)	1	140	120	90	60
61	(6,12)	(4,8)	1	140	120	90	60
62	(6,12)	(4,8)	1	140	120	90	60
63	(6,12)	(4,8)	1	140	120	90	60
64	(6,12)	(4,8)	1	140	120	90	60
65	(6,12)	(4,8)	1	140	120	90	60
66	(6,12)	(4,8)	1	140	120	90	60
67	(6,12)	(4,8)	1	140	120	90	60
68	(6,12)	(4,8)	1	140	120	90	60
69	(6,12)	(4,8)	1	140	120	90	60
70	(6,12)	(4,8)	1	140	120	90	60
71	(6,12)	(4,8)	1	140	120	90	60
72	(6,12)	(4,8)	1	140	120	90	60
73	(6,12)	(4,8)	1	140	120	90	60
74	(6,12)	(4,8)	1	140	120	90	60
75	(6,12)	(4,8)	1	140	120	90	60
76	(6,12)	(4,8)	1	140	120	90	60
77	(6,12)	(4,8)	1	140	120	90	60
78	(6,12)	(4,8)	1	140	120	90	60
79	(6,12)	(4,8)	1	140	120	90	60
80	(6,12)	(4,8)	1	140	120	90	60
81	(6,12)	(4,8)	1	140	120	90	60
82	(6,12)	(4,8)	1	140	120	90	60
83	(6,12)	(4,8)	1	140	120	90	60
84	(6,12)	(4,8)	1	140	120	90	60
85	(6,12)	(4,8)	1	140	120	90	60
86	(6,12)	(4,8)	1	140	120	90	60
87	(6,12)	(4,8)	1	140	120	90	60
88	(6,12)	(4,8)	1	140	120	90	60
89	(6,12)	(4,8)	1	140	120	90	60
90	(6,12)	(4,8)	1	140	120	90	60
91	(6,12)	(4,8)	1	140	120	90	60
92	(6,12)	(4,8)	1	140	120	90	60
93	(6,12)	(4,8)	1	140	120	90	60
94	(6,12)	(4,8)	1	140	120	90	60
95	(6,12)	(4,8)	1	140	120	90	60
96	(6,12)	(4,8)	1	140	120	90	60
97	(6,12)	(4,8)	1	140	120	90	60
98	(6,12)	(4,8)	1	140	120	90	60
99	(6,12)	(4,8)	1	140	120	90	60
100	(6,12)	(4,8)	1	140	120	90	60
101	(6,12)	(4,8)	1	140	120	90	60
102	(6,12)	(4,8)	1	140	120	90	60
103	(6,12)	(4,8)	1	140	120	90	60
104	(6,12)	(4,8)	1	140	120	90	60
105	(6,12)	(4,8)	1	140	120	90	60
106	(6,12)	(4,8)	1	140	120	90	60
107	(6,12)	(4,8)	1	140	120	90	60
108	(6,12)	(4,8)	1	140	120	90	60
109	(6,12)	(4,8)	1	140	120	90	60
110	(6,12)	(4,8)	1	140	120	90	60
111	(6,12)	(4,8)	1	140	120	90	60
112	(6,12)	(4,8)	1	140	120	90	60
113	(6,12)	(4,8)	1	140	120	90	60
114	(6,12)	(4,8)	1	140	120	90	60
115	(6,12)	(4,8)	1	140	120	90	60
116	(6,12)	(4,8)	1	140	120	90	60
117	(6,12)	(4,8)	1	140	120	90	60
118	(6,12)	(4,8)	1	140	120	90	60
119	(6,12)	(4,8)	1	140	120	90	60
120	(6,12)	(4,8)	1	140	120	90	60
121	(6,12)	(4,8)	1	140	120	90	60
122	(6,12)	(4,8)	1	140	120	90	60
123	(6,12)	(4,8)	1	140	120	90	60
124	(6,12)	(4,8)	1	140	120	90	60
125	(6,12)	(4,8)	1	140	120	90	60
126	(6,12)	(4,8)	1	140	120	90	60
127	(6,12)	(4,8)	1	140	120	90	60
128	(6,12)	(4,8)	1	140	120	90	60
129	(6,12)	(4,8)	1	140	120	90	60
130	(6,12)	(4,8)	1	140	120	90	60
131	(6,12)	(4,8)	1	140	120	90	60
132	(6,12)	(4,8)	1	140	120	90	60
133	(6,12)	(4,8)	1	140	120	90	60
134	(6,12)	(4,8)	1	140	120	90	60
135	(6,12)	(4,8)	1	140	120	90	60
136	(6,12)	(4,8)	1	140	120	90	60
137	(6,12)	(4,8)	1	140	120	90	60
138	(6,12)	(4,8)	1	140	120	90	60
139	(6,12)	(4,8)	1	140	120	90	60
140	(6,12)	(4,8)	1	140	120	90	60
141	(6,12)	(4,8)	1	140	120	90	60
142	(6,12)	(4,8)	1	140	120	90	60
143	(6,12)	(4,8)	1	140	120	90	60
144	(6,12)	(4,8)	1	140	120	90	60
145	(6,12)	(4,8)	1	140	120	90	60
146	(6,12)	(4,8)	1	140	120	90	60
147	(6,12)	(4,8)	1	140	120	90	60
148	(6,12)	(4,8)	1	140	120	90	60
149	(6,12)	(4,8)	1	140	120	90	60
150	(6,12)	(4,8)	1	140	120	90	60
151	(6,12)	(4,8)	1	140	120	90	60
152	(6,12)	(4,8)	1	140	120	90	60
153	(6,12)	(4,8)	1	140	120	90	60
154	(6,12)	(4,8)	1	140	120	90	60
155	(6,12)	(4,8)	1	140	120	90	60
156	(6,12)	(4,8)	1	140	120	90	60
157	(6,12)	(4,8)	1	140	120	90	60
158	(6,12)	(4,8)	1	140	120	90	60
159	(6,12)	(4,8)	1	140	120	90	60
160	(6,12)	(4,8)	1	140	120	90	60
161	(6,12)	(4,8)	1	140	120	90	60
162	(6,12)	(4,8)	1	140	120	90	60
163	(6,12)	(4,8)	1	140	120	90	60
164	(6,12)	(4,8)	1	140	120	90	60
165	(6,12)	(4,8)	1	140	120	90	60
166	(6,12)	(4,8)	1	140	120	90	60
167	(6,12)	(4,8)	1	140	120	90	60
168	(6,12)	(4,8)	1	140	120	90	60
169	(6,12)	(4,8)	1	140	120	90	60
170	(6,12)	(4,8)	1	140	120	90	60
171	(6,12)	(4,8)	1	140	120	90	60
172	(6,12)	(4,8)	1	140	120	90	60
173	(6,12)	(4,8)	1	140	120	90	60
174	(6,12)	(4,8)	1	140	120	90	60
175	(6,12)	(4,8)	1	140	120	90	60
176	(6,12)	(4,8)	1	140	120	90	60
177	(6,12)	(4,8)	1	140	120	90	60
178	(6,12)	(4,8)	1	140	120	90	60
179	(6,12)	(4,8)	1	140	120	90	60
