boxType	level	money	money_fcm
2	72	2000000	1000000
2	73	2000000	1000000
2	74	2000000	1000000
2	75	2000000	1000000
2	76	2000000	1000000
2	77	2000000	1000000
2	78	2000000	1000000
2	79	2000000	1000000
2	80	4000000	2000000
2	81	4000000	2000000
2	82	4000000	2000000
2	83	4000000	2000000
2	84	4000000	2000000
2	85	4000000	2000000
2	86	4000000	2000000
2	87	4000000	2000000
2	88	4000000	2000000
2	89	4000000	2000000
2	90	4000000	2000000
2	91	4000000	2000000
2	92	4000000	2000000
2	93	4000000	2000000
2	94	4000000	2000000
2	95	4000000	2000000
2	96	4000000	2000000
2	97	4000000	2000000
2	98	4000000	2000000
2	99	4000000	2000000
2	100	6000000	3000000
2	101	6000000	3000000
2	102	6000000	3000000
2	103	6000000	3000000
2	104	6000000	3000000
2	105	6000000	3000000
2	106	6000000	3000000
2	107	6000000	3000000
2	108	6000000	3000000
2	109	6000000	3000000
2	110	6000000	3000000
2	111	6000000	3000000
2	112	6000000	3000000
2	113	6000000	3000000
2	114	6000000	3000000
2	115	6000000	3000000
2	116	6000000	3000000
2	117	6000000	3000000
2	118	6000000	3000000
2	119	6000000	3000000
2	120	8000000	4000000
2	121	8000000	4000000
2	122	8000000	4000000
2	123	8000000	4000000
2	124	8000000	4000000
2	125	8000000	4000000
2	126	8000000	4000000
2	127	8000000	4000000
2	128	8000000	4000000
2	129	8000000	4000000
2	130	8000000	4000000
2	131	8000000	4000000
2	132	8000000	4000000
2	133	8000000	4000000
2	134	8000000	4000000
2	135	8000000	4000000
2	136	8000000	4000000
2	137	8000000	4000000
2	138	8000000	4000000
2	139	8000000	4000000
2	140	10000000	5000000
2	141	10000000	5000000
2	142	10000000	5000000
2	143	10000000	5000000
2	144	10000000	5000000
2	145	10000000	5000000
2	146	10000000	5000000
2	147	10000000	5000000
2	148	10000000	5000000
2	149	10000000	5000000
2	150	10000000	5000000
2	151	10000000	5000000
2	152	10000000	5000000
2	153	10000000	5000000
2	154	10000000	5000000
2	155	10000000	5000000
2	156	10000000	5000000
2	157	10000000	5000000
2	158	10000000	5000000
2	159	10000000	5000000
2	160	10000000	5000000
2	161	10000000	5000000
2	162	10000000	5000000
2	163	10000000	5000000
2	164	10000000	5000000
2	165	10000000	5000000
2	166	10000000	5000000
2	167	10000000	5000000
2	168	10000000	5000000
2	169	10000000	5000000
2	170	10000000	5000000
2	171	10000000	5000000
2	172	10000000	5000000
2	173	10000000	5000000
2	174	10000000	5000000
2	175	10000000	5000000
2	176	10000000	5000000
2	177	10000000	5000000
2	178	10000000	5000000
2	179	10000000	5000000
3	32	300000	150000
3	33	300000	150000
3	34	300000	150000
3	35	300000	150000
3	36	300000	150000
3	37	300000	150000
3	38	300000	150000
3	39	300000	150000
3	40	600000	300000
3	41	600000	300000
3	42	600000	300000
3	43	600000	300000
3	44	600000	300000
3	45	600000	300000
3	46	600000	300000
3	47	600000	300000
3	48	600000	300000
3	49	600000	300000
3	50	600000	300000
3	51	600000	300000
3	52	600000	300000
3	53	600000	300000
3	54	600000	300000
3	55	600000	300000
3	56	600000	300000
3	57	600000	300000
3	58	600000	300000
3	59	600000	300000
3	60	1200000	600000
3	61	1200000	600000
3	62	1200000	600000
3	63	1200000	600000
3	64	1200000	600000
3	65	1200000	600000
3	66	1200000	600000
3	67	1200000	600000
3	68	1200000	600000
3	69	1200000	600000
3	70	1200000	600000
3	71	1200000	600000
3	72	1200000	600000
3	73	1200000	600000
3	74	1200000	600000
3	75	1200000	600000
3	76	1200000	600000
3	77	1200000	600000
3	78	1200000	600000
3	79	1200000	600000
3	80	2400000	1200000
3	81	2400000	1200000
3	82	2400000	1200000
3	83	2400000	1200000
3	84	2400000	1200000
3	85	2400000	1200000
3	86	2400000	1200000
3	87	2400000	1200000
3	88	2400000	1200000
3	89	2400000	1200000
3	90	2400000	1200000
3	91	2400000	1200000
3	92	2400000	1200000
3	93	2400000	1200000
3	94	2400000	1200000
3	95	2400000	1200000
3	96	2400000	1200000
3	97	2400000	1200000
3	98	2400000	1200000
3	99	2400000	1200000
3	100	3600000	1800000
3	101	3600000	1800000
3	102	3600000	1800000
3	103	3600000	1800000
3	104	3600000	1800000
3	105	3600000	1800000
3	106	3600000	1800000
3	107	3600000	1800000
3	108	3600000	1800000
3	109	3600000	1800000
3	110	3600000	1800000
3	111	3600000	1800000
3	112	3600000	1800000
3	113	3600000	1800000
3	114	3600000	1800000
3	115	3600000	1800000
3	116	3600000	1800000
3	117	3600000	1800000
3	118	3600000	1800000
3	119	3600000	1800000
3	120	4800000	2400000
3	121	4800000	2400000
3	122	4800000	2400000
3	123	4800000	2400000
3	124	4800000	2400000
3	125	4800000	2400000
3	126	4800000	2400000
3	127	4800000	2400000
3	128	4800000	2400000
3	129	4800000	2400000
3	130	4800000	2400000
3	131	4800000	2400000
3	132	4800000	2400000
3	133	4800000	2400000
3	134	4800000	2400000
3	135	4800000	2400000
3	136	4800000	2400000
3	137	4800000	2400000
3	138	4800000	2400000
3	139	4800000	2400000
3	140	6000000	3000000
3	141	6000000	3000000
3	142	6000000	3000000
3	143	6000000	3000000
3	144	6000000	3000000
3	145	6000000	3000000
3	146	6000000	3000000
3	147	6000000	3000000
3	148	6000000	3000000
3	149	6000000	3000000
3	150	6000000	3000000
3	151	6000000	3000000
3	152	6000000	3000000
3	153	6000000	3000000
3	154	6000000	3000000
3	155	6000000	3000000
3	156	6000000	3000000
3	157	6000000	3000000
3	158	6000000	3000000
3	159	6000000	3000000
3	160	6000000	3000000
3	161	6000000	3000000
3	162	6000000	3000000
3	163	6000000	3000000
3	164	6000000	3000000
3	165	6000000	3000000
3	166	6000000	3000000
3	167	6000000	3000000
3	168	6000000	3000000
3	169	6000000	3000000
3	170	6000000	3000000
3	171	6000000	3000000
3	172	6000000	3000000
3	173	6000000	3000000
3	174	6000000	3000000
3	175	6000000	3000000
3	176	6000000	3000000
3	177	6000000	3000000
3	178	6000000	3000000
3	179	6000000	3000000
