boxType	level	money	itemList	money_fcm	itemList_fcm
1	105	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	106	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	107	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	108	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	109	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	110	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	111	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	112	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	113	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	114	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	115	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	116	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	117	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	118	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	119	3000000	[(25684,360),(25668,300)]	1500000	[(25684,180),(25668,150)]
1	120	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	121	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	122	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	123	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	124	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	125	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	126	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	127	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	128	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	129	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	130	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	131	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	132	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	133	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	134	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	135	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	136	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	137	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	138	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	139	4000000	[(25685,480),(25669,400)]	2000000	[(25685,240),(25669,200)]
1	140	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	141	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	142	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	143	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	144	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	145	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	146	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	147	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	148	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	149	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	150	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	151	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	152	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	153	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	154	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	155	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	156	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	157	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	158	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	159	5000000	[(25686,600),(25670,500)]	2500000	[(25686,300),(25670,250)]
1	160	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	161	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	162	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	163	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	164	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	165	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	166	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	167	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	168	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	169	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	170	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	171	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	172	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	173	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	174	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	175	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	176	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	177	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	178	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
1	179	5000000	[(26607,600),(27049,500)]	2500000	[(26607,300),(27049,250)]
2	32	200000	[(25681,10)]	100000	[(25681,5)]
2	33	200000	[(25681,10)]	100000	[(25681,5)]
2	34	200000	[(25681,10)]	100000	[(25681,5)]
2	35	200000	[(25681,10)]	100000	[(25681,5)]
2	36	200000	[(25681,10)]	100000	[(25681,5)]
2	37	200000	[(25681,10)]	100000	[(25681,5)]
2	38	200000	[(25681,10)]	100000	[(25681,5)]
2	39	200000	[(25681,10)]	100000	[(25681,5)]
2	40	300000	[(25681,50)]	150000	[(25681,25)]
2	41	300000	[(25681,50)]	150000	[(25681,25)]
2	42	300000	[(25681,50)]	150000	[(25681,25)]
2	43	300000	[(25681,50)]	150000	[(25681,25)]
2	44	300000	[(25681,50)]	150000	[(25681,25)]
2	45	300000	[(25681,50)]	150000	[(25681,25)]
2	46	300000	[(25681,50)]	150000	[(25681,25)]
2	47	300000	[(25681,50)]	150000	[(25681,25)]
2	48	300000	[(25681,50)]	150000	[(25681,25)]
2	49	300000	[(25681,50)]	150000	[(25681,25)]
2	50	300000	[(25681,50)]	150000	[(25681,25)]
2	51	300000	[(25681,50)]	150000	[(25681,25)]
2	52	300000	[(25681,50)]	150000	[(25681,25)]
2	53	300000	[(25681,50)]	150000	[(25681,25)]
2	54	300000	[(25681,50)]	150000	[(25681,25)]
2	55	300000	[(25681,50)]	150000	[(25681,25)]
2	56	300000	[(25681,50)]	150000	[(25681,25)]
2	57	300000	[(25681,50)]	150000	[(25681,25)]
2	58	300000	[(25681,50)]	150000	[(25681,25)]
2	59	300000	[(25681,50)]	150000	[(25681,25)]
2	60	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	61	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	62	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	63	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	64	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	65	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	66	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	67	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	68	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	69	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	70	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	71	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	72	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	73	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	74	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	75	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	76	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	77	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	78	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	79	600000	[(25682,100),(25666,50)]	300000	[(25682,50),(25666,25)]
2	80	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	81	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	82	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	83	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	84	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	85	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	86	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	87	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	88	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	89	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	90	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	91	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	92	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	93	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	94	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	95	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	96	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	97	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	98	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	99	1200000	[(25683,200),(25667,100)]	600000	[(25683,100),(25667,50)]
2	100	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	101	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	102	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	103	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	104	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	105	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	106	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	107	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	108	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	109	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	110	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	111	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	112	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	113	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	114	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	115	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	116	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	117	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	118	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	119	1800000	[(25684,300),(25668,150)]	900000	[(25684,150),(25668,75)]
2	120	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	121	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	122	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	123	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	124	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	125	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	126	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	127	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	128	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	129	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	130	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	131	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	132	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	133	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	134	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	135	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	136	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	137	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	138	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	139	2400000	[(25685,400),(25669,200)]	1200000	[(25685,200),(25669,100)]
2	140	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	141	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	142	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	143	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	144	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	145	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	146	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	147	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	148	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	149	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	150	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	151	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	152	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	153	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	154	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	155	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	156	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	157	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	158	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	159	3000000	[(25686,500),(25670,250)]	1500000	[(25686,250),(25670,125)]
2	160	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	161	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	162	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	163	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	164	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	165	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	166	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	167	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	168	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	169	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	170	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	171	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	172	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	173	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	174	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	175	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	176	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	177	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	178	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
2	179	3000000	[(26607,500),(27049,250)]	1500000	[(26607,250),(27049,125)]
3	32	100000	[(25681,5)]	50000	[(25681,3)]
3	33	100000	[(25681,5)]	50000	[(25681,3)]
3	34	100000	[(25681,5)]	50000	[(25681,3)]
3	35	100000	[(25681,5)]	50000	[(25681,3)]
3	36	100000	[(25681,5)]	50000	[(25681,3)]
3	37	100000	[(25681,5)]	50000	[(25681,3)]
3	38	100000	[(25681,5)]	50000	[(25681,3)]
3	39	100000	[(25681,5)]	50000	[(25681,3)]
3	40	200000	[(25681,30)]	100000	[(25681,15)]
3	41	200000	[(25681,30)]	100000	[(25681,15)]
3	42	200000	[(25681,30)]	100000	[(25681,15)]
3	43	200000	[(25681,30)]	100000	[(25681,15)]
3	44	200000	[(25681,30)]	100000	[(25681,15)]
3	45	200000	[(25681,30)]	100000	[(25681,15)]
3	46	200000	[(25681,30)]	100000	[(25681,15)]
3	47	200000	[(25681,30)]	100000	[(25681,15)]
3	48	200000	[(25681,30)]	100000	[(25681,15)]
3	49	200000	[(25681,30)]	100000	[(25681,15)]
3	50	200000	[(25681,30)]	100000	[(25681,15)]
3	51	200000	[(25681,30)]	100000	[(25681,15)]
3	52	200000	[(25681,30)]	100000	[(25681,15)]
3	53	200000	[(25681,30)]	100000	[(25681,15)]
3	54	200000	[(25681,30)]	100000	[(25681,15)]
3	55	200000	[(25681,30)]	100000	[(25681,15)]
3	56	200000	[(25681,30)]	100000	[(25681,15)]
3	57	200000	[(25681,30)]	100000	[(25681,15)]
3	58	200000	[(25681,30)]	100000	[(25681,15)]
3	59	200000	[(25681,30)]	100000	[(25681,15)]
3	60	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	61	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	62	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	63	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	64	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	65	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	66	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	67	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	68	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	69	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	70	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	71	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	72	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	73	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	74	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	75	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	76	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	77	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	78	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	79	400000	[(25682,60),(25666,30)]	200000	[(25682,30),(25666,15)]
3	80	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	81	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	82	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	83	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	84	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	85	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	86	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	87	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	88	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	89	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	90	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	91	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	92	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	93	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	94	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	95	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	96	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	97	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
3	98	800000	[(25683,120),(25667,60)]	400000	[(25683,60),(25667,30)]
