hurtRange	minLevel	maxLevel	rewardMoney	rewardBindRMB	rewardExp	rewardItem	rewardShow
(21500000,26999999)	120	139	609500	0	456600	[]	[(25828,609500),(25712,456600)]
(27000000,33749999)	120	139	645500	0	474600	[]	[(25828,645500),(25712,474600)]
(33750000,41749999)	120	139	681500	0	492600	[]	[(25828,681500),(25712,492600)]
(41750000,51249999)	120	139	717500	0	510600	[]	[(25828,717500),(25712,510600)]
(51250000,62499999)	120	139	753500	0	528600	[]	[(25828,753500),(25712,528600)]
(62500000,74999999)	120	139	789500	0	546600	[]	[(25828,789500),(25712,546600)]
(75000000,99999999)	120	139	837500	0	570600	[]	[(25828,837500),(25712,570600)]
(100000000,137499999)	120	139	885500	0	594600	[]	[(25828,885500),(25712,594600)]
(137500000,187499999)	120	139	933500	0	618600	[]	[(25828,933500),(25712,618600)]
(187500000,249999999)	120	139	988800	0	637200	[]	[(25828,988800),(25712,637200)]
(250000000,99999999999)	120	139	988800	0	637200	[]	[(25828,988800),(25712,637200)]
(500000,1499999)	140	159	255000	0	215000	[]	[(25828,255000),(25712,215000)]
(1500000,3999999)	140	159	275000	0	227000	[]	[(25828,275000),(25712,227000)]
(4000000,7499999)	140	159	300000	0	242000	[]	[(25828,300000),(25712,242000)]
(7500000,11999999)	140	159	350000	0	272000	[]	[(25828,350000),(25712,272000)]
(12000000,17499999)	140	159	450000	0	332000	[]	[(25828,450000),(25712,332000)]
(17500000,24999999)	140	159	520000	0	392000	[]	[(25828,520000),(25712,392000)]
(25000000,28499999)	140	159	560000	0	449800	[]	[(25828,560000),(25712,449800)]
(28500000,34499999)	140	159	600000	0	465800	[]	[(25828,600000),(25712,465800)]
(34500000,42999999)	140	159	630000	0	481800	[]	[(25828,630000),(25712,481800)]
(43000000,53999999)	140	159	675000	0	505800	[]	[(25828,675000),(25712,505800)]
(54000000,67499999)	140	159	720000	0	529800	[]	[(25828,720000),(25712,529800)]
(67500000,83499999)	140	159	765000	0	553800	[]	[(25828,765000),(25712,553800)]
(83500000,102499999)	140	159	810000	0	577800	[]	[(25828,810000),(25712,577800)]
(102500000,124999999)	140	159	855000	0	601800	[]	[(25828,855000),(25712,601800)]
(125000000,149999999)	140	159	900000	0	625800	[]	[(25828,900000),(25712,625800)]
(150000000,199999999)	140	159	960000	0	657800	[]	[(25828,960000),(25712,657800)]
(200000000,274999999)	140	159	1020000	0	689800	[]	[(25828,1020000),(25712,689800)]
(275000000,374999999)	140	159	1080000	0	706600	[]	[(25828,1080000),(25712,706600)]
(375000000,499999999)	140	159	1140000	0	706600	[]	[(25828,1140000),(25712,706600)]
(500000000,99999999999)	140	159	1188000	0	706600	[]	[(25828,1188000),(25712,706600)]
(1000000,2999999)	160	179	279000	0	250000	[]	[(25828,279000),(25712,250000)]
(3000000,7999999)	160	179	299000	0	262600	[]	[(25828,299000),(25712,262600)]
(8000000,14999999)	160	179	324000	0	278350	[]	[(25828,324000),(25712,278350)]
(15000000,23999999)	160	179	374000	0	309850	[]	[(25828,374000),(25712,309850)]
(24000000,34999999)	160	179	474000	0	372850	[]	[(25828,474000),(25712,372850)]
(35000000,49999999)	160	179	546000	0	435850	[]	[(25828,546000),(25712,435850)]
(50000000,56999999)	160	179	590000	0	496660	[]	[(25828,590000),(25712,496660)]
(57000000,68999999)	160	179	634000	0	515860	[]	[(25828,634000),(25712,515860)]
(69000000,85999999)	160	179	666000	0	535060	[]	[(25828,666000),(25712,535060)]
(86000000,107999999)	160	179	714000	0	563860	[]	[(25828,714000),(25712,563860)]
(108000000,134999999)	160	179	762000	0	592660	[]	[(25828,762000),(25712,592660)]
(135000000,166999999)	160	179	810000	0	621460	[]	[(25828,810000),(25712,621460)]
(167000000,204999999)	160	179	858000	0	650260	[]	[(25828,858000),(25712,650260)]
(205000000,249999999)	160	179	906000	0	679060	[]	[(25828,906000),(25712,679060)]
(250000000,299999999)	160	179	954000	0	707860	[]	[(25828,954000),(25712,707860)]
(300000000,399999999)	160	179	1018000	0	746260	[]	[(25828,1018000),(25712,746260)]
(400000000,549999999)	160	179	1082000	0	784660	[]	[(25828,1082000),(25712,784660)]
(550000000,749999999)	160	179	1146000	0	822400	[]	[(25828,1146000),(25712,822400)]
(750000000,999999999)	160	179	1210000	0	860800	[]	[(25828,1210000),(25712,860800)]
(1000000000,99999999999)	160	179	1261200	0	899200	[]	[(25828,1261200),(25712,899200)]
