rank	minLevel	maxLevel	rewardMoney	rewardBindRMB	rewardExp	rewardItem	rewardShow
(1,1)	100	119	4000000	0	0	[(25685,300),(25664,60)]	[(25828,4000000),(25685,300),(25664,60)]
(2,2)	100	119	3200000	0	0	[(25685,240),(25664,48)]	[(25828,3200000),(25685,240),(25664,48)]
(3,3)	100	119	2400000	0	0	[(25685,180),(25664,36)]	[(25828,2400000),(25685,180),(25664,36)]
(4,4)	100	119	2000000	0	0	[(25685,150),(25664,30)]	[(25828,2000000),(25685,150),(25664,30)]
(5,5)	100	119	1600000	0	0	[(25685,120),(25664,24)]	[(25828,1600000),(25685,120),(25664,24)]
(6,7)	100	119	1200000	0	0	[(25685,90),(25664,18)]	[(25828,1200000),(25685,90),(25664,18)]
(8,10)	100	119	800000	0	0	[(25685,60),(25664,12)]	[(25828,800000),(25685,60),(25664,12)]
(11,20)	100	119	400000	0	0	[(25685,30),(25664,8)]	[(25828,400000),(25685,30),(25664,8)]
(21,999)	100	119	200000	0	0	[(25685,15),(25664,5)]	[(25828,200000),(25685,15),(25664,5)]
(1,1)	120	139	5000000	0	0	[(25686,300),(25665,60)]	[(25828,5000000),(25686,300),(25665,60)]
(2,2)	120	139	4000000	0	0	[(25686,240),(25665,48)]	[(25828,4000000),(25686,240),(25665,48)]
(3,3)	120	139	3000000	0	0	[(25686,180),(25665,36)]	[(25828,3000000),(25686,180),(25665,36)]
(4,4)	120	139	2500000	0	0	[(25686,150),(25665,30)]	[(25828,2500000),(25686,150),(25665,30)]
(5,5)	120	139	2000000	0	0	[(25686,120),(25665,24)]	[(25828,2000000),(25686,120),(25665,24)]
(6,7)	120	139	1500000	0	0	[(25686,90),(25665,18)]	[(25828,1500000),(25686,90),(25665,18)]
(8,10)	120	139	1000000	0	0	[(25686,60),(25665,12)]	[(25828,1000000),(25686,60),(25665,12)]
(11,20)	120	139	500000	0	0	[(25686,30),(25665,8)]	[(25828,500000),(25686,30),(25665,8)]
(21,999)	120	139	250000	0	0	[(25686,15),(25665,5)]	[(25828,250000),(25686,15),(25665,5)]
(1,1)	140	159	6000000	0	0	[(26607,300),(27048,60)]	[(25828,6000000),(26607,300),(27048,60)]
(2,2)	140	159	4800000	0	0	[(26607,240),(27048,48)]	[(25828,4800000),(26607,240),(27048,48)]
(3,3)	140	159	3600000	0	0	[(26607,180),(27048,36)]	[(25828,3600000),(26607,180),(27048,36)]
(4,4)	140	159	3000000	0	0	[(26607,150),(27048,30)]	[(25828,3000000),(26607,150),(27048,30)]
(5,5)	140	159	2400000	0	0	[(26607,120),(27048,24)]	[(25828,2400000),(26607,120),(27048,24)]
(6,7)	140	159	1800000	0	0	[(26607,90),(27048,18)]	[(25828,1800000),(26607,90),(27048,18)]
(8,10)	140	159	1200000	0	0	[(26607,60),(27048,12)]	[(25828,1200000),(26607,60),(27048,12)]
(11,20)	140	159	600000	0	0	[(26607,30),(27048,8)]	[(25828,600000),(26607,30),(27048,8)]
(21,999)	140	159	300000	0	0	[(26607,15),(27048,5)]	[(25828,300000),(26607,15),(27048,5)]
(1,1)	160	179	6500000	0	0	[(27066,300),(27904,60)]	[(25828,6500000),(27066,300),(27904,60)]
(2,2)	160	179	5200000	0	0	[(27066,240),(27904,48)]	[(25828,5200000),(27066,240),(27904,48)]
(3,3)	160	179	3900000	0	0	[(27066,180),(27904,36)]	[(25828,3900000),(27066,180),(27904,36)]
(4,4)	160	179	3250000	0	0	[(27066,150),(27904,30)]	[(25828,3250000),(27066,150),(27904,30)]
(5,5)	160	179	2600000	0	0	[(27066,120),(27904,24)]	[(25828,2600000),(27066,120),(27904,24)]
(6,7)	160	179	1950000	0	0	[(27066,90),(27904,18)]	[(25828,1950000),(27066,90),(27904,18)]
(8,10)	160	179	1300000	0	0	[(27066,60),(27904,12)]	[(25828,1300000),(27066,60),(27904,12)]
(11,20)	160	179	650000	0	0	[(27066,30),(27904,8)]	[(25828,650000),(27066,30),(27904,8)]
(21,999)	160	179	325000	0	0	[(27066,15),(27904,5)]	[(25828,325000),(27066,15),(27904,5)]
