index	layer	name	scene0	x0	y0	scenePos	hasFirst	firstItems	firstItems_fcm	firstMoney	firstRMB	firstRMB_fcm	yuLan	yuLan_fcm	Monster1	x1	y1	face1	camp1	fight1	reward1	Monster2	x2	y2	face2	camp2	fight2	reward2	Monster3	x3	y3	face3	camp3	fight3	reward3	m1	m2	boss	jumpRound	doornpc	door
0	13	精灵之塔	174	363	808	(174,363,808)	0								14636	724	497	0	16560	141	487	14637	724	497	0	16561	142	488	14702	724	497	0	16562	143	489	(14636,724,497,0,16560,141,487)	(14637,724,497,0,16561,142,488)	(14702,724,497,0,16562,143,489)	3	15012	(15012,724,497,0)
0	14	精灵之塔	175	355	729	(175,355,729)	0								14639	836	676	0	16563	141	490	14640	836	676	0	16564	142	491	14703	836	676	0	16565	143	492	(14639,836,676,0,16563,141,490)	(14640,836,676,0,16564,142,491)	(14703,836,676,0,16565,143,492)	3	15013	(15013,836,676,0)
0	15	精灵之塔	176	687	461	(176,687,461)	1	[(25681,30)]	[(25681,15)]		20	10	[(25681,30),(25829,20)]	[(25681,15),(25829,10)]	14642	958	592	0	16566	141	493	14643	958	592	0	16567	142	494	14704	958	592	0	16568	143	495			(14704,958,592,0,16568,143,495)		15014	(15014,958,592,0)
0	16	精灵之塔	177	363	808	(177,363,808)	0								14645	724	497	0	16569	141	496	14646	724	497	0	16570	142	497	14705	724	497	0	16571	143	498	(14645,724,497,0,16569,141,496)	(14646,724,497,0,16570,142,497)	(14705,724,497,0,16571,143,498)	3	15015	(15015,724,497,0)
0	17	精灵之塔	178	355	729	(178,355,729)	0								14648	836	676	0	16572	141	499	14649	836	676	0	16573	142	500	14706	836	676	0	16574	143	501	(14648,836,676,0,16572,141,499)	(14649,836,676,0,16573,142,500)	(14706,836,676,0,16574,143,501)	3	15016	(15016,836,676,0)
0	18	精灵之塔	179	687	461	(179,687,461)	0								14651	958	592	0	16575	141	502	14652	958	592	0	16576	142	503	14707	958	592	0	16577	143	504	(14651,958,592,0,16575,141,502)	(14652,958,592,0,16576,142,503)	(14707,958,592,0,16577,143,504)	3	15017	(15017,958,592,0)
0	19	精灵之塔	180	363	808	(180,363,808)	0								14654	724	497	0	16578	141	505	14655	724	497	0	16579	142	506	14708	724	497	0	16580	143	507	(14654,724,497,0,16578,141,505)	(14655,724,497,0,16579,142,506)	(14708,724,497,0,16580,143,507)	3	15018	(15018,724,497,0)
0	20	精灵之塔	181	355	729	(181,355,729)	1	[(25681,40)]	[(25681,20)]		25	13	[(25681,40),(25829,25)]	[(25681,20),(25829,13)]	14657	836	676	0	16581	141	508	14658	836	676	0	16582	142	509	14709	836	676	0	16583	143	510			(14709,836,676,0,16583,143,510)		15019	(15019,836,676,0)
0	21	精灵之塔	182	687	461	(182,687,461)	0								14660	958	592	0	16584	141	511	14661	958	592	0	16585	142	512	14710	958	592	0	16586	143	513	(14660,958,592,0,16584,141,511)	(14661,958,592,0,16585,142,512)	(14710,958,592,0,16586,143,513)	3	15020	(15020,958,592,0)
0	22	精灵之塔	183	363	808	(183,363,808)	0								14663	724	497	0	16587	141	514	14664	724	497	0	16588	142	515	14711	724	497	0	16589	143	516	(14663,724,497,0,16587,141,514)	(14664,724,497,0,16588,142,515)	(14711,724,497,0,16589,143,516)	3	15021	(15021,724,497,0)
0	23	精灵之塔	184	355	729	(184,355,729)	0								14666	836	676	0	16590	141	517	14667	836	676	0	16591	142	518	14712	836	676	0	16592	143	519	(14666,836,676,0,16590,141,517)	(14667,836,676,0,16591,142,518)	(14712,836,676,0,16592,143,519)	3	15022	(15022,836,676,0)
0	24	精灵之塔	185	687	461	(185,687,461)	0								14669	958	592	0	16593	141	520	14670	958	592	0	16594	142	521	14713	958	592	0	16595	143	522	(14669,958,592,0,16593,141,520)	(14670,958,592,0,16594,142,521)	(14713,958,592,0,16595,143,522)	3	15023	(15023,958,592,0)
0	25	精灵之塔	186	363	808	(186,363,808)	1	[(25681,50)]	[(25681,25)]		30	15	[(25681,50),(25829,30)]	[(25681,25),(25829,15)]	14672	724	497	0	16596	141	523	14673	724	497	0	16597	142	524	14714	724	497	0	16598	143	525			(14714,724,497,0,16598,143,525)		15024	(15024,724,497,0)
0	26	精灵之塔	187	355	729	(187,355,729)	0								14675	836	676	0	16599	141	526	14676	836	676	0	16600	142	527	14715	836	676	0	16601	143	528	(14675,836,676,0,16599,141,526)	(14676,836,676,0,16600,142,527)	(14715,836,676,0,16601,143,528)	3	15025	(15025,836,676,0)
0	27	精灵之塔	188	687	461	(188,687,461)	0								14678	958	592	0	16602	141	529	14679	958	592	0	16603	142	530	14716	958	592	0	16604	143	531	(14678,958,592,0,16602,141,529)	(14679,958,592,0,16603,142,530)	(14716,958,592,0,16604,143,531)	3	15026	(15026,958,592,0)
0	28	精灵之塔	189	363	808	(189,363,808)	0								14681	724	497	0	16605	141	532	14682	724	497	0	16606	142	533	14717	724	497	0	16607	143	534	(14681,724,497,0,16605,141,532)	(14682,724,497,0,16606,142,533)	(14717,724,497,0,16607,143,534)	3	15027	(15027,724,497,0)
0	29	精灵之塔	190	355	729	(190,355,729)	0								14684	836	676	0	16608	141	535	14685	836	676	0	16609	142	536	14718	836	676	0	16610	143	537	(14684,836,676,0,16608,141,535)	(14685,836,676,0,16609,142,536)	(14718,836,676,0,16610,143,537)	3	15028	(15028,836,676,0)
0	30	精灵之塔	191	687	461	(191,687,461)	1	[(25681,60)]	[(25681,30)]		35	18	[(25681,60),(25829,35)]	[(25681,30),(25829,18)]	14687	958	592	0	16611	141	538	14688	958	592	0	16612	142	539	14719	958	592	0	16613	143	540			(14719,958,592,0,16613,143,540)			
1	1	寂灭之塔	162	363	808	(162,363,808)	0								14000	724	497	0	15000	141	1	14001	724	497	0	15001	142	2	14090	724	497	0	15002	143	3	(14000,724,497,0,15000,141,1)	(14001,724,497,0,15001,142,2)	(14090,724,497,0,15002,143,3)	0	15000	(15000,724,497,0)
1	2	寂灭之塔	163	355	729	(163,355,729)	0								14003	836	676	0	15003	141	4	14004	836	676	0	15004	142	5	14091	836	676	0	15005	143	6	(14003,836,676,0,15003,141,4)	(14004,836,676,0,15004,142,5)	(14091,836,676,0,15005,143,6)	3	15001	(15001,836,676,0)
1	3	寂灭之塔	164	687	461	(164,687,461)	0								14006	958	592	0	15006	141	7	14007	958	592	0	15007	142	8	14092	958	592	0	15008	143	9	(14006,958,592,0,15006,141,7)	(14007,958,592,0,15007,142,8)	(14092,958,592,0,15008,143,9)	3	15002	(15002,958,592,0)
1	4	寂灭之塔	165	363	808	(165,363,808)	0								14009	724	497	0	15009	141	10	14010	724	497	0	15010	142	11	14093	724	497	0	15011	143	12	(14009,724,497,0,15009,141,10)	(14010,724,497,0,15010,142,11)	(14093,724,497,0,15011,143,12)	3	15003	(15003,724,497,0)
1	5	寂灭之塔	166	355	729	(166,355,729)	1	[(25682,20)]	[(25682,10)]		100	50	[(25682,20),(25829,100)]	[(25682,10),(25829,50)]	14012	836	676	0	15012	141	13	14013	836	676	0	15013	142	14	14094	836	676	0	15014	143	15			(14094,836,676,0,15014,143,15)		15004	(15004,836,676,0)
1	6	寂灭之塔	167	687	461	(167,687,461)	0								14015	958	592	0	15015	141	16	14016	958	592	0	15016	142	17	14095	958	592	0	15017	143	18	(14015,958,592,0,15015,141,16)	(14016,958,592,0,15016,142,17)	(14095,958,592,0,15017,143,18)	3	15005	(15005,958,592,0)
1	7	寂灭之塔	168	363	808	(168,363,808)	0								14018	724	497	0	15018	141	19	14019	724	497	0	15019	142	20	14096	724	497	0	15020	143	21	(14018,724,497,0,15018,141,19)	(14019,724,497,0,15019,142,20)	(14096,724,497,0,15020,143,21)	3	15006	(15006,724,497,0)
1	8	寂灭之塔	169	355	729	(169,355,729)	0								14021	836	676	0	15021	141	22	14022	836	676	0	15022	142	23	14097	836	676	0	15023	143	24	(14021,836,676,0,15021,141,22)	(14022,836,676,0,15022,142,23)	(14097,836,676,0,15023,143,24)	3	15007	(15007,836,676,0)
1	9	寂灭之塔	170	687	461	(170,687,461)	0								14024	958	592	0	15024	141	25	14025	958	592	0	15025	142	26	14098	958	592	0	15026	143	27	(14024,958,592,0,15024,141,25)	(14025,958,592,0,15025,142,26)	(14098,958,592,0,15026,143,27)	3	15008	(15008,958,592,0)
1	10	寂灭之塔	171	363	808	(171,363,808)	1	[(25682,40)]	[(25682,20)]		150	75	[(25682,40),(25829,150)]	[(25682,20),(25829,75)]	14027	724	497	0	15027	141	28	14028	724	497	0	15028	142	29	14099	724	497	0	15029	143	30			(14099,724,497,0,15029,143,30)		15009	(15009,724,497,0)
1	11	寂灭之塔	172	355	729	(172,355,729)	0								14030	836	676	0	15030	141	31	14031	836	676	0	15031	142	32	14100	836	676	0	15032	143	33	(14030,836,676,0,15030,141,31)	(14031,836,676,0,15031,142,32)	(14100,836,676,0,15032,143,33)	3	15010	(15010,836,676,0)
1	12	寂灭之塔	173	687	461	(173,687,461)	0								14033	958	592	0	15033	141	34	14034	958	592	0	15034	142	35	14101	958	592	0	15035	143	36	(14033,958,592,0,15033,141,34)	(14034,958,592,0,15034,142,35)	(14101,958,592,0,15035,143,36)	3	15011	(15011,958,592,0)
1	13	寂灭之塔	174	363	808	(174,363,808)	0								14036	724	497	0	15036	141	37	14037	724	497	0	15037	142	38	14102	724	497	0	15038	143	39	(14036,724,497,0,15036,141,37)	(14037,724,497,0,15037,142,38)	(14102,724,497,0,15038,143,39)	3	15012	(15012,724,497,0)
1	14	寂灭之塔	175	355	729	(175,355,729)	0								14039	836	676	0	15039	141	40	14040	836	676	0	15040	142	41	14103	836	676	0	15041	143	42	(14039,836,676,0,15039,141,40)	(14040,836,676,0,15040,142,41)	(14103,836,676,0,15041,143,42)	3	15013	(15013,836,676,0)
1	15	寂灭之塔	176	687	461	(176,687,461)	1	[(25682,60)]	[(25682,30)]		200	100	[(25682,60),(25829,200)]	[(25682,30),(25829,100)]	14042	958	592	0	15042	141	43	14043	958	592	0	15043	142	44	14104	958	592	0	15044	143	45			(14104,958,592,0,15044,143,45)		15014	(15014,958,592,0)
1	16	寂灭之塔	177	363	808	(177,363,808)	0								14045	724	497	0	15045	141	46	14046	724	497	0	15046	142	47	14105	724	497	0	15047	143	48	(14045,724,497,0,15045,141,46)	(14046,724,497,0,15046,142,47)	(14105,724,497,0,15047,143,48)	3	15015	(15015,724,497,0)
1	17	寂灭之塔	178	355	729	(178,355,729)	0								14048	836	676	0	15048	141	49	14049	836	676	0	15049	142	50	14106	836	676	0	15050	143	51	(14048,836,676,0,15048,141,49)	(14049,836,676,0,15049,142,50)	(14106,836,676,0,15050,143,51)	3	15016	(15016,836,676,0)
1	18	寂灭之塔	179	687	461	(179,687,461)	0								14051	958	592	0	15051	141	52	14052	958	592	0	15052	142	53	14107	958	592	0	15053	143	54	(14051,958,592,0,15051,141,52)	(14052,958,592,0,15052,142,53)	(14107,958,592,0,15053,143,54)	3	15017	(15017,958,592,0)
1	19	寂灭之塔	180	363	808	(180,363,808)	0								14054	724	497	0	15054	141	55	14055	724	497	0	15055	142	56	14108	724	497	0	15056	143	57	(14054,724,497,0,15054,141,55)	(14055,724,497,0,15055,142,56)	(14108,724,497,0,15056,143,57)	3	15018	(15018,724,497,0)
1	20	寂灭之塔	181	355	729	(181,355,729)	1	[(25682,80)]	[(25682,40)]		250	125	[(25682,80),(25829,250)]	[(25682,40),(25829,125)]	14057	836	676	0	15057	141	58	14058	836	676	0	15058	142	59	14109	836	676	0	15059	143	60			(14109,836,676,0,15059,143,60)		15019	(15019,836,676,0)
1	21	寂灭之塔	182	687	461	(182,687,461)	0								14060	958	592	0	15060	141	61	14061	958	592	0	15061	142	62	14110	958	592	0	15062	143	63	(14060,958,592,0,15060,141,61)	(14061,958,592,0,15061,142,62)	(14110,958,592,0,15062,143,63)	3	15020	(15020,958,592,0)
1	22	寂灭之塔	183	363	808	(183,363,808)	0								14063	724	497	0	15063	141	64	14064	724	497	0	15064	142	65	14111	724	497	0	15065	143	66	(14063,724,497,0,15063,141,64)	(14064,724,497,0,15064,142,65)	(14111,724,497,0,15065,143,66)	3	15021	(15021,724,497,0)
1	23	寂灭之塔	184	355	729	(184,355,729)	0								14066	836	676	0	15066	141	67	14067	836	676	0	15067	142	68	14112	836	676	0	15068	143	69	(14066,836,676,0,15066,141,67)	(14067,836,676,0,15067,142,68)	(14112,836,676,0,15068,143,69)	3	15022	(15022,836,676,0)
1	24	寂灭之塔	185	687	461	(185,687,461)	0								14069	958	592	0	15069	141	70	14070	958	592	0	15070	142	71	14113	958	592	0	15071	143	72	(14069,958,592,0,15069,141,70)	(14070,958,592,0,15070,142,71)	(14113,958,592,0,15071,143,72)	3	15023	(15023,958,592,0)
1	25	寂灭之塔	186	363	808	(186,363,808)	1	[(25682,100)]	[(25682,50)]		300	150	[(25682,100),(25829,300)]	[(25682,50),(25829,150)]	14072	724	497	0	15072	141	73	14073	724	497	0	15073	142	74	14114	724	497	0	15074	143	75			(14114,724,497,0,15074,143,75)		15024	(15024,724,497,0)
1	26	寂灭之塔	187	355	729	(187,355,729)	0								14075	836	676	0	15075	141	76	14076	836	676	0	15076	142	77	14115	836	676	0	15077	143	78	(14075,836,676,0,15075,141,76)	(14076,836,676,0,15076,142,77)	(14115,836,676,0,15077,143,78)	3	15025	(15025,836,676,0)
1	27	寂灭之塔	188	687	461	(188,687,461)	0								14078	958	592	0	15078	141	79	14079	958	592	0	15079	142	80	14116	958	592	0	15080	143	81	(14078,958,592,0,15078,141,79)	(14079,958,592,0,15079,142,80)	(14116,958,592,0,15080,143,81)	3	15026	(15026,958,592,0)
1	28	寂灭之塔	189	363	808	(189,363,808)	0								14081	724	497	0	15081	141	82	14082	724	497	0	15082	142	83	14117	724	497	0	15083	143	84	(14081,724,497,0,15081,141,82)	(14082,724,497,0,15082,142,83)	(14117,724,497,0,15083,143,84)	3	15027	(15027,724,497,0)
1	29	寂灭之塔	190	355	729	(190,355,729)	0								14084	836	676	0	15084	141	85	14085	836	676	0	15085	142	86	14118	836	676	0	15086	143	87	(14084,836,676,0,15084,141,85)	(14085,836,676,0,15085,142,86)	(14118,836,676,0,15086,143,87)	3	15028	(15028,836,676,0)
1	30	寂灭之塔	191	687	461	(191,687,461)	1	[(25682,150)]	[(25682,75)]		400	200	[(25682,150),(25829,400)]	[(25682,75),(25829,200)]	14087	958	592	0	15087	141	88	14088	958	592	0	15088	142	89	14119	958	592	0	15089	143	90			(14119,958,592,0,15089,143,90)			
2	1	天空之塔	193	609	1009	(193,609,1009)	0								14120	768	916	0	15090	145	91	14121	1152	669	0	15091	145	92	14210	1434	515	0	15092	145	93	(14120,768,916,0,15090,145,91)	(14121,1152,669,0,15091,145,92)	(14210,1434,515,0,15092,145,93)	0	15000	(15000,1618,427,0)
2	2	天空之塔	194	609	1009	(194,609,1009)	0								14123	768	916	0	15093	145	94	14124	1152	669	0	15094	145	95	14211	1434	515	0	15095	145	96	(14123,768,916,0,15093,145,94)	(14124,1152,669,0,15094,145,95)	(14211,1434,515,0,15095,145,96)	3	15001	(15001,1618,427,0)
2	3	天空之塔	195	609	1009	(195,609,1009)	0								14126	768	916	0	15096	145	97	14127	1152	669	0	15097	145	98	14212	1434	515	0	15098	145	99	(14126,768,916,0,15096,145,97)	(14127,1152,669,0,15097,145,98)	(14212,1434,515,0,15098,145,99)	3	15002	(15002,1618,427,0)
2	4	天空之塔	196	609	1009	(196,609,1009)	0								14129	768	916	0	15099	145	100	14130	1152	669	0	15100	145	101	14213	1434	515	0	15101	145	102	(14129,768,916,0,15099,145,100)	(14130,1152,669,0,15100,145,101)	(14213,1434,515,0,15101,145,102)	3	15003	(15003,1618,427,0)
2	5	天空之塔	197	609	1009	(197,609,1009)	1	[(25683,20)]	[(25683,10)]		100	50	[(25683,20),(25829,100)]	[(25683,10),(25829,50)]	14132	768	916	0	15102	145	103	14133	1152	669	0	15103	145	104	14214	1434	515	0	15104	144	105			(14214,1434,515,0,15104,144,105)		15004	(15004,1618,427,0)
2	6	天空之塔	198	609	1009	(198,609,1009)	0								14135	768	916	0	15105	145	106	14136	1152	669	0	15106	145	107	14215	1434	515	0	15107	145	108	(14135,768,916,0,15105,145,106)	(14136,1152,669,0,15106,145,107)	(14215,1434,515,0,15107,145,108)	3	15005	(15005,1618,427,0)
2	7	天空之塔	199	609	1009	(199,609,1009)	0								14138	768	916	0	15108	145	109	14139	1152	669	0	15109	145	110	14216	1434	515	0	15110	145	111	(14138,768,916,0,15108,145,109)	(14139,1152,669,0,15109,145,110)	(14216,1434,515,0,15110,145,111)	3	15006	(15006,1618,427,0)
2	8	天空之塔	200	609	1009	(200,609,1009)	0								14141	768	916	0	15111	145	112	14142	1152	669	0	15112	145	113	14217	1434	515	0	15113	145	114	(14141,768,916,0,15111,145,112)	(14142,1152,669,0,15112,145,113)	(14217,1434,515,0,15113,145,114)	3	15007	(15007,1618,427,0)
2	9	天空之塔	201	609	1009	(201,609,1009)	0								14144	768	916	0	15114	145	115	14145	1152	669	0	15115	145	116	14218	1434	515	0	15116	145	117	(14144,768,916,0,15114,145,115)	(14145,1152,669,0,15115,145,116)	(14218,1434,515,0,15116,145,117)	3	15008	(15008,1618,427,0)
2	10	天空之塔	202	609	1009	(202,609,1009)	1	[(25683,40)]	[(25683,20)]		150	75	[(25683,40),(25829,150)]	[(25683,20),(25829,75)]	14147	768	916	0	15117	145	118	14148	1152	669	0	15118	145	119	14219	1434	515	0	15119	144	120			(14219,1434,515,0,15119,144,120)		15009	(15009,1618,427,0)
2	11	天空之塔	203	609	1009	(203,609,1009)	0								14150	768	916	0	15120	145	121	14151	1152	669	0	15121	145	122	14220	1434	515	0	15122	145	123	(14150,768,916,0,15120,145,121)	(14151,1152,669,0,15121,145,122)	(14220,1434,515,0,15122,145,123)	3	15010	(15010,1618,427,0)
2	12	天空之塔	204	609	1009	(204,609,1009)	0								14153	768	916	0	15123	145	124	14154	1152	669	0	15124	145	125	14221	1434	515	0	15125	145	126	(14153,768,916,0,15123,145,124)	(14154,1152,669,0,15124,145,125)	(14221,1434,515,0,15125,145,126)	3	15011	(15011,1618,427,0)
2	13	天空之塔	205	609	1009	(205,609,1009)	0								14156	768	916	0	15126	145	127	14157	1152	669	0	15127	145	128	14222	1434	515	0	15128	145	129	(14156,768,916,0,15126,145,127)	(14157,1152,669,0,15127,145,128)	(14222,1434,515,0,15128,145,129)	3	15012	(15012,1618,427,0)
2	14	天空之塔	206	609	1009	(206,609,1009)	0								14159	768	916	0	15129	145	130	14160	1152	669	0	15130	145	131	14223	1434	515	0	15131	145	132	(14159,768,916,0,15129,145,130)	(14160,1152,669,0,15130,145,131)	(14223,1434,515,0,15131,145,132)	3	15013	(15013,1618,427,0)
2	15	天空之塔	207	609	1009	(207,609,1009)	1	[(25683,60)]	[(25683,30)]		200	100	[(25683,60),(25829,200)]	[(25683,30),(25829,100)]	14162	768	916	0	15132	145	133	14163	1152	669	0	15133	145	134	14224	1434	515	0	15134	144	135			(14224,1434,515,0,15134,144,135)		15014	(15014,1618,427,0)
2	16	天空之塔	208	609	1009	(208,609,1009)	0								14165	768	916	0	15135	145	136	14166	1152	669	0	15136	145	137	14225	1434	515	0	15137	145	138	(14165,768,916,0,15135,145,136)	(14166,1152,669,0,15136,145,137)	(14225,1434,515,0,15137,145,138)	3	15015	(15015,1618,427,0)
2	17	天空之塔	209	609	1009	(209,609,1009)	0								14168	768	916	0	15138	145	139	14169	1152	669	0	15139	145	140	14226	1434	515	0	15140	145	141	(14168,768,916,0,15138,145,139)	(14169,1152,669,0,15139,145,140)	(14226,1434,515,0,15140,145,141)	3	15016	(15016,1618,427,0)
2	18	天空之塔	210	609	1009	(210,609,1009)	0								14171	768	916	0	15141	145	142	14172	1152	669	0	15142	145	143	14227	1434	515	0	15143	145	144	(14171,768,916,0,15141,145,142)	(14172,1152,669,0,15142,145,143)	(14227,1434,515,0,15143,145,144)	3	15017	(15017,1618,427,0)
2	19	天空之塔	211	609	1009	(211,609,1009)	0								14174	768	916	0	15144	145	145	14175	1152	669	0	15145	145	146	14228	1434	515	0	15146	145	147	(14174,768,916,0,15144,145,145)	(14175,1152,669,0,15145,145,146)	(14228,1434,515,0,15146,145,147)	3	15018	(15018,1618,427,0)
2	20	天空之塔	212	609	1009	(212,609,1009)	1	[(25683,80)]	[(25683,40)]		250	125	[(25683,80),(25829,250)]	[(25683,40),(25829,125)]	14177	768	916	0	15147	145	148	14178	1152	669	0	15148	145	149	14229	1434	515	0	15149	144	150			(14229,1434,515,0,15149,144,150)		15019	(15019,1618,427,0)
2	21	天空之塔	213	609	1009	(213,609,1009)	0								14180	768	916	0	15150	145	151	14181	1152	669	0	15151	145	152	14230	1434	515	0	15152	145	153	(14180,768,916,0,15150,145,151)	(14181,1152,669,0,15151,145,152)	(14230,1434,515,0,15152,145,153)	3	15020	(15020,1618,427,0)
2	22	天空之塔	214	609	1009	(214,609,1009)	0								14183	768	916	0	15153	145	154	14184	1152	669	0	15154	145	155	14231	1434	515	0	15155	145	156	(14183,768,916,0,15153,145,154)	(14184,1152,669,0,15154,145,155)	(14231,1434,515,0,15155,145,156)	3	15021	(15021,1618,427,0)
2	23	天空之塔	215	609	1009	(215,609,1009)	0								14186	768	916	0	15156	145	157	14187	1152	669	0	15157	145	158	14232	1434	515	0	15158	145	159	(14186,768,916,0,15156,145,157)	(14187,1152,669,0,15157,145,158)	(14232,1434,515,0,15158,145,159)	3	15022	(15022,1618,427,0)
2	24	天空之塔	216	609	1009	(216,609,1009)	0								14189	768	916	0	15159	145	160	14190	1152	669	0	15160	145	161	14233	1434	515	0	15161	145	162	(14189,768,916,0,15159,145,160)	(14190,1152,669,0,15160,145,161)	(14233,1434,515,0,15161,145,162)	3	15023	(15023,1618,427,0)
2	25	天空之塔	217	609	1009	(217,609,1009)	1	[(25683,100)]	[(25683,50)]		300	150	[(25683,100),(25829,300)]	[(25683,50),(25829,150)]	14192	768	916	0	15162	145	163	14193	1152	669	0	15163	145	164	14234	1434	515	0	15164	144	165			(14234,1434,515,0,15164,144,165)		15024	(15024,1618,427,0)
2	26	天空之塔	218	609	1009	(218,609,1009)	0								14195	768	916	0	15165	145	166	14196	1152	669	0	15166	145	167	14235	1434	515	0	15167	145	168	(14195,768,916,0,15165,145,166)	(14196,1152,669,0,15166,145,167)	(14235,1434,515,0,15167,145,168)	3	15025	(15025,1618,427,0)
2	27	天空之塔	219	609	1009	(219,609,1009)	0								14198	768	916	0	15168	145	169	14199	1152	669	0	15169	145	170	14236	1434	515	0	15170	145	171	(14198,768,916,0,15168,145,169)	(14199,1152,669,0,15169,145,170)	(14236,1434,515,0,15170,145,171)	3	15026	(15026,1618,427,0)
2	28	天空之塔	220	609	1009	(220,609,1009)	0								14201	768	916	0	15171	145	172	14202	1152	669	0	15172	145	173	14237	1434	515	0	15173	145	174	(14201,768,916,0,15171,145,172)	(14202,1152,669,0,15172,145,173)	(14237,1434,515,0,15173,145,174)	3	15027	(15027,1618,427,0)
