rewardID	money	soul	items	money_fcm	soul_fcm	items_fcm
80	0	10	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	5	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
81	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]
82	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
83	0	10	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	5	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
84	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]
85	0	20	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	10	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
86	0	10	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	5	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
87	0	50	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]	0	25	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26904, 1, 4000)]
88	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
89	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
90	277200	100	[(25600, 1, 2500),(26344, 1, 2500),(26032, 1, 1500),(26686, 1, 2500),(26904, 1, 4000)]	138600	50	[(25600, 1, 2500),(25600, 1, 2500),(26032, 1, 1500),(26686, 1, 2500),(26904, 1, 4000)]
91	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
92	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
93	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]
94	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
95	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
96	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]
97	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
98	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
99	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]
100	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
101	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
102	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]
103	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
104	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
105	172000	120	[(25600, 1, 2500),(26344, 1, 2500),(26032, 1, 1500),(26705, 1, 2500),(26943, 1, 4000)]	86000	60	[(25600, 1, 2500),(25600, 1, 2500),(26032, 1, 1500),(26705, 1, 2500),(26943, 1, 4000)]
106	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
107	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
108	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]
109	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
110	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
111	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]
112	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
113	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
114	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]
115	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
116	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
117	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26943, 1, 4000)]
118	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
119	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
120	206400	120	[(25600, 1, 2500),(26344, 1, 2500),(26032, 1, 1500),(26706, 1, 2500),(26943, 1, 4000)]	103200	60	[(25600, 1, 2500),(25600, 1, 2500),(26032, 1, 1500),(26706, 1, 2500),(26943, 1, 4000)]
121	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
122	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
123	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]
124	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
125	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
126	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]
127	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
128	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
129	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]
130	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
131	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
132	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]
133	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
134	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
135	240800	120	[(25600, 1, 2500),(26344, 1, 2500),(26032, 1, 1500),(26707, 1, 2500),(26944, 1, 4000)]	120400	60	[(25600, 1, 2500),(25600, 1, 2500),(26032, 1, 1500),(26707, 1, 2500),(26944, 1, 4000)]
136	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
137	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
138	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]
139	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
140	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
141	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]
142	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
143	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
144	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]
145	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
146	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
147	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26944, 1, 4000)]
148	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
149	0	0	[(25600, 1, 0),(26344, 1, 0),(26032, 1, 0)]	0	0	[(25600, 1, 0),(25600, 1, 0),(26032, 1, 0)]
150	275200	120	[(25600, 1, 2500),(26344, 1, 2500),(26032, 1, 1500),(26708, 1, 2500),(26944, 1, 4000)]	137600	60	[(25600, 1, 2500),(25600, 1, 2500),(26032, 1, 1500),(26708, 1, 2500),(26944, 1, 4000)]
151	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
152	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
153	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26945, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26945, 1, 4000)]
154	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
155	0	12	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	6	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
156	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26945, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26945, 1, 4000)]
157	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
158	0	12	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	6	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
159	0	60	[(25600, 1, 1500),(26344, 1, 1500),(26032, 1, 1000),(26945, 1, 4000)]	0	30	[(25600, 1, 1500),(25600, 1, 1500),(26032, 1, 1000),(26945, 1, 4000)]
160	0	24	[(25600, 1, 750),(26344, 1, 750),(26032, 1, 500)]	0	12	[(25600, 1, 750),(25600, 1, 750),(26032, 1, 500)]
