rank	level	rewardItem
5	4	[(27481,3),(25681,80),(25661,40)]
6	4	[(27481,3),(25681,80),(25661,40)]
7	4	[(27481,3),(25681,80),(25661,40)]
8	4	[(27481,3),(25681,80),(25661,40)]
9	4	[(27481,3),(25681,80),(25661,40)]
10	4	[(27481,3),(25681,80),(25661,40)]
11	4	[(27481,2),(25681,60),(25661,30)]
12	4	[(27481,2),(25681,60),(25661,30)]
13	4	[(27481,2),(25681,60),(25661,30)]
14	4	[(27481,2),(25681,60),(25661,30)]
15	4	[(27481,2),(25681,60),(25661,30)]
16	4	[(27481,2),(25681,60),(25661,30)]
17	4	[(27481,2),(25681,60),(25661,30)]
18	4	[(27481,2),(25681,60),(25661,30)]
19	4	[(27481,2),(25681,60),(25661,30)]
20	4	[(27481,2),(25681,60),(25661,30)]
1	5	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	5	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	5	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	5	[(27481,3),(25681,80),(25661,40)]
5	5	[(27481,3),(25681,80),(25661,40)]
6	5	[(27481,3),(25681,80),(25661,40)]
7	5	[(27481,3),(25681,80),(25661,40)]
8	5	[(27481,3),(25681,80),(25661,40)]
9	5	[(27481,3),(25681,80),(25661,40)]
10	5	[(27481,3),(25681,80),(25661,40)]
11	5	[(27481,2),(25681,60),(25661,30)]
12	5	[(27481,2),(25681,60),(25661,30)]
13	5	[(27481,2),(25681,60),(25661,30)]
14	5	[(27481,2),(25681,60),(25661,30)]
15	5	[(27481,2),(25681,60),(25661,30)]
16	5	[(27481,2),(25681,60),(25661,30)]
17	5	[(27481,2),(25681,60),(25661,30)]
18	5	[(27481,2),(25681,60),(25661,30)]
19	5	[(27481,2),(25681,60),(25661,30)]
20	5	[(27481,2),(25681,60),(25661,30)]
1	6	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	6	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	6	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	6	[(27481,3),(25681,80),(25661,40)]
5	6	[(27481,3),(25681,80),(25661,40)]
6	6	[(27481,3),(25681,80),(25661,40)]
7	6	[(27481,3),(25681,80),(25661,40)]
8	6	[(27481,3),(25681,80),(25661,40)]
9	6	[(27481,3),(25681,80),(25661,40)]
10	6	[(27481,3),(25681,80),(25661,40)]
11	6	[(27481,2),(25681,60),(25661,30)]
12	6	[(27481,2),(25681,60),(25661,30)]
13	6	[(27481,2),(25681,60),(25661,30)]
14	6	[(27481,2),(25681,60),(25661,30)]
15	6	[(27481,2),(25681,60),(25661,30)]
16	6	[(27481,2),(25681,60),(25661,30)]
17	6	[(27481,2),(25681,60),(25661,30)]
18	6	[(27481,2),(25681,60),(25661,30)]
19	6	[(27481,2),(25681,60),(25661,30)]
20	6	[(27481,2),(25681,60),(25661,30)]
1	7	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	7	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	7	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	7	[(27481,3),(25681,80),(25661,40)]
5	7	[(27481,3),(25681,80),(25661,40)]
6	7	[(27481,3),(25681,80),(25661,40)]
7	7	[(27481,3),(25681,80),(25661,40)]
8	7	[(27481,3),(25681,80),(25661,40)]
9	7	[(27481,3),(25681,80),(25661,40)]
10	7	[(27481,3),(25681,80),(25661,40)]
11	7	[(27481,2),(25681,60),(25661,30)]
12	7	[(27481,2),(25681,60),(25661,30)]
13	7	[(27481,2),(25681,60),(25661,30)]
14	7	[(27481,2),(25681,60),(25661,30)]
15	7	[(27481,2),(25681,60),(25661,30)]
16	7	[(27481,2),(25681,60),(25661,30)]
17	7	[(27481,2),(25681,60),(25661,30)]
18	7	[(27481,2),(25681,60),(25661,30)]
19	7	[(27481,2),(25681,60),(25661,30)]
20	7	[(27481,2),(25681,60),(25661,30)]
1	8	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	8	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	8	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	8	[(27481,3),(25681,80),(25661,40)]
5	8	[(27481,3),(25681,80),(25661,40)]
6	8	[(27481,3),(25681,80),(25661,40)]
7	8	[(27481,3),(25681,80),(25661,40)]
8	8	[(27481,3),(25681,80),(25661,40)]
9	8	[(27481,3),(25681,80),(25661,40)]
10	8	[(27481,3),(25681,80),(25661,40)]
11	8	[(27481,2),(25681,60),(25661,30)]
12	8	[(27481,2),(25681,60),(25661,30)]
13	8	[(27481,2),(25681,60),(25661,30)]
14	8	[(27481,2),(25681,60),(25661,30)]
15	8	[(27481,2),(25681,60),(25661,30)]
16	8	[(27481,2),(25681,60),(25661,30)]
17	8	[(27481,2),(25681,60),(25661,30)]
18	8	[(27481,2),(25681,60),(25661,30)]
19	8	[(27481,2),(25681,60),(25661,30)]
20	8	[(27481,2),(25681,60),(25661,30)]
1	9	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	9	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	9	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	9	[(27481,3),(25681,80),(25661,40)]
5	9	[(27481,3),(25681,80),(25661,40)]
6	9	[(27481,3),(25681,80),(25661,40)]
7	9	[(27481,3),(25681,80),(25661,40)]
8	9	[(27481,3),(25681,80),(25661,40)]
9	9	[(27481,3),(25681,80),(25661,40)]
10	9	[(27481,3),(25681,80),(25661,40)]
11	9	[(27481,2),(25681,60),(25661,30)]
12	9	[(27481,2),(25681,60),(25661,30)]
13	9	[(27481,2),(25681,60),(25661,30)]
14	9	[(27481,2),(25681,60),(25661,30)]
15	9	[(27481,2),(25681,60),(25661,30)]
16	9	[(27481,2),(25681,60),(25661,30)]
17	9	[(27481,2),(25681,60),(25661,30)]
18	9	[(27481,2),(25681,60),(25661,30)]
19	9	[(27481,2),(25681,60),(25661,30)]
20	9	[(27481,2),(25681,60),(25661,30)]
1	10	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	10	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	10	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	10	[(27481,3),(25681,80),(25661,40)]
5	10	[(27481,3),(25681,80),(25661,40)]
6	10	[(27481,3),(25681,80),(25661,40)]
7	10	[(27481,3),(25681,80),(25661,40)]
8	10	[(27481,3),(25681,80),(25661,40)]
9	10	[(27481,3),(25681,80),(25661,40)]
10	10	[(27481,3),(25681,80),(25661,40)]
11	10	[(27481,2),(25681,60),(25661,30)]
12	10	[(27481,2),(25681,60),(25661,30)]
13	10	[(27481,2),(25681,60),(25661,30)]
14	10	[(27481,2),(25681,60),(25661,30)]
15	10	[(27481,2),(25681,60),(25661,30)]
16	10	[(27481,2),(25681,60),(25661,30)]
17	10	[(27481,2),(25681,60),(25661,30)]
18	10	[(27481,2),(25681,60),(25661,30)]
19	10	[(27481,2),(25681,60),(25661,30)]
20	10	[(27481,2),(25681,60),(25661,30)]
1	11	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	11	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	11	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	11	[(27481,3),(25681,80),(25661,40)]
5	11	[(27481,3),(25681,80),(25661,40)]
6	11	[(27481,3),(25681,80),(25661,40)]
7	11	[(27481,3),(25681,80),(25661,40)]
8	11	[(27481,3),(25681,80),(25661,40)]
9	11	[(27481,3),(25681,80),(25661,40)]
10	11	[(27481,3),(25681,80),(25661,40)]
11	11	[(27481,2),(25681,60),(25661,30)]
12	11	[(27481,2),(25681,60),(25661,30)]
13	11	[(27481,2),(25681,60),(25661,30)]
14	11	[(27481,2),(25681,60),(25661,30)]
15	11	[(27481,2),(25681,60),(25661,30)]
16	11	[(27481,2),(25681,60),(25661,30)]
17	11	[(27481,2),(25681,60),(25661,30)]
18	11	[(27481,2),(25681,60),(25661,30)]
19	11	[(27481,2),(25681,60),(25661,30)]
20	11	[(27481,2),(25681,60),(25661,30)]
1	12	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	12	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	12	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	12	[(27481,3),(25681,80),(25661,40)]
5	12	[(27481,3),(25681,80),(25661,40)]
6	12	[(27481,3),(25681,80),(25661,40)]
7	12	[(27481,3),(25681,80),(25661,40)]
8	12	[(27481,3),(25681,80),(25661,40)]
9	12	[(27481,3),(25681,80),(25661,40)]
10	12	[(27481,3),(25681,80),(25661,40)]
11	12	[(27481,2),(25681,60),(25661,30)]
12	12	[(27481,2),(25681,60),(25661,30)]
13	12	[(27481,2),(25681,60),(25661,30)]
14	12	[(27481,2),(25681,60),(25661,30)]
15	12	[(27481,2),(25681,60),(25661,30)]
16	12	[(27481,2),(25681,60),(25661,30)]
17	12	[(27481,2),(25681,60),(25661,30)]
18	12	[(27481,2),(25681,60),(25661,30)]
19	12	[(27481,2),(25681,60),(25661,30)]
20	12	[(27481,2),(25681,60),(25661,30)]
1	13	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	13	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	13	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	13	[(27481,3),(25681,80),(25661,40)]
5	13	[(27481,3),(25681,80),(25661,40)]
6	13	[(27481,3),(25681,80),(25661,40)]
7	13	[(27481,3),(25681,80),(25661,40)]
8	13	[(27481,3),(25681,80),(25661,40)]
9	13	[(27481,3),(25681,80),(25661,40)]
10	13	[(27481,3),(25681,80),(25661,40)]
11	13	[(27481,2),(25681,60),(25661,30)]
12	13	[(27481,2),(25681,60),(25661,30)]
13	13	[(27481,2),(25681,60),(25661,30)]
14	13	[(27481,2),(25681,60),(25661,30)]
15	13	[(27481,2),(25681,60),(25661,30)]
16	13	[(27481,2),(25681,60),(25661,30)]
17	13	[(27481,2),(25681,60),(25661,30)]
18	13	[(27481,2),(25681,60),(25661,30)]
19	13	[(27481,2),(25681,60),(25661,30)]
20	13	[(27481,2),(25681,60),(25661,30)]
1	14	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	14	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	14	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	14	[(27481,3),(25681,80),(25661,40)]
5	14	[(27481,3),(25681,80),(25661,40)]
6	14	[(27481,3),(25681,80),(25661,40)]
7	14	[(27481,3),(25681,80),(25661,40)]
8	14	[(27481,3),(25681,80),(25661,40)]
9	14	[(27481,3),(25681,80),(25661,40)]
10	14	[(27481,3),(25681,80),(25661,40)]
11	14	[(27481,2),(25681,60),(25661,30)]
12	14	[(27481,2),(25681,60),(25661,30)]
13	14	[(27481,2),(25681,60),(25661,30)]
14	14	[(27481,2),(25681,60),(25661,30)]
15	14	[(27481,2),(25681,60),(25661,30)]
16	14	[(27481,2),(25681,60),(25661,30)]
17	14	[(27481,2),(25681,60),(25661,30)]
18	14	[(27481,2),(25681,60),(25661,30)]
19	14	[(27481,2),(25681,60),(25661,30)]
20	14	[(27481,2),(25681,60),(25661,30)]
1	15	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	15	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	15	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	15	[(27481,3),(25681,80),(25661,40)]
5	15	[(27481,3),(25681,80),(25661,40)]
6	15	[(27481,3),(25681,80),(25661,40)]
7	15	[(27481,3),(25681,80),(25661,40)]
8	15	[(27481,3),(25681,80),(25661,40)]
9	15	[(27481,3),(25681,80),(25661,40)]
10	15	[(27481,3),(25681,80),(25661,40)]
11	15	[(27481,2),(25681,60),(25661,30)]
12	15	[(27481,2),(25681,60),(25661,30)]
13	15	[(27481,2),(25681,60),(25661,30)]
14	15	[(27481,2),(25681,60),(25661,30)]
15	15	[(27481,2),(25681,60),(25661,30)]
16	15	[(27481,2),(25681,60),(25661,30)]
17	15	[(27481,2),(25681,60),(25661,30)]
18	15	[(27481,2),(25681,60),(25661,30)]
19	15	[(27481,2),(25681,60),(25661,30)]
20	15	[(27481,2),(25681,60),(25661,30)]
1	16	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	16	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	16	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	16	[(27481,3),(25681,80),(25661,40)]
5	16	[(27481,3),(25681,80),(25661,40)]
6	16	[(27481,3),(25681,80),(25661,40)]
7	16	[(27481,3),(25681,80),(25661,40)]
8	16	[(27481,3),(25681,80),(25661,40)]
9	16	[(27481,3),(25681,80),(25661,40)]
10	16	[(27481,3),(25681,80),(25661,40)]
11	16	[(27481,2),(25681,60),(25661,30)]
12	16	[(27481,2),(25681,60),(25661,30)]
13	16	[(27481,2),(25681,60),(25661,30)]
14	16	[(27481,2),(25681,60),(25661,30)]
15	16	[(27481,2),(25681,60),(25661,30)]
16	16	[(27481,2),(25681,60),(25661,30)]
17	16	[(27481,2),(25681,60),(25661,30)]
18	16	[(27481,2),(25681,60),(25661,30)]
19	16	[(27481,2),(25681,60),(25661,30)]
20	16	[(27481,2),(25681,60),(25661,30)]
1	17	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	17	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	17	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	17	[(27481,3),(25681,80),(25661,40)]
5	17	[(27481,3),(25681,80),(25661,40)]
6	17	[(27481,3),(25681,80),(25661,40)]
7	17	[(27481,3),(25681,80),(25661,40)]
8	17	[(27481,3),(25681,80),(25661,40)]
9	17	[(27481,3),(25681,80),(25661,40)]
10	17	[(27481,3),(25681,80),(25661,40)]
11	17	[(27481,2),(25681,60),(25661,30)]
12	17	[(27481,2),(25681,60),(25661,30)]
13	17	[(27481,2),(25681,60),(25661,30)]
14	17	[(27481,2),(25681,60),(25661,30)]
15	17	[(27481,2),(25681,60),(25661,30)]
16	17	[(27481,2),(25681,60),(25661,30)]
17	17	[(27481,2),(25681,60),(25661,30)]
18	17	[(27481,2),(25681,60),(25661,30)]
19	17	[(27481,2),(25681,60),(25661,30)]
20	17	[(27481,2),(25681,60),(25661,30)]
1	18	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	18	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	18	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	18	[(27481,3),(25681,80),(25661,40)]
5	18	[(27481,3),(25681,80),(25661,40)]
6	18	[(27481,3),(25681,80),(25661,40)]
7	18	[(27481,3),(25681,80),(25661,40)]
8	18	[(27481,3),(25681,80),(25661,40)]
9	18	[(27481,3),(25681,80),(25661,40)]
10	18	[(27481,3),(25681,80),(25661,40)]
11	18	[(27481,2),(25681,60),(25661,30)]
12	18	[(27481,2),(25681,60),(25661,30)]
13	18	[(27481,2),(25681,60),(25661,30)]
14	18	[(27481,2),(25681,60),(25661,30)]
15	18	[(27481,2),(25681,60),(25661,30)]
16	18	[(27481,2),(25681,60),(25661,30)]
17	18	[(27481,2),(25681,60),(25661,30)]
18	18	[(27481,2),(25681,60),(25661,30)]
19	18	[(27481,2),(25681,60),(25661,30)]
20	18	[(27481,2),(25681,60),(25661,30)]
1	19	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	19	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	19	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	19	[(27481,3),(25681,80),(25661,40)]
5	19	[(27481,3),(25681,80),(25661,40)]
6	19	[(27481,3),(25681,80),(25661,40)]
7	19	[(27481,3),(25681,80),(25661,40)]
8	19	[(27481,3),(25681,80),(25661,40)]
9	19	[(27481,3),(25681,80),(25661,40)]
10	19	[(27481,3),(25681,80),(25661,40)]
11	19	[(27481,2),(25681,60),(25661,30)]
12	19	[(27481,2),(25681,60),(25661,30)]
13	19	[(27481,2),(25681,60),(25661,30)]
14	19	[(27481,2),(25681,60),(25661,30)]
15	19	[(27481,2),(25681,60),(25661,30)]
16	19	[(27481,2),(25681,60),(25661,30)]
17	19	[(27481,2),(25681,60),(25661,30)]
18	19	[(27481,2),(25681,60),(25661,30)]
19	19	[(27481,2),(25681,60),(25661,30)]
20	19	[(27481,2),(25681,60),(25661,30)]
1	20	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	20	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	20	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	20	[(27481,3),(25681,80),(25661,40)]
5	20	[(27481,3),(25681,80),(25661,40)]
6	20	[(27481,3),(25681,80),(25661,40)]
7	20	[(27481,3),(25681,80),(25661,40)]
8	20	[(27481,3),(25681,80),(25661,40)]
9	20	[(27481,3),(25681,80),(25661,40)]
10	20	[(27481,3),(25681,80),(25661,40)]
11	20	[(27481,2),(25681,60),(25661,30)]
12	20	[(27481,2),(25681,60),(25661,30)]
13	20	[(27481,2),(25681,60),(25661,30)]
14	20	[(27481,2),(25681,60),(25661,30)]
15	20	[(27481,2),(25681,60),(25661,30)]
16	20	[(27481,2),(25681,60),(25661,30)]
17	20	[(27481,2),(25681,60),(25661,30)]
18	20	[(27481,2),(25681,60),(25661,30)]
19	20	[(27481,2),(25681,60),(25661,30)]
20	20	[(27481,2),(25681,60),(25661,30)]
1	21	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	21	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	21	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	21	[(27481,3),(25681,80),(25661,40)]
5	21	[(27481,3),(25681,80),(25661,40)]
6	21	[(27481,3),(25681,80),(25661,40)]
7	21	[(27481,3),(25681,80),(25661,40)]
8	21	[(27481,3),(25681,80),(25661,40)]
9	21	[(27481,3),(25681,80),(25661,40)]
10	21	[(27481,3),(25681,80),(25661,40)]
11	21	[(27481,2),(25681,60),(25661,30)]
12	21	[(27481,2),(25681,60),(25661,30)]
13	21	[(27481,2),(25681,60),(25661,30)]
14	21	[(27481,2),(25681,60),(25661,30)]
15	21	[(27481,2),(25681,60),(25661,30)]
16	21	[(27481,2),(25681,60),(25661,30)]
17	21	[(27481,2),(25681,60),(25661,30)]
18	21	[(27481,2),(25681,60),(25661,30)]
19	21	[(27481,2),(25681,60),(25661,30)]
20	21	[(27481,2),(25681,60),(25661,30)]
1	22	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	22	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	22	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	22	[(27481,3),(25681,80),(25661,40)]
5	22	[(27481,3),(25681,80),(25661,40)]
6	22	[(27481,3),(25681,80),(25661,40)]
7	22	[(27481,3),(25681,80),(25661,40)]
8	22	[(27481,3),(25681,80),(25661,40)]
9	22	[(27481,3),(25681,80),(25661,40)]
10	22	[(27481,3),(25681,80),(25661,40)]
11	22	[(27481,2),(25681,60),(25661,30)]
12	22	[(27481,2),(25681,60),(25661,30)]
13	22	[(27481,2),(25681,60),(25661,30)]
14	22	[(27481,2),(25681,60),(25661,30)]
15	22	[(27481,2),(25681,60),(25661,30)]
16	22	[(27481,2),(25681,60),(25661,30)]
17	22	[(27481,2),(25681,60),(25661,30)]
18	22	[(27481,2),(25681,60),(25661,30)]
19	22	[(27481,2),(25681,60),(25661,30)]
20	22	[(27481,2),(25681,60),(25661,30)]
1	23	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	23	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	23	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	23	[(27481,3),(25681,80),(25661,40)]
5	23	[(27481,3),(25681,80),(25661,40)]
6	23	[(27481,3),(25681,80),(25661,40)]
7	23	[(27481,3),(25681,80),(25661,40)]
8	23	[(27481,3),(25681,80),(25661,40)]
9	23	[(27481,3),(25681,80),(25661,40)]
10	23	[(27481,3),(25681,80),(25661,40)]
11	23	[(27481,2),(25681,60),(25661,30)]
12	23	[(27481,2),(25681,60),(25661,30)]
13	23	[(27481,2),(25681,60),(25661,30)]
14	23	[(27481,2),(25681,60),(25661,30)]
15	23	[(27481,2),(25681,60),(25661,30)]
16	23	[(27481,2),(25681,60),(25661,30)]
17	23	[(27481,2),(25681,60),(25661,30)]
18	23	[(27481,2),(25681,60),(25661,30)]
19	23	[(27481,2),(25681,60),(25661,30)]
20	23	[(27481,2),(25681,60),(25661,30)]
1	24	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	24	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	24	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	24	[(27481,3),(25681,80),(25661,40)]
5	24	[(27481,3),(25681,80),(25661,40)]
6	24	[(27481,3),(25681,80),(25661,40)]
7	24	[(27481,3),(25681,80),(25661,40)]
8	24	[(27481,3),(25681,80),(25661,40)]
9	24	[(27481,3),(25681,80),(25661,40)]
10	24	[(27481,3),(25681,80),(25661,40)]
11	24	[(27481,2),(25681,60),(25661,30)]
12	24	[(27481,2),(25681,60),(25661,30)]
13	24	[(27481,2),(25681,60),(25661,30)]
14	24	[(27481,2),(25681,60),(25661,30)]
15	24	[(27481,2),(25681,60),(25661,30)]
16	24	[(27481,2),(25681,60),(25661,30)]
17	24	[(27481,2),(25681,60),(25661,30)]
18	24	[(27481,2),(25681,60),(25661,30)]
19	24	[(27481,2),(25681,60),(25661,30)]
20	24	[(27481,2),(25681,60),(25661,30)]
1	25	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	25	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	25	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	25	[(27481,3),(25681,80),(25661,40)]
5	25	[(27481,3),(25681,80),(25661,40)]
6	25	[(27481,3),(25681,80),(25661,40)]
7	25	[(27481,3),(25681,80),(25661,40)]
8	25	[(27481,3),(25681,80),(25661,40)]
9	25	[(27481,3),(25681,80),(25661,40)]
10	25	[(27481,3),(25681,80),(25661,40)]
11	25	[(27481,2),(25681,60),(25661,30)]
12	25	[(27481,2),(25681,60),(25661,30)]
13	25	[(27481,2),(25681,60),(25661,30)]
14	25	[(27481,2),(25681,60),(25661,30)]
15	25	[(27481,2),(25681,60),(25661,30)]
16	25	[(27481,2),(25681,60),(25661,30)]
17	25	[(27481,2),(25681,60),(25661,30)]
18	25	[(27481,2),(25681,60),(25661,30)]
19	25	[(27481,2),(25681,60),(25661,30)]
20	25	[(27481,2),(25681,60),(25661,30)]
1	26	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	26	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	26	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	26	[(27481,3),(25681,80),(25661,40)]
5	26	[(27481,3),(25681,80),(25661,40)]
6	26	[(27481,3),(25681,80),(25661,40)]
7	26	[(27481,3),(25681,80),(25661,40)]
8	26	[(27481,3),(25681,80),(25661,40)]
9	26	[(27481,3),(25681,80),(25661,40)]
10	26	[(27481,3),(25681,80),(25661,40)]
11	26	[(27481,2),(25681,60),(25661,30)]
12	26	[(27481,2),(25681,60),(25661,30)]
13	26	[(27481,2),(25681,60),(25661,30)]
14	26	[(27481,2),(25681,60),(25661,30)]
15	26	[(27481,2),(25681,60),(25661,30)]
16	26	[(27481,2),(25681,60),(25661,30)]
17	26	[(27481,2),(25681,60),(25661,30)]
18	26	[(27481,2),(25681,60),(25661,30)]
19	26	[(27481,2),(25681,60),(25661,30)]
20	26	[(27481,2),(25681,60),(25661,30)]
1	27	[(27481,5),(27482,1),(25681,200),(25661,100)]
2	27	[(27481,4),(27482,1),(25681,150),(25661,75)]
3	27	[(27481,3),(27482,1),(25681,100),(25661,50)]
4	27	[(27481,3),(25681,80),(25661,40)]
5	27	[(27481,3),(25681,80),(25661,40)]
6	27	[(27481,3),(25681,80),(25661,40)]
7	27	[(27481,3),(25681,80),(25661,40)]
8	27	[(27481,3),(25681,80),(25661,40)]
9	27	[(27481,3),(25681,80),(25661,40)]
10	27	[(27481,3),(25681,80),(25661,40)]
11	27	[(27481,2),(25681,60),(25661,30)]
12	27	[(27481,2),(25681,60),(25661,30)]
13	27	[(27481,2),(25681,60),(25661,30)]
14	27	[(27481,2),(25681,60),(25661,30)]
15	27	[(27481,2),(25681,60),(25661,30)]
16	27	[(27481,2),(25681,60),(25661,30)]
17	27	[(27481,2),(25681,60),(25661,30)]
18	27	[(27481,2),(25681,60),(25661,30)]
19	27	[(27481,2),(25681,60),(25661,30)]
