cnt	explodeScorePerTime	cobomScorePerTime	totalExplodeCntScore	totalCobomCntScore	maxCobomScorePerExplode
135	1350	2700	1350	5400	723680
136	1360	2720	1360	5440	734480
137	1370	2740	1370	5480	745360
138	1380	2760	1380	5520	756320
139	1390	2780	1390	5560	767360
140	1400	2800	1400	5600	778480
141	1410	2820	1410	5640	789680
142	1420	2840	1420	5680	800960
143	1430	2860	1430	5720	812320
144	1440	2880	1440	5760	823760
145	1450	2900	1450	5800	835280
146	1460	2920	1460	5840	846880
147	1470	2940	1470	5880	858560
148	1480	2960	1480	5920	870320
149	1490	2980	1490	5960	882160
150	1500	3000	1500	6000	894080
151	1510	3020	1510	6040	906080
152	1520	3040	1520	6080	918160
153	1530	3060	1530	6120	930320
154	1540	3080	1540	6160	942560
155	1550	3100	1550	6200	954880
156	1560	3120	1560	6240	967280
157	1570	3140	1570	6280	979760
158	1580	3160	1580	6320	992320
159	1590	3180	1590	6360	1004960
160	1600	3200	1600	6400	1017680
161	1610	3220	1610	6440	1030480
162	1620	3240	1620	6480	1043360
163	1630	3260	1630	6520	1056320
164	1640	3280	1640	6560	1069360
165	1650	3300	1650	6600	1082480
166	1660	3320	1660	6640	1095680
167	1670	3340	1670	6680	1108960
168	1680	3360	1680	6720	1122320
169	1690	3380	1690	6760	1135760
170	1700	3400	1700	6800	1149280
171	1710	3420	1710	6840	1162880
172	1720	3440	1720	6880	1176560
173	1730	3460	1730	6920	1190320
174	1740	3480	1740	6960	1204160
175	1750	3500	1750	7000	1218080
176	1760	3520	1760	7040	1232080
177	1770	3540	1770	7080	1246160
178	1780	3560	1780	7120	1260320
179	1790	3580	1790	7160	1274560
180	1800	3600	1800	7200	1288880
181	1810	3620	1810	7240	1303280
182	1820	3640	1820	7280	1317760
183	1830	3660	1830	7320	1332320
184	1840	3680	1840	7360	1346960
185	1850	3700	1850	7400	1361680
186	1860	3720	1860	7440	1376480
187	1870	3740	1870	7480	1391360
188	1880	3760	1880	7520	1406320
189	1890	3780	1890	7560	1421360
190	1900	3800	1900	7600	1436480
191	1910	3820	1910	7640	1451680
192	1920	3840	1920	7680	1466960
193	1930	3860	1930	7720	1482320
194	1940	3880	1940	7760	1497760
195	1950	3900	1950	7800	1513280
196	1960	3920	1960	7840	1528880
197	1970	3940	1970	7880	1544560
198	1980	3960	1980	7920	1560320
199	1990	3980	1990	7960	1576160
200	2000	4000	2000	8000	1592080
201	2010	4020	2010	8040	1608080
202	2020	4040	2020	8080	1624160
203	2030	4060	2030	8120	1640320
204	2040	4080	2040	8160	1656560
205	2050	4100	2050	8200	1672880
206	2060	4120	2060	8240	1689280
207	2070	4140	2070	8280	1705760
208	2080	4160	2080	8320	1722320
209	2090	4180	2090	8360	1738960
210	2100	4200	2100	8400	1755680
211	2110	4220	2110	8440	1772480
212	2120	4240	2120	8480	1789360
213	2130	4260	2130	8520	1806320
214	2140	4280	2140	8560	1823360
215	2150	4300	2150	8600	1840480
216	2160	4320	2160	8640	1857680
217	2170	4340	2170	8680	1874960
218	2180	4360	2180	8720	1892320
219	2190	4380	2190	8760	1909760
220	2200	4400	2200	8800	1927280
221	2210	4420	2210	8840	1944880
222	2220	4440	2220	8880	1962560
223	2230	4460	2230	8920	1980320
224	2240	4480	2240	8960	1998160
225	2250	4500	2250	9000	2016080
226	2260	4520	2260	9040	2034080
227	2270	4540	2270	9080	2052160
228	2280	4560	2280	9120	2070320
229	2290	4580	2290	9160	2088560
230	2300	4600	2300	9200	2106880
231	2310	4620	2310	9240	2125280
232	2320	4640	2320	9280	2143760
233	2330	4660	2330	9320	2162320
234	2340	4680	2340	9360	2180960
235	2350	4700	2350	9400	2199680
236	2360	4720	2360	9440	2218480
237	2370	4740	2370	9480	2237360
238	2380	4760	2380	9520	2256320
239	2390	4780	2390	9560	2275360
240	2400	4800	2400	9600	2294480
241	2410	4820	2410	9640	2313680
242	2420	4840	2420	9680	2332960
243	2430	4860	2430	9720	2352320
244	2440	4880	2440	9760	2371760
245	2450	4900	2450	9800	2391280
246	2460	4920	2460	9840	2410880
247	2470	4940	2470	9880	2430560
248	2480	4960	2480	9920	2450320
249	2490	4980	2490	9960	2470160
250	2500	5000	2500	10000	2490080
251	2510	5020	2510	10040	2510080
252	2520	5040	2520	10080	2530160
253	2530	5060	2530	10120	2550320
254	2540	5080	2540	10160	2570560
255	2550	5100	2550	10200	2590880
256	2560	5120	2560	10240	2611280
257	2570	5140	2570	10280	2631760
258	2580	5160	2580	10320	2652320
259	2590	5180	2590	10360	2672960
260	2600	5200	2600	10400	2693680
261	2610	5220	2610	10440	2714480
262	2620	5240	2620	10480	2735360
263	2630	5260	2630	10520	2756320
264	2640	5280	2640	10560	2777360
265	2650	5300	2650	10600	2798480
266	2660	5320	2660	10640	2819680
267	2670	5340	2670	10680	2840960
268	2680	5360	2680	10720	2862320
269	2690	5380	2690	10760	2883760
270	2700	5400	2700	10800	2905280
271	2710	5420	2710	10840	2926880
272	2720	5440	2720	10880	2948560
273	2730	5460	2730	10920	2970320
274	2740	5480	2740	10960	2992160
275	2750	5500	2750	11000	3014080
276	2760	5520	2760	11040	3036080
277	2770	5540	2770	11080	3058160
278	2780	5560	2780	11120	3080320
279	2790	5580	2790	11160	3102560
280	2800	5600	2800	11200	3124880
281	2810	5620	2810	11240	3147280
282	2820	5640	2820	11280	3169760
283	2830	5660	2830	11320	3192320
284	2840	5680	2840	11360	3214960
285	2850	5700	2850	11400	3237680
286	2860	5720	2860	11440	3260480
287	2870	5740	2870	11480	3283360
288	2880	5760	2880	11520	3306320
289	2890	5780	2890	11560	3329360
290	2900	5800	2900	11600	3352480
291	2910	5820	2910	11640	3375680
292	2920	5840	2920	11680	3398960
293	2930	5860	2930	11720	3422320
294	2940	5880	2940	11760	3445760
295	2950	5900	2950	11800	3469280
296	2960	5920	2960	11840	3492880
297	2970	5940	2970	11880	3516560
298	2980	5960	2980	11920	3540320
299	2990	5980	2990	11960	3564160
300	3000	6000	3000	12000	3588080
