value	name	zs
656	TraWingAdvancedTrain	翅膀高级培养
658	LuckyTurntableCost	参加幸运转盘扣除神石及增加当日次数
659	uckyTurntableReward	参加幸运转盘获取奖励
660	RuneWheelCost	参加符文宝轮扣除神石或者符文宝珠
661	RuneWheelReward	参加符文宝轮获取奖励
662	TraTarot_OneKeyZhanBu	塔罗牌一键占卜
663	TraTarot_OneKeyMix	塔罗牌一键融合
664	TraTarot_OnStrengthenTarotRing	强化占卜光环
666	Tra_MainTaskFight	主线任务战斗奖励
667	TraChooseCamp	选择阵营
669	WonderfulActReward	精彩活动领奖
671	TraUnionFBLevelReward	公会副本关卡奖励
672	TraUnionFBEliteReward	公会副本精英奖励
673	TraUnionFBBuyCnt	公会副本购买行动力
674	JJCAward	英雄竞技奖励
675	KingRoleAward	城主轮值个人奖励
676	KingUnionAward	城主轮值公会奖励
677	DDKillAward	魔兽入侵击杀奖励
678	DDUnionAward	魔兽入侵公会奖励
679	GWCampAward	荣耀之战阵营奖励
680	GWUnionAward	荣耀之战公会奖励
681	GWRankAward	荣耀之战排行榜奖励
682	GWScoreAward	荣耀之战积分奖励
685	TraSendFlower	送花
689	TraMainTaskEgg	主线任务砸蛋
690	TraQSaveDeskTop	游戏桌面保存领取奖励
691	TraUnionError	公会异常修复
692	Tra_FB_FinishCard	副本通关翻牌奖励
693	Tra_StudySkill	学习一个技能
694	Tra_LevelUpSkill	升级一个技能
695	HeroTempleReward_Log	英灵神殿奖励日志
696	HeroTempleBuyCnt_Log	英灵神殿购买次数
697	TraPetTrain	宠物培养
698	Tra_Slave_Play	奴隶互动日志
699	Tra_RoleExit	角色退出游戏
701	Tra_PetFarm_OnekeyHarvest	宠物灵树请求一键收获
702	Tra_PetFarm_QuickerMachine	宠物灵树请求浇水
703	TraUnionChangeName	公会改名
704	Tra_Slave_Mail	奴隶邮件经验
705	ToSky_RewardLog	冲上云霄翻牌
706	Tra_GetSlaveExp	提取奴隶的经验
707	Tra_GetOnHourExp	压榨一个奴隶一个小时的经验
708	Tra_GetExpToDie	抽干一个奴隶所有的经验
709	Tra_Slave_BuyCatchTimes	购买抓奴隶次数
710	Tra_Slave_BuyBattleTimes	购买奴隶反抗次数
711	Tra_Slave_BuySaveTimes	购买解救奴隶次数
712	Tra_PetFarm_Harvest	宠物灵树请求普通收获
713	ChangeName	更改名字消耗
714	Change_Name_Faile_Msg	更改名字失败返还
715	Tra_CircularActive_Start	开启一个循环活动
716	Tra_CircularActive_End	结束一个循环活动
717	TraLiBaoRewardC	获取可选择礼包奖励
718	MysterShopMine_Log	神秘商店兑换矿石
719	MysterShopItem_Log	神秘商店兑换道具
720	TraGetAppLoginReward	领取QQ应用面板登陆奖励
721	Tra_FirstPayBox_Open	领取超值首充宝箱奖励
722	Tra_CarnivalOfTopup_OpenTreasureChest	玩家在充值狂欢活动中打开宝箱
724	TraPetSoulOn	宠物之灵佩戴
725	TraPetSoulOff	宠物之灵卸下
726	TraPetSoulUpgrade	宠物之灵升级
731	TraPetLuckyDraw	宠物转转乐
732	TraPetLuckyDrawReward	宠物转转乐奖励
733	Day3366Reward	3366每日礼包奖励
735	Tra_EnterAsteroidField	魔域星宫进入星域
736	Tra_AsteroidFieldsReward	魔域星宫普通挑战发放奖励
737	Tra_AsteroidFieldsBuyXingdongli	魔域星宫购买行动力
738	WonderfulActJJC	精彩活动竞技场数据
739	WonderfulDuke	精彩活动竞圣城争霸数据
740	WonderfulGlory	精彩活动荣耀之战数据
741	WonderfulZDL	精彩活动战力绝伦数据
742	WonderfulUnion	精彩活动公会竞赛数据
743	WonderfulMount	精彩活动坐骑争霸数据
744	WonderfulClear	修改开服时间精彩活动数据清空
745	WonderfulDisAct	精彩活动清除已消失的活动
746	BallFameGoals_Log	一球成名进球日志
747	BallFameUCheers_Log	一球成名公会喝彩日志
748	BallFameASCheers_Log	一球成名全服喝彩日志
749	QQLZDayAward	蓝钻用户每日礼包
750	QQLZNovice	蓝钻用户新手礼包
751	QQLZLevel	蓝钻用户等级礼包
752	Tra_PetFarm_Machine	宠物灵树请求种植
753	RMBFundBuy_Log	神石基金购买日志
754	RMBFundExchange_Log	神石基金兑换日志
760	TraDragonLevelUp	神龙升级
761	TraDragonUpgrade	神龙进阶
762	HeavenUnRMBReward	天降神石奖励
765	HeavenUnRMBCost	天降神石消耗
766	WeiXinReward_Log	领取微信关注奖励
767	WeiboZoneReward_Log	领取微博空间分享奖励
768	TraHallowsEnchant	圣器附魔
769	TalentCardCost	天赋卡升级消耗
770	DecTalentCard	天赋卡分解
772	TraHallowsrefine	圣器洗练
773	TraSaveHallowsrefine	保存圣器洗练属性
774	TraHallowsreheritance	圣器继承
776	Tra_changeRoleGenderSuccessfully	变性成功
779	ExchangeCard	兑换天赋卡
780	UnLockCard	天赋卡解锁卡槽消耗
781	TraDragonEggBreak	Без перевода 000_719
782	Tra_AsteroidFieldsResetchallenge	魔域星宫重置关卡
783	WeddingRingSoulSuccinct_Log	戒灵精炼
784	CouplesKillReward	情缘副本击杀小怪奖励
785	CouplesLuckyReward	情缘副本幸运抽奖奖励
786	CouplesPassReward	情缘副本通关奖励
787	CouplesQuickCD	情缘副本加速CD消耗
788	CouplesBuyTimes	情缘副本购买副本次数消耗
789	Tra_RequestTwelvePalace	勇闯十二宫请求闯宫
790	Tra_TwelvePalaceHelpOther	勇闯十二宫协助他人闯宫
791	Tra_TwelvePalaceSuccess	勇闯十二宫完美闯宫
792	MarryReservation_Log	预约婚礼
793	MarrySceneBuy_Log	婚礼内购物
794	MarryDivorce_Log	离婚日志
795	MarryLibao_Log	婚礼领取礼包
796	MarryHeli_Log	婚礼赠送贺礼
797	MarryReviveHeli_Log	婚礼收到贺礼
798	Tra_TwelvePalaceInAdvance	勇闯十二宫提前闯宫
799	MarryFinish_Log	结婚日志
800	MarryCancel_Log	取消订婚
801	WeddingRingForging_Log	婚戒培养
802	MarryRebate_Log	回赠礼物
803	TraClearUnionJoinCD	清除加入公会CD
804	Tra_GameUnionAiwanContiLog	游戏联盟爱玩连续登录奖励
805	Tra_GameUnionQQGJContiLog	游戏QQ管家连续登录奖励 
806	Tra_GameUnionAiwanLog	游戏联盟爱玩登录奖励
807	Tra_GameUnionQQGJLog	游戏QQ管家登录奖励 
808	TraDayFirstPayReward	每日首充奖励
810	UniversalAward	全民团购福利宝箱奖励
811	GW_KillNpcReward	荣耀之战击杀npc奖励
812	GW_JoinCampID_Log	荣耀之战进入分配阵营ID
813	GW_EndReward_Log	荣耀之战结束时发奖日志
814	TraJJCBuyCnt	竞技场购买次数
815	TraJJCExchange	竞技场兑换奖励
816	TraJJCResetCD	竞技场重置CD
817	TraJJCWinChallengeReward	竞技场挑战胜利奖励
818	TraJJCLostChallengeReward	竞技场挑战失败奖励
821	TraRushLevelGetReward	领取冲级排名奖励
822	TraDDHurtReward	魔兽入侵伤害奖励
823	TraDDLuckyDraw	魔兽入侵抽奖
824	DukeQuackCDCost	城主加速CD消耗
825	DutyUnionRankReward	城主轮值工会排名奖励
826	DutyPersonRankReward	城主轮值个人排名奖励
827	DutySendMail	城主轮值邮件
828	WonderfulRing	精彩活动婚戒排行数据
829	UniverBuyCost	全民团购消费
830	UniverBuyUnlockReward	全民团购解锁奖励
831	RMBBankBuy_Log	神石银行存放日志
832	RMBBankExtract_Log	神石银行提取日志
833	TraGVECardReward	GVE副本翻牌奖励
834	NA_Charge_Log	北美充值发货
835	TraGVEFightReward	GVE副本战斗奖励
836	Tra_KaifuBoss_FightAward	开服boss战斗胜利奖励
838	WishPoolEx_Log	许愿池积分兑换日志
839	WishPoolWish_Log	许愿池许愿日志
840	Charge_Log	第三方充值发货
841	TraGoldDropAward	金币掉落副本奖励
842	GoldMirrorGold	经验副本获取金币
843	PetEvolutionCost	宠物修行消耗
844	TraMallTrade	神石商城购物
845	TraFBShopTrade	副本商店兑换
846	WishPoolWishOnce_Log	许愿池许愿一次日志
847	WishPoolWishTen_Log	许愿池许愿十次日志
848	WishPoolWishTwenty_Log	许愿池许愿二十次日志
849	WishPoolWishHundred_Log	许愿池许愿一百次次日志
850	CardGive_Log	月卡赠送日志
851	CardRevive_Log	收到月卡日志
852	Tra_KaifuBoss_Worship	开服boss膜拜大神
853	TraEnchantEquipment	装备附魔
854	Tra_GoldChest_Reward	黄金宝箱开启箱子获得奖励
855	StrayMerchantCost	流浪商人购买消耗
856	StrayMerFreshCost	流浪商人手动刷新消耗
858	BraveHeroBuyCnt_Log	勇者英雄坛购买次数日志
859	BraveHeroShopEx_Log	勇者英雄坛兑换日志
860	BraveHeroScore_Log	勇者英雄坛个人积分兑换日志
861	Tra_DailySeckill	参加天天秒杀交易成功 
862	WonderfulZDLRank	精彩活动战力排行
867	Tra_KaifuBoss_SeverAward	开服boss全服奖励
868	Tra_HefuBoss_FightAward	合服boss战斗胜利奖励
869	Tra_HefuBoss_SeverAward	合服boss全服奖励
870	Tra_HefuBoss_Worship	合服boss膜拜大神
871	TraCommitInfoReward	填写玩家个人真实信息奖励 
872	Tra_HeFuMail	合服角色登录邮件
873	WonderfulHefu	精彩活动合服数据修正
874	Tra_SD_Buy_LiBao	购买超值大礼礼包
875	TraOnLineReward_Beta	领取北美封测在线奖励
876	LegionSevenReward_Beta	北美封测七日登录奖励
877	ProjectActReward	专属活动奖励
878	Tra_QQRoleBack	角色回流到游戏
879	Tra_QQRoleBackReward	回流角色礼包奖励
880	Tra_QQRoleBackDayRewrad	回流角色连续登录礼包奖励
881	Tra_QQActivePage	腾讯页面礼包登记
882	Tra_QQActivePageReward	腾讯页面礼包奖励
883	Tra_AFDailyLiBao	中秋每日登陆礼包领取
884	WildBossBoxAward	野外夺宝宝箱奖励
885	WildBossMoneyAward	野外夺宝金币奖励
886	Tra_AFLatteryReward	中秋搏饼奖励
887	Tra_AFLatteryNumExchange	神石充值数兑换中秋搏饼次数
888	Tra_OpenLimitChest	开启限次宝箱
889	FashionStarCost	时装升星消耗
890	FashionOrderCost	时装升阶消耗
891	FashionIdeCost	时装鉴定消耗
892	Tra_QQHZGiftRGLiBao	黄钻转大礼礼包获取
893	Tra_QQHZGiftOGLiBao	黄钻献大礼礼包获取
894	Tra_QQHZGift_Roll	黄钻转大礼礼包获取
895	Tra_QQHZGift_Offer	黄钻献大礼物品获取
896	SeaXunbaoNormal_Log	深海普通寻宝日志
897	SeaXunbaoAdvance_Log	深海高级寻宝日志
898	Tra_QQTipsRewrad	QQ会员Tips礼包
899	TraDragonTrainAwaken	驯龙唤醒
900	TraDragonCollectSoul	驯龙聚灵
901	TraDragonBallUpgrade	驯龙提升龙珠
902	TraDragonEquipmentActivate	驯龙装备激活
903	Tra_TTFightReward	组队副本战斗奖励
904	Tra_TTFirstFinishReward	组队副本首次通关奖励
905	Tra_TTFinishReward	组队副本章节通关奖励
906	TraDragonGoldEggBreak	砸金龙蛋
907	TraDragonSilverEggBreak	砸银龙蛋
908	FashionMail	时装补发羽翼邮件
909	Tra_QOpen_HuangZuanKaiTong	开通黄钻
910	Tra_TTRewardTimes	进入组队爬塔扣除收益次数
911	Tra_TTRewardExit	组队爬塔有收益次数的退出爬塔副本
912	Tra_WR3366_TodayReward	3366一周豪礼领取今日礼包
913	TraDragonEvolve	驯龙进化
914	Tra_TiLiActivityGetTiLi	玩家在开服体力活动 获得体力
915	TraOnekeyStrengthenEquipment	一键强化装备
916	TraStarGirlUnlock	星灵解锁
917	TraStarGirlDivine	星灵占星
918	TraStarGirlLevelUp	星灵升级
919	TraStarGirlEvolve	星灵进化
920	TraStarGirlStarLevelUp	星灵升星
921	TraStarGirlPray	星灵祈祷
922	TraStarGirlBuyLove	星灵购买爱心值
923	TraStarGirlActivatePower	星灵激活星灵之力
924	Tra_ND_DailyLiBao	国庆登陆礼包领取
925	Tra_ND_ExchangeRewad	国庆奖励兑换
926	NationBack_Log	领取节日有礼回赠日志
927	NationalDayFBKillReward	国庆副本杀怪奖励
928	Tra_FindBack_RMB	找回系统神石找回
929	Tra_FindBack_OneKeyRMB	找回系统一键神石找回
930	Tra_FindBack_TimeReward	找回系统时间触发时间找回奖励
931	NDFBKillReward	国庆副本杀怪奖励
932	NDFBGlobalReward	国庆副本全民战斗奖励
933	Tra_NationDayStrikeBoss	国庆活动击杀boss
934	Tra_QQMiniClientDownLoadRewrad	QQ微端下载礼包
935	Tra_QQMiniClientStartRewrad	QQ微端开机启动礼包
936	Tra_QQMiniClientReadyStartRewrad	QQ微端已经设置好的开机启动礼包
937	Tra_QQMiniClientDayRewrad	QQ微端每日登录礼包
938	Tra_LuckyBag_Buy	购买福袋 
939	Tra_LuckyBag_Open	打开福袋 
940	TraKaiFuActReward	开服活动奖励(北美专属)
941	TraStarGirlInherit	星灵传承
942	CardBuy_Log	月卡购买日志
943	CardRenewals_Log	月卡续费日志
944	CardReviveFanquan_Log	月卡领取返券日志
945	Tra_EvolveSuperSkill	进化超级技能
946	Tra_LevelUpSuperSkill	升级一个超级技能
947	BraveHeroGetScore_Log	勇者英雄坛获得积分日志
948	CollectQiandao_Log	每日集龙印签到日志
949	CollectBuqian_Log	每日集龙印补签日志
950	CollectRmbReward_Log	每日集龙印领取每日充值奖励龙印日志
951	CollectLongyinReward_Log	每日集龙印领取龙印日志
952	TraSevenActReward	七日活动奖励(北美专属)
953	TraLingShiShopTrade	灵石商店兑换
954	HalloweenKillReward	万圣节击杀鬼奖励
955	HalloweenCollectReward	万圣节击收集奖励
956	HalloweenlightReward	万圣节击点灯奖励
957	TraStarGirlSealUnlock	星灵刻印解锁
958	TraStarGirlSealLevelUp	星灵刻印升级
959	HalloweenTaskReward	万圣节任务奖励奖励
960	OutDateMount	坐骑过期
961	Tra_DragonVeinActivate	激活龙脉
962	Tra_DragonVeinLevelup	龙脉普通升级
963	Tra_DragonVeinOneKeyLevelup	龙脉一键升级
964	Tra_DragonVeinGradeup	龙脉普通进化
965	Tra_DragonVeinOneKeyGradeup	龙脉一键进化
966	Tra_QOpen_LanZuanKaiTong	开通蓝钻
967	Tra_QQMiniClientRoleBackRewrad	QQ微端回流礼包
968	Tra_AsteroidFieldsReward_OneKey	魔域星宫一键挑战发放奖励
969	RuneWheelFifytyTimes	参加50次符文宝轮扣除神石或者符文宝珠
970	RuneWheelFifytyTimesReward	参加50次符文宝轮获取奖励
971	TraHalloweenNAReward	北美万圣节奖励(北美专属)
972	HSUnionRankAward	混乱时空公会伤害排名奖励
973	HSPersonRankAward	混乱时空个人伤害排名奖励
974	HSUnionScoreAward	混乱时空公会积分奖励
975	Tra_QQLZKaiTongGift	蓝钻转大礼礼包获取
976	Tra_DML_Lottery	天马行空抽奖
977	Tra_QQHallLotteryReward	大厅搏饼奖励
978	Tra_QQHallLotteryNumExchange	大厅充值神石数兑换搏饼次数
979	Tra_JTMedal_RequestWearMedal	跨服竞技场请求佩戴勋章
980	Tra_JTStore_RequestExchange	跨服竞技场金券兑换商店请求兑换物品
981	Tra_BlessRoulette_SingleDraw	祝福轮盘单次抽奖
982	Tra_BlessRoulette_BatchDraw	祝福轮盘批量抽奖
983	Tra_SetPackagePasswd	设置背包加密锁密码
984	Tra_ResetPackagePasswd	重置背包加密锁密码
985	HaoqiLocalRank_Log	豪气冲天本地排行榜奖励
986	HaoqiFillReward_Log	豪气冲天今日充值奖励
987	TraSeckillBuy	双十一秒杀汇购买
988	Tra_GBC_BuyItem	团购嘉年华购买物品
989	Tra_GBC_UnlockReward	团购嘉年华解锁奖励
990	DoubleElevenShopEx_Log	狂欢兑不停兑换日志
991	Tra_UnlockPackage	背包解锁
992	Tra_ClearPackagePasswd	清除背包加密锁密码
993	Tra_RequestClearPackagePasswd	清除背包加密锁密码
994	BuyTimeLimitGoods	限时商城购买
995	NATimeLimitGoods	北美限时购买商品(北美专属)
996	Tra_JS_FightReward	组队竞技场战斗奖励
997	GroupBuyCarnivalAward	团购嘉年华解锁福利
998	Tra_JS_CreateTeam	创建战队
999	Tra_JS_JoinTeam	加入战队
1000	Tra_JS_LeaveTeam	离开战队
1001	Tra_JS_KickTeam	被踢出战队
1002	Tra_JS_DismissTeam	解散战队
1003	Tra_JS_ChangeTeam	修改战队信息
1004	Tra_JS_DayReward	组队竞技场日结奖励
1005	Tra_JS_WeekReward	组队竞技场周结奖励
1006	Tra_JS_MonthReward	组队竞技场月结奖励
1007	Tra_Collect_PetLuckyFarm	宠物福田请求普通采集
1008	Tra_OnekeyCollect_PetLuckyFarm	宠物福田请求一键采集
1009	Tra_DragonStelePray_Nomal	龙魂石碑普通祈祷
1010	Tra_DragonStelePray_Special	龙魂石碑高级祈祷
1011	Tra_DragonStelePray_Extra	龙魂石碑百次高级祈祷额外获得
1012	GetOrBuyVIPLibao	玩家领取或购买VIP礼包
1013	Tra_QQLZGift_OG_Reward	蓝钻献大礼奖励
1014	PartyHost_Log	举办普通结婚派对
1015	PartyCandy_Log	结婚派对赠送普通喜糖
1016	PartyBless_Log	结婚派对普通祝福
1017	QinmiUpLevel_Log	亲密度等级提升
1018	QinmiUpGrade_Log	亲密度品阶提升
1019	Tra_JS_CrossMonthClear	跨服竞技场月结清理
1020	PartyHostAdvance_Log	举办高级结婚派对
1021	PartyHostLuxury_Log	举办豪华结婚派对
1022	PartyCandyAdvance_Log	结婚派对赠送高级喜糖
1023	PartyCandyLuxury_Log	结婚派对赠送豪华喜糖
1024	PartyBlessAdvance_Log	结婚派对高级祝福
1025	Tra_NARoleBack	北美角色召回奖励
1026	Tra_StepByStep_OpenChest	步步高升打开宝箱
1027	TraWingEvolve	翅膀进阶
1028	Tra_DragonHoleReward	勇闯龙窟击杀怪物奖励
1029	TraDragonEquipUpgrade	驯龙装备进阶（龙骸进阶）
1030	TraMallShoppingCart	神石商城购物车购物
1031	Tra_TGRechargeReward_RewardTimes	领取充值获得的抽奖次数
1032	Tra_TGRechargeReward_LotteryReward	充值送豪礼抽奖
1033	TraGodsTreasureSearch	众神秘宝探宝
1034	TraGodsTreasureFastSearch	众神秘宝一键探宝
1035	CutTurkey_Log	切火鸡奖励
1036	Tra_TGOnlineReward_Award	在线赢大礼领在线奖励
1037	CutTurkeyUse_Log	切火鸡使用神石
1038	Tra_BaiduLibao	百度礼包
1039	Tra_Collect_Silver_PetLuckyFarm	宠物福田请求银锄头普通采集
1040	Tra_Collect_Gold_PetLuckyFarm	宠物福田请求金锄头普通采集
1041	Tra_OnekeyCollect_Silver_PetLuckyFarm	宠物福田请求银锄头一键采集
1042	Tra_OnekeyCollect_Gold_PetLuckyFarm	宠物福田请求金锄头一键采集
1043	TraZumaExplode	祖玛爆炸奖励
1044	Tra_FeastWheel_Lottery	盛宴摩天轮抽奖奖励
1045	Tra_FeastWheel_RechargeReward	盛宴摩天轮重置奖励领取
1046	CrossZBAward	跨服争霸奖励
1047	CrossZBGuessAward	跨服争霸竞猜奖励
1048	Tra_KaifuTarget_LevelTarget	7日目标活动冲级目标奖励
1049	Tra_LoveTogether_OnlineReward	爱在一起在线奖励领取
1050	Tra_LuckyCoin_Lottery	好运币专场抽奖
1051	Tra_LuckyCoin_LotteryReset	好运币专场重置转盘
1052	Tra_KaifuTarget_MountTarget	7日目标活动坐骑目标奖励
1053	Tra_KaifuTargetGemTarget	7日目标活动宝石目标奖励
1054	Tra_KaifuTargetWedingRingTarget	7日目标活动婚戒目标奖励
1055	TraDTRebateReward	双十二返利领不停奖励
1056	Tra_KaifuTarget_RoleZDLTarget	7日目标活动主角战斗力目标奖励
1057	Tra_KaifuTarget_HeroZDLTarget	7日目标活动英雄战斗力目标奖励
1059	Tra_KaifuTarget_TotalZDlTarget	7日目标活动总战斗力目标奖励
1060	Tra_KaifuTarget_LevelRank	7日目标活动冲级排名奖励
1061	Tra_KaifuTarget_MountRank	7日目标活动坐骑排名奖励
1062	Tra_KaifuTarget_GemRank	7日目标活动宝石排名奖励
1063	Tra_KaifuTarget_WedingRingRank	7日目标活动婚戒排名奖励
1064	Tra_KaifuTarget_RoleZDLRank	7日目标活动主角战斗力排名奖励
1065	Tra_KaifuTarget_HeroZDLRank	7日目标活动英雄战斗力排名奖励
1066	Tra_KaifuTarget_TotalZDLRank	7日目标活动总战斗力排名奖励
1067	GroupBuyPartyAward_1	团购狂欢奖励
1068	GroupBuyPartyAward_2	团购狂欢奖励
1069	Tra_GroupBuyParty_BuyGood	团购派对购买商品
1070	Tra_JTZB_FinalGuess	跨服争霸请求竞猜
1071	Tra_JTZB_FinalGuessReward	跨服争霸竞猜奖励
1073	DTRichRankAward	土豪派对跨服土豪奖励
1074	Tra_JTZB_Mail	跨服争霸晋级邮件
1075	Tra_InitZBGroupData	跨服争霸小组初始化数据
1076	Tra_InitZBFinalData	跨服争霸总决赛初始化数据
1077	Tra_FinalUpGrade	跨服争霸总决赛晋级
1078	Tra_JTZB_ChampionReward	跨服争霸领取冠军奖励
1079	Tra_QQLZLuxuryGift_GetKaiTongReward	领取蓝钻六重礼奖励
1080	DragonTreasureBuyDig	巨龙宝藏购买普通挖宝消费
1081	DragonTreasureBuyLuckyDig	巨龙宝藏购买幸运挖宝消费
1082	GoldPickGold	经验副本直接获取金币
1083	TLSReward_Log	限时特供领取奖励日志
1084	Tra_QOpen_HaoHuaLanZuanKaiTong	开通豪华蓝钻
1085	KaifuTargetAccountRankData	七日目标排行榜结算数据数据
1086	TraZumaScoreReward	祖玛积分奖励
1087	TraZumaCollectReward	祖玛收集奖励
1089	ZumaRoleRankAward	天天消龙珠本服个人排名奖励
1090	ZumaUnionRankAward	天天消龙珠跨服公会排名奖励
1091	TraZumaBuyCnt	祖玛购买次数
1092	Tra_DayClearScirpt	每日清理(脚本)
1093	MountMetempsychosis	坐骑转生
1094	Metempsychosis	坐骑转生
1095	MountZhuanSheng	坐骑转生
1096	FashionHoleCost	时装升时装光环消耗
1097	MountApperanceUpLog	坐骑外形品质进阶
1098	Tra_ChristmasWishTree_RefreshShelf_Role	圣诞许愿树手动刷新货架商品
1099	Tra_ChristmasWishTree_RefreshShelf_System	圣诞许愿树自动刷新货架商品
1100	Tra_ChristmasWishTree_BuyGood	圣诞许愿树购买货架商品
1101	Tra_ChristmasMountLottery_SingleLottery	圣诞坐骑转转乐_单次抽奖
1102	Tra_ChristmasMountLottery_BatchLottery	圣诞坐骑转转乐_批量抽奖
1103	Tra_ChristmasWingLottery_SingleLottery	圣诞羽翼转转乐_单次抽奖
1104	Tra_ChristmasWingLottery_BatchLottery	圣诞羽翼转转乐_批量抽奖
1105	ChristmasHaoExpReward_Log	有钱就是任性今日积分奖励
1106	ChristmasShopEx_Log	圣诞狂欢兑不停兑换日志
1107	Tra_ChristmasFashionShow_BuyGoods	圣诞时装秀_购买商品
1108	Tra_ChristmasFashionShow_DonateGoods	圣诞时装秀_赠送商品
1109	Tra_ChristmasFashionShow_BeDonateGoods	圣诞时装秀_被赠送商品
1110	EquipmentWashCost	装备洗练消耗
1111	EquipmentWashJiCheng	装备洗练继承消耗
1112	EquipmentUnlockCost	装备开启新的洗练属性消耗
1113	HolidayShoppingBuy_Log	元旦购物节购物日志
1114	HolidayShoppingReward_Log	元旦购物节积分奖励日志
