level	bindRMB	rewardItemList	rewardPreview
89	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
90	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
91	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
92	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
93	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
94	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
95	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
96	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
97	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
98	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
99	10	[(25663,3),(25684,3)]	[(25829,10),(25663,3),(25684,3)]
100	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
101	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
102	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
103	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
104	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
105	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
106	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
107	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
108	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
109	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
110	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
111	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
112	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
113	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
114	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
115	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
116	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
117	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
118	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
119	10	[(25664,3),(25685,3)]	[(25829,10),(25664,3),(25685,3)]
120	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
121	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
122	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
123	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
124	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
125	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
126	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
127	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
128	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
129	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
130	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
131	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
132	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
133	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
134	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
135	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
136	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
137	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
138	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
139	10	[(25665,3),(25686,3)]	[(25829,10),(25665,3),(25686,3)]
140	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
141	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
142	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
143	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
144	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
145	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
146	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
147	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
148	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
149	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
150	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
151	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
152	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
153	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
154	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
155	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
156	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
157	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
158	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
159	10	[(27048,3),(26607,3)]	[(25829,10),(27048,3),(26607,3)]
160	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
161	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
162	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
163	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
164	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
165	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
166	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
167	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
168	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
169	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
170	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
171	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
172	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
173	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
174	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
175	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
176	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
177	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
178	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
179	10	[(27904,3),(27066,3)]	[(25829,10),(27904,3),(27066,3)]
