evolveId	level	starNum	totalExp	needMoney	addExp	GoldCrit	GoldTimes	needRMB	itemId	needItemNum	RMBaddExp	RMBCrit1	RMBTimes1	RMBCrit2	NextID	maxIllusionId	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
11	1	0	765	20000	10	800	10	10	25600	1	20	1000	10	10	0	2	360	0	0	120	0	120	0	0	0	0	0	0	0	0	0
12	1	1	782	20000	10	800	10	10	25600	1	20	1000	10	10	0	2	432	0	0	144	0	144	0	0	0	0	0	0	0	0	0
13	1	2	799	20000	10	800	10	10	25600	1	20	1000	10	10	0	2	504	0	0	168	0	168	0	0	0	0	0	0	0	0	0
14	1	3	816	20000	10	800	10	10	25600	1	20	1000	10	10	0	2	576	0	0	192	0	192	0	0	0	0	0	0	0	0	0
15	1	4	833	20000	10	800	10	10	25600	1	20	1000	10	10	0	2	648	0	0	216	0	216	0	0	0	0	0	0	0	0	0
16	1	5	868	20000	10	800	10	10	25600	1	20	1000	10	10	0	2	720	0	0	240	0	240	0	0	0	0	0	0	0	0	0
17	1	6	885	20000	10	800	10	10	25600	1	20	1000	10	10	0	2	792	0	0	264	0	264	0	0	0	0	0	0	0	0	0
18	1	7	902	20000	10	800	10	10	25600	1	20	1000	10	10	0	2	864	0	0	288	0	288	0	0	0	0	0	0	0	0	0
19	1	8	919	20000	10	800	10	10	25600	1	20	1000	10	10	0	2	936	0	0	312	0	312	0	0	0	0	0	0	0	0	0
20	1	9	936	20000	10	800	10	10	25600	1	20	1000	10	10	3	2	1008	0	0	336	0	336	0	0	0	0	0	0	0	0	0
21	2	0	2997	30000	10	800	10	10	25600	1	20	1000	10	10	0	3	1080	0	0	360	0	360	0	0	0	0	0	0	0	0	0
22	2	1	3063	30000	10	800	10	10	25600	1	20	1000	10	10	0	3	1224	0	0	408	0	408	0	0	0	0	0	0	0	0	0
23	2	2	3130	30000	10	800	10	10	25600	1	20	1000	10	10	0	3	1368	0	0	456	0	456	0	0	0	0	0	0	0	0	0
24	2	3	3196	30000	10	800	10	10	25600	1	20	1000	10	10	0	3	1512	0	0	504	0	504	0	0	0	0	0	0	0	0	0
25	2	4	3263	30000	10	800	10	10	25600	1	20	1000	10	10	0	3	1656	0	0	552	0	552	0	0	0	0	0	0	0	0	0
26	2	5	3396	30000	10	800	10	10	25600	1	20	1000	10	10	0	3	1800	0	0	600	0	600	0	0	0	0	0	0	0	0	0
27	2	6	3463	30000	10	800	10	10	25600	1	20	1000	10	10	0	3	1944	0	0	648	0	648	0	0	0	0	0	0	0	0	0
28	2	7	3529	30000	10	800	10	10	25600	1	20	1000	10	10	0	3	2088	0	0	696	0	696	0	0	0	0	0	0	0	0	0
29	2	8	3596	30000	10	800	10	10	25600	1	20	1000	10	10	0	3	2232	0	0	744	0	744	0	0	0	0	0	0	0	0	0
30	2	9	3663	30000	10	800	10	10	25600	1	20	1000	10	10	4	3	2376	0	0	792	0	792	0	0	0	0	0	0	0	0	0
31	3	0	3663	40000	10	800	10	10	25600	1	20	1000	10	1	0	4	2520	0	0	840	0	840	0	0	0	0	0	0	0	0	0
32	3	1	3744	40000	10	800	10	10	25600	1	20	1000	10	1	0	4	2700	0	0	900	0	900	0	0	0	0	0	0	0	0	0
33	3	2	3825	40000	10	800	10	10	25600	1	20	1000	10	1	0	4	2880	0	0	960	0	960	0	0	0	0	0	0	0	0	0
34	3	3	3907	40000	10	800	10	10	25600	1	20	1000	10	1	0	4	3060	0	0	1020	0	1020	0	0	0	0	0	0	0	0	0
35	3	4	3988	40000	10	800	10	10	25600	1	20	1000	10	1	0	4	3240	0	0	1080	0	1080	0	0	0	0	0	0	0	0	0
36	3	5	4151	40000	10	800	10	10	25600	1	20	1000	10	1	0	4	3420	0	0	1140	0	1140	0	0	0	0	0	0	0	0	0
37	3	6	4232	40000	10	800	10	10	25600	1	20	1000	10	1	0	4	3600	0	0	1200	0	1200	0	0	0	0	0	0	0	0	0
38	3	7	4314	40000	10	800	10	10	25600	1	20	1000	10	1	0	4	3780	0	0	1260	0	1260	0	0	0	0	0	0	0	0	0
39	3	8	4395	40000	10	800	10	10	25600	1	20	1000	10	1	0	4	3960	0	0	1320	0	1320	0	0	0	0	0	0	0	0	0
40	3	9	4477	40000	10	800	10	10	25600	1	20	1000	10	1	5	4	4140	0	0	1380	0	1380	0	0	0	0	0	0	0	0	0
41	4	0	16650	50000	10	800	10	10	25600	1	20	1000	10	1	0	5	4320	0	0	1440	0	1440	0	0	0	0	0	0	0	0	0
42	4	1	17020	50000	10	800	10	10	25600	1	20	1000	10	1	0	5	4680	0	0	1560	0	1560	0	0	0	0	0	0	0	0	0
43	4	2	17390	50000	10	800	10	10	25600	1	20	1000	10	1	0	5	5040	0	0	1680	0	1680	0	0	0	0	0	0	0	0	0
44	4	3	17760	50000	10	800	10	10	25600	1	20	1000	10	1	0	5	5400	0	0	1800	0	1800	0	0	0	0	0	0	0	0	0
45	4	4	18130	50000	10	800	10	10	25600	1	20	1000	10	1	0	5	5760	0	0	1920	0	1920	0	0	0	0	0	0	0	0	0
46	4	5	18870	50000	10	800	10	10	25600	1	20	1000	10	1	0	5	6120	0	0	2040	0	2040	0	0	0	0	0	0	0	0	0
47	4	6	19240	50000	10	800	10	10	25600	1	20	1000	10	1	0	5	6480	0	0	2160	0	2160	0	0	0	0	0	0	0	0	0
48	4	7	19610	50000	10	800	10	10	25600	1	20	1000	10	1	0	5	6840	0	0	2280	0	2280	0	0	0	0	0	0	0	0	0
49	4	8	19980	50000	10	800	10	10	25600	1	20	1000	10	1	0	5	7200	0	0	2400	0	2400	0	0	0	0	0	0	0	0	0
50	4	9	20350	50000	10	800	10	10	25600	1	20	1000	10	1	6	5	7560	0	0	2520	0	2520	0	0	0	0	0	0	0	0	0
51	5	0	23310	60000	10	800	10	10	25600	1	20	1000	10	1	0	6	7920	0	0	2640	0	2640	0	0	0	0	0	0	0	0	0
52	5	1	23828	60000	10	800	10	10	25600	1	20	1000	10	1	0	6	8334	0	0	2778	0	2778	0	0	0	0	0	0	0	0	0
53	5	2	24346	60000	10	800	10	10	25600	1	20	1000	10	1	0	6	8748	0	0	2916	0	2916	0	0	0	0	0	0	0	0	0
54	5	3	24864	60000	10	800	10	10	25600	1	20	1000	10	1	0	6	9162	0	0	3054	0	3054	0	0	0	0	0	0	0	0	0
55	5	4	25382	60000	10	800	10	10	25600	1	20	1000	10	1	0	6	9576	0	0	3192	0	3192	0	0	0	0	0	0	0	0	0
56	5	5	26418	60000	10	800	10	10	25600	1	20	1000	10	1	0	6	9990	0	0	3330	0	3330	0	0	0	0	0	0	0	0	0
57	5	6	26936	60000	10	800	10	10	25600	1	20	1000	10	1	0	6	10404	0	0	3468	0	3468	0	0	0	0	0	0	0	0	0
58	5	7	27454	60000	10	800	10	10	25600	1	20	1000	10	1	0	6	10818	0	0	3606	0	3606	0	0	0	0	0	0	0	0	0
59	5	8	27972	60000	10	800	10	10	25600	1	20	1000	10	1	0	6	11232	0	0	3744	0	3744	0	0	0	0	0	0	0	0	0
60	5	9	28490	60000	10	800	10	10	25600	1	20	1000	10	1	7	6	11646	0	0	3882	0	3882	0	0	0	0	0	0	0	0	0
61	6	0	29970	70000	10	800	10	10	25600	1	20	1000	10	1	0	7	12060	0	0	4020	0	4020	0	0	0	0	0	0	0	0	0
62	6	1	30636	70000	10	800	10	10	25600	1	20	1000	10	1	0	7	12546	0	0	4182	0	4182	0	0	0	0	0	0	0	0	0
63	6	2	31302	70000	10	800	10	10	25600	1	20	1000	10	1	0	7	13032	0	0	4344	0	4344	0	0	0	0	0	0	0	0	0
64	6	3	31968	70000	10	800	10	10	25600	1	20	1000	10	1	0	7	13518	0	0	4506	0	4506	0	0	0	0	0	0	0	0	0
65	6	4	32634	70000	10	800	10	10	25600	1	20	1000	10	1	0	7	14004	0	0	4668	0	4668	0	0	0	0	0	0	0	0	0
66	6	5	33966	70000	10	800	10	10	25600	1	20	1000	10	1	0	7	14490	0	0	4830	0	4830	0	0	0	0	0	0	0	0	0
67	6	6	34632	70000	10	800	10	10	25600	1	20	1000	10	1	0	7	14976	0	0	4992	0	4992	0	0	0	0	0	0	0	0	0
68	6	7	35298	70000	10	800	10	10	25600	1	20	1000	10	1	0	7	15462	0	0	5154	0	5154	0	0	0	0	0	0	0	0	0
69	6	8	35964	70000	10	800	10	10	25600	1	20	1000	10	1	0	7	15948	0	0	5316	0	5316	0	0	0	0	0	0	0	0	0
70	6	9	36630	70000	10	800	10	10	25600	1	20	1000	10	1	8	7	16434	0	0	5478	0	5478	0	0	0	0	0	0	0	0	0
71	7	0	39960	80000	10	800	10	10	25600	1	20	1000	10	1	0	8	16920	0	0	5640	0	5640	0	0	0	0	0	0	0	0	0
72	7	1	40848	80000	10	800	10	10	25600	1	20	1000	10	1	0	8	17406	0	0	5802	0	5802	0	0	0	0	0	0	0	0	0
73	7	2	41736	80000	10	800	10	10	25600	1	20	1000	10	1	0	8	17982	0	0	5994	0	5994	0	0	0	0	0	0	0	0	0
74	7	3	42624	80000	10	800	10	10	25600	1	20	1000	10	1	0	8	18558	0	0	6186	0	6186	0	0	0	0	0	0	0	0	0
75	7	4	43512	80000	10	800	10	10	25600	1	20	1000	10	1	0	8	19134	0	0	6378	0	6378	0	0	0	0	0	0	0	0	0
76	7	5	45288	80000	10	800	10	10	25600	1	20	1000	10	1	0	8	19710	0	0	6570	0	6570	0	0	0	0	0	0	0	0	0
77	7	6	46176	80000	10	800	10	10	25600	1	20	1000	10	1	0	8	20286	0	0	6762	0	6762	0	0	0	0	0	0	0	0	0
78	7	7	47064	80000	10	800	10	10	25600	1	20	1000	10	1	0	8	20862	0	0	6954	0	6954	0	0	0	0	0	0	0	0	0
79	7	8	47952	80000	10	800	10	10	25600	1	20	1000	10	1	0	8	21438	0	0	7146	0	7146	0	0	0	0	0	0	0	0	0
80	7	9	48840	80000	10	800	10	10	25600	1	20	1000	10	1	9	8	22014	0	0	7338	0	7338	0	0	0	0	0	0	0	0	0
81	8	0	100000	90000	10	800	10	10	25600	1	20	1000	10	1	0	9	22590	0	0	7530	0	7530	0	0	0	0	0	0	0	0	0
82	8	1	106438	180000	10	800	10	10	25600	1	20	1000	10	1	0	9	23274	0	0	7722	0	7722	0	0	0	0	0	0	0	0	0
83	8	2	112876	180000	10	800	10	10	25600	1	20	1000	10	1	0	9	23958	0	0	7914	0	7914	0	0	0	0	0	0	0	0	0
84	8	3	119314	180000	10	800	10	10	25600	1	20	1000	10	1	0	9	24642	0	0	8106	0	8106	0	0	0	0	0	0	0	0	0
85	8	4	125752	180000	10	800	10	10	25600	1	20	1000	10	1	0	9	25326	0	0	8298	0	8298	0	0	0	0	0	0	0	0	0
86	8	5	132190	180000	10	800	10	10	25600	1	20	1000	10	1	0	9	26010	0	0	8490	0	8490	0	0	0	0	0	0	0	0	0
87	8	6	138628	180000	10	800	10	10	25600	1	20	1000	10	1	0	9	26694	0	0	8682	0	8682	0	0	0	0	0	0	0	0	0
88	8	7	145066	180000	10	800	10	10	25600	1	20	1000	10	1	0	9	27378	0	0	8874	0	8874	0	0	0	0	0	0	0	0	0
89	8	8	151504	180000	10	800	10	10	25600	1	20	1000	10	1	0	9	28062	0	0	9066	0	9066	0	0	0	0	0	0	0	0	0
90	8	9	157942	180000	10	800	10	10	25600	1	20	1000	10	1	0	9	28746	0	0	9258	0	9258	0	0	0	0	0	0	0	0	0
