mountId	mountName	mountBuffName	wingHeightDif	mountHeight	mountZHeight	mountRes	mountResChange	mountHead	mountBuff	mountActiveDes	mountUnActiveDes	moveSpeed	isFly	mountPos	timeLimit	timeLimitToForever	mountType	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
10	白羊圣骑	白羊圣骑	58	-30	0	90012	90012	zhanma11	jinjing11	活动专属	活动获得	400	1	[120,220]	0	0	1	1500	0	0	500	0	500	0	0	0	0	0	0	0	0	0
11	黄金白马	黄金白马	58	-20	0	90013	90013	zhanma12	jinjing12	活动专属	活动获得	400	1	[140,220]	0	0	1	1500	0	0	500	0	500	0	0	0	0	0	0	0	0	0
12	圣魔飞马	圣魔飞马	58		-5	90015	90015	zhanma13	jinjing13	活动专属	活动获得	400	1	[140,230]	0	0	1	2250	0	0	750	0	750	0	0	0	0	0	0	0	0	0
13	天马流星	流星	58	-20	0	90018	90001	zhanma14	jinjing14	专属坐骑	活动获得	400	1	[140,230]	0	0	2	1500	0	0	500	0	500	0	0	0	0	0	0	0	0	0
14	狮王星魂	狮王	58	-10	0	90017	90001	zhanma15	jinjing15	活动专属	活动获得	400	1	[140,230]	0	0	1	1500	0	0	500	0	500	0	0	0	0	0	0	0	0	0
15	魔蝎绝骑	魔蝎	58	-7	0	90019	90019	zhanma16	jinjing16	活动专属	首充获得	400	1	[140,230]	8	1	1	750	0	0	250	0	250	0	0	0	0	0	0	0	0	0
16	冰霜凤凰	冰霜	58	-20	20	90016	90016	zhanma17	jinjing17	跨服争霸	冠军专属	450	1	[140,185]	28	0	1	3000	0	0	1000	0	1000	0	0	0	0	0	0	0	0	0
18	烈焰年兽	烈焰	58	-40	-30	90021	90021	zhanma19	jinjing19	活动专属	活动获得	400	1	[140,195]	0	0	1	2250	0	0	750	0	750	0	0	0	0	0	0	0	0	0
19	地狱三头犬	地狱	58		0	90020	90020	zhanma18	jinjing18	组队爬塔	组队爬塔获得	450	1	[160,230]	0	0	1	1500	0	0	500	0	500	0	0	0	0	0	0	0	0	0
20	狂牛星魂	狂牛	58	-20	0	90023	90023	zhanma20	jinjing20	活动专属	活动获得	400	1	[140,220]	0	0	1	1500	0	0	800	0	800	0	0	0	0	0	0	0	0	0
21	暗黑翼龙	翼龙	58	-5	0	90022	90022	zhanma21	jinjing21	活动专属	活动获得	400	1	[140,220]	0	0	1	2400	0	0	800	0	800	0	0	0	0	0	0	0	0	0
22	雷霆飞龙	雷霆	58	-5	50	90026	90026	zhanma22	jinjing22	活动专属	活动获得	400	1	[140,220]	0	0	1	2400	0	0	800	0	800	0	0	0	0	0	0	0	0	0
23	长耳兔	祥瑞	58	10	0	90024	90024	zhanma23	jinjing23	活动专属	活动获得	400	1	[140,220]	0	0	1	2400	0	0	800	0	800	0	0	0	0	0	0	0	0	0
24	云影兽	云影	58	15	35	90025	90025	zhanma24	jinjing24	活动专属	活动获得	400	1	[140,220]	0	0	1	2400	0	0	800	0	800	0	0	0	0	0	0	0	0	0
25	白色羊驼	羊驼	58	-20	0	90027	90027	zhanma25	jinjing25	活动专属	活动获得	400	1	[140,220]	0	0	1	1500	0	0	500	0	500	0	0	0	0	0	0	0	0	0
26	死灵飞龙	死灵	58	-5	50	90028	90028	zhanma26	jinjing26	活动专属	活动获得	400	1	[140,220]	0	0	1	2400	0	0	800	0	800	0	0	0	0	0	0	0	0	0
27	绯红飞鹿	飞鹿	58	-19	0	90029	90029	zhanma27	jinjing27	活动专属	活动获得	400	1	[140,220]	0	0	1	2400	0	0	800	0	800	0	0	0	0	0	0	0	0	0
28	粉红嘟嘟	嘟嘟	58	-22	0	90030	90030	zhanma28	jinjing28	活动专属	活动获得	400	1	[140,220]	0	0	1	1500	0	0	500	0	500	0	0	0	0	0	0	0	0	0
29	狂暴羊驼	羊驼	58	-40	0	90032	90032	zhanma29	jinjing29	活动专属	活动获得	400	1	[140,220]	0	0	1	1500	0	0	500	0	500	0	0	0	0	0	0	0	0	0
30	年年有鱼	锦鲤	58	-20	0	90031	90031	zhanma30	jinjing30	活动专属	活动获得	400	1	[140,220]	0	0	1	2400	0	0	800	0	800	0	0	0	0	0	0	0	0	0
