mountId	mountGrade	nextGrade	gradeName	gradeColor	needLevel	needevolveId	needItemCoding	needItemCnt	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
25	4	5	传说	橙色	0	0	27566	600	6000	0	0	1500	0	1500	0	600	600	0	0	600	600	0	0
25	5	-1	传奇	红色	0	0	27566	0	9600	0	0	2400	0	2400	0	960	960	0	0	960	960	0	0
14	0	1	无	白色	0	0	27566	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	1	2	普通	绿色	0	0	27566	30	1200	0	0	300	0	300	0	120	120	0	0	120	120	0	0
14	2	3	精良	蓝色	0	0	27566	60	2400	0	0	600	0	600	0	240	240	0	0	240	240	0	0
14	3	4	史诗	紫色	0	0	27566	180	4200	0	0	1050	0	1050	0	420	420	0	0	420	420	0	0
14	4	5	传说	橙色	0	0	27566	600	6000	0	0	1500	0	1500	0	600	600	0	0	600	600	0	0
14	5	-1	传奇	红色	0	0	27566	0	9600	0	0	2400	0	2400	0	960	960	0	0	960	960	0	0
12	0	1	无	白色	0	0	27566	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	1	2	普通	绿色	0	0	27566	30	1200	0	0	300	0	300	0	120	120	0	0	120	120	0	0
12	2	3	精良	蓝色	0	0	27566	60	2400	0	0	600	0	600	0	240	240	0	0	240	240	0	0
12	3	4	史诗	紫色	0	0	27566	180	4200	0	0	1050	0	1050	0	420	420	0	0	420	420	0	0
12	4	5	传说	橙色	0	0	27566	600	6000	0	0	1500	0	1500	0	600	600	0	0	600	600	0	0
12	5	-1	传奇	红色	0	0	27566	0	9600	0	0	2400	0	2400	0	960	960	0	0	960	960	0	0
