source_text	target_text	need_translate
     #C(#00EE00)击败强盗头子[{0}/1]#H     击败强盗 [{1}/1]#H	     #C(#00EE00)擊敗強盜頭子[{0}/1]#H     擊敗強盜 [{1}/1]#H	0
     #C(#00EE00)击败暗射手[{0}/1]	     #C(#00EE00)擊敗暗射手[{0}/1]	0
     #C(#00EE00)击败暗射手[{0}/1]#H     击败喽啰[{1}/1]#H	     #C(#00EE00)擊敗暗射手[{0}/1]#H     擊敗嘍囉[{1}/1]#H	0
     #C(#00EE00)击败杀手[{0}/1]	     #C(#00EE00)擊敗殺手[{0}/1]	0
     #C(#00EE00)击败杀手[{0}/1]#H     击败女刺客 [{1}/1]#H	     #C(#00EE00)擊敗殺手[{0}/1]#H     擊敗女刺客 [{1}/1]#H	0
     #C(#00EE00)击败杀手[{0}/1]#H     击败女刺客[{1}/1]#H	     #C(#00EE00)擊敗殺手[{0}/1]#H     擊敗女刺客[{1}/1]#H	0
     #C(#00EE00)击败艳后[{0}/1]	     #C(#00EE00)擊敗豔後[{0}/1]	0
     #C(#00EE00)击败艳后[{0}/1]#H     击败刺客[{1}/1]#H	     #C(#00EE00)擊敗豔後[{0}/1]#H     擊敗刺客[{1}/1]#H	0
     #C(#00EE00)击败阿大[{0}/1]#H     击败阿二[{1}/1]#H     击败阿三[{2}/1]#H     击败阿末[{3}/1]#n	     #C(#00EE00)擊敗阿大[{0}/1]#H     擊敗阿二[{1}/1]#H     擊敗阿三[{2}/1]#H     擊敗阿末[{3}/1]#n	0
     #C(#EE0000)100级可接取#C(#4876FF)安然接受#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)100級可接取#C(#4876FF)安然接受#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)100级可接取#C(#4876FF)新的挑战#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)100級可接取#C(#4876FF)新的挑戰#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)100级可接取#C(#4876FF)破灭#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)100級可接取#C(#4876FF)破滅#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)100级可接取#C(#4876FF)破灭之心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)100級可接取#C(#4876FF)破滅之心#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)100级可接取#C(#4876FF)破而心生#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)100級可接取#C(#4876FF)破而心生#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)100级可接取#C(#4876FF)镜·圣辉城#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)100級可接取#C(#4876FF)鏡·聖輝城#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)105级可接取#C(#4876FF)好久不见#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)105級可接取#C(#4876FF)好久不見#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)105级可接取#C(#4876FF)怜悯的心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)105級可接取#C(#4876FF)憐憫的心#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)105级可接取#C(#4876FF)杀戮的心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)105級可接取#C(#4876FF)殺戮的心#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)105级可接取#C(#4876FF)炼心之路#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)105級可接取#C(#4876FF)煉心之路#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)105级可接取#C(#4876FF)荣誉的心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)105級可接取#C(#4876FF)榮譽的心#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)105级可接取#C(#4876FF)龙心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)105級可接取#C(#4876FF)龍心#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)10级可接取#C(#4876FF)好友指点#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)10級可接取#C(#4876FF)好友指點#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)110级可接取#C(#4876FF)圣龙之心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)110級可接取#C(#4876FF)聖龍之心#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)110级可接取#C(#4876FF)天罚之心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)110級可接取#C(#4876FF)天罰之心#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)110级可接取#C(#4876FF)最美的梦#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)110級可接取#C(#4876FF)最美的夢#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)110级可接取#C(#4876FF)梦幻的心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)110級可接取#C(#4876FF)夢幻的心#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)110级可接取#C(#4876FF)灵性的心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)110級可接取#C(#4876FF)靈性的心#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)110级可接取#C(#4876FF)霍乱七心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)110級可接取#C(#4876FF)霍亂七心#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)115级可接取#C(#4876FF)不再念想#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)115級可接取#C(#4876FF)不再念想#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)115级可接取#C(#4876FF)为梦想战#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)115級可接取#C(#4876FF)為夢想戰#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)115级可接取#C(#4876FF)勇往直前#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)115級可接取#C(#4876FF)勇往直前#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)115级可接取#C(#4876FF)漂泊#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)115級可接取#C(#4876FF)漂泊#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)115级可接取#C(#4876FF)还活着#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)115級可接取#C(#4876FF)還活著#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)115级可接取#C(#4876FF)飞舞羽翼#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)115級可接取#C(#4876FF)飛舞羽翼#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)115级可接取#C(#4876FF)龙骑的未来#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)115級可接取#C(#4876FF)龍騎的未來#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)11级可接取#C(#4876FF)再遇故人#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)11級可接取#C(#4876FF)再遇故人#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)11级可接取#C(#4876FF)升级技能#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)11級可接取#C(#4876FF)升級技能#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)120级可接取#C(#4876FF)不朽战役#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)120級可接取#C(#4876FF)不朽戰役#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)120级可接取#C(#4876FF)我要力量#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)120級可接取#C(#4876FF)我要力量#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)120级可接取#C(#4876FF)新的挑战#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)120級可接取#C(#4876FF)新的挑戰#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)120级可接取#C(#4876FF)新的篇章#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)120級可接取#C(#4876FF)新的篇章#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)120级可接取#C(#4876FF)渴望阳光#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)120級可接取#C(#4876FF)渴望陽光#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)125级可接取#C(#4876FF)休憩#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)125級可接取#C(#4876FF)休憩#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)125级可接取#C(#4876FF)战争噩梦#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)125級可接取#C(#4876FF)戰爭噩夢#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)125级可接取#C(#4876FF)梦幻旅途#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)125級可接取#C(#4876FF)夢幻旅途#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)125级可接取#C(#4876FF)踏上杀路#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)125級可接取#C(#4876FF)踏上殺路#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)125级可接取#C(#4876FF)风雪归人#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)125級可接取#C(#4876FF)風雪歸人#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)12级可接取#C(#4876FF)爱丽丝求救#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)12級可接取#C(#4876FF)愛麗絲求救#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)12级可接取#C(#4876FF)遇刺#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)12級可接取#C(#4876FF)遇刺#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)130级可接取#C(#4876FF)不再磨灭#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)130級可接取#C(#4876FF)不再磨滅#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)130级可接取#C(#4876FF)心魔又现#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)130級可接取#C(#4876FF)心魔又現#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)130级可接取#C(#4876FF)情关难渡#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)130級可接取#C(#4876FF)情關難渡#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)130级可接取#C(#4876FF)战争机器#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)130級可接取#C(#4876FF)戰爭機器#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)130级可接取#C(#4876FF)灭口#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)130級可接取#C(#4876FF)滅口#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)135级可接取#C(#4876FF)天赋#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)135級可接取#C(#4876FF)天賦#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)135级可接取#C(#4876FF)潜力无穷#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)135級可接取#C(#4876FF)潛力無窮#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)135级可接取#C(#4876FF)相信自己#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)135級可接取#C(#4876FF)相信自己#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)135级可接取#C(#4876FF)磨刀石#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)135級可接取#C(#4876FF)磨刀石#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)135级可接取#C(#4876FF)魔途#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)135級可接取#C(#4876FF)魔途#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)13级可接取#C(#4876FF)升级技能#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)13級可接取#C(#4876FF)升級技能#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)13级可接取#C(#4876FF)森林法则#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)13級可接取#C(#4876FF)森林法則#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)140级可接取#C(#4876FF)传奇#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)140級可接取#C(#4876FF)傳奇#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)140级可接取#C(#4876FF)勇敢的心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)140級可接取#C(#4876FF)勇敢的心#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)140级可接取#C(#4876FF)女神来临#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)140級可接取#C(#4876FF)女神來臨#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)140级可接取#C(#4876FF)末日天灾#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)140級可接取#C(#4876FF)末日天災#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)140级可接取#C(#4876FF)魔物降临#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)140級可接取#C(#4876FF)魔物降臨#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)145级可接取#C(#4876FF)小人行径#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)145級可接取#C(#4876FF)小人行徑#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)145级可接取#C(#4876FF)无惧之心#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)145級可接取#C(#4876FF)無懼之心#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)145级可接取#C(#4876FF)疯狂报复#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)145級可接取#C(#4876FF)瘋狂報復#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)145级可接取#C(#4876FF)自我修行#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)145級可接取#C(#4876FF)自我修行#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)145级可接取#C(#4876FF)陷害#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)145級可接取#C(#4876FF)陷害#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)14级可接取#C(#4876FF)大战圣辉护卫#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)14級可接取#C(#4876FF)大戰聖輝護衛#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)14级可接取#C(#4876FF)考验#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)14級可接取#C(#4876FF)考驗#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)150级可接取#C(#4876FF)万人抢夺#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)150級可接取#C(#4876FF)萬人搶奪#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)150级可接取#C(#4876FF)勇者无敌#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)150級可接取#C(#4876FF)勇者無敵#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)150级可接取#C(#4876FF)夺取#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)150級可接取#C(#4876FF)奪取#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)150级可接取#C(#4876FF)星球元气#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)150級可接取#C(#4876FF)星球元氣#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)150级可接取#C(#4876FF)精灵水晶#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)150級可接取#C(#4876FF)精靈水晶#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)155级可接取#C(#4876FF)争相出战#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)155級可接取#C(#4876FF)爭相出戰#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)155级可接取#C(#4876FF)战争风暴#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)155級可接取#C(#4876FF)戰爭風暴#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)155级可接取#C(#4876FF)灭绝#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)155級可接取#C(#4876FF)滅絕#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)155级可接取#C(#4876FF)真假水晶#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)155級可接取#C(#4876FF)真假水晶#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)155级可接取#C(#4876FF)绝杀#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)155級可接取#C(#4876FF)絕殺#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)155级可接取#C(#4876FF)黯然灭亡#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)155級可接取#C(#4876FF)黯然滅亡#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)15级可接取#C(#4876FF)上阵#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)15級可接取#C(#4876FF)上陣#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)15级可接取#C(#4876FF)升级英雄#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)15級可接取#C(#4876FF)升級英雄#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)15级可接取#C(#4876FF)招募#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)15級可接取#C(#4876FF)招募#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)15级可接取#C(#4876FF)机会来了#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)15級可接取#C(#4876FF)機會來了#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)15级可接取#C(#4876FF)见女魔法师#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)15級可接取#C(#4876FF)見女魔法師#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)160级可接取#C(#4876FF)亡灵力量#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)160級可接取#C(#4876FF)亡靈力量#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)160级可接取#C(#4876FF)圣域风眼#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)160級可接取#C(#4876FF)聖域風眼#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)160级可接取#C(#4876FF)无情离去#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)160級可接取#C(#4876FF)無情離去#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)160级可接取#C(#4876FF)梦在何方#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)160級可接取#C(#4876FF)夢在何方#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)160级可接取#C(#4876FF)魔物作怪#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)160級可接取#C(#4876FF)魔物作怪#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)165级可接取#C(#4876FF)争夺力量#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)165級可接取#C(#4876FF)爭奪力量#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)165级可接取#C(#4876FF)圣域震动#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)165級可接取#C(#4876FF)聖域震動#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)165级可接取#C(#4876FF)大战之后#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)165級可接取#C(#4876FF)大戰之後#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)165级可接取#C(#4876FF)夺取#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)165級可接取#C(#4876FF)奪取#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)165级可接取#C(#4876FF)风的力量#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)165級可接取#C(#4876FF)風的力量#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)16级可接取#C(#4876FF)不是一个人#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)16級可接取#C(#4876FF)不是一個人#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)16级可接取#C(#4876FF)掠夺者#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)16級可接取#C(#4876FF)掠奪者#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)170级可接取#C(#4876FF)临时起意#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)170級可接取#C(#4876FF)臨時起意#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)170级可接取#C(#4876FF)大爱无疆#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)170級可接取#C(#4876FF)大愛無疆#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
     #C(#EE0000)170级可接取#C(#4876FF)整装待发#H#n     #C(#EE0000)挑战恶魔深渊获得经验#n	     #C(#EE0000)170級可接取#C(#4876FF)整裝待發#H#n     #C(#EE0000)挑戰惡魔深淵獲得經驗#n	0
