module_variable_name	source_text	target_text	need_translate	
Common.Other.GlobalPrompt.AuctionFindError	您的伴侣已经超过15天未登录，无法前往竞拍跨服派对，请让您的伴侣登录后再前往	Your partner has been offline for 15 days. It's impossible to bid for the Cross-server Party. Please tell your partner to login first.	0	
Common.Other.GlobalPrompt.BallFameCheersTips	喝彩成功, 奖励已发送, 获得: #Z(%s,%s)	Cheered successfully. You've received: #Z(%s,%s)	0	
Common.Other.GlobalPrompt.BallFameGoalsTips	哇! 射的真准, 获得: #Z(%s,%s)	Wow! Nice shot! You received: #Z(%s,%s)	0	
Common.Other.GlobalPrompt.BindRMB_Tips	魔晶 +%s#H	Bound Balens +%s#H	0	
Common.Other.GlobalPrompt.BlessRoulette_Tips_Reward_Head	恭喜你获得#H	Congratulations! You've received #H	0	
Common.Other.GlobalPrompt.BraveHero_BuyLimit	当前时间无法购买行动力	Can't purchase attempts right now.	0	
Common.Other.GlobalPrompt.BraveHero_Content	恭喜！您在【勇者英雄坛】活动中排名第%s，达到了排名奖励标准，获得了丰厚奖励！	Congratulations! You ranked %s in the Hero Altar and received amazing rewards!	0	
Common.Other.GlobalPrompt.BraveHero_Sender	系统	System	0	
Common.Other.GlobalPrompt.BraveHero_TimeLimit	当前时间不可挑战	Can't challenge right now.	0	
Common.Other.GlobalPrompt.BraveHero_Title	【勇者英雄坛】跨服排名奖励	Cross-server Hero Altar Ranking Rewards	0	
Common.Other.GlobalPrompt.CAN_NOT_USE_MSG	该道具不可在%s阶及以上的坐骑上使用	It can't be used on mounts Lvl %s or above.	0	
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_FAILT	须事先激活过该坐骑外形	Please activate the Mount image first.	0	
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_FAILT_2	该坐骑已经是永久坐骑！	The Mount is already permanent.	0	
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_SUC	使用成功，您的坐骑#C(#ffff37)%s#n变为永久性坐骑	Successfully used! Your Mount #C(#ffff37)%s#n has become permanent.	0	
Common.Other.GlobalPrompt.CHANGE_NAME_SUC_MSG	龙骑士#C(#E87D22)%s#n使用角色改名卡将名字改为#C(#E87D22)%s#n,闻名天下。	#C(#E87D22)%s#n used Rename Card and changed his name to #C(#E87D22)%s#n.	0	
Common.Other.GlobalPrompt.CHANGE_NAME_SUC_MSG2	龙骑士#C(#E87D22)%s#n合服后将名字改为#C(#E87D22)%s#n。	Legend Knight #C(#E87D22)%s#n will become #C(#E87D22)%s#n after the server merger.	0	
Common.Other.GlobalPrompt.COUPLES_ADDCD_MSG	立即增加%s秒行动CD	Adds %s seconds CD.	0	
Common.Other.GlobalPrompt.COUPLES_ADDPASS_MSG	立即增加%s秒总通关时间	Adds %s seconds to time for clearing the dungeon.	0	
Common.Other.GlobalPrompt.COUPLES_ADD_BUFF	成功获得Buff	BUFF received.	0	
Common.Other.GlobalPrompt.COUPLES_DELCD_MSG	立即减少%s秒行动CD	Reduces %s seconds CD.	0	
Common.Other.GlobalPrompt.COUPLES_DELPASS_MSG	立即减少%s秒总通关时间	Reduces %s seconds to time for clearing the dungeon.	0	
Common.Other.GlobalPrompt.COUPLES_FB_FAILED	本次通关已结束，您的挑战失败！	You lose!	0	
Common.Other.GlobalPrompt.COUPLES_INVETE_MSG2	您的爱人奖励还未领取，快提醒他领取通关奖励吧	Your partner hasn't claimed the rewards. Remind them!	0	
Common.Other.GlobalPrompt.COUPLES_INVITE_MSG	您的爱人不在，一个人也可以去闯关哟	Your partner is offline. You can challenge alone.	0	
Common.Other.GlobalPrompt.COUPLES_INVITE_SUC	邀请成功，恋人正在换衣服，稍等下哟	Your partner has been invited, but they’re changing clothes. Please wait.	0	
Common.Other.GlobalPrompt.COUPLES_LEVEL_MSG	您或您的恋人等级达不到该副本的等级，你可以挑选等级低点的哟	You or your partner are not qualified to challenge this Dungeon. Please choose a lower level dungeon.	0	
Common.Other.GlobalPrompt.COUPLES_NO_BUY_TIMES	今日已没有剩余的购买次数了	You can’t buy more time today.	0	
Common.Other.GlobalPrompt.COUPLES_NO_TIMES	您或您的爱人已经没有闯关次数了！	You or your partner have no more challenges.	0	
Common.Other.GlobalPrompt.CTT_APPLY_PLAYER	该玩家已经加入其他队伍或不在神界	The player has joined another team or isn’t in the Divine World now.	0	
Common.Other.GlobalPrompt.CTT_APPLY_SUC	请求成功，请耐心等待！	You’ve invited the player. Please wait for their reply.	0	
Common.Other.GlobalPrompt.CTT_CROSS_END_MSG	#C(#E87D22)【神界】神界入口已关闭，请尽快离开神界，神界将会在#C(#FFFF00)23:59#n分将全部玩家驱逐出神界地图.	#C(#E87D22)[Divine World] The entrance of the Divine World has been closed. You have to leave as soon as possible. All the players will be kicked out of the Divine World at #C(#FFFF00)23:59#n.	0	
Common.Other.GlobalPrompt.CTT_CROSS_END_MSG2	#C(#E87D22)【神界】神界入口已关闭，请尽快离开神界，神界将会在#C(#FFFF00)30#n分后将全部玩家驱逐出神界地图。	#C(#E87D22)[Divine World] The entrance of the Divine World has been closed.You have to leave as soon as possible. All the players will be kicked out of the Divine World in #C(#FFFF00)30#n minutes.	0	
Common.Other.GlobalPrompt.CTT_CROSS_END_MSG3	#C(#E87D22)【神界】神界入口已关闭，请尽快离开神界，神界将会在#C(#FFFF00)10#n分后将全部玩家驱逐出神界地图。	#C(#E87D22)[Divine World] The entrance of the Divine World has been closed. You have to leave as soon as possible. All the players will be kicked out of the Divine World in #C(#FFFF00)10#n minutes.	0	
Common.Other.GlobalPrompt.CTT_CROSS_END_MSG4	#C(#E87D22)【神界】神界入口已关闭，请尽快离开神界，神界将会在#C(#FFFF00)1#n分后将全部玩家驱逐出神界地图。	#C(#E87D22)[Divine World] The entrance of the Divine World has been closed. You have to leave as soon as possible. All the players will be kicked out of the Divine World in #C(#FFFF00)1#n minute.	0	
Common.Other.GlobalPrompt.CTT_END_MSG	#C(#E87D22)【神界】神界入口已关闭，请诸位勇士明日再战！#n	#C(#E87D22)[Divine World] The entrance of the Divine World has been closed. Try again tomorrow!	0	
Common.Other.GlobalPrompt.CTT_LIMIT_LEVEL	160级才可参与该玩法！	Only Lvl 160 or higher players can take part in the event.	0	
Common.Other.GlobalPrompt.CTT_MAIL_CONTENT	亲爱的玩家：#H您在【虚空幻境】玩法中排名第#C(#00EE00)%s#n，达到了排名奖励标准，获得了丰厚奖励！前十名的玩家将会额外获得对应的炫酷称号奖励哟！	Dear player, #H You reached the position #C(#00EE00)%s#n in [The Void] and received some awesome rewards! Top 10 players will even receive a cool Title!	0	
Common.Other.GlobalPrompt.CTT_MAIL_SENDER	系统	System	0	
Common.Other.GlobalPrompt.CTT_MAIL_TITLE	【虚空幻境】排行榜周结算奖励	[The Void] Weekly Ranking Rewards	0	
Common.Other.GlobalPrompt.CTT_MIRROR_CLOSED	虚空幻境已关闭，请明日再来！	The Void is over. Try again tomorrow!	0	
Common.Other.GlobalPrompt.CTT_POINT_Tips	幻境点+%s#H	Void Points + %s#H	0	
Common.Other.GlobalPrompt.CTT_SCENE_IS_FULL	当前神界人数已满，您可以排队等候！	Divine World’s players limit has been reached! Try another time!	0	
Common.Other.GlobalPrompt.CTT_START_MSG	#C(#E87D22)【神界】神界入口已开启，诸位勇士战个痛快！#n	#C(#E87D22)[Divine World] Divine World has been unlocked. Are you ready to fight? Hurry up! #n	0	
Common.Other.GlobalPrompt.CTT_STATUE_DATA	虚空幻境第%s名-%s	The Void No. %s - No. %s	0	
Common.Other.GlobalPrompt.CTT_STATUE_NO_DATA	虚空幻境第%s名	The Void No. %s	0	
Common.Other.GlobalPrompt.CTT_WorldCall_Tips	#C(#E87D22)【虚空幻境】#C(#FFFF00)%s#n队伍向全世界发出召唤，他们尚缺#C(#FFFF00)%s#n人，等待您的加入！#C(#00ff00)#U#T(#K(YQZD,%s,立即加入,))	#C(#E87D22)[The Void] #C(#FFFF00)%s#n has sent out invitations to the whole world, they need #C(#FFFF00)%s#n people. Please join!#C(#00ff00)#U#T(#K(YQZD,%s,Join Now,))	0	
Common.Other.GlobalPrompt.CanFinalsContent	恭喜您在问答比赛的初赛中表现优异，获得参加决赛的资格，请于本周日14:00-16:00期间准时参加并完成决赛答题。	Congratulations! Your performance in the Q&A Contest’s preliminary has been excellent and you’re qualified for the Finals. Join the Finals this Sunday from 14:00 to 16:00.	0	
Common.Other.GlobalPrompt.CanFinalsTitle	问答比赛决赛参加资格	Qualification for the Q&A Contest’s Finals	0	
Common.Other.GlobalPrompt.Can_not_resolve	该宝石等级不足，不能分解	The Gem’s level is to low to be recycled!	0	
Common.Other.GlobalPrompt.CardHalfYear	半年卡	6 Month Covenant	0	
Common.Other.GlobalPrompt.CardMonth	月卡	One-Month Covenant	0	
Common.Other.GlobalPrompt.CardReviveMail_Sender	系统	System	0	
Common.Other.GlobalPrompt.CardReviveMail_Title	您收到赠送卡片	You've received Gift Cards.	0	
Common.Other.GlobalPrompt.CardWeek	周卡	One-Week Covenant	0	
Common.Other.GlobalPrompt.Card_Award	魔晶 + %s	Bound Balens +%s	0	
Common.Other.GlobalPrompt.Card_Give	赠送成功	Sent.	0	
Common.Other.GlobalPrompt.Card_GoldBuff_Tips	您是半年卡玩家, 您获得了额外10%的金币加成#H	You have a 6 Month Covenant, you get a 10% Gold Boost #H	0	
Common.Other.GlobalPrompt.Card_Revive	你收到来自#C(#00EE00)%s#n赠送的尊贵#C(#00EE00)%s	You've received a #C(#00EE00)%s from #C(#00EE00)%s#n	0	
Common.Other.GlobalPrompt.CarnivalOfTopup_Award_GlobalMsg_1	#C(#00FF00)%s#n幸运之极，在#C(#00FF00)狂欢充值#n礼盒中开出了	#C(#00FF00)%s#n You unlocked #C(#00FF00) Recharge#n Chest, you received	0	
Common.Other.GlobalPrompt.CarnivalOfTopup_Award_GlobalMsg_2	，真是让人羡慕嫉妒啊！	. That was lucky!	0	
Common.Other.GlobalPrompt.CarnivalOfTopup_Awrad_Msg	您的人品太好了，获得：#H	You are lucky to get: #H	0	
Common.Other.GlobalPrompt.ChangeCardUseLimit	最多同时使用5张变身卡	You can use 5 cards max. at the same time.	0	
Common.Other.GlobalPrompt.ChangeRoleGender_Tips1	有家室的人无法进行变性操作	You can’t change your gender after marrying.	0	
Common.Other.GlobalPrompt.ChristmasFashionShowMail_Content	你收到来自#C(#00EE00)%s#n赠送的#Z(%s,%s)	You've received #C(#00EE00)%s#n's gift: #Z(%s,%s)	0	
Common.Other.GlobalPrompt.ChristmasFashionShowMail_Sender	系统	System	0	
Common.Other.GlobalPrompt.ChristmasFashionShowMail_Title	您收到赠送	Gifts	0	
Common.Other.GlobalPrompt.ChristmasFashionShow_DonateTips_Head	赠送成功，获得返利：#H	You sent a gift! You received Bonus: #H	0	
Common.Other.GlobalPrompt.ChristmasFashionShow_Tips_Head	购买成功，获得：#H	Successfully bought! You received: #H	0	
Common.Other.GlobalPrompt.ChristmasFashionShow_Tips_NotLocalServer	非本服好友，不能赠送	You cannot send Gifts to cross-server friends.	0	
Common.Other.GlobalPrompt.ChristmasHaoReward_Content	由于您的背包已满, 系统已将【圣诞嘉年华-有钱就是任性】充值奖励暂时保存于邮件附件中。请尽快整理您的背包，预留足够的背包格子，并且在7天内提取附件中的物品。	Your Bag is full. Your recharge rewards from [May Gala - Consumption Ranking] have been sent to your mail. Please sort out your Bag within the next 7 days.	0	
Common.Other.GlobalPrompt.ChristmasHaoReward_Sender	系统	System	0	
Common.Other.GlobalPrompt.ChristmasHaoReward_Title	【圣诞嘉年华】跨服积分排名奖励	[May Gala] Cross-server Ranking Rewards	0	
Common.Other.GlobalPrompt.ChristmasHao_Content	恭喜！您在#C(#E87D22)【圣诞嘉年华-有钱就是任性】#n活动中跨服排名第%s，达到了排名奖励标准，获得了丰厚奖励！	Congratulations! You ranked No. %s in the #C(#E87D22) [May Gala- Consumption Rankings] #n events and received Rewards.	0	
Common.Other.GlobalPrompt.ChristmasHao_Sender	系统	System	0	
Common.Other.GlobalPrompt.ChristmasHao_Title	【圣诞嘉年华】跨服积分排名奖励	[May Gala] Cross-server Ranking Rewards	0	
Common.Other.GlobalPrompt.ChristmasMountLottery_Precious_Msg	#C(#00FF00)%s#n在圣诞坐骑转转乐活动中抽奖获得：#Z(%s,%s)的奖励,真是羡慕妒忌恨啊!	#C(#00FF00)%s#n has received #Z(%s,%s) in the May Mount Rush. Amazing!	0	
Common.Other.GlobalPrompt.ChristmasMountLottery_Tips_Head	抽奖成功，获得：#H	You received: #H	0	
Common.Other.GlobalPrompt.ChristmasWingLottery_Precious_Msg	#C(#00FF00)%s#n在圣诞羽翼转转乐活动中抽奖获得：#Z(%s,%s)的奖励,真是羡慕妒忌恨啊!	#C(#00FF00)%s#n has recieved #Z(%s,%s) in the May Wings Rush. Amazing!	0	
Common.Other.GlobalPrompt.ChristmasWingLottery_Tips_Head	抽奖成功，获得：#H	You received: #H	0	
Common.Other.GlobalPrompt.ChristmasWishTree_Tips_Head	购买成功，获得：#H	Successfully bought! You received: #H	0	
Common.Other.GlobalPrompt.Christmas_Tips_ConsumeEXp	恭喜获得%s圣诞活动积分	Congratulations! You received %s May event points.	0	
Common.Other.GlobalPrompt.ClashOfTitansBeKilledTips	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n成功终结了#C(#FFFF00)%s#n的%s连杀！地图坐标#C(#00ff00)#U#A(#K(MoveXY,%s,%s))(%s,%s)#n#n#n处出现了“#C(#0066CC)%s的英魂#n”，拾取后可获得%s的属性。	#C(#EE7600)[War of the Gods]#n#C(#FFFF00)%s#n has ended %s’s Kill Streak of #C(#FFFF00)%s#n! The map #C(#00ff00)#U#A(#K(MoveXY,%s,%s))(%s,%s)#n#n#n, has #C(#0066CC)%s#n’s Spirit. Go collect it and get the Stats of %s.	0	
Common.Other.GlobalPrompt.ClashOfTitansCanNotReborn	你的复活次数已经用完，请等待下次活动开启	You've used all your revival chances. Try again next time.	0	
Common.Other.GlobalPrompt.ClashOfTitansDeadoutTips	本次诸神之战您的个人积分为#C(#ffff37)%s#n，奖励将在活动结束后发放 	War of the Gods Personal Points: #C(#ffff37)%s#n. Rewards will be sent when the event is over. 	0	
Common.Other.GlobalPrompt.ClashOfTitansEnd	本次活动已结束 	The event is over. 	0	
Common.Other.GlobalPrompt.ClashOfTitansEndWithOutTitan	#C(#EE7600)【诸神之战】#n活动已结束，仍有#C(#ffff37)%s#n位战神存活，下一次他们能分出胜负吗？	[War of the Gods] has finished. There were %s "Gods" left. Who will be the winner next time?	0	
Common.Other.GlobalPrompt.ClashOfTitansEntryClose	活动入口已关闭，下次活动请及时参与以免错过	The entrance to the event has closed. Don’t miss it next time!	0	
Common.Other.GlobalPrompt.ClashOfTitansFiveMiniutesReady	#C(#EE7600)【诸神之战】#n活动已开启，#C(#ffff37)5#n分钟后活动入口将关闭，请各位骑士及时进入	[War of the Gods] has begun. The entrance of the event will be closed in 5 minutes. You can start fighting when the entrance closes.	0	
Common.Other.GlobalPrompt.ClashOfTitansKillTips1	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n气势如虹，完成%s连杀。	#C(#EE7600)[War of the Gods]#n#C(#FFFF00)%s#n has a %s Kill Streak. Unstoppable!	0	
Common.Other.GlobalPrompt.ClashOfTitansKillTips2	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n完成了%s连杀，已经势不可挡了。	#C(#EE7600)[War of the Gods]#n#C(#FFFF00)%s#n has a %s Kill Streak. Amazing!	0	
Common.Other.GlobalPrompt.ClashOfTitansKillTips3	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n正在大杀特杀，达成%s连杀。	#C(#EE7600)[War of the Gods]#n#C(#FFFF00)%s#n has a %s Kill Streak. Unbelieveable!	0	
Common.Other.GlobalPrompt.ClashOfTitansKillTips4	#C(#E87D22)【诸神之战】#n#C(#00FF00)%s#n连杀！#C(#FFFF00)%s：“还有谁？还有谁！ ”#n	#C(#E87D22)[War of the Gods]#n#C(#00FF00)%s#n has a %s Kill Streak. Wow!	0	
Common.Other.GlobalPrompt.ClashOfTitansNotInScene	该角色目前不在场景中 	The player is not there. 	0	
Common.Other.GlobalPrompt.ClashOfTitansOneMiniutesReady	#C(#EE7600)【诸神之战】#n活动已开启，#C(#ffff37)1#n分钟后活动入口将关闭，请各位骑士及时进入。	[War of the Gods] has started. The entrance will be closed in 1 minute.	0	
Common.Other.GlobalPrompt.ClashOfTitansPerMinuteScore	您获得了系统发放的积分#C(#00FF00)+%s#n	Received Points #C(#00FF00) +%s (from the system)#n	0	
Common.Other.GlobalPrompt.ClashOfTitansPickUpSoulGlobal	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n拾取了”#C(#0066CC)%s的英魂#n”，战斗力发生了翻天覆地的变化！	#C(#EE7600)[War of the Gods]#n#C(#FFFF00)%s#n has collected the Spirit #n of "#C(#0066CC)%s". Battle Rating has increased!	0	
Common.Other.GlobalPrompt.ClashOfTitansPickUpSoulSelf	你拾取了%s的英魂，获得附体效果，下一场战斗属性将临时变为%s的属性。	You have picked up %s's Spirit and received a Buff. You will receive %s Stat Boost for your next battle.	0	
Common.Other.GlobalPrompt.ClashOfTitansRoleDieWithoutFighting	由于你在60秒内没有进行战斗，复活次数-1	You haven't fought within 60 seconds, so your revival chances have been reduced by 1.	0	
Common.Other.GlobalPrompt.ClashOfTitansRoleInProtected	该角色正处于保护时间内！	Player under protection!	0	
Common.Other.GlobalPrompt.ClashOfTitansSoulNpcName	%s的英魂	%s's Soul	0	
Common.Other.GlobalPrompt.ClashOfTitansStart	#C(#EE7600)【诸神之战】#n活动正式开启，这次谁又能战到最后成为新的王者？让我们拭目以待！	[War of the Gods] has begun! Who will rise victorious?	0	
Common.Other.GlobalPrompt.ClashOfTitansTimeOutTip	您由于战斗超时，复活次数-1。点击跳过战斗可避免战斗超时。	Battle time exceeded! Your revival chances has been reduced by 1. Click the Skip Battle icon to avoid time-out.	0	
Common.Other.GlobalPrompt.ClashOfTitansTitanStandOut	#C(#EE7600)【诸神之战】#n战神诞生，#C(#FFFF00)%s#n击败全部对手战到最后，下一次荣耀又将归属于谁？	#C(#EE7600) A new warlord has appeared in [War of the Gods]. #C(#FFFF00)%s#n has defeated all the rivals and won the battle. Now who will be the next warlord?	0	
Common.Other.GlobalPrompt.CollectLongyin_Add	龙印+%s	Dragon Seal +%s	0	
Common.Other.GlobalPrompt.CollectLongyin_MailContent	由于您的背包已满, 签到奖励通过邮件发放	You Bag is full. Your Check-in rewards have been sent to your mail.	0	
Common.Other.GlobalPrompt.CollectLongyin_MailSender	系统	System	0	
Common.Other.GlobalPrompt.CollectLongyin_MailTitle	每日集龙印	Dragon Seal Collection	0	
Common.Other.GlobalPrompt.Content	你获得了新的物品，由于你当时的背包已满，系统已将物品暂时保存于邮件附件中。请尽快整理您的背包，预留足够的背包格子，并且在7天内提取附件中的物品。	You received items, but your bag is full. They have been sent to your mail, please clear your bag withing 7 days and claim them before they expire.	0	
Common.Other.GlobalPrompt.CouplesFashion_DonateTips_Head	赠送成功，获得返利：#H	You sent a gift! You received Bonus: #H	0	
Common.Other.GlobalPrompt.CouplesFashion_Mail_Content	你收到来自#C(#00EE00)%s#n赠送的#Z(%s,%s)	You've received #C(#00EE00)%s#n's gift: #Z(%s,%s)	0	
Common.Other.GlobalPrompt.CouplesFashion_Mail_Sender	系统	System	0	
Common.Other.GlobalPrompt.CouplesFashion_Mail_Title	您收到赠送	Gifts	0	
Common.Other.GlobalPrompt.CouplesFashion_Tips_Head	购买成功，获得：#H	Successfully bought! You received: #H	0	
Common.Other.GlobalPrompt.CouplesFashion_Tips_NotLocalServer	非本服好友，不能赠送	You cannot send Gifts to cross-server friends.	0	
Common.Other.GlobalPrompt.CouplesGoal_Tips_Addinmi	使用成功，获得亲密值 + %s	Successfully used! Intimacy + %s	0	
Common.Other.GlobalPrompt.CouplesGoal_Tips_Head	成功领取目标奖励，获得：#H	Successfully claimed! You receive: #H	0	
Common.Other.GlobalPrompt.CrazyShoppingCD	抢购正在冷却中	Sales are in Cooldown.	0	
Common.Other.GlobalPrompt.CrazyShoppingGetReady1	#C(#FF0000)【疯狂抢购乐】#n本日的疯狂抢购将在#C(#00FF00)10分钟#n后开始，马上去参与抢购吧。	#C(#FF0000)【Sales】#n Today's Sales will begin in#C(#00FF00) ten minutes.#n Go shopping!	0	
Common.Other.GlobalPrompt.CrazyShoppingGetReady2	#C(#FF0000)【疯狂抢购乐】#n本日的疯狂抢购将在#C(#00FF00)5分钟#n后开始，马上去参与抢购吧。	#C(#FF0000)【Sales】#n Today's Sales will begin in#C(#00FF00) five minutes.#n Go shopping!	0	
Common.Other.GlobalPrompt.CrazyShoppingGetReady3	#C(#FF0000)【疯狂抢购乐】#n本日的疯狂抢购将在#C(#00FF00)1分钟#n后开始，马上去参与抢购吧。	#C(#FF0000)【Sales】#n Today's Sales will begin in#C(#00FF00) one minute.#n Go shopping!	0	
Common.Other.GlobalPrompt.CrazyShoppingGlobalTell	#C(#FF0000)【疯狂抢购乐】#n#C(#00FF00)%s#n以迅雷不及掩耳之的速度抢到了#Z(%s,%s)，真是羡煞旁人啊!	#C(#FF0000)【Sales】#n#C(#00FF00)%s#n has bought a #Z(%s,%s). How lucky!	0	
Common.Other.GlobalPrompt.CuiLian_Tips_1	使用成功，获属性加成：生命+%s 物攻+%s 物防+%s 法防+%s 暴击+%s 免爆+%s 格挡+%s 破挡+%s	Successfully used! You received the following Stats boost: HP + %s, PATK + %s, PDEF + %s, MDEF + %s, Crit + %s, Anti-crit + %s, Block + %s and Break-block + %s.	0	
Common.Other.GlobalPrompt.CuiLian_Tips_2	使用成功，获属性加成：生命+%s 物攻 +%s 法攻 +%s 物防+%s 法防+%s 暴击+%s 免爆+%s 格挡+%s 破挡+%s	Successfully used! You received the following Stats boost: HP + %s, PATK + %s, MATK + %s, PDEF + %s, MDEF + %s, Crit + %s, Anti-crit + %s, Block + %s and Break-block + %s.	0	
Common.Other.GlobalPrompt.CutTurkeyFail	切火鸡失败，获得参与奖励：#Z(%s,%s)	no need to translate	0	
Common.Other.GlobalPrompt.CutTurkeySuccess	感恩节快乐，获得：#Z(%s,%s)	no need to translate	0	
Common.Other.GlobalPrompt.DAY_FP_REWARD_HEARSAY	#C(#ffff37)%s#n成功完成了#C(#00EE00)五日首充#n活动，领取了丰富的奖励物品。	#C(#ffff37)%s#n completed the Daily Recharge event and received amazing rewards.	0	
Common.Other.GlobalPrompt.DD_END_HEARSAY	#C(#EE7600)【魔兽入侵】#n活动已经结束，经过勇士们的浴血奋战，圣辉城成功的抵挡住了魔兽的入侵	#C(#EE7600)【Invaders!】#n has finished. Our warriors successfully held back the invading forces.	0	
Common.Other.GlobalPrompt.DD_HAS_GET_REWARD_PROMPT	您今天已经参与过1次魔兽入侵，每天只能参与1次。	You already entered “Invaders!” once and have no more attempts today.	0	
Common.Other.GlobalPrompt.DD_RANK_FIRST_HEARSAY	#C(#EE7600)【魔兽入侵】#n当前伤害排名#C(#ffff37)第1#n：#C(#00EE00)%s#n, 公会：#C(#00EE00)%s#n。活动结束后与#C(#ffff37)第1名#n相同公会的玩家将会获得丰厚奖励	#C(#EE7600)【Invaders!】#n Damage Dealt by No 1 Player: #C(#00EE00)%s#n from the Guild: #C(#00EE00)%s#n. All #C(#ffff37)#n guild members will receive amazing rewards at the end of the event.	0	
Common.Other.GlobalPrompt.DD_RANK_FIRST_NO_UNION_HEARSAY	#C(#EE7600)【魔兽入侵】#n当前伤害排名#C(#ffff37)第1#n：#C(#00EE00)%s#n, 公会：#C(#00EE00)无#n。	#C(#EE7600)【Invaders!】#n Damage Dealt by No 1 Player: #C(#00EE00)%s#n, Guild: #C(#00EE00)N/A#n.	0	
Common.Other.GlobalPrompt.DD_RANK_SECOND_HEARSAY	#C(#EE7600)【魔兽入侵】#n当前伤害排名#C(#ffff37)第2#n：#C(#00EE00)%s#n, 公会：#C(#00EE00)%s#n。活动结束后与#C(#ffff37)第2名#n相同公会的玩家将会获得丰厚奖励	#C(#EE7600)【Invaders!】#n Damage Dealt by No 2 Player: #C(#00EE00)%s#n of the Guild: #C(#00EE00)%s#n. All #C(#ffff37)#n guild members will receive amazing rewards at the end of the event.	0	
Common.Other.GlobalPrompt.DD_RANK_SECOND_NO_UNION_HEARSAY	#C(#EE7600)【魔兽入侵】#n当前伤害排名#C(#ffff37)第2#n：#C(#00EE00)%s#n, 公会：#C(#00EE00)无#n。	#C(#EE7600)【Invaders!】#n Damage Dealt by No 2 Player: #C(#00EE00)%s#n of the Guild: #C(#00EE00)N/A#n.	0	
Common.Other.GlobalPrompt.DD_RANK_THIRD_HEARSAY	#C(#EE7600)【魔兽入侵】#n当前伤害排名#C(#ffff37)第3#n：#C(#00EE00)%s#n, 公会：#C(#00EE00)%s#n。活动结束后与#C(#ffff37)第3名#n相同公会的玩家将会获得丰厚奖励	#C(#EE7600)【Invaders!】#n Damage Dealt by No 3 Player: #C(#00EE00)%s#n of the Guild: #C(#00EE00)%s#n. All #C(#ffff37)#n guild members will receive amazing rewards at the end of the event.	0	
