module_variable_name	source_text	target_text	need_translate
Common.Other.GlobalPrompt.ArtifactCuiLianHole2	, 光环等级提升至  %s 级	, poziom Aury wzrósł do %s!	0
Common.Other.GlobalPrompt.AsteroidFields_Tips_OneKeyAward	一键挑战获得：#H	Walcz szybko, by zdobyćL #H	0
Common.Other.GlobalPrompt.AuctionFindError	您的伴侣已经超过15天未登录，无法前往竞拍跨服派对，请让您的伴侣登录后再前往	Twój partner nie zalogował się do gry od 15 dni. Jeśli chcesz wziąć udział w przyjęciu cross-server, musisz poczekać aż on/ona będzie online.	0
Common.Other.GlobalPrompt.BallFameCheersTips	喝彩成功, 奖励已发送, 获得: #Z(%s,%s)	Wysłano nagrody. Zdobyłeś: #Z(%s,%s)	0
Common.Other.GlobalPrompt.BallFameGoalsTips	哇! 射的真准, 获得: #Z(%s,%s)	Otrzymałeś: #Z(%s,%s)	0
Common.Other.GlobalPrompt.BindRMB_Tips	魔晶 +%s#H	Zablok.Diamenty +%s#H	0
Common.Other.GlobalPrompt.BlessRoulette_Tips_Reward_Head	恭喜你获得#H	Gratulacje, zdobyto #H	0
Common.Other.GlobalPrompt.BraveHero_BuyLimit	当前时间无法购买行动力	Nie możesz dokupić teraz przydziałów.	0
Common.Other.GlobalPrompt.BraveHero_Content	恭喜！您在【勇者英雄坛】活动中排名第%s，达到了排名奖励标准，获得了丰厚奖励！	Gratulacje! Twoja pozycja w Ołtarzu Bohaterów to %s, zdobyłeś wielkie nagrody!	0
Common.Other.GlobalPrompt.BraveHero_Sender	系统	System	0
Common.Other.GlobalPrompt.BraveHero_TimeLimit	当前时间不可挑战	Nie możesz teraz walczyć.	0
Common.Other.GlobalPrompt.BraveHero_Title	【勇者英雄坛】跨服排名奖励	Nagrody w rankingu w evencie cross-server Ołtarz Bohaterów	0
Common.Other.GlobalPrompt.CAN_NOT_USE_MSG	该道具不可在%s阶及以上的坐骑上使用	Nie możesz użyć tego przedmiotu dla wierzchowca na lvl %s lub wyżej.	0
Common.Other.GlobalPrompt.CD_RankReward_Tips	#C(#00EE00)%s#n领取了混沌神域排行榜第%s名的奖励，感谢#C(#00EE00)%s、%s、%s#n做出的贡献。	#C(#00EE00)%s#n odebrał nagrodę rankingu Chaosu, nr %s. Dziękuje za pomoc #C(#00EE00)%s, %s i %s#n.	0
Common.Other.GlobalPrompt.CD_TeamCanNotJoin_Tips	您未通关前置章节，无法加入队伍!	Nie zaliczyłeś poprzedniego etapu! Nie możesz wejść do drużyny.	0
Common.Other.GlobalPrompt.CD_WorldCall_Tips_1	#C(#E87D22)【混沌神域-第一章·巨龙山谷】#C(#FFFF00)%s#n队伍向全世界发出召唤，他们尚缺#C(#FFFF00)%s#n人，等待您的加入！#C(#00ff00)#U#T(#K(YQZD,%s,立即加入,))	#C(#E87D22)[Miejsce Chaosu Etap 1 - Dolina Smoka]#C(#FFFF00)%s#n wysłali zaproszenie do świata. Potrzebują wojowników: #C(#FFFF00)%s#n. Walcz razem z nimi! #C(#00ff00)#U#T(#K(YQZD,%s,Dołącz teraz,))	0
Common.Other.GlobalPrompt.CD_WorldCall_Tips_2	#C(#E87D22)【混沌神域-第二章·精灵神殿】#C(#FFFF00)%s#n队伍向全世界发出召唤，他们尚缺#C(#FFFF00)%s#n人，等待您的加入！#C(#00ff00)#U#T(#K(YQZD,%s,立即加入,))	#C(#E87D22)[Miejsce Chaosu Etap 2 - Świątynia Elfów]#C(#FFFF00)%s#n wysłali zaproszenie do świata. Potrzebują wojowników: #C(#FFFF00)%s#n. Walcz razem z nimi! #C(#00ff00)#U#T(#K(YQZD,%s,Dołącz teraz,))	0
Common.Other.GlobalPrompt.CD_WorldCall_Tips_3	#C(#E87D22)【混沌神域-第三章·混沌之地】#C(#FFFF00)%s#n队伍向全世界发出召唤，他们尚缺#C(#FFFF00)%s#n人，等待您的加入！#C(#00ff00)#U#T(#K(YQZD,%s,立即加入,))	#C(#E87D22)[Miejsce Chaosu Etap 3 - Ziemia Chaosu]#C(#FFFF00)%s#n wysłali zaproszenie do świata. Potrzebują wojowników: #C(#FFFF00)%s#n. Walcz razem z nimi! #C(#00ff00)#U#T(#K(YQZD,%s,Dołącz teraz,))	0
Common.Other.GlobalPrompt.CD_WorldCall_Tips_4	#C(#E87D22)【混沌神域-第四章·诸神黄昏】#C(#FFFF00)%s#n队伍向全世界发出召唤，他们尚缺#C(#FFFF00)%s#n人，等待您的加入！#C(#00ff00)#U#T(#K(YQZD,%s,立即加入,))	#C(#E87D22)[Miejsce Chaosu Etap 4 - Zmierzch Bogów]#C(#FFFF00)%s#n wysłali zaproszenie do świata. Potrzebują wojowników: #C(#FFFF00)%s#n. Walcz razem z nimi! #C(#00ff00)#U#T(#K(YQZD,%s,Dołącz teraz))	0
Common.Other.GlobalPrompt.CD_WorldCall_Tips_5	#C(#E87D22)【混沌神域-第五章·审判神域】#C(#FFFF00)%s#n队伍向全世界发出召唤，他们尚缺#C(#FFFF00)%s#n人，等待您的加入！#C(#00ff00)#U#T(#K(YQZD,%s,立即加入,))	#C(#E87D22)[Miejsce Chaosu Etap 5 - Kraina Sądu]#C(#FFFF00)%s#n wysłali zaproszenie do świata. Potrzebują wojowników: #C(#FFFF00)%s#n. Walcz razem z nimi! #C(#00ff00)#U#T(#K(YQZD,%s,Dołącz teraz,))	0
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_FAILT	须事先激活过该坐骑外形	Najpierw należy aktywować wygląd wierzchowca.	0
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_FAILT_2	该坐骑已经是永久坐骑！	Ten wierzchowiec już jest bezterminowy!	0
Common.Other.GlobalPrompt.CHANGE_MOUNT_TIME_SUC	使用成功，您的坐骑#C(#ffff37)%s#n变为永久性坐骑	Pomyślnie użyto, twój wierzchowiec #C(#ffff37)%s#n stał się bezterminowy.	0
Common.Other.GlobalPrompt.CHANGE_NAME_SUC_MSG	龙骑士#C(#E87D22)%s#n使用角色改名卡将名字改为#C(#E87D22)%s#n,闻名天下。	#C(#E87D22)%s#n użył Kartę Zmiany Nazwy i zmienił imię postaci na #C(#E87D22)%s#n.	0
Common.Other.GlobalPrompt.CHANGE_NAME_SUC_MSG2	龙骑士#C(#E87D22)%s#n合服后将名字改为#C(#E87D22)%s#n。	Dragon Knight #C(#E87D22)%s#n będzie zmienione na#C(#E87D22)%s#n po złączeniu serwerów.	0
Common.Other.GlobalPrompt.COUPLES_ADDCD_MSG	立即增加%s秒行动CD	Dodaje %s sekund do odliczania.	0
Common.Other.GlobalPrompt.COUPLES_ADDPASS_MSG	立即增加%s秒总通关时间	Dodaje %s sekund do czasu, by przejść loch.	0
Common.Other.GlobalPrompt.COUPLES_ADD_BUFF	成功获得Buff	Zdobyłeś BUFF.	0
Common.Other.GlobalPrompt.COUPLES_DELCD_MSG	立即减少%s秒行动CD	Odejmuje %s sekund od odliczania.	0
Common.Other.GlobalPrompt.COUPLES_DELPASS_MSG	立即减少%s秒总通关时间	Odejmuje %s sekund na przejście lochu.	0
Common.Other.GlobalPrompt.COUPLES_FB_FAILED	本次通关已结束，您的挑战失败！	Koniec Lochu. Przegrałeś walkę!	0
Common.Other.GlobalPrompt.COUPLES_INVETE_MSG2	您的爱人奖励还未领取，快提醒他领取通关奖励吧	Twój parnter/ka nie pobrał/a nagrody.Daj jej znać!	0
Common.Other.GlobalPrompt.COUPLES_INVITE_MSG	您的爱人不在，一个人也可以去闯关哟	Twój partner/ka jest offline. Możesz walczyć sam.	0
Common.Other.GlobalPrompt.COUPLES_INVITE_SUC	邀请成功，恋人正在换衣服，稍等下哟	Zaproszono. Twój partner/ka przebiera się. Czekaj!	0
Common.Other.GlobalPrompt.COUPLES_LEVEL_MSG	您或您的恋人等级达不到该副本的等级，你可以挑选等级低点的哟	Ty lub twój partner/ka nie macie kwalifikacji, by walczyć w Lochu. Wybierz Loch dla niższego lvl.	0
Common.Other.GlobalPrompt.COUPLES_NO_BUY_TIMES	今日已没有剩余的购买次数了	Dzisiaj nie możesz już kupić.	0
Common.Other.GlobalPrompt.COUPLES_NO_TIMES	您或您的爱人已经没有闯关次数了！	Ty lub twój partner/ka nie macie przydziału na walkę w Lochu.	0
Common.Other.GlobalPrompt.CTT_APPLY_PLAYER	该玩家已经加入其他队伍或不在神界	Ten gracz jest niedostępny.	0
Common.Other.GlobalPrompt.CTT_APPLY_SUC	请求成功，请耐心等待！	Proszę zaczekać.	0
Common.Other.GlobalPrompt.CTT_CROSS_END_MSG	#C(#E87D22)【神界】神界入口已关闭，请尽快离开神界，神界将会在#C(#FFFF00)23:59#n分将全部玩家驱逐出神界地图.	[Przestrzeń Bogów] Przestrzeń Bogów jest zamknięta. Można ją opuścić. Wszyscy gracze zostaną teleportowani o 23:59.	0
Common.Other.GlobalPrompt.CTT_CROSS_END_MSG2	#C(#E87D22)【神界】神界入口已关闭，请尽快离开神界，神界将会在#C(#FFFF00)30#n分后将全部玩家驱逐出神界地图。	[Przestrzeń Bogów] Przestrzeń Bogów jest zamknięta. Można ją opuścić. Wszyscy gracze zostaną teleportowani za 30 minut.	0
Common.Other.GlobalPrompt.CTT_CROSS_END_MSG3	#C(#E87D22)【神界】神界入口已关闭，请尽快离开神界，神界将会在#C(#FFFF00)10#n分后将全部玩家驱逐出神界地图。	[Przestrzeń Bogów] Przestrzeń Bogów jest zamknięta. Można ją opuścić. Wszyscy gracze zostaną teleportowani za 10 minut.	0
Common.Other.GlobalPrompt.CTT_CROSS_END_MSG4	#C(#E87D22)【神界】神界入口已关闭，请尽快离开神界，神界将会在#C(#FFFF00)1#n分后将全部玩家驱逐出神界地图。	[Przestrzeń Bogów] Przestrzeń Bogów jest zamknięta. Można ją opuścić. Wszyscy gracze zostaną teleportowani za 1 minut.	0
Common.Other.GlobalPrompt.CTT_END_MSG	#C(#E87D22)【神界】神界入口已关闭，请诸位勇士明日再战！#n	[Przestrzeń Bogów] Przestrzeń Bogów jest zamknięta. Wróć jutro!	0
Common.Other.GlobalPrompt.CTT_LIMIT_LEVEL	160级才可参与该玩法！	Wymagany poziom 160.	0
Common.Other.GlobalPrompt.CTT_MAIL_CONTENT	亲爱的玩家：#H您在【虚空幻境】玩法中排名第#C(#00EE00)%s#n，达到了排名奖励标准，获得了丰厚奖励！前十名的玩家将会额外获得对应的炫酷称号奖励哟！	Drogi Graczu: #H Twoja pozycja w rankingu [Pusta baśniowa kraina] to #C(#00EE00)%s#n zatem otrzymasz nagrodę. Gratulacje!	0
Common.Other.GlobalPrompt.CTT_MAIL_SENDER	系统	System	0
Common.Other.GlobalPrompt.CTT_MAIL_TITLE	【虚空幻境】排行榜周结算奖励	Tygodniona nagroda: [Pusta baśniowa kraina].	0
Common.Other.GlobalPrompt.CTT_MIRROR_CLOSED	虚空幻境已关闭，请明日再来！	Kraina Fantazji została zamknięta. Wróć jutro!	0
Common.Other.GlobalPrompt.CTT_POINT_Tips	幻境点+%s#H	Punkty Fantazji +%s#H	0
Common.Other.GlobalPrompt.CTT_SCENE_IS_FULL	当前神界人数已满，您可以排队等候！	Przestrzeń Bogów jest teraz przepełniona. Proszę chwilę zaczekać.	0
Common.Other.GlobalPrompt.CTT_START_MSG	#C(#E87D22)【神界】神界入口已开启，诸位勇士战个痛快！#n	[Przestrzeń Bogów] jest otwarta. Walcz!	0
Common.Other.GlobalPrompt.CTT_STATUE_DATA	虚空幻境第%s名-%s	Kraina Fantazji nr %s-%s	0
Common.Other.GlobalPrompt.CTT_STATUE_NO_DATA	虚空幻境第%s名	Kraina Fantazji nr %s	0
Common.Other.GlobalPrompt.CTT_WorldCall_Tips	#C(#E87D22)【虚空幻境】#C(#FFFF00)%s#n队伍向全世界发出召唤，他们尚缺#C(#FFFF00)%s#n人，等待您的加入！#C(#00ff00)#U#T(#K(YQZD,%s,立即加入,))	#C(#E87D22)[Pusta baśniowa kraina]#C(#FFFF00)%s#n - trwa rekrutacja do drużyny. Potrzeba wojowników w liczbie #C(#FFFF00)%s#n.#C(#00ff00)#U#T(#K(YQZD,%s,Dołącz,))	0
Common.Other.GlobalPrompt.CanFinalsContent	恭喜您在问答比赛的初赛中表现优异，获得参加决赛的资格，请于本周日14:00-16:00期间准时参加并完成决赛答题。	Gratulacje! Możesz wziąć udział w finałach. Proszę stawić się na czas o 14:00-16:00.	0
Common.Other.GlobalPrompt.CanFinalsTitle	问答比赛决赛参加资格	Kwalifikacje do finałów.	0
Common.Other.GlobalPrompt.Can_not_resolve	该宝石等级不足，不能分解	Klejnot nie osiągnął jeszcze wymaganego poziomu.	0
Common.Other.GlobalPrompt.CannotSendHongBao	现在发红包的人太多了，请稍后再试。	W tej chwili zbyt wielu graczy wysyła paczki. Spróbuj później.	0
Common.Other.GlobalPrompt.CardAtlasAct	恭喜获得新图鉴	Odblokowałeś nowy element Wiedzy.	0
Common.Other.GlobalPrompt.CardAtlasChip	分解获得：#H卡牌碎片+%s	Otrzymałeś: #H Odłamek karty +%s.	0
Common.Other.GlobalPrompt.CardAtlasChip_Tips	卡牌碎片+%s#H	Odłamek karty +%s#H	0
Common.Other.GlobalPrompt.CardAtlasFull_Tips	卡牌图鉴卡牌背包空间不足	Nie masz dość miejsca w inwentarzu kart.	0
Common.Other.GlobalPrompt.CardAtlasGradeUp	图鉴进阶成功	Ewolucja udała się.	0
Common.Other.GlobalPrompt.CardAtlasLevelUp	图鉴强化成功	Ulepszenie udało się.	0
Common.Other.GlobalPrompt.CardHalfYear	半年卡	Półroczna karta VIP	0
Common.Other.GlobalPrompt.CardHalfYearBuy	#C(#E87D22)【月卡】#n #C(#00FF00)%s#n购买了半年卡，魔晶天天领，金币滚滚来，会当凌绝顶，一览众山小！	#C(#E87D22)[30-dniowe Porozumienie]#n #C(#00FF00)%s#n wykupił 6-miesięczne Porozumienie. Codziennie darmowe zablokowane diamenty i brak odliczania w krypcie!	0
Common.Other.GlobalPrompt.CardMonth	月卡	Duchowe porozumienie	0
Common.Other.GlobalPrompt.CardMonthBuy	#C(#E87D22)【月卡】#n #C(#00FF00)%s#n购买了月卡，魔晶不用愁，CD不用等，瞬间高富帅！	#C(#E87D22)[30-dniowe Porozumienie]#n #C(#00FF00)%s#n wykupił miesięczne Porozumienie. Codziennie darmowe zablokowane diamenty i brak odliczania w krypcie!	0
Common.Other.GlobalPrompt.CardReviveMail_Sender	系统	system	0
Common.Other.GlobalPrompt.CardReviveMail_Title	您收到赠送卡片	Otrzymałeś kartę prezentową.	0
Common.Other.GlobalPrompt.CardWeek	周卡	Jednotygodniowe Duchowe Porozumienie	0
Common.Other.GlobalPrompt.CardWeekBuy	#C(#E87D22)【月卡】#n #C(#00FF00)%s#n购买了周卡，魔晶每日领，轻松遨龙骑！	#C(#E87D22)[30-dniowe Porozumienie]#n #C(#00FF00)%s#n wykupił tygodniowe Porozumienie. Codziennie darmowe zablokowane diamenty i brak odliczania w krypcie!	0
Common.Other.GlobalPrompt.Card_Award	魔晶 + %s	Zablok.Diamenty +%s	0
Common.Other.GlobalPrompt.Card_Give	赠送成功	Wysłano.	0
Common.Other.GlobalPrompt.Card_GoldBuff_Tips	您是半年卡玩家, 您获得了额外10%的金币加成#H	Ponieważ posiadacie półroczną kartę VIP, otrzymujecie 10% wzrostu Złota #H	0
Common.Other.GlobalPrompt.Card_Revive	你收到来自#C(#00EE00)%s#n赠送的尊贵#C(#00EE00)%s	Otrzymałeś cenny #C(#00EE00)%s od#C(#00EE00)%s#n	0
Common.Other.GlobalPrompt.CarnivalOfTopup_Award_GlobalMsg_1	#C(#00FF00)%s#n幸运之极，在#C(#00FF00)狂欢充值#n礼盒中开出了	#C(#00FF00)%s#n Co za szczęście!Odblokowując #C(#00FF00) zdobyłeś #n Skrzynię	0
Common.Other.GlobalPrompt.CarnivalOfTopup_Award_GlobalMsg_2	，真是让人羡慕嫉妒啊！	Udało się!	0
Common.Other.GlobalPrompt.CarnivalOfTopup_Awrad_Msg	您的人品太好了，获得：#H	Farciarz z ciebie! Zdobyłeś: #H	0
Common.Other.GlobalPrompt.CatchingFishAwardContent	您在捕鱼达人积分排行榜排名中位于第%s名，请领取奖励。	Zajmujesz %s miejsce w rankingu połowu. Odbierz swoją nagrodę!	0
Common.Other.GlobalPrompt.CatchingFishAwardTitle	捕鱼达人积分排行榜奖励	Nagroda Rankingu Połowu	0
Common.Other.GlobalPrompt.CatchingFishItem	%s的%s在神石大转盘中获得了%s+%s。我要领奖	%s - %s otrzymał %s+%s w loterii diamentów. Też chcę nagrodę!	0
Common.Other.GlobalPrompt.CatchingFishOverTime	每天23:55-24:00为排行榜发奖时间，暂时不能捕鱼	Pomiędzy 23:55-24:00 nie możesz iść łowić.	0
Common.Other.GlobalPrompt.CatchingFishRmb	%s的%s在神石大转盘中获得了%s神石。我要领奖	%s - %s otrzymał %s diamentów w loterii diamentów. Też chcę nagrodę!	0
Common.Other.GlobalPrompt.ChangeCardUseLimit	最多同时使用5张变身卡	Można użyć najwięcej 5 kart mutacji jednorazowo	0
Common.Other.GlobalPrompt.ChangeRoleGender_Tips1	有家室的人无法进行变性操作	Jesteś po ślubie, nie możesz zmienić.	0
Common.Other.GlobalPrompt.ChristmasFashionShowMail_Content	你收到来自#C(#00EE00)%s#n赠送的#Z(%s,%s)	Zdobyłeś prezent #Z(%s,%s)wysłany przez #C(#00EE00)%s#n.	0
Common.Other.GlobalPrompt.ChristmasFashionShowMail_Sender	系统	System	0
Common.Other.GlobalPrompt.ChristmasFashionShowMail_Title	您收到赠送	Zdobyłeś prezent	0
Common.Other.GlobalPrompt.ChristmasFashionShow_DonateTips_Head	赠送成功，获得返利：#H	Wysłano przezent, twój zysk: #H	0
Common.Other.GlobalPrompt.ChristmasFashionShow_Tips_Head	购买成功，获得：#H	Prezent został kupiony, zdobyto: #H	0
Common.Other.GlobalPrompt.ChristmasFashionShow_Tips_NotLocalServer	非本服好友，不能赠送	Twój znajomy nie znajduje się na tym serwerze, nie można przekazać prezentu	0
Common.Other.GlobalPrompt.ChristmasHaoReward_Content	由于您的背包已满, 系统已将【圣诞嘉年华-有钱就是任性】充值奖励暂时保存于邮件附件中。请尽快整理您的背包，预留足够的背包格子，并且在7天内提取附件中的物品。	Ponieważ twój plecak jest pełny system wysłał prezent z [Event Świąteczny-Event Bogactwa] na twoją pocztę w grze. Zrób miejsce w plecaku i pobierz prezent z poczty w ciągu 7 dni.	0
Common.Other.GlobalPrompt.ChristmasHaoReward_Sender	系统	System	0
Common.Other.GlobalPrompt.ChristmasHaoReward_Title	【圣诞嘉年华】跨服积分排名奖励	Prezent za ranking punktów za [Event Świąteczny] corss-server	0
Common.Other.GlobalPrompt.ChristmasHao_Content	恭喜！您在#C(#E87D22)【圣诞嘉年华-有钱就是任性】#n活动中跨服排名第%s，达到了排名奖励标准，获得了丰厚奖励！	Gratulacje! #C(#E87D22) w trakcie [Event Noworoczny-Event Bogactwa] cross-server #n  zdobył %s. miejsce w rankingu, zdobądź wielkie nagrody osiągając odpowiednie miejsce w rankingu!	0
Common.Other.GlobalPrompt.ChristmasHao_Sender	系统	System	0
Common.Other.GlobalPrompt.ChristmasHao_Title	【圣诞嘉年华】跨服积分排名奖励	Prezent za ranking punktów za [Event Świąteczny] cross-server	0
Common.Other.GlobalPrompt.ChristmasMountLottery_Precious_Msg	#C(#00FF00)%s#n在圣诞坐骑转转乐活动中抽奖获得：#Z(%s,%s)的奖励,真是羡慕妒忌恨啊!	#C(#00FF00)%s#n zdobyłeś z eventu Świąteczna loteria wierzchowca : nagrodę #Z(%s,%s) , tylko pozazdrościć!	0
Common.Other.GlobalPrompt.ChristmasMountLottery_Tips_Head	抽奖成功，获得：#H	Losowanie powiodło się, wygrałeś: #H	0
Common.Other.GlobalPrompt.ChristmasWingLottery_Precious_Msg	#C(#00FF00)%s#n在圣诞羽翼转转乐活动中抽奖获得：#Z(%s,%s)的奖励,真是羡慕妒忌恨啊!	#C(#00FF00)%s#n Wygrałeś w Świątecznej Loterii Skrzydeł nagrodę: #Z(%s,%s) , tylko pozazdrościć!	0
Common.Other.GlobalPrompt.ChristmasWingLottery_Tips_Head	抽奖成功，获得：#H	Losowanie powiodło się, wygrałeś: #H	0
Common.Other.GlobalPrompt.ChristmasWishTree_Tips_Head	购买成功，获得：#H	Kupiono prezent, zdobyto: #H	0
Common.Other.GlobalPrompt.Christmas_Tips_ConsumeEXp	恭喜获得%s圣诞活动积分	Gratulacje, zdobyłeś %s punktów w Evencie Świątecznym	0
Common.Other.GlobalPrompt.ClashOfTitansBeKilledTips	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n成功终结了#C(#FFFF00)%s#n的%s连杀！地图坐标#C(#00ff00)#U#A(#K(MoveXY,%s,%s))(%s,%s)#n#n#n处出现了“#C(#0066CC)%s的英魂#n”，拾取后可获得%s的属性。	#C(#EE7600)[Wojna Bogów]#n#C(#FFFF00)%s#n przerwano #C(#FFFF00)%s#n's %s serię zwycięstw. Miejsce: #C(#00ff00)#U#A(#K(MoveXY,%s,%s))(%s,%s)#n#n#n pojawia się dusza “#C(#0066CC)%s. #n” Zbierz by otrzymać  %s cech.	0
Common.Other.GlobalPrompt.ClashOfTitansCanNotReborn	你的复活次数已经用完，请等待下次活动开启	Skończyła się Twoja pula żyć. Poczekaj na następny event.	0
Common.Other.GlobalPrompt.ClashOfTitansDeadoutTips	本次诸神之战您的个人积分为#C(#ffff37)%s#n，奖励将在活动结束后发放 	Twoje punkty osobiste: #C(#ffff37)%s#n. Nagroda zostanie wysłana po zakończeniu eventu.	0
Common.Other.GlobalPrompt.ClashOfTitansEnd	本次活动已结束 	Event zakończony.	0
Common.Other.GlobalPrompt.ClashOfTitansEndWithOutTitan	#C(#EE7600)【诸神之战】#n活动已结束，仍有#C(#ffff37)%s#n位战神存活，下一次他们能分出胜负吗？	#C(#EE7600) [Wojna Bogów]#n zakończona. Pozostało #C(#ffff37)%s#n bogów. Zaczekajmy na kolejny event!	0
Common.Other.GlobalPrompt.ClashOfTitansEntryClose	活动入口已关闭，下次活动请及时参与以免错过	Już za późno, by wziąć udział w evencie. Nie przegap następnego.	0
Common.Other.GlobalPrompt.ClashOfTitansFiveMiniutesReady	#C(#EE7600)【诸神之战】#n活动已开启，#C(#ffff37)5#n分钟后活动入口将关闭，请各位骑士及时进入	#C(#EE7600) [Wojna Bogów]#n rozpoczęta. #C(#ffff37)5#n minut później wejście zostanie zamknięte. Nie przegap!	0
Common.Other.GlobalPrompt.ClashOfTitansKillTips1	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n气势如虹，完成%s连杀。	#C(#EE7600)[Wojna Bogów]#n #C(#FFFF00)%s#n osiągnął %s losowych zwycięstw. Co za postać!	0
Common.Other.GlobalPrompt.ClashOfTitansKillTips2	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n完成了%s连杀，已经势不可挡了。	#C(#EE7600)[Wojna Bogów]#n #C(#FFFF00)%s#n osiągnął %s losowych zwycięstw. Jest niezwyciężony.	0
Common.Other.GlobalPrompt.ClashOfTitansKillTips3	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n正在大杀特杀，达成%s连杀。	#C(#EE7600)[Wojna Bogów]#n Szaleństwo! #C(#FFFF00)%s#n osiągnął %s losowych zwycięstw!	0
Common.Other.GlobalPrompt.ClashOfTitansKillTips4	#C(#E87D22)【诸神之战】#n#C(#00FF00)%s#n连杀！#C(#FFFF00)%s：“还有谁？还有谁！ ”#n	#C(#E87D22)[Wojna Bogów]#n#C(#00FF00)%s #n losowych zwycięstw. #C(#FFFF00)%s "Kto następny???"#n	0
Common.Other.GlobalPrompt.ClashOfTitansNotInScene	该角色目前不在场景中 	Postać nie znajduje się na mapie.	0
Common.Other.GlobalPrompt.ClashOfTitansOneMiniutesReady	#C(#EE7600)【诸神之战】#n活动已开启，#C(#ffff37)1#n分钟后活动入口将关闭，请各位骑士及时进入。	#C(#EE7600) [Wojna Bogów]#n trwa. #C(#ffff37)1#n minut później wejście zostanie zamknięte.	0
Common.Other.GlobalPrompt.ClashOfTitansPerMinuteScore	您获得了系统发放的积分#C(#00FF00)+%s#n	Otrzymałeś #C(#00FF00)+%s punktów.#n	0
Common.Other.GlobalPrompt.ClashOfTitansPickUpSoulGlobal	#C(#EE7600)【诸神之战】#n#C(#FFFF00)%s#n拾取了”#C(#0066CC)%s的英魂#n”，战斗力发生了翻天覆地的变化！	#C(#EE7600)[Wojna Bogów]#n #C(#FFFF00)%s#n znajdź ”Duszę#C(#0066CC)%s.#n” Zdobądź moc bitewną.	0
Common.Other.GlobalPrompt.ClashOfTitansPickUpSoulSelf	你拾取了%s的英魂，获得附体效果，下一场战斗属性将临时变为%s的属性。	Zdobyłeś duszę %s's więc w następnej bitwie otrzymasz cechy %s.	0
Common.Other.GlobalPrompt.ClashOfTitansRoleDieWithoutFighting	由于你在60秒内没有进行战斗，复活次数-1	Nie walczyłeś w żadnej bitwie przez ostatnie 60 sekund, zatem tracisz 1 życie.	0
Common.Other.GlobalPrompt.ClashOfTitansRoleInProtected	该角色正处于保护时间内！	Postać jest nadal pod ochroną.	0
Common.Other.GlobalPrompt.ClashOfTitansSoulNpcName	%s的英魂	Dusza %s	0
Common.Other.GlobalPrompt.ClashOfTitansStart	#C(#EE7600)【诸神之战】#n活动正式开启，这次谁又能战到最后成为新的王者？让我们拭目以待！	#C(#EE7600) [Wojna Bogów]#n Event rozpoczęty. Kto zostanie zwycięzcą?	0
