level	minRank	maxRank	money	itemList	titleId	title
40	3	3	309250	[(25682,350),(25666,50)]	5	称号:不灭战神
40	2	2	317250	[(25682,400),(25666,55)]	5	称号:不灭战神
40	1	1	332250	[(25682,500),(25666,60)]	1	称号:灭世主宰
41	1001	2000	284375	[(25682,50),(25666,6)]	0	
41	201	1000	286375	[(25682,75),(25666,6)]	0	
41	51	200	288375	[(25682,100),(25666,10)]	0	
41	21	50	290375	[(25682,125),(25666,10)]	0	
41	11	20	292375	[(25682,150),(25666,20)]	0	
41	6	10	294375	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
41	5	5	299375	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
41	4	4	305375	[(25682,300),(25666,45)]	5	称号:不灭战神
41	3	3	312375	[(25682,350),(25666,50)]	5	称号:不灭战神
41	2	2	320375	[(25682,400),(25666,55)]	5	称号:不灭战神
41	1	1	335375	[(25682,500),(25666,60)]	1	称号:灭世主宰
42	1001	2000	287500	[(25682,50),(25666,6)]	0	
42	201	1000	289500	[(25682,75),(25666,6)]	0	
42	51	200	291500	[(25682,100),(25666,10)]	0	
42	21	50	293500	[(25682,125),(25666,10)]	0	
42	11	20	295500	[(25682,150),(25666,20)]	0	
42	6	10	297500	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
42	5	5	302500	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
42	4	4	308500	[(25682,300),(25666,45)]	5	称号:不灭战神
42	3	3	315500	[(25682,350),(25666,50)]	5	称号:不灭战神
42	2	2	323500	[(25682,400),(25666,55)]	5	称号:不灭战神
42	1	1	338500	[(25682,500),(25666,60)]	1	称号:灭世主宰
43	1001	2000	290625	[(25682,50),(25666,6)]	0	
43	201	1000	292625	[(25682,75),(25666,6)]	0	
43	51	200	294625	[(25682,100),(25666,10)]	0	
43	21	50	296625	[(25682,125),(25666,10)]	0	
43	11	20	298625	[(25682,150),(25666,20)]	0	
43	6	10	300625	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
43	5	5	305625	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
43	4	4	311625	[(25682,300),(25666,45)]	5	称号:不灭战神
43	3	3	318625	[(25682,350),(25666,50)]	5	称号:不灭战神
43	2	2	326625	[(25682,400),(25666,55)]	5	称号:不灭战神
43	1	1	341625	[(25682,500),(25666,60)]	1	称号:灭世主宰
44	1001	2000	293750	[(25682,50),(25666,6)]	0	
44	201	1000	295750	[(25682,75),(25666,6)]	0	
44	51	200	297750	[(25682,100),(25666,10)]	0	
44	21	50	299750	[(25682,125),(25666,10)]	0	
44	11	20	301750	[(25682,150),(25666,20)]	0	
44	6	10	303750	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
44	5	5	308750	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
44	4	4	314750	[(25682,300),(25666,45)]	5	称号:不灭战神
44	3	3	321750	[(25682,350),(25666,50)]	5	称号:不灭战神
44	2	2	329750	[(25682,400),(25666,55)]	5	称号:不灭战神
44	1	1	344750	[(25682,500),(25666,60)]	1	称号:灭世主宰
45	1001	2000	296875	[(25682,50),(25666,6)]	0	
45	201	1000	298875	[(25682,75),(25666,6)]	0	
45	51	200	300875	[(25682,100),(25666,10)]	0	
45	21	50	302875	[(25682,125),(25666,10)]	0	
45	11	20	304875	[(25682,150),(25666,20)]	0	
45	6	10	306875	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
45	5	5	311875	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
45	4	4	317875	[(25682,300),(25666,45)]	5	称号:不灭战神
45	3	3	324875	[(25682,350),(25666,50)]	5	称号:不灭战神
45	2	2	332875	[(25682,400),(25666,55)]	5	称号:不灭战神
45	1	1	347875	[(25682,500),(25666,60)]	1	称号:灭世主宰
46	1001	2000	300000	[(25682,50),(25666,6)]	0	
46	201	1000	302000	[(25682,75),(25666,6)]	0	
46	51	200	304000	[(25682,100),(25666,10)]	0	
46	21	50	306000	[(25682,125),(25666,10)]	0	
46	11	20	308000	[(25682,150),(25666,20)]	0	
46	6	10	310000	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
46	5	5	315000	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
46	4	4	321000	[(25682,300),(25666,45)]	5	称号:不灭战神
46	3	3	328000	[(25682,350),(25666,50)]	5	称号:不灭战神
46	2	2	336000	[(25682,400),(25666,55)]	5	称号:不灭战神
46	1	1	351000	[(25682,500),(25666,60)]	1	称号:灭世主宰
47	1001	2000	303125	[(25682,50),(25666,6)]	0	
47	201	1000	305125	[(25682,75),(25666,6)]	0	
47	51	200	307125	[(25682,100),(25666,10)]	0	
47	21	50	309125	[(25682,125),(25666,10)]	0	
47	11	20	311125	[(25682,150),(25666,20)]	0	
47	6	10	313125	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
47	5	5	318125	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
47	4	4	324125	[(25682,300),(25666,45)]	5	称号:不灭战神
47	3	3	331125	[(25682,350),(25666,50)]	5	称号:不灭战神
47	2	2	339125	[(25682,400),(25666,55)]	5	称号:不灭战神
47	1	1	354125	[(25682,500),(25666,60)]	1	称号:灭世主宰
48	1001	2000	306250	[(25682,50),(25666,6)]	0	
48	201	1000	308250	[(25682,75),(25666,6)]	0	
48	51	200	310250	[(25682,100),(25666,10)]	0	
48	21	50	312250	[(25682,125),(25666,10)]	0	
48	11	20	314250	[(25682,150),(25666,20)]	0	
48	6	10	316250	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
48	5	5	321250	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
48	4	4	327250	[(25682,300),(25666,45)]	5	称号:不灭战神
48	3	3	334250	[(25682,350),(25666,50)]	5	称号:不灭战神
48	2	2	342250	[(25682,400),(25666,55)]	5	称号:不灭战神
48	1	1	357250	[(25682,500),(25666,60)]	1	称号:灭世主宰
49	1001	2000	309375	[(25682,50),(25666,6)]	0	
49	201	1000	311375	[(25682,75),(25666,6)]	0	
49	51	200	313375	[(25682,100),(25666,10)]	0	
49	21	50	315375	[(25682,125),(25666,10)]	0	
49	11	20	317375	[(25682,150),(25666,20)]	0	
49	6	10	319375	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
49	5	5	324375	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
49	4	4	330375	[(25682,300),(25666,45)]	5	称号:不灭战神
49	3	3	337375	[(25682,350),(25666,50)]	5	称号:不灭战神
49	2	2	345375	[(25682,400),(25666,55)]	5	称号:不灭战神
49	1	1	360375	[(25682,500),(25666,60)]	1	称号:灭世主宰
50	1001	2000	315625	[(25682,50),(25666,6)]	0	
50	201	1000	317625	[(25682,75),(25666,6)]	0	
50	51	200	319625	[(25682,100),(25666,10)]	0	
50	21	50	321625	[(25682,125),(25666,10)]	0	
50	11	20	323625	[(25682,150),(25666,20)]	0	
50	6	10	325625	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
50	5	5	330625	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
50	4	4	336625	[(25682,300),(25666,45)]	5	称号:不灭战神
50	3	3	343625	[(25682,350),(25666,50)]	5	称号:不灭战神
50	2	2	351625	[(25682,400),(25666,55)]	5	称号:不灭战神
50	1	1	366625	[(25682,500),(25666,60)]	1	称号:灭世主宰
51	1001	2000	318750	[(25682,50),(25666,6)]	0	
51	201	1000	320750	[(25682,75),(25666,6)]	0	
51	51	200	322750	[(25682,100),(25666,10)]	0	
51	21	50	324750	[(25682,125),(25666,10)]	0	
51	11	20	326750	[(25682,150),(25666,20)]	0	
51	6	10	328750	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
51	5	5	333750	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
51	4	4	339750	[(25682,300),(25666,45)]	5	称号:不灭战神
51	3	3	346750	[(25682,350),(25666,50)]	5	称号:不灭战神
51	2	2	354750	[(25682,400),(25666,55)]	5	称号:不灭战神
51	1	1	369750	[(25682,500),(25666,60)]	1	称号:灭世主宰
52	1001	2000	321875	[(25682,50),(25666,6)]	0	
52	201	1000	323875	[(25682,75),(25666,6)]	0	
52	51	200	325875	[(25682,100),(25666,10)]	0	
52	21	50	327875	[(25682,125),(25666,10)]	0	
52	11	20	329875	[(25682,150),(25666,20)]	0	
52	6	10	331875	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
52	5	5	336875	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
52	4	4	342875	[(25682,300),(25666,45)]	5	称号:不灭战神
52	3	3	349875	[(25682,350),(25666,50)]	5	称号:不灭战神
52	2	2	357875	[(25682,400),(25666,55)]	5	称号:不灭战神
52	1	1	372875	[(25682,500),(25666,60)]	1	称号:灭世主宰
53	1001	2000	325000	[(25682,50),(25666,6)]	0	
53	201	1000	327000	[(25682,75),(25666,6)]	0	
53	51	200	329000	[(25682,100),(25666,10)]	0	
53	21	50	331000	[(25682,125),(25666,10)]	0	
53	11	20	333000	[(25682,150),(25666,20)]	0	
53	6	10	335000	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
53	5	5	340000	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
53	4	4	346000	[(25682,300),(25666,45)]	5	称号:不灭战神
53	3	3	353000	[(25682,350),(25666,50)]	5	称号:不灭战神
53	2	2	361000	[(25682,400),(25666,55)]	5	称号:不灭战神
53	1	1	376000	[(25682,500),(25666,60)]	1	称号:灭世主宰
54	1001	2000	328125	[(25682,50),(25666,6)]	0	
54	201	1000	330125	[(25682,75),(25666,6)]	0	
54	51	200	332125	[(25682,100),(25666,10)]	0	
54	21	50	334125	[(25682,125),(25666,10)]	0	
54	11	20	336125	[(25682,150),(25666,20)]	0	
54	6	10	338125	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
54	5	5	343125	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
54	4	4	349125	[(25682,300),(25666,45)]	5	称号:不灭战神
54	3	3	356125	[(25682,350),(25666,50)]	5	称号:不灭战神
54	2	2	364125	[(25682,400),(25666,55)]	5	称号:不灭战神
54	1	1	379125	[(25682,500),(25666,60)]	1	称号:灭世主宰
55	1001	2000	331250	[(25682,50),(25666,6)]	0	
55	201	1000	333250	[(25682,75),(25666,6)]	0	
55	51	200	335250	[(25682,100),(25666,10)]	0	
55	21	50	337250	[(25682,125),(25666,10)]	0	
55	11	20	339250	[(25682,150),(25666,20)]	0	
55	6	10	341250	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
55	5	5	346250	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
55	4	4	352250	[(25682,300),(25666,45)]	5	称号:不灭战神
55	3	3	359250	[(25682,350),(25666,50)]	5	称号:不灭战神
55	2	2	367250	[(25682,400),(25666,55)]	5	称号:不灭战神
55	1	1	382250	[(25682,500),(25666,60)]	1	称号:灭世主宰
56	1001	2000	334375	[(25682,50),(25666,6)]	0	
56	201	1000	336375	[(25682,75),(25666,6)]	0	
56	51	200	338375	[(25682,100),(25666,10)]	0	
56	21	50	340375	[(25682,125),(25666,10)]	0	
56	11	20	342375	[(25682,150),(25666,20)]	0	
56	6	10	344375	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
56	5	5	349375	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
56	4	4	355375	[(25682,300),(25666,45)]	5	称号:不灭战神
56	3	3	362375	[(25682,350),(25666,50)]	5	称号:不灭战神
56	2	2	370375	[(25682,400),(25666,55)]	5	称号:不灭战神
56	1	1	385375	[(25682,500),(25666,60)]	1	称号:灭世主宰
57	1001	2000	337500	[(25682,50),(25666,6)]	0	
57	201	1000	339500	[(25682,75),(25666,6)]	0	
57	51	200	341500	[(25682,100),(25666,10)]	0	
57	21	50	343500	[(25682,125),(25666,10)]	0	
57	11	20	345500	[(25682,150),(25666,20)]	0	
57	6	10	347500	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
57	5	5	352500	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
57	4	4	358500	[(25682,300),(25666,45)]	5	称号:不灭战神
57	3	3	365500	[(25682,350),(25666,50)]	5	称号:不灭战神
57	2	2	373500	[(25682,400),(25666,55)]	5	称号:不灭战神
57	1	1	388500	[(25682,500),(25666,60)]	1	称号:灭世主宰
58	1001	2000	340625	[(25682,50),(25666,6)]	0	
58	201	1000	342625	[(25682,75),(25666,6)]	0	
58	51	200	344625	[(25682,100),(25666,10)]	0	
58	21	50	346625	[(25682,125),(25666,10)]	0	
58	11	20	348625	[(25682,150),(25666,20)]	0	
58	6	10	350625	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
58	5	5	355625	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
58	4	4	361625	[(25682,300),(25666,45)]	5	称号:不灭战神
58	3	3	368625	[(25682,350),(25666,50)]	5	称号:不灭战神
58	2	2	376625	[(25682,400),(25666,55)]	5	称号:不灭战神
58	1	1	391625	[(25682,500),(25666,60)]	1	称号:灭世主宰
59	1001	2000	343750	[(25682,50),(25666,6)]	0	
59	201	1000	345750	[(25682,75),(25666,6)]	0	
59	51	200	347750	[(25682,100),(25666,10)]	0	
59	21	50	349750	[(25682,125),(25666,10)]	0	
59	11	20	351750	[(25682,150),(25666,20)]	0	
59	6	10	353750	[(25682,200),(25666,30)]	6	称号:不朽的屠龙者
59	5	5	358750	[(25682,250),(25666,40)]	6	称号:不朽的屠龙者
59	4	4	364750	[(25682,300),(25666,45)]	5	称号:不灭战神
59	3	3	371750	[(25682,350),(25666,50)]	5	称号:不灭战神
59	2	2	379750	[(25682,400),(25666,55)]	5	称号:不灭战神
59	1	1	394750	[(25682,500),(25666,60)]	1	称号:灭世主宰
60	1001	2000	348750	[(25683,50),(25667,6)]	0	
60	201	1000	349750	[(25683,75),(25667,6)]	0	
60	51	200	348751	[(25683,100),(25667,10)]	0	
60	21	50	349751	[(25683,125),(25667,10)]	0	
60	11	20	348752	[(25683,150),(25667,20)]	0	
60	6	10	350752	[(25683,200),(25667,30)]	6	称号:不朽的屠龙者
60	5	5	355752	[(25683,250),(25667,40)]	6	称号:不朽的屠龙者
60	4	4	361752	[(25683,300),(25667,45)]	5	称号:不灭战神
60	3	3	368752	[(25683,350),(25667,50)]	5	称号:不灭战神
60	2	2	376752	[(25683,400),(25667,55)]	5	称号:不灭战神
60	1	1	391752	[(25683,500),(25667,60)]	1	称号:灭世主宰
61	1001	2000	352625	[(25683,50),(25667,6)]	0	
61	201	1000	353625	[(25683,75),(25667,6)]	0	
61	51	200	348752	[(25683,100),(25667,10)]	0	
61	21	50	349752	[(25683,125),(25667,10)]	0	
61	11	20	348753	[(25683,150),(25667,20)]	0	
61	6	10	350753	[(25683,200),(25667,30)]	6	称号:不朽的屠龙者
61	5	5	355753	[(25683,250),(25667,40)]	6	称号:不朽的屠龙者
61	4	4	361753	[(25683,300),(25667,45)]	5	称号:不灭战神
61	3	3	368753	[(25683,350),(25667,50)]	5	称号:不灭战神
61	2	2	376753	[(25683,400),(25667,55)]	5	称号:不灭战神
61	1	1	391753	[(25683,500),(25667,60)]	1	称号:灭世主宰
62	1001	2000	356500	[(25683,50),(25667,6)]	0	
62	201	1000	357500	[(25683,75),(25667,6)]	0	
62	51	200	348753	[(25683,100),(25667,10)]	0	
62	21	50	349753	[(25683,125),(25667,10)]	0	
62	11	20	348754	[(25683,150),(25667,20)]	0	
62	6	10	350754	[(25683,200),(25667,30)]	6	称号:不朽的屠龙者
62	5	5	355754	[(25683,250),(25667,40)]	6	称号:不朽的屠龙者
62	4	4	361754	[(25683,300),(25667,45)]	5	称号:不灭战神
62	3	3	368754	[(25683,350),(25667,50)]	5	称号:不灭战神
62	2	2	376754	[(25683,400),(25667,55)]	5	称号:不灭战神
62	1	1	391754	[(25683,500),(25667,60)]	1	称号:灭世主宰
63	1001	2000	360375	[(25683,50),(25667,6)]	0	
63	201	1000	361375	[(25683,75),(25667,6)]	0	
63	51	200	348754	[(25683,100),(25667,10)]	0	
63	21	50	349754	[(25683,125),(25667,10)]	0	
63	11	20	348755	[(25683,150),(25667,20)]	0	
63	6	10	350755	[(25683,200),(25667,30)]	6	称号:不朽的屠龙者
63	5	5	355755	[(25683,250),(25667,40)]	6	称号:不朽的屠龙者
63	4	4	361755	[(25683,300),(25667,45)]	5	称号:不灭战神
63	3	3	368755	[(25683,350),(25667,50)]	5	称号:不灭战神
63	2	2	376755	[(25683,400),(25667,55)]	5	称号:不灭战神
63	1	1	391755	[(25683,500),(25667,60)]	1	称号:灭世主宰
64	1001	2000	364250	[(25683,50),(25667,6)]	0	
64	201	1000	365250	[(25683,75),(25667,6)]	0	
64	51	200	348755	[(25683,100),(25667,10)]	0	
64	21	50	349755	[(25683,125),(25667,10)]	0	
64	11	20	348756	[(25683,150),(25667,20)]	0	
64	6	10	350756	[(25683,200),(25667,30)]	6	称号:不朽的屠龙者
64	5	5	355756	[(25683,250),(25667,40)]	6	称号:不朽的屠龙者
64	4	4	361756	[(25683,300),(25667,45)]	5	称号:不灭战神
64	3	3	368756	[(25683,350),(25667,50)]	5	称号:不灭战神
64	2	2	376756	[(25683,400),(25667,55)]	5	称号:不灭战神
64	1	1	391756	[(25683,500),(25667,60)]	1	称号:灭世主宰
65	1001	2000	368125	[(25683,50),(25667,6)]	0	
65	201	1000	369125	[(25683,75),(25667,6)]	0	
65	51	200	348756	[(25683,100),(25667,10)]	0	
65	21	50	349756	[(25683,125),(25667,10)]	0	
65	11	20	348757	[(25683,150),(25667,20)]	0	
65	6	10	350757	[(25683,200),(25667,30)]	6	称号:不朽的屠龙者
65	5	5	355757	[(25683,250),(25667,40)]	6	称号:不朽的屠龙者
65	4	4	361757	[(25683,300),(25667,45)]	5	称号:不灭战神
65	3	3	368757	[(25683,350),(25667,50)]	5	称号:不灭战神
65	2	2	376757	[(25683,400),(25667,55)]	5	称号:不灭战神
65	1	1	391757	[(25683,500),(25667,60)]	1	称号:灭世主宰
66	1001	2000	372000	[(25683,50),(25667,6)]	0	
66	201	1000	373000	[(25683,75),(25667,6)]	0	
66	51	200	348757	[(25683,100),(25667,10)]	0	
66	21	50	349757	[(25683,125),(25667,10)]	0	
66	11	20	348758	[(25683,150),(25667,20)]	0	
66	6	10	350758	[(25683,200),(25667,30)]	6	称号:不朽的屠龙者
66	5	5	355758	[(25683,250),(25667,40)]	6	称号:不朽的屠龙者
66	4	4	361758	[(25683,300),(25667,45)]	5	称号:不灭战神
66	3	3	368758	[(25683,350),(25667,50)]	5	称号:不灭战神
66	2	2	376758	[(25683,400),(25667,55)]	5	称号:不灭战神
66	1	1	391758	[(25683,500),(25667,60)]	1	称号:灭世主宰
67	1001	2000	375875	[(25683,50),(25667,6)]	0	
67	201	1000	376875	[(25683,75),(25667,6)]	0	
67	51	200	348758	[(25683,100),(25667,10)]	0	
67	21	50	349758	[(25683,125),(25667,10)]	0	
67	11	20	348759	[(25683,150),(25667,20)]	0	
67	6	10	350759	[(25683,200),(25667,30)]	6	称号:不朽的屠龙者
67	5	5	355759	[(25683,250),(25667,40)]	6	称号:不朽的屠龙者
67	4	4	361759	[(25683,300),(25667,45)]	5	称号:不灭战神
67	3	3	368759	[(25683,350),(25667,50)]	5	称号:不灭战神
67	2	2	376759	[(25683,400),(25667,55)]	5	称号:不灭战神
67	1	1	391759	[(25683,500),(25667,60)]	1	称号:灭世主宰
68	1001	2000	379750	[(25683,50),(25667,6)]	0	
68	201	1000	380750	[(25683,75),(25667,6)]	0	
68	51	200	348759	[(25683,100),(25667,10)]	0	
68	21	50	349759	[(25683,125),(25667,10)]	0	
68	11	20	348760	[(25683,150),(25667,20)]	0	
68	6	10	350760	[(25683,200),(25667,30)]	6	称号:不朽的屠龙者
68	5	5	355760	[(25683,250),(25667,40)]	6	称号:不朽的屠龙者
68	4	4	361760	[(25683,300),(25667,45)]	5	称号:不灭战神
68	3	3	368760	[(25683,350),(25667,50)]	5	称号:不灭战神
68	2	2	376760	[(25683,400),(25667,55)]	5	称号:不灭战神
68	1	1	391760	[(25683,500),(25667,60)]	1	称号:灭世主宰
69	1001	2000	383625	[(25683,50),(25667,6)]	0	
69	201	1000	384625	[(25683,75),(25667,6)]	0	
69	51	200	348760	[(25683,100),(25667,10)]	0	
69	21	50	349760	[(25683,125),(25667,10)]	0	
69	11	20	348761	[(25683,150),(25667,20)]	0	
69	6	10	350761	[(25683,200),(25667,30)]	6	称号:不朽的屠龙者
69	5	5	355761	[(25683,250),(25667,40)]	6	称号:不朽的屠龙者
69	4	4	361761	[(25683,300),(25667,45)]	5	称号:不灭战神
69	3	3	368761	[(25683,350),(25667,50)]	5	称号:不灭战神
69	2	2	376761	[(25683,400),(25667,55)]	5	称号:不灭战神
69	1	1	391761	[(25683,500),(25667,60)]	1	称号:灭世主宰
70	1001	2000	391375	[(25683,50),(25667,6)]	0	
70	201	1000	392375	[(25683,75),(25667,6)]	0	
70	51	200	348761	[(25683,100),(25667,10)]	0	
70	21	50	349761	[(25683,125),(25667,10)]	0	
70	11	20	348762	[(25683,150),(25667,20)]	0	
70	6	10	350762	[(25683,200),(25667,30)]	6	称号:不朽的屠龙者
70	5	5	355762	[(25683,250),(25667,40)]	6	称号:不朽的屠龙者
70	4	4	361762	[(25683,300),(25667,45)]	5	称号:不灭战神
70	3	3	368762	[(25683,350),(25667,50)]	5	称号:不灭战神
70	2	2	376762	[(25683,400),(25667,55)]	5	称号:不灭战神
70	1	1	391762	[(25683,500),(25667,60)]	1	称号:灭世主宰
71	1001	2000	395250	[(25683,50),(25667,6)]	0	
71	201	1000	396250	[(25683,75),(25667,6)]	0	
71	51	200	348762	[(25683,100),(25667,10)]	0	
71	21	50	349762	[(25683,125),(25667,10)]	0	
71	11	20	348763	[(25683,150),(25667,20)]	0	
71	6	10	350763	[(25683,200),(25667,30)]	6	称号:不朽的屠龙者
71	5	5	355763	[(25683,250),(25667,40)]	6	称号:不朽的屠龙者
