rank	reputation	boxName	boxDesc	boxRes	nextboxName	nextboxDesc	nextboxRes
42	7600	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
43	7400	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
44	7200	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
45	7000	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
46	6800	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
47	6600	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
48	6400	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
49	6200	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
50	6000	紫色宝箱	(白金组11-40)	baoxiang7	紫色宝箱	(白金组1-10)	baoxiang7
51	5900	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
52	5800	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
53	5700	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
54	5600	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
55	5500	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
56	5400	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
57	5300	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
58	5200	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
59	5100	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
60	5000	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
61	4990	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
62	4980	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
63	4970	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
64	4960	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
65	4950	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
66	4940	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
67	4930	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
68	4920	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
69	4910	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
70	4900	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
71	4890	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
72	4880	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
73	4870	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
74	4860	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
75	4850	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
76	4840	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
77	4830	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
78	4820	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
79	4810	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
80	4800	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
81	4790	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
82	4780	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
83	4770	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
84	4760	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
85	4750	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
86	4740	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
87	4730	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
88	4720	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
89	4710	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
90	4700	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
91	4690	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
92	4680	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
93	4670	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
94	4660	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
95	4650	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
96	4640	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
97	4630	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
98	4620	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
99	4610	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
100	4600	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
101	4590	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
102	4580	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
103	4570	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
104	4560	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
105	4550	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
106	4540	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
107	4530	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
108	4520	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
109	4510	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
110	4500	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
111	4490	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
112	4480	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
113	4470	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
114	4460	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
115	4450	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
116	4440	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
117	4430	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
118	4420	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
119	4410	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
120	4400	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
121	4390	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
122	4380	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
123	4370	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
124	4360	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
125	4350	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
126	4340	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
127	4330	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
128	4320	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
129	4310	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
130	4300	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
131	4290	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
132	4280	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
133	4270	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
134	4260	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
135	4250	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
136	4240	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
137	4230	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
138	4220	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
139	4210	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
140	4200	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
141	4190	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
142	4180	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
143	4170	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
144	4160	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
145	4150	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
146	4140	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
147	4130	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
148	4120	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
149	4110	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
150	4100	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
151	4090	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
152	4080	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
153	4070	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
154	4060	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
155	4050	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
156	4040	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
157	4030	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
158	4020	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
159	4010	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
160	4000	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
161	3990	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
162	3980	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
163	3970	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
164	3960	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
165	3950	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
166	3940	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
167	3930	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
168	3920	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
169	3910	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
170	3900	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
171	3890	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
172	3880	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
173	3870	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
174	3860	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
175	3850	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
176	3840	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
177	3830	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
178	3820	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
179	3810	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
180	3800	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
181	3790	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
182	3780	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
183	3770	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
184	3760	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
185	3750	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
186	3740	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
187	3730	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
188	3720	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
189	3710	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
190	3700	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
191	3690	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
192	3680	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
193	3670	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
194	3660	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
195	3650	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
196	3640	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
197	3630	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
198	3620	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
199	3610	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
200	3600	蓝色宝箱	(黄金组、白银组)	baoxiang6	紫色宝箱	(白金组11-40)	baoxiang7
201	3590	绿色宝箱	(青铜组)	baoxiang5	蓝色宝箱	(黄金组、白银组)	baoxiang6
202	3580	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
203	3570	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
204	3560	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
205	3550	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
206	3540	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
207	3530	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
208	3520	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
209	3510	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
210	3500	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
211	3490	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
212	3480	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
213	3470	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
214	3460	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
215	3450	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
216	3440	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
217	3430	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
218	3420	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
219	3410	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
220	3400	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
221	3390	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
222	3380	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
223	3370	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
224	3360	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
225	3350	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
226	3340	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
227	3330	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
228	3320	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
229	3310	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
230	3300	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
231	3290	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
232	3280	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
233	3270	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
234	3260	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
235	3250	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
236	3240	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
237	3230	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
238	3220	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
239	3210	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
240	3200	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
241	3190	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
242	3180	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
243	3170	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
244	3160	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
245	3150	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
246	3140	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
247	3130	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
248	3120	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
249	3110	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
250	3100	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
251	3090	绿色宝箱	(青铜组)	baoxiang6	蓝色宝箱	(黄金组、白银组)	baoxiang6
