level	exchangeId	score	reputation	item
52	9	42	0	[25682, 20]
52	10	48	500	[]
52	11	54	0	[25682, 20]
52	12	60	500	[]
53	1	2	200	[]
53	2	6	300	[]
53	3	10	0	[25682, 20]
53	4	16	500	[]
53	5	22	0	[25682, 20]
53	6	28	500	[]
53	7	30	0	[25682, 20]
53	8	36	500	[]
53	9	42	0	[25682, 20]
53	10	48	500	[]
53	11	54	0	[25682, 20]
53	12	60	500	[]
54	1	2	200	[]
54	2	6	300	[]
54	3	10	0	[25682, 20]
54	4	16	500	[]
54	5	22	0	[25682, 20]
54	6	28	500	[]
54	7	30	0	[25682, 20]
54	8	36	500	[]
54	9	42	0	[25682, 20]
54	10	48	500	[]
54	11	54	0	[25682, 20]
54	12	60	500	[]
55	1	2	200	[]
55	2	6	300	[]
55	3	10	0	[25682, 20]
55	4	16	500	[]
55	5	22	0	[25682, 20]
55	6	28	500	[]
55	7	30	0	[25682, 20]
55	8	36	500	[]
55	9	42	0	[25682, 20]
55	10	48	500	[]
55	11	54	0	[25682, 20]
55	12	60	500	[]
56	1	2	200	[]
56	2	6	300	[]
56	3	10	0	[25682, 20]
56	4	16	500	[]
56	5	22	0	[25682, 20]
56	6	28	500	[]
56	7	30	0	[25682, 20]
56	8	36	500	[]
56	9	42	0	[25682, 20]
56	10	48	500	[]
56	11	54	0	[25682, 20]
56	12	60	500	[]
57	1	2	200	[]
57	2	6	300	[]
57	3	10	0	[25682, 20]
57	4	16	500	[]
57	5	22	0	[25682, 20]
57	6	28	500	[]
57	7	30	0	[25682, 20]
57	8	36	500	[]
57	9	42	0	[25682, 20]
57	10	48	500	[]
57	11	54	0	[25682, 20]
57	12	60	500	[]
58	1	2	200	[]
58	2	6	300	[]
58	3	10	0	[25682, 20]
58	4	16	500	[]
58	5	22	0	[25682, 20]
58	6	28	500	[]
58	7	30	0	[25682, 20]
58	8	36	500	[]
58	9	42	0	[25682, 20]
58	10	48	500	[]
58	11	54	0	[25682, 20]
58	12	60	500	[]
59	1	2	200	[]
59	2	6	300	[]
59	3	10	0	[25682, 20]
59	4	16	500	[]
59	5	22	0	[25682, 20]
59	6	28	500	[]
59	7	30	0	[25682, 20]
59	8	36	500	[]
59	9	42	0	[25682, 20]
59	10	48	500	[]
59	11	54	0	[25682, 20]
59	12	60	500	[]
60	1	2	200	[]
60	2	6	300	[]
60	3	10	0	[25683, 20]
60	4	16	500	[]
60	5	22	0	[25683, 20]
60	6	28	500	[]
60	7	30	0	[25683, 20]
60	8	36	500	[]
60	9	42	0	[25683, 20]
60	10	48	500	[]
60	11	54	0	[25683, 20]
60	12	60	500	[]
61	1	2	200	[]
61	2	6	300	[]
61	3	10	0	[25683, 20]
61	4	16	500	[]
61	5	22	0	[25683, 20]
61	6	28	500	[]
61	7	30	0	[25683, 20]
61	8	36	500	[]
61	9	42	0	[25683, 20]
61	10	48	500	[]
61	11	54	0	[25683, 20]
61	12	60	500	[]
62	1	2	200	[]
62	2	6	300	[]
62	3	10	0	[25683, 20]
62	4	16	500	[]
62	5	22	0	[25683, 20]
62	6	28	500	[]
62	7	30	0	[25683, 20]
62	8	36	500	[]
62	9	42	0	[25683, 20]
62	10	48	500	[]
62	11	54	0	[25683, 20]
62	12	60	500	[]
63	1	2	200	[]
63	2	6	300	[]
63	3	10	0	[25683, 20]
63	4	16	500	[]
63	5	22	0	[25683, 20]
63	6	28	500	[]
63	7	30	0	[25683, 20]
63	8	36	500	[]
63	9	42	0	[25683, 20]
63	10	48	500	[]
63	11	54	0	[25683, 20]
63	12	60	500	[]
64	1	2	200	[]
64	2	6	300	[]
64	3	10	0	[25683, 20]
64	4	16	500	[]
64	5	22	0	[25683, 20]
64	6	28	500	[]
64	7	30	0	[25683, 20]
64	8	36	500	[]
64	9	42	0	[25683, 20]
64	10	48	500	[]
64	11	54	0	[25683, 20]
64	12	60	500	[]
65	1	2	200	[]
65	2	6	300	[]
65	3	10	0	[25683, 20]
65	4	16	500	[]
65	5	22	0	[25683, 20]
65	6	28	500	[]
65	7	30	0	[25683, 20]
65	8	36	500	[]
65	9	42	0	[25683, 20]
65	10	48	500	[]
65	11	54	0	[25683, 20]
65	12	60	500	[]
66	1	2	200	[]
66	2	6	300	[]
66	3	10	0	[25683, 20]
66	4	16	500	[]
66	5	22	0	[25683, 20]
66	6	28	500	[]
66	7	30	0	[25683, 20]
66	8	36	500	[]
66	9	42	0	[25683, 20]
66	10	48	500	[]
66	11	54	0	[25683, 20]
66	12	60	500	[]
67	1	2	200	[]
67	2	6	300	[]
67	3	10	0	[25683, 20]
67	4	16	500	[]
67	5	22	0	[25683, 20]
67	6	28	500	[]
67	7	30	0	[25683, 20]
67	8	36	500	[]
67	9	42	0	[25683, 20]
67	10	48	500	[]
67	11	54	0	[25683, 20]
67	12	60	500	[]
68	1	2	200	[]
68	2	6	300	[]
68	3	10	0	[25683, 20]
68	4	16	500	[]
68	5	22	0	[25683, 20]
68	6	28	500	[]
68	7	30	0	[25683, 20]
68	8	36	500	[]
68	9	42	0	[25683, 20]
68	10	48	500	[]
68	11	54	0	[25683, 20]
68	12	60	500	[]
69	1	2	200	[]
69	2	6	300	[]
69	3	10	0	[25683, 20]
69	4	16	500	[]
69	5	22	0	[25683, 20]
69	6	28	500	[]
69	7	30	0	[25683, 20]
69	8	36	500	[]
69	9	42	0	[25683, 20]
69	10	48	500	[]
69	11	54	0	[25683, 20]
69	12	60	500	[]
70	1	2	200	[]
70	2	6	300	[]
70	3	10	0	[25683, 20]
70	4	16	500	[]
70	5	22	0	[25683, 20]
70	6	28	500	[]
70	7	30	0	[25683, 20]
70	8	36	500	[]
70	9	42	0	[25683, 20]
70	10	48	500	[]
70	11	54	0	[25683, 20]
70	12	60	500	[]
71	1	2	200	[]
71	2	6	300	[]
71	3	10	0	[25683, 20]
71	4	16	500	[]
71	5	22	0	[25683, 20]
71	6	28	500	[]
71	7	30	0	[25683, 20]
71	8	36	500	[]
71	9	42	0	[25683, 20]
71	10	48	500	[]
71	11	54	0	[25683, 20]
71	12	60	500	[]
72	1	2	200	[]
72	2	6	300	[]
72	3	10	0	[25683, 20]
72	4	16	500	[]
72	5	22	0	[25683, 20]
72	6	28	500	[]
72	7	30	0	[25683, 20]
72	8	36	500	[]
72	9	42	0	[25683, 20]
72	10	48	500	[]
72	11	54	0	[25683, 20]
72	12	60	500	[]
73	1	2	200	[]
73	2	6	300	[]
73	3	10	0	[25683, 20]
73	4	16	500	[]
73	5	22	0	[25683, 20]
73	6	28	500	[]
73	7	30	0	[25683, 20]
73	8	36	500	[]
73	9	42	0	[25683, 20]
73	10	48	500	[]
73	11	54	0	[25683, 20]
73	12	60	500	[]
74	1	2	200	[]
74	2	6	300	[]
74	3	10	0	[25683, 20]
74	4	16	500	[]
74	5	22	0	[25683, 20]
74	6	28	500	[]
74	7	30	0	[25683, 20]
74	8	36	500	[]
74	9	42	0	[25683, 20]
74	10	48	500	[]
74	11	54	0	[25683, 20]
74	12	60	500	[]
75	1	2	200	[]
75	2	6	300	[]
75	3	10	0	[25683, 20]
75	4	16	500	[]
75	5	22	0	[25683, 20]
75	6	28	500	[]
75	7	30	0	[25683, 20]
75	8	36	500	[]
75	9	42	0	[25683, 20]
75	10	48	500	[]
75	11	54	0	[25683, 20]
75	12	60	500	[]
76	1	2	200	[]
76	2	6	300	[]
76	3	10	0	[25683, 20]
76	4	16	500	[]
76	5	22	0	[25683, 20]
76	6	28	500	[]
76	7	30	0	[25683, 20]
76	8	36	500	[]
76	9	42	0	[25683, 20]
76	10	48	500	[]
76	11	54	0	[25683, 20]
76	12	60	500	[]
77	1	2	200	[]
77	2	6	300	[]
77	3	10	0	[25683, 20]
77	4	16	500	[]
77	5	22	0	[25683, 20]
77	6	28	500	[]
77	7	30	0	[25683, 20]
77	8	36	500	[]
77	9	42	0	[25683, 20]
77	10	48	500	[]
77	11	54	0	[25683, 20]
77	12	60	500	[]
78	1	2	200	[]
78	2	6	300	[]
78	3	10	0	[25683, 20]
78	4	16	500	[]
78	5	22	0	[25683, 20]
78	6	28	500	[]
78	7	30	0	[25683, 20]
78	8	36	500	[]
78	9	42	0	[25683, 20]
78	10	48	500	[]
78	11	54	0	[25683, 20]
78	12	60	500	[]
79	1	2	200	[]
79	2	6	300	[]
79	3	10	0	[25683, 20]
79	4	16	500	[]
79	5	22	0	[25683, 20]
79	6	28	500	[]
79	7	30	0	[25683, 20]
79	8	36	500	[]
79	9	42	0	[25683, 20]
79	10	48	500	[]
79	11	54	0	[25683, 20]
79	12	60	500	[]
80	1	2	200	[]
80	2	6	300	[]
80	3	10	0	[25684, 20]
80	4	16	500	[]
80	5	22	0	[25684, 20]
80	6	28	500	[]
80	7	30	0	[25684, 20]
80	8	36	500	[]
80	9	42	0	[25684, 20]
80	10	48	500	[]
80	11	54	0	[25684, 20]
80	12	60	500	[]
81	1	2	200	[]
81	2	6	300	[]
81	3	10	0	[25684, 20]
81	4	16	500	[]
81	5	22	0	[25684, 20]
81	6	28	500	[]
81	7	30	0	[25684, 20]
81	8	36	500	[]
81	9	42	0	[25684, 20]
81	10	48	500	[]
81	11	54	0	[25684, 20]
81	12	60	500	[]
82	1	2	200	[]
82	2	6	300	[]
82	3	10	0	[25684, 20]
82	4	16	500	[]
82	5	22	0	[25684, 20]
82	6	28	500	[]
82	7	30	0	[25684, 20]
82	8	36	500	[]
82	9	42	0	[25684, 20]
82	10	48	500	[]
82	11	54	0	[25684, 20]
82	12	60	500	[]
83	1	2	200	[]
83	2	6	300	[]
83	3	10	0	[25684, 20]
83	4	16	500	[]
83	5	22	0	[25684, 20]
83	6	28	500	[]
83	7	30	0	[25684, 20]
83	8	36	500	[]
83	9	42	0	[25684, 20]
83	10	48	500	[]
83	11	54	0	[25684, 20]
83	12	60	500	[]
84	1	2	200	[]
84	2	6	300	[]
84	3	10	0	[25684, 20]
84	4	16	500	[]
84	5	22	0	[25684, 20]
84	6	28	500	[]
84	7	30	0	[25684, 20]
84	8	36	500	[]
84	9	42	0	[25684, 20]
84	10	48	500	[]
84	11	54	0	[25684, 20]
84	12	60	500	[]
85	1	2	200	[]
85	2	6	300	[]
85	3	10	0	[25684, 20]
85	4	16	500	[]
85	5	22	0	[25684, 20]
85	6	28	500	[]
85	7	30	0	[25684, 20]
85	8	36	500	[]
85	9	42	0	[25684, 20]
85	10	48	500	[]
85	11	54	0	[25684, 20]
85	12	60	500	[]
86	1	2	200	[]
86	2	6	300	[]
86	3	10	0	[25684, 20]
86	4	16	500	[]
86	5	22	0	[25684, 20]
86	6	28	500	[]
86	7	30	0	[25684, 20]
86	8	36	500	[]
86	9	42	0	[25684, 20]
86	10	48	500	[]
86	11	54	0	[25684, 20]
86	12	60	500	[]
87	1	2	200	[]
87	2	6	300	[]
87	3	10	0	[25684, 20]
87	4	16	500	[]
87	5	22	0	[25684, 20]
87	6	28	500	[]
87	7	30	0	[25684, 20]
87	8	36	500	[]
87	9	42	0	[25684, 20]
87	10	48	500	[]
87	11	54	0	[25684, 20]
87	12	60	500	[]
88	1	2	200	[]
88	2	6	300	[]
88	3	10	0	[25684, 20]
88	4	16	500	[]
88	5	22	0	[25684, 20]
88	6	28	500	[]
88	7	30	0	[25684, 20]
88	8	36	500	[]
88	9	42	0	[25684, 20]
88	10	48	500	[]
88	11	54	0	[25684, 20]
88	12	60	500	[]
89	1	2	200	[]
89	2	6	300	[]
89	3	10	0	[25684, 20]
89	4	16	500	[]
89	5	22	0	[25684, 20]
89	6	28	500	[]
89	7	30	0	[25684, 20]
89	8	36	500	[]
89	9	42	0	[25684, 20]
89	10	48	500	[]
89	11	54	0	[25684, 20]
89	12	60	500	[]
90	1	2	200	[]
90	2	6	300	[]
90	3	10	0	[25684, 20]
90	4	16	500	[]
90	5	22	0	[25684, 20]
90	6	28	500	[]
90	7	30	0	[25684, 20]
90	8	36	500	[]
90	9	42	0	[25684, 20]
90	10	48	500	[]
90	11	54	0	[25684, 20]
90	12	60	500	[]
91	1	2	200	[]
91	2	6	300	[]
91	3	10	0	[25684, 20]
91	4	16	500	[]
91	5	22	0	[25684, 20]
91	6	28	500	[]
91	7	30	0	[25684, 20]
91	8	36	500	[]
91	9	42	0	[25684, 20]
91	10	48	500	[]
91	11	54	0	[25684, 20]
91	12	60	500	[]
92	1	2	200	[]
92	2	6	300	[]
92	3	10	0	[25684, 20]
92	4	16	500	[]
92	5	22	0	[25684, 20]
92	6	28	500	[]
92	7	30	0	[25684, 20]
92	8	36	500	[]
92	9	42	0	[25684, 20]
92	10	48	500	[]
92	11	54	0	[25684, 20]
92	12	60	500	[]
93	1	2	200	[]
93	2	6	300	[]
93	3	10	0	[25684, 20]
93	4	16	500	[]
93	5	22	0	[25684, 20]
93	6	28	500	[]
93	7	30	0	[25684, 20]
93	8	36	500	[]
93	9	42	0	[25684, 20]
93	10	48	500	[]
93	11	54	0	[25684, 20]
93	12	60	500	[]
94	1	2	200	[]
94	2	6	300	[]
94	3	10	0	[25684, 20]
94	4	16	500	[]
94	5	22	0	[25684, 20]
94	6	28	500	[]
94	7	30	0	[25684, 20]
94	8	36	500	[]
94	9	42	0	[25684, 20]
94	10	48	500	[]
94	11	54	0	[25684, 20]
94	12	60	500	[]
95	1	2	200	[]
95	2	6	300	[]
95	3	10	0	[25684, 20]
95	4	16	500	[]
95	5	22	0	[25684, 20]
95	6	28	500	[]
95	7	30	0	[25684, 20]
95	8	36	500	[]
95	9	42	0	[25684, 20]
95	10	48	500	[]
95	11	54	0	[25684, 20]
95	12	60	500	[]
96	1	2	200	[]
96	2	6	300	[]
96	3	10	0	[25684, 20]
96	4	16	500	[]
96	5	22	0	[25684, 20]
96	6	28	500	[]
96	7	30	0	[25684, 20]
96	8	36	500	[]
96	9	42	0	[25684, 20]
96	10	48	500	[]
96	11	54	0	[25684, 20]
96	12	60	500	[]
97	1	2	200	[]
97	2	6	300	[]
97	3	10	0	[25684, 20]
97	4	16	500	[]
97	5	22	0	[25684, 20]
97	6	28	500	[]
97	7	30	0	[25684, 20]
97	8	36	500	[]
97	9	42	0	[25684, 20]
97	10	48	500	[]
97	11	54	0	[25684, 20]
97	12	60	500	[]
98	1	2	200	[]
98	2	6	300	[]
98	3	10	0	[25684, 20]
98	4	16	500	[]
98	5	22	0	[25684, 20]
98	6	28	500	[]
98	7	30	0	[25684, 20]
98	8	36	500	[]
98	9	42	0	[25684, 20]
98	10	48	500	[]
98	11	54	0	[25684, 20]
98	12	60	500	[]
99	1	2	200	[]
99	2	6	300	[]
99	3	10	0	[25684, 20]
99	4	16	500	[]
99	5	22	0	[25684, 20]
99	6	28	500	[]
99	7	30	0	[25684, 20]
99	8	36	500	[]
99	9	42	0	[25684, 20]
99	10	48	500	[]
99	11	54	0	[25684, 20]
99	12	60	500	[]
100	1	2	200	[]
100	2	6	300	[]
100	3	10	0	[25685, 20]
100	4	16	500	[]
100	5	22	0	[25685, 20]
100	6	28	500	[]
100	7	30	0	[25685, 20]
100	8	36	500	[]
100	9	42	0	[25685, 20]
100	10	48	500	[]
100	11	54	0	[25685, 20]
100	12	60	500	[]
101	1	2	200	[]
101	2	6	300	[]
101	3	10	0	[25685, 20]
101	4	16	500	[]
101	5	22	0	[25685, 20]
101	6	28	500	[]
101	7	30	0	[25685, 20]
101	8	36	500	[]
101	9	42	0	[25685, 20]
101	10	48	500	[]
101	11	54	0	[25685, 20]
101	12	60	500	[]
102	1	2	200	[]
102	2	6	300	[]
102	3	10	0	[25685, 20]
102	4	16	500	[]
102	5	22	0	[25685, 20]
102	6	28	500	[]
102	7	30	0	[25685, 20]
102	8	36	500	[]
102	9	42	0	[25685, 20]
102	10	48	500	[]
102	11	54	0	[25685, 20]
102	12	60	500	[]
103	1	2	200	[]
103	2	6	300	[]
103	3	10	0	[25685, 20]
103	4	16	500	[]
103	5	22	0	[25685, 20]
103	6	28	500	[]
103	7	30	0	[25685, 20]
103	8	36	500	[]
103	9	42	0	[25685, 20]
103	10	48	500	[]
103	11	54	0	[25685, 20]
103	12	60	500	[]
104	1	2	200	[]
104	2	6	300	[]
104	3	10	0	[25685, 20]
104	4	16	500	[]
104	5	22	0	[25685, 20]
104	6	28	500	[]
104	7	30	0	[25685, 20]
104	8	36	500	[]
104	9	42	0	[25685, 20]
104	10	48	500	[]
104	11	54	0	[25685, 20]
104	12	60	500	[]
105	1	2	200	[]
105	2	6	300	[]
105	3	10	0	[25685, 20]
105	4	16	500	[]
105	5	22	0	[25685, 20]
105	6	28	500	[]
105	7	30	0	[25685, 20]
105	8	36	500	[]
105	9	42	0	[25685, 20]
105	10	48	500	[]
105	11	54	0	[25685, 20]
105	12	60	500	[]
106	1	2	200	[]
106	2	6	300	[]
106	3	10	0	[25685, 20]
106	4	16	500	[]
106	5	22	0	[25685, 20]
106	6	28	500	[]
106	7	30	0	[25685, 20]
106	8	36	500	[]
106	9	42	0	[25685, 20]
106	10	48	500	[]
106	11	54	0	[25685, 20]
106	12	60	500	[]
107	1	2	200	[]
107	2	6	300	[]
107	3	10	0	[25685, 20]
107	4	16	500	[]
107	5	22	0	[25685, 20]
107	6	28	500	[]
107	7	30	0	[25685, 20]
107	8	36	500	[]
107	9	42	0	[25685, 20]
107	10	48	500	[]
107	11	54	0	[25685, 20]
107	12	60	500	[]
108	1	2	200	[]
108	2	6	300	[]
108	3	10	0	[25685, 20]
108	4	16	500	[]
108	5	22	0	[25685, 20]
108	6	28	500	[]
108	7	30	0	[25685, 20]
108	8	36	500	[]
108	9	42	0	[25685, 20]
108	10	48	500	[]
108	11	54	0	[25685, 20]
108	12	60	500	[]
109	1	2	200	[]
109	2	6	300	[]
109	3	10	0	[25685, 20]
109	4	16	500	[]
109	5	22	0	[25685, 20]
109	6	28	500	[]
109	7	30	0	[25685, 20]
109	8	36	500	[]
109	9	42	0	[25685, 20]
109	10	48	500	[]
109	11	54	0	[25685, 20]
109	12	60	500	[]
110	1	2	200	[]
110	2	6	300	[]
110	3	10	0	[25685, 20]
110	4	16	500	[]
110	5	22	0	[25685, 20]
110	6	28	500	[]
110	7	30	0	[25685, 20]
110	8	36	500	[]
110	9	42	0	[25685, 20]
110	10	48	500	[]
110	11	54	0	[25685, 20]
110	12	60	500	[]
111	1	2	200	[]
111	2	6	300	[]
111	3	10	0	[25685, 20]
111	4	16	500	[]
111	5	22	0	[25685, 20]
111	6	28	500	[]
111	7	30	0	[25685, 20]
111	8	36	500	[]
111	9	42	0	[25685, 20]
111	10	48	500	[]
111	11	54	0	[25685, 20]
111	12	60	500	[]
112	1	2	200	[]
112	2	6	300	[]
112	3	10	0	[25685, 20]
112	4	16	500	[]
112	5	22	0	[25685, 20]
112	6	28	500	[]
112	7	30	0	[25685, 20]
112	8	36	500	[]
112	9	42	0	[25685, 20]
112	10	48	500	[]
112	11	54	0	[25685, 20]
112	12	60	500	[]
113	1	2	200	[]
113	2	6	300	[]
113	3	10	0	[25685, 20]
113	4	16	500	[]
113	5	22	0	[25685, 20]
113	6	28	500	[]
113	7	30	0	[25685, 20]
113	8	36	500	[]
113	9	42	0	[25685, 20]
113	10	48	500	[]
113	11	54	0	[25685, 20]
113	12	60	500	[]
114	1	2	200	[]
114	2	6	300	[]
114	3	10	0	[25685, 20]
114	4	16	500	[]
114	5	22	0	[25685, 20]
114	6	28	500	[]
114	7	30	0	[25685, 20]
114	8	36	500	[]
114	9	42	0	[25685, 20]
114	10	48	500	[]
114	11	54	0	[25685, 20]
114	12	60	500	[]
115	1	2	200	[]
115	2	6	300	[]
115	3	10	0	[25685, 20]
115	4	16	500	[]
115	5	22	0	[25685, 20]
115	6	28	500	[]
115	7	30	0	[25685, 20]
115	8	36	500	[]
115	9	42	0	[25685, 20]
115	10	48	500	[]
115	11	54	0	[25685, 20]
115	12	60	500	[]
116	1	2	200	[]
116	2	6	300	[]
116	3	10	0	[25685, 20]
116	4	16	500	[]
116	5	22	0	[25685, 20]
116	6	28	500	[]
116	7	30	0	[25685, 20]
116	8	36	500	[]
116	9	42	0	[25685, 20]
116	10	48	500	[]
116	11	54	0	[25685, 20]
116	12	60	500	[]
117	1	2	200	[]
117	2	6	300	[]
117	3	10	0	[25685, 20]
117	4	16	500	[]
117	5	22	0	[25685, 20]
117	6	28	500	[]
117	7	30	0	[25685, 20]
117	8	36	500	[]
117	9	42	0	[25685, 20]
117	10	48	500	[]
117	11	54	0	[25685, 20]
117	12	60	500	[]
118	1	2	200	[]
118	2	6	300	[]
118	3	10	0	[25685, 20]
118	4	16	500	[]
118	5	22	0	[25685, 20]
118	6	28	500	[]
118	7	30	0	[25685, 20]
118	8	36	500	[]
118	9	42	0	[25685, 20]
118	10	48	500	[]
118	11	54	0	[25685, 20]
118	12	60	500	[]
119	1	2	200	[]
119	2	6	300	[]
119	3	10	0	[25685, 20]
119	4	16	500	[]
119	5	22	0	[25685, 20]
119	6	28	500	[]
119	7	30	0	[25685, 20]
119	8	36	500	[]
119	9	42	0	[25685, 20]
119	10	48	500	[]
