idx	grade	oddsBase	maxEvolveLucky	perLuckyAddOdds	successNeedMinLucky	failAddLuckyRange	evolveNeedItem	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
5	3	0	263	6	53	[1,1]	(27042,2)	3900	0	0	1300	1300	0	1300	1300	1300	0	0	1300	1300	0	0
5	4	75	562	1	113	[1,1]	(27042,2)	7020	0	0	2340	2340	0	2340	2340	2340	0	0	2340	2340	0	0
5	5	225	717	0	144	[1,1]	(27042,3)	10920	0	0	3640	3640	0	3640	3640	3640	0	0	3640	3640	0	0
5	6	90	2018	0	404	[1,1]	(27042,3)	15600	0	0	5200	5200	0	5200	5200	5200	0	0	5200	5200	0	0
5	7	0	0	0	0			23400	0	0	7800	7800	0	7800	7800	7800	0	0	7800	7800	0	0
6	1	0	89	58	18	[1,1]	(27042,1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	2	0	296	5	60	[1,1]	(27042,1)	1560	0	0	520	520	0	520	520	520	0	0	520	520	0	0
6	3	0	263	6	53	[1,1]	(27042,2)	3900	0	0	1300	1300	0	1300	1300	1300	0	0	1300	1300	0	0
6	4	75	562	1	113	[1,1]	(27042,2)	7020	0	0	2340	2340	0	2340	2340	2340	0	0	2340	2340	0	0
6	5	225	717	0	144	[1,1]	(27042,3)	10920	0	0	3640	3640	0	3640	3640	3640	0	0	3640	3640	0	0
6	6	90	2018	0	404	[1,1]	(27042,3)	15600	0	0	5200	5200	0	5200	5200	5200	0	0	5200	5200	0	0
6	7	0	0	0	0			23400	0	0	7800	7800	0	7800	7800	7800	0	0	7800	7800	0	0
7	1	0	89	58	18	[1,1]	(27042,1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	2	0	296	5	60	[1,1]	(27042,1)	1560	0	0	520	520	0	520	520	520	0	0	520	520	0	0
7	3	0	263	6	53	[1,1]	(27042,2)	3900	0	0	1300	1300	0	1300	1300	1300	0	0	1300	1300	0	0
7	4	75	562	1	113	[1,1]	(27042,2)	7020	0	0	2340	2340	0	2340	2340	2340	0	0	2340	2340	0	0
7	5	225	717	0	144	[1,1]	(27042,3)	10920	0	0	3640	3640	0	3640	3640	3640	0	0	3640	3640	0	0
7	6	90	2018	0	404	[1,1]	(27042,3)	15600	0	0	5200	5200	0	5200	5200	5200	0	0	5200	5200	0	0
7	7	0	0	0	0			23400	0	0	7800	7800	0	7800	7800	7800	0	0	7800	7800	0	0
8	1	0	89	58	18	[1,1]	(27042,1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	2	0	296	5	60	[1,1]	(27042,1)	1560	0	0	520	520	0	520	520	520	0	0	520	520	0	0
8	3	0	263	6	53	[1,1]	(27042,2)	3900	0	0	1300	1300	0	1300	1300	1300	0	0	1300	1300	0	0
8	4	75	562	1	113	[1,1]	(27042,2)	7020	0	0	2340	2340	0	2340	2340	2340	0	0	2340	2340	0	0
8	5	225	717	0	144	[1,1]	(27042,3)	10920	0	0	3640	3640	0	3640	3640	3640	0	0	3640	3640	0	0
8	6	90	2018	0	404	[1,1]	(27042,3)	15600	0	0	5200	5200	0	5200	5200	5200	0	0	5200	5200	0	0
8	7	0	0	0	0			23400	0	0	7800	7800	0	7800	7800	7800	0	0	7800	7800	0	0
9	1	0	89	58	18	[1,1]	(27042,1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	2	0	296	5	60	[1,1]	(27042,1)	1560	0	0	520	520	0	520	520	520	0	0	520	520	0	0
9	3	0	263	6	53	[1,1]	(27042,2)	3900	0	0	1300	1300	0	1300	1300	1300	0	0	1300	1300	0	0
9	4	75	562	1	113	[1,1]	(27042,2)	7020	0	0	2340	2340	0	2340	2340	2340	0	0	2340	2340	0	0
9	5	225	717	0	144	[1,1]	(27042,3)	10920	0	0	3640	3640	0	3640	3640	3640	0	0	3640	3640	0	0
9	6	90	2018	0	404	[1,1]	(27042,3)	15600	0	0	5200	5200	0	5200	5200	5200	0	0	5200	5200	0	0
9	7	0	0	0	0			23400	0	0	7800	7800	0	7800	7800	7800	0	0	7800	7800	0	0
