idx	level	oddsBase	maxEvolveLucky	perLuckyAddOdds	successNeedMinLucky	failAddLuckyRange	evolveNeedItem	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
1	15	0	169	16	34	[1,1]	(27041,2)	12000	0	0	4000	4000	0	4000	4000	4000	0	0	4000	4000	0	0
1	16	0	187	13	38	[1,1]	(27041,2)	12750	0	0	4250	4250	0	4250	4250	4250	0	0	4250	4250	0	0
1	17	0	202	11	41	[1,1]	(27041,2)	13500	0	0	4500	4500	0	4500	4500	4500	0	0	4500	4500	0	0
1	18	0	221	9	45	[1,1]	(27041,2)	14250	0	0	4750	4750	0	4750	4750	4750	0	0	4750	4750	0	0
1	19	0	258	7	52	[1,1]	(27041,2)	15000	0	0	5000	5000	0	5000	5000	5000	0	0	5000	5000	0	0
1	20	0	0	0	0			15750	0	0	5250	5250	0	5250	5250	5250	0	0	5250	5250	0	0
2	0	0	14	2926	3	[1,1]	(27041,1)	750	0	0	250	250	0	250	250	250	0	0	250	250	0	0
2	1	0	20	1220	4	[1,1]	(27041,1)	1500	0	0	500	500	0	500	500	500	0	0	500	500	0	0
2	2	0	25	775	5	[1,1]	(27041,1)	2250	0	0	750	750	0	750	750	750	0	0	750	750	0	0
2	3	0	37	342	8	[1,1]	(27041,1)	3000	0	0	1000	1000	0	1000	1000	1000	0	0	1000	1000	0	0
2	4	0	47	209	10	[1,1]	(27041,1)	3750	0	0	1250	1250	0	1250	1250	1250	0	0	1250	1250	0	0
2	5	0	57	135	12	[1,1]	(27041,1)	4500	0	0	1500	1500	0	1500	1500	1500	0	0	1500	1500	0	0
2	6	0	73	86	15	[1,1]	(27041,1)	5250	0	0	1750	1750	0	1750	1750	1750	0	0	1750	1750	0	0
2	7	0	127	28	26	[1,1]	(27041,1)	6000	0	0	2000	2000	0	2000	2000	2000	0	0	2000	2000	0	0
2	8	0	147	20	30	[1,1]	(27041,1)	6750	0	0	2250	2250	0	2250	2250	2250	0	0	2250	2250	0	0
2	9	0	142	22	29	[1,1]	(27041,1)	7500	0	0	2500	2500	0	2500	2500	2500	0	0	2500	2500	0	0
2	10	0	97	45	20	[1,1]	(27041,2)	8250	0	0	2750	2750	0	2750	2750	2750	0	0	2750	2750	0	0
2	11	0	116	33	24	[1,1]	(27041,2)	9000	0	0	3000	3000	0	3000	3000	3000	0	0	3000	3000	0	0
2	12	0	127	25	26	[1,1]	(27041,2)	9750	0	0	3250	3250	0	3250	3250	3250	0	0	3250	3250	0	0
2	13	0	137	24	28	[1,1]	(27041,2)	10500	0	0	3500	3500	0	3500	3500	3500	0	0	3500	3500	0	0
2	14	0	148	19	30	[1,1]	(27041,2)	11250	0	0	3750	3750	0	3750	3750	3750	0	0	3750	3750	0	0
2	15	0	169	16	34	[1,1]	(27041,2)	12000	0	0	4000	4000	0	4000	4000	4000	0	0	4000	4000	0	0
2	16	0	187	13	38	[1,1]	(27041,2)	12750	0	0	4250	4250	0	4250	4250	4250	0	0	4250	4250	0	0
2	17	0	202	11	41	[1,1]	(27041,2)	13500	0	0	4500	4500	0	4500	4500	4500	0	0	4500	4500	0	0
2	18	0	221	9	45	[1,1]	(27041,2)	14250	0	0	4750	4750	0	4750	4750	4750	0	0	4750	4750	0	0
2	19	0	258	7	52	[1,1]	(27041,2)	15000	0	0	5000	5000	0	5000	5000	5000	0	0	5000	5000	0	0
2	20	0	0	0	0			15750	0	0	5250	5250	0	5250	5250	5250	0	0	5250	5250	0	0
3	0	0	14	2926	3	[1,1]	(27041,1)	750	0	0	250	250	0	250	250	250	0	0	250	250	0	0
3	1	0	20	1220	4	[1,1]	(27041,1)	1500	0	0	500	500	0	500	500	500	0	0	500	500	0	0
3	2	0	25	775	5	[1,1]	(27041,1)	2250	0	0	750	750	0	750	750	750	0	0	750	750	0	0
3	3	0	37	342	8	[1,1]	(27041,1)	3000	0	0	1000	1000	0	1000	1000	1000	0	0	1000	1000	0	0
3	4	0	47	209	10	[1,1]	(27041,1)	3750	0	0	1250	1250	0	1250	1250	1250	0	0	1250	1250	0	0
3	5	0	57	135	12	[1,1]	(27041,1)	4500	0	0	1500	1500	0	1500	1500	1500	0	0	1500	1500	0	0
3	6	0	73	86	15	[1,1]	(27041,1)	5250	0	0	1750	1750	0	1750	1750	1750	0	0	1750	1750	0	0
3	7	0	127	28	26	[1,1]	(27041,1)	6000	0	0	2000	2000	0	2000	2000	2000	0	0	2000	2000	0	0
3	8	0	147	20	30	[1,1]	(27041,1)	6750	0	0	2250	2250	0	2250	2250	2250	0	0	2250	2250	0	0
3	9	0	142	22	29	[1,1]	(27041,1)	7500	0	0	2500	2500	0	2500	2500	2500	0	0	2500	2500	0	0
3	10	0	97	45	20	[1,1]	(27041,2)	8250	0	0	2750	2750	0	2750	2750	2750	0	0	2750	2750	0	0
3	11	0	116	33	24	[1,1]	(27041,2)	9000	0	0	3000	3000	0	3000	3000	3000	0	0	3000	3000	0	0
3	12	0	127	25	26	[1,1]	(27041,2)	9750	0	0	3250	3250	0	3250	3250	3250	0	0	3250	3250	0	0
3	13	0	137	24	28	[1,1]	(27041,2)	10500	0	0	3500	3500	0	3500	3500	3500	0	0	3500	3500	0	0
3	14	0	148	19	30	[1,1]	(27041,2)	11250	0	0	3750	3750	0	3750	3750	3750	0	0	3750	3750	0	0
3	15	0	169	16	34	[1,1]	(27041,2)	12000	0	0	4000	4000	0	4000	4000	4000	0	0	4000	4000	0	0
3	16	0	187	13	38	[1,1]	(27041,2)	12750	0	0	4250	4250	0	4250	4250	4250	0	0	4250	4250	0	0
3	17	0	202	11	41	[1,1]	(27041,2)	13500	0	0	4500	4500	0	4500	4500	4500	0	0	4500	4500	0	0
3	18	0	221	9	45	[1,1]	(27041,2)	14250	0	0	4750	4750	0	4750	4750	4750	0	0	4750	4750	0	0
3	19	0	258	7	52	[1,1]	(27041,2)	15000	0	0	5000	5000	0	5000	5000	5000	0	0	5000	5000	0	0
3	20	0	0	0	0			15750	0	0	5250	5250	0	5250	5250	5250	0	0	5250	5250	0	0
4	0	0	14	2926	3	[1,1]	(27041,1)	750	0	0	250	250	0	250	250	250	0	0	250	250	0	0
4	1	0	20	1220	4	[1,1]	(27041,1)	1500	0	0	500	500	0	500	500	500	0	0	500	500	0	0
4	2	0	25	775	5	[1,1]	(27041,1)	2250	0	0	750	750	0	750	750	750	0	0	750	750	0	0
4	3	0	37	342	8	[1,1]	(27041,1)	3000	0	0	1000	1000	0	1000	1000	1000	0	0	1000	1000	0	0
4	4	0	47	209	10	[1,1]	(27041,1)	3750	0	0	1250	1250	0	1250	1250	1250	0	0	1250	1250	0	0
4	5	0	57	135	12	[1,1]	(27041,1)	4500	0	0	1500	1500	0	1500	1500	1500	0	0	1500	1500	0	0
4	6	0	73	86	15	[1,1]	(27041,1)	5250	0	0	1750	1750	0	1750	1750	1750	0	0	1750	1750	0	0
4	7	0	127	28	26	[1,1]	(27041,1)	6000	0	0	2000	2000	0	2000	2000	2000	0	0	2000	2000	0	0
4	8	0	147	20	30	[1,1]	(27041,1)	6750	0	0	2250	2250	0	2250	2250	2250	0	0	2250	2250	0	0
4	9	0	142	22	29	[1,1]	(27041,1)	7500	0	0	2500	2500	0	2500	2500	2500	0	0	2500	2500	0	0
4	10	0	97	45	20	[1,1]	(27041,2)	8250	0	0	2750	2750	0	2750	2750	2750	0	0	2750	2750	0	0
4	11	0	116	33	24	[1,1]	(27041,2)	9000	0	0	3000	3000	0	3000	3000	3000	0	0	3000	3000	0	0
4	12	0	127	25	26	[1,1]	(27041,2)	9750	0	0	3250	3250	0	3250	3250	3250	0	0	3250	3250	0	0
4	13	0	137	24	28	[1,1]	(27041,2)	10500	0	0	3500	3500	0	3500	3500	3500	0	0	3500	3500	0	0
4	14	0	148	19	30	[1,1]	(27041,2)	11250	0	0	3750	3750	0	3750	3750	3750	0	0	3750	3750	0	0
4	15	0	169	16	34	[1,1]	(27041,2)	12000	0	0	4000	4000	0	4000	4000	4000	0	0	4000	4000	0	0
4	16	0	187	13	38	[1,1]	(27041,2)	12750	0	0	4250	4250	0	4250	4250	4250	0	0	4250	4250	0	0
4	17	0	202	11	41	[1,1]	(27041,2)	13500	0	0	4500	4500	0	4500	4500	4500	0	0	4500	4500	0	0
4	18	0	221	9	45	[1,1]	(27041,2)	14250	0	0	4750	4750	0	4750	4750	4750	0	0	4750	4750	0	0
4	19	0	258	7	52	[1,1]	(27041,2)	15000	0	0	5000	5000	0	5000	5000	5000	0	0	5000	5000	0	0
4	20	0	0	0	0			15750	0	0	5250	5250	0	5250	5250	5250	0	0	5250	5250	0	0
5	0	0	14	2926	3	[1,1]	(27041,1)	750	0	0	250	250	0	250	250	250	0	0	250	250	0	0
5	1	0	20	1220	4	[1,1]	(27041,1)	1500	0	0	500	500	0	500	500	500	0	0	500	500	0	0
5	2	0	25	775	5	[1,1]	(27041,1)	2250	0	0	750	750	0	750	750	750	0	0	750	750	0	0
5	3	0	37	342	8	[1,1]	(27041,1)	3000	0	0	1000	1000	0	1000	1000	1000	0	0	1000	1000	0	0
5	4	0	47	209	10	[1,1]	(27041,1)	3750	0	0	1250	1250	0	1250	1250	1250	0	0	1250	1250	0	0
5	5	0	57	135	12	[1,1]	(27041,1)	4500	0	0	1500	1500	0	1500	1500	1500	0	0	1500	1500	0	0
5	6	0	73	86	15	[1,1]	(27041,1)	5250	0	0	1750	1750	0	1750	1750	1750	0	0	1750	1750	0	0
5	7	0	127	28	26	[1,1]	(27041,1)	6000	0	0	2000	2000	0	2000	2000	2000	0	0	2000	2000	0	0
5	8	0	147	20	30	[1,1]	(27041,1)	6750	0	0	2250	2250	0	2250	2250	2250	0	0	2250	2250	0	0
5	9	0	142	22	29	[1,1]	(27041,1)	7500	0	0	2500	2500	0	2500	2500	2500	0	0	2500	2500	0	0
5	10	0	97	45	20	[1,1]	(27041,2)	8250	0	0	2750	2750	0	2750	2750	2750	0	0	2750	2750	0	0
5	11	0	116	33	24	[1,1]	(27041,2)	9000	0	0	3000	3000	0	3000	3000	3000	0	0	3000	3000	0	0
5	12	0	127	25	26	[1,1]	(27041,2)	9750	0	0	3250	3250	0	3250	3250	3250	0	0	3250	3250	0	0
5	13	0	137	24	28	[1,1]	(27041,2)	10500	0	0	3500	3500	0	3500	3500	3500	0	0	3500	3500	0	0
5	14	0	148	19	30	[1,1]	(27041,2)	11250	0	0	3750	3750	0	3750	3750	3750	0	0	3750	3750	0	0
5	15	0	169	16	34	[1,1]	(27041,2)	12000	0	0	4000	4000	0	4000	4000	4000	0	0	4000	4000	0	0
5	16	0	187	13	38	[1,1]	(27041,2)	12750	0	0	4250	4250	0	4250	4250	4250	0	0	4250	4250	0	0
5	17	0	202	11	41	[1,1]	(27041,2)	13500	0	0	4500	4500	0	4500	4500	4500	0	0	4500	4500	0	0
5	18	0	221	9	45	[1,1]	(27041,2)	14250	0	0	4750	4750	0	4750	4750	4750	0	0	4750	4750	0	0
5	19	0	258	7	52	[1,1]	(27041,2)	15000	0	0	5000	5000	0	5000	5000	5000	0	0	5000	5000	0	0
5	20	0	0	0	0			15750	0	0	5250	5250	0	5250	5250	5250	0	0	5250	5250	0	0
6	0	0	14	2926	3	[1,1]	(27041,1)	750	0	0	250	250	0	250	250	250	0	0	250	250	0	0
6	1	0	20	1220	4	[1,1]	(27041,1)	1500	0	0	500	500	0	500	500	500	0	0	500	500	0	0
6	2	0	25	775	5	[1,1]	(27041,1)	2250	0	0	750	750	0	750	750	750	0	0	750	750	0	0
6	3	0	37	342	8	[1,1]	(27041,1)	3000	0	0	1000	1000	0	1000	1000	1000	0	0	1000	1000	0	0
6	4	0	47	209	10	[1,1]	(27041,1)	3750	0	0	1250	1250	0	1250	1250	1250	0	0	1250	1250	0	0
6	5	0	57	135	12	[1,1]	(27041,1)	4500	0	0	1500	1500	0	1500	1500	1500	0	0	1500	1500	0	0
6	6	0	73	86	15	[1,1]	(27041,1)	5250	0	0	1750	1750	0	1750	1750	1750	0	0	1750	1750	0	0
6	7	0	127	28	26	[1,1]	(27041,1)	6000	0	0	2000	2000	0	2000	2000	2000	0	0	2000	2000	0	0
6	8	0	147	20	30	[1,1]	(27041,1)	6750	0	0	2250	2250	0	2250	2250	2250	0	0	2250	2250	0	0
6	9	0	142	22	29	[1,1]	(27041,1)	7500	0	0	2500	2500	0	2500	2500	2500	0	0	2500	2500	0	0
6	10	0	97	45	20	[1,1]	(27041,2)	8250	0	0	2750	2750	0	2750	2750	2750	0	0	2750	2750	0	0
6	11	0	116	33	24	[1,1]	(27041,2)	9000	0	0	3000	3000	0	3000	3000	3000	0	0	3000	3000	0	0
6	12	0	127	25	26	[1,1]	(27041,2)	9750	0	0	3250	3250	0	3250	3250	3250	0	0	3250	3250	0	0
6	13	0	137	24	28	[1,1]	(27041,2)	10500	0	0	3500	3500	0	3500	3500	3500	0	0	3500	3500	0	0
6	14	0	148	19	30	[1,1]	(27041,2)	11250	0	0	3750	3750	0	3750	3750	3750	0	0	3750	3750	0	0
6	15	0	169	16	34	[1,1]	(27041,2)	12000	0	0	4000	4000	0	4000	4000	4000	0	0	4000	4000	0	0
6	16	0	187	13	38	[1,1]	(27041,2)	12750	0	0	4250	4250	0	4250	4250	4250	0	0	4250	4250	0	0
6	17	0	202	11	41	[1,1]	(27041,2)	13500	0	0	4500	4500	0	4500	4500	4500	0	0	4500	4500	0	0
6	18	0	221	9	45	[1,1]	(27041,2)	14250	0	0	4750	4750	0	4750	4750	4750	0	0	4750	4750	0	0
6	19	0	258	7	52	[1,1]	(27041,2)	15000	0	0	5000	5000	0	5000	5000	5000	0	0	5000	5000	0	0
6	20	0	0	0	0			15750	0	0	5250	5250	0	5250	5250	5250	0	0	5250	5250	0	0
7	0	0	14	2926	3	[1,1]	(27041,1)	750	0	0	250	250	0	250	250	250	0	0	250	250	0	0
7	1	0	20	1220	4	[1,1]	(27041,1)	1500	0	0	500	500	0	500	500	500	0	0	500	500	0	0
7	2	0	25	775	5	[1,1]	(27041,1)	2250	0	0	750	750	0	750	750	750	0	0	750	750	0	0
7	3	0	37	342	8	[1,1]	(27041,1)	3000	0	0	1000	1000	0	1000	1000	1000	0	0	1000	1000	0	0
7	4	0	47	209	10	[1,1]	(27041,1)	3750	0	0	1250	1250	0	1250	1250	1250	0	0	1250	1250	0	0
7	5	0	57	135	12	[1,1]	(27041,1)	4500	0	0	1500	1500	0	1500	1500	1500	0	0	1500	1500	0	0
7	6	0	73	86	15	[1,1]	(27041,1)	5250	0	0	1750	1750	0	1750	1750	1750	0	0	1750	1750	0	0
7	7	0	127	28	26	[1,1]	(27041,1)	6000	0	0	2000	2000	0	2000	2000	2000	0	0	2000	2000	0	0
7	8	0	147	20	30	[1,1]	(27041,1)	6750	0	0	2250	2250	0	2250	2250	2250	0	0	2250	2250	0	0
7	9	0	142	22	29	[1,1]	(27041,1)	7500	0	0	2500	2500	0	2500	2500	2500	0	0	2500	2500	0	0
7	10	0	97	45	20	[1,1]	(27041,2)	8250	0	0	2750	2750	0	2750	2750	2750	0	0	2750	2750	0	0
7	11	0	116	33	24	[1,1]	(27041,2)	9000	0	0	3000	3000	0	3000	3000	3000	0	0	3000	3000	0	0
7	12	0	127	25	26	[1,1]	(27041,2)	9750	0	0	3250	3250	0	3250	3250	3250	0	0	3250	3250	0	0
7	13	0	137	24	28	[1,1]	(27041,2)	10500	0	0	3500	3500	0	3500	3500	3500	0	0	3500	3500	0	0
7	14	0	148	19	30	[1,1]	(27041,2)	11250	0	0	3750	3750	0	3750	3750	3750	0	0	3750	3750	0	0
7	15	0	169	16	34	[1,1]	(27041,2)	12000	0	0	4000	4000	0	4000	4000	4000	0	0	4000	4000	0	0
7	16	0	187	13	38	[1,1]	(27041,2)	12750	0	0	4250	4250	0	4250	4250	4250	0	0	4250	4250	0	0
7	17	0	202	11	41	[1,1]	(27041,2)	13500	0	0	4500	4500	0	4500	4500	4500	0	0	4500	4500	0	0
7	18	0	221	9	45	[1,1]	(27041,2)	14250	0	0	4750	4750	0	4750	4750	4750	0	0	4750	4750	0	0
7	19	0	258	7	52	[1,1]	(27041,2)	15000	0	0	5000	5000	0	5000	5000	5000	0	0	5000	5000	0	0
7	20	0	0	0	0			15750	0	0	5250	5250	0	5250	5250	5250	0	0	5250	5250	0	0
8	0	0	14	2926	3	[1,1]	(27041,1)	750	0	0	250	250	0	250	250	250	0	0	250	250	0	0
8	1	0	20	1220	4	[1,1]	(27041,1)	1500	0	0	500	500	0	500	500	500	0	0	500	500	0	0
8	2	0	25	775	5	[1,1]	(27041,1)	2250	0	0	750	750	0	750	750	750	0	0	750	750	0	0
8	3	0	37	342	8	[1,1]	(27041,1)	3000	0	0	1000	1000	0	1000	1000	1000	0	0	1000	1000	0	0
8	4	0	47	209	10	[1,1]	(27041,1)	3750	0	0	1250	1250	0	1250	1250	1250	0	0	1250	1250	0	0
8	5	0	57	135	12	[1,1]	(27041,1)	4500	0	0	1500	1500	0	1500	1500	1500	0	0	1500	1500	0	0
8	6	0	73	86	15	[1,1]	(27041,1)	5250	0	0	1750	1750	0	1750	1750	1750	0	0	1750	1750	0	0
8	7	0	127	28	26	[1,1]	(27041,1)	6000	0	0	2000	2000	0	2000	2000	2000	0	0	2000	2000	0	0
8	8	0	147	20	30	[1,1]	(27041,1)	6750	0	0	2250	2250	0	2250	2250	2250	0	0	2250	2250	0	0
8	9	0	142	22	29	[1,1]	(27041,1)	7500	0	0	2500	2500	0	2500	2500	2500	0	0	2500	2500	0	0
8	10	0	97	45	20	[1,1]	(27041,2)	8250	0	0	2750	2750	0	2750	2750	2750	0	0	2750	2750	0	0
8	11	0	116	33	24	[1,1]	(27041,2)	9000	0	0	3000	3000	0	3000	3000	3000	0	0	3000	3000	0	0
8	12	0	127	25	26	[1,1]	(27041,2)	9750	0	0	3250	3250	0	3250	3250	3250	0	0	3250	3250	0	0
8	13	0	137	24	28	[1,1]	(27041,2)	10500	0	0	3500	3500	0	3500	3500	3500	0	0	3500	3500	0	0
8	14	0	148	19	30	[1,1]	(27041,2)	11250	0	0	3750	3750	0	3750	3750	3750	0	0	3750	3750	0	0
8	15	0	169	16	34	[1,1]	(27041,2)	12000	0	0	4000	4000	0	4000	4000	4000	0	0	4000	4000	0	0
8	16	0	187	13	38	[1,1]	(27041,2)	12750	0	0	4250	4250	0	4250	4250	4250	0	0	4250	4250	0	0
8	17	0	202	11	41	[1,1]	(27041,2)	13500	0	0	4500	4500	0	4500	4500	4500	0	0	4500	4500	0	0
8	18	0	221	9	45	[1,1]	(27041,2)	14250	0	0	4750	4750	0	4750	4750	4750	0	0	4750	4750	0	0
8	19	0	258	7	52	[1,1]	(27041,2)	15000	0	0	5000	5000	0	5000	5000	5000	0	0	5000	5000	0	0
8	20	0	0	0	0			15750	0	0	5250	5250	0	5250	5250	5250	0	0	5250	5250	0	0
9	0	0	14	2926	3	[1,1]	(27041,1)	750	0	0	250	250	0	250	250	250	0	0	250	250	0	0
9	1	0	20	1220	4	[1,1]	(27041,1)	1500	0	0	500	500	0	500	500	500	0	0	500	500	0	0
9	2	0	25	775	5	[1,1]	(27041,1)	2250	0	0	750	750	0	750	750	750	0	0	750	750	0	0
9	3	0	37	342	8	[1,1]	(27041,1)	3000	0	0	1000	1000	0	1000	1000	1000	0	0	1000	1000	0	0
9	4	0	47	209	10	[1,1]	(27041,1)	3750	0	0	1250	1250	0	1250	1250	1250	0	0	1250	1250	0	0
9	5	0	57	135	12	[1,1]	(27041,1)	4500	0	0	1500	1500	0	1500	1500	1500	0	0	1500	1500	0	0
9	6	0	73	86	15	[1,1]	(27041,1)	5250	0	0	1750	1750	0	1750	1750	1750	0	0	1750	1750	0	0
9	7	0	127	28	26	[1,1]	(27041,1)	6000	0	0	2000	2000	0	2000	2000	2000	0	0	2000	2000	0	0
9	8	0	147	20	30	[1,1]	(27041,1)	6750	0	0	2250	2250	0	2250	2250	2250	0	0	2250	2250	0	0
9	9	0	142	22	29	[1,1]	(27041,1)	7500	0	0	2500	2500	0	2500	2500	2500	0	0	2500	2500	0	0
9	10	0	97	45	20	[1,1]	(27041,2)	8250	0	0	2750	2750	0	2750	2750	2750	0	0	2750	2750	0	0
9	11	0	116	33	24	[1,1]	(27041,2)	9000	0	0	3000	3000	0	3000	3000	3000	0	0	3000	3000	0	0
9	12	0	127	25	26	[1,1]	(27041,2)	9750	0	0	3250	3250	0	3250	3250	3250	0	0	3250	3250	0	0
9	13	0	137	24	28	[1,1]	(27041,2)	10500	0	0	3500	3500	0	3500	3500	3500	0	0	3500	3500	0	0
9	14	0	148	19	30	[1,1]	(27041,2)	11250	0	0	3750	3750	0	3750	3750	3750	0	0	3750	3750	0	0
9	15	0	169	16	34	[1,1]	(27041,2)	12000	0	0	4000	4000	0	4000	4000	4000	0	0	4000	4000	0	0
9	16	0	187	13	38	[1,1]	(27041,2)	12750	0	0	4250	4250	0	4250	4250	4250	0	0	4250	4250	0	0
9	17	0	202	11	41	[1,1]	(27041,2)	13500	0	0	4500	4500	0	4500	4500	4500	0	0	4500	4500	0	0
9	18	0	221	9	45	[1,1]	(27041,2)	14250	0	0	4750	4750	0	4750	4750	4750	0	0	4750	4750	0	0
9	19	0	258	7	52	[1,1]	(27041,2)	15000	0	0	5000	5000	0	5000	5000	5000	0	0	5000	5000	0	0
9	20	0	0	0	0			15750	0	0	5250	5250	0	5250	5250	5250	0	0	5250	5250	0	0
