dragonId	grade	gradeColor	gradeName	floorShadow	dragonName	dragonHeader	oddsBase	maxEvolveLucky	perLuckyAddOdds	successNeedMinLucky	failAddLuckyRange	evolveNeedItem	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
2	5	红色	史诗	icoBg6	远古白龙	30032	0	0	0	0	[1,1]		12600	0	0	4200	4200	0	4200	700	700	0	0	700	700	0	0
3	1	绿色	普通	icoBg1	远古红龙	30033	0	30	513	6	[1,1]	[(26924,1),(26925,1)]	1200	0	0	400	400	0	400	100	100	0	0	100	100	0	0
3	2	蓝色	优秀	icoBg2	远古红龙	30033	0	45	232	9	[1,1]	[(26924,2),(26925,2)]	3300	0	0	1100	1100	0	1100	200	200	0	0	200	200	0	0
3	3	紫色	极品	icoBg3	远古红龙	30033	0	90	55	18	[1,1]	[(26924,3),(26925,3)]	5610	0	0	1870	1870	0	1870	350	350	0	0	350	350	0	0
3	4	橙色	传说	icoBg5	远古红龙	30033	0	146	22	30	[1,1]	[(26924,4),(26925,4)]	8910	0	0	2970	2970	0	2970	500	500	0	0	500	500	0	0
3	5	红色	史诗	icoBg6	远古红龙	30033	0	0	0	0	[1,1]		13200	0	0	4400	4400	0	4400	700	700	0	0	700	700	0	0
4	1	绿色	普通	icoBg1	远古蓝龙	30034	0	36	379	8	[1,1]	[(26924,1),(26925,1)]	1300	0	0	433	433	0	433	100	100	0	0	100	100	0	0
4	2	蓝色	优秀	icoBg2	远古蓝龙	30034	0	54	162	11	[1,1]	[(26924,2),(26925,2)]	3450	0	0	1150	1150	0	1150	200	200	0	0	200	200	0	0
4	3	紫色	极品	icoBg3	远古蓝龙	30034	0	108	41	22	[1,1]	[(26924,3),(26925,3)]	5865	0	0	1955	1955	0	1955	350	350	0	0	350	350	0	0
4	4	橙色	传说	icoBg5	远古蓝龙	30034	0	175	14	35	[1,1]	[(26924,4),(26925,4)]	9315	0	0	3105	3105	0	3105	500	500	0	0	500	500	0	0
4	5	红色	史诗	icoBg6	远古蓝龙	30034	0	0	0	0	[1,1]		13800	0	0	4600	4600	0	4600	700	700	0	0	700	700	0	0
5	1	绿色	普通	icoBg1	远古金龙	30035	0	43	242	9	[1,1]	[(26924,1),(26925,1)]	1400	0	0	466	466	0	466	100	100	0	0	100	100	0	0
5	2	蓝色	优秀	icoBg2	远古金龙	30035	0	65	110	13	[1,1]	[(26924,2),(26925,2)]	3600	0	0	1200	1200	0	1200	200	200	0	0	200	200	0	0
5	3	紫色	极品	icoBg3	远古金龙	30035	0	129	27	26	[1,1]	[(26924,3),(26925,3)]	6120	0	0	2040	2040	0	2040	350	350	0	0	350	350	0	0
5	4	橙色	传说	icoBg5	远古金龙	30035	0	209	10	42	[1,1]	[(26924,4),(26925,4)]	9720	0	0	3240	3240	0	3240	500	500	0	0	500	500	0	0
5	5	红色	史诗	icoBg6	远古金龙	30035	0	0	0	0	[1,1]		14400	0	0	4800	4800	0	4800	700	700	0	0	700	700	0	0
6	1	绿色	普通	icoBg1	远古黑龙	30036	0	52	182	11	[1,1]	[(26924,1),(26925,1)]	1500	0	0	500	500	0	500	100	100	0	0	100	100	0	0
6	2	蓝色	优秀	icoBg2	远古黑龙	30036	0	78	77	16	[1,1]	[(26924,2),(26925,2)]	3750	0	0	1250	1250	0	1250	200	200	0	0	200	200	0	0
6	3	紫色	极品	icoBg3	远古黑龙	30036	5	155	18	31	[1,1]	[(26924,3),(26925,3)]	6375	0	0	2125	2125	0	2125	350	350	0	0	350	350	0	0
6	4	橙色	传说	icoBg5	远古黑龙	30036	5	251	7	51	[1,1]	[(26924,4),(26925,4)]	10125	0	0	3375	3375	0	3375	500	500	0	0	500	500	0	0
6	5	红色	史诗	icoBg6	远古黑龙	30036	0	0	0	0	[1,1]		15000	0	0	5000	5000	0	5000	700	700	0	0	700	700	0	0
7	1	绿色	普通	icoBg1	远古彩虹龙	30037	0	62	120	13	[1,1]	[(26924,1),(26925,1)]	1600	0	0	533	533	0	533	100	100	0	0	100	100	0	0
7	2	蓝色	优秀	icoBg2	远古彩虹龙	30037	0	93	53	19	[1,1]	[(26924,2),(26925,2)]	3900	0	0	1300	1300	0	1300	200	200	0	0	200	200	0	0
7	3	紫色	极品	icoBg3	远古彩虹龙	30037	0	186	13	38	[1,1]	[(26924,3),(26925,3)]	6630	0	0	2210	2210	0	2210	350	350	0	0	350	350	0	0
7	4	橙色	传说	icoBg5	远古彩虹龙	30037	75	301	4	61	[1,1]	[(26924,4),(26925,4)]	10530	0	0	3510	3510	0	3510	500	500	0	0	500	500	0	0
7	5	红色	史诗	icoBg6	远古彩虹龙	30037	0	0	0	0	[1,1]		15600	0	0	5200	5200	0	5200	700	700	0	0	700	700	0	0
8	1	绿色	普通	icoBg1	远古白金龙	30038	0	74	80	15	[1,1]	[(26924,1),(26925,1)]	1700	0	0	566	566	0	566	100	100	0	0	100	100	0	0
8	2	蓝色	优秀	icoBg2	远古白金龙	30038	0	112	36	23	[1,1]	[(26924,2),(26925,2)]	4050	0	0	1350	1350	0	1350	200	200	0	0	200	200	0	0
8	3	紫色	极品	icoBg3	远古白金龙	30038	0	223	9	45	[1,1]	[(26924,3),(26925,3)]	6885	0	0	2295	2295	0	2295	350	350	0	0	350	350	0	0
8	4	橙色	传说	icoBg5	远古白金龙	30038	42	361	3	73	[1,1]	[(26924,4),(26925,4)]	10935	0	0	3645	3645	0	3645	500	500	0	0	500	500	0	0
8	5	红色	史诗	icoBg6	远古白金龙	30038	0	0	0	0	[1,1]		16200	0	0	5400	5400	0	5400	700	700	0	0	700	700	0	0
9	1	绿色	普通	icoBg1	远古龙巫妖	30040	0	89	60	18	[1,1]	[(26924,1),(26925,1)]	1800	0	0	600	600	0	600	100	100	0	0	100	100	0	0
9	2	蓝色	优秀	icoBg2	远古龙巫妖	30040	0	134	25	27	[1,1]	[(26924,2),(26925,2)]	4200	0	0	1400	1400	0	1400	200	200	0	0	200	200	0	0
9	3	紫色	极品	icoBg3	远古龙巫妖	30040	20	267	6	54	[1,1]	[(26924,3),(26925,3)]	7140	0	0	2380	2380	0	2380	350	350	0	0	350	350	0	0
9	4	橙色	传说	icoBg5	远古龙巫妖	30040	50	434	2	87	[1,1]	[(26924,4),(26925,4)]	11340	0	0	3780	3780	0	3780	500	500	0	0	500	500	0	0
9	5	红色	史诗	icoBg6	远古龙巫妖	30040	0	0	0	0	[1,1]		16800	0	0	5600	5600	0	5600	700	700	0	0	700	700	0	0
