coding	name	dragonId	needLevel	grade	posType	canActivate	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
26777	天·金龙角	5	45	2	1	1	0	0	0	600	0	0	0	0	0	0	0	0	0	0	0
26778	天·金龙甲	5	45	2	2	1	1800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26779	天·金龙骨	5	45	2	3	1	0	0	0	300	600	0	0	0	0	0	0	0	0	0	0
26780	天·金龙尾	5	45	2	4	1	900	0	0	0	600	0	0	0	0	0	0	0	0	0	0
26781	天·金龙牙	5	45	2	5	1	0	0	0	300	0	0	600	0	0	0	0	0	0	0	0
26782	天·金龙爪	5	45	2	6	1	900	0	0	0	0	0	600	0	0	0	0	0	0	0	0
26783	雷·金龙角	5	45	3	1	0	0	0	0	840	0	0	0	0	0	0	0	0	0	0	0
26784	雷·金龙甲	5	45	3	2	0	2520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26785	雷·金龙骨	5	45	3	3	0	0	0	0	420	840	0	0	0	0	0	0	0	0	0	0
26786	雷·金龙尾	5	45	3	4	0	1260	0	0	0	840	0	0	0	0	0	0	0	0	0	0
26787	雷·金龙牙	5	45	3	5	0	0	0	0	420	0	0	840	0	0	0	0	0	0	0	0
26788	雷·金龙爪	5	45	3	6	0	1260	0	0	0	0	0	840	0	0	0	0	0	0	0	0
26789	地·金龙角	5	45	4	1	0	0	0	0	1050	0	0	0	0	0	0	0	0	0	0	0
26790	地·金龙甲	5	45	4	2	0	3150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26791	地·金龙骨	5	45	4	3	0	0	0	0	525	1050	0	0	0	0	0	0	0	0	0	0
26792	地·金龙尾	5	45	4	4	0	1575	0	0	0	1050	0	0	0	0	0	0	0	0	0	0
26793	地·金龙牙	5	45	4	5	0	0	0	0	525	0	0	1050	0	0	0	0	0	0	0	0
26794	地·金龙爪	5	45	4	6	0	1575	0	0	0	0	0	1050	0	0	0	0	0	0	0	0
26795	火·金龙角	5	45	5	1	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	0	0
26796	火·金龙甲	5	45	5	2	0	4050	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26797	火·金龙骨	5	45	5	3	0	0	0	0	675	1350	0	0	0	0	0	0	0	0	0	0
26798	火·金龙尾	5	45	5	4	0	2025	0	0	0	1350	0	0	0	0	0	0	0	0	0	0
26799	火·金龙牙	5	45	5	5	0	0	0	0	675	0	0	1350	0	0	0	0	0	0	0	0
26800	火·金龙爪	5	45	5	6	0	2025	0	0	0	0	0	1350	0	0	0	0	0	0	0	0
26801	天·黑龙角	6	45	2	1	1	0	0	0	625	0	0	0	0	0	0	0	0	0	0	0
26802	天·黑龙甲	6	45	2	2	1	1875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26803	天·黑龙骨	6	45	2	3	1	0	0	0	312	625	0	0	0	0	0	0	0	0	0	0
26804	天·黑龙尾	6	45	2	4	1	937	0	0	0	625	0	0	0	0	0	0	0	0	0	0
26805	天·黑龙牙	6	45	2	5	1	0	0	0	312	0	0	625	0	0	0	0	0	0	0	0
26806	天·黑龙爪	6	45	2	6	1	937	0	0	0	0	0	625	0	0	0	0	0	0	0	0
26807	雷·黑龙角	6	45	3	1	0	0	0	0	875	0	0	0	0	0	0	0	0	0	0	0
26808	雷·黑龙甲	6	45	3	2	0	2625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26809	雷·黑龙骨	6	45	3	3	0	0	0	0	437	875	0	0	0	0	0	0	0	0	0	0
26810	雷·黑龙尾	6	45	3	4	0	1312	0	0	0	875	0	0	0	0	0	0	0	0	0	0
26811	雷·黑龙牙	6	45	3	5	0	0	0	0	437	0	0	875	0	0	0	0	0	0	0	0
26812	雷·黑龙爪	6	45	3	6	0	1312	0	0	0	0	0	875	0	0	0	0	0	0	0	0
26813	地·黑龙角	6	45	4	1	0	0	0	0	1093	0	0	0	0	0	0	0	0	0	0	0
26814	地·黑龙甲	6	45	4	2	0	3281	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26815	地·黑龙骨	6	45	4	3	0	0	0	0	546	1093	0	0	0	0	0	0	0	0	0	0
26816	地·黑龙尾	6	45	4	4	0	1640	0	0	0	1093	0	0	0	0	0	0	0	0	0	0
26817	地·黑龙牙	6	45	4	5	0	0	0	0	546	0	0	1093	0	0	0	0	0	0	0	0
26818	地·黑龙爪	6	45	4	6	0	1640	0	0	0	0	0	1093	0	0	0	0	0	0	0	0
26819	火·黑龙角	6	45	5	1	0	0	0	0	1406	0	0	0	0	0	0	0	0	0	0	0
26820	火·黑龙甲	6	45	5	2	0	4218	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26821	火·黑龙骨	6	45	5	3	0	0	0	0	703	1406	0	0	0	0	0	0	0	0	0	0
26822	火·黑龙尾	6	45	5	4	0	2109	0	0	0	1406	0	0	0	0	0	0	0	0	0	0
26823	火·黑龙牙	6	45	5	5	0	0	0	0	703	0	0	1406	0	0	0	0	0	0	0	0
26824	火·黑龙爪	6	45	5	6	0	2109	0	0	0	0	0	1406	0	0	0	0	0	0	0	0
26825	天·彩虹龙角	7	45	2	1	1	0	0	0	650	0	0	0	0	0	0	0	0	0	0	0
26826	天·彩虹龙甲	7	45	2	2	1	1950	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26827	天·彩虹龙骨	7	45	2	3	1	0	0	0	325	650	0	0	0	0	0	0	0	0	0	0
26828	天·彩虹龙尾	7	45	2	4	1	975	0	0	0	650	0	0	0	0	0	0	0	0	0	0
26829	天·彩虹龙牙	7	45	2	5	1	0	0	0	325	0	0	650	0	0	0	0	0	0	0	0
26830	天·彩虹龙爪	7	45	2	6	1	975	0	0	0	0	0	650	0	0	0	0	0	0	0	0
26831	雷·彩虹龙角	7	45	3	1	0	0	0	0	910	0	0	0	0	0	0	0	0	0	0	0
26832	雷·彩虹龙甲	7	45	3	2	0	2730	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26833	雷·彩虹龙骨	7	45	3	3	0	0	0	0	455	910	0	0	0	0	0	0	0	0	0	0
26834	雷·彩虹龙尾	7	45	3	4	0	1365	0	0	0	910	0	0	0	0	0	0	0	0	0	0
26835	雷·彩虹龙牙	7	45	3	5	0	0	0	0	455	0	0	910	0	0	0	0	0	0	0	0
26836	雷·彩虹龙爪	7	45	3	6	0	1365	0	0	0	0	0	910	0	0	0	0	0	0	0	0
26837	地·彩虹龙角	7	45	4	1	0	0	0	0	1137	0	0	0	0	0	0	0	0	0	0	0
26838	地·彩虹龙甲	7	45	4	2	0	3412	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26839	地·彩虹龙骨	7	45	4	3	0	0	0	0	568	1137	0	0	0	0	0	0	0	0	0	0
26840	地·彩虹龙尾	7	45	4	4	0	1706	0	0	0	1137	0	0	0	0	0	0	0	0	0	0
26841	地·彩虹龙牙	7	45	4	5	0	0	0	0	568	0	0	1137	0	0	0	0	0	0	0	0
26842	地·彩虹龙爪	7	45	4	6	0	1706	0	0	0	0	0	1137	0	0	0	0	0	0	0	0
26843	火·彩虹龙角	7	45	5	1	0	0	0	0	1462	0	0	0	0	0	0	0	0	0	0	0
26844	火·彩虹龙甲	7	45	5	2	0	4387	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26845	火·彩虹龙骨	7	45	5	3	0	0	0	0	731	1462	0	0	0	0	0	0	0	0	0	0
26846	火·彩虹龙尾	7	45	5	4	0	2193	0	0	0	1462	0	0	0	0	0	0	0	0	0	0
26847	火·彩虹龙牙	7	45	5	5	0	0	0	0	731	0	0	1462	0	0	0	0	0	0	0	0
26848	火·彩虹龙爪	7	45	5	6	0	2193	0	0	0	0	0	1462	0	0	0	0	0	0	0	0
26849	天·白金龙角	8	45	2	1	1	0	0	0	675	0	0	0	0	0	0	0	0	0	0	0
26850	天·白金龙甲	8	45	2	2	1	2025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26851	天·白金龙骨	8	45	2	3	1	0	0	0	337	675	0	0	0	0	0	0	0	0	0	0
26852	天·白金龙尾	8	45	2	4	1	1012	0	0	0	675	0	0	0	0	0	0	0	0	0	0
26853	天·白金龙牙	8	45	2	5	1	0	0	0	337	0	0	675	0	0	0	0	0	0	0	0
26854	天·白金龙爪	8	45	2	6	1	1012	0	0	0	0	0	675	0	0	0	0	0	0	0	0
26855	雷·白金龙角	8	45	3	1	0	0	0	0	945	0	0	0	0	0	0	0	0	0	0	0
26856	雷·白金龙甲	8	45	3	2	0	2835	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26857	雷·白金龙骨	8	45	3	3	0	0	0	0	472	945	0	0	0	0	0	0	0	0	0	0
26858	雷·白金龙尾	8	45	3	4	0	1417	0	0	0	945	0	0	0	0	0	0	0	0	0	0
26859	雷·白金龙牙	8	45	3	5	0	0	0	0	472	0	0	945	0	0	0	0	0	0	0	0
26860	雷·白金龙爪	8	45	3	6	0	1417	0	0	0	0	0	945	0	0	0	0	0	0	0	0
26861	地·白金龙角	8	45	4	1	0	0	0	0	1181	0	0	0	0	0	0	0	0	0	0	0
26862	地·白金龙甲	8	45	4	2	0	3543	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26863	地·白金龙骨	8	45	4	3	0	0	0	0	590	1181	0	0	0	0	0	0	0	0	0	0
26864	地·白金龙尾	8	45	4	4	0	1771	0	0	0	1181	0	0	0	0	0	0	0	0	0	0
26865	地·白金龙牙	8	45	4	5	0	0	0	0	590	0	0	1181	0	0	0	0	0	0	0	0
26866	地·白金龙爪	8	45	4	6	0	1771	0	0	0	0	0	1181	0	0	0	0	0	0	0	0
26867	火·白金龙角	8	45	5	1	0	0	0	0	1518	0	0	0	0	0	0	0	0	0	0	0
26868	火·白金龙甲	8	45	5	2	0	4556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26869	火·白金龙骨	8	45	5	3	0	0	0	0	759	1518	0	0	0	0	0	0	0	0	0	0
26870	火·白金龙尾	8	45	5	4	0	2278	0	0	0	1518	0	0	0	0	0	0	0	0	0	0
26871	火·白金龙牙	8	45	5	5	0	0	0	0	759	0	0	1518	0	0	0	0	0	0	0	0
26872	火·白金龙爪	8	45	5	6	0	2278	0	0	0	0	0	1518	0	0	0	0	0	0	0	0
26873	天·巫妖龙角	9	45	2	1	1	0	0	0	700	0	0	0	0	0	0	0	0	0	0	0
26874	天·巫妖龙甲	9	45	2	2	1	2100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26875	天·巫妖龙骨	9	45	2	3	1	0	0	0	350	700	0	0	0	0	0	0	0	0	0	0
26876	天·巫妖龙尾	9	45	2	4	1	1050	0	0	0	700	0	0	0	0	0	0	0	0	0	0
26877	天·巫妖龙牙	9	45	2	5	1	0	0	0	350	0	0	700	0	0	0	0	0	0	0	0
26878	天·巫妖龙爪	9	45	2	6	1	1050	0	0	0	0	0	700	0	0	0	0	0	0	0	0
26879	雷·巫妖龙角	9	45	3	1	0	0	0	0	980	0	0	0	0	0	0	0	0	0	0	0
26880	雷·巫妖龙甲	9	45	3	2	0	2940	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26881	雷·巫妖龙骨	9	45	3	3	0	0	0	0	490	980	0	0	0	0	0	0	0	0	0	0
26882	雷·巫妖龙尾	9	45	3	4	0	1470	0	0	0	980	0	0	0	0	0	0	0	0	0	0
26883	雷·巫妖龙牙	9	45	3	5	0	0	0	0	490	0	0	980	0	0	0	0	0	0	0	0
26884	雷·巫妖龙爪	9	45	3	6	0	1470	0	0	0	0	0	980	0	0	0	0	0	0	0	0
26885	地·巫妖龙角	9	45	4	1	0	0	0	0	1225	0	0	0	0	0	0	0	0	0	0	0
26886	地·巫妖龙甲	9	45	4	2	0	3675	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26887	地·巫妖龙骨	9	45	4	3	0	0	0	0	612	1225	0	0	0	0	0	0	0	0	0	0
26888	地·巫妖龙尾	9	45	4	4	0	1837	0	0	0	1225	0	0	0	0	0	0	0	0	0	0
26889	地·巫妖龙牙	9	45	4	5	0	0	0	0	612	0	0	1225	0	0	0	0	0	0	0	0
26890	地·巫妖龙爪	9	45	4	6	0	1837	0	0	0	0	0	1225	0	0	0	0	0	0	0	0
26891	火·巫妖龙角	9	45	5	1	0	0	0	0	1575	0	0	0	0	0	0	0	0	0	0	0
26892	火·巫妖龙甲	9	45	5	2	0	4725	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26893	火·巫妖龙骨	9	45	5	3	0	0	0	0	787	1575	0	0	0	0	0	0	0	0	0	0
26894	火·巫妖龙尾	9	45	5	4	0	2362	0	0	0	1575	0	0	0	0	0	0	0	0	0	0
26895	火·巫妖龙牙	9	45	5	5	0	0	0	0	787	0	0	1575	0	0	0	0	0	0	0	0
26896	火·巫妖龙爪	9	45	5	6	0	2362	0	0	0	0	0	1575	0	0	0	0	0	0	0	0
