killCnt	minLevel	maxLevel	rewardMoney	rewardExp	rewardMoney_fcm	rewardExp_fcm
117	30	39	148600	103200	74300	51600
118	30	39	148900	103400	74450	51700
119	30	39	149200	103600	74600	51800
120	30	39	149500	103800	74750	51900
121	30	39	149800	104000	74900	52000
122	30	39	150100	104200	75050	52100
123	30	39	150400	104400	75200	52200
124	30	39	150700	104600	75350	52300
125	30	39	151000	104800	75500	52400
126	30	39	151300	105000	75650	52500
127	30	39	151600	105200	75800	52600
128	30	39	151900	105400	75950	52700
129	30	39	152200	105600	76100	52800
130	30	39	152500	105800	76250	52900
131	30	39	152800	106000	76400	53000
132	30	39	153100	106200	76550	53100
133	30	39	153400	106400	76700	53200
134	30	39	153700	106600	76850	53300
135	30	39	154000	106800	77000	53400
136	30	39	154300	107000	77150	53500
137	30	39	154600	107200	77300	53600
138	30	39	154900	107400	77450	53700
139	30	39	155200	107600	77600	53800
140	30	39	155500	107800	77750	53900
141	30	39	155800	108000	77900	54000
142	30	39	156100	108200	78050	54100
143	30	39	156400	108400	78200	54200
144	30	39	156700	108600	78350	54300
145	30	39	157000	108800	78500	54400
146	30	39	157300	109000	78650	54500
147	30	39	157600	109200	78800	54600
148	30	39	157900	109400	78950	54700
149	30	39	158200	109600	79100	54800
150	30	39	158500	109800	79250	54900
151	30	39	158800	110000	79400	55000
152	30	39	159100	110200	79550	55100
153	30	39	159400	110400	79700	55200
154	30	39	159700	110600	79850	55300
155	30	39	160000	110800	80000	55400
156	30	39	160300	111000	80150	55500
157	30	39	160600	111200	80300	55600
158	30	39	160900	111400	80450	55700
159	30	39	161200	111600	80600	55800
160	30	39	161500	111800	80750	55900
161	30	39	161800	112000	80900	56000
162	30	39	162100	112200	81050	56100
163	30	39	162400	112400	81200	56200
164	30	39	162700	112600	81350	56300
165	30	39	163000	112800	81500	56400
166	30	39	163300	113000	81650	56500
167	30	39	163600	113200	81800	56600
168	30	39	163900	113400	81950	56700
169	30	39	164200	113600	82100	56800
170	30	39	164500	113800	82250	56900
171	30	39	164800	114000	82400	57000
172	30	39	165100	114200	82550	57100
173	30	39	165400	114400	82700	57200
174	30	39	165700	114600	82850	57300
175	30	39	166000	114800	83000	57400
176	30	39	166300	115000	83150	57500
177	30	39	166600	115200	83300	57600
178	30	39	166900	115400	83450	57700
179	30	39	167200	115600	83600	57800
180	30	39	167500	115800	83750	57900
181	30	39	167800	116000	83900	58000
182	30	39	168100	116200	84050	58100
183	30	39	168400	116400	84200	58200
184	30	39	168700	116600	84350	58300
185	30	39	169000	116800	84500	58400
186	30	39	169300	117000	84650	58500
187	30	39	169600	117200	84800	58600
188	30	39	169900	117400	84950	58700
189	30	39	170200	117600	85100	58800
190	30	39	170500	117800	85250	58900
191	30	39	170800	118000	85400	59000
192	30	39	171100	118200	85550	59100
193	30	39	171400	118400	85700	59200
194	30	39	171700	118600	85850	59300
195	30	39	172000	118800	86000	59400
196	30	39	172300	119000	86150	59500
197	30	39	172600	119200	86300	59600
198	30	39	172900	119400	86450	59700
199	30	39	173200	119600	86600	59800
200	30	39	173500	119800	86750	59900
201	30	39	173800	120000	86900	60000
202	30	39	174100	120200	87050	60100
203	30	39	174400	120400	87200	60200
204	30	39	174700	120600	87350	60300
205	30	39	175000	120800	87500	60400
206	30	39	175300	121000	87650	60500
207	30	39	175600	121200	87800	60600
208	30	39	175900	121400	87950	60700
209	30	39	176200	121600	88100	60800
210	30	39	176500	121800	88250	60900
211	30	39	176800	122000	88400	61000
212	30	39	177100	122200	88550	61100
213	30	39	177400	122400	88700	61200
214	30	39	177700	122600	88850	61300
215	30	39	178000	122800	89000	61400
216	30	39	178300	123000	89150	61500
217	30	39	178600	123200	89300	61600
218	30	39	178900	123400	89450	61700
219	30	39	179200	123600	89600	61800
220	30	39	179500	123800	89750	61900
221	30	39	179800	124000	89900	62000
222	30	39	180100	124200	90050	62100
223	30	39	180400	124400	90200	62200
224	30	39	180700	124600	90350	62300
225	30	39	181000	124800	90500	62400
226	30	39	181300	125000	90650	62500
227	30	39	181600	125200	90800	62600
228	30	39	181900	125400	90950	62700
229	30	39	182200	125600	91100	62800
230	30	39	182500	125800	91250	62900
231	30	39	182800	126000	91400	63000
232	30	39	183100	126200	91550	63100
233	30	39	183400	126400	91700	63200
234	30	39	183700	126600	91850	63300
235	30	39	184000	126800	92000	63400
236	30	39	184300	127000	92150	63500
237	30	39	184600	127200	92300	63600
238	30	39	184900	127400	92450	63700
239	30	39	185200	127600	92600	63800
240	30	39	185500	127800	92750	63900
241	30	39	185800	128000	92900	64000
242	30	39	186100	128200	93050	64100
243	30	39	186400	128400	93200	64200
244	30	39	186700	128600	93350	64300
245	30	39	187000	128800	93500	64400
246	30	39	187300	129000	93650	64500
247	30	39	187600	129200	93800	64600
248	30	39	187900	129400	93950	64700
249	30	39	188200	129600	94100	64800
250	30	39	188500	129800	94250	64900
251	30	39	188800	130000	94400	65000
252	30	39	189100	130200	94550	65100
253	30	39	189400	130400	94700	65200
254	30	39	189700	130600	94850	65300
255	30	39	190000	130800	95000	65400
256	30	39	190300	131000	95150	65500
257	30	39	190600	131200	95300	65600
258	30	39	190900	131400	95450	65700
259	30	39	191200	131600	95600	65800
260	30	39	191500	131800	95750	65900
261	30	39	191800	132000	95900	66000
262	30	39	192100	132200	96050	66100
263	30	39	192400	132400	96200	66200
264	30	39	192700	132600	96350	66300
265	30	39	193000	132800	96500	66400
266	30	39	193300	133000	96650	66500
267	30	39	193600	133200	96800	66600
268	30	39	193900	133400	96950	66700
269	30	39	194200	133600	97100	66800
270	30	39	194500	133800	97250	66900
271	30	39	194800	134000	97400	67000
272	30	39	195100	134200	97550	67100
273	30	39	195400	134400	97700	67200
274	30	39	195700	134600	97850	67300
275	30	39	196000	134800	98000	67400
276	30	39	196300	135000	98150	67500
277	30	39	196600	135200	98300	67600
278	30	39	196900	135400	98450	67700
279	30	39	197200	135600	98600	67800
280	30	39	197500	135800	98750	67900
281	30	39	197800	136000	98900	68000
282	30	39	198100	136200	99050	68100
283	30	39	198400	136400	99200	68200
284	30	39	198700	136600	99350	68300
285	30	39	199000	136800	99500	68400
286	30	39	199300	137000	99650	68500
287	30	39	199600	137200	99800	68600
288	30	39	199900	137400	99950	68700
289	30	39	200200	137600	100100	68800
290	30	39	200500	137800	100250	68900
291	30	39	200800	138000	100400	69000
292	30	39	201100	138200	100550	69100
293	30	39	201400	138400	100700	69200
294	30	39	201700	138600	100850	69300
295	30	39	202000	138800	101000	69400
296	30	39	202300	139000	101150	69500
297	30	39	202600	139200	101300	69600
298	30	39	202900	139400	101450	69700
299	30	39	203200	139600	101600	69800
300	30	39	203500	139800	101750	69900
301	30	39	203800	140000	101900	70000
302	30	39	204100	140200	102050	70100
303	30	39	204400	140400	102200	70200
304	30	39	204700	140600	102350	70300
305	30	39	205000	140800	102500	70400
306	30	39	205300	141000	102650	70500
307	30	39	205600	141200	102800	70600
308	30	39	205900	141400	102950	70700
309	30	39	206200	141600	103100	70800
310	30	39	206500	141800	103250	70900
311	30	39	206800	142000	103400	71000
312	30	39	207100	142200	103550	71100
313	30	39	207400	142400	103700	71200
314	30	39	207700	142600	103850	71300
315	30	39	208000	142800	104000	71400
316	30	39	208300	143000	104150	71500
317	30	39	208600	143200	104300	71600
318	30	39	208900	143400	104450	71700
319	30	39	209200	143600	104600	71800
320	30	39	209500	143800	104750	71900
321	30	39	209800	144000	104900	72000
322	30	39	210100	144200	105050	72100
323	30	39	210400	144400	105200	72200
324	30	39	210700	144600	105350	72300
325	30	39	211000	144800	105500	72400
326	30	39	211300	145000	105650	72500
327	30	39	211600	145200	105800	72600
328	30	39	211900	145400	105950	72700
329	30	39	212200	145600	106100	72800
330	30	39	212500	145800	106250	72900
331	30	39	212800	146000	106400	73000
332	30	39	213100	146200	106550	73100
333	30	39	213400	146400	106700	73200
334	30	39	213700	146600	106850	73300
335	30	39	214000	146800	107000	73400
336	30	39	214300	147000	107150	73500
337	30	39	214600	147200	107300	73600
338	30	39	214900	147400	107450	73700
339	30	39	215200	147600	107600	73800
340	30	39	215500	147800	107750	73900
341	30	39	215800	148000	107900	74000
342	30	39	216100	148200	108050	74100
343	30	39	216400	148400	108200	74200
344	30	39	216700	148600	108350	74300
345	30	39	217000	148800	108500	74400
346	30	39	217300	149000	108650	74500
347	30	39	217600	149200	108800	74600
348	30	39	217900	149400	108950	74700
349	30	39	218200	149600	109100	74800
350	30	39	218500	149800	109250	74900
351	30	39	218800	150000	109400	75000
352	30	39	219100	150200	109550	75100
353	30	39	219400	150400	109700	75200
354	30	39	219700	150600	109850	75300
355	30	39	220000	150800	110000	75400
356	30	39	220300	151000	110150	75500
357	30	39	220600	151200	110300	75600
358	30	39	220900	151400	110450	75700
359	30	39	221200	151600	110600	75800
360	30	39	221500	151800	110750	75900
361	30	39	221800	152000	110900	76000
362	30	39	222100	152200	111050	76100
363	30	39	222400	152400	111200	76200
364	30	39	222700	152600	111350	76300
365	30	39	223000	152800	111500	76400
366	30	39	223300	153000	111650	76500
367	30	39	223600	153200	111800	76600
368	30	39	223900	153400	111950	76700
369	30	39	224200	153600	112100	76800
370	30	39	224500	153800	112250	76900
371	30	39	224800	154000	112400	77000
372	30	39	225100	154200	112550	77100
373	30	39	225400	154400	112700	77200
374	30	39	225700	154600	112850	77300
375	30	39	226000	154800	113000	77400
376	30	39	226300	155000	113150	77500
377	30	39	226600	155200	113300	77600
378	30	39	226900	155400	113450	77700
379	30	39	227200	155600	113600	77800
380	30	39	227500	155800	113750	77900
381	30	39	227800	156000	113900	78000
382	30	39	228100	156200	114050	78100
383	30	39	228400	156400	114200	78200
384	30	39	228700	156600	114350	78300
385	30	39	229000	156800	114500	78400
386	30	39	229300	157000	114650	78500
387	30	39	229600	157200	114800	78600
388	30	39	229900	157400	114950	78700
389	30	39	230200	157600	115100	78800
390	30	39	230500	157800	115250	78900
391	30	39	230800	158000	115400	79000
392	30	39	231100	158200	115550	79100
393	30	39	231400	158400	115700	79200
394	30	39	231700	158600	115850	79300
395	30	39	232000	158800	116000	79400
396	30	39	232300	159000	116150	79500
397	30	39	232600	159200	116300	79600
398	30	39	232900	159400	116450	79700
399	30	39	233200	159600	116600	79800
400	30	39	233500	159800	116750	79900
401	30	39	233800	160000	116900	80000
402	30	39	234100	160200	117050	80100
403	30	39	234400	160400	117200	80200
404	30	39	234700	160600	117350	80300
405	30	39	235000	160800	117500	80400
406	30	39	235300	161000	117650	80500
407	30	39	235600	161200	117800	80600
408	30	39	235900	161400	117950	80700
409	30	39	236200	161600	118100	80800
410	30	39	236500	161800	118250	80900
411	30	39	236800	162000	118400	81000
412	30	39	237100	162200	118550	81100
413	30	39	237400	162400	118700	81200
414	30	39	237700	162600	118850	81300
415	30	39	238000	162800	119000	81400
416	30	39	238300	163000	119150	81500
417	30	39	238600	163200	119300	81600
418	30	39	238900	163400	119450	81700
419	30	39	239200	163600	119600	81800
420	30	39	239500	163800	119750	81900
421	30	39	239800	164000	119900	82000
422	30	39	240100	164200	120050	82100
423	30	39	240400	164400	120200	82200
424	30	39	240700	164600	120350	82300
425	30	39	241000	164800	120500	82400
426	30	39	241300	165000	120650	82500
427	30	39	241600	165200	120800	82600
428	30	39	241900	165400	120950	82700
429	30	39	242200	165600	121100	82800
430	30	39	242500	165800	121250	82900
431	30	39	242800	166000	121400	83000
432	30	39	243100	166200	121550	83100
433	30	39	243400	166400	121700	83200
434	30	39	243700	166600	121850	83300
435	30	39	244000	166800	122000	83400
436	30	39	244300	167000	122150	83500
437	30	39	244600	167200	122300	83600
438	30	39	244900	167400	122450	83700
439	30	39	245200	167600	122600	83800
440	30	39	245500	167800	122750	83900
441	30	39	245800	168000	122900	84000
442	30	39	246100	168200	123050	84100
443	30	39	246400	168400	123200	84200
444	30	39	246700	168600	123350	84300
445	30	39	247000	168800	123500	84400
446	30	39	247300	169000	123650	84500
447	30	39	247600	169200	123800	84600
448	30	39	247900	169400	123950	84700
449	30	39	248200	169600	124100	84800
450	30	39	248500	169800	124250	84900
451	30	39	248800	170000	124400	85000
452	30	39	248800	170000	124400	85000
453	30	39	248800	170000	124400	85000
454	30	39	248800	170000	124400	85000
455	30	39	248800	170000	124400	85000
456	30	39	248800	170000	124400	85000
457	30	39	248800	170000	124400	85000
458	30	39	248800	170000	124400	85000
459	30	39	248800	170000	124400	85000
460	30	39	248800	170000	124400	85000
461	30	39	248800	170000	124400	85000
462	30	39	248800	170000	124400	85000
463	30	39	248800	170000	124400	85000
464	30	39	248800	170000	124400	85000
465	30	39	248800	170000	124400	85000
466	30	39	248800	170000	124400	85000
467	30	39	248800	170000	124400	85000
468	30	39	248800	170000	124400	85000
469	30	39	248800	170000	124400	85000
470	30	39	248800	170000	124400	85000
471	30	39	248800	170000	124400	85000
472	30	39	248800	170000	124400	85000
473	30	39	248800	170000	124400	85000
474	30	39	248800	170000	124400	85000
475	30	39	248800	170000	124400	85000
476	30	39	248800	170000	124400	85000
477	30	39	248800	170000	124400	85000
478	30	39	248800	170000	124400	85000
479	30	39	248800	170000	124400	85000
480	30	39	248800	170000	124400	85000
481	30	39	248800	170000	124400	85000
482	30	39	248800	170000	124400	85000
483	30	39	248800	170000	124400	85000
484	30	39	248800	170000	124400	85000
485	30	39	248800	170000	124400	85000
486	30	39	248800	170000	124400	85000
487	30	39	248800	170000	124400	85000
488	30	39	248800	170000	124400	85000
489	30	39	248800	170000	124400	85000
490	30	39	248800	170000	124400	85000
491	30	39	248800	170000	124400	85000
492	30	39	248800	170000	124400	85000
493	30	39	248800	170000	124400	85000
494	30	39	248800	170000	124400	85000
495	30	39	248800	170000	124400	85000
496	30	39	248800	170000	124400	85000
497	30	39	248800	170000	124400	85000
498	30	39	248800	170000	124400	85000
499	30	39	248800	170000	124400	85000
500	30	39	248800	170000	124400	85000
1	40	59	93400	68900	46700	34450
2	40	59	95000	70000	47500	35000
3	40	59	96600	71100	48300	35550
4	40	59	98200	72200	49100	36100
5	40	59	99800	73300	49900	36650
6	40	59	101400	74400	50700	37200
7	40	59	103000	75500	51500	37750
8	40	59	104600	76600	52300	38300
9	40	59	106200	77700	53100	38850
10	40	59	107800	78800	53900	39400
11	40	59	109400	79900	54700	39950
12	40	59	111000	81000	55500	40500
13	40	59	112600	82100	56300	41050
14	40	59	114200	83200	57100	41600
15	40	59	115800	84300	57900	42150
16	40	59	117400	85400	58700	42700
17	40	59	119000	86500	59500	43250
18	40	59	120600	87600	60300	43800
19	40	59	122200	88700	61100	44350
20	40	59	123800	89800	61900	44900
21	40	59	125400	90900	62700	45450
22	40	59	127000	92000	63500	46000
23	40	59	128600	93100	64300	46550
24	40	59	130200	94200	65100	47100
25	40	59	131800	95300	65900	47650
26	40	59	133400	96400	66700	48200
27	40	59	135000	97500	67500	48750
28	40	59	136600	98600	68300	49300
29	40	59	138200	99700	69100	49850
30	40	59	139800	100800	69900	50400
31	40	59	141400	101900	70700	50950
32	40	59	143000	103000	71500	51500
33	40	59	144600	104100	72300	52050
34	40	59	146200	105200	73100	52600
35	40	59	147800	106300	73900	53150
36	40	59	149400	107400	74700	53700
37	40	59	151000	108500	75500	54250
38	40	59	152600	109600	76300	54800
39	40	59	154200	110700	77100	55350
40	40	59	155800	111800	77900	55900
41	40	59	157400	112900	78700	56450
42	40	59	159000	114000	79500	57000
43	40	59	160600	115100	80300	57550
44	40	59	162200	116200	81100	58100
45	40	59	163800	117300	81900	58650
46	40	59	165400	118400	82700	59200
47	40	59	167000	119500	83500	59750
48	40	59	168600	120600	84300	60300
49	40	59	170200	121700	85100	60850
50	40	59	171800	122800	85900	61400
51	40	59	173400	123900	86700	61950
52	40	59	173900	124200	86950	62100
53	40	59	174400	124500	87200	62250
54	40	59	174900	124800	87450	62400
55	40	59	175400	125100	87700	62550
56	40	59	175900	125400	87950	62700
57	40	59	176400	125700	88200	62850
58	40	59	176900	126000	88450	63000
59	40	59	177400	126300	88700	63150
60	40	59	177900	126600	88950	63300
61	40	59	178400	126900	89200	63450
62	40	59	178900	127200	89450	63600
63	40	59	179400	127500	89700	63750
64	40	59	179900	127800	89950	63900
65	40	59	180400	128100	90200	64050
66	40	59	180900	128400	90450	64200
67	40	59	181400	128700	90700	64350
68	40	59	181900	129000	90950	64500
69	40	59	182400	129300	91200	64650
70	40	59	182900	129600	91450	64800
71	40	59	183400	129900	91700	64950
72	40	59	183900	130200	91950	65100
73	40	59	184400	130500	92200	65250
74	40	59	184900	130800	92450	65400
75	40	59	185400	131100	92700	65550
76	40	59	185900	131400	92950	65700
77	40	59	186400	131700	93200	65850
78	40	59	186900	132000	93450	66000
79	40	59	187400	132300	93700	66150
80	40	59	187900	132600	93950	66300
81	40	59	188400	132900	94200	66450
82	40	59	188900	133200	94450	66600
83	40	59	189400	133500	94700	66750
84	40	59	189900	133800	94950	66900
85	40	59	190400	134100	95200	67050
86	40	59	190900	134400	95450	67200
87	40	59	191400	134700	95700	67350
88	40	59	191900	135000	95950	67500
89	40	59	192400	135300	96200	67650
90	40	59	192900	135600	96450	67800
91	40	59	193400	135900	96700	67950
92	40	59	193900	136200	96950	68100
93	40	59	194400	136500	97200	68250
94	40	59	194900	136800	97450	68400
95	40	59	195400	137100	97700	68550
96	40	59	195900	137400	97950	68700
97	40	59	196400	137700	98200	68850
98	40	59	196900	138000	98450	69000
99	40	59	197400	138300	98700	69150
100	40	59	197900	138600	98950	69300
101	40	59	198400	138900	99200	69450
102	40	59	198900	139200	99450	69600
103	40	59	199400	139500	99700	69750
104	40	59	199900	139800	99950	69900
105	40	59	200400	140100	100200	70050
106	40	59	200900	140400	100450	70200
107	40	59	201400	140700	100700	70350
108	40	59	201900	141000	100950	70500
109	40	59	202400	141300	101200	70650
110	40	59	202900	141600	101450	70800
111	40	59	203400	141900	101700	70950
112	40	59	203900	142200	101950	71100
113	40	59	204400	142500	102200	71250
114	40	59	204900	142800	102450	71400
115	40	59	205400	143100	102700	71550
116	40	59	205900	143400	102950	71700
117	40	59	206400	143700	103200	71850
118	40	59	206900	144000	103450	72000
119	40	59	207400	144300	103700	72150
120	40	59	207900	144600	103950	72300
121	40	59	208400	144900	104200	72450
122	40	59	208900	145200	104450	72600
123	40	59	209400	145500	104700	72750
124	40	59	209900	145800	104950	72900
125	40	59	210400	146100	105200	73050
126	40	59	210900	146400	105450	73200
127	40	59	211400	146700	105700	73350
128	40	59	211900	147000	105950	73500
129	40	59	212400	147300	106200	73650
130	40	59	212900	147600	106450	73800
131	40	59	213400	147900	106700	73950
132	40	59	213900	148200	106950	74100
133	40	59	214400	148500	107200	74250
134	40	59	214900	148800	107450	74400
135	40	59	215400	149100	107700	74550
136	40	59	215900	149400	107950	74700
137	40	59	216400	149700	108200	74850
138	40	59	216900	150000	108450	75000
139	40	59	217400	150300	108700	75150
140	40	59	217900	150600	108950	75300
141	40	59	218400	150900	109200	75450
142	40	59	218900	151200	109450	75600
143	40	59	219400	151500	109700	75750
144	40	59	219900	151800	109950	75900
145	40	59	220400	152100	110200	76050
146	40	59	220900	152400	110450	76200
147	40	59	221400	152700	110700	76350
148	40	59	221900	153000	110950	76500
149	40	59	222400	153300	111200	76650
150	40	59	222900	153600	111450	76800
151	40	59	223400	153900	111700	76950
152	40	59	223900	154200	111950	77100
153	40	59	224400	154500	112200	77250
154	40	59	224900	154800	112450	77400
155	40	59	225400	155100	112700	77550
156	40	59	225900	155400	112950	77700
157	40	59	226400	155700	113200	77850
158	40	59	226900	156000	113450	78000
159	40	59	227400	156300	113700	78150
160	40	59	227900	156600	113950	78300
161	40	59	228400	156900	114200	78450
162	40	59	228900	157200	114450	78600
163	40	59	229400	157500	114700	78750
164	40	59	229900	157800	114950	78900
165	40	59	230400	158100	115200	79050
166	40	59	230900	158400	115450	79200
167	40	59	231400	158700	115700	79350
168	40	59	231900	159000	115950	79500
169	40	59	232400	159300	116200	79650
170	40	59	232900	159600	116450	79800
171	40	59	233400	159900	116700	79950
172	40	59	233900	160200	116950	80100
173	40	59	234400	160500	117200	80250
174	40	59	234900	160800	117450	80400
175	40	59	235400	161100	117700	80550
176	40	59	235900	161400	117950	80700
177	40	59	236400	161700	118200	80850
178	40	59	236900	162000	118450	81000
179	40	59	237400	162300	118700	81150
180	40	59	237900	162600	118950	81300
181	40	59	238400	162900	119200	81450
182	40	59	238900	163200	119450	81600
183	40	59	239400	163500	119700	81750
184	40	59	239900	163800	119950	81900
185	40	59	240400	164100	120200	82050
186	40	59	240900	164400	120450	82200
187	40	59	241400	164700	120700	82350
188	40	59	241900	165000	120950	82500
189	40	59	242400	165300	121200	82650
190	40	59	242900	165600	121450	82800
191	40	59	243400	165900	121700	82950
192	40	59	243900	166200	121950	83100
193	40	59	244400	166500	122200	83250
194	40	59	244900	166800	122450	83400
195	40	59	245400	167100	122700	83550
196	40	59	245900	167400	122950	83700
197	40	59	246400	167700	123200	83850
198	40	59	246900	168000	123450	84000
199	40	59	247400	168300	123700	84150
200	40	59	247900	168600	123950	84300
201	40	59	248400	168900	124200	84450
202	40	59	248900	169200	124450	84600
203	40	59	249400	169500	124700	84750
204	40	59	249900	169800	124950	84900
205	40	59	250400	170100	125200	85050
206	40	59	250900	170400	125450	85200
207	40	59	251400	170700	125700	85350
208	40	59	251900	171000	125950	85500
209	40	59	252400	171300	126200	85650
210	40	59	252900	171600	126450	85800
211	40	59	253400	171900	126700	85950
212	40	59	253900	172200	126950	86100
213	40	59	254400	172500	127200	86250
214	40	59	254900	172800	127450	86400
215	40	59	255400	173100	127700	86550
216	40	59	255900	173400	127950	86700
217	40	59	256400	173700	128200	86850
218	40	59	256900	174000	128450	87000
219	40	59	257400	174300	128700	87150
220	40	59	257900	174600	128950	87300
221	40	59	258400	174900	129200	87450
222	40	59	258900	175200	129450	87600
223	40	59	259400	175500	129700	87750
224	40	59	259900	175800	129950	87900
225	40	59	260400	176100	130200	88050
226	40	59	260900	176400	130450	88200
227	40	59	261400	176700	130700	88350
228	40	59	261900	177000	130950	88500
229	40	59	262400	177300	131200	88650
230	40	59	262900	177600	131450	88800
231	40	59	263400	177900	131700	88950
232	40	59	263900	178200	131950	89100
233	40	59	264400	178500	132200	89250
234	40	59	264900	178800	132450	89400
235	40	59	265400	179100	132700	89550
236	40	59	265900	179400	132950	89700
237	40	59	266400	179700	133200	89850
238	40	59	266900	180000	133450	90000
239	40	59	267400	180300	133700	90150
240	40	59	267900	180600	133950	90300
241	40	59	268400	180900	134200	90450
242	40	59	268900	181200	134450	90600
243	40	59	269400	181500	134700	90750
244	40	59	269900	181800	134950	90900
245	40	59	270400	182100	135200	91050
246	40	59	270900	182400	135450	91200
247	40	59	271400	182700	135700	91350
248	40	59	271900	183000	135950	91500
249	40	59	272400	183300	136200	91650
250	40	59	272900	183600	136450	91800
251	40	59	273400	183900	136700	91950
252	40	59	273900	184200	136950	92100
253	40	59	274400	184500	137200	92250
254	40	59	274900	184800	137450	92400
255	40	59	275400	185100	137700	92550
256	40	59	275900	185400	137950	92700
257	40	59	276400	185700	138200	92850
258	40	59	276900	186000	138450	93000
259	40	59	277400	186300	138700	93150
260	40	59	277900	186600	138950	93300
261	40	59	278400	186900	139200	93450
262	40	59	278900	187200	139450	93600
263	40	59	279400	187500	139700	93750
264	40	59	279900	187800	139950	93900
265	40	59	280400	188100	140200	94050
266	40	59	280900	188400	140450	94200
267	40	59	281400	188700	140700	94350
268	40	59	281900	189000	140950	94500
269	40	59	282400	189300	141200	94650
270	40	59	282900	189600	141450	94800
