heroTempleIndex	heroTempleID	stageId	needLevel	fightType	mcid	rewardMoney	rewardMoney_fcm	rewardItems	rewardItems_fcm	reward	reward_fcm	randomRewardCoding	rate	rate_fcm	templeText	templeText_US	header	monsterRes	templeName
10	2	5	80	31	10010	436500	218250	[(25641, 13),(25714, 1)]	[(25641, 7),(25714, 1)]	[(25641, 13),(25714, 1)]	[(25641, 7),(25714, 1)]	0	[]	[]	Ylsd_hsyj	Ylsd_hsyj_US	5007	5007	幻术妖姬
11	3	1	80	31	10011	463500	231750	[(25641, 14)]	[(25641, 7)]	[(25641, 14)]	[(25641, 7)]	0	[]	[]	Ylsd_zzzw	Ylsd_zzzw_US	5002	30003	战争之王
12	3	2	80	31	10012	477000	238500	[(25641, 14)]	[(25641, 7)]	[(25641, 14)]	[(25641, 7)]	0	[]	[]	Ylsd_zzzw	Ylsd_zzzw_US	5002	30003	战争之王
13	3	3	80	31	10013	490500	245250	[(25641, 15)]	[(25641, 8)]	[(25641, 15)]	[(25641, 8)]	0	[]	[]	Ylsd_zzzw	Ylsd_zzzw_US	5002	30003	战争之王
14	3	4	80	31	10014	504000	252000	[(25641, 15)]	[(25641, 8)]	[(25641, 15)]	[(25641, 8)]	0	[]	[]	Ylsd_zzzw	Ylsd_zzzw_US	5002	30003	战争之王
15	3	5	80	31	10015	517500	258750	[(25641, 16),(25713, 1)]	[(25641, 8),(25713, 1)]	[(25641, 16),(25713, 1)]	[(25641, 8),(25713, 1)]	0	[]	[]	Ylsd_zzzw	Ylsd_zzzw_US	5002	5002	战争之王
16	4	1	80	31	10016	531000	265500	[(25641, 16)]	[(25641, 8)]	[(25641, 16)]	[(25641, 8)]	0	[]	[]	Ylsd_dfs	Ylsd_dfs_US	5003	30001	大法师
17	4	2	80	31	10017	544500	272250	[(25641, 16)]	[(25641, 8)]	[(25641, 16)]	[(25641, 8)]	0	[]	[]	Ylsd_dfs	Ylsd_dfs_US	5003	30001	大法师
18	4	3	80	31	10018	558000	279000	[(25641, 17)]	[(25641, 9)]	[(25641, 17)]	[(25641, 9)]	0	[]	[]	Ylsd_dfs	Ylsd_dfs_US	5003	30001	大法师
19	4	4	80	31	10019	571500	285750	[(25641, 17)]	[(25641, 9)]	[(25641, 17)]	[(25641, 9)]	0	[]	[]	Ylsd_dfs	Ylsd_dfs_US	5003	30001	大法师
20	4	5	80	31	10020	585000	292500	[(25641, 18),(26125, 1)]	[(25641, 9),(26125, 1)]	[(25641, 18)]	[(25641, 9)]	26125	[(1, 1000), (2, 1000), (3, 1000), (4, 1000), (5, 1000)]	[(1, 1000), (2, 1000), (3, 1000), (4, 0), (5, 0)]	Ylsd_dfs	Ylsd_dfs_US	5003	5003	大法师
21	5	1	80	31	10021	598500	299250	[(25641, 18)]	[(25641, 9)]	[(25641, 18)]	[(25641, 9)]	0	[]	[]	Ylsd_szszw	Ylsd_szszw_US	5008	20006	神·众神之王
22	5	2	80	31	10022	612000	306000	[(25641, 18)]	[(25641, 9)]	[(25641, 18)]	[(25641, 9)]	0	[]	[]	Ylsd_szszw	Ylsd_szszw_US	5008	20006	神·众神之王
23	5	3	80	31	10023	625500	312750	[(25641, 19)]	[(25641, 10)]	[(25641, 19)]	[(25641, 10)]	0	[]	[]	Ylsd_szszw	Ylsd_szszw_US	5008	20006	神·众神之王
24	5	4	80	31	10024	639000	319500	[(25641, 19)]	[(25641, 10)]	[(25641, 19)]	[(25641, 10)]	0	[]	[]	Ylsd_szszw	Ylsd_szszw_US	5008	20006	神·众神之王
25	5	5	80	31	10025	652500	326250	[(25641, 20),(25715, 1)]	[(25641, 10),(25715, 1)]	[(25641, 20),(25715, 1)]	[(25641, 10),(25715, 1)]	0	[]	[]	Ylsd_szszw	Ylsd_szszw_US	5008	5008	神·众神之王
26	6	1	80	31	10026	666000	333000	[(25641, 20)]	[(25641, 10)]	[(25641, 20)]	[(25641, 10)]	0	[]	[]	Ylsd_sdfs	Ylsd_sdfs_US	5003	30001	神·大法师
27	6	2	80	31	10027	679500	339750	[(25641, 20)]	[(25641, 10)]	[(25641, 20)]	[(25641, 10)]	0	[]	[]	Ylsd_sdfs	Ylsd_sdfs_US	5003	30001	神·大法师
28	6	3	80	31	10028	693000	346500	[(25641, 21)]	[(25641, 11)]	[(25641, 21)]	[(25641, 11)]	0	[]	[]	Ylsd_sdfs	Ylsd_sdfs_US	5003	30001	神·大法师
29	6	4	80	31	10029	706500	353250	[(25641, 21)]	[(25641, 11)]	[(25641, 21)]	[(25641, 11)]	0	[]	[]	Ylsd_sdfs	Ylsd_sdfs_US	5003	30001	神·大法师
30	6	5	80	31	10030	720000	360000	[(25641, 22),(25716, 1)]	[(25641, 11),(25716, 1)]	[(25641, 22),(25716, 1)]	[(25641, 11),(25716, 1)]	0	[]	[]	Ylsd_sdfs	Ylsd_sdfs_US	5003	5003	神·大法师
31	7	1	80	31	10031	768293	384147	[(25641, 22)]	[(25641, 11)]	[(25641, 22)]	[(25641, 11)]	0	[]	[]	Ylsd_lyzs	Ylsd_lyzs_US	5011	20006	烈焰女神
32	7	2	80	31	10032	782143	391072	[(25641, 22)]	[(25641, 11)]	[(25641, 22)]	[(25641, 11)]	0	[]	[]	Ylsd_lyzs	Ylsd_lyzs_US	5011	20006	烈焰女神
33	7	3	80	31	10033	795349	397675	[(25641, 22)]	[(25641, 11)]	[(25641, 22)]	[(25641, 11)]	0	[]	[]	Ylsd_lyzs	Ylsd_lyzs_US	5011	20006	烈焰女神
34	7	4	80	31	10034	807955	403978	[(25641, 22)]	[(25641, 11)]	[(25641, 22)]	[(25641, 11)]	0	[]	[]	Ylsd_lyzs	Ylsd_lyzs_US	5011	20006	烈焰女神
35	7	5	80	31	10035	820000	410000	[(25641, 25),(26126, 1)]	[(25641, 13),(26126, 1)]	[(25641, 25)]	[(25641, 13)]	26126	[(1, 1000), (2, 1000), (3, 1000), (4, 1000), (5, 1000)]	[(1, 1000), (2, 1000), (3, 1000), (4, 0), (5, 0)]	Ylsd_lyzs	Ylsd_lyzs_US	5011	5011	烈焰女神
36	8	1	80	31	10036	831522	415761	[(25641, 25)]	[(25641, 13)]	[(25641, 25)]	[(25641, 13)]	0	[]	[]	Ylsd_dyfw	Ylsd_dyfw_US	5009	20044	地狱斧王
37	8	2	80	31	10037	842554	421277	[(25641, 25)]	[(25641, 13)]	[(25641, 25)]	[(25641, 13)]	0	[]	[]	Ylsd_dyfw	Ylsd_dyfw_US	5009	20044	地狱斧王
38	8	3	80	31	10038	853125	426563	[(25641, 25)]	[(25641, 13)]	[(25641, 25)]	[(25641, 13)]	0	[]	[]	Ylsd_dyfw	Ylsd_dyfw_US	5009	20044	地狱斧王
39	8	4	80	31	10039	863266	431633	[(25641, 25)]	[(25641, 13)]	[(25641, 25)]	[(25641, 13)]	0	[]	[]	Ylsd_dyfw	Ylsd_dyfw_US	5009	20044	地狱斧王
40	8	5	80	31	10040	873000	436500	[(25641, 28),(25717, 1)]	[(25641, 14),(25717, 1)]	[(25641, 28),(25717, 1)]	[(25641, 14),(25717, 1)]	0	[]	[]	Ylsd_dyfw	Ylsd_dyfw_US	5009	5009	地狱斧王
41	9	1	100	31	10041	908824	454412	[(25641, 28)]	[(25641, 14)]	[(25641, 28)]	[(25641, 14)]	0	[]	[]	Ylsd_hbnw	Ylsd_hbnw_US	5010	30003	寒冰女巫
42	9	2	100	31	10042	917308	458654	[(25641, 28)]	[(25641, 14)]	[(25641, 28)]	[(25641, 14)]	0	[]	[]	Ylsd_hbnw	Ylsd_hbnw_US	5010	30003	寒冰女巫
43	9	3	100	31	10043	925472	462736	[(25641, 28)]	[(25641, 14)]	[(25641, 28)]	[(25641, 14)]	0	[]	[]	Ylsd_hbnw	Ylsd_hbnw_US	5010	30003	寒冰女巫
44	9	4	100	31	10044	933334	466667	[(25641, 28)]	[(25641, 14)]	[(25641, 28)]	[(25641, 14)]	0	[]	[]	Ylsd_hbnw	Ylsd_hbnw_US	5010	30003	寒冰女巫
45	9	5	100	31	10045	940910	470455	[(25641, 32),(25718, 1)]	[(25641, 16),(25718, 1)]	[(25641, 32),(25718, 1)]	[(25641, 16),(25718, 1)]	0	[]	[]	Ylsd_hbnw	Ylsd_hbnw_US	5010	5010	寒冰女巫
46	10	1	100	31	10046	948215	474108	[(25641, 32)]	[(25641, 16)]	[(25641, 32)]	[(25641, 16)]	0	[]	[]	Ylsd_slyzs	Ylsd_slyzs_US	5011	20006	神·烈焰女神
47	10	2	100	31	10047	955264	477632	[(25641, 32)]	[(25641, 16)]	[(25641, 32)]	[(25641, 16)]	0	[]	[]	Ylsd_slyzs	Ylsd_slyzs_US	5011	20006	神·烈焰女神
48	10	3	100	31	10048	962069	481035	[(25641, 32)]	[(25641, 16)]	[(25641, 32)]	[(25641, 16)]	0	[]	[]	Ylsd_slyzs	Ylsd_slyzs_US	5011	20006	神·烈焰女神
49	10	4	100	31	10049	968645	484323	[(25641, 32)]	[(25641, 16)]	[(25641, 32)]	[(25641, 16)]	0	[]	[]	Ylsd_slyzs	Ylsd_slyzs_US	5011	20006	神·烈焰女神
50	10	5	100	31	10050	975000	487500	[(25641, 32),(25719, 1)]	[(25641, 16),(25719, 1)]	[(25641, 32),(25719, 1)]	[(25641, 16),(25719, 1)]	0	[]	[]	Ylsd_slyzs	Ylsd_slyzs_US	5011	5011	神·烈焰女神
51	11	1	120	31	10051	983334	491667	[(25641, 33)]	[(25641, 17)]	[(25641, 33)]	[(25641, 17)]	0	[]	[]	Ylsd_kpnw	Ylsd_kpnw_US	5013	20006	卡牌女王
52	11	2	120	31	10052	983607	491804	[(25641, 33)]	[(25641, 17)]	[(25641, 33)]	[(25641, 17)]	0	[]	[]	Ylsd_kpnw	Ylsd_kpnw_US	5013	20006	卡牌女王
53	11	3	120	31	10053	983871	491936	[(25641, 33)]	[(25641, 17)]	[(25641, 33)]	[(25641, 17)]	0	[]	[]	Ylsd_kpnw	Ylsd_kpnw_US	5013	20006	卡牌女王
54	11	4	120	31	10054	984127	492064	[(25641, 33)]	[(25641, 17)]	[(25641, 33)]	[(25641, 17)]	0	[]	[]	Ylsd_kpnw	Ylsd_kpnw_US	5013	20006	卡牌女王
55	11	5	120	31	10055	984375	492188	[(25641, 33),(26609, 1)]	[(25641, 17),(26609, 1)]	[(25641, 33)]	[(25641, 17)]	26609	[(1, 1000), (2, 1000), (3, 1000), (4, 1000), (5, 1000)]	[(1, 1000), (2, 1000), (3, 1000), (4, 0), (5, 0)]	Ylsd_kpnw	Ylsd_kpnw_US	5013	5013	卡牌女王
56	12	1	120	31	10056	984616	492308	[(25641, 34)]	[(25641, 17)]	[(25641, 34)]	[(25641, 17)]	0	[]	[]	Ylsd_ssymw	Ylsd_ssymw_US	5012	20044	神·深渊蛮王
57	12	2	120	31	10057	984849	492425	[(25641, 34)]	[(25641, 17)]	[(25641, 34)]	[(25641, 17)]	0	[]	[]	Ylsd_ssymw	Ylsd_ssymw_US	5012	20044	神·深渊蛮王
58	12	3	120	31	10058	985075	492538	[(25641, 34)]	[(25641, 17)]	[(25641, 34)]	[(25641, 17)]	0	[]	[]	Ylsd_ssymw	Ylsd_ssymw_US	5012	20044	神·深渊蛮王
59	12	4	120	31	10059	985295	492648	[(25641, 34)]	[(25641, 17)]	[(25641, 34)]	[(25641, 17)]	0	[]	[]	Ylsd_ssymw	Ylsd_ssymw_US	5012	20044	神·深渊蛮王
60	12	5	120	31	10060	985508	492754	[(25641, 34),(26611, 1)]	[(25641, 17),(26611, 1)]	[(25641, 34),(26611, 1)]	[(25641, 17),(26611, 1)]	0	[]	[]	Ylsd_ssymw	Ylsd_ssymw_US	5012	5012	神·深渊蛮王
61	13	1	120	31	10061	985715	492858	[(25641, 35)]	[(25641,18)]	[(25641, 35)]	[(25641,18)]	0	[]	[]	Ylsd_stljs	Ylsd_stljs_US	5014	30003	神·屠龙剑圣
62	13	2	120	31	10062	985916	492958	[(25641, 35)]	[(25641,18)]	[(25641, 35)]	[(25641,18)]	0	[]	[]	Ylsd_stljs	Ylsd_stljs_US	5014	30003	神·屠龙剑圣
63	13	3	120	31	10063	986112	493056	[(25641, 35)]	[(25641,18)]	[(25641, 35)]	[(25641,18)]	0	[]	[]	Ylsd_stljs	Ylsd_stljs_US	5014	30003	神·屠龙剑圣
64	13	4	120	31	10064	986302	493151	[(25641, 35)]	[(25641,18)]	[(25641, 35)]	[(25641,18)]	0	[]	[]	Ylsd_stljs	Ylsd_stljs_US	5014	30003	神·屠龙剑圣
65	13	5	120	31	10065	986487	493244	[(25641, 35),(26613, 1)]	[(25641, 18),(26613, 1)]	[(25641, 35),(26613, 1)]	[(25641, 18),(26613, 1)]	0	[]	[]	Ylsd_stljs	Ylsd_stljs_US	5014	5014	神·屠龙剑圣
66	14	1	120	31	10066	986667	493334	[(25641, 36)]	[(25641,18)]	[(25641, 36)]	[(25641,18)]	0	[]	[]	Ylsd_ttss	Ylsd_ttss_US	5015	30001	天堂圣使
67	14	2	120	31	10067	986843	493422	[(25641, 36)]	[(25641,18)]	[(25641, 36)]	[(25641,18)]	0	[]	[]	Ylsd_ttss	Ylsd_ttss_US	5015	30001	天堂圣使
68	14	3	120	31	10068	987013	493507	[(25641, 36)]	[(25641,18)]	[(25641, 36)]	[(25641,18)]	0	[]	[]	Ylsd_ttss	Ylsd_ttss_US	5015	30001	天堂圣使
69	14	4	120	31	10069	987180	493590	[(25641, 36)]	[(25641,18)]	[(25641, 36)]	[(25641,18)]	0	[]	[]	Ylsd_ttss	Ylsd_ttss_US	5015	30001	天堂圣使
70	14	5	120	31	10070	987342	493671	[(25641, 36),(26610, 1)]	[(25641, 18),(26610, 1)]	[(25641, 36)]	[(25641,18)]	26610	[(1, 1000), (2, 1000), (3, 1000), (4, 1000), (5, 1000)]	[(1, 1000), (2, 1000), (3, 1000), (4, 0), (5, 0)]	Ylsd_ttss	Ylsd_ttss_US	5015	5015	天堂圣使
71	15	1	120	31	10071	987501	493751	[(25641, 37)]	[(25641, 19)]	[(25641, 37)]	[(25641, 19)]	0	[]	[]	Ylsd_skpnw	Ylsd_skpnw_US	5013	20006	神·卡牌女王
72	15	2	120	31	10072	987655	493828	[(25641, 37)]	[(25641, 19)]	[(25641, 37)]	[(25641, 19)]	0	[]	[]	Ylsd_skpnw	Ylsd_skpnw_US	5013	20006	神·卡牌女王
73	15	3	120	31	10073	987805	493903	[(25641, 37)]	[(25641, 19)]	[(25641, 37)]	[(25641, 19)]	0	[]	[]	Ylsd_skpnw	Ylsd_skpnw_US	5013	20006	神·卡牌女王
74	15	4	120	31	10074	987952	493976	[(25641, 37)]	[(25641, 19)]	[(25641, 37)]	[(25641, 19)]	0	[]	[]	Ylsd_skpnw	Ylsd_skpnw_US	5013	20006	神·卡牌女王
75	15	5	120	31	10075	988096	494048	[(25641, 37),(26612, 1)]	[(25641, 19),(26612, 1)]	[(25641, 37),(26612, 1)]	[(25641, 19),(26612, 1)]	0	[]	[]	Ylsd_skpnw	Ylsd_skpnw_US	5013	5013	神·卡牌女王
76	16	1	120	31	10076	988236	494118	[(25641, 38)]	[(25641, 19)]	[(25641, 38)]	[(25641, 19)]	0	[]	[]	Ylsd_sttss	Ylsd_sttss_US	5015	30001	神·天堂圣使
77	16	2	120	31	10077	988373	494187	[(25641, 38)]	[(25641, 19)]	[(25641, 38)]	[(25641, 19)]	0	[]	[]	Ylsd_sttss	Ylsd_sttss_US	5015	30001	神·天堂圣使
78	16	3	120	31	10078	988506	494253	[(25641, 38)]	[(25641, 19)]	[(25641, 38)]	[(25641, 19)]	0	[]	[]	Ylsd_sttss	Ylsd_sttss_US	5015	30001	神·天堂圣使
79	16	4	120	31	10079	988637	494319	[(25641, 38)]	[(25641, 19)]	[(25641, 38)]	[(25641, 19)]	0	[]	[]	Ylsd_sttss	Ylsd_sttss_US	5015	30001	神·天堂圣使
80	16	5	120	31	10080	988765	494383	[(25641, 38),(26614, 1)]	[(25641, 19),(26614, 1)]	[(25641, 38),(26614, 1)]	[(25641, 19),(26614, 1)]	0	[]	[]	Ylsd_sttss	Ylsd_sttss_US	5015	5015	神·天堂圣使
81	17	1	140	31	10081	989023	494512	[(25641, 39)]	[(25641, 20)]	[(25641, 39)]	[(25641, 20)]	0	[]	[]	Ylsd_klw	Ylsd_slyzs_US	5018	20006	骷髅王
82	17	2	140	31	10082	989281	494641	[(25641, 39)]	[(25641, 20)]	[(25641, 39)]	[(25641, 20)]	0	[]	[]	Ylsd_klw	Ylsd_slyzs_US	5018	20006	骷髅王
83	17	3	140	31	10083	989539	494770	[(25641, 39)]	[(25641, 20)]	[(25641, 39)]	[(25641, 20)]	0	[]	[]	Ylsd_klw	Ylsd_slyzs_US	5018	20006	骷髅王
84	17	4	140	31	10084	989797	494899	[(25641, 39)]	[(25641, 20)]	[(25641, 39)]	[(25641, 20)]	0	[]	[]	Ylsd_klw	Ylsd_slyzs_US	5018	20006	骷髅王
85	17	5	140	31	10085	990055	495028	[(25641, 39),(27046, 1)]	[(25641, 20),(27046, 1)]	[(25641, 39),(27046, 1)]	[(25641, 20),(27046, 1)]	27046	[(1, 1000), (2, 1000), (3, 1000), (4, 1000), (5, 1000)]	[(1, 1000), (2, 1000), (3, 1000), (4, 0), (5, 0)]	Ylsd_klw	Ylsd_slyzs_US	5018	5018	骷髅王
86	18	1	140	31	10086	990313	495157	[(25641, 40)]	[(25641, 20)]	[(25641, 40)]	[(25641, 20)]	0	[]	[]	Ylsd_sswzz	Ylsd_slyzs_US	5016	20044	神·神王之子
87	18	2	140	31	10087	990571	495286	[(25641, 40)]	[(25641, 20)]	[(25641, 40)]	[(25641, 20)]	0	[]	[]	Ylsd_sswzz	Ylsd_slyzs_US	5016	20044	神·神王之子
88	18	3	140	31	10088	990829	495415	[(25641, 40)]	[(25641, 20)]	[(25641, 40)]	[(25641, 20)]	0	[]	[]	Ylsd_sswzz	Ylsd_slyzs_US	5016	20044	神·神王之子
89	18	4	140	31	10089	991087	495544	[(25641, 40)]	[(25641, 20)]	[(25641, 40)]	[(25641, 20)]	0	[]	[]	Ylsd_sswzz	Ylsd_slyzs_US	5016	20044	神·神王之子
90	18	5	140	31	10090	991345	495673	[(25641, 40),(27043, 1)]	[(25641, 20),(27043, 1)]	[(25641, 40),(27043, 1)]	[(25641, 20),(27043, 1)]	0	[]	[]	Ylsd_sswzz	Ylsd_slyzs_US	5016	5016	神·神王之子
91	19	1	140	31	10091	991603	495802	[(25641, 41)]	[(25641, 21)]	[(25641, 41)]	[(25641, 21)]	0	[]	[]	Ylsd_syzjs	Ylsd_slyzs_US	5017	30001	神·月之祭司
92	19	2	140	31	10092	991861	495931	[(25641, 41)]	[(25641, 21)]	[(25641, 41)]	[(25641, 21)]	0	[]	[]	Ylsd_syzjs	Ylsd_slyzs_US	5017	30001	神·月之祭司
93	19	3	140	31	10093	992119	496060	[(25641, 41)]	[(25641, 21)]	[(25641, 41)]	[(25641, 21)]	0	[]	[]	Ylsd_syzjs	Ylsd_slyzs_US	5017	30001	神·月之祭司
94	19	4	140	31	10094	992377	496189	[(25641, 41)]	[(25641, 21)]	[(25641, 41)]	[(25641, 21)]	0	[]	[]	Ylsd_syzjs	Ylsd_slyzs_US	5017	30001	神·月之祭司
95	19	5	140	31	10095	992635	496318	[(25641, 41),(27044, 1)]	[(25641, 21),(27044, 1)]	[(25641, 41),(27044, 1)]	[(25641, 21),(27044, 1)]	0	[]	[]	Ylsd_syzjs	Ylsd_slyzs_US	5017	5017	神·月之祭司
96	20	1	140	31	10096	992893	496447	[(25641, 42)]	[(25641, 21)]	[(25641, 42)]	[(25641, 21)]	0	[]	[]	Ylsd_sklw	Ylsd_slyzs_US	5018	30001	神·骷髅王
97	20	2	140	31	10097	993151	496576	[(25641, 42)]	[(25641, 21)]	[(25641, 42)]	[(25641, 21)]	0	[]	[]	Ylsd_sklw	Ylsd_slyzs_US	5018	30001	神·骷髅王
98	20	3	140	31	10098	993409	496705	[(25641, 42)]	[(25641, 21)]	[(25641, 42)]	[(25641, 21)]	0	[]	[]	Ylsd_sklw	Ylsd_slyzs_US	5018	30001	神·骷髅王
99	20	4	140	31	10099	993667	496834	[(25641, 42)]	[(25641, 21)]	[(25641, 42)]	[(25641, 21)]	0	[]	[]	Ylsd_sklw	Ylsd_slyzs_US	5018	30001	神·骷髅王
100	20	5	140	31	10100	993925	496963	[(25641, 42),(27045, 1)]	[(25641, 21),(27045, 1)]	[(25641, 42),(27045, 1)]	[(25641, 21),(27045, 1)]	0	[]	[]	Ylsd_sklw	Ylsd_slyzs_US	5018	5018	神·骷髅王
101	21	1	160	31	10101	995000	497500	[(25641, 43)]	[(25641, 22)]	[(25641, 43)]	[(25641, 22)]	0	[]	[]	Ylsd_dlts	Ylsd_dlts	5022	20006	堕落天使
102	21	2	160	31	10102	995150	497575	[(25641, 43)]	[(25641, 22)]	[(25641, 43)]	[(25641, 22)]	0	[]	[]	Ylsd_dlts	Ylsd_dlts	5022	20006	堕落天使
103	21	3	160	31	10103	995300	497650	[(25641, 43)]	[(25641, 22)]	[(25641, 43)]	[(25641, 22)]	0	[]	[]	Ylsd_dlts	Ylsd_dlts	5022	20006	堕落天使
104	21	4	160	31	10104	995450	497725	[(25641, 43)]	[(25641, 22)]	[(25641, 43)]	[(25641, 22)]	0	[]	[]	Ylsd_dlts	Ylsd_dlts	5022	20006	堕落天使
105	21	5	160	31	10105	995600	497800	[(25641, 43),(27935, 1)]	[(25641, 22),(27935, 1)]	[(25641, 43)]	[(25641, 22)]	27935	[(1, 1000), (2, 1000), (3, 1000), (4, 1000), (5, 1000)]	[(1, 1000), (2, 1000), (3, 1000), (4, 0), (5, 0)]	Ylsd_dlts	Ylsd_dlts	5022	5022	堕落天使
106	22	1	160	31	10106	995705	497853	[(25641, 44)]	[(25641, 22)]	[(25641, 44)]	[(25641, 22)]	0	[]	[]	Ylsd_szsxm	Ylsd_szsxm	5020	20044	神·战神熊猫
107	22	2	160	31	10107	995705	497853	[(25641, 44)]	[(25641, 22)]	[(25641, 44)]	[(25641, 22)]	0	[]	[]	Ylsd_szsxm	Ylsd_szsxm	5020	20044	神·战神熊猫
108	22	3	160	31	10108	995705	497853	[(25641, 44)]	[(25641, 22)]	[(25641, 44)]	[(25641, 22)]	0	[]	[]	Ylsd_szsxm	Ylsd_szsxm	5020	20044	神·战神熊猫
109	22	4	160	31	10109	995705	497853	[(25641, 44)]	[(25641, 22)]	[(25641, 44)]	[(25641, 22)]	0	[]	[]	Ylsd_szsxm	Ylsd_szsxm	5020	20044	神·战神熊猫
110	22	5	160	31	10110	995845	497923	[(25641, 44),(27936, 1)]	[(25641, 22),(27936, 1)]	[(25641, 44),(27936, 1)]	[(25641, 22),(27936, 1)]	0	[]	[]	Ylsd_szsxm	Ylsd_szsxm	5020	5020	神·战神熊猫
111	23	1	160	31	10111	995705	497853	[(25641, 44)]	[(25641, 22)]	[(25641, 44)]	[(25641, 22)]	0	[]	[]	Ylsd_sswqs	Ylsd_sswqs	5021	30001	神·死亡骑士
112	23	2	160	31	10112	995705	497853	[(25641, 44)]	[(25641, 22)]	[(25641, 44)]	[(25641, 22)]	0	[]	[]	Ylsd_sswqs	Ylsd_sswqs	5021	30001	神·死亡骑士
113	23	3	160	31	10113	995705	497853	[(25641, 44)]	[(25641, 22)]	[(25641, 44)]	[(25641, 22)]	0	[]	[]	Ylsd_sswqs	Ylsd_sswqs	5021	30001	神·死亡骑士
114	23	4	160	31	10114	995705	497853	[(25641, 44)]	[(25641, 22)]	[(25641, 44)]	[(25641, 22)]	0	[]	[]	Ylsd_sswqs	Ylsd_sswqs	5021	30001	神·死亡骑士
115	23	5	160	31	10115	995845	497923	[(25641, 44),(27937, 1)]	[(25641, 22),(27937, 1)]	[(25641, 44),(27937, 1)]	[(25641, 22),(27937, 1)]	0	[]	[]	Ylsd_sswqs	Ylsd_sswqs	5021	5021	神·死亡骑士
116	24	1	160	31	10116	995705	497853	[(25641, 44)]	[(25641, 22)]	[(25641, 44)]	[(25641, 22)]	0	[]	[]	Ylsd_sdlts	Ylsd_sdlts	5022	30001	神·堕落天使
117	24	2	160	31	10117	995705	497853	[(25641, 44)]	[(25641, 22)]	[(25641, 44)]	[(25641, 22)]	0	[]	[]	Ylsd_sdlts	Ylsd_sdlts	5022	30001	神·堕落天使
118	24	3	160	31	10118	995705	497853	[(25641, 44)]	[(25641, 22)]	[(25641, 44)]	[(25641, 22)]	0	[]	[]	Ylsd_sdlts	Ylsd_sdlts	5022	30001	神·堕落天使
119	24	4	160	31	10119	995705	497853	[(25641, 44)]	[(25641, 22)]	[(25641, 44)]	[(25641, 22)]	0	[]	[]	Ylsd_sdlts	Ylsd_sdlts	5022	30001	神·堕落天使
120	24	5	160	31	10120	995845	497923	[(25641, 44),(27938, 1)]	[(25641, 22),(27938, 1)]	[(25641, 44),(27938, 1)]	[(25641, 22),(27938, 1)]	0	[]	[]	Ylsd_sdlts	Ylsd_sdlts	5022	5022	神·堕落天使
