world_level	silver_rate	gold_rate	silver_reward_preview	gold_reward_preview
13	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
14	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
15	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
16	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
17	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
18	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
19	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
20	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
21	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
22	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
23	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
24	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
25	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
26	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
27	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
28	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
29	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
30	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
31	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
32	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
33	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
34	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
35	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
36	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
37	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
38	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
39	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
40	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
41	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
42	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
43	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
44	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
45	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
46	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
47	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
48	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
49	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
50	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
51	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
52	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
53	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
54	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
55	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
56	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
57	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
58	[(1,250),(2,500),(3,1000),(4,200),(5,400),(6,800),(7,500),(8,500),(9,1000),(10,1000),(11,1000),(12,500),(13,1000),(14,800)]	[(101,25),(102,25),(103,25),(104,810),(105,810),(106,220),(107,400),(108,1125),(109,180),(110,360),(111,810),(112,810),(113,810),(114,920),(115,630),(116,360),(117,180),(118,160),(119,160),(120,160),(121,160),(122,160),(123,160)]	[1,2,4,5,7,8,11,13,14]	[101,102,103,104,105,112,113,114,301]
