Level	Money	Items	PreView
80	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
81	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
82	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
83	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
84	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
85	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
86	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
87	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
88	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
89	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
90	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
91	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
92	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
93	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
94	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
95	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
96	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
97	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
98	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
99	1880000	[(25684,40),(25673,20),(26450,1),(27488,1)]	[(25684,40),(25673,20),(26450,1),(27488,1),(25828,1880000)]
100	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
101	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
102	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
103	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
104	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
105	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
106	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
107	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
108	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
109	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
110	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
111	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
112	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
113	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
114	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
115	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
116	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
117	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
118	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
119	1880000	[(25685,40),(25674,20),(26450,1),(27488,1)]	[(25685,40),(25674,20),(26450,1),(27488,1),(25828,1880000)]
120	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
121	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
122	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
123	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
124	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
125	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
126	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
127	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
128	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
129	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
130	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
131	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
132	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
133	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
134	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
135	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
136	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
137	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
138	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
139	1880000	[(25686,40),(25675,20),(26450,1),(27488,1)]	[(25686,40),(25675,20),(26450,1),(27488,1),(25828,1880000)]
140	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
141	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
142	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
143	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
144	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
145	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
146	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
147	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
148	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
149	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
150	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
151	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
152	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
153	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
154	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
155	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
156	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
157	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
158	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
159	1880000	[(26607,40),(27050,20),(26450,1),(27488,1)]	[(26607,40),(27050,20),(26450,1),(27488,1),(25828,1880000)]
160	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
161	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
162	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
163	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
164	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
165	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
166	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
167	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
168	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
169	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
170	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
171	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
172	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
173	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
174	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
175	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
176	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
177	1880000	[(27066,40),(27906,20),(26450,1),(27488,1)]	[(27066,40),(27906,20),(26450,1),(27488,1),(25828,1880000)]
