messageId	desc	EspDesc
fb_005	重置副本将清除该副本进度，确定重置吗？	Comenzarás encima si reinicias la mazmorra. ¿Estás seguro que quieres hacerlo?
zdpt15	退出场景将会同时退出队伍，确定退出组队爬塔场景么？	Abandonarás la fiesta si abandonas la escena. ¿Estás seguro de abandonar la escena de la Fiesta de la Torre?
emsy14	取消扫荡，会有部分奖励无法拿到哟	Perderás algunas recompensas si cancelas el ataque sorpresa.
nuli4	你将与#C(#FF6600){0}#n的主人#C(#FF6600){1}#n战斗，胜利后#C(#FF6600){2}#n将成为你的奴隶	Lucharás contra #C(#FF6600){1}#n, que está ahora apoderándose de #C(#FF6600){0}#n. #C(#FF6600){2}#n se te entregará si ganas.
nuli9	你将与#C(#FF6600){0}#n的主人#C(#FF6600){1}#n进行战斗，胜利后#C(#FF6600){2}#n将恢复自由身	Lucharás contra #C(#FF6600){1}#n, que está ahora manteniendo #C(#FF6600){0}#n prisionero.  #C(#FF6600){2}#n será libre si ganas.
nuli6	你将与#C(#FF6600){0}#n 战斗，胜利后可随机获得一个他的奴隶	Lucharás contra #C(#FF6600){0}#n. Obtendrás un prisionero suyo al azar si ganas.
nuli5	你将与#C(#FF6600){0}#n战斗，胜利后#C(#FF6600){1}#n将成为你的奴隶	Lucharás contra #C(#FF6600){0}#n. #C(#FF6600){1}#n se convertirá en tu prisionero si ganas.
nuli20	你将与奴隶主#C(#FF6600){0}#n进行战斗，胜利后将恢复自由	Lucharás contra #C(#FF6600){0}#n que está manteniéndote como prisionero. Serás libre si ganas.
magic1	佩戴成功	Llévalo satisfactoriamente.
yeyoujie2	你成功领取了喜迎页游节豪华奖励。	Has recibido satisfactoriamente recompensas lujosas.
yeyoujie1	你成功领取了喜迎页游节登录奖励。	Has recibido satisfactoriamente recompensas inicio sesión.
wed54	你拒绝了<font color='#00EE00'>{0}</font>的求婚	Has rechazado la propuesta de <font color='#00EE00'>{0}</font>'.
wed78	你收到{0}的新婚贺礼	Has recibido un regalo de boda de {0}.
zxhd19	当前增加了临时祝福值<font color='#00FF00'>{0}</font>点，临时祝福值在<font color='#FF0000'>{1}</font>后消失。	Has recibido <font color='#00FF00'>{0}</font> bendiciçon temporal, y desaparecerá después de 
zszz11	您获得了系统发放的积分#C(#00FF00)+{0}#n	Recibes #C(#00FF00)+{0}#n puntos del sistema.
sl9	需要进化后才能继续升级	Necesitas mejorar antes de continuar al nvl superior.
fund001	需充值<font color='#00EE00'>{0}</font>神石	Necesitas recargar <font color='#00EE00'>{0}</font> Balens.
newKF020	战队人数不满三人，无法进入跨服竞技	Necesitas tener 3 miembros en el equipo para entrar Servidor Global Arena.
qyfb1	触发副本中所有的机关并击杀所有的小怪才可清除boss周围的障碍	Debes matar todos los mounstruos y eliminar todos los obstáculos antes de poder desafiar al jefe.
qyfb11	触发副本中所有机关并击杀所有小怪才可清除BOSS身边的障碍。	Debes matar todos los mounstruos y eliminar todos los obstáculos antes de poder desafiar al jefe.
wed5	当前状态无法求婚，请先离婚或取消订婚	Debes divorciarte o cancelar la boda antes de proponer otra vez.
huoyuexitong001	您还没有公会，无法进行公会任务	Necesitarás acceder al clan primero.
ghfb15	退出队伍成功	Abandonaste el equipo.
syzb24	您还没有激活过神力	No tienes desbloqueada la mejora todavía.
wed73	你的等级不足30，无法参加婚礼。	No has alcanzado nvl 30 todavía y no puedes asistir a la ceremonia de boda.
hz2	您尚未达到{0}级，请继续努力升级	No has alcanzado nvl {0}. Por favor continua al nvl superior.
cjhb011	今日累计充值不满足购买该返利礼包条件	No ha comprado suficientes Balens para esta recompensa.
nlqsl003	您未通关本关卡，不能领取奖励	No has pasado la fase y no puedes recibir la recompensa.
hallows008	未放置圣器部件	No tienes arma santa de montura.
zdpt4	未进入	No has entrado en la Fiesta de la Torre
fb_007	没有通关该副本，不能挂机哟	No has despejado esta mazmorra, no puede atacar por sorpresa.
fb_002	前置副本尚未完成,不能购买哟	No puedes depejar las próximas mazmorras y no puedes comprar.
hdsmbx001	当前宝箱未领取奖励	No has recibido la recompensa todavía.
friend40	您还没有选择要删除的好友！	No has seleccionado los amigo(s) que quieres borrar!
xingyubaodian16	尚未挑战	No has desafiado todavía.
zzyk004	未购买至尊周卡	No tienes ambas tarjetas.
zzyk009	未购买至尊周卡，无法使用该特权。	No tienes ambas tarjetas de 7 días, y no tienes el privilegio.
OtherRolePanelTip11	未进行宠物附灵	No tienes
skyCardPanel003	已有：	Tienes:
dropss3	您已完成了所有档次奖项	Has usado todos los intentos de giro.
syzb26	您已经激活了全部神力	Has desbloqueado toda la bonificación.
huoyuexitong018	您今日已消费：{0}充值神石	Has gastado: {0} Balens comprados.
mayday2	今日累计消费{0}神石	Has gastado: {0} Balens de hoy
wzgc026	今日已消费{0}神石,共获得{1}魔力	Has gastado: {0} Balens, y recibido {1} Poder Mágico
zhanzhen020	您已勾选自动购买功能，材料不足时会自动使用#C(#FF0000)充值神石#n购买，确定开启自动突破？	Has seleccionado auto-compra. Cuando no tengas suficientes materiales, van a costar #C(#FF0000) Balens#n comprados automáticamente. ¿Estás seguro que quieres usar Auto-evolución?
fund003	已累计充值：{0}神石	Has recargado un total de: {0} Balens
wzgc008	当日累计充值{0}	Has comprado {0} hoy.
yyjhdzk007	累计充值{0}神石	Has comprado {0} Balens.
zzyk016	今日累计充值未达到{0}神石！	Has comprado {0} Balens hoy.
jlbz2	你已没有剩余的金锄头，今日无法继续挖宝了	Notienes selecciones hoy, no puedes continuar con la caza de tesoro.
mail2	当前没有可接收的邮件	No tienes nuevos mails.
mount10	您当前已没有剩余的培养次数	No tienes más intentos de formación. 
zdfb3	今日没有可以购买的次数了，提升贵族等级可以提升每日购买次数。	No tienes más intentos de compra hoy. Por favor, sube tu nvl VIP para obtener más intentos de compra.
jlbz3	没有剩余的幸运挖宝次数。	No tienes más opción de intentos hoy.
yc12g4	今日闯宫次数已用尽，提升贵族等级可增加闯宫次数	No tienes más intentos hoy. Puedes tener más intentos subiendo tu nivel VIP.
fb_019	今日进入副本已达上限，请明日再来	No tienes más intentos de entrar en esta mazmorra. Por favor ven mañana.
gold6	今日炼金次数已用尽，你还可以协助其他玩家炼金	No tienes más intentos de Alquimia hoy. Pero puedes ayudar a otros con Alquimia.
gold7	今日炼金次数已用尽。	No tienes más intentos de Alquimia hoy.
mail1	你当前有新邮件	No tienes nuevos mails.
wed25	你已预约过时间，请按时参加婚礼！	Tienes que hacer un nombramiento ya. Por favor, estaté para la ceremonia de boda a tiempo.
rmbBank007	您当前投入#C(#fbfe00){0}#n充值神石，还可投入#C(#fbfe00){1}#n充值神石获取更多返利，是否确认现在领取？#H#C(#FF0000)提示：奖励只可领取一次#n	Has depositado  #C(#fbfe00){0}#n Balens y puedes depositar todavía #C(#fbfe00){1}#n más Balenspara recibir más descuento. ¿Estás seguro que quieres recibir ahora? (Sólo puedes recibir recompensas una vez.)
chaozhibaoxlq	你已经领取了首充大礼包的奖励。	Has recibido Super Paquete.
rmbBank016	您已领取完所有返利！	 ¡Has recibido todos los descuentos!
kjszn01	今日累计购买{0}神石	Has comprado {0} Balens hoy.
wed7	你已向美女<font color='#00EE00'><a href='event:'><u>{0}</u></a></font>发起求婚	Ya has propuesto a <font color='#00EE00'><a href='event:'><u>{0}</u></a></font>.
wed47	你已经成功预约了{0}{1}	Has hecho ya el {0}{1} nombramiento.
qyfb19	您已经创建队伍了哟！	Has creado ya una fiesta.
wzgc009	在线豪礼已领取	Has recibido ya la recomensa.
wed58	你目前处于婚礼阶段无法再求婚！	Tienes una cita de ceremonia de la boda y no puedes proponer ganancia.
wed66	你目前处于订婚状态无法离婚！	Tienes una cita de ceremonia de la boda y no puedes divorciarte.
qyfb6	您当前的收益次数为{0}#H是否使用{1}神石购买1次收益次数？	Tienes {0} intento(s) de recompensa. #H ¿Estás seguro que quieres gastar {1} Balen para comprar un intento de recompensa?
zdpt9	您当前的收益次数为{0}#H是否使用{1}神石或魔晶购买1次收益次数？	Tienes {0} intento(s) de recompensa. #H ¿Estás seguro que quieres gastar {1} Balen para comprar un intento de recompensa?
duke5	你与{0}进行了战斗，获得了#C(#ffff37){1}积分#n	Luchaste con {0} y recibiste #C(#ffff37){1} puntos #n
duke6	你与{0}进行了战斗，获得了#C(#ffff37){1}积分#n	Luchaste con {0} y recibiste #C(#ffff37){1} puntos #n
wzgc002	等级不足	No alcanzas nivel requerido.
xingyubaodian11	当前已是本魔域第1关，无需重置。	No necesitas reiniciar, porque usted está actualmente en lvl uno de esta parte del Reino de la Constelación.
newKF026	无权限进行该操作	No tienes derecho de hacerlo.
zbxlsx006	当前无洗练属性，无法升星	No tienes estadísticas de refinación y no se puede actualizar.
qyfb5	今日已没有剩余的购买次数了。	No tienes más intentos de compra hoy.
molingwheel004	今日转动次数已用尽	No tienes más posibilidades hoy.
WingState1	未激活	No lo tienes.
syzb13	您不是满血状态，不能更换城门战斗	No tienes PV completos, no puedes cambiar a la otra puerta.
duanwuhuodong006	粽子数量不足	No tienes suficiente Zongzi.
duanwuhuodong004	您的糯米粽数量不够,可在副本和英灵神殿玩法中获得	No tienes suficiente Zongzi, obténlos en la mazmorra y Pasillo de Héroes.
flsc3	您的返利券不足	No tienes suficiente vale.
mayday5	请先清理背包再领取奖励	No tienes suficiente espacio en tu inventario.
ld7	您的银龙蛋数量不够,可在副本和英灵神殿玩法中获得	No tienes suficiente Huevo de Plata. Puedes obtener Huevo de Plata de Mazmorra y Pasillo de Héroes.
zbxlsx004	洗练升星石不足	No tienes suficiente Piedra de Refinación.
passion16	充值神石不足！	No tienes suficiente Balens comprados.
passion39	材料不足，无法开启转盘	No tienes suficientes meteriales.
passion12	您的七月币不足	No tienes suficiente Moneda de Julio.
duanwuhuodong002	您的黄金粽数量不够,可在副本和英灵神殿玩法中获得	No tienes suficiente Oro Zongzi. Puedes obtenerlos de mazmorras y Pasillo de Héroes.
ld2	您的金龙蛋数量不够,可在副本和英灵神殿玩法中获得	No tienes suficiente Huevo de Oro. Puedes obtener Huevo de Oro de mazmorras y Pasillo de Héroes.
zbsd2	您的龙骑徽章不足	No tienes suficiente Insignia Dragón.
passion38	神石不足,无法重置奖励	No tienes suficiente Balens.
qyfb25	当前次数不足，成为贵族可以购买更多的挑战次数	No tienes suficientes intentos. VIPs podrás comprar más intentos.
lzbx02	您的蓝钻秘钥不足，蓝钻秘钥可通过开通或续费蓝钻获得	No tienes Diamante Azul.
jlbz4	你没有金钥匙，按照攻略挖宝可获得金钥匙。	No tienes ninguna llave. Sigue las tácticas para recibir las llaves en la caza del tesoro.
passion30	当前没翻牌次数	No tienes ninguna posibilidad. 
zxjl10	今日次数已用完	No tienes ninguna posibilidad hoy. 
union39	你没有权限进行管理	No tienes acceso a gestión.
qyfb23	当前没有队伍，您可以创建队伍	No tienes fiesta y puedes crear una.
mount26	在不可走区域不能幻化地面坐骑	No puedes cabalgar por terrenos intransitables.
passion7	今日刷新已超过最大次数!	No puedes actualizar ninguno más hoy.
hallows014	没有足够的洗练石，无法洗练。	No puedes refinar porque no tienes suficiente Refinamiento de Cristal.
hallows013	没有足够的神石，无法洗练。	No puedes refinar porque no tienes suficientes Balens.
marry8	精炼石不足，无法精炼	No puedes purificar porque no tienes suficiente purificación de Cristal. 
marry7	神石不足，无法精炼	No puedes purificar porque no tienes suficientes Balens.
passion40	所有奖励一开枪，无法开启转盘	No puedes jugar a la ruleta ahora.
hallows019	没有足够的洗练锁，无法锁定	No puedes bloquear porque no tienes suficiente refinamiento de bloqueo.
marry13	没有足够的三生锁，无法锁定	No puedes bloquear porque no tienes suficiente purificación de bloqueo.
hallows018	没有足够的神石，无法锁定	No puedes bloquear porque no tienes suficientes Balens.
marry12	没有足够的神石，无法锁定	No puedes bloquear porque no tienes suficientes Balens.
wed35	内容为空，请大胆说出来	No puedes dejar la casilla en blanco.
yc12g12	不可协助自己	No puedes ayudarte!
gold12	不能协助自己	No puedes ayudarte con Alquimia.
zdpt22	当前场景无法进行[组队爬塔]玩法,请回到世界地图场景中!	No puedes entrar en la escena de (Fiesta de Torre). Por favor vuelve a la escena del Mapa Mundi!
wed77	组队状态无法前往，请先退出队伍	No puedes hacer esto mientras estés en la fiesta. Por favor avandona antes la fiesta.
kfboss3	贵族等级不足{0}，无法领奖！	No puedes recibir recompensas porque no has alcanzado nvl VIP {0}!
bxxt2	有家室的人无法进行变性操作	No puedes cambiar tu sexo porque estás casado.
jjc017	不能挑战自己	No puedes competir contigo mismo.
xingyubaodian6	你的等级不足{0}级，无法挑战此魔域。	No puedes desafiar a esta parte del Reino de la constelación hasta llegar a lvl {0}.
xingyubaodian3	今日已没有剩余的行动力购买次数了。	No puedes comprar más intentos hoy.
qyfb27	您还不是贵族，没有额外购买次数	No puedes comprar más intentos porque no eres VIP aún.
yxxt5	道具列表已满	No puedes añadir más objetos porque la lista está llena.
hallows005	没有足够的圣器附魔石，无法附魔	No puedes mejorar porque no tienes suficiente Piedra Mejorada.
qyfbbc5	您还没有结婚，无法进行该玩法	No puedes hacer esto porque no estás casado aún.
qyfb8	行动CD为红色时不能进行任何行动，只能花费神石清除	No puedes continuar cuando Sin Espera está rojo y tienes que gastar Balens para cancelar Sin Espera.
sl17	所选职业相同无法转职	No puedes cambiar tu clase a la misma.
kfboss6	一个人挑战无需组队，请解散队伍再挑战！	No puedes desafiar en una fiesta. Por favor primero disuelve la fiesta!
zdbntz	组队下不能挑战精英	No puedes desafiar a los jefes de élite, que están en una fiesta.
xingyubaodian9	你当前就处在最高的进度，不能使用一键挑战。	No puedes atacar por sorpresa porque estás en el nivel más alto ya.
yyjhdzk002	手动刷新商品需要消耗{0}神石	Puedes usar {0} Balens para actualizar objetos.
ghfb23	加入公会后可进入该玩法	Puedes desbloquear el evento si te inscribes en el Clan.
mall6	剩余购买数量：{0}	Puedes comprar aún: {0}
fwxiatishi	神器可镶嵌符文，神器可在公会副本中获得.	Puedes enchufar Runas en Arma Sagrada que se pueden obtener a partir de Clan de la Mazmorra.
bnxqxtlxbs	不能镶嵌相同类型宝石	Puedes enchufar Gemas del mismo tipo en el mismo equipo.
wed76	今日已达最大收益次数，无法继续获得奖励	No puedes recibir más recompensas hoy.
dropss2	至少获得<font color='#00EE00'>{0}</font>奖励神石，更有机会暴击再得<font color='#00EE00'>{1}</font>奖励神石	Puedes recibir al menos <font color='#00EE00'>{0}</font>  Balens.
fund012	活动期间只能存取一次，是否确定提取<font color='#00EE00'>{0}</font>神石？	 Sólo puedes retirar sus Balens una vez. ¿Seguro que deseas retirar <font color='#00EE00'>{0}</font> Balens?
xianshidaoju1	该道具有效期内不可出售，过期后可出售	Sólo puedes venderlo despues que caduque.
yxxt28	解雇条件：#H1、该英雄不在出阵位或助阵位#H2、英雄星级低于当前英雄最大星级3星#H3、英雄星级不低于当前英雄最大星级3级，但有2个及以上相同英雄#H#C(#FF0000)解雇需谨慎，紫色英雄用于进化更高阶英雄#n	Sólo puedes sacrificar un héroe cuando tengas 2 iguales y el héroe no esté en formación ni refuerzos. (#C(#FFOOOO) Tienes que pensar dos veces cuando sacrifiques un héroe ya que un héroe púrpura puede ser usado para actualizar otro héroe. #n)
qyfb24	只有创建队伍后才可以邀请伴侣	Sólo puedes invitar a tu colega después de crear una fiesta.
friend32	你目前只能创建三个分组！	Sólo puedes crear 3 gropus ahora.
qyfb10	击杀副本中所有可见怪物后才可攻击boss。	Sólo puedes desafiar el jefe después de derrotar a todos los monstruos y eliminar todas las barreras.
ttms003	仅限充值神石购买。	Sólo puedes comprar por recarga de Balens
fund008	共可获得#C(#00EE00){0}#n神石	Puedes obtener #C(#00EE00){0}#n Balens en total.
mayday3	30级后可参加活动	Puedes participar en el evento cuando alcances el nivel 30.
zxjl11	30级后可参加活动	Puedes participar en el evento cuando alcances el nivel 30.
kfboss5	你还可以邀请好友组队一起挑战，确定自己单独挑战？	Puedes invitar a amigos a desafiar juntos. ¿Seguro que deseas desafiar en solitario?
rmbBank018	最大可投{0}充值神石，您还可投入{1}充值神石	Puedes depositar hasta {0} Balens y todavía puedes depositar {1} Balens.
ttms002	充值神石，奖励神石都可购买。	Lo puedes comprar por recargar Balens y Balens recompensa.
zzyk001	今日累计充值{0}神石可购买！	Puedes comprar si tu compra {0} Balens hoy.
ryzz1	你攻击了{0}，你获胜了，获得了{1}点积分	Atacaste {0} y ganaste. Obtuviste {1} puntuacines.
ryzz2	你攻击了{0}，你战败了，获得{1}积分	Atacaste {0} y fallaste. Obtuviste {1} puntuacines.
duke3	你攻击了{0}，#C(#FF0000)你战败了#n，获得了#C(#ffff37){1}积分#n	Atacaste {0} y #C(#FF0000)perdiste#n. Recibiste #C(#ffff37){1} puntos#n
duke4	你攻击了{0}，#C(#00FF00)你获胜了#n，获得了#C(#ffff37){1}积分#n	Atacaste {0} y #C(#FF0000)ganaste#n. Recibiste #C(#ffff37){1} puntos#n
wed62	你目前处于未婚状态无法取消订婚！	Estás soltero y no tienes una ceremonia de boda para celebrar.
wed65	你目前处于未婚状态无法离婚！	Estás soltero y no puedes divorciarte.
changeName11	您的身份不是公会会长，无法使用	No eres el Jefe del Clan, no puedes usar.
duke13	你未获得活动参与资格!	No estás cualificado para entrar!
wed59	你目前处于未婚状态无法预约婚礼！	No te has comprometido y no se puede hacer una cita de ceremonia de la boda.
wed57	你目前处于结婚状态无法再求婚，请先离婚！	Estás casado y no puedes proponer de nuevo. Debes divorciarte para hacerlo.
wed60	你目前处于结婚状态无法预约婚礼！	Estás casado y no puedes hacer un nombramiento de ceremonia de boda.
wed63	你目前处于结婚状态无法取消订婚！	Estás casado y no puedes celebrar una ceremonia de boda.
wed67	你目前处于预定婚礼状态无法离婚！	Estás haciendo el nombramiento de una ceremonia de boda y no se puede divorciar.
fb_008	当前有副本进度，不能挂机哟	Estás en el medio de un ataque sorpresa, no puedes atacar de nuevo.
qhbact005	抢红包活动中，无法进行此操作！	Estás en el evento del Paquete Botín, y no puedes hacer lo ahora mismo.
wed68	你目前处于婚礼阶段无法离婚，请耐心等待婚礼结束后再离婚！	Estás en una boda y no puedes divorciarte. Por favor espera hata que la ceremonia haya finalizado.
wed61	你目前处于婚礼阶段无法预约婚礼！	Tienes una boda y no puedes hacer un nombramiento de ceromonia de boda.
wed64	你目前处于婚礼阶段无法取消订婚！	Tienes una boda y no puedes cancelar la ceremonia de boda.
wed55	你目前处于订婚状态无法再求婚，请先取消订婚！	Estás comprometido y no puedes proponer de nuevo. Por favor cancela el enlace primero.
wed56	你目前处于预定婚礼状态无法再求婚，请先取消订婚！	Estás comprometido y no puedes proponer de nuevo. Si quieres hacerlo, deberías cancelar la ceremonia de boda primero.
marry22	已离婚，当前无法进行婚戒相关操作	Estás divorciado, no puedes hacer esto.
qyfb18	您已经在队伍当中了哟！	Ya estás en la fiesta.
zdfb001	您已经在组队队伍当中，无法再进入队伍！	Ya estás en el equipo, y no puedes entrar.
kfboss13	您已有队伍！	Ya estás en la fiesta!
lzxb005	你已经在起点了！	Ya estás en el inicio.
zzyk007	今日已获得奖励！	Ya recibiste recompensas hoy.
qhbact001	您今天已经获得了20个红包，不要太贪心啦！	Ya recibiste 20 paquetes hoy.
lzxb002	已经到达终点，请先回到起点再摇骰子！	Ya alcanzas el punto final. Por favor vuelve al inicio y tira el dado.
passion37	您已转过奖励，是否花费#C(#FF0000){0}#n神石重置奖励？（消耗{1}个{2}可将转盘奖励全部领取）	Ya jugaste. ¿Quieres pagar #C(#FF0000){0}#n Balens para reiniciar recompensas? (Cuestan {1} {2} para recibir todas las recompensas.
huoyuexitong007	您当前的活跃度将于{0}后重置！	Tu actividad será reiniciada a las {0}
wed52	你接受了<font color='#00EE00'>{0}</font>的求婚，对方正在预约婚礼中，请稍等。	Has aceptado <font color='#00EE00'>{0}</font>'s proposición. Él está haciendo un nombramiento de ceremonia de boda. Por favor espera!
fcm03	输入信息姓名有误	Nombre equivocado.
ywdb3	抢夺	Arrebatar.
woldtips1	世界地图3级开启	Mapa del mundo desbloqueado en el nvl 3.
kfts4	跨服中不能打开世界地图。	Mapa del mundo indisponible en el servidor global.
chat12	世界	Mundo
hang002	荣耀之战	Wojna Chwały 
status2	法师	Mago
xyc023	许愿池	Lago de Los Deseos
xyc024	许愿积分可通过许愿获得	Puntos que desees pueden obtenerse haciendo deseos.
xyc022	正在许愿中，本次许愿完成后才能再次许愿	Deseo en curso, no puedes hacer un deseo otra vez hasta que no esté hecho.
xyc021	正在许愿中，本次许愿完成后才能退出许愿池	Deseo en curso, no puedes abandonar el Lago de Los Deseos hasta que no esté hecho.
xyc007	许愿币可通过活动获得，在有许愿币时优先使用许愿币进行许愿	Monedas del deseo, puede ser obtenido a través de actividades. #HSi existen, las monedas del deseo son utilizadas para pedir un deseo.
xyc012	今日剩余许愿次数：{0}次	Deseos restantes de hoy: {0}
yuyiTips	羽翼（Y）	Alas (Y)
newKF021	胜利：{0}次（{1}%）	Ganar: {0} ({1}%)
newKF025	胜率：0%	Tasa de victorias:  0%
newKF016	胜率：{0}%	Tasa de victorias:  0%
ylsd9	挑战胜利消耗1点行动力。	Ganar un desafío y un intento será deducido.
syzb4	胜利+{0}积分	Ganar +{0} puntos.
tarot11	将获取{0}经验	Recibirás {0} EXP.
tarot18	将获取{0}金币	Obtendrás {0} Oro.
tarot19	将获取{0}命力	Obtendrás {0} Puntos Astrales.
union160	角色40级或VIP2开启公告修改功能	Cuando superes nvl 32 o VIP2, puedes modificar anuncio.
marry25	戒灵激活后额外生成{0}条属性	Cuando el Alma Anillo esté activado, tendrás {0} estadísticas aleatorias.
zzyk005	至尊周卡生效期间，无法再购买至尊周卡	Cuando dispones de la tarjeta, no puedes comprarla de nuevo.
newKF014	周结时间：每周日00:00	Cálculo semanal: Cada Domingo a las 00:00
OtherRolePanelTip13	未激活婚戒	Anillo deboda está activado.
wed29	婚礼道具:表白x{0},烟花x{1},礼盒x{2}	Objetos de boda: expresión de amor {0}, Fuegos artificiales {1}, Paquete {2}
wed26	婚礼费用:{0}魔晶	Gasto de boda: {0} Diamante
wed27	婚礼费用:{0}神石	Gasto de boda: {0} Balen
propsType2	武器	Arma
nuli41	领主	Guardián
zbxlsx013	战魂强化石#C(#33FF00)数量上限增加。#H	Piedra Espíritu de Guerra  #C(#33FF00) aumentado. #H
zhanzhen023	战魂技能等级:{0}#H	Nivel de habilidad del Espíritu de La Guerra: {0} #H
mall8	购买VIP等级限制	Nivel VIP requerido para compra.
pet14	需要贵族1级或以上	Nivel VIP o superior requerido.
ylsd5	贵族{0}用户每天可购买{1}次行动力。#H今日剩余购买次数：{2}次	VIP {0} el jugador puede comprar {1} intentos todos los días. #H intentos de compra restantes: {2}
qyfb26	贵族{0}用户每天可购买{1}次。#H今日剩余购买次数：{2}次	VIP {0} el jugador puede comprar {1} intento(s). #H intento(s) de compra hoy: {2}
chat5	查看信息	Ver info
mall4	原价：{0}	Generalmente: {0}
yk1	原价	Generalmente
zhanzhen025	已使用战魂强化石:{0}个#H	Usado Espíritu de Guerra de Piedra de Refinación: {0}#H
zhanzhen026	已使用阵灵强化石:{0}个#H	Usado sesión Espíritu de piedra: {0} #H
zbxlsx015	当前消耗战魂精华可增加{0}点进度值，进度满可进阶，进度值24小时后清空	Usa esencia de espíritu de Guerra para obtener {0} puntos. Cuando esté completo, puede evoluvionar. Los puntos serán aclarados después de las 24 horas.
zdmhzb02	使用一键高级占卜将自动高级占卜至命魂格满或神石不足	Usa Astro avanzado, te permitirá automáticamente realizar Astro avanzado hasta que astro esté lleno o Balens sean inadecuados.
herostore001	使用1个之后可激活加成属性：	Usa 1 para desbloquear las estadísticas de bonificación.
dropss1	拿出<font color='#00EE00'>{0}</font>充值神石，接受神灵恩泽变出更多神石！	Usa <font color='#00EE00'>{0}</font> Balens para orar la Leyenda del Caballero Dragón y obtener más Balens.
xcbx3	本次开启花费{0}神石，有机会获得至尊大奖!	Usa {0} Balens para abrir, posiblemente obteniendo Grandes Recompensas. 
union59	消耗{0}神石或者{1}魔晶创建公会	¿Usas {0} Balens {1} o Diamantes para comenzar un clan?
marry4	消耗#C(#fbfe00){0}*50#n进行#C(#fbfe00)50#n次锻造操作	Usa #C(#fbfe00){0}*50#n para elaborar el anillo de #C(#fbfe00)50#n veces.
marry3	消耗#C(#fbfe00){0}*1#n进行#C(#fbfe00)1#n次锻造获得#C(#fbfe00){1}#n经验值#H有一定机会获得#C(#fbfe00)双倍#n经验	Usa #C(#fbfe00){0}*1#n para elaborar el anillo de #C(#fbfe00)1#n veces y recibe #C(#fbfe00){1}#n EXP#H. Hay cierta oportunidad de recivir #C(#fbfe00)doble#n EXP.
