maleFirst	femaleFirst	maleSecond	femaleSecond
		斯蒂夫	
		約瑟夫	
		米勒	
		凱	
		巴赫	
		沃夫	
		西瓦	
		斯奈德	
		柯賽	
		道爾	
		阿索爾	
		文森特	
		哈威	
		何塞	
		阿方索	
		胡裡奧	
		馬力諾	
		莫里	
		巴蒂	
		薩特	
		薩博	
		巴哈勒	
		巴則多	
		本達	
		昆提	
		彪羅	
		布索尼	
		伯尼	
		卡爾雷	
		車爾尼	
		迪蓋特	
		達坎	
		德莫	
		迪德洛	
		科普蘭	
		漢佩爾	
		朗格	
		摩澤爾	
		哈欽森	
		亨德爾	
		易本	
		米斯賈	
		亨策	
		丹迪	
		海費茨	
		羅什	
		洛什	
		門多薩	
		蒙多	
		蒙克	
		諾布裡	
		穆沙	
		南森	
		諾易	
		內弗	
		賴肯因	
		烏裡偉	
		馬雷	
		奧拉	
		格季克	
		達維	
		奧古丁	
		蘇澤	
		索羅	
		斯皮塔	
		薩博	
		裡曼	
		波佩爾	
		克道爾	
		比利	
