messageId	desc	PLdesc
chat5	查看信息	Przeglądaj informacje
chat6	加入队伍	Dołącz do grupy
chat7	复制名字	Kopiuj nazwę
chat8	加入黑名单	Czarna lista
chat9	点击清除	Kliknij i skasuj
chat10	邀请入队	Zaproś do drużyny
chat11	删除好友	Usuń znajomego
chat12	世界	Świat
chat13	公会	Gildia
chat14	道具喇叭不足，是否购买喇叭?	Zbyt mało Megafonów! Kupić Megafony?
chat16	喇叭	Megafon
chat17	点击锁定消息滚动	Zablokuj wiadomości
chat18	点击解锁消息滚动	Odblokuj wiadomości
chat19	[贵族{0}]特权	[VIP{0}]Korzyści
chat20	[半年皇室契约]特权	*****
chat21	[1个月皇室契约]特权	*****
chat22	[7天皇室契约]特权	*****
chat23	公会邀请	Zaproś do Gildii
chat24	#C(#fbfe00){0}#n等级不足#C(#fbfe00){1}#n，无法加入公会	#C(#fbfe00){0}#n nie osiągnął wystarczającego poziomu#C(#fbfe00){1}#n by dołączyć do Gildii.
chat25	点击扩大	Kliknij, by powiększyć
chat26	点击缩小	Kliknij, by pomniejszyć
chat27	点击常态	Kliknij, by przywrócić stan normalny
chat28	点击收起聊天窗口	Kliknij, by ukryć
chat29	点击展开聊天窗口	Pokaż
enNone	占位	******
attack	攻击	Atak
maxhp	生命	HP
attackspeed	攻击速度	Prędkość ataku
anger	怒气	Gniew
attack_p	物攻	Atak fiz.
defense_p	物防	Obr.Fiz.
attack_m	法攻	Atak mag.
defense_m	法防	Obr.Mag.
crit	暴击	Kryt.
critpress	免暴	Anty-Kryt
antibroken	破防	Złam.Obrony
notbroken	免破	Anty-łaman.
parry	格挡	Blokuj
puncture	破挡	Łamanie blok.
damageupgrade	增伤	Wzrost Szkody
damagereduce	免伤	Zmniejsz Szkody
zdl	战斗力	Ranking Bitwy
PropertyEnum0	占位	*****
PropertyEnum1	生命	HP
PropertyEnum2	速度	Prędkość
PropertyEnum3	主角初始怒气	Gniew początkowy
PropertyEnum4	物攻	Atak fiz.
PropertyEnum5	物防	Obr.Fiz.
PropertyEnum6	法攻	Atak mag.
PropertyEnum7	法防	Obr.Mag.
PropertyEnum8	暴击	Kryt.
PropertyEnum9	免暴	Anty-Kryt
PropertyEnum10	破防	Łamanie Obr.
PropertyEnum11	免破	Anty-łamanie
PropertyEnum12	格挡	Blok.
PropertyEnum13	破挡	Przerw.Blok.
PropertyEnum14	增伤	Wzrost szkody
PropertyEnum15	免伤	Zmniejsz Szkody
PropertyEnum16	战斗力	Ranking Bitwy
PropertyEnum-16	攻击加成	Wzrost Ataku
recruit1	需要等级：	Od poziomu:
recruit2	需要声望：	Wymagany Prestiż:
recruit3	冷却后可再次招募	Odliczanie Rekrutacji
recruit4	当前：{0}/{1}页	Bieżąca strona: {0}/{1}
recruit5	{0}*{1}	{0}*{1}
recruit6	英雄列表已满，请先解雇多余英雄	Lista pełna. Usuń kilku bohaterów.
recruit7	道具不足	Niewystarczająca ilość przedmiotów
recruit8	进化后开启	Otworzy się po aktualizacji
recruit9	进化后升级	Wyższy poziom po aktualizacji
recruit10	主动技能	Akt.Umiejętność
recruit11	被动技能	Pas.Umiejętność
pack1	装备	Załóż
pack2	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}金币	#C(#ffffff)Sprzedaj{0} #C({1}){2}#n by zdobyć {3} Złoto
pack3	#C(#FFFFFF)背包空间不足#n	#C(#FFFFFF)Zbyt mało miejsca w Plecaku!#n
pack4	背包容量：	Komórki:
pack5	剩余可扩展次数{0}	Można powiększyć Plecak: {0} razy
pack6	是否消耗{0}神石或魔晶，扩展5个背包格子?	Czy na pewno chcesz użyć {0} Diamentów lub Zabl.Diamentow by dodać 5 komórek?
pack7	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}个魂石	#C(#ffffff)Sprzedaj {0} #C({1}){2}#n by zdobyć {3} Błyszczący Kryształ
qhdj	强化等级：{0}	Poziom postępu: {0}
money	金币	Złoto
fb_tip1	达到{0}级才能开启该章节	Etap otworzy się gdy osiągniesz Lvl {0}.
fb_tip2	是否使用{0}魔晶（魔晶不足时，消耗神石），购买1次挑战次数	Potwierdzasz użycie {0} zablok.diamentów lub diamentów (użyje najpierw zabl.diamentów), by kupić jedną walkę?
fb_tip3	您的神石不足	Zbyt mało Diamentów!
propsType1	消耗品	Zużywalne
propsType2	武器	Broń
propsType3	防具	Zbroja
propsType4	饰品	Akcesoria
propsType5	宝石	Klejnot
propsType6	长弓	Łuk
propsType7	匕首	Sztylet
propsType8	战斧	Topór
propsType9	圣枪	Włócznia
propsType10	战锤	Młotek
propsType11	弯刀	Maczeta
propsType12	符文	Runa
ji	级	Poziom
ygq	已过期	Wygasło
xiaoshi	小时	Godzina
fenzhong	分钟	Minuta
formation1	{0}已经在出阵位上，不能再出阵同样的英雄	{0} jest już w Formacji.
formation2	已助阵的英雄将无法出阵	Uzbrojeni Bohaterowie nie mogą być umieszczeni w Formacji.
formation3	开启声望：	Wymagany prestiż:
formation4	该英雄已参与助阵	Bohater jest już w formacji
formation5	助阵位已满	Brak miejsca w pozycji uzbrojenia!
formation6	当前位置不能放置高于{0}星的英雄	Nie można umieścić na danej pozycji bohatera z więcej niż {0} gwiazdami.
formation7	{0}已助阵，该类型的英雄不能再助阵	{0} jest już uzbrojony. Bohaterów tego samego typu nie można umieścić na tej samej pozycji w uzbrojeniu.
formation8	当前助阵位未开启	Bieżąca pozycja uzbrojenia nieaktywna.
formation9	{0}已经在助阵位上，不能再出阵同类型的英雄	{0} jest już uzbrojony. Bohaterów tego samego typu nie można umieścić w tej samej Formacji.
formation10	防御	Obrona
formation11	辅助	Pomoc
formation12	法攻：	Atak mag.
formation13	等级不足{0}级，尚未达到开启条件	Nie osiągnięto Lvl. {0} Nie można otworzyć.
formation14	31级开启助阵位	Pozycja Formacji Pomocniczej uaktywni się na Lvl. 31.
formation15	{0}已出阵，该类型的英雄不能再助阵	{0} jest już w Formacji. Nie można umieścić w uzbrojeniu bohaterów tego samego typu.
formation16	（主动技能）	(Akt.Umiejętn.)
formation17	（被动技能）	(Pas.Umiejętn.)
formation18	攻击成长:	Wzrost Ataku
formation19	生命成长:	Wzrost HP
formation20	速度成长:	Wzrost Szybk.
formation21	烈火重生，龙骑归来	Legendarny Rycerz powrócił.
tz1	{0}件效果({1}/{2})	Buff z ubrania {0} części ({1}/{2})
learnSkillC1	需要主角等级{0}	Wyamagany poziom postaci: {0}
learnSkillC2	需要主角达到{0}星	Wymagany poziom gwiazd: {0}
learnSkillC3	需要{0}技能达到{1}级	Wymagany poziom: {1} {0}.
learnSkillC4	需要技能点数{0}点	Wymagany poziom pkt. umiejętn.: {0}
zbxt1	请放入需要强化的装备	Wybierz ekwipunek do ulepszenia
zbxt2	请放入需要升阶的装备	Wybierz ekwipunek do usprawnić
zbxt3	请放入需要神铸的装备	Wybierz ekwipunek, by syntetyzować.
zbxt4	材料不足无法升阶	Zbyt mało materiałów, by usprawnić!
zbxt5	材料不足无法神铸	Zbyt mało materiałów, by syntetyzować!
zbxt6	装备成功	Ekwipunek założony!
zbxt7	只有出阵的英雄才可以进行装备	Można założyć ekwipunek tylko bohaterom będącym w Formacji.
zbxt8	等级不足无法装备	Nie osiągnięto wymaganego poziomu!
zbxt9	背包已满无法卸装	Plecak pełny, nie można zdjąć.
zbxt10	是否确定消耗{0}神石或魔晶进行加速	Czy na pewno chcesz użyć {0} Diamentów lub Zabl.diamentów by przyśpieszyć?
zbxt11	强化成功时，有8%几率额外提升1级	Przy doskonaleniu gracz ma zawsze 8% szansy na osiągnięcie +1 lvl doskonalenia.
zbxt12	35级开放	Uaktywni się na poziomie 35.
zbxt13	40级开放	Uaktywni się na poziomie 40.
zbxt14	神铸	Syntetyzacja
zbxt15	该装备不能进行升阶	Nie można ulepszyć tego ekwipunku.
zbxt16	该装备不能进行神铸	Nie można syntetyzować tego ekwipunku.
zbxt17	没有上阵的英雄不能穿装备	Można założyć ekwipunek tylko bohaterom będącym w Formacji.
zbxt18	该装备不能进行强化	Nie można udoskonalić tego ekwipunku.
zbxt19	可以神铸	Gotowy do syntetyzacji
zbxt20	强化等级不能高于角色等级	Lvl. udosk. nie może być wyższy niż lvl. postaci.
zbxt21	升阶成功	Ulepszono pomyślnie!
zbxt22	神铸成功	Zsyntetyzowano pomyślnie!
zbxt23	强化成功	Ulepszono pomyślnie!
zbxt24	强化暴击	Otrzymano Błogosławieństwo Bohatera!
zbxt25	无法出售，请先卸除装备上的宝石	Nie można sprzedać.Najpierw wyjmij klejnoty.E599
jbbz	金币不足	Zbyt mało Złota!
ybbz	神石不足	Zbyt mało Diamentów!
ljbz	魔晶不足	Zbyt mało zabl.diamentów!
yxxt1	26级开放	Uaktywni się na 26 poziomie.
yxxt2	主角无法使用经验道具	Postać nie może używać przedmiotów EXP.
yxxt3	英雄等级已达上限，无法继续升级	Maksyalny poziom bohatera. Nie można uzyskać wyższego poziomu.
yxxt4	经验值已达上限	Osiągnięto maksymalny limit EXP!
yxxt5	道具列表已满	Nie można dodać więcej przedmiotów, lista pełna.
yxxt6	当前英雄已达到等级上限，进化后可提升更高等级	Ten bohater osiągnął maksymalny poziom.By zdobyć wyższy, musisz ulepszyć bohatera.
yxxt7	英雄位置已满，请先解雇多余英雄	Najpierw usuń jednego bohatera, brak miejsca dla nowych.
yxxt8	当前英雄必须达到{0}级才可进化	By ulepszyć, wymagany poziom bohatera: {0}
yxxt9	材料不足	Zbyt mało materiałów.
yxxt10	英雄进化成功	Pomyślnie ulepszono!
yxxt11	已达最高品质，无法继续进化	Osiągnięto maksymalny limit, nie można ulepszyć.
yxxt12	等级不足	Nie osiągnięto wymaganego poziomu!
yxxt13	英雄转生成功	Usprawniono bohatera o 1 gwiazdę.
yxxt14	#C(#FFFFFF)解雇英雄可获得{0}+{1}#n	#C(#FFFFFF)Usuń bohatera, by zdobyć {0}+{1}#n
yxxt15	#C(#FFFFFF)解雇英雄可获得{0}+{1}，是否确认解雇#n	#C(#FFFFFF)Usuń bohatera, by zdobyć {0}+{1}. Czy na pewno chcesz usunąć?#n
yxxt16	#U#C(#00FF00)#A(#K(dlg,EMSY))[点击获取经验]#n#n#n	#U#C(#00FF00)#A(#K(dlg,EMSY))[Kliknij,by zdobyć EXP]#n#n#n
yxxt17	#U#C(#00FF00)#A(#K(OPEN_EXCHANGE_SHOP,{0}))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(OPEN_EXCHANGE_SHOP,{0}))[Pobierz]#n#n#n
yxxt18	#U#C(#00FF00)#A(#K(dlg,YXJT))[点击获取]#n#n#n	#U#C(#00FF00)#A(#K(dlg,YXJT))[Kliknij i zdobądź]#n#n#n
yxxt19	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[需要英雄达到{0}级]#n#n#n	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[Wymagany poziom postaci: {0}]#n#n#n
yxxt20	#U#C(#00FF00)#A(#K(dlg,YXSHENGJI))[需要英雄达到{0}级]#n#n#n	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[Wymagany poziom bohatera: {0}]#n#n#n
yxxt21	#C(#FFFFFF)另一个未出阵和未助阵{0}级的{1}#n	#C(#FFFFFF)Wymagany inny lvl {0} {1} nie w formacji ani w uzbrojeniu#n
yxxt22	[4,6,5,7,1,2,8,9,10,11,12,13,14,15]	[4,6,5,7,1,2,8,9,10,11,12,13,14,15]
yxxt23	[6,5,7,1,2,8,9,10,11,12,13,14,15]	[6,5,7,1,2,8,9,10,11,12,13,14,15]
yxxt24	#U#C(#00FF00)#A(#K(dlg,OPEN_YLSD))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(dlg,OPEN_YLSD))[Idź i zdobywaj]#n#n#n
yxxt25	#C(#FFFFFF)当前英雄已达等级上限,是否前往进化#n	#C(#FFFFFF)Ten bohater może zostać ulepszony. Czy chcesz go teraz ulepszyć?#n
yxxt26	#U#C(#00FF00)#A(#K(HJST))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(HJST))[Idź i zdobywaj]#n#n#n
yxxt27	玩法暂未开放，敬请期待	Funkcja nieaktywna. Poczekaj jeszcze.
yxxt28	同时拥有两个名字相同的英雄，且该英雄不在出阵位或助阵位方可解雇（#C(#FF0000)解雇需谨慎，紫色英雄用于进化更高阶英雄#n）	Możesz usunąć bohatera, tylko jeśli posiadasz dwóch takich samych i nie jest on ani w formacji ani uzbrojony. (#C(#FFOOOO) Zastanów się dobrze zanim usuniesz, fioletowy bohater może być użyty do usprawnienia innego.#n
yxxt29	攻击类型为物攻,法攻无效	Ten typ ataku to Atak fiz. Atak mag. nie działa.
yxxt30	攻击类型为法攻,物攻无效	Ten typ ataku to Atak mag. Atak fiz. nie działa.
yxxt31	可升阶	Ulepsz
ycd	已穿戴	Ekwipunek założony
wcd	未穿戴	Ekwipunek zdjęty
skillTip	该技能已经上阵	Ta umiej. jest aktywna
skillTip2	必杀技	Zabójcza umiejętność
skillTip3	前置条件未达成	Nie spełniono warunków.
mount1	坐骑系统{0}级开启	Odblokuj System Wierzchowca na poziomie {0}.
mount2	培养成功，坐骑获得{0}经验	Wierzchowiec wytrenowany.Zdobywa {0} EXP.
mount3	培养出现小暴击，获得{0}经验！	Zdobyto Błogosławieństwo bohatera i {0} EXP
mount4	培养成功，本次培养出现大暴击。坐骑升至{0}阶{1}星	Wytresnwano! Zdobyłeś Błogosławieństwo Bóstw, a Wierzchowiec osiagnął lvl. {0} {1} gwiazd.
mount5	培养{0}次成功，培养出现{1}次小暴击，共获得{2}经验，同时出现{3}次大暴击，坐骑当前等级为{4}阶{5}星	Wytrenowano {0} razy, zdobyto {1} Błogosławieństwo Bohatera, {2} EXP Wierzchowca i {3} Błogosławieństwo Bóstw. Wierzchowiec osiagnał lvl. {4} i {5} gwiazdy.
mount6	#C(#ffffff)40级内：每天可普通培养5次#H40-59：每天可普通培养20次#H60-79：每天可普通培养50次#H80级以上：每天普通培养次数不限#H神石培养次数无限制	#C(#ffffff)Do poziomu 40：Można trenować 5 razy dziennie używając złota #H Poziom 40-59：Można trenować 20 razy dziennie używając złota#H Poziom 60-79：Można trenować 50 razy dziennie używając złota#H Po poziomie 80：Można trenować bez ograniczeń używając złota. #H Używając diamentów można trenować bez ograniczeń.
mount7	骑乘坐骑成功	Dosiadłeś Wierzchowca!
mount8	坐骑休息去了	Wierzchowiec odpoczywa.
mount9	您的金币不足，无法培养	Zbyt mało Złota, nie można trenować.
mount10	您当前已没有剩余的培养次数	Osiągnięto dzienny limit treningu.
mount11	是否消耗#C(#fbfe00){0}神石或者魔晶#n进行坐骑培养？	Użyć #C(#fbfe00){0} Diamentów lub Zabl.diamentów#n by trenować wierzchowca?
mount12	神石不足，无法培养	Zbyt mało diamentów, nie można trenować.
mount13	是否消耗925神石或者魔晶进行50次坐骑培养？	Użyć 925 diamentów lub zabl.diamentów by trenować 50 razy?
mount14	休息	Zsiądź
mount15	乘骑	Wsiądź
mount16	已顶级	Osiągnęto maksymalny poziom!
mount17	当前{0}：{1}	Bieżący {0}: {1}
mount18	无限	Bez limitu
mount19	{0}阶	Etap {0}
mount20	#C(#ffffff)每次培养消耗#C(#fbfe00){0}金币#n获得#C(#fbfe00){1}#n经验#H有几率出现小暴击（获得#C(#fbfe00){2}倍#n经验）	#C(#ffffff)Na każdy trening wydajesz #C(#fbfe00){0} Złoto #n i dostajesz #C(#fbfe00){1}#n EXP #H Możliwość zdobycia Błogosławieństwo Bohatera（EXP  #C(#fbfe00){2}razy#n）
mount21	#C(#ffffff)每次培养消耗#C(#fbfe00){0}神石或魔晶#n获得#C(#fbfe00){1}#n经验#H有几率出现小暴击（获得#C(#fbfe00){2}倍#n经验） 大暴击（直接提升1星）#H会优先使用道具{3}	#C(#ffffff)Na każdą tresure wydajesz #C(#fbfe00){0} Diamentów #n i dostajesz #C(#fbfe00){1}#n EXP #HMożliwość zdobycia Błogosławieństwo Bohatera（EXP #C(#fbfe00){2}razy#n）i Błogosławieństwo Bóstw (Poziom wyżej o 1 gwiazdę) #H Użyj przedmioty {3} wg uznania.
mount22	#C(#ffffff)每次培养消耗#C(#fbfe00){0}神石或魔晶#n进行#C(#fbfe00){1}次高级培养#n#H有几率出现小暴击（获得#C(#fbfe00){2}倍#n经验） 大暴击（直接提升1星）#H会优先使用道具{3}	#C(#ffffff)Koszt: #C(#fbfe00){0} zabl.#n #C(#fbfe00) Diamentów za{1} razy#H Szansa na Błogosławieństwo Bohatera（EXP #C(#fbfe00){2}razy#n）i Błogosławieństwo Bóstw (Poziom wyżej o 1 gwiazdę) #H W pierwszej kolejności zużywa {3}.
mount23	#C(#ffffff){0}阶激活	#C(#ffffff) Odblokuje się na lvl {0}.
mount24	已经是首页	To jest pierwsza strona.
mount25	已经是末页	To jest ostatnia strona.
mount26	在不可走区域不能幻化地面坐骑	Nie można dosiąść wierzchowca na nieprzejedznej drodze.
mount27	({0}阶激活)	(Otworzy się na etapie {0}.)
mount28	在不可走区域不能下坐骑	Nie można zsiąść z wierzchowca na nieprzejezdnej drodze.
mount29	幻化成不同坐骑外形不影响坐骑属性，培养坐骑可以激活更多坐骑外形。	Zmiana wierzchowca nie wpływa na jego atrybuty. Aby odblokować więcej wierzchowców trenuj je.
mount30	尚未达到条件无法使用	Nie spełniono warunków!
shortLevel	等级不足	Niewystarczający poziom!
shortshenshi	神石不足	Zbyt mało Diamentów!
shortBoth	魔晶或神石不足	Zbyt mało Diamentów lub Zabl.diamentów.
shortMoney	金币不足	Zbyt mało Złota!
shortItem	道具不足	Zbyt mało przedmiotów!
baifenbishuxing	[14,15]	[14,15]
emsy1	主角等级达到{0}级开启	Otworzy się, gdy główny bohater osiągnie poziom {0}.
emsy2	副本还未通关，现在退出将不会有奖励哟	Nie przeszedłeś Lochu. Jeśli teraz wyjdziesz, nie zdobędziesz nagrody.
emsy3	领取成功，你获得了#C(#FFFF00){0}#n奖励	Zdobyłeś nagrodę:  #C(#FFFF00){0}#n.
emsy4	您的背包已满，请先整理后再领取。	Plecak pełny. Zrób trochę miejsca i spróbuj ponownie.
emsy5	34级开启扫荡功能	Nalot otworzy się na poziomie 34.
emsy6	扫荡中	Nalot
emsy7	请领取奖励	Odbierz nagrodę.
emsy8	是否消耗{0}点体力扫荡第{1}层{2}副本{3}次	Czy użyć {0} Wytrzymałości do dokonania {3}  {2}poziomu {1}?
emsy9	未满足条件#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	Nie spełniono warunków!#H Przejdź {1} z lvl {0} z 3 gwiazdami by pobrać#H nagrody#C(#FFFF00){2}#n.
emsy10	可领取#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	Można pobrać#H Przejdź {1} z lvl {0} z 3 gwiazdami, by pobrać#H nagrody#C(#FFFF00){2}#n.
emsy11	领取成功，你获得了#C(#FFFF00){0}#n	Zdobyłeś #C(#FFFF00){0}#n.
emsy12	已领取#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	Pobrano#H Przejdź {1} z lvl {0} z 3 gwiazdami, by pobrać#H nagrody#C(#FFFF00){2}#n.
emsy13	副本通关可使用扫荡	Przycisk Nalotu ukatywni się, gdy przejdziesz raz Loch.
emsy14	取消扫荡，会有部分奖励无法拿到哟	Jeśli anulujesz Nalot, stracisz niektóre nagrody.
emsy15	是否消耗{0}魔晶加速扫荡（魔晶不足时消耗神石），月卡可免CD扫荡哟	Na pewno chcesz użyć {0} Zablok.Diamenty lub Diamenty (Najpierw zostaną użyte Zablok.Diamenty), by przyśpieszyć Nalot? Użyj Ducha Porozumienia, by anulować Nalot CD.
emsy16	是否消耗{0}点体力扫荡第{1}层{2}副本{3}次	Czy użyć {0} Wytrzymałości do dokonania {3}  {2}poziomu {1}?
emsy17	是否消耗95魔晶购买50点体力（若魔晶不足则消耗神石）	Użyć 95 Zablok.diamentów lub Diamentów (najpierw zostaną użyte Zablok.Diamenty) by kupić 50xWytrzymałość?
emsy18	您的神石不足	Zbyt mało diamentów!
emsy19	月卡特权，可免CD扫荡	Ukatywnij Ducha Porozumienia, by anulować Nalot.
emsy20	1、主角等级达到{0}级（已达到)	1. Poziom postaci {0} (cel osiągnięty)
emsy21	1、主角等级达到{0}级（未达到)	1. Poziom postaci {0} (cel nieosiągnięty)
emsy22	2、拥有1个{0}英雄（已达到）	2. Zdobądź {0} bohatera (cel osiągnięty)
emsy23	2、拥有1个{0}英雄（未达到）	2. Zdobądź {0} bohatera (cel nieosiągnięty)
emsy24	3、通关第{0}层（{1}）（已达到）	3. Przejdź ({1}) poziomu {0}. (cel osiągniety)
emsy25	3、通关第{0}层（{1}）（未达到）	3. Przejdź ({1}) poziomu {0}. (cel nieosiągniety)
emsy26	当前体力	Aktualna Wytrzymałość
emsy27	次，消耗{0}点体力	razy, użyj {0} Wytrzymałości.
emsy28	经验	EXP
emsy29	挑战条件未达到	Nie spełniono warunków, by podjąć wyzwanie.
emsy30	是否消耗30点体力，进入恶魔深渊副本	Użyć 30xWytrzymałość,by wejść do Krypty?
emsy31	1、扫荡一次消耗30体力#H2、扫荡时间为一次20分钟#H3、可花费魔晶进行快速扫荡	1. 1 Nalot kosztuje 30xWytrzymałość.#H 2. 1 Nalot trwa 20 minut.#H 3. Można użyć zabl.diamentów, by prześpieszyć Nalot.
gold1	是否花费#C(#FFFF00){0}#n神石或者魔晶开启炼金炉10次？	Na pewno chcesz użyć #C(#FFFF00){0}#n Diamenty lub zabl.diamenty aby praktykować Alchemię 10 razy?
gold2	本次需要花费<font color='#FFFF00'>{0}</font>神石或者魔晶开启炼金炉	Praktyka Alchemii kosztuje <font color='#FFFF00'>{0}</font> Diamenty lub Zablok.Diamenty.
gold3	召唤好友助你炼金最多可获得<font color='#FFFF00'>{0}</font>金币	Zaproś znajomych do pomocy przy Alchemii i zdobądź nawet  <font color='#FFFF00'>{0}</font> Złota.
gold4	是否花费#C(#FFFF00){0}#n神石或者魔晶开启炼金炉？	Na pewno chcesz użyć #C(#FFFF00){0}#n Diamenty lub Zablok.Diamenty aby praktykować Alchemię?
gold5	是否提前收获并且获得一半的收益？	Na pewno chcesz przerwać Alchemię(stracisz część nagród)?
gold6	今日炼金次数已用尽，你还可以协助其他玩家炼金	Nie możesz praktykować dzisiaj więcej Alchemii.Możesz pomóc w Alchemii innym.
gold7	今日炼金次数已用尽。	Wykorzystałeś dzisiejszy przydział Alchemii.
gold8	招募炼金术士	Poproś o pomoc
gold9	冷却时间：{0}	CD: {0}
gold10	炼金次数不足10次，是否花费{0}神石或魔晶开启炼金炉{1}次？	Przydział Alchemii poniżej 10.Chcesz użyć {0} Diamentów lub Zablok.Diamentów by kupić {1} więcej?
gold11	提示：满4人协助可完美收获{0}金币，提前收获则金币收益减半	Uwaga:z pomocą 4 graczy możesz otrzymać {0} Złota lub połowę tej sumy.
gold12	不能协助自己	Nie możesz sam sobie udzielić pomocy przy Alchemii.
gold13	提升贵族等级可增加炼金次数	Zwiększ poziom VIP a otrzymasz większy przydział Alchemii.
award01	金币+{0}	Złoto +{0}
award02	声望+{0}	Prestiż +{0}
award03	魔晶+{0}	Zablok.Diamenty +{0}
award04	经验+{0}	EXP +{0}
djbk_tip01	1、30级开启劫宝#H2、每天14:00-19:30每隔半小时开启一次#H3、每次活动有四只运宝地精#H4、玩家击败拥有宝物的地精或玩家，且占领一定时间后可获得奖励#H5、劫宝获得的圣灵残片可在地精宝库中兑换稀有的装备和命魂#H6、每次劫宝活动最多持续十分钟#H7、玩家每天最多可以成功劫宝4次	1.Grabież będzie dostępna na 30 poziomie.#H2.Otwiera się codziennie co pół godziny między 14:00-19.30#H3.Za każdym razem 4 Gobliny transportują skarb.#H4.Pokonaj graczy lub Gobliny, które mają łupy w podanym czasie by zdobyć nagrodę.#H5.Odłamek Duszy zdobyty podczas grabieży można zamieniać na rzadkie przedmioty i Gwiazdy w Sklepiku Goblinów.#H6.Każda grabież trwa maks.10 minut.
djbk_tip02	圣灵碎片#H来源于劫宝	Odłamek Duszy#H można zdobyć podczas grabieży.
lianyu1	请先领取奖励	Najpierw odbierz nagrodę.
lianyu2	剩余挑战次数：{0}次	Pozostała liczba bitew: {0}
lianyu3	{0} ({1}-{2}级)	{0} (poziom {1}-{2})
lianyu4	今日次数已用完	Koniec przydziału na dzisiaj.
lianyu5	1、玩家每天可挑战3次副本#H2、等级越高可挑战的副本种类越多，高等级的副本获得的奖励越丰厚#H3、击杀奖励：击杀小怪和boss获得的奖励#H4、评分奖励：通关副本后根据不同的评分获得不同的奖励#H5、在战斗中玩家可免费复活一次，贵族等级越高可获得购买复活次数越多	1. Gracz może odbyć bitwę w Lochu 3 razy dziennie.#H2. Im wyższy poziom gracza, tym więcej bitew w Lochu. Im wyższy poziom Lochu, tym większa nagroda.#H3. Nagrody za zabicie: nagrody za pokonanie potworów i Bossów.#H5. Gracz może ożyć jeden raz. Gracz VIP może dokupić życia w zależności od jego poziomu VIP.
lianyu6	当前贵族等级剩余复活次数：{0}。是否消耗魔晶{1}（魔晶不足时则消耗神石）来复活吗？	Pozostały przydział żyć: {0}. Na pewno chcesz użyć {1} Diamentów lub Zablok.Diamentów (najpierw zostaną użyte Zablok.Diamenty) by dokupić życie?
lianyu7	取消	Anuluj
shengji	升级	Poziom wyżej
