messageId	desc	RussiaDesc
formation29	是否确定消耗#C(#66FF00)1#n个一级魔石镶嵌，#C(#FF0000)镶嵌后无法卸载#n	Вы уверены, что готовы потратить #C(#66FF00)1#n сапфиров первого уровня для инкрустации? Отменить инкрустацию #C(#FF0000) невозможно #n
formation30	是否确定消耗#C(#66FF00)1#n个{0}或多个低级魔石进行升级	Вы уверены, что готовы потратить #C(#66FF00)1#n {0} или несколько сапфиров низкого уровня, чтобы повысить уровень?
formation31	是否花费#C(#FF0000)388#n神石解锁该助阵位	Вы уверены, что хотите потратить #C(#FF0000)388#n баленов, чтобы разблокировать эти позиции поддержки?
formation32	1、多余的英雄可用于助阵增加全队属性#H2、主助阵位需要声望激活开启，全队获得英雄基础属性的#C(#66FF00)25%#n加成#H3、副助阵位60级开启，#C(#FF0000)助阵英雄星级须低于对应主助阵英雄#n，全队获得当前英雄基础属性的#C(#66FF00)10%#n加成#H4、副助阵位需神石解锁开启#H5、75级开启魔石，使用对应等级的魔石可提高对应英雄助阵加成属性#H6、#C(#FF0000)魔石镶嵌后无法卸载#n，升级需消耗1个下一级魔石或多个低级魔石#H7、一个高级魔石等于2个低一级魔石	1. Свободные рекруты могут быть использованны в качестве поддержки, увеличивая характеристики вашего героя и основных рекрутов#H2. Для активации основных позиций, вам необходим престиж. Команда получает +25% от характеристик рекрута основной позиции#n прирост основных характеристик рекрута#C(#66FF00) #H3. Второстепенные позиции доступны на 60 уровне. #C(#FF0000) Уровень звезды второстепенных позиций, должен быть меньше уровня звезд основных позиций. #n Вся команда получит 10%#n прирост основных характеристик текущего рекрута #C(#66FF00) #H4. Для разблокировки второстепенной поддержки необходимы балены #H5. С 75 уровня можно использовать сапфиры, которые повысят прирост характеристик от основных и второстепенных позиций #H6. Установленный сапфир #C(#FF0000)невозможно снять#n. Для усиления сапфира, необходим 1 сапфир следующего уровня или несколько сапфиров более низкого уровня. #H7. 1 сапфир высокого уровня равен 2 сапфирам низкого уровня
formation33	声望不足	Недостаточно престижа
formation34	请先解锁副助阵位	Пожалуйста, сначала разблокируйте позицию второстепенной поддержки
formation35	请先解锁前面的副助阵位	Пожалуйста, сначала разблокируйте переднюю позицию второстепенной поддержки
formation36	当前助阵位未解锁	Текущая позиция поддержки не разблокирована
tz1	{0}件效果({1}/{2})	Комплект {0} частей ({1}/{2})
learnSkillC1	需要主角等级{0}	Требуется {0} ур. персонажа.
learnSkillC2	需要主角达到{0}星	Требуется {0} звездный персонаж.
learnSkillC3	需要{0}技能达到{1}级	Требуется уровень {1} {0}.
learnSkillC4	需要技能点数{0}点	Требуется {0} очков навыка.
zbxt1	请放入需要强化的装备	Выберите предмет для зачарования.
zbxt2	请放入需要升阶的装备	Выберите предмет для улучшения.
zbxt3	请放入需要神铸的装备	Выберите предмет для синтеза.
zbxt4	材料不足无法升阶	Не хватает материалов для улучшения!
zbxt5	材料不足无法神铸	Не хватает материалов для синтеза!
zbxt6	装备成功	Успешно экипировано!
zbxt7	只有出阵的英雄才可以进行装备	Предметы можно экипировать только на рекрутов, находящихся в группе.
zbxt8	等级不足无法装备	Необходимый уровень не достигнут!
zbxt9	背包已满无法卸装	Недостаточно места в инвентаре.
zbxt10	是否确定消耗{0}神石或魔晶进行加速	Вы уверены, что хотите потратить {0} баленов или сапфиров на сброс Кд?
zbxt11	强化成功时，有8%的机会额外提升1级	Вероятность того, что вы поднимете уровень зачарования на одну единицу, составляет 8%.
zbxt12	35级开放	Разблокируется на 35 ур.
zbxt13	40级开放	Разблокируется на 40 ур.
zbxt14	神铸 	Синтезировать
zbxt15	该装备不能进行升阶	Эта экипировка не может быть улучшена.
zbxt16	该装备不能进行神铸	Эта экипировка не может быть использована в синтезе.
zbxt17	没有上阵的英雄不能穿装备	Только герои в группе могут быть экипированы.
zbxt18	该装备不能进行强化	Эта экипировка не может быть зачарована.
zbxt19	可以神铸	Готов для синтеза
zbxt20	强化等级不能高于角色等级	Уровень зачарования не может превышать уровень персонажа.
zbxt21	升阶成功	Улучшение прошло успешно!
zbxt22	神铸成功	Ситнез прошел успешно!
zbxt23	强化成功	Зачарование прошло успешно!
zbxt24	强化暴击	Получено благословение героя!
zbxt25	无法出售，请先卸除装备上的宝石	Невозможно продать. Пожалуйста, сначала извлеките гемы из слотов.
zbxt26	点此选择装备进行强化	Нажмите тут, чтобы выбрать экипировку для заточки.
zbxt27	仅限主角装备	Только для вашего персонажа
zbxt28	#C(#66FF00)(仅限主角装备)#n	#C(#66FF00)(Только для главного персонажа)#n
jbbz	金币不足	Не хватает золота!
ybbz	神石不足	Не хватает баленов!
ljbz	魔晶不足	Не хватает сапфиров!
yxxt1	26级开放	Разблокируется на 26 ур.
yxxt2	主角无法使用经验道具	Персонаж не может использовать предметы опыта.
yxxt3	英雄等级已达上限，无法继续升级	Уровень рекрута достиг своего предела. Дальнейшее повышение невозможно.
yxxt4	经验值已达上限	Достигнут предел развития!
yxxt5	道具列表已满	Вы больше не можете добавлять предметы, так как список полон.
yxxt6	当前英雄已达到等级上限，进化后可提升更高等级	Рекрут достиг предела по уровню. Для дальнейшего повышения нужно его улучшить.
yxxt7	英雄位置已满，请先解雇多余英雄	Для рекрутов больше нет мест. Вам придется уволить уже имеющихся.
yxxt8	当前英雄必须达到{0}级才可进化	Для улучшения требуется {0} ур. рекрута.
yxxt9	材料不足	Не хватает материалов!
yxxt10	英雄进化成功	Улучшение успешно!
yxxt11	已达最高品质，无法继续进化	Предел развития достигнут.
yxxt12	等级不足	Требуемый уровень не достигнут!
yxxt13	英雄转生成功	Рекрут получил 1 звезду!
yxxt14	#C(#FFFFFF)解雇英雄可获得{0}+{1}#n	#C(#FFFFFF)Уволив этого рекрута, вы получите {0}+{1}#n
yxxt15	#C(#FFFFFF)解雇英雄可获得{0}+{1}，是否确认解雇#n	#C(#FFFFFF)Уволив этого рекрута, вы получите {0}+{1}. Вы уверены, что хотите это сделать?#n
yxxt16	#U#C(#00FF00)#A(#K(dlg,EMSY))[点击获取经验]#n#n#n	#U#C(#00FF00)#A(#K(dlg,EMSY))[Нажмите, чтобы получить опыт]#n#n#n
yxxt17	#U#C(#00FF00)#A(#K(OPEN_EXCHANGE_SHOP,{0}))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(OPEN_EXCHANGE_SHOP,{0}))[Принять]#n#n#n
yxxt18	#U#C(#00FF00)#A(#K(dlg,YXJT))[点击获取]#n#n#n	#U#C(#00FF00)#A(#K(dlg,YXJT))[Нанять]#n#n#n
yxxt19	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[需要英雄达到{0}级]#n#n#n	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[Требуется {0} ур. рекрута]#n#n#n
yxxt20	#U#C(#00FF00)#A(#K(dlg,YXSHENGJI))[需要英雄达到{0}级]#n#n#n	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[Требуется {0} ур. рекрута]#n#n#n
yxxt21	#C(#FFFFFF)另一个未出阵和未助阵{0}级的{1}#n	#C(#FFFFFF)Требуется рекрут {1}, достигший {0} ур. и не находящийся в группе или подкреплении.#n
yxxt22	[4,6,5,7,1,2,8,9,10,11,12,13,14,15]	[4,6,5,7,1,2,8,9,10,11,12,13,14,15]
yxxt23	[6,5,7,1,2,8,9,10,11,12,13,14,15]	[6,5,7,1,2,8,9,10,11,12,13,14,15]
yxxt24	#U#C(#00FF00)#A(#K(dlg,OPEN_YLSD))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(dlg,OPEN_YLSD))[Получить]#n#n#n
yxxt25	#C(#FFFFFF)当前英雄已达等级上限,是否前往进化#n	#C(#FFFFFF)Этот рекрут готов к улучшению. Вы хотите его улучшить?#n
yxxt26	#U#C(#00FF00)#A(#K(dlg,OPEN_HEROFORUMSHOP))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(HJST))[Принять]#n#n#n
yxxt27	玩法暂未开放，敬请期待	Эта функция еще не была разблокирована!
yxxt28	解雇条件：#H1、该英雄不在出阵位或助阵位#H2、英雄星级低于当前英雄最大星级3星#H3、英雄星级不低于当前英雄最大星级3级，但有2个及以上相同英雄#H#C(#FF0000)解雇需谨慎，紫色英雄用于进化更高阶英雄#n	Вы можете уволить рекрута, только когда у вас их несколько и рекрут находится вне группы или подкрепления. #C(#FF0000) Подумайте дважды, прежде чем уволить рекрута, поскольку фиолетовый рекрут может быть использован для улучшения!#n
yxxt29	攻击类型为物攻,法攻无效	Физ. атака и маг. атака не работают вместе.
yxxt30	攻击类型为法攻,物攻无效	Маг. атака и физ. атака не работают вместе.
yxxt31	可升阶	Готов к улучшению
ycd	已穿戴	Экипировано
wcd	未穿戴	Снято
skillTip	该技能已经上阵	Этот навык активен
skillTip2	必杀技	Уникальный навык
skillTip3	前置条件未达成	Требование не удовлетворено.
mount1	坐骑系统{0}级开启	Маунт разблокируется на {0} ур.
mount2	培养成功，坐骑获得{0}经验	Тренировка прошла успешно. Маунт получил {0} опыта.
mount3	培养出现小暴击，获得{0}经验！	Благословение героя! Получено {0} опыта.
mount4	培养成功，本次培养出现大暴击。坐骑升至{0}阶{1}星	Тренировка прошла успешно! Получено благословение бога, и маунт улучшился до {0} ур. {1} зв.
mount5	培养{0}次成功，培养出现{1}次小暴击，共获得{2}经验，同时出现{3}次大暴击，坐骑当前等级为{4}阶{5}星	Успешная тренировка ({0} раз), получено {1} благословение героя, маунт получил {2} опыта и {3} благословения бога. Маунт достиг {4} ур. {5} зв.
mount6	#C(#ffffff)40级内：每天可普通培养5次#H40-59：每天可普通培养20次#H60-79：每天可普通培养50次#H80级以上：每天普通培养次数不限#H神石培养次数无限制	#C(#ffffff)Ниже 40 ур.: игроки могут тренировать маунта за золото 5 раз в день #H 40-59 ур.: игроки могут тренировать маунта за золото 20 раз в день#H 60-79 ур.: игроки могут тренировать маунта за золото 50 раз в день#H Выше 80 ур.: игроки могут тренировать маунта за золото и балены бесконечное количество раз.#H
mount7	骑乘坐骑成功	Маунт призван!
mount8	坐骑休息去了	Маунт отпущен!
mount9	您的金币不足，无法培养	Тренировка невозможна. У вас недостаточно золота.
mount10	您当前已没有剩余的培养次数	У вас не осталось попыток на тренировку.
mount11	是否消耗#C(#fbfe00){0}神石或者魔晶#n进行坐骑培养？	Вы уверены, что хотите потратить #C(#fbfe00){0} баленов или сапфиров#n на тренировку маунта?
mount12	神石不足，无法培养	Не хватает баленов, нельзя тренировать.
mount13	是否消耗500神石或者魔晶进行50次坐骑培养？	Вы уверены, что хотите потратить 1000 баленов или сапфиров на 50 тренировок маунта?
mount14	休息	Отпустить
mount15	乘骑	Призвать
mount16	已顶级	Достигнут макс. уровень!
mount17	当前{0}：{1}	Текущий {0}: {1}
mount18	无限	Не ограничено
mount19	{0}阶	{0} ур.
mount20	#C(#ffffff)每次培养消耗#C(#fbfe00){0}金币#n获得#C(#fbfe00){1}#n经验#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验）	#C(#ffffff)Каждая тренировка требует #C(#fbfe00){0}золота #n и дает #C(#fbfe00){1}#nопыта. #HЕсть шанс получить благословение героя (Получить опыт #C(#fbfe00){2} раз#n）
mount21	#C(#ffffff)每次培养消耗#C(#fbfe00){0}神石或魔晶#n获得#C(#fbfe00){1}#n经验#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验） 大暴击（直接提升1星）#H会优先使用道具{3}	#C(#ffffff)Каждая тренировка требует #C(#fbfe00){0}баленов#n и дает #C(#fbfe00){1}#n опыта.#H Есть шанс получить благословения героя (Получить опыт #C(#fbfe00){2} раз#n) и благословение бога (сразу получить 1 звезду)#HВ первую очередь используются: {3}.
mount22	#C(#ffffff)每次培养消耗#C(#fbfe00){0}神石或魔晶#n进行#C(#fbfe00){1}次高级培养#n#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验） 大暴击（直接提升1星）#H会优先使用道具{3}	#C(#ffffff)Продвинутая тренировка {1} раз стоит #C(#fbfe00)500 баленов.#n#HЕсть шанс получить благословение героя (получить опыт #C(#fbfe00){2} раз#n) и благословение бога (сразу получить 1 звезду) #HВ первую очередь используются: {3}.
mount23	#C(#ffffff){0}阶激活	#C(#ffffff) Разблокируется на {0} ур.
mount24	已经是首页	Это первая страница.
mount25	已经是末页	Это последняя страница.
mount26	在不可走区域不能幻化地面坐骑	Вы не можете передвигаться верхом на нелетающем маунте по непроходимым землям.
mount27	({0}阶激活)	(Разблокируется на {0} ур.)
mount28	在不可走区域不能下坐骑	Нельзя отпустить на непроходимых землях.
mount29	幻化成不同坐骑外形不影响坐骑属性，培养坐骑可以激活更多坐骑外形。	Изменения внешности маунта не влияют на его характеристики. Тренируйте его, чтобы разблокировать больше маунтов.
mount30	尚未达到条件无法使用	Требования не удовлетворены!
mount31	当前已是该坐骑外形	Вы используете маунта.
mount32	剩余时间：{0}天	Осталось: {0} д.
mount33	提示：该坐骑自激活日起连续登陆7天可变为永久坐骑	Примечание: если с момента самоактивации маунта непрерывно входить в игру в течение 7 дней, то он может стать долговременным ездовым питомцем
mount34	你已经失去连续登陆满7天魔蝎绝骑变永久坐骑机会，在#C(#00FF00)商城购买#n永久激活道具可以使坐骑变为永久坐骑。	Вы упустили возможность сделать кристального скорпиона постоянным маунтом, так как не заходили в игру 7 дней подряд. У вас есть еще шанс получить маунта, купив в магазине предмет долговременной активации.
mount35	你当前已连续登陆#C(#00FF00){0}#n天，连续登陆满#C(#00FF00){1}#n天可以让魔蝎绝骑变为永久坐骑	Если вы заходили в игру в течение #C(#00FF00){0}#n дней подряд или больше установленного срока #C(#00FF00){1}#n дней, то можно получить маунта кристального скорпиона.
shortLevel	等级不足	Недостаточный уровень!
shortshenshi	神石不足	Не хватает баленов!
shortBoth	魔晶或神石不足	Не хватает баленов или сапфиров!
shortMoney	金币不足	Не хватает золота!
shortItem	道具不足	Не хватает предметов!
shortMoJin	魔晶不足	Не хватает сапфиров!
shortPoint	幸运积分不足	Не хватает очков
shortZdl	战斗力不足	Недостаточно боевого рейтинга
baifenbishuxing	[14,15]	[14,15]
emsy1	主角等级达到{0}级开启	Разблокируется на {0} ур.
emsy2	副本还未通关，现在退出将不会有奖励哟	Подземелье не зачищено. Вы не получите награду, если выйдете сейчас.
emsy3	领取成功，你获得了#C(#FFFF00){0}#n奖励	Успешно! Вам досталась награда #C(#FFFF00){0}#n.
emsy4	您的背包已满，请先整理后再领取。	Ваш инвентарь заполнен. Пожалуйста, вначале очистите инвентарь.
emsy5	31级开启扫荡功能	Блиц разблокируется на 34 ур.
emsy6	扫荡中	Блиц
emsy7	请领取奖励	Пожалуйста, заберите награду.
emsy8	是否消耗{0}点体力扫荡第{1}层{2}副本{3}次	Вы уверены, что хотите потратить {0} выносливости, чтобы пройти с помощью блица {1} ур. крипты, сложность {2}, {3} раз(а)?
emsy9	未满足条件#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	Требования не удовлетворены!#H Зачистите {1} ур. крипты, сложность {0} на 3 звезды, чтобы получить#H награду#C(#FFFF00){2}#n
emsy10	可领取#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	Доступно! #H Зачищен {1} ур. крипты, сложность {0} на 3 звезды. Вы получили#H награду #C(#FFFF00){2}#n.
emsy11	领取成功，你获得了#C(#FFFF00){0}#n	Успешно! Вы получили #C(#FFFF00){0}#n.
emsy12	已领取#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	Получено! #H Зачищен {1} ур. крипты, сложность {0} на 3 звезды. Вы получили#H награду #C(#FFFF00){2}#n
emsy13	副本通关可使用扫荡	Кнопка "Блиц" будет доступна, когда вы один раз зачистите подземелье.
emsy14	取消扫荡，会有部分奖励无法拿到哟	Вы потеряете награды, если отмените блиц.
emsy15	是否消耗{0}魔晶加速扫荡（魔晶不足时消耗神石），月卡可免CD扫荡哟	Вы уверены, что хотите потратить {0} сапфиров или баленов (сапфиры тратятся первыми), чтобы ускорить блиц? Используйте духовный договор, чтобы убрать кд блица.
emsy16	是否消耗{0}点体力扫荡第{1}层{2}副本{3}次	Вы уверены, что хотите потратить {0} выносливости, чтобы использовать блиц {1} ур. крипты, сложность {2}, {3} раз(а)?
emsy17	是否消耗20魔晶购买50点体力（若魔晶不足则消耗神石）	Вы уверены, что хотите потратить 100 сапфиров или баленов (сапфиры тратятся первыми), чтобы купить 50 выносливости?
emsy18	您的神石不足	Не хватает баленов!
emsy19	月卡特权，可免CD扫荡	Активируйте духовный договор, чтобы убрать кд блица.
emsy20	1、主角等级达到{0}级（已达到)	1. Персонаж достиг {0} ур. (Выполнено)
emsy21	1、主角等级达到{0}级（未达到)	1. Персонаж достиг {0} ур. (Не выполнено)
emsy22	2、拥有1个{0}英雄（已达到） 	2. У Вас должен быть один герой {0}. (Выполнено)
emsy23	2、拥有1个{0}英雄（未达到）	2. У Вас должен быть один герой {0}, (Не выполнено)
emsy24	3、通关第{0}层（{1}）（已达到） 	3. Зачистить {0} ур. крипты ({1}). (Выполнено)
emsy25	3、通关第{0}层（{1}）（未达到） 	3. Зачистить {0} ур. крипты ({1}). (Не выполнено)
emsy26	当前体力	Сейчас выносливости
emsy27	次，消耗{0}点体力	раз, затратит {0} выносливости.
emsy28	经验	Опыт
emsy29	挑战条件未达到	Вы не соответствуете требованиям!
emsy30	是否消耗30点体力，进入恶魔深渊副本	Вы уверены, что хотите потратить 30 выносливости, чтобы зайти в крипту?
emsy31	1、扫荡一次消耗30体力#H2、扫荡时间为一次20分钟#H3、可花费魔晶进行快速扫荡	1. Один блиц стоит 30 выносливости.#H 2. Один блиц занимает 20 минут.#H 3. Игроки могут ускорить блиц, потратив сапфиры.
gold1	是否花费#C(#FFFF00){0}#n神石或者魔晶开启炼金炉10次？	Вы уверены, что хотите потратить #C(#FFFF00){0}#n баленов или сапфиров, чтобы практиковать алхимию 10 раз?
gold2	本次需要花费<font color='#FFFF00'>{0}</font>神石或者魔晶开启炼金炉	Алхимия будет стоить вам <font color='#FFFF00'>{0}</font> баленов или сапфиров.
gold3	召唤好友助你炼金最多可获得<font color='#FFFF00'>{0}</font>金币	Пригласить друзей, чтобы они помогли вам с алхимией для получения <font color='#FFFF00'>{0}</font> золота.
