messageId	desc	EnglishTranslate1
beibaoTips	背包（B）	Bag (B)
beimei1	是否消耗#C(#fefb00){0}神石#n进入祭坛?（使用祭坛使者文书可获得6折优惠）	Are you sure you want to spend #C(#fefb00){0} Balens #n to enter the Divine Altar? (Use the Altar Discount Book to enjoy a 40% discount.)
beimei2	是否消耗#C(#fefb00){0}#n个#C(#fefb00){1}#n和#C(#fefb00){2}神石#n进入祭坛?（使用祭坛使者文书可获得6折优惠）	Are you sure you want to consume #C(#fefb00){0}#n #C(#fefb00){1}#n and #C(#fefb00){2} Balens #n to enter the Altar? (Use the Altar Discount Book to enjoy a 40% discount.)
beimei3	VIP{0}用户专享优惠，仅需{1}神石”（使用祭坛使者文书可获得6折优惠）	Special offer for VIP {0} players: only {1} Balens! (Use the Altar Discount Book to enjoy a 40% discount.)
beimei4	VIP{0}用户专享优惠，仅需#C(#fefb00){1}#n个#C(#fefb00){2}#n和#C(#fefb00){3}神石#n（使用祭坛使者文书可获得6折优惠）	Special offer for VIP{0} players: spend only #C(#fefb00){1}#n #C(#fefb00){2}#n and #C(#fefb00){3}Balens#n (Use the Altar Discount Book to enjoy a 40% discount.)
bianshenka01	是否使用{0}变身（使用相同的变身卡，变身时间不叠加)	Are you sure you want to use this {0} to transform? (Transform time of different cards can’t be accumulated.)
bkcs	不可出售	Can't be sold!
bmyhsc1	1、商品在剩余时间结束后将下架。	1. The item will no longer be on sale after the countdown.
bnxqxtlxbs	不能镶嵌相同类型宝石	You can’t socket Gems of the same kind on the same equipment.
bs1	[全部,生命宝石,物攻宝石,法攻宝石,物防宝石,法防宝石,暴击宝石,免暴宝石,破挡宝石,格挡宝石]	[ALL, HP Gem, PATK Gem, MATK Gem, PDEF Gem, MDEF Gem, Crit Gem, Anti-crit Gem, Block Break Gem, Block Gem]
bs10	[等级4,等级5,等级6,等级7,等级8,等级9,等级10,等级11,等级12]	[Lvl 4, Lvl 5, Lvl 6, Lvl 7, Lvl 8, Lvl 9, Lvl 10, Lvl 11, Lvl 12]
bs11	封印成功，封印等级提升至{0}级	Soul Engraved successfully! Soul Engraving reached Lvl {0}.
bs12	可以合成	Ready for Synthesis
bs13	合成成功	Successfully Synthesized!
bs14	已达最高等级	Max level reached!
bs15	宝石封印石	Gem Soul Crystal
bs16	宝石已经为最高等级，无法再合成	The Gem has reached its highest level. You cannot Synthesize it!
bs17	符文已经为最高等级，无法再合成	The Rune has reached its highest level. You cannot synthesize it!
bs18	[全部,等级10,等级11,等级12]	[All, Lvl 10, Lvl 11, Lvl 12]
bs19	[全部,生命宝石,物攻宝石,法攻宝石,物防宝石,法防宝石,暴击宝石,免暴宝石,破挡宝石,格挡宝石]	[ALL, HP Gem, PATK Gem, MATK Gem, PDEF Gem, MDEF Gem, Crit Gem, Anti-crit Gem, Break-block Gem, Block Gem]
bs2	[全部,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10,等级11,等级12]	[All, Lvl 1, Lvl 2, Lvl 3, Lvl 4, Lvl 5, Lvl 6, Lvl 7, Lvl 8, Lvl 9, Lvl 10, Lvl 11, Lvl 12]
bs20	您是否花费{0}神石来完成转化	Do you want to spend {0} Balens to convert?
bs21	1.10级及更高等级的宝石可以锻造成为双属性宝石,双属性宝石的两条属性值分别与锻造前的两个单属性宝石的属性值相同。#H2.只有背包中的宝石可以参与锻造。#H3.双属性宝石共12种，物攻、生命、法攻三种宝石可以和同等级的暴击、免暴、格挡、破挡四种宝石自由组合。#H4.根据锻造生成宝石的不同，锻造需要消耗锻造石和一颗指定的同等级防御宝石。#H5.在锻造栏点击已经放入的宝石可以取消放入。	1. Gems of Lvl 10 or more can be crafted into Double Stats Gem, which will possess the Stats of the two Gems crafted. #H2. Only Gems in the Bag can be crafted. #H3. There are 12 types of Double Stats Gem in. You can choose a PATK Gem, HP Gem or MATK Gem and a Crit Gem, Anti-crit Gem, Break-block Gem or Block Gem to craft a Double Stats Gem. The Gems you choose must have the same level. #H4. Crafting consumes Forge Stones and a Defense Gem of the same level. #H5.You can cancel your selection by clicking on the Gems in the Craft slots.
bs22	该宝石等级不足，不能分解。	This Gem hasn’t reached the required level, can’t be recycled.
bs23	分解成功：{0}-1，{1}+2	Recycled successfully: {0} - 1，{1} + 2.
bs24	神石不足，不能分解！	Not enough Balens. Failed to recycle.
bs3	60级开放	Unlocked at Lvl 60.
bs4	宝石封印60级开放	Gem Soul Engraving will be unlocked at Lvl 60.
bs5	需消耗{0}个封印石提升封印等级	It costs {0} Soul Crystals to upgrade Soul Engraving level.
bs6	数量不足	Not enough items!
bs7	宝石不足	Not enough Gems!
bs8	封印石不足，无法封印	Not enough Soul Crystals, unable to Engrave Soul.
bs9	确定消耗{0}个封印石提升至等级{1}	Are you sure you want to consume {0} Soul Crystal(s) to Engrave Soul to Lvl {1}?
bskbz	宝石孔不足	Not enough Gem Sockets!
buf_1	生命加成	HP Boost
buf_4	物攻加成	PATK Boost
buf_6	法攻加成	MATK Boost
buff1	城主特权#H主角经验加成{0}%，对恶魔深渊生效。#H金币加成{1}%，对心魔炼狱，副本，炼金生效。	Buff #H Character EXP boost {0}%, but doesn't work in Crypt.#H Gold boost {1}%. Works in Crypt, Dungeon and Alchemy.
buff2	您的等级低于世界等级，获得经验额外加成{0}	Your level is below the average level of the top 20. You’ll receive a {0} boost.
buff3	半年卡特权#H金币加成10%，对心魔炼狱，副本，炼金和英灵神殿生效。#H可和其他特权效果叠加	One Year Covenant#H Gold Boost: 10%. Works in Hero Trial, Dungeon, Alchemy and Hall of Heroes.#H The boost can be accumulated.
bxxt1	是否确定消耗#C(#fefb00){0}*1#n进行更改性别	Are you sure you want to spend #C(#fefb00){0}*1#n to change gender?
bxxt2	有家室的人无法进行变性操作	You can't change your gender because you’re married.
carnival1	当前拥有狂欢充值宝箱数量：{0}	Current Carnival Recharge Chest: {0}
carnival2	该活动已结束，请等待下一次狂欢的到来吧！	The event is over. Please wait until the next one.
carnival3	领取宝箱	Claim
cffy	#C(#ff0000)不能连续发送相同的内容	#C(#ff0000)Can't send the same message twice.
cffy2	#C(#ff0000)无法发送空白内容	#C(#ff0000)Can't leave the text box empty.
changeName10	该角色名已被使用，请重新命名	The name is already in use. Choose another one.
changeName11	您的身份不是公会会长，无法使用	You can’t use it since you’re not the Guild Master.
changeName12	请输入新公会名称	Please enter the new Guild name.
changeName13	公会名中包含非法字符	Forbidden characters are not allowed!
changeName14	公会名中不要包含空格	No spaces in Guild names!
changeName15	该公会名可使用	The Guild name isn’t available.
changeName16	请为您的公会重新命名	Please rename your guild.
changeName17	是否确定进行改名操作	Are you sure you want to rename?
changeName18	改名成功	Renamed successfully!
changeName19	每个改名卡礼盒只可选择一次奖励#H确定选择#C(#FF6600){0}#n?	Pick one reward for each Renaming Card! #H Confirm#C(#FF6600){0}#n?
changeName3	请输入名字	Please enter the name.
changeName4	该角色名可使用	The name is available.
changeName5	您输入的名字中包含敏感字符	The name includes forbidden characters.
changeName6	是否确定进行改名操作?	Are you sure you want to rename?
changeName8	输入的名字与原名字相同，请重新输入	The name you entered is the same as the original. Please enter a different one.
changeName9	请为您的角色重新命名	Please rename your character.
chaojitouzi	说明：#H1、活动期间，可以使用充值神石进行项目投资#H2、投资后，到达相应天数即可领取投资返利，最高返利高达400%#H3、每个投资项目单独计算投资时间，可以同时进行多项投资#H4、投资功能只在活动期间开放，活动结束后关闭，但已经投资的项目可以继续领取奖励。	Instructions: #H1. During the event, you can deposit Recharge Balens. #H2. Make a deposit several days in a row and you can receive a deposit refund up to 400%. #H3. Every day you can receive rewards for each deposit. You can make multiple deposits per day. #H4. The Deposit function will be available only during the event. It will be locked when the event ends, but you will still be able to claim the corresponding rewards for your deposits.
chaozhibaoxlq	你已经领取了超值宝箱的奖励。	You have claimed Super Pack.
chat1	喇叭不足	Not enough Bullhorns!
chat10	邀请入队	Invite to Team
chat11	删除好友	Delete Friend
chat12	世界	World
chat13	公会	Guild
chat14	道具喇叭不足，是否购买喇叭?	Not enough Bullhorns! Would you like to buy more?
chat16	喇叭	Bullhorn
chat17	点击锁定消息滚动	Click to lock the message.
chat18	点击解锁消息滚动	Click to unlock the message.
chat19	[贵族{0}]特权	[VIP{0}] Benefits
chat2	#C(#f7f7f)--------------------------历史记录----------------------------------	#C(#f7f7f)--------------------------Chat Log----------------------------------
chat20	[半年皇室契约]特权	*****
chat21	[1个月皇室契约]特权	*****
chat22	[7天皇室契约]特权	*****
chat23	公会邀请	Guild Invite
chat24	#C(#fbfe00){0}#n等级不足#C(#fbfe00){1}#n，无法加入公会	#C(#fbfe00){0}#n hasn't reached Lvl#C(#fbfe00){1}#n to join a Guild.
chat25	点击扩大	Click to enlarge
chat26	点击缩小	Click to narrow
chat27	点击常态	Click to return to normal
chat28	点击收起聊天窗口	Click to hide
chat29	点击展开聊天窗口	Click to show
chat3	私聊	PM
chat30	队伍	Team
chat31	#C(#ff0000)#S(16)温馨提示：#n#n#H#C(#fbfe00)切勿相信任何出售神石、送首充、送贵族、进YY等信息！#n	#C(#ff0000)#S(16)Tips:#n#n#H#C(#fbfe00)切勿相信任何出售神石、送首充、送贵族、进YY等信息！#n
chat32	#C(#ff0000)此场景无法使用区域聊天	#C(#ff0000)The chat isn’t available here.
chat33	区域	Area
chat4	加为好友	Add Friend
chat5	查看信息	View Info
chat6	加入队伍	Join team
chat7	复制名字	Copy name
chat8	加入黑名单	Blacklist
chat9	点击清除	Click to clear
chengzhujifen001	城主轮值显示积分：+{0}	Guild Battle Points:+{0}
christmas01	1、活动期间每日12:00、24:00刷新许愿树礼物，礼物随机刷新，有概率出现极品折扣道具#H2、玩家也可消耗袜子手动刷新，刷新消耗袜子与每日刷新次数有关#H3、购买部分商品需额外消耗圣诞袜子#H4、圣诞袜子可在超值大礼、每日必做、专题活动中获得#H#C(#FFFF00)5、玩家在此活动中消耗1神石获得1积分	1. During the event, the Wishing Tree gifts will be refreshed at 12:00 and 24:00 every day. You will also have the chance to buy amazing discount items. #H2. You may also refresh manually but you will have to consume May Flowers. #H3. Some items will also cost you May Flowers. #H4. Sources of May Flowers: Surprise Sale, Devotion, Themed Events. #H#C(#FFFF00)5. Players will get 1 Point by consuming 1 Balen during the event.
christmas02	消耗袜子数量和每日刷新次数有关	The more times you refresh, the more May Flowers you’ll consume.
christmas03	#U#C(#00FF00)#A(#K(dlg,OPEN_DO_DAILY))前往获取	#U#C(#00FF00)#A(#K(dlg,OPEN_DO_DAILY)) Claim
christmas04	袜子不足	Not enough May Flowers!
christmas05	圣诞袜子可通过每日必做、超值大礼、专题活动、全民团购获得	Sources of May Flowers: Premium Pack, Devotion, Carnival.
christmas06	每日必做	Devotion
christmas07	超值大礼	Surprise Sale
christmas08	获取途径:	Where to get:
christmas09	此次更换礼物消耗{0}个圣诞袜子	Refreshing Cost: May Flower ×{0}
christmas10	充值神石	Recharge Balens
christmas11	神石	Balens
christmas12	是否花费#C(#fbfe00){0}#n	Are you sure you want to consume #C(#fbfe00){0}#n
christmas13	和#C(#fbfe00){0}#n圣诞袜子	and May Flower x #C(#fbfe00){0}#n?
christmas14	购买#C(#fbfe00){0}#n个#C(#fbfe00){1}#n	Buy#C(#fbfe00){0}#n #C(#fbfe00){1}#n
christmas15	#U#C(#00FF00)#A(#K(dlg,OPEN_DAILY_PANEL))参与荣耀之战	#U#C(#00FF00)#A(#K(dlg,OPEN_DAILY_PANEL)) Take part in Battle Ground
christmas16	#U#C(#00FF00)#A(#K(dlg,OPEN_ZDPT_DT))参与组队爬塔	#U#C(#00FF00)#A(#K(dlg,OPEN_ZDPT_DT)) Enter the Team Tower
christmas17	1、活动期间玩家可以消耗神石进行一次抽奖或十次抽奖#H2、玩家可以通过消耗折扣次数同时花费更少的神石进行抽奖#H3、折扣抽奖次数可以通过参与荣耀之战与组队爬塔获得#H4、折扣次数每日清零#H#C(#FFFF00)5、玩家在此活动中消耗1神石获得1积分	1. During the activity, you can consume Balens to draw the Golden Wheel 1 or 10 times. #H2. With our Discounts the players can receive spin chances and spend less Balens. #H3. Players can obtain Discounts by joining the War of Glory and entering the Team Tower. #H4. Discounts will be reset to 0 every day. #H#C(#FFFF00)5. Players will win 1 Point when they consume 1 Balen in this event.
christmas18	折扣抽奖次数：{0}	Golden Wheel Discount: {0}
christmas19	活动未开启	The event hasn't started yet.
christmas20	等级不足65级，无法参与活动	You can't take part in the event since you haven't reached Lvl 65 yet.
christmas21	是否消耗#C(#fbfe00){0}#n神石进行一次抽奖	Are you sure you want to consume #C(#fbfe00){0}#n Balen(s) to receive a chance at Golden Wheel?
christmas22	神石不足	Insufficient Balens.
christmas23	是否消耗#C(#fbfe00){0}#n神石进行10次抽奖	Are you sure you want to consume #C(#fbfe00){0}#n Balen(s) to have 10 Golden Wheel chances?
christmas24	#U#C(#00FF00)#A(#K(dlg,OPEN_DAILY_PANEL))参与城主轮值	#U#C(#00FF00)#A(#K(dlg,OPEN_DAILY_PANEL))Take part in Guild Battle
christmas25	#U#C(#00FF00)#A(#K(dlg,OPEN_DAILY_PANEL))参与魔兽入侵	#U#C(#00FF00)#A(#K(dlg,OPEN_DAILY_PANEL))Take part in Invaders!
christmas26	1、活动期间玩家可以消耗神石进行一次抽奖或十次抽奖#H2、玩家可以通过消耗折扣次数同时花费更少的神石进行抽奖#H3、折扣抽奖次数可以通过参与魔兽入侵与城主轮值获得#H4、折扣次数每日清零#H#C(#FFFF00)5、玩家在此活动中消耗1神石获得1积分	1. During the activity, players can consume Balens to get from one to ten Golden Wheel chances. #H2. With our Discounts the players can receive spin chances and spend less Balens. #H3. Players can win Discounts at Invaders and Guild Battles. #H4. Discounts will be reset to 0 every day.#H#C(#FFFF00)5. Players will get 1 Point when they consume 1 Balen in this event.
christmas27	是否花费#C(#fbfe00){0}#n个袜子刷新商品	Are you sure you want to spend May Flower x#C(#fbfe00){0}#n to refresh?
christmas28	【已完成】	【Complete】
christmas29	【未完成】	【Incomplete】
christmas30	活动已结束	The event is over.
christmas31	我的{0}：{1}	My {0}:{1}
chxt1	玩法说明：#H1、称号可通过不同活动、玩法激活#H2、部分称号具备属性，不同称号间属性可累加，限时称号到期则属性失效#H3、称号属性在以下玩法中生效：#H#C(#fbfe00)  英雄竞技、勇斗领主、劫宝、野外夺宝、组队爬塔、公会魔神、魔兽入侵、荣耀之战、城主轮值、跨服竞技#n	Instructions: #H1. You can activate Titles by taking part in events. #H2. Some Titles can boost Stats. Stat boosts of different Titles can be stacked. Temporary titles can boost Stats within the time limit. #H3. Title Stat boosts will be valid in the following events: #H#C(#fbfe00) Arena, Prisoner, Loot, Wild Loot, Team Tower, Blood Trial, Invaders!, War of Glory, Guild Battle and Cross-server Arena.
chxt10	是否确认花费#C(#00FF00){0}#n神石完成10次培养？	Are you sure you want to spend #C(#00FF00){0}#n Balens to upgrade 10 times?
chxt11	使用#C(#00FF00){0}#n神石进行一次培养#H有几率出现暴击（获得3倍经验）#H优先使用道具称号培养石	Use #C(#00FF00){0}#n Balens to upgrade once. #H There is a chance to receive 3× EXP. #H The Title Upgrade Stones will be used first.
chxt12	使用#C(#00FF00){0}#n神石进行10次培养#H有几率出现暴击（获得3倍经验）#H优先使用道具称号培养石	Use #C(#00FF00){0}#n Balens to upgrade 10 times. #H There is a chance to receive 3× EXP. #H The Title Upgrade Stones will be used first.
chxt13	无法培养	Cannot upgrade!
chxt14	称号培养90级开启	The Title upgrade will be unlocked at Lvl 90.
chxt15	称号已满级	The Title has reached its highest level.
chxt16	最多可佩戴5个称号	You can have 5 Titles maximum.
chxt17	称号属性在以下玩法中生效：#H英雄竞技#H勇斗领主#H劫宝#H野外夺宝#H组队爬塔#H公会魔神#H魔兽入侵#H荣耀之战#H城主轮值#H跨服竞技	The Title Stat boosts will be valid in the following events: #H Arena #H Prisoner #H Loot #H Wild Loot #H Team Tower #H Blood Trial #H Invaders! #H War of Glory #H Guild battle #H Cross-server Arena.
chxt18	尚未获得称号	You haven't received a Title.
chxt19	(称号属性在部分玩法生效)	(The Title Stat boosts will only be valid in specific events.)
chxt2	玩法说明：#H1、培养可提升称号等级，每次培养均有概率暴击出现3倍经验#H2、限时称号无法培养#H3、称号属性在以下玩法中生效：#H#C(#fbfe00)  英雄竞技、勇斗领主、劫宝、野外夺宝、组队爬塔、公会魔神、魔兽入侵、荣耀之战、城主轮值、跨服竞技#n×	Instructions: #H1. Upgrade to increase the Title's level. There is a chance to receive 3× EXP for each upgrade. #H2. Temporary Titles cannot be upgraded. #H3. The Title Stat boost will be valid in: #H#C(#fbfe00) Arena, Prisoner, Loot, Wild Loot, Team Tower, Blood Trial, Invaders!, War of Glory, Guild Battle and Cross-server Arena. #n
chxt20	无称号属性加成	There are no Title Stat boosts.
chxt21	称号属性（主角）	Title Stat Boost (For your character only)
chxt22	称号属性（全队）	Title Stat Boost (For all teammates)
chxt23	获得称号：#H	You've received the Title: #H
chxt24	升星所需材料不足	Insufficient upgrade materials.
chxt25	需要称号等级达到{0}级才可升星	You need Lvl {0} Title to upgrade.
chxt26	需要称号达到{0}级	Lvl {0} Title is required.
chxt27	90级开启	Unlocked at Lvl 90.
chxt28	星	Star
chxt29	已满星	Full Star Title
chxt3	称号升星说明：	Title Enhancement Instructions:
chxt30	称号已达到最大星级	Your Title has been already upgraded to the highest level.
chxt31	玩法说明：#H1、称号等级达标，且材料足够可升星#H2、限时称号无法升星#H3、称号属性在以下玩法中生效：#H#C(#fbfe00)  英雄竞技、勇斗领主、劫宝、野外夺宝、组队爬塔、公会魔神、魔兽入侵、荣耀之战、城主轮值、跨服竞技#n	Instructions: #H1. Reach the specified Title level and required material to upgrade. #H2. You cannot upgrade a temporary Title.#H3. The Title Stat boost will be valid in: #H#C(#fbfe00)Arena, Prisoner, Loot, Wild Loot, Team Tower, Blood Trial, Invaders!, Blood Trial, Guild Battle and Cross-server Arena. #n
chxt4	剩余：{0}天{1}小时(已激活)	Remaining time: {0} day(s) {1} hour(s) (Activated)
chxt5	有效期：{0}天{1}小时(未激活)	Valid: {0} day(s) {1} hour(s) (Not activated)
chxt6	有效期：永久(已激活)	Valid: Permanent (Activated)
chxt7	有效期：永久(未激活)	Valid: Permanent (Not activated)
chxt8	称号培养石不足，是否确认花费#C(#00FF00){0}#n神石进行1次称号培养？	You haven’t got enough Title Upgrade Stones! Are you sure you want to spend #C(#00FF00){0}#n Balens to upgrade your Title once?
chxt9	是否确认使用#C(#00FF00){0}#n个称号培养石和#C(#00FF00){1}#n神石完成10次培养？	Are you sure you want to spend #C(#00FF00){0}#n Title Upgrade Stones and #C(#00FF00){1}#n Balens to upgrade 10 times?
circular001	{0}天{1}小时{2}分钟{3}秒	{0} Days {1} Hours {2} Minutes {3} Seconds
circular002	距离活动结束还有:0天0小时0分钟0秒	Remaining Time: 0 Days 0 Hours 0 Minutes 0 Seconds
circular003	距离活动结束还有:{0}	Remaining Time: {0}
cjhb001	额外返回奖励:{0}{1}	Return extra {0}{1} rewards.
cjhb002	总获利:{0}	You obtained: {0}
cjhb003	价格:{0}	Price: {0}
cjhb004	立即返还:{0}	Return {0} instantly
cjhb005	花费{0}充值神石，购买红包，每位玩家只能购买一个红包	Consume {0} recharge Balens to buy a Balen Pack. There is only one Balen Pack for each player.
cjhb006	1970/1/1 00:00:00	00:00:00 1/1/1970
cjhb007	{0}年{1}月{2}日	{1} {2},{0}
cjhb008	购买红包后开始计算	If you buy a Balen Pack you can receive items every day.
cjhb009	{0}神石	{0} Balen(s)
cjhb010	今日累计充值达:{0}	Today's total Recharge: {0}
cjhb011	今日累计充值不满足购买该返利礼包条件	You haven't reached the required Recharge Amount today, so you cannot buy the Refund Pack.
cjpm1	#C(#FFFFFF)活动开启时间内，达到指定等级的玩家均可获得奖励一份。活动结束时，#H主角#C(#00FF00)44级以上#n且等级排名第一的玩家将额外获得丰厚大奖一份！#n	#C(#FFFFFF)During the event, players who reach the specified level will receive a reward. When the event ends, the player whose character#C(#00FF00) reaches Lvl 44 or higher#n and ranks No. 1 will receive a bonus!#n
cjpm2	#C(#66FF00)#U#A(#K(OPEN_ACTIVITY,1))更多奖励尽在疯狂冲级#n#n#n	#C(#66FF00)#U#A(#K(OPEN_ACTIVITY,1))Amazing rewards are waiting for you in the Hot Events.#n#n#n
ClickAndStopTip	再次点击取消自动寻路	Click again to deactivate AFK Mode.
comma	，	,
coolTime001	<font color='#66FF00'><a href='event:'><u>{0}</u></a></font>	<font color='#66FF00'><a href='event:'><u>{0}</u></a></font>
coolTime002	<font color='#ffffff'><a href='event:'><u>{0}</u></a></font>	<font color='#ffffff'><a href='event:'><u>{0}</u></a></font>
crit	暴击	Crit
crit_t	暴击百分比:	Crit rate:
critpress	免暴	Anti-crit
critpress_t	免暴百分比:	Anti-crit rate:
csfh	出售返还：	Refund:
csjg	出售价格：	Price:
csjg1	(100%返还)	(100% refund)
csjg2	(附魔石100%返还)	(All the Enhancing Stones will be returned.)
csjg3	(装备附魔石100%返还)	(All the equipped Enhancing Stones will be returned.)
csm	等级不够，达不到传送条件！	Required level not reached, can't teleport!
cwft1	#C(#00ff00)采集消耗：#n#H#C(#fbfe00){0}*1#n#H#C(#fbfe00)金币：{1}#n	#C(#00ff00) Collection Cost: #n#H#C(#fbfe00){0} × 1 #n#H#C(#fbfe00) Gold:{1}#n
cwft2	#C(#00ff00)采集消耗：#n#H#C(#fbfe00){0}*1#n	#C(#00ff00) Collection Cost: #n#H#C(#fbfe00){0} × 1 #n
cwft3	{0}数量不足	Not enough {0}!
cwft4	#C(#ffffff)银锄头不足	#C(#ffffff) Not enough Silver Picks!
cwft5	#C(#ffffff)通关副本或英灵神殿可获得银锄头	#C(#ffffff) Clear Dungeons or the Hall of Heroes to obtain Silver Picks.
cwft6	数量：{0}	Amount: {0}
cwft7	1、玩家通过点击七彩精华进行单次采集，也可点击一键采集按钮进行18次采集；#H2、锄头分为金锄头、银锄头两种，使用金锄头可获得更珍贵的奖励；#H3、活动期间，金锄头可在商城购买，银锄头通过通关副本和英灵神殿可获得。	1. Click “Colorful Spar” to collect one by one. You can also click “Collect 18 Times” to collect them 18 times. #H2. There are Golden Picks and Silver Picks. Use the Golden ones to win more rewards. #H3. During the event, you can buy Golden Picks in the Shop and obtain Silver Picks by clearing Dungeons and the Hall of Heroes.
cwft8	#C(#00ff00)采集消耗：#n#H#C(#fbfe00){0}*{1}#n	#C(#00ff00) Collection Cost: #n#H#C(#fbfe00){0} × {1}#n
cwft9	#C(#00ff00)采集消耗：#n#H#C(#fbfe00){0}*{1}#n#H#C(#fbfe00)金币：{2}#n	#C(#00ff00) Collection Cost: #n#H#C(#fbfe00){0} × {1} #n#H#C(#fbfe00) Gold:{2}#n
cxyx1	#C(#FF0000)温馨提示：#C(#FFFFFF)#H每次翻牌都会在#C(#00FF00)二级符文礼盒、宠物圣果和符文封印石#C(#FFFFFF)中随机获得2种奖励，必定获得#C(#00FF00)羽翼培养石#C(#FFFFFF)，一次翻盘共获得#C(#FF0000)三种#C(#FFFFFF)奖励。	#C(#FF0000) Tips: #C(#FFFFFF)#H You will receive two of the following rewards from each draw: #C(#00FF00) Lvl 2 Rune Pack, Pet Training Whistle or Rune Soul Crystals. You will also get #C(#00FF00)Wing Tailoring Feathers #C(#FFFFFF). Soon you will get #C(#FF0000) 3 kinds #C(#FFFFFF) of rewards.
czssCount	充值神石：{0}	Recharge Balen: {0}
daily33661	您的3366成长等级是<font color='#ff6501'>{0}</font>，等级越高礼包越丰厚！	no need to translate
daily33662	马上去升级	Level up
dailyPayGift001	是否花费#C(#FF0000){0}神石#n开启#C({1}){2}	Are you sure you want to spend #C(#FF0000){0} Balens#n to open #C({1}){2}?
dailyPayGift002	神石不足	Insufficient Balens.
damagereduce	免伤	Reduce Damage
damageupgrade	增伤	Damage Boost
daytask1	     是否花费{0}神石或魔晶立即完成，#H           贵族7及以上的玩家免费	     Are you sure you want to spend {0} Balens or Bound Balens to complete? #H           Free for VIP 7 or higher.
