messageId	desc	FTdesc
xiaoshi	小时	小時
fenzhong	分钟	分鐘
formation1	{0}已经在出阵位上，不能再出阵同样的英雄	{0}已經在出陣位上，不能再出陣同樣的英雄
formation2	已助阵的英雄将无法出阵	已助陣的英雄將無法出陣
formation3	开启声望：	開啟聲望：
formation4	该英雄已参与助阵	該英雄已參與助陣
formation5	助阵位已满	助陣位已滿
formation6	当前位置不能放置高于{0}星的英雄	當前位置不能放置高於{0}星的英雄
formation7	{0}已助阵，该类型的英雄不能再助阵	{0}已助陣，該類型的英雄不能再助陣
formation8	当前助阵位未开启	當前助陣位未開啟
formation9	{0}已经在助阵位上，不能再出阵同类型的英雄	{0}已經在助陣位上，不能再出陣同類型的英雄
formation10	防御	防禦
formation11	辅助	輔助
formation12	法攻：	法攻：
formation13	等级不足{0}级，尚未达到开启条件	等級不足{0}級，尚未達到開啟條件
formation14	31级开启助阵位	31級開啟助陣位
formation15	{0}已出阵，该类型的英雄不能再助阵	{0}已出陣，該類型的英雄不能再助陣
formation16	（主动技能）	（主動技能）
formation17	（被动技能）	（被動技能）
formation18	攻击成长: 	攻擊成長:
formation19	生命成长: 	生命成長:
formation20	速度成长: 	速度成長:
formation21	烈火重生，龙骑归来	烈火重生，龍騎歸來
tz1	{0}件效果({1}/{2})	{0}件效果({1}/{2})
learnSkillC1	需要主角等级{0}	需要主角等級{0}
learnSkillC2	需要主角达到{0}星	需要主角達到{0}星
learnSkillC3	需要{0}技能达到{1}级	需要{0}技能達到{1}級
learnSkillC4	需要技能点数{0}点	需要技能點數{0}點
zbxt1	请放入需要强化的装备	請放入需要強化的裝備
zbxt2	请放入需要升阶的装备	請放入需要升階的裝備
zbxt3	请放入需要神铸的装备	請放入需要神鑄的裝備
zbxt4	材料不足无法升阶	材料不足無法升階
zbxt5	材料不足无法神铸	材料不足無法神鑄
zbxt6	装备成功	裝備成功
zbxt7	只有出阵的英雄才可以进行装备	只有出陣的英雄才可以進行裝備
zbxt8	等级不足无法装备	等級不足無法裝備
zbxt9	背包已满无法卸装	背包已滿無法卸裝
zbxt10	是否确定消耗{0}神石或魔晶进行加速	是否確定消耗{0}神石或魔晶進行加速
zbxt11	强化成功时，有8%的机会额外提升1级	強化成功時，有8%的機會額外提升1級
zbxt12	35级开放	35級開放
zbxt13	40级开放	40級開放
zbxt14	神铸 	神鑄
zbxt15	该装备不能进行升阶	該裝備不能進行升階
zbxt16	该装备不能进行神铸	該裝備不能進行神鑄
zbxt17	没有上阵的英雄不能穿装备	沒有上陣的英雄不能穿裝備
zbxt18	该装备不能进行强化	該裝備不能進行強化
zbxt19	可以神铸	可以神鑄
zbxt20	强化等级不能高于角色等级	強化等級不能高於角色等級
zbxt21	升阶成功	升階成功
zbxt22	神铸成功	神鑄成功
zbxt23	强化成功	強化成功
zbxt24	强化暴击	強化暴擊
zbxt25	无法出售，请先卸除装备上的宝石	無法出售，請先卸載裝備上的寶石
jbbz	金币不足	金幣不足
ybbz	神石不足	神石不足
ljbz	魔晶不足	魔晶不足
yxxt1	26级开放	26級開放
yxxt2	主角无法使用经验道具	主角無法使用經驗道具
yxxt3	英雄等级已达上限，无法继续升级	英雄等級已達上限，無法繼續升級
yxxt4	经验值已达上限	經驗值已達上限
yxxt5	道具列表已满	道具列表已滿
yxxt6	当前英雄已达到等级上限，进化后可提升更高等级	當前英雄已達到等級上限，進化後可提升更高等級
yxxt7	英雄位置已满，请先解雇多余英雄	英雄位置已滿，請先解雇多餘英雄
yxxt8	当前英雄必须达到{0}级才可进化	當前英雄必須達到{0}級才可進化
yxxt9	材料不足	材料不足
yxxt10	英雄进化成功	英雄進化成功
yxxt11	已达最高品质，无法继续进化	已達最高品質，無法繼續進化
yxxt12	等级不足	等級不足
yxxt13	英雄转生成功	英雄轉生成功
yxxt14	#C(#FFFFFF)解雇英雄可获得{0}+{1}#n	#C(#FFFFFF)解雇英雄可獲得{0}+{1}#n
yxxt15	#C(#FFFFFF)解雇英雄可获得{0}+{1}，是否确认解雇#n	#C(#FFFFFF)解雇英雄可獲得{0}+{1}，是否確認解雇#n
yxxt16	#U#C(#00FF00)#A(#K(dlg,EMSY))[点击获取经验]#n#n#n	#U#C(#00FF00)#A(#K(dlg,EMSY))[點擊獲取經驗]#n#n#n
yxxt17	#U#C(#00FF00)#A(#K(OPEN_EXCHANGE_SHOP,{0}))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(OPEN_EXCHANGE_SHOP,{0}))[前往獲取]#n#n#n
yxxt18	#U#C(#00FF00)#A(#K(dlg,YXJT))[点击获取]#n#n#n	#U#C(#00FF00)#A(#K(dlg,YXJT))[點擊獲取]#n#n#n
yxxt19	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[需要英雄达到{0}级]#n#n#n	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[需要英雄達到{0}級]#n#n#n
yxxt20	#U#C(#00FF00)#A(#K(dlg,YXSHENGJI))[需要英雄达到{0}级]#n#n#n	#U#C(#00FF00)#A(#K(dlg,YXSHENGJI))[需要英雄達到{0}級]#n#n#n
yxxt21	#C(#FFFFFF)另一个未出阵和未助阵{0}级的{1}#n	#C(#FFFFFF)另一個未出陣和未助陣{0}級的{1}#n
yxxt22	[4,6,5,7,1,2,8,9,10,11,12,13,14,15]	[4,6,5,7,1,2,8,9,10,11,12,13,14,15]
yxxt23	[6,5,7,1,2,8,9,10,11,12,13,14,15]	[6,5,7,1,2,8,9,10,11,12,13,14,15]
yxxt24	#U#C(#00FF00)#A(#K(dlg,OPEN_YLSD))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(dlg,OPEN_YLSD))[前往獲取]#n#n#n
yxxt25	#C(#FFFFFF)当前英雄已达等级上限,是否前往进化#n	#C(#FFFFFF)當前英雄已達等級上限,是否前往進化#n
yxxt26	#U#C(#00FF00)#A(#K(dlg,OPEN_HEROFORUMSHOP))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(dlg,OPEN_HEROFORUMSHOP))[前往獲取]#n#n#n
yxxt27	玩法暂未开放，敬请期待	玩法暫未開放，敬請期待
yxxt28	解雇条件：#H1、该英雄不在出阵位或助阵位#H2、英雄星级低于当前英雄最大星级3星#H3、英雄星级不低于当前英雄最大星级3级，但有2个及以上相同英雄#H#C(#FF0000)解雇需谨慎，紫色英雄用于进化更高阶英雄#n	解雇條件：#H1、該英雄不在出陣位或助陣位#H2、英雄星級低於當前英雄最大星級3星#H3、英雄星級不低於當前英雄最大星級3級，但有2個及以上相同英雄#H#C(#FF0000)解雇需謹慎，紫色英雄用於進化更高階英雄#n
yxxt29	攻击类型为物攻,法攻无效	攻擊類型為物攻,法攻無效
yxxt30	攻击类型为法攻,物攻无效	攻擊類型為法攻,物攻無效
yxxt31	可升阶	可升階
ycd	已穿戴	已穿戴
wcd	未穿戴	未穿戴
skillTip	该技能已经上阵	該技能已經上陣
skillTip2	必杀技	必殺技
skillTip3	前置条件未达成	前置條件未達成
mount1	坐骑系统{0}级开启	坐騎系統{0}級開啟
mount2	培养成功，坐骑获得{0}经验	培養成功，坐騎獲得{0}經驗
mount3	培养出现小暴击，获得{0}经验！	培養出現小暴擊，獲得{0}經驗！
mount4	培养成功，本次培养出现大暴击。坐骑升至{0}阶{1}星	培養成功，本次培養出現大暴擊。坐騎升至{0}階{1}星
mount5	培养{0}次成功，培养出现{1}次小暴击，共获得{2}经验，同时出现{3}次大暴击，坐骑当前等级为{4}阶{5}星	培養{0}次成功，培養出現{1}次小暴擊，共獲得{2}經驗，同時出現{3}次大暴擊，坐騎當前等級為{4}階{5}星
mount6	#C(#ffffff)40级内：每天可普通培养5次#H40-59：每天可普通培养20次#H60-79：每天可普通培养50次#H80级以上：每天普通培养次数不限#H神石培养次数无限制	#C(#ffffff)40級內：每天可普通培養5次#H40-59：每天可普通培養20次#H60-79：每天可普通培養50次#H80級以上：每天普通培養次數不限#H神石培養次數無限制
mount7	骑乘坐骑成功	騎乘坐騎成功
mount8	坐骑休息去了	坐騎休息去了
mount9	您的金币不足，无法培养	您的金幣不足，無法培養
mount10	您当前已没有剩余的培养次数	您當前已沒有剩餘的培養次數
mount11	是否消耗#C(#fbfe00){0}神石或者魔晶#n进行坐骑培养？	是否消耗#C(#fbfe00){0}神石或者魔晶#n進行坐騎培養？
mount12	神石不足，无法培养	神石不足，無法培養
mount13	是否消耗500神石或者魔晶进行50次坐骑培养？	是否消耗500神石或者魔晶進行50次坐騎培養？
mount14	休息	休息
mount15	乘骑	乘騎
mount16	已顶级	已頂級
mount17	当前{0}：{1}	當前{0}：{1}
mount18	无限	無限
mount19	{0}阶	{0}階
mount20	#C(#ffffff)每次培养消耗#C(#fbfe00){0}金币#n获得#C(#fbfe00){1}#n经验#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验）	#C(#ffffff)每次培養消耗#C(#fbfe00){0}金幣#n獲得#C(#fbfe00){1}#n經驗#H有機會出現小暴擊（獲得#C(#fbfe00){2}倍#n經驗）
mount21	#C(#ffffff)每次培养消耗#C(#fbfe00){0}神石或魔晶#n获得#C(#fbfe00){1}#n经验#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验） 大暴击（直接提升1星）#H会优先使用道具{3}	#C(#ffffff)每次培養消耗#C(#fbfe00){0}神石或魔晶#n獲得#C(#fbfe00){1}#n經驗#H有機會出現小暴擊（獲得#C(#fbfe00){2}倍#n經驗） 大暴擊（直接提升1星）#H會優先使用道具{3}
mount22	#C(#ffffff)每次培养消耗#C(#fbfe00){0}神石或魔晶#n进行#C(#fbfe00){1}次高级培养#n#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验） 大暴击（直接提升1星）#H会优先使用道具{3}	#C(#ffffff)每次培養消耗#C(#fbfe00){0}神石或魔晶#n進行#C(#fbfe00){1}次高級培養#n#H有機會出現小暴擊（獲得#C(#fbfe00){2}倍#n經驗） 大暴擊（直接提升1星）#H會優先使用道具{3}
mount23	#C(#ffffff){0}阶激活	#C(#ffffff){0}階啟動
mount24	已经是首页	已經是首頁
mount25	已经是末页	已經是末頁
mount26	在不可走区域不能幻化地面坐骑	在不可走區域不能幻化地面坐騎
mount27	({0}阶激活)	({0}階啟動)
mount28	在不可走区域不能下坐骑	在不可走區域不能下坐騎
mount29	幻化成不同坐骑外形不影响坐骑属性，培养坐骑可以激活更多坐骑外形。	幻化成不同坐騎外形不影響坐騎屬性，培養坐騎可以啟動更多坐騎外形。
mount30	尚未达到条件无法使用	尚未達到條件無法使用
shortLevel	等级不足	等級不足
shortshenshi	神石不足	神石不足
shortBoth	魔晶或神石不足	魔晶或神石不足
shortMoney	金币不足	金幣不足
shortItem	道具不足	道具不足
baifenbishuxing	[14,15]	[14,15]
emsy1	主角等级达到{0}级开启	主角等級達到{0}級開啟
emsy2	副本还未通关，现在退出将不会有奖励哟	副本還未通關，現在退出將不會有獎勵喲
emsy3	领取成功，你获得了#C(#FFFF00){0}#n奖励	領取成功，你獲得了#C(#FFFF00){0}#n獎勵
emsy4	您的背包已满，请先整理后再领取。	您的背包已滿，請先整理後再領取。
emsy5	31级开启扫荡功能	31級開啟掃蕩功能
emsy6	扫荡中	掃蕩中
emsy7	请领取奖励	請領取獎勵
emsy8	是否消耗{0}点体力扫荡第{1}层{2}副本{3}次	是否消耗{0}點體力掃蕩第{1}層{2}副本{3}次
emsy9	未满足条件#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	未滿足條件#H三星通關第{0}層{1}副本可領取#H獎勵#C(#FFFF00){2}#n
emsy10	可领取#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	可領取#H三星通關第{0}層{1}副本可領取#H獎勵#C(#FFFF00){2}#n
emsy11	领取成功，你获得了#C(#FFFF00){0}#n	領取成功，你獲得了#C(#FFFF00){0}#n
emsy12	已领取#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	已領取#H三星通關第{0}層{1}副本可領取#H獎勵#C(#FFFF00){2}#n
emsy13	副本通关可使用扫荡	副本通關可使用掃蕩
emsy14	取消扫荡，会有部分奖励无法拿到哟	取消掃蕩，會有部分獎勵無法拿到喲
emsy15	是否消耗{0}魔晶加速扫荡（魔晶不足时消耗神石），月卡可免CD扫荡哟	是否消耗{0}魔晶加速掃蕩（魔晶不足時消耗神石），月卡可免CD掃蕩喲
emsy16	是否消耗{0}点体力扫荡第{1}层{2}副本{3}次	是否消耗{0}點體力掃蕩第{1}層{2}副本{3}次
emsy17	是否消耗20魔晶购买50点体力（若魔晶不足则消耗神石）	是否消耗20魔晶購買50點體力（若魔晶不足則消耗神石）
emsy18	您的神石不足	您的神石不足
emsy19	月卡特权，可免CD扫荡	月卡特權，可免CD掃蕩
emsy20	1、主角等级达到{0}级（已达到)	1、主角等級達到{0}級（已達到)
emsy21	1、主角等级达到{0}级（未达到)	1、主角等級達到{0}級（未達到)
emsy22	2、拥有1个{0}英雄（已达到） 	2、擁有1個{0}英雄（已達到）
emsy23	2、拥有1个{0}英雄（未达到）	2、擁有1個{0}英雄（未達到）
emsy24	3、通关第{0}层（{1}）（已达到） 	3、通關第{0}層（{1}）（已達到）
emsy25	3、通关第{0}层（{1}）（未达到） 	3、通關第{0}層（{1}）（未達到）
emsy26	当前体力	當前體力
emsy27	次，消耗{0}点体力	次，消耗{0}點體力
emsy28	经验	經驗
emsy29	挑战条件未达到	挑戰條件未達到
emsy30	是否消耗30点体力，进入恶魔深渊副本	是否消耗30點體力，進入惡魔深淵副本
emsy31	1、扫荡一次消耗30体力#H2、扫荡时间为一次20分钟#H3、可花费魔晶进行快速扫荡	1、掃蕩一次消耗30體力#H2、掃蕩時間為一次20分鐘#H3、可花費魔晶進行快速掃蕩
gold1	是否花费#C(#FFFF00){0}#n神石或者魔晶开启炼金炉10次？	是否花費#C(#FFFF00){0}#n神石或者魔晶開啟煉金爐10次？
gold2	本次需要花费<font color='#FFFF00'>{0}</font>神石或者魔晶开启炼金炉	本次需要花費<font color='#FFFF00'>{0}</font>神石或者魔晶開啟煉金爐
gold3	召唤好友助你炼金最多可获得<font color='#FFFF00'>{0}</font>金币	召喚好友助你煉金最多可獲得<font color='#FFFF00'>{0}</font>金幣
gold4	是否花费#C(#FFFF00){0}#n神石或者魔晶开启炼金炉？	是否花費#C(#FFFF00){0}#n神石或者魔晶開啟煉金爐？
gold5	是否提前收获并且获得一半的收益？	是否提前收穫並且獲得一半的收益？
gold6	今日炼金次数已用尽，你还可以协助其他玩家炼金	今日煉金次數已用盡，你還可以協助其他玩家煉金
gold7	今日炼金次数已用尽。	今日煉金次數已用盡。
gold8	招募炼金术士	招募煉金術士
gold9	冷却时间：{0}	冷卻時間：{0}
gold10	炼金次数不足10次，是否花费{0}神石或魔晶开启炼金炉{1}次？	煉金次數不足10次，是否花費{0}神石或魔晶開啟煉金爐{1}次？
gold11	提示：满4人协助可完美收获{0}金币，提前收获则金币收益减半	提示：滿4人協助可完美收穫{0}金幣，提前收穫則金幣收益減半
gold12	不能协助自己	不能協助自己
gold13	提升贵族等级可增加炼金次数	提升貴族等級可增加煉金次數
award01	金币+{0}	金幣+{0}
award02	声望+{0}	聲望+{0}
award03	魔晶+{0}	魔晶+{0}
award04	经验+{0}	經驗+{0}
djbk_tip01	1、30级开启劫宝#H2、每天14:00-19:30每隔半小时开启一次#H3、每次活动有四只运宝地精#H4、玩家击败拥有宝物的地精或玩家，且占领一定时间后可获得奖励#H5、劫宝获得的圣灵碎片可在地精宝库中兑换稀有的装备和命魂#H6、每次劫宝活动最多持续十分钟	1、30級開啟劫寶#H2、每天14:00-19:30每隔半小時開啟一次#H3、每次活動有四隻運寶地精#H4、玩家擊敗擁有寶物的地精或玩家，且佔領一定時間後可獲得獎勵#H5、劫寶獲得的聖靈碎片可在地精寶庫中兌換稀有的裝備和命魂#H6、每次劫寶活動最多持續十分鐘
djbk_tip02	圣灵碎片#H来源于劫宝	聖靈碎片#H來源於劫寶
lianyu1	请先领取奖励	請先領取獎勵
lianyu2	剩余挑战次数：{0}次	剩餘挑戰次數：{0}次
lianyu3	{0} ({1}-{2}级)	{0} ({1}-{2}級)
lianyu4	今日次数已用完	今日次數已用完
lianyu5	1、玩家每天可挑战3次副本#H2、等级越高可挑战的副本种类越多，高等级的副本获得的奖励越丰厚#H3、击杀奖励：击杀小怪和boss获得的奖励#H4、评分奖励：通关副本后根据不同的评分获得不同的奖励#H5、在战斗中玩家可免费复活一次，贵族等级越高可获得购买复活次数越多	1、玩家每天可挑戰3次副本#H2、等級越高可挑戰的副本種類越多，高等級的副本獲得的獎勵越豐厚#H3、擊殺獎勵：擊殺小怪和boss獲得的獎勵#H4、評分獎勵：通關副本後根據不同的評分獲得不同的獎勵#H5、在戰鬥中玩家可免費復活一次，貴族等級越高可獲得購買復活次數越多
lianyu6	当前贵族等级剩余复活次数：{0}。是否消耗魔晶{1}（魔晶不足时则消耗神石）来复活吗？	當前貴族等級剩餘復活次數：{0}。是否消耗魔晶{1}（魔晶不足時則消耗神石）來復活嗎？
lianyu7	取消	取消
shengji	升级	升級
djbk_01	<font color='#00ff00'><a href='event:'><u><font color='#FF0000'>{0}</font>占领宝物中（{1}）</u></a></font>	<font color='#00ff00'><a href='event:'><u><font color='#FF0000'>{0}</font>佔領寶物中（{1}）</u></a></font>
djbk_02	<font color='#00ff00'><a href='event:'>宝物已被<font color='#FF0000'>{0}</font>劫走</a></font>	<font color='#00ff00'><a href='event:'>寶物已被<font color='#FF0000'>{0}</font>劫走</a></font>
djbk_03	<font color='#00ff00'><a href='event:'><u>{0}（{1}）</u></a></font>	<font color='#00ff00'><a href='event:'><u>{0}（{1}）</u></a></font>
bs1	[全部,生命宝石,物攻宝石,法攻宝石,物防宝石,法防宝石,暴击宝石,免暴宝石,破挡宝石,格挡宝石,物攻暴击宝石,物攻免暴宝石,物攻格挡宝石,物攻破挡宝石,法攻暴击宝石,法攻免暴宝石,法攻格挡宝石,法攻破挡宝石,生命暴击宝石,生命免暴宝石,生命格挡宝石,生命破挡宝石]	[全部,生命寶石,物攻寶石,法攻寶石,物防寶石,法防寶石,暴擊寶石,免暴寶石,破擋寶石,格擋寶石,物攻暴擊寶石,物攻免暴寶石,物攻格擋寶石,物攻破擋寶石,法攻暴擊寶石,法攻免暴寶石,法攻格擋寶石,法攻破擋寶石,生命暴擊寶石,生命免暴寶石,生命格擋寶石,生命破擋寶石]
bs2	[全部,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10,等级11,等级12]	[全部,等級1,等級2,等級3,等級4,等級5,等級6,等級7,等級8,等級9,等級10,等級11,等級12]
bs3	60级开放	60級開放
bs4	宝石封印60级开放	寶石封印60級開放
bs5	需消耗{0}个封印石提升封印等级	需消耗{0}個封印石提升封印等級
bs6	数量不足	數量不足
bs7	宝石不足	寶石不足
bs8	封印石不足，无法封印	封印石不足，無法封印
bs9	确定消耗{0}个封印石提升至等级{1}	確定消耗{0}個封印石提升至等級{1}
bs10	[等级4,等级5,等级6,等级7,等级8,等级9,等级10,等级11,等级12]	[等級4,等級5,等級6,等級7,等級8,等級9,等級10,等級11,等級12]
bs11	封印成功，封印等级提升至{0}级	封印成功，封印等級提升至{0}級
bs12	可以合成	可以合成
bs13	合成成功	合成成功
bs14	已达最高等级	已達最高等級
bs15	宝石封印石	寶石封印石
SoundBtnTip1	#C(#ffffff)开启音效#n	#C(#ffffff)開啟音效#n
SoundBtnTip2	#C(#ffffff)关闭音效#n	#C(#ffffff)關閉音效#n
PeopleBtnTip1	#C(#ffffff)显示玩家#n	#C(#ffffff)顯示玩家#n
PeopleBtnTip2	#C(#ffffff)屏蔽玩家#n	#C(#ffffff)遮罩玩家#n
MailBtnTip	#C(#ffffff)邮件#n	#C(#ffffff)郵件#n
SetBtnTip	#C(#ffffff)设置#n	#C(#ffffff)設置#n
RankBtnTip	#C(#ffffff)排行榜#n	#C(#ffffff)排行榜#n
DuiHuanTip	#C(#ffffff)兑换#n	#C(#ffffff)兌換#n
GMBtnTip	#C(#ffffff)GM#n	#C(#ffffff)GM#n
GongGaoTip	#C(#ffffff)公告#n	#C(#ffffff)公告#n
sytip1	关闭声音	關閉聲音
sytip2	开启声音	開啟聲音
jlbz1	{0}开启巨龙宝藏获得了{1}	{0}開啟巨龍寶藏獲得了{1}
jlbz2	你已没有剩余的金锄头，今日无法继续挖宝了	你已沒有剩餘的金鋤頭，今日無法繼續挖寶了
jlbz3	没有剩余的幸运挖宝次数。	沒有剩餘的幸運挖寶次數。
jlbz4	你没有金钥匙，按照攻略挖宝可获得金钥匙。	你沒有金鑰匙，按照攻略挖寶可獲得金鑰匙。
jlbz5	巨龙宝藏30级开启	巨龍寶藏30級開啟
