messageId	desc	Turkishdesc
PropertyEnum4	物攻	F.Sal.
PropertyEnum5	物防	F.Sav.
PropertyEnum6	法攻	S.Sal.
PropertyEnum7	法防	S.Def.
PropertyEnum8	暴击	Kritik
PropertyEnum9	免暴	Antikrit
PropertyEnum10	破防	Savunma kır
PropertyEnum11	免破	Kırma engelle
PropertyEnum12	格挡	Blok
PropertyEnum13	破挡	Blok kır
PropertyEnum14	增伤	Hasar artış
PropertyEnum15	免伤	Hasar düşüş
PropertyEnum16	战斗力	Savaş değeri
PropertyEnum-16	攻击加成	Saldırı artışı
recruit1	需要等级：	Gereken seviye:
recruit2	需要声望：	Gereken itibar:
recruit3	冷却后可再次招募	Atama beklemede
recruit4	当前：{0}/{1}页	Mevcut sayfa: {0}/{1}
recruit5	{0}*{1}	{0}*{1}
recruit6	英雄列表已满，请先解雇多余英雄	Liste dolu. Lütfen birkaç kahraman çıkar.
recruit7	道具不足	Eşya yetersiz.
recruit8	进化后开启	Yükseltmeden sonra açılır
recruit9	进化后升级	Yükseltmeden sonra seviye al 
recruit10	主动技能	Aktif beceri
recruit11	被动技能	Pasif beceri
pack1	装备	Giy
pack2	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}金币	{3} altın {0} #C({1}){2}#n almak için #C(#ffffff) Sat 
pack3	#C(#FFFFFF)背包空间不足#n	#C(#FFFFFF)Çantada yeterli yer yok!#n
pack4	背包容量：	Boşluk:
pack5	剩余可扩展次数{0}	Çantayı genişletmek için kalan hak: {0}
pack6	是否消耗{0}神石或魔晶，扩展5个背包格子?	5 boşluk açmak için {0} kristal veya bağlı kristal harcansın mı?
pack7	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}个魂石	{3} Parlayan kristal {0} #C({1}){2}#n almak için #C(#ffffff) sat
qhdj	强化等级：{0}	Geliştirme seviye: {0}
money	金币	Altın
fb_tip1	达到{0}级才能开启该章节	Bölüm {0} seviyede açılır.
fb_tip2	是否使用{0}魔晶（魔晶不足时，消耗神石），购买1次挑战次数	Bir mücadele hakkı satın almak için {0} Bağlı kristal veya kristal (önce bağlı kristal kullanılır) harcansın mı?
fb_tip3	您的神石不足	kristal yetersiz!
propsType1	消耗品	Kullanılabilir
propsType2	武器	Silah
propsType3	防具	Zırh
propsType4	饰品	Aksesuar
propsType5	宝石	Taş
propsType6	长弓	Uzun yay
propsType7	匕首	Hançer
propsType8	战斧	Balta
propsType9	圣枪	Mızrak
propsType10	战锤	Çekiç
propsType11	弯刀	Pala
propsType12	符文	Rün
ji	级	Seviye
ygq	已过期	Süre doldu
xiaoshi	小时	Saat
fenzhong	分钟	Dakika
formation1	{0}已经在出阵位上，不能再出阵同样的英雄	{0} dizilimde.
formation2	已助阵的英雄将无法出阵	Takviyedeki kahramanlar dizilime yerleştirilemez.
formation3	开启声望：	Gereken itibar:
formation4	该英雄已参与助阵	Kahraman takviyede.
formation5	助阵位已满	Boş takviye poziyonu yok!
formation6	当前位置不能放置高于{0}星的英雄	Mevcut pozisyona {0} yıldızdan yukarı kahraman konuşlanamaz.
formation7	{0}已助阵，该类型的英雄不能再助阵	{0} is already in reinforcements. Aynı tür kahraman can not be deployed in reinforcement positions.
formation8	当前助阵位未开启	Mevcut reinforcement positions still açılır.
formation9	{0}已经在助阵位上，不能再出阵同类型的英雄	{0} takviyede. Aynı tür kahraman dizilime konuşlanamaz.
formation10	防御	Savunma
formation11	辅助	Yardımcı
formation12	法攻：	S.Sal.:
formation13	等级不足{0}级，尚未达到开启条件	Gereken seviye {0}. Açılamaz.
formation14	31级开启助阵位	Yardımcı dizilim pozisyonu seviye 31de açılır.
formation15	{0}已出阵，该类型的英雄不能再助阵	{0} dizilimde. Aynı tür kahraman takviyede konuşlanamaz.
formation16	（主动技能）	(Aktif beceri)
formation17	（被动技能）	(Pasif beceri)
formation18	攻击成长:	Saldırı artışı:
formation19	生命成长:	Can artışı:
formation20	速度成长:	Hız artışı:
formation21	烈火重生，龙骑归来	Efsane şövalye geri geldi.
tz1	{0}件效果({1}/{2})	Takıln {0} parça ({1}/{2}) etkisi
learnSkillC1	需要主角等级{0}	Gereken karakter seviyesi {0}.
learnSkillC2	需要主角达到{0}星	Gereken karakter yıldızı {0}.
learnSkillC3	需要{0}技能达到{1}级	Gereken seviye {1} {0}.
learnSkillC4	需要技能点数{0}点	Gereken beceri puanı {0}. 
zbxt1	请放入需要强化的装备	Lütfen geliştirilecek ekipmanı koyun.
zbxt2	请放入需要升阶的装备	Lütfen yükseltilecek ekipmanı koyun.
zbxt3	请放入需要神铸的装备	Lütfen birleştirilecek ekipmanı koyun.
zbxt4	材料不足无法升阶	Yükseltme için malzeme yetersiz!
zbxt5	材料不足无法神铸	Birleşsüre için malzeme yetersiz!
zbxt6	装备成功	Ekipman giyildi!
zbxt7	只有出阵的英雄才可以进行装备	Sadece dizilmdeki kahramanlar donatılabilir.
zbxt8	等级不足无法装备	Gereken seviyeye ulaşılmadı!
zbxt9	背包已满无法卸装	Çanta dolu, çıkarılamıyor.
zbxt10	是否确定消耗{0}神石或魔晶进行加速	Devam etmek için {0} kristal veya bağlı kristal harcansın mı?
zbxt11	强化成功时，有8%的机会额外提升1级	Güçlendirme başarılı olunca, %8 olasılıkla fazladan 1 Lv yükselme şansız vardır
zbxt12	35级开放	35 seviyede açılır.
zbxt13	40级开放	40  seviyede açılır.
zbxt14	神铸	Birleştirme
zbxt15	该装备不能进行升阶	Ekipman yükseltilemez.
zbxt16	该装备不能进行神铸	Bu ekipman birleştirmede kullanılamaz.
zbxt17	没有上阵的英雄不能穿装备	Sadece dizilmdeki kahramanlar donatılabilir.
zbxt18	该装备不能进行强化	Bu ekipman geliştirilemez.
zbxt19	可以神铸	Birleştirme için hazır
zbxt20	强化等级不能高于角色等级	Geliştirme seviyesi karakter seviyesini geçemez.
zbxt21	升阶成功	Yükseltildi!
zbxt22	神铸成功	Birleştirildi!
zbxt23	强化成功	Geliştirildi!
zbxt24	强化暴击	Kahramanın lütfu alındı !
zbxt25	无法出售，请先卸除装备上的宝石	Satılamaz. Önce ekipmandan taşı sökün.
jbbz	金币不足	Altın yetersiz!
ybbz	神石不足	kristal yetersiz!
ljbz	魔晶不足	Bağlı kristal yetersiz!
yxxt1	26级开放	26 seviyede açılır.
yxxt2	主角无法使用经验道具	Karakter TEC eşyası kullanamaz.
yxxt3	英雄等级已达上限，无法继续升级	Kahraman seviyesi üst sınırda, daha fazla yükseltilemez.
yxxt4	经验值已达上限	TEC üst sınırda!
yxxt5	道具列表已满	Daha fazla eşya alınamaz, liste dolu.
yxxt6	当前英雄已达到等级上限，进化后可提升更高等级	Bu kahraman seviyesi üst sınırda. Seviye almak için önce kahramanı yükseltmeniz gerekiyor.
yxxt7	英雄位置已满，请先解雇多余英雄	Yeni kahraman için yer yok! Lütfen kahramanlarınızı azaltın.
yxxt8	当前英雄必须达到{0}级才可进化	Kahramanı yükseltmek için gereken seviye {0}.
yxxt9	材料不足	Malzeme yetersiz!
yxxt10	英雄进化成功	Yükseltildi!
yxxt11	已达最高品质，无法继续进化	Üst sınıra ulaşıldı, daha fazla yükseltilemez.
yxxt12	等级不足	Gereken seviyeye ulaşılmadı!
yxxt13	英雄转生成功	Kahraman bir yıldız yükseltildi.
yxxt14	#C(#FFFFFF)解雇英雄可获得{0}+{1}#n	{0}+{1}#n almak için kahramanı atın #C(#FFFFFF)
yxxt15	#C(#FFFFFF)解雇英雄可获得{0}+{1}，是否确认解雇#n	{0}+{1} almak için kahramanı atın #C(#FFFFFF). Atmak istiyor musunuz?#n
yxxt16	#U#C(#00FF00)#A(#K(dlg,EMSY))[点击获取经验]#n#n#n	#U#C(#00FF00)#A(#K(dlg,EMSY))[Tıkla TEC al]#n#n#n
yxxt17	#U#C(#00FF00)#A(#K(OPEN_EXCHANGE_SHOP,{0}))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(OPEN_EXCHANGE_SHOP,{0}))[Git ve al]#n#n#n
yxxt18	#U#C(#00FF00)#A(#K(dlg,YXJT))[点击获取]#n#n#n	#U#C(#00FF00)#A(#K(dlg,YXJT))[Tıkla al]#n#n#n
yxxt19	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[需要英雄达到{0}级]#n#n#n	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[Gereken kahraman seviyesi {0} ]#n#n#n
yxxt20	#U#C(#00FF00)#A(#K(dlg,YXSHENGJI))[需要英雄达到{0}级]#n#n#n	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[Gereken kahraman seviyesi {0} ]#n#n#n
yxxt21	#C(#FFFFFF)另一个未出阵和未助阵{0}级的{1}#n	#C(#FFFFFF)Kahramanı yükseltmek için bir tane daha kullanımda olmayan {1} kahramanınızın {0} seviyede bulunması gerekmektedir.#n
yxxt22	[4,6,5,7,1,2,8,9,10,11,12,13,14,15]	[4,6,5,7,1,2,8,9,10,11,12,13,14,15]
yxxt23	[6,5,7,1,2,8,9,10,11,12,13,14,15]	[6,5,7,1,2,8,9,10,11,12,13,14,15]
yxxt24	#U#C(#00FF00)#A(#K(dlg,OPEN_YLSD))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(dlg,OPEN_YLSD))[Git al]#n#n#n
yxxt25	#C(#FFFFFF)当前英雄已达等级上限,是否前往进化#n	#C(#FFFFFF)Bu kahraman yükseltmeye hazır. Yükseltmek istiyor musunuz?#n
yxxt26	#U#C(#00FF00)#A(#K(HJST))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(HJST))[Git ve al]#n#n#n
yxxt27	玩法暂未开放，敬请期待	Bu Özellik henüz açılmadı. Lütfen bekleyin.
yxxt28	同时拥有两个名字相同的英雄，且该英雄不在出阵位或助阵位方可解雇（#C(#FF0000)解雇需谨慎，紫色英雄用于进化更高阶英雄#n）	Dizilimde veya takviyede yer almayan 2 aynı kahramnadan yalnız birini atabilirsiniz. (#C(#FFOOOO) Mor kahraman başka bir kahramanı yükseltmede kullandıldığından atarken iyi düşünün.#n)
yxxt29	攻击类型为物攻,法攻无效	Bu fiziksel saldırıdır, sihir işlemez.
yxxt30	攻击类型为法攻,物攻无效	Bu sihir saldırısıdır, fiziksel işlemez.
yxxt31	可升阶	Yükselt
ycd	已穿戴	Giyildi
wcd	未穿戴	Çıkarıldı
skillTip	该技能已经上阵	Bu beceri aktif
skillTip2	必杀技	Ölümcül beceri
skillTip3	前置条件未达成	Önşart yerine getirilmedi.
mount1	坐骑系统{0}级开启	Binek sistemi {0} seviyede açılır.
mount2	培养成功，坐骑获得{0}经验	Binek eğitildi ve {0} TEC aldı.
mount3	培养出现小暴击，获得{0}经验！	Kahramanın lütfu alındı ve {0} TEC kazanıldı.
mount4	培养成功，本次培养出现大暴击。坐骑升至{0}阶{1}星	Binek eğitildi. Tanrı'nın lütfu alındı ve binek {0} seviye {1} yıldız oldu.
mount5	培养{0}次成功，培养出现{1}次小暴击，共获得{2}经验，同时出现{3}次大暴击，坐骑当前等级为{4}阶{5}星	 {0} kez eğitildi. {1} kahramanın lütfu alındı, binek {2} TEC kazandı. {3} Tanr'ının lütfu alındı. Binek {4} seviye ve {5} yıldız
mount6	#C(#ffffff)40级内：每天可普通培养5次#H40-59：每天可普通培养20次#H60-79：每天可普通培养50次#H80级以上：每天普通培养次数不限#H神石培养次数无限制	#C(#ffffff) Seviye 40'tan önce：oyuncu altın kullanarak her gün 5 kez #H seviye 40-59：oyuncu altın kullanarak her gün 20 kez#H seviye 60-79：oyuncu altın kullanarak her gün 50 kez#H seviye 80 üzeri：oyuncu altın kullanarak her gün sınırsız #H kristal kullanarak sınırsız eğitebilir.
mount7	骑乘坐骑成功	Binildi!
mount8	坐骑休息去了	Binek dinleniyor.
mount9	您的金币不足，无法培养	Altın yetersiz, eğitilemez.
mount10	您当前已没有剩余的培养次数	Eğitim hakkı kalmadı.
mount11	是否消耗#C(#fbfe00){0}神石或者魔晶#n进行坐骑培养？	Binek eğitmek için #C(#fbfe00){0} kristal veya bağlı kristal#n harcansın mı ?
mount12	神石不足，无法培养	kristal yetersiz, eğitilemez.
mount13	是否消耗925神石或者魔晶进行50次坐骑培养？	Bineği 50 kez eğitmek için 925 kristal veya bağlı kristal harcansın mı?
mount14	休息	İn
mount15	乘骑	Bin
mount16	已顶级	Seviye üst sınırı!
mount17	当前{0}：{1}	Mevcut {0}: {1}
mount18	无限	Sınırsız
mount19	{0}阶	Aşama {0}
mount20	#C(#ffffff)每次培养消耗#C(#fbfe00){0}金币#n获得#C(#fbfe00){1}#n经验#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验）	#C(#ffffff)Her eğitimde #C(#fbfe00){0} Altın#n tüketilerek #C(#fbfe00){1}#n TEC kazanılır#H Küçük Kritik (#C(#fbfe00){2} kat#n TEC kazanılır) oluşma şansı vardır
mount21	#C(#ffffff)每次培养消耗#C(#fbfe00){0}神石或魔晶#n获得#C(#fbfe00){1}#n经验#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验） 大暴击（直接提升1星）#H会优先使用道具{3}	#C(#ffffff)Her eğitimde #C(#fbfe00){0} Kristal veya Bağlı Kristal#n tüketilerek #C(#fbfe00){1}#n TEC kazanılır#H Küçük Kritik (#C(#fbfe00){2} kat#n TEC kazanılır) veya Büyük Kritik (Doğrudan 1 Yıldız geliştirilir) oluşma şansı vardır#H Öncelikli olarak kullanılacak Eşya {3}
mount22	#C(#ffffff)每次培养消耗#C(#fbfe00){0}神石或魔晶#n进行#C(#fbfe00){1}次高级培养#n#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验） 大暴击（直接提升1星）#H会优先使用道具{3}	#C(#ffffff)Her eğitimde #C(#fbfe00){0} Kristal veya Bağlı Kristal#n tüketerek yapılan #C(#fbfe00){1} kez Yüksek Eğitimde#n#H Küçük Kritik (#C(#fbfe00){2} kat #n TEC kazanılır) veya Büyük Kritik (Doğrudan 1 Yıldız geliştirilir) oluşma şansı vardır#H Öncelikli olarak kullanılacak Eşya {3}
mount23	#C(#ffffff){0}阶激活	#C(#ffffff)  {0} seviyede açılır .
mount24	已经是首页	Bu ilk sayfa.
mount25	已经是末页	Bu son sayfa.
mount26	在不可走区域不能幻化地面坐骑	Geçit vermez topraklarda yürüyen bir bineğe binemezsiniz.
mount27	({0}阶激活)	(Aşama {0} açılır.)
mount28	在不可走区域不能下坐骑	Geçit vermez topraklarda inilemez.
mount29	幻化成不同坐骑外形不影响坐骑属性，培养坐骑可以激活更多坐骑外形。	Binek değiştirmek binek özelliklerni etkilemez. Daha çok binek açmak için binek eğitin.
mount30	尚未达到条件无法使用	Önşart yerine getirilmedi!
shortLevel	等级不足	Seviye yetersiz!
shortshenshi	神石不足	kristal yetersiz!
shortBoth	魔晶或神石不足	kristal yetersiz veya Bağlı kristal!
shortMoney	金币不足	Altın yetersiz!
shortItem	道具不足	Eşya yetersiz!
baifenbishuxing	[14,15]	[14,15]
emsy1	主角等级达到{0}级开启	Baş kahraman {0} seviyeye gelince açılır .
emsy2	副本还未通关，现在退出将不会有奖励哟	Zindan tamamlanmadı. Şimdi çıkarsanız ödül alamayacaksınız.
emsy3	领取成功，你获得了#C(#FFFF00){0}#n奖励	Aldığınız ödül #C(#FFFF00){0}#n.
emsy4	您的背包已满，请先整理后再领取。	Çantanız dolu. Lütfen boş yer açıp alın.
emsy5	34级开启扫荡功能	Baskın seviye 34'te açılır.
emsy6	扫荡中	Baskın
emsy7	请领取奖励	Lütfen ödülü alın.
emsy8	是否消耗{0}点体力扫荡第{1}层{2}副本{3}次	 {0} kez seviye {1} baskın girişi için {2}, {3} dayanıklılık harcansın mı?
emsy9	未满足条件#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	Önşart yerine getirilmedi!#H Şimdi {1} {0} seviyesini 3 yıldız ile tamamlayın. #H Ödüller#C(#FFFF00){2}#n.
emsy10	可领取#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	Alınabilir#H {1} seviye {0} üç yıldızla tamamlayın #H Ödüller#C(#FFFF00){2}#n.
emsy11	领取成功，你获得了#C(#FFFF00){0}#n	Claimed ! aldın #C(#FFFF00){0}#n.
emsy12	已领取#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	Alındı#H {1} seviye {0} üç yıldız ile tamamlayın#H Ödüller#C(#FFFF00){2}#n.
emsy13	副本通关可使用扫荡	baskın button will be alınabilir after you clear zindanda bir kez.
emsy14	取消扫荡，会有部分奖励无法拿到哟	You will miss some of ödüller if you İptal the baskın.
emsy15	是否消耗{0}魔晶加速扫荡（魔晶不足时消耗神石），月卡可免CD扫荡哟	Baskına devam etmek için {0} bağlı kristal veya kristal (önce bağlı kristal kullanılır) harcansın mı? Baskın gerisayımı iptal etmek için Ayrıcalık kullan.
emsy16	是否消耗{0}点体力扫荡第{1}层{2}副本{3}次	Seviye 1 ilk sefer Zor mod Baskın için {0} dayanıklılık{1} harcansın{2} mı{3}?
emsy17	是否消耗95魔晶购买50点体力（若魔晶不足则消耗神石）	harcansın mı 95 bağlı kristal veya kristal (önce bağlı kristal kullanılır) 50 dayanıklılık satın almak için?
emsy18	您的神石不足	kristal yetersiz!
emsy19	月卡特权，可免CD扫荡	Baskın sürecini iptal etmek için Ayrıcalık aktifleştir.
emsy20	1、主角等级达到{0}级（已达到)	1. Karakter seviyesi {0}. (Tamam)
emsy21	1、主角等级达到{0}级（未达到)	1. Karakter seviyesi {0}. (Tamam değil)
emsy22	2、拥有1个{0}英雄（已达到）	2. 1 {0} kahraman alındı. (Tamam)
emsy23	2、拥有1个{0}英雄（未达到）	2. 1 {0} kahraman alındı. (Tamam değil)
emsy24	3、通关第{0}层（{1}）（已达到）	3. ({1}) seviye {0} tamamla. (Tamam)
emsy25	3、通关第{0}层（{1}）（未达到）	3. ({1})  seviye {0} tamamla. (Tamam değil)
emsy26	当前体力	Mevcut dayanıklılık
emsy27	次，消耗{0}点体力	kez {0} dayanıklılık kullan.
emsy28	经验	TEC
emsy29	挑战条件未达到	Mücadele ön şartı yerine getirilmedi!
emsy30	是否消耗30点体力，进入恶魔深渊副本	Mahzen girişi için 30 dayanıklılık harcansın mı? 
emsy31	1、扫荡一次消耗30体力#H2、扫荡时间为一次20分钟#H3、可花费魔晶进行快速扫荡	1. Bir kez Baskın ücreti 30 dayanıklılık.#H 2.Bir kez baskın 20 dakika sürer.#H 3. baskın bağlı kristalle yapılabilir.
gold1	是否花费#C(#FFFF00){0}#n神石或者魔晶开启炼金炉10次？	10 kez simya yapmak için #C(#FFFF00){0}#n kristal veya bağlı kristal harcansın mı?
gold2	本次需要花费<font color='#FFFF00'>{0}</font>神石或者魔晶开启炼金炉	Simya yapma ücreti <font color='#FFFF00'>{0}</font> kristal veya bağlı kristal.
gold3	召唤好友助你炼金最多可获得<font color='#FFFF00'>{0}</font>金币	Simyadan daha çok altın almak için yardım edecek arkadaş çağır <font color='#FFFF00'>{0}</font>.
gold4	是否花费#C(#FFFF00){0}#n神石或者魔晶开启炼金炉？	Simya yapmak için #C(#FFFF00){0}#n kristal veya bağlı kristal harcansın mı?
gold5	是否提前收获并且获得一半的收益？	Simyayı ödüller kazanılmadan yarım bırakmak mı istiyorsunuz ？
gold6	今日炼金次数已用尽，你还可以协助其他玩家炼金	Bugün simya hakkınız kalmadı ama başkalarına simyada yardım edebilirsiniz.
gold7	今日炼金次数已用尽。	Bugünlük simya hakkı bitti.
gold8	招募炼金术士	Yardım iste
gold9	冷却时间：{0}	CD: {0}
gold10	炼金次数不足10次，是否花费{0}神石或魔晶开启炼金炉{1}次？	Simya hakkı 10'dan az. {0} kristal veya bağlı kristal ile  {1} hak satın al?
gold11	提示：满4人协助可完美收获{0}金币，提前收获则金币收益减半	Not: 4 oyuncu yardımıyla,{0} altın alınabilir veya bu miktarın yarısı alınabilir.
gold12	不能协助自己	Simyada kendi kendine yardım edilemez.
gold13	提升贵族等级可增加炼金次数	Simya hakkını arttırmak için VIP seviyesini yükselt.
award01	金币+{0}	Altın +{0}
award02	声望+{0}	itibar +{0}
award03	魔晶+{0}	Bağlı kristal +{0}
award04	经验+{0}	TEC +{0}
djbk_tip01	1、30级开启劫宝#H2、每天14:00-19:30每隔半小时开启一次#H3、每次活动有四只运宝地精#H4、玩家击败拥有宝物的地精或玩家，且占领一定时间后可获得奖励#H5、劫宝获得的圣灵残片可在地精宝库中兑换稀有的装备和命魂#H6、每次劫宝活动最多持续十分钟#H7、玩家每天最多可以成功劫宝4次	1.Yağma seviye 30'da açılır.#H2.Yağma her gün 14:00-19:30 arası açılır.#H3.her seferinde cincüceler 4 nakliye yapar.#H4.Ödülleri almak için hazine taşıyan cincüce veya oyuncuyu verilen sürede yenin..#H5.Cincüce dükkanında yağmadan alınan ruh parçası nadir eşya ve yıldızlarla takas edilebilir.#H6. Bir yağma süresi en fazla 10 dakikadır.#H7.Günde en fazla 4 yağma yapılabilir.
djbk_tip02	圣灵碎片#H来源于劫宝	Ruh parçası#H yağmadan kazanılabilir.
lianyu1	请先领取奖励	Lütfen önce ödülleri alın.
lianyu2	剩余挑战次数：{0}次	Kalan mücadele hakkı: {0}
lianyu3	{0} ({1}-{2}级)	{0} (seviye {1}-{2})
lianyu4	今日次数已用完	Bugünlük hak bitti.
lianyu5	1、玩家每天可挑战3次副本#H2、等级越高可挑战的副本种类越多，高等级的副本获得的奖励越丰厚#H3、击杀奖励：击杀小怪和boss获得的奖励#H4、评分奖励：通关副本后根据不同的评分获得不同的奖励#H5、在战斗中玩家可免费复活一次，贵族等级越高可获得购买复活次数越多	1. Zindanda günlük üç kez  dövüşülebilir .#H2. Seviye yükseldikçe zindanda dövüşme hakkı da yükselir.Daha yüksek zindan seviyesi, daha iyi ödüller demektir.#H3. Öldürme ödülleri: canavar ve lider ödülleri.#H4. tamamlama ödülleri: zindan ödülleri performansa bağlıdır .#H5. Oyuncu bir kez ücretsiz  dirilebilir. VIPlerin satın alabileceği dirilme hakkı VIP seviyelerine bağlıdır.
lianyu6	当前贵族等级剩余复活次数：{0}。是否消耗魔晶{1}（魔晶不足时则消耗神石）来复活吗？	Kalan dirilme hakkı: {0}.  Diriliş için {1} kristal veya Bağlı kristal(önce bağlı kristal kullanılır) harcansın mı?
lianyu7	取消	İptal
shengji	升级	Seviye al
djbk_01	<font color='#00ff00'><a href='event:'><u><font color='#FF0000'>{0}</font>占领宝物中（{1}）</u></a></font>	<font color='#00ff00'><a href='event:'><u><font color='#FF0000'>{0}</font>Hazineyi tutuyor（{1}）</u></a></font>
djbk_02	<font color='#00ff00'><a href='event:'>宝物已被<font color='#FF0000'>{0}</font>劫走</a></font>	<font color='#00ff00'><a href='event:'>Hazineyi yağmaladı<font color='#FF0000'>{0}</font>Tırtıklama icadı</a></font>
djbk_03	<font color='#00ff00'><a href='event:'><u>{0}（{1}）</u></a></font>	<font color='#00ff00'><a href='event:'><u>{0}（{1}）</u></a></font>
bs1	[全部,生命宝石,物攻宝石,法攻宝石,物防宝石,法防宝石,暴击宝石,免暴宝石,破挡宝石,格挡宝石]	[Hepsi, HP Gem, F.Sal. Gem, S.Sal. Gem, PDEF Gem, MDEF Gem, Crit Gem, Anti-crit Gem, Break-block Gem, Block Gem]
bs2	[全部,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10,等级11,等级12]	[Hepsi, Lvl 1, Lvl 2, Lvl 3, Lvl 4, Lvl 5, Lvl 6, Lvl 7, Lvl 8, Lvl 9, Lvl 10, Lvl 11, Lvl 12]
bs3	60级开放	Seviye 60'ta açılır
bs4	宝石封印60级开放	Taş ruhu işleme seviye 60'ta açılır 
bs5	需消耗{0}个封印石提升封印等级	Ruh işleme seviyesi yükseltme ücreti {0} ruh kristali.
bs6	数量不足	Eşya yetersiz!
bs7	宝石不足	Taş yetersiz!
