messageId	desc	FrDesc
chat18	点击解锁消息滚动	cliquer pour faire défiler le message 
chat19	[贵族{0}]特权	[noble {0}]privilège 
chat20	[半年皇室契约]特权	[contrat impérial semestriel]privilège 
chat21	[1个月皇室契约]特权	[contrat impérial semestriel mensuelle]privilège
chat22	[7天皇室契约]特权	[contrat impérial semestriel des 7 jours]privilège
chat23	公会邀请	invitation de la guilde 
chat24	#C(#fbfe00){0}#n等级不足#C(#fbfe00){1}#n，无法加入公会	#C(#fbfe00){0}#nniveau est insuffisant #C(#fbfe00){1}#n，on ne peut pas rejoindre la guilde.
chat25	点击扩大	cliquer pour élargir
chat26	点击缩小	cliquer pour reduire
chat27	点击常态	revenir à la normale en cliquant 
chat28	点击收起聊天窗口	cliquer pour cacher la boîte de dialogue
chat29	点击展开聊天窗口	cliquer pour afficher la boîte de dialogue
chat30	队伍	équipe 
chat31	#C(#ff0000)#S(16)温馨提示：#n#n#H#C(#fbfe00)切勿相信任何出售神石、送首充、送贵族、进YY等信息！#n	#C(#ff0000)#S(16)petit rappel ：#n#n#H#C(#fbfe00)Ne croyez pas aux rumeurs concernant la vente des pierres divines,l'offre de la première recharge ,ou l'offre du noble etc!#n
chat32	#C(#ff0000)此场景无法使用区域聊天	#C(#ff0000)on ne peut pas utiliser la conversation de la zone sur la scène actuelle 
chat33	区域	zone 
enNone	占位	occupation de la position 
attack	攻击	attaque 
maxhp	生命	vie 
attackspeed	攻击速度	vit. d'att.
anger	怒气	furie 
attack_p	物攻	att. phys.
defense_p	物防	déf. phys.
attack_m	法攻	att. magi.
defense_m	法防	déf. magi.
crit	暴击	coup cri.
critpress	免暴	contre coup cri.
antibroken	破防	percée de défense 
notbroken	免破	anti.percée 
parry	格挡	blocage 
puncture	破挡	percée du blocage 
damageupgrade	增伤	augmentation des dégâts 
damagereduce	免伤	réduction des dégâts
zdl	战斗力	force de combat 
PropertyEnum0	占位	occupation de la position
PropertyEnum1	生命	vie 
PropertyEnum2	速度	vitesse 
PropertyEnum3	主角初始怒气	furie initiale du personnage principal 
PropertyEnum4	物攻	att. phys. 
PropertyEnum5	物防	déf. phys.
PropertyEnum6	法攻	att. magi.
PropertyEnum7	法防	déf. magi. 
PropertyEnum8	暴击	coup crit.
PropertyEnum9	免暴	contre coup cri.
PropertyEnum10	破防	percée de défense 
PropertyEnum11	免破	anti.percée 
PropertyEnum12	格挡	blocage 
PropertyEnum13	破挡	percée du blocage 
PropertyEnum14	增伤	augmentation des dégâts 
PropertyEnum15	免伤	réduction des dégâts
PropertyEnum16	战斗力	force physique 
PropertyEnum-16	攻击加成	bonus de l'attaque 
recruit1	需要等级：	niveau requis :
recruit2	需要声望：	prestige nécessaire :
recruit3	冷却后可再次招募	recruter après CD
recruit4	当前：{0}/{1}页	actuel ：page {0}/{1}
recruit6	英雄列表已满，请先解雇多余英雄	la liste du héros est pleine,veillez licencier les héros superflus
recruit7	道具不足	pas assez d'objets
recruit8	进化后开启	ouvrir après l'évolution 
recruit9	进化后升级	amélioration après l'évolution 
recruit10	主动技能	compétence active 
recruit11	被动技能	compétence passive 
pack1	装备	équipement
pack2	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}金币	#C(#ffffff)vendre {0} #C({1}){2}#n,pour acquérir {3}pièces d'or 
pack3	#C(#FFFFFF)背包空间不足#n	#C(#FFFFFF)pas assez d'espace dans le sac à dos #n
pack4	背包容量：	capacité du sac à dos 
pack5	剩余可扩展次数{0}	fois pour agrandir {0}
pack6	是否消耗{0}神石或魔晶，扩展5个背包格子?	pouvez vous dépenser {0}pierres divines ours cristaux magiques pour agrandir 5 cases du sac à dos ?
pack7	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}个魂石	#C(#ffffff)vendre {0}#C({1}){2}#n pour acquérir {3}pierres d'âme 
pack8	#C(#ffffff)出售{0}个#C({1}){2}#n,将得到{3}{4}	#C(#ffffff)vendre {0}#C({1}){2}#n pour acquérir {3}{4}
qhdj	强化等级：{0}	niveau d'augmentation ：{0}
money	金币	pièce d'or
fb_tip1	达到{0}级才能开启该章节	atteindre niveau {0} pour ouvrir ce chapitre 
fb_tip2	是否使用{0}魔晶（魔晶不足时，消耗神石），购买1次挑战次数	dépensez-vous {0}cristaux magiques（lors de cristaux magiques insuffisants，consommer les pierres divines）pour acheter un défi
fb_tip3	您的神石不足	pas assez de pierres divines
propsType1	消耗品	matériaux 
propsType2	武器	arme 
propsType3	防具	armure 
propsType4	饰品	décoration 
propsType5	宝石	gemmes
propsType6	长弓	arc long 
propsType7	匕首	dague 
propsType8	战斧	hache de combat 
propsType9	圣枪	fusil sacré 
propsType10	战锤	marteau 
propsType11	弯刀	couteau courbe 
propsType12	符文	rune 
ji	级	niveau 
ygq	已过期	expiré 
xiaoshi	小时	heure 
fenzhong	分钟	minute 
formation1	{0}已经在出阵位上，不能再出阵同样的英雄	{0}a été à l'emplacement au combat,ce genre de héros ne peut pas entrer au combat encore 
formation2	已助阵的英雄将无法出阵	le héros qui a assisté au combat ne peut pas entrer au combat 
formation3	开启声望：	prestige:
formation4	该英雄已参与助阵	ce héros a assisté au combat
formation5	助阵位已满	l'emplacement de l'assistance au combat est plein 
formation6	当前位置不能放置高于{0}星的英雄	l'emplacement actuel n'est pas disponible pour le héros au dessus de {0} étoiles 
formation7	{0}已助阵，该类型的英雄不能再助阵	{0}a été à l'emplacement de l'assistance au combat,ce genre de héros ne peut pas assister au combat encore 
formation8	当前助阵位未开启	l'emplacement actuel de l'assistance au combat
formation9	{0}已经在助阵位上，不能再出阵同类型的英雄	{0}a été à l'emplacement de l'assistance au combat,ce genre de héros ne peut pas entrer au combat encore 
formation10	防御	défense 
formation11	辅助	auxiliaire 
formation13	等级不足{0}级，尚未达到开启条件	vous n'avez pas atteint au niveau {0}，vous ne remplissez pas la condition de l'ouverture.
formation14	31级开启助阵位	ouvrir l'emplacement de l'assistance au combat 
formation15	{0}已出阵，该类型的英雄不能再助阵	{0}a entré au combat,ce genre de héros ne peut pas assister au combat
formation16	（主动技能）	（compétence active）
formation17	（被动技能）	（compétence passive ）
formation21	烈火重生，龙骑归来	renaissait dans le feu
formation22	英雄星级高于对应主助阵位英雄星级，助阵失败	niveau du héros d'étoile est au-dessus le niveau d'étoile du héros correspondant à l'emplacement principal de l'assistance au combat, échec de l'assistance au combat  
formation23	英雄星级低于对应副助阵位英雄星级，助阵失败	niveau du héros d'étoile est au-dessous le niveau d'étoile du héros correspondant à l'emplacement adjoint de l'assistance au combat, échec de l'assistance au combat  
formation24	<font color='#FFFF00'>{0}(+{1})</font>	<font color='#FFFF00'>{0}(+{1})</font>
formation27	消耗1个一级魔石进行镶嵌	dépenser une pierre magique au niveau 1 pour l'incrustation 
formation28	消耗1个{0}或多个低级魔石进行升级	dépenser une {0} ou plusieurs pierres magiques au niveau inférieur pour l'amélioration  
formation29	是否确定消耗#C(#66FF00)1#n个一级魔石镶嵌，#C(#FF0000)镶嵌后无法卸载#n	êtes vous sûr de dépenser#C(#66FF00)1#n pierre magique au niveau 1 pour l'incrustation，#C(#FF0000)on ne peut démonter après l'incrustation n
formation30	是否确定消耗#C(#66FF00)1#n个{0}或多个低级魔石进行升级	êtes vous sûr de dépenser#C(#66FF00)1#n {0}ou plusieurs pierres magiques au niveau inférieur pour l'augmentation
formation31	是否花费#C(#FF0000)388#n神石解锁该助阵位	êtes vous sûr de dépenser #C(#FF0000)388#n pierres divines pour déverrouiller cet emplacement de l'assistance au combat 
formation32	1、多余的英雄可用于助阵增加全队属性#H2、主助阵位需要声望激活开启，全队获得英雄基础属性的#C(#66FF00)25%#n加成#H3、副助阵位60级开启，#C(#FF0000)助阵英雄星级须低于对应主助阵英雄#n，全队获得当前英雄基础属性的#C(#66FF00)10%#n加成#H4、副助阵位需神石解锁开启#H5、75级开启魔石，使用对应等级的魔石可提高对应英雄助阵加成属性#H6、#C(#FF0000)魔石镶嵌后无法卸载#n，升级需消耗1个下一级魔石或多个低级魔石#H7、一个高级魔石等于2个低一级魔石	1、mettre les héros pas au combat ici peuvent augmenter les attributs de toute équipe #H2、il faut de prestige pour activr le principal emplacement de l'assistance，toute l'équipe va acquérir #C(#66FF00)25%#n du bonus de l'attribut basique de ce héros  #H3、activer l'emplacement adjoint de l'assistance au niveau 60，#C(#FF0000)le niveau d'étoiles du héros de l'emplacement adjoint doivent être inférieur au héros de l'emplacement principal#n，toute l'équipe va acquérir#C(#66FF00)10%#ndu bonus de l'attribut basique de ce héros#H4、il faut utiliser la pierre divine pour déverrouiller l'emplacement adjoint#H5 utiliser la pierre magique pour augmenter le bonus .#H6、#C(#FF0000)impossible de démonter les pierres magiques incrustées #n， #H7、une pierre magique supérieure égale à 2 pierres divines au niveau inférieur 
formation33	声望不足	pas assez de prestige
formation34	请先解锁副助阵位	déverrouiller l'emplacement adjoint de l'assistance au combat 
formation35	请先解锁前面的副助阵位	déverrouiller le dernier emplacement adjoint de l'assistance au combat 
formation36	当前助阵位未解锁	l'emplacement de l'assistance au combat est verrouillé  
tz1	{0}件效果({1}/{2})	{0}effets({1}/{2})
learnSkillC1	需要主角等级{0}	il faut le personnage au niveau {0}
learnSkillC2	需要主角达到{0}星	il faut le personnage {0}étoiles 
learnSkillC3	需要{0}技能达到{1}级	il faut la compétence {0}au niveau {1}
learnSkillC4	需要技能点数{0}点	il faut {0} points de la compétence 
zbxt1	请放入需要强化的装备	Veuillez choisir l'équipement à augmenter 
zbxt2	请放入需要升阶的装备	Veuillez choisir l'équipement à améliorer 
zbxt3	请放入需要神铸的装备	Veuillez choisir l'équipement pour le forgeage divin 
zbxt4	材料不足无法升阶	pas assez de matériaux pour l'amélioration 
zbxt5	材料不足无法神铸	pas assez de matériaux pour le forgeage divin 
zbxt6	装备成功	équipé avec succès 
zbxt7	只有出阵的英雄才可以进行装备	on ne peut équiper que le héros entrant au combat 
zbxt8	等级不足无法装备	niveau insuffisant pour l'équipment 
zbxt9	背包已满无法卸装	on ne peut pas décharger le sac à dos plein.
zbxt10	是否确定消耗{0}神石或魔晶进行加速	êtes vous sûr de dépenser {0} pierres divines ou cristaux magiques pour l'accélération 
zbxt11	强化成功时，有8%的机会额外提升1级	en case de renforcement réussi,il y a 8% de chance d'augmenter un niveau en plus
zbxt12	35级开放	ouvert au niveau 35
zbxt13	40级开放	ouvert au niveau 40
zbxt14	神铸 	forgeage divin 
zbxt15	该装备不能进行升阶	équipement est indisponible pour l'amélioration .
zbxt16	该装备不能进行神铸	équipement est indisponible pour le forgeage divin .
zbxt17	没有上阵的英雄不能穿装备	on ne peut pas porter cet équipement sans le héros au combat 
zbxt18	该装备不能进行强化	équipement est indisponible pour l'augmentation  .
zbxt19	可以神铸	disponible pour le forgeage divin 
zbxt20	强化等级不能高于角色等级	niveau de l'augmentation doit être au dessous à celui du personnage 
zbxt21	升阶成功	amélioration avec succès 
zbxt22	神铸成功	forgeage avec succès 
zbxt23	强化成功	renforcement avecsuccès 
zbxt24	强化暴击	augmentation du coup critique 
zbxt25	无法出售，请先卸除装备上的宝石	démontez les gemmes sur l'équipement avant de le vendre 
zbxt26	点此选择装备进行强化	cliquer pour augmenter l'équipement
zbxt27	仅限主角装备	pour les équipements du personnage seulement 
zbxt28	#C(#66FF00)(仅限主角装备)#n	#C(#66FF00)(pour leséquipements du personnage seulement)#n
jbbz	金币不足	pas assez de pièces d'or 
ybbz	神石不足	pas assez de pierres divines
ljbz	魔晶不足	pas assez de cristaux magiques
yxxt1	26级开放	disponible au niveau 26
yxxt2	主角无法使用经验道具	le personnage ne peut pas utiliser cet objet d'expérience 
yxxt3	英雄等级已达上限，无法继续升级	niveau du héros a atteint le plafond ,et indisponible pour augmenter de plus 
yxxt4	经验值已达上限	valeur d'expérience a atteint le plafond 
yxxt5	道具列表已满	liste des objets est pleine
yxxt6	当前英雄已达到等级上限，进化后可提升更高等级	niveau du héros a atteint le plafond,il faut l'évoluer pour augmenter de plus 
yxxt7	英雄位置已满，请先解雇多余英雄	emplacement du héros est plein,licenciez les héros superflus d'abord 
yxxt8	当前英雄必须达到{0}级才可进化	il faut monter le héros actuel au niveau {0} pour l'évoluer
yxxt9	材料不足	pas assez de matériaux
yxxt10	英雄进化成功	évolution du héros avec succès 
yxxt11	已达最高品质，无法继续进化	le plus haut niveau ,on ne peut pas le continuer 
yxxt12	等级不足	niveau insuffisant 
yxxt13	英雄转生成功	incarnation du héros avec succès 
yxxt14	#C(#FFFFFF)解雇英雄可获得{0}+{1}#n	#C(#FFFFFF)licencier le héros pour acquérir {0}+{1}#n
yxxt15	#C(#FFFFFF)解雇英雄可获得{0}+{1}，是否确认解雇#n	#C(#FFFFFF)licencier le héros pour acquérir {0}+{1}，êtes vous sûr de le licencier#n
yxxt16	#U#C(#00FF00)#A(#K(dlg,EMSY))[点击获取经验]#n#n#n	#U#C(#00FF00)#A(#K(dlg,EMSY))[recevoir EXP ]#n#n#n
yxxt17	#U#C(#00FF00)#A(#K(OPEN_EXCHANGE_SHOP,{0}))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(OPEN_EXCHANGE_SHOP,{0}))[recevoir ]#n#n#n
yxxt18	#U#C(#00FF00)#A(#K(dlg,YXJT))[点击获取]#n#n#n	#U#C(#00FF00)#A(#K(dlg,YXJT))[cliquer pour le recevoir ]#n#n#n
yxxt19	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[需要英雄达到{0}级]#n#n#n	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[il faut que le héros atteigne le niveau {0}]#n#n#n
yxxt20	#U#C(#00FF00)#A(#K(dlg,YXSHENGJI))[需要英雄达到{0}级]#n#n#n	#U#C(#00FF00)#A(#K(dlg,YXSHENGJI))[il faut que le héros atteigne le niveau{0}]#n#n#n
yxxt21	#C(#FFFFFF)另一个未出阵和未助阵{0}级的{1}#n	#C(#FFFFFF)un autre qui est hors du combat et n'assiste pas au combat au niveau {0}{1}#n
yxxt22	[4,6,5,7,1,2,8,9,10,11,12,13,14,15]	[4,6,5,7,1,2,8,9,10,11,12,13,14,15]
yxxt23	[6,5,7,1,2,8,9,10,11,12,13,14,15]	[6,5,7,1,2,8,9,10,11,12,13,14,15]
yxxt24	#U#C(#00FF00)#A(#K(dlg,OPEN_YLSD))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(dlg,OPEN_YLSD))[allez pour le recevoir ]#n#n#n
yxxt25	#C(#FFFFFF)当前英雄已达等级上限,是否前往进化#n	#C(#FFFFFF)héros actuel a atteint le niveau le plus haut,allez pour l'évoluer ?#n
yxxt26	#U#C(#00FF00)#A(#K(dlg,OPEN_HEROFORUMSHOP))[前往获取]#n#n#n	#U#C(#00FF00)#A(#K(dlg,OPEN_HEROFORUMSHOP))[allez pour le recevoir ]#n#n#n
yxxt27	玩法暂未开放，敬请期待	Ce jeu n'ouvre pas encore．Attendez avec patience, s'il vous plaît.
yxxt28	解雇条件：#H1、该英雄不在出阵位或助阵位#H2、英雄星级低于当前英雄最大星级3星#H3、英雄星级不低于当前英雄最大星级3级，但有2个及以上相同英雄#H#C(#FF0000)解雇需谨慎，紫色英雄用于进化更高阶英雄#n	Les conditions d'être licencié: #H1, le héro n'est pas à la position du troupe ou pour l'aider #H2, le héro a moins d'étoiles que le plus grand héros avec trois étoiles #H3, le héros a pas moins de trois étoiles, mais il y a plus de deux héros à ce degré #H # C (# FF0000) Soyez prudent en licenciement, héros en couleur violete est destiné à l'évolution de héros de degré supérieur#n
yxxt29	攻击类型为物攻,法攻无效	Le mode d'attaque est l'attaque physique au lieu de l'attaque magique
yxxt30	攻击类型为法攻,物攻无效	Le mode d'attaque est l'attaque magique au lieu de l'attaque physique
yxxt31	可升阶	Pouvoir améliorer
ycd	已穿戴	Portable
wcd	未穿戴	Importable
skillTip	该技能已经上阵	Cette compétence a déjà été à la position
skillTip2	必杀技	Coup fatal
skillTip3	前置条件未达成	Les conditions préalables ne sont pas atteintes
mount1	坐骑系统{0}级开启	Système de monture de niveau {0} ouvre
mount2	培养成功，坐骑获得{0}经验	formation réussie, la monture acquiert{0} expérience
mount3	培养出现小暴击，获得{0}经验！	Une petite attaque violente ,  acquierir{0} valeur d'expérience
mount4	培养成功，本次培养出现大暴击。坐骑升至{0}阶{1}星	formation a réussi avec une grande attaque violente, la monture évolue de {0} à {1}étoile
mount5	培养{0}次成功，培养出现{1}次小暴击，共获得{2}经验，同时出现{3}次大暴击，坐骑当前等级为{4}阶{5}星	{0} culture réussi, au cours de la culture apparaît {1} petite attaque  violente, acquierir{2} valeur d'expérience,ainsi que {3}grandes attaques violentes, le niveau de monture est passé à  le {4} niveau et {5} étoiles
mount6	#C(#ffffff)40级内：每天可普通培养5次#H40-59：每天可普通培养20次#H60-79：每天可普通培养50次#H80级以上：每天普通培养次数不限#H神石培养次数无限制	#C(#ffffff)niveau 40：formation ordinaire 5 fois/jour  #H40-59：20 fois/jour #H60-79：50 fois/jour #H niveau 80：sans limite#H formation avec pierres divines: sans limite
mount7	骑乘坐骑成功	succès
mount8	坐骑休息去了	La monture est en repos
mount9	您的金币不足，无法培养	Pas assez de pièces d'or, ne pouvez pas élever
mount10	您当前已没有剩余的培养次数	Pas assez de fois à  élevage
mount11	是否消耗#C(#fbfe00){0}神石或者魔晶#n进行坐骑培养？	Vous voulez consommer #C(#fbfe00){0}pierres divines ou #n cristaux magiques pour élever la monture?
mount12	神石不足，无法培养	Pas assez de pierres divines, ne pouvez pas élever
mount13	是否消耗500神石或者魔晶进行50次坐骑培养？	Vous voulez consommer 500 pierres divines ou 50 cristaux magiques pour élever la monture?
mount14	休息	Reposez vous
mount15	乘骑	Monter
mount16	已顶级	Au niveau suprême
mount17	当前{0}：{1}	Actuel {0}：{1}
mount18	无限	Sans limite
mount19	{0}阶	Niveau {0}
mount20	#C(#ffffff)每次培养消耗#C(#fbfe00){0}金币#n获得#C(#fbfe00){1}#n经验#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验）	#C (#ffffff) Chaque élevage consomme#C (# fbfe00) {0} pièces d'or #n obtenir #C (# fbfe00) {1} #n valeur d'expérience  #H Apparaîtraient de petites attaques violentes (obtenir #C (# fbfe00 ) {2} fois #n valeur d'expérience)
mount21	#C(#ffffff)每次培养消耗#C(#fbfe00){0}神石或魔晶#n获得#C(#fbfe00){1}#n经验#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验） 大暴击（直接提升1星）#H会优先使用道具{3}	#C (#ffffff) Chaque élevage consomme#C (# fbfe00) {0} pierres divines ou criastaux magiques #n obtenir
mount22	#C(#ffffff)每次培养消耗#C(#fbfe00){0}神石或魔晶#n进行#C(#fbfe00){1}次高级培养#n#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验） 大暴击（直接提升1星）#H会优先使用道具{3}	#C (#ffffff) Chaque élevage consomme#C (# fbfe00) {0} pierres divines ou criastaux magiques #n avec#C(#fbfe00){1}fois d'élevage de niveau supérieur#n#H Apparaîtraient de petites attaques violentes (obtenir #C (# fbfe00 ) {2} fois #n valeur d'expérience)et de grandes attauques violentes (avec une augmentation d'une étoile)#Havoir la priorité à l'utilisation d'accessoires{3}
mount23	#C(#ffffff){0}阶激活	Activer le niveau #C(#ffffff){0}
mount24	已经是首页	Premier page
mount25	已经是末页	Dernier page
mount26	在不可走区域不能幻化地面坐骑	Dans la région non-pied, ne transformez pas à la monture au sol
mount27	({0}阶激活)	(Activer le niveau{0})
mount28	在不可走区域不能下坐骑	Dans la région non-pied, ne pouvez pas vous sépérer de la monture 
mount29	幻化成不同坐骑外形不影响坐骑属性，培养坐骑可以激活更多坐骑外形。	Le changement de la forme de monture ne modifie pas son attribut, l'élevage de la monture peut activer plus de formes de monture.
mount30	尚未达到条件无法使用	Pas atteint aux conditions, ne pouvez pas l'utiliser
mount31	当前已是该坐骑外形	il est déjà
mount32	剩余时间：{0}天	temps restant ：{0}
mount33	提示：该坐骑自激活日起连续登陆7天可变为永久坐骑	Indication: Depuis le jour d'activer la monture, vous pouvez la transformer une monture permanente avec 7 jours de connexion consécutive
mount34	你已经失去连续登陆满7天魔蝎绝骑变永久坐骑机会，在#C(#00FF00)商城购买#n永久激活道具可以使坐骑变为永久坐骑。	Vous avez déjà perdu la change de transformer la monture de scorpion en une monture parmanente sans une connexion consécutive de 7 jours #C (# 00FF00)acheter à la boutique #N objets activés à manière permanente pour  faire du monture dans une permanente.
mount35	你当前已连续登陆#C(#00FF00){0}#n天，连续登陆满#C(#00FF00){1}#n天可以让魔蝎绝骑变为永久坐骑	Vous avez actuellement été à la connexion consécutive de #C  (# 00FF00) {0} #n jours, avec une connexion consécutive de #C (# 00FF00) {1} #n jours, vous pouvez faire de la monture Scorpion une permanente
shortLevel	等级不足	Pas atteint au niveau requis
shortshenshi	神石不足	Pas assez de pierres divines
shortBoth	魔晶或神石不足	Pas assez de cristaux magiques ou de pierres divines
shortMoney	金币不足	Pas assez de pièces d'or 
shortItem	道具不足	Pas assez d'objets
shortMoJin	魔晶不足	Pas assez de cristaux magiques
shortPoint	幸运积分不足	Pas assez de points de bonheur
shortZdl	战斗力不足	Pas assez de combativité
baifenbishuxing	[14,15]	[14,15]
emsy1	主角等级达到{0}级开启	disponible quand le niveau de héros atteint {0}
emsy2	副本还未通关，现在退出将不会有奖励哟	encore en combat, si vous quittez maintenant, il n'y aura pas de récompense.  
emsy3	领取成功，你获得了#C(#FFFF00){0}#n奖励	Recevez avec succès, vous obtenez #C (# FFFF00) {0} #n récompenses
emsy4	您的背包已满，请先整理后再领取。	Votre sac a déjà été rempli, bien arrangez avant de recevoir
emsy5	31级开启扫荡功能	Le niveau 31 active la fonction de balayage
emsy6	扫荡中	En balayage
emsy7	请领取奖励	Recevez la récompense, s'il vous plaît
emsy8	是否消耗{0}点体力扫荡第{1}层{2}副本{3}次	Voulez-vous consommer {0}force physique pour nettoyer l'étage {1} ({2}) {3} fois
emsy9	未满足条件#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	Pas atteignez aux conditions #H être passé toutes les barrières avec trois étoiles le niveau {0} {1}double aide à recevoir #H récompenses#C(#FFFF00){2}#n
emsy10	可领取#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	Vous pouvez recevoir #H après être passé toutes les barrières avec trois étoiles le niveau le niveau {0} {1}double,pouvez recevoir #H récompense #C(#FFFF00){2}#n
emsy11	领取成功，你获得了#C(#FFFF00){0}#n	Recevez avec succès, vous avez obtenu#C(#FFFF00){0}#n
emsy12	已领取#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n	Déjà reçu#Haprès être passé toutes les barrières avec trois étoiles le niveau le {0}niveau {1}double,pouvez recevoir #H récompense #C(#FFFF00){2}#n
emsy13	副本通关可使用扫荡	Quand après avoir passé l'étage,il permet d'utiliser le nettoyage
emsy14	取消扫荡，会有部分奖励无法拿到哟	Voulez-vous arrêter la nettoyage, vous ne receverez qu'une part de récompenses
emsy15	是否消耗{0}魔晶加速扫荡（魔晶不足时消耗神石），月卡可免CD扫荡哟	Voulez-vous consommer {0} criataux magiques pour accélérer le nettoyage( si cristaux magiques insuffisants, consommer des pierres divines)? Avec la carte mensuelle, vous pouvez nettoyer sans CD
emsy16	是否消耗{0}点体力扫荡第{1}层{2}副本{3}次	Voulez-vous consommer {0} forcee physique pour nettoyer l'étage {1} ({2}) {3} fois
emsy17	是否消耗20魔晶购买50点体力（若魔晶不足则消耗神石）	Voulez-vous consommer 20 cristaux magiques pour acheter 50 force physique( si pas assez de cristaux magiques, consommer des pierres divines)?
emsy18	您的神石不足	Pas assez de pierres divines
emsy19	月卡特权，可免CD扫荡	Un privilégié de carte mensuelle, vous pouvez balayer sans CD
emsy20	1、主角等级达到{0}级（已达到)	1、le niveau du héros a atteint {0} (accompli)
emsy21	1、主角等级达到{0}级（未达到)	1、le niveau du héros a atteint {0} (pas accompli)
emsy22	2、拥有1个{0}英雄（已达到） 	2、la possession d’un {0}héros (accomplie)
emsy23	2、拥有1个{0}英雄（未达到）	2、la possession d’un {0}héros (pas accomplie)
emsy24	3、通关第{0}层（{1}）（已达到） 	3、le franchissement des barrières au {0}étage（{1}）(accompli)
emsy25	3、通关第{0}层（{1}）（未达到） 	3、le franchissement des barrières au {0}étage（{1}）(pas accompli)
emsy26	当前体力	la force physique à présent
emsy27	次，消耗{0}点体力	fois en consommant{0} points de la force physique
emsy28	经验	expérience 
emsy29	挑战条件未达到	les conditions du défi ne sont pas atteintes.
emsy30	是否消耗30点体力，进入恶魔深渊副本	voulez-vous consommer 30 points de la force physique pour y entrer
emsy31	1、扫荡一次消耗30体力#H2、扫荡时间为一次20分钟#H3、可花费魔晶进行快速扫荡	1、30 Points de la force physique pour une nettoyage#H2、un nettoyage durera 20 minutes#H3、vous pouvez consommer des cristaux magiques pour un nettoyage rapide
gold1	是否花费#C(#FFFF00){0}#n神石或者魔晶开启炼金炉10次？	voulez-vous consommer #C(#FFFF00){0}#n des pierres divines ou pierres magiques pour 10 fois ?
