maleFirst	femaleFirst	maleSecond	femaleSecond
		阿格斯	蕾佳娜
		提诺	蕾娜塔
		阿尔贝	蕾妮
		阿尔托	莉达
		阿尔塔	莉娃
		阿尔泰	萝勃塔
		阿尔特	罗丝
		阿尔奇	露比
		阿吉奥	露丝
		安德烈	莎碧娜
		奥古斯	莎莉
		贝尼托	莎洛姆
		柯西莫	莎曼撤
		切萨洛	珊朵拉
		社乔	仙蒂
		恩尼奥	莎拉
		尼古拉	赛拉
		罗伯托	萨琳娜
		鲁杰罗	雪伦
		卢基诺	希拉
		卢卡	雪莉
		扎卡	雪丽
		扎卡里	希贝儿
		扎卡洛	席梦娜
		维尔	苏菲亚
		威尔	丝柏凌
		蒂诺	史黛丝
		皮耶	丝特勒
		皮特	苏珊
		皮耶罗	苏珊娜
		彼得	苏西
		保罗	苏珊
		阿克曼	西维亚
		亚当斯	泰贝莎
		阿道夫	泰蜜
		艾伯特	泰瑞莎
		阿瑟	泰丝
		阿诺德	席拉
		奥古斯	泰丽莎
		鲍尔	蒂芙妮
		博尔德	蒂娜
		本森	托比
		伯纳尔	翠西
		博蒂	翠丝特
		查德曼	杜达
		克拉	优拉
		丘奇	优娜
		蒂西	耳舒拉
		弗蒂	瓦勒莉
		迪龙	瓦妮莎
		冈特	维纳斯
		冈瑟	维拉
		盖斯	维娜
		盖易	维隆卡
		格斯	维琪
		哈尔	维尔拉
		豪斯	维达
		豪斯特	维文
		霍尔	华莉丝
		霍雷肖	旺妲
		贺拉斯	温蒂
		霍勒斯	温妮
		凯尔森	桑席
		基茨	芝妮雅
		拉金	耶达
		罗科	依耶塔
		鲁克斯	莎拉
		林奇	若依
		米尔恩	若娜
		米尔顿	若拉
		米尔斯	
		摩尼	
		蒙德	
		戴斯蒙	
		莫里斯	
		莫里森	
		南希	
		内尔	
		特拉斯	
		攀西	
		佩恩	
		佩奇斯	
		费利蒙	
		奎勒	
		丽贝卡	
		桑德	
		西蒙斯	
		史密森	
		斯通	
		斯特鲁	
		斯特罗	
		坦尼斯	
		西奥多	
		陶特	
		伏恩	
		伍德	
		伍尔夫	
		乌利	
		戈麦斯	
		保莱塔	
		希曼	
		维米尔	
		奥耶尔	
		韦布	
		韦布斯	
		沃德	
		维拉德	
		霍金斯	
		安德里	
		汉斯	
		卡尔	
		荣格	
		拉尔夫	
		托马森	
		托马斯	
		若迪	
		斯蒂芬	
		斯蒂夫	
		约瑟夫	
		米勒	
		凯	
		巴赫	
		沃夫	
		西瓦	
		斯奈德	
		柯赛	
		道尔	
		阿索尔	
		文森特	
		哈维	
		何塞	
		阿方索	
		胡里奥	
		马力诺	
		莫里	
		巴蒂	
		萨特	
		萨博	
		巴哈勒	
		巴则多	
		本达	
		昆提	
		彪罗	
		布索尼	
		伯尼	
		卡尔雷	
		车尔尼	
		迪盖特	
		达坎	
		德莫	
		迪德洛	
		科普兰	
		汉佩尔	
		朗格	
		摩泽尔	
		哈钦森	
		亨德尔	
		易本	
		米斯贾	
		亨策	
		丹迪	
		海费茨	
		罗什	
		洛什	
		门多萨	
		蒙多	
		蒙克	
		诺布里	
		穆沙	
		内森	
		诺易	
		内弗	
		赖肯因	
		乌里伟	
		马雷	
		奥拉	
		格季克	
		达维	
		奥古丁	
		苏泽	
		索罗	
		斯皮塔	
		萨博	
		里曼	
		波佩尔	
		克道尔	
		比利	
