maleFirst	femaleFirst	maleSecond	femaleSecond
IGOR	MAJA	MURARZ	MURARZ
IGNACY	MARIA	DOBOSZ	DOBOSZ
IZYDOR	MARTA	NAWROT	NAWROT
JACEK	MILENA	SŁOWIK	SŁOWIK
JAN	MONIKA	SROKA	SROKA
JAKUB	NADIA	TKACZ	TKACZ
JASIEK	NINA	MIKA	MIKA
JANUSZ	NIKOLA	RUS	RUS
JAREMA	OLGA	CZECH	CZECH
JEREMI	OLIWIA	SUSKI	SUSKI
JERZY	OTYLIA	ŻYŁA	ŻYŁA
JONASZ	RENATA	FURMAN	FURMAN
JÓZEF	SABINA	WOŹNY	WOŹNY
JULIAN	SARA	KONNY	KONNY
KACPER	SANDRA	WOLNY	WOLNY
KAJ	SYLWIA	TUR	TUR
KAMIL	TERESA	KMIEĆ	KMIEĆ
KAROL	ULA	PILCH 	PILCH 
KASJAN	ZOFIA	SZWARC	SZWARC
KACPER	ADELA	KOPACZ	KOPACZ
KONRAD	ALBINA	BURY	BURY
KORNEL	ALDONA	LITWIN	LITWIN
KWIRYN	ALINA	RUSEK	RUSEK
LECH	AMALIA	KUPIEC	KUPIEC
LEON	ASENAT	DUSZA	DUSZA
LESŁAW	ANIELA	DRĄG	DRĄG
LESZEK	BENITA	PIĘTA	PIĘTA
LOTAR	BOGNA	GAJ	GAJ
LUCJAN	DALIDA	CHUDY	CHUDY
LUDWIK	DALILA	WIELKI	WIELKI
ŁUKASZ	DEBORA	ANIOŁ	ANIOŁ
MACIEJ	ELWIRA	BIEL	BIEL
MACIEK	ESTERA	RATAJ	RATAJ
MAKS	FLORA	FORTUNA	FORTUNA
MAKSYM	GRACJA	KUTA	KUTA
MARCEL	GIZELA	ZIMNY	ZIMNY
MARCIN	GRETA	DRAB	DRAB
MAREK	MARYNA	WICHER	WICHER
MARIAN	MARYLA	MĄDRY	MĄDRY
METODY	MARTA	ZDUN	ZDUN
MICHAŁ	MALINA	BUDNY	BUDNY
MIŁOSZ	JAGODA	BUTNY	BUTNY
MIRON	LUCJA	BARYŁA	BARYŁA
NESTOR	LIDIA	NIZIOŁ	NIZIOŁ
OLAF	KLARA	WOŁEK	WOŁEK
OLEG	KAJA	RAJSKI	RAJSKI
OTTO	GAJA	RUTKA	RUTKA
OLIWER	KALINA	LEJA	LEJA
OREST	JULITA	GUZ	GUZ
OSKAR	JUDYTA	GROM	GROM
PATRYK	JOWITA	ŁAKOMY	ŁAKOMY
PAWEŁ	IGA	GALA	GALA
PIOTR	MIRA	RAJCA	RAJCA
RAFAŁ	NOEMI	POLSKI	POLSKI
REMEK	OFELIA	KAT	KAT
ROCH	RÓŻA	ŚWIĘTY	ŚWIĘTY
ROMAN	SŁAWA	WOJAK	WOJAK
ROSŁAW	TAMARA	MAJOR	MAJOR
SŁAWEK	WANDA	JUCHA	JUCHA
STEFAN	WIOLA	KOWAL	KOWAL
SZYMON	ZYTA	KRAWIEC	KRAWIEC
TEODOR	ŻANNA	WOJNA	WOJNA
TEOFIL	AURORA	DŁUGI	DŁUGI
TYTUS	TOLA	MULARZ	MULARZ
TYMON	ARETA	BÓR	BÓR
TYCJAN	BERTA	KLIMEK	KLIMEK
WACŁAW	DAGNA	BARDAS	BARDAS
WIKTOR	DALIA	TOPÓR	TOPÓR
WIT	ELMIRA	SIERP	SIERP
WITOLD	ERYKA	STRZAŁA	STRZAŁA
WITEK	FABIA	ZWINNY	ZWINNY
WOJTEK	FRYDA	MALEC	MALEC
ZENON	ILZA	DUMNY	DUMNY
ZIEMEK	INGA	RUŚĆ	RUŚĆ
ABEL	IWA	MOSKAL	MOSKAL
ADRIAN	JANINA	MENDEL	MENDEL
ALBIN	JÓZEFA	MŁYŃSKI	MŁYŃSKI
ALEKSY	JUNONA	BARAN	BARAN
ALFRED	KARIN	CHMURNY	CHMURNY
ANATOL	KARINA	DROBNY	DROBNY
JĘDREK	KSENIA	DZIKI	DZIKI
ARIEL	IZOLDA	CHOJNY	CHOJNY
BOGDAN	LEONIA	SMOCZY	SMOCZY
BOGUŚ	LIWIA	DRAGON	DRAGON
CYRUS	LIZA	DOBROSZ	DOBROSZ
DAREK	LUBA	OCH	OCH
DYZMA	LUCYNA	LUKAS	LUKAS
ELIASZ	NORA	MADEJ	MADEJ
ERNEST	ODA	SMOCZYK	SMOCZYK
FELIKS	OKSANA	GRAL	GRAL
HENRYK	PAULA	ŻABSKI	ŻABSKI
HILARY	PIA	GAL	GAL
IDZI	REBEKA	ŁAŹNY	ŁAŹNY
IZAAK	REGINA	WYRWIAK	WYRWIAK
KANDYD	RITA	MIDAS	MIDAS
KAJTEK	ROMA	KATANA	KATANA
KASTOR	ROMANA	KOSZYK	KOSZYK
KOSMA	ELENA	HRABIA	HRABIA
LONGIN	IZA	CIURA	CIURA
ŁAZARZ	ARLETA	CICHOŃ	CICHOŃ
MALWIN	WIERA	KARNY	KARNY
MODEST	TANIA	TUROŃ	TUROŃ
NARCYZ	RUTA	STWÓR	STWÓR
NATAN	GERDA	SZARPAK	SZARPAK
OTOKAR	HELGA	KLUCZNY	KLUCZNY
PROKOP	LIGIA	WÓJT	WÓJT
RUFIN	HANKA	SOŁTYS	SOŁTYS
SAWIN	MIRELA	OGŁADA	OGŁADA
ŚCIBOR	CYRYLA	SIDŁO	SIDŁO
TOMEK	ALOJZA	SIWY	SIWY
JANEK	KORA	FLISAK	FLISAK
URSYN	ADOLFA	BIAŁAS	BIAŁAS
WALERY	BOGDA	KOZAK	KOZAK
WŁODEK	IDALIA	KULIG	KULIG
ANTONI	RYTA	BIES	BIES
ANTEK	NELA	DMOCH	DMOCH
AREK	JAGNA	OBŁOZA	OBŁOZA
AMOS	OLA	ZGÓDKA	ZGÓDKA
AUGUST	ALA	GAMOŃ	GAMOŃ
DONAT	OLENA	PIÓRO	PIÓRO
EGON	ARLENA	GÓRAL	GÓRAL
MAKARY	DORA	RYK	RYK
LUBOR	RAMONA	FIGA	FIGA
JUDA	LOLA	TCHÓRZ	TCHÓRZ
ONUFRY	LOTTA	BÓL	BÓL
ROLAND	WALERA	WIOSNA	WIOSNA
SŁAWOJ	JANKA	LATO	LATO
OSWALD	ODETTA	WRÓŻ	WRÓŻ
TOLEK	DORATA	MAGA	MAGA
POLDEK	OLEŃKA	DRAGUN	DRAGUN
GUSTEK	JURATA	WILGA	WILGA
BENEK	STENIA	HEROD	HEROD
BROMIR	FILIPA	KRASNY	KRASNY
CZAREK	IWA	KOSTUR	KOSTUR
DALBOR	DANA	RUDY	RUDY
DAJMIR	JAGA	GALWAS	GALWAS
DYTER	MIŁA	KLER	KLER
WALDEK	BAZYLA	CAR	CAR
EWALD	BOHDA	WAROWY	WAROWY
GWIDO	BRONKA	GNIADY	GNIADY
KOSTEK	TYTUSA	WEIS	WEIS
LUDMIŁ	WALA	SUCHY	SUCHY
RUFUS	WILGA	SZAREK	SZAREK
RYSIEK	CHLUBA	LIS	LIS
BASTEK	ESTELA	PTAK	PTAK
STOJAN	KATIA	KANT	KANT
SYMEON	KORDELA	GORYCZ	GORYCZ
ŚCIBOR	LEA	ZAWÓD	ZAWÓD
URBAN	LEONA	BYK	BYK
WISŁAW	MASZA	MŚCIWY	MŚCIWY
BRONEK	MIRKA	MARUDA	MARUDA
ZEFIR	SASZA	RAŹNY	RAŹNY
ŻARKO	ZEFIRA	FLOR	FLOR
MAĆKO	MIRA	SZABLA	SZABLA
BOGDAJ	WŁADA	DOMSKI	DOMSKI
GOSŁAW	TOMIŁA	BIEDA	BIEDA
MYSŁAW	NAWOJA	SIOŁA	SIOŁA
SAMBOR	NIEMIŁA	PŁOCHY	PŁOCHY
SYLWIN	TOMIRA	BYSTRY	BYSTRY
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
