messageId	desc
formation22	英雄星级高于对应主助阵位英雄星级，助阵失败
formation23	英雄星级低于对应副助阵位英雄星级，助阵失败
formation24	<font color='#FFFF00'>{0}(+{1})</font>
formation27	消耗1个一级魔石进行镶嵌
formation28	消耗1个{0}或多个低级魔石进行升级
formation29	是否确定消耗#C(#66FF00)1#n个一级魔石镶嵌，#C(#FF0000)镶嵌后无法卸载#n
formation30	是否确定消耗#C(#66FF00)1#n个{0}或多个低级魔石进行升级
formation31	是否花费#C(#FF0000)388#n神石解锁该助阵位
formation32	1、多余的英雄可用于助阵增加全队属性#H2、主助阵位需要声望激活开启，全队获得英雄基础属性的#C(#66FF00)25%#n加成#H3、副助阵位60级开启，#C(#FF0000)助阵英雄星级须低于对应主助阵英雄#n，全队获得当前英雄基础属性的#C(#66FF00)10%#n加成#H4、副助阵位需神石解锁开启#H5、75级开启魔石，使用对应等级的魔石可提高对应英雄助阵加成属性#H6、#C(#FF0000)魔石镶嵌后无法卸载#n，升级需消耗1个下一级魔石或多个低级魔石#H7、一个高级魔石等于2个低一级魔石
formation33	声望不足
formation34	请先解锁副助阵位
formation35	请先解锁前面的副助阵位
formation36	当前助阵位未解锁
tz1	{0}件效果({1}/{2})
learnSkillC1	需要主角等级{0}
learnSkillC2	需要主角达到{0}星
learnSkillC3	需要{0}技能达到{1}级
learnSkillC4	需要技能点数{0}点
zbxt1	请放入需要强化的装备
zbxt2	请放入需要升阶的装备
zbxt3	请放入需要神铸的装备
zbxt4	材料不足无法升阶
zbxt5	材料不足无法神铸
zbxt6	装备成功
zbxt7	只有出阵的英雄才可以进行装备
zbxt8	等级不足无法装备
zbxt9	背包已满无法卸装
zbxt10	是否确定消耗{0}神石或魔晶进行加速
zbxt11	强化成功时，有8%的机会额外提升1级
zbxt12	35级开放
zbxt13	40级开放
zbxt14	神铸 
zbxt15	该装备不能进行升阶
zbxt16	该装备不能进行神铸
zbxt17	没有上阵的英雄不能穿装备
zbxt18	该装备不能进行强化
zbxt19	可以神铸
zbxt20	强化等级不能高于角色等级
zbxt21	升阶成功
zbxt22	神铸成功
zbxt23	强化成功
zbxt24	强化暴击
zbxt25	无法出售，请先卸除装备上的宝石
zbxt26	点此选择装备进行强化
zbxt27	仅限主角装备
zbxt28	#C(#66FF00)(仅限主角装备)#n
jbbz	金币不足
ybbz	神石不足
ljbz	魔晶不足
yxxt1	26级开放
yxxt2	主角无法使用经验道具
yxxt3	英雄等级已达上限，无法继续升级
yxxt4	经验值已达上限
yxxt5	道具列表已满
yxxt6	当前英雄已达到等级上限，进化后可提升更高等级
yxxt7	英雄位置已满，请先解雇多余英雄
yxxt8	当前英雄必须达到{0}级才可进化
yxxt9	材料不足
yxxt10	英雄进化成功
yxxt11	已达最高品质，无法继续进化
yxxt12	等级不足
yxxt13	英雄转生成功
yxxt14	#C(#FFFFFF)解雇英雄可获得{0}+{1}#n
yxxt15	#C(#FFFFFF)解雇英雄可获得{0}+{1}，是否确认解雇#n
yxxt16	#U#C(#00FF00)#A(#K(dlg,EMSY))[点击获取经验]#n#n#n
yxxt17	#U#C(#00FF00)#A(#K(OPEN_EXCHANGE_SHOP,{0}))[前往获取]#n#n#n
yxxt18	#U#C(#00FF00)#A(#K(dlg,YXJT))[点击获取]#n#n#n
yxxt19	#U#C(#FF0000)#A(#K(dlg,YXSHENGJI))[需要英雄达到{0}级]#n#n#n
yxxt20	#U#C(#00FF00)#A(#K(dlg,YXSHENGJI))[需要英雄达到{0}级]#n#n#n
yxxt21	#C(#FFFFFF)另一个未出阵和未助阵{0}级的{1}#n
yxxt22	[4,6,5,7,1,2,8,9,10,11,12,13,14,15]
yxxt23	[6,5,7,1,2,8,9,10,11,12,13,14,15]
yxxt24	#U#C(#00FF00)#A(#K(dlg,OPEN_YLSD))[前往获取]#n#n#n
yxxt25	#C(#FFFFFF)当前英雄已达等级上限,是否前往进化#n
yxxt26	#U#C(#00FF00)#A(#K(dlg,OPEN_HEROFORUMSHOP))[前往获取]#n#n#n
yxxt27	玩法暂未开放，敬请期待
yxxt28	解雇条件：#H1、该英雄不在出阵位或助阵位#H2、英雄星级低于当前英雄最大星级3星#H3、英雄星级不低于当前英雄最大星级3级，但有2个及以上相同英雄#H#C(#FF0000)解雇需谨慎，紫色英雄用于进化更高阶英雄#n
yxxt29	攻击类型为物攻,法攻无效
yxxt30	攻击类型为法攻,物攻无效
yxxt31	可升阶
ycd	已穿戴
wcd	未穿戴
skillTip	该技能已经上阵
skillTip2	必杀技
skillTip3	前置条件未达成
mount1	坐骑系统{0}级开启
mount2	培养成功，坐骑获得{0}经验
mount3	培养出现小暴击，获得{0}经验！
mount4	培养成功，本次培养出现大暴击。坐骑升至{0}阶{1}星
mount5	培养{0}次成功，培养出现{1}次小暴击，共获得{2}经验，同时出现{3}次大暴击，坐骑当前等级为{4}阶{5}星
mount6	#C(#ffffff)40级内：每天可普通培养5次#H40-59：每天可普通培养20次#H60-79：每天可普通培养50次#H80级以上：每天普通培养次数不限#H神石培养次数无限制
mount7	骑乘坐骑成功
mount8	坐骑休息去了
mount9	您的金币不足，无法培养
mount10	您当前已没有剩余的培养次数
mount11	是否消耗#C(#fbfe00){0}神石或者魔晶#n进行坐骑培养？
mount12	神石不足，无法培养
mount13	是否消耗500神石或者魔晶进行50次坐骑培养？
mount14	休息
mount15	乘骑
mount16	已顶级
mount17	当前{0}：{1}
mount18	无限
mount19	{0}阶
mount20	#C(#ffffff)每次培养消耗#C(#fbfe00){0}金币#n获得#C(#fbfe00){1}#n经验#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验）
mount21	#C(#ffffff)每次培养消耗#C(#fbfe00){0}神石或魔晶#n获得#C(#fbfe00){1}#n经验#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验） 大暴击（直接提升1星）#H会优先使用道具{3}
mount22	#C(#ffffff)每次培养消耗#C(#fbfe00){0}神石或魔晶#n进行#C(#fbfe00){1}次高级培养#n#H有机会出现小暴击（获得#C(#fbfe00){2}倍#n经验） 大暴击（直接提升1星）#H会优先使用道具{3}
mount23	#C(#ffffff){0}阶激活
mount24	已经是首页
mount25	已经是末页
mount26	在不可走区域不能幻化地面坐骑
mount27	({0}阶激活)
mount28	在不可走区域不能下坐骑
mount29	幻化成不同坐骑外形不影响坐骑属性，培养坐骑可以激活更多坐骑外形。
mount30	尚未达到条件无法使用
mount31	当前已是该坐骑外形
mount32	剩余时间：{0}天
mount33	提示：该坐骑自激活日起连续登陆7天可变为永久坐骑
mount34	你已经失去连续登陆满7天魔蝎绝骑变永久坐骑机会，在#C(#00FF00)商城购买#n永久激活道具可以使坐骑变为永久坐骑。
mount35	你当前已连续登陆#C(#00FF00){0}#n天，连续登陆满#C(#00FF00){1}#n天可以让魔蝎绝骑变为永久坐骑
shortLevel	等级不足
shortshenshi	神石不足
shortBoth	魔晶或神石不足
shortMoney	金币不足
shortItem	道具不足
shortMoJin	魔晶不足
shortPoint	幸运积分不足
shortZdl	战斗力不足
baifenbishuxing	[14,15]
emsy1	主角等级达到{0}级开启
emsy2	副本还未通关，现在退出将不会有奖励哟
emsy3	领取成功，你获得了#C(#FFFF00){0}#n奖励
emsy4	您的背包已满，请先整理后再领取。
emsy5	31级开启扫荡功能
emsy6	扫荡中
emsy7	请领取奖励
emsy8	是否消耗{0}点体力扫荡第{1}层{2}副本{3}次
emsy9	未满足条件#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n
emsy10	可领取#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n
emsy11	领取成功，你获得了#C(#FFFF00){0}#n
emsy12	已领取#H三星通关第{0}层{1}副本可领取#H奖励#C(#FFFF00){2}#n
emsy13	副本通关可使用扫荡
emsy14	取消扫荡，会有部分奖励无法拿到哟
emsy15	是否消耗{0}魔晶加速扫荡（魔晶不足时消耗神石），月卡可免CD扫荡哟
emsy16	是否消耗{0}点体力扫荡第{1}层{2}副本{3}次
emsy17	是否消耗20魔晶购买50点体力（若魔晶不足则消耗神石）
emsy18	您的神石不足
emsy19	月卡特权，可免CD扫荡
emsy20	1、主角等级达到{0}级（已达到)
emsy21	1、主角等级达到{0}级（未达到)
emsy22	2、拥有1个{0}英雄（已达到） 
emsy23	2、拥有1个{0}英雄（未达到）
emsy24	3、通关第{0}层（{1}）（已达到） 
emsy25	3、通关第{0}层（{1}）（未达到） 
emsy26	当前体力
emsy27	次，消耗{0}点体力
emsy28	经验
emsy29	挑战条件未达到
emsy30	是否消耗30点体力，进入恶魔深渊副本
emsy31	1、扫荡一次消耗30体力#H2、扫荡时间为一次20分钟#H3、可花费魔晶进行快速扫荡
gold1	是否花费#C(#FFFF00){0}#n神石或者魔晶开启炼金炉10次？
gold2	本次需要花费<font color='#FFFF00'>{0}</font>神石或者魔晶开启炼金炉
gold3	召唤好友助你炼金最多可获得<font color='#FFFF00'>{0}</font>金币
gold4	是否花费#C(#FFFF00){0}#n神石或者魔晶开启炼金炉？
gold5	是否提前收获并且获得一半的收益？
gold6	今日炼金次数已用尽，你还可以协助其他玩家炼金
gold7	今日炼金次数已用尽。
gold8	招募炼金术士
gold9	冷却时间：{0}
gold10	炼金次数不足10次，是否花费{0}神石或魔晶开启炼金炉{1}次？
gold11	提示：满4人协助可完美收获{0}金币，提前收获则金币收益减半
gold12	不能协助自己
award01	金币+{0}
award02	声望+{0}
award03	魔晶+{0}
award04	经验+{0}
djbk_tip01	1、30级开启劫宝#H2、每天14:00-19:30每隔半小时开启一次#H3、每次活动有四只运宝地精#H4、玩家击败拥有宝物的地精或玩家，且占领一定时间后可获得奖励#H5、劫宝获得的圣灵碎片可在地精宝库中兑换稀有的装备和命魂#H6、每次劫宝活动最多持续十分钟
djbk_tip02	圣灵碎片#H来源于劫宝
lianyu1	请先领取奖励
lianyu2	剩余挑战次数：{0}次
lianyu3	{0} ({1}-{2}级)
lianyu4	今日次数已用完
lianyu5	1、玩家每天可挑战3次副本#H2、等级越高可挑战的副本种类越多，高等级的副本获得的奖励越丰厚#H3、击杀奖励：击杀小怪和boss获得的奖励#H4、评分奖励：通关副本后根据不同的评分获得不同的奖励#H5、在战斗中玩家可免费复活一次，贵族等级越高可获得购买复活次数越多
lianyu6	当前贵族等级剩余复活次数：{0}。是否消耗魔晶{1}（魔晶不足时则消耗神石）来复活吗？
lianyu7	取消
shengji	升级
djbk_01	<font color='#00ff00'><a href='event:'><u><font color='#FF0000'>{0}</font>占领宝物中（{1}）</u></a></font>
djbk_02	<font color='#00ff00'><a href='event:'>宝物已被<font color='#FF0000'>{0}</font>劫走</a></font>
djbk_03	<font color='#00ff00'><a href='event:'><u>{0}（{1}）</u></a></font>
bs1	[全部,生命宝石,物攻宝石,法攻宝石,物防宝石,法防宝石,暴击宝石,免暴宝石,破挡宝石,格挡宝石,物攻暴击宝石,物攻免暴宝石,物攻格挡宝石,物攻破挡宝石,法攻暴击宝石,法攻免暴宝石,法攻格挡宝石,法攻破挡宝石,生命暴击宝石,生命免暴宝石,生命格挡宝石,生命破挡宝石]
bs2	[全部,等级1,等级2,等级3,等级4,等级5,等级6,等级7,等级8,等级9,等级10,等级11,等级12]
bs3	60级开放
bs4	宝石封印60级开放
bs5	需消耗{0}个封印石提升封印等级
bs6	数量不足
bs7	宝石不足
bs8	封印石不足，无法封印
bs9	确定消耗{0}个封印石提升至等级{1}
bs10	[等级4,等级5,等级6,等级7,等级8,等级9,等级10,等级11,等级12]
bs11	封印成功，封印等级提升至{0}级
bs12	可以合成
bs13	合成成功
bs14	已达最高等级
bs15	宝石封印石
bs16	宝石已经为最高等级，无法再合成
bs17	符文已经为最高等级，无法再合成
bs18	[全部,等级10,等级11,等级12]
bs19	[全部,生命宝石,物攻宝石,法攻宝石,物防宝石,法防宝石,暴击宝石,免暴宝石,破挡宝石,格挡宝石]
bs20	您是否花费{0}神石来完成转化
bs21	1.10级及更高等级的宝石可以锻造成为双属性宝石,双属性宝石的两条属性值分别与锻造前的两个单属性宝石的属性值相同。#H2.只有背包中的宝石可以参与锻造。#H3.双属性宝石共12种，物攻、生命、法攻三种宝石可以和同等级的暴击、免暴、格挡、破挡四种宝石自由组合。#H4.根据锻造生成宝石的不同，锻造需要消耗锻造石和一颗指定的同等级防御宝石。#H5.在锻造栏点击已经放入的宝石可以取消放入。
SoundBtnTip1	#C(#ffffff)开启音效#n
SoundBtnTip2	#C(#ffffff)关闭音效#n
PeopleBtnTip1	#C(#ffffff)显示玩家#n
PeopleBtnTip2	#C(#ffffff)屏蔽玩家#n
MailBtnTip	#C(#ffffff)邮件#n
SetBtnTip	#C(#ffffff)设置#n
RankBtnTip	#C(#ffffff)排行榜#n
DuiHuanTip	#C(#ffffff)兑换#n
GMBtnTip	#C(#ffffff)GM#n
GongGaoTip	#C(#ffffff)公告#n
sytip1	关闭声音
sytip2	开启声音
jlbz1	{0}开启巨龙宝藏获得了{1}
jlbz2	你已没有剩余的金锄头，今日无法继续挖宝了
jlbz3	没有剩余的幸运挖宝次数。
jlbz4	你没有金钥匙，按照攻略挖宝可获得金钥匙。
jlbz5	巨龙宝藏30级开启
jlbz6	1、每天可获得金锄头15个，金锄头可用于挖宝，通过挖宝可触发不同事件#H a.巨龙：巨龙的巢穴，挑战胜利可获得奖励，放弃则无奖励；#H b.小怪：一群贪财的小怪，挑战胜利可获得奖励，放弃则无奖励；#H c.额外奖励事件：可获得金币、魔晶、挖宝次数、幸运挖宝次数、坐骑培养石、经验道具等奖励之一；#H2、每天可获得幸运挖宝1次，幸运挖宝可在当前挖宝地点基础上额外开启三个挖宝地点#H3、依照攻略顺序挖宝，完成巨龙之谜，可获得金钥匙，金钥匙可用于领奖#H4、金钥匙数量次日清零，请尽快使用
jlbz7	金锄头用于挖宝，一次挖宝消耗一个金锄头#H#C(#ff0000)提升贵族等级可增加每日购买挖宝次数#n
jlbz8	可额外开启三个新的挖宝地点#H#C(#ff0000)提升贵族等级可增加每日购买幸运挖宝次数#n
jlbz9	金锄头
union1	已领
union2	领取
union3	金币+{0}#H魔晶+{1}#H#C({2}){3}+{4}
union4	公会等级{0}，贡献{1}
union5	{0}级
union6	达到{0}贡献
union7	{0}级开启公会系统
union9	申请
union10	撤销
union11	联盟
union12	部落
union13	成功加入{0}
union14	请输入公会名字
union15	创建条件：{0}神石
union16	公会名字不能有空格
union17	请输入公会名称
union18	是否使用{0}神石，购买个人贡献
union19	剩余时间：{0}
union20	会长连续7天不登录可以进行公会选举
union21	上一级职位已满，请先调整
union22	确定将{0}请离公会吗？
union23	在线
union24	退出公会将丢失#C(#00FF00)未完成的公会任务#n和#C(#00FF00)已抓战俘#n，是否确认退出
union25	你是会长不能退出公会，请先转让会长
union26	确定将会长转让给{0}吗?
union27	开启
union28	领取奖励
union29	当天累积消费{0}神石
union31	历史贡献不足{0}无法夺宝
union32	金币+{0}#H{1}
union34	开启者:{0}
union35	{0}神石
union36	铜宝箱：{0}次
union37	银宝箱：{0}次
union38	金宝箱：{0}次
union39	你没有权限进行管理
union40	修改公告
union41	保存公告
union43	无
union44	防守方胜
union45	攻击方胜
union46	当夺宝进度达到5/5时可领奖，截止当天23:59:59
union47	伤害提升1000%，受到的伤害减少90%
union48	第{0}关
union49	<font color='#ffffff'>本关卡今日被同公会成员通关为你激活本关挑战</font><font color='#fbfe00'>攻击力加成BUFF</font>
union50	同公会成员通过后可获得提升攻击力的BUFF
union51	已通关第{0}关
union52	(离线)
union53	公会聊天
union54	1、守方为1个公会，攻方最多7个公会；#H2、守方胜利条件：活动结束时，雕像未被完全摧毁；#H3、攻方胜利条件：活动结束前，摧毁所有雕像；#H4、守方胜利，守方获得第一档奖励，攻方公会积分前三名获得其他奖励，且下次活动守方不变；#H5、攻方胜利，攻方公会综合积分前三名获得前三档奖励，守方获得第四档奖励，且攻方第一名公会为下场活动守方；
union55	#H6、守方连续守城时，攻方将获得破连守BUFF，连守天数越多，BUFF效果越强；#H7、#C(#00FF00)守方连续守城达到一定天数，攻方将减少复活所消耗的魔晶或神石，连守天数越多，复活消耗越少#n#H8、退出公会24小时内，无法参加城主轮值#H9、城主我来做，赢得大量金币、经验和装备材料
union56	领奖成功获得：#H金币+{0}#H魔晶+{1}#H#C({2}){3}+{4}#n
union57	领奖成功获得：#H金币+{0}#H#C({1}){2}+{3}#n
union58	贡献不足
union59	消耗{0}神石或者{1}魔晶创建公会
duke1	确定
duke2	生命：{0}%
duke3	你攻击了{0}，#C(#FF0000)你战败了#n，获得了#C(#ffff37){1}积分#n
duke4	你攻击了{0}，#C(#00FF00)你获胜了#n，获得了#C(#ffff37){1}积分#n
duke5	你与{0}进行了战斗，获得了#C(#ffff37){1}积分#n
duke6	你与{0}进行了战斗，获得了#C(#ffff37){1}积分#n
duke7	{0}攻击了你，#C(#FF0000)你战败了#n，获得了#C(#ffff37){1}积分#n
duke8	{0}攻击了你，#C(#00FF00)你获胜了#n，获得了#C(#ffff37){1}积分#n
duke9	胜利条件：活动结束前，摧毁圣城门前的两尊雕像
duke10	胜利条件：活动结束时，保护圣城门前的两尊雕像未被完全摧毁
duke11	攻方摧枯拉朽，守方望风而逃，圣城易主
duke12	圣城固若金汤，攻方攻势一触即溃，不堪一击
duke13	你未获得活动参与资格!
duke14	未达到激活BUFF所需战斗力
duke15	外层城主
duke16	激活需战斗力：{0}
duke17	{0}秒后复活
duke18	是否使用{0}神石或魔晶，加速复活？
duke19	Buff等级：{0}级
duke20	连守天数：{0}
duke21	无需激活，立刻生效
duke22	（点击提升）
duke24	圣城外层已攻破，立刻进攻圣城内层！
duke25	当前无状态
duke26	雕像
duke27	守护神
duke29	内层城主
duke30	充值神石：#C(#FFff37){0}#H#C(#FFFFFF)奖励神石：#C(#FFff37){1}#H#C(#FFFFFF)充值神石：可以通过商城购买获得。#H奖励神石：其他途径获得。
arena001	英雄竞技
jy	经验：
member1	金币：#C(#FFCC10){0}#H#C(#FFFFFF)金币：可以通过心魔炼狱、副本、炼金获得。
member2	充值神石：#C(#FFff37){0}#H#C(#FFFFFF)奖励神石：#C(#FFff37){1}#H#C(#FFFFFF)充值神石：可以通过商城购买获得。#H奖励神石：其他途径获得。
member3	魔晶：#C(#3299cc){0}#H#C(#FFFFFF)魔晶：可以通过月卡每日领取、巨龙宝藏玩法获得。#H部分玩法中，可代替神石使用。
member4	万
member5	千万
member6	亿
renwuTips	英雄（C）
beibaoTips	背包（B）
jinengTips	技能（K）
zhaomuTips	招募（T）
qianghuaTips	装备（Q）
zhengxingTips	阵型（Z）
zuoqiTips	坐骑（N）
haoyouTips	好友（O）
juntuanTips	公会（G）
zhanbuTips	占卜（J）
shangchengTips	商城（V）
jiaoyihangTips	交易行（S）
xingling	星灵（X）
ZdlPropertyEnum1	2500
ZdlPropertyEnum2	0
ZdlPropertyEnum3	0
ZdlPropertyEnum4	7500
ZdlPropertyEnum5	5000
ZdlPropertyEnum6	7500
ZdlPropertyEnum7	5000
ZdlPropertyEnum8	5000
ZdlPropertyEnum9	5000
ZdlPropertyEnum10	5000
ZdlPropertyEnum11	5000
ZdlPropertyEnum12	5000
ZdlPropertyEnum13	5000
ZdlPropertyEnum14	0
ZdlPropertyEnum15	0
Zdlmaxhp	2500
Zdlattackspeed	0
Zdlanger	0
Zdlattack_p	7500
Zdldefense_p	5000
Zdlattack_m	7500
Zdldefense_m	5000
Zdlcrit	5000
Zdlcritpress	5000
Zdlantibroken	5000
Zdlnotbroken	5000
Zdlparry	5000
Zdlpuncture	5000
Zdldamageupgrade	0
Zdldamagereduce	0
ClickAndStopTip	再次点击取消自动寻路
buff1	城主特权#H主角经验加成{0}%，对恶魔深渊生效。#H金币加成{1}%，对心魔炼狱，副本，炼金生效。
buff3	半年卡特权#H金币加成10%，对心魔炼狱，副本，炼金和英灵神殿生效。#H可和其他特权效果叠加
yk1	原价
yk2	现价
yk3	天
yk4	小时
yk5	分钟
yk6	是否花费{0}神石，购买{1}
yk8	月卡到期信息
yk9	秒
yk10	请选择好友
yk11	请输入赠送数量
yk12	请选择需要赠送的好友
yk13	#C(#E87D22)您确定要消耗#C(#00FF00){0}#C(#E87D22)神石赠送#C(#00FF00){2}#C(#E87D22)个#C(#00FF00){3}#C(#E87D22)给#C(#00FF00){1}
daytask1	     是否花费{0}神石或魔晶立即完成，#H           贵族7及以上的玩家免费
daytask2	#C(#EE7600)你是贵族7及以上的玩家，你可以享受免费完成日常任务。#n
TaskLvLimit	您当前等级不够！
dengji	等级
fb_001	消耗{0}魔晶或神石购买1次副本挑战次数，当前剩余可购买{1}次
fb_002	前置副本尚未完成,不能购买哟
fb_003	今日没有可以购买的次数了，提升贵族等级可以提升每日购买次数
fb_004	当前没有进度，不能重置
fb_005	重置副本将清除该副本进度，确定重置吗？
fb_006	{0}级开启挂机功能
fb_007	没有通关该副本，不能挂机哟
fb_008	当前有副本进度，不能挂机哟
fb_009	剩余次数不够，不能挂机哟
fb_010	已达可以挂机的时间上限，不能继续挂机
fb_011	挂机是按照历史最高通关评分为玩家结算奖励
fb_012	满三星评价，可以在挂机中获得最高收益哟
fb_013	加速将消耗{0}魔晶（魔晶不足时，消耗神石）
fb_014	未满足条件#H通关{0}所有副本之后可领取{1}
fb_015	已领取奖励
fb_016	未满足条件#H{0}副本全3星通关后可领取奖励{1}
fb_017	通过{0}所有副本后可领取奖励。
fb_018	{0}副本全3星通关后可领取奖励。
fb_019	今日进入副本已达上限，请明日再来
fb_020	满足条件#H通关{0}所有副本之后可领取{1}
fb_021	满足条件#H{0}副本全3星通关后可领取奖励{1}
yxjj1	1、可以在相同分组内选择要挑战的玩家#H2、挑战胜利可提升排名，分组排名达到标准可以参加晋级挑战#H3、晋级成功可进入更高级分组，钻石组无法继续晋级#H4、每天22:00发放英雄竞技奖励，可以获得大量声望和金币
tili1	体力值每#C(#00FF00)30#n分钟回复#C(#00FF00)5#n点。#H#C(#00FF00)非贵族#n用户每日可购买体力#C(#00FF00){0}#n次
tili2	体力值每#C(#00FF00)30#n分钟回复#C(#00FF00)5#n点。#H#C(#00FF00)贵族{0}#n用户每日可购买体力#C(#00FF00){1}#n次。
tili3	是否花费20神石或者魔晶购买50点体力?
tili4	购买次数不足。提升贵族等级可获得更多的购买体力次数。
tili5	当前体力值已满,无需购买体力值。
rank1	未上榜
rank2	天赋卡{0}：
rank3	未装备
rank4	组合效果：
rank5	无
wysj	#C(#FFFFFF)恶魔深渊可获得大量#C(#00FF00)主角经验#n和#C(#00FF00)大量经验果#n
gaojizhanbu1	花费200神石使用高级占卜，必出#C(#E013D5)紫色命魂#n，有可能出现#C(#FFFF00)金色命魂#n。
gaojizhanbu2	神石不足，无法使用高级占卜。
gaojizhanbu3	是否花费200神石进行高级占卜？
gaojizhanbu4	是否消耗1个占卜令进行高级占卜？
gaojizhanbu5	贵族3或者以上可以使用
zhanbu1	点击花费{0}金币获取命魂。
zhanbu2	本次占卜需要花费{0}金币。
zhanbu3	命魂背包格子不足。
zhanbu4	本次占卜获得：#C({0}){1}
zhanbu5	自动获取命魂至命魂格满或者金币不足。
zhanbu6	自动花费金币获取命魂至背包满为止？
zhanbu7	你没有足够的金币无法占卜。
zhanbu8	自动售出没有用的命魂。
zhanbu9	当前没有可以出售的命魂。
zhanbu10	需要达到{0}等级解锁
zhanbu11	已经装备了同类型的命魂。
