mcid	desc	rewardItems	heroNumber
9068	五星祭坛10次	[(25645, 75)]	[69, 74]
9069	五星祭坛10次	[(25645, 75)]	[69, 74]
9070	五星祭坛10次	[(25645, 75)]	[69, 74]
9071	六星祭坛单次	[]	[101]
9072	六星祭坛单次	[]	[113]
9073	六星祭坛单次	[(25645, 12)]	[]
9074	六星祭坛单次	[(25645, 12)]	[]
9075	六星祭坛单次	[(25645, 12)]	[]
9076	六星祭坛10次	[(25645, 100)]	[101]
9077	六星祭坛10次	[(25645, 100)]	[101]
9078	六星祭坛10次	[(25645, 100)]	[101]
9079	六星祭坛10次	[(25645, 100)]	[113]
9080	六星祭坛10次	[(25645, 100)]	[113]
9081	六星祭坛10次	[(25645, 100)]	[113]
9082	六星祭坛10次	[(25645, 75)]	[101, 113]
9083	六星祭坛10次	[(25645, 75)]	[101, 113]
9084	六星祭坛10次	[(25645, 75)]	[101, 113]
9085	六星祭坛单次	[]	[125]
9086	六星祭坛单次	[]	[131]
9087	六星祭坛单次	[(25645, 12)]	[]
9088	六星祭坛单次	[(25645, 12)]	[]
9089	六星祭坛单次	[(25645, 12)]	[]
9090	六星祭坛10次	[(25645, 100)]	[125]
9091	六星祭坛10次	[(25645, 100)]	[125]
9092	六星祭坛10次	[(25645, 100)]	[125]
9093	六星祭坛10次	[(25645, 100)]	[131]
9094	六星祭坛10次	[(25645, 100)]	[131]
9095	六星祭坛10次	[(25645, 100)]	[131]
9096	六星祭坛10次	[(25645, 75)]	[125, 131]
9097	六星祭坛10次	[(25645, 75)]	[125, 131]
9098	六星祭坛10次	[(25645, 75)]	[125, 131]
9099	八星祭坛单次	[]	[158]
9100	八星祭坛单次	[]	[164]
9101	八星祭坛单次	[(25645, 12)]	[]
9102	八星祭坛单次	[(25645, 12)]	[]
9103	八星祭坛单次	[(25645, 12)]	[]
9104	八星祭坛10次	[(25645, 100)]	[158]
9105	八星祭坛10次	[(25645, 100)]	[158]
9106	八星祭坛10次	[(25645, 100)]	[158]
9107	八星祭坛10次	[(25645, 100)]	[164]
9108	八星祭坛10次	[(25645, 100)]	[164]
9109	八星祭坛10次	[(25645, 100)]	[164]
9110	八星祭坛10次	[(25645, 75)]	[158, 164]
9111	八星祭坛10次	[(25645, 75)]	[158, 164]
9112	八星祭坛10次	[(25645, 75)]	[158, 164]
