HaloLevel	NeedExp	AddCoe	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce
73	2737785400	3650	13140	0	0	4380	4380	4380	4380	4380	4380	0	0	4380	4380	0	0
74	2810749400	3700	13320	0	0	4440	4440	4440	4440	4440	4440	0	0	4440	4440	0	0
75	2884342400	3750	13500	0	0	4500	4500	4500	4500	4500	4500	0	0	4500	4500	0	0
76	2958564400	3800	13680	0	0	4560	4560	4560	4560	4560	4560	0	0	4560	4560	0	0
77	3033415400	3850	13860	0	0	4620	4620	4620	4620	4620	4620	0	0	4620	4620	0	0
78	3108895400	3900	14040	0	0	4680	4680	4680	4680	4680	4680	0	0	4680	4680	0	0
79	3185004400	3950	14220	0	0	4740	4740	4740	4740	4740	4740	0	0	4740	4740	0	0
80	3261742400	4000	14400	0	0	4800	4800	4800	4800	4800	4800	0	0	4800	4800	0	0
81	3339109400	4050	14580	0	0	4860	4860	4860	4860	4860	4860	0	0	4860	4860	0	0
82	3417105400	4100	14760	0	0	4920	4920	4920	4920	4920	4920	0	0	4920	4920	0	0
83	3495730400	4150	14940	0	0	4980	4980	4980	4980	4980	4980	0	0	4980	4980	0	0
84	3574984400	4200	15120	0	0	5040	5040	5040	5040	5040	5040	0	0	5040	5040	0	0
85	3654867400	4250	15300	0	0	5100	5100	5100	5100	5100	5100	0	0	5100	5100	0	0
86	3735379400	4300	15480	0	0	5160	5160	5160	5160	5160	5160	0	0	5160	5160	0	0
87	3816520400	4350	15660	0	0	5220	5220	5220	5220	5220	5220	0	0	5220	5220	0	0
88	3898290400	4400	15840	0	0	5280	5280	5280	5280	5280	5280	0	0	5280	5280	0	0
89	3980689400	4450	16020	0	0	5340	5340	5340	5340	5340	5340	0	0	5340	5340	0	0
90	4063717400	4500	16200	0	0	5400	5400	5400	5400	5400	5400	0	0	5400	5400	0	0
91	4147374400	4550	16380	0	0	5460	5460	5460	5460	5460	5460	0	0	5460	5460	0	0
92	4231660400	4600	16560	0	0	5520	5520	5520	5520	5520	5520	0	0	5520	5520	0	0
93	4316575400	4650	16740	0	0	5580	5580	5580	5580	5580	5580	0	0	5580	5580	0	0
94	4402119400	4700	16920	0	0	5640	5640	5640	5640	5640	5640	0	0	5640	5640	0	0
95	4488292400	4750	17100	0	0	5700	5700	5700	5700	5700	5700	0	0	5700	5700	0	0
96	4575094400	4800	17280	0	0	5760	5760	5760	5760	5760	5760	0	0	5760	5760	0	0
97	4662525400	4850	17460	0	0	5820	5820	5820	5820	5820	5820	0	0	5820	5820	0	0
98	4750585400	4900	17640	0	0	5880	5880	5880	5880	5880	5880	0	0	5880	5880	0	0
99	4839274400	4950	17820	0	0	5940	5940	5940	5940	5940	5940	0	0	5940	5940	0	0
100	0	5000	18000	0	0	6000	6000	6000	6000	6000	6000	0	0	6000	6000	0	0
