skillKey	isActive	name	iconImg	desc
(212,2)	1	高级光击阵	jn42	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)2 losowych#n wrogów, zadając + 1800 obrażeń. Może zadać podwójne obrażenia.
(213,1)	1	灵魂盾击	jn38	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)1 losowego#n przeciwnika z przodu i przywraca część HP. Zwiększa obronę na 3 rundy.
(213,2)	1	高级灵魂盾击	jn38	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)1 losowego#n przeciwnika z przodu, zadając + 1600 obrażeń. Przywraca HP i zwiększa Twoją obronę na 3 rundy.
(214,1)	1	秘法回复	jn44	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Uzdrawia #C(#00FF00)wszystkich#n bohaterów. Trwa 3 rundy.
(214,2)	1	高级秘法回复	jn44	#C(#00FF00)Odliczanie: 3 rundy. #n#H Uzdrawia #C(#00FF00)wszystkich#n bohaterów. Przywraca + 1200 HP, a oprócz tego przywraca HP na 3 rundy.
(215,1)	1	毁灭之刃	jn48	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)wszystkich#n wrogów i może ich ogłuszyć na 2 rundy.
(215,2)	1	高级毁灭之刃	jn48	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)wszystkich#n wrogów, zadając + 1000 obrażeń. Może ich ogłuszyć na 2 rundy.
(216,1)	1	嗜血渴望	jn46	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)wszystkich#n wrogów i zmniejsza #C(#00FF00)wszystkim#n efekt uleczania. Zwiększa Twoją obronę na 3 rundy.
(216,2)	1	高级嗜血渴望	jn46	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)wszystkich#n wrogów, zmniejsza #C(#00FF00)wszystkim#n efekt uzdrawiania oraz zwiększa Twoją obronę na 3 rundy.
(217,1)	1	寒霜祝福	jn50	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Zwiększa #C(#00FF00)wszystkim#n bohaterom Atak i zwiększa efekt krytyk o 50% na 3 rundy.
(217,2)	1	高级寒霜祝福	jn50	#C(#00FF00)Odliczanie: 3 rundy. #n#H Zwiększa #C(#00FF00)wszystkim#n bohaterom atak i zwiększa o 50% efet krytyk na 3 rundy.
(218,1)	1	斩杀	jn51	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)wszystkich#n wrogów i zmniejsza ich obronę.
(218,2)	1	高级斩杀	jn51	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)wszystkich#n wrogów i zmniejsza ich obronę. Zadaje + 2500 obrażeń.
(219,1)	1	元素毁灭	jn52	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje dwa razy #C(#00FF00) losowego wroga#n w tylnym rzędzie. Może zadać podwójne obrażenia.
(219,2)	1	高级元素毁灭	jn52	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00) 2 razy losowego wroga#n w tylnym rzędzie, zadając 2500 obrażeń. Może zadać podwójne obrażenia.
(220,1)	1	死亡旋风	jn53	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)wszystkich#n wrogów w rzędzie i zwiększa Twoją obronę. Tworzy tarczę pochłaniającą obrażenia.
(220,2)	1	高级死亡旋风	jn53	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)wszystkich#n wrogów w rzędzie, zwiększa Twoją obronę i narzuca tarczę pochłaniająca obrażenia.
(221,1)	1	女王祝福	jn54	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Uzdrawia #C(#00FF00)2 bohaterów#n z najniższym HP.
(221,2)	1	高级女王祝福	jn54	#C(#00FF00)Odliczanie: 3 rundy. #n#H Uzdrawia #C(#00FF00)2 bohaterów#n z najniższym HP i przywraca + 2500 HP.
(224,1)	1	横扫千军	jn59	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje wrogów #C(#00FF00)w przednim rzędzie#n i przywraca Twoje HP. Zwiększa obronę na 3 rundy.
(224,2)	1	高级横扫千军	jn59	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)wszystkich wrogów z przodu#n. Przywraca HP i zwiększa obronę na 3 rundy.
(223,1)	1	月神守护	jn60	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Przywraca #C(#00FF00)wszystkim#n bohaterom HP i zwiększa atak na 3 rundy.
(223,2)	1	高级月神守护	jn60	#C(#00FF00)Odliczanie: 3 rundy. #n#H Przywraca #C(#00FF00)wszystkim#n Twoim bohaterom HP i zwiększa atak na 3 rundy.
(222,1)	1	冥风暴击	jn61	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)3 losowychch#n wrogów i może ich ogłuszyć na 2 rundy.
(222,2)	1	高级冥风暴击	jn61	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje 3#C(#00FF00)losowych#n wrogów, zadając + 3000 obrażeń. Może ich ogłuszyć na 2 rundy.
(251,1)	1	月光	jn19	攻击敌方前排#C(#00FF00)随机单体#n目标。
(251,2)	1	高级月光	jn19	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成500点伤害。
(252,1)	1	蛇牙	jn21	攻击敌方前排#C(#00FF00)随机单体#n目标。
(252,2)	1	高级蛇牙	jn21	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成400点伤害。
(253,1)	1	致命突袭	jn17	攻击敌方前排#C(#00FF00)随机单体#n目标。
(253,2)	1	高级致命突袭	jn17	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成500点伤害。
(254,1)	1	破魂	jn25	攻击敌方前排#C(#00FF00)随机单体#n目标。
(254,2)	1	高级破魂	jn25	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成800点伤害。
(255,1)	1	圣光	jn27	攻击敌方前排#C(#00FF00)随机单体#n目标。
(255,2)	1	高级圣光	jn27	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成800点伤害。
(256,1)	1	冲刺	jn23	攻击敌方前排#C(#00FF00)随机单体#n目标。
(256,2)	1	高级冲刺	jn23	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成500点伤害。
(257,1)	1	血祭	jn31	攻击敌方前排#C(#00FF00)随机单体#n目标。
(257,2)	1	高级血祭	jn31	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成800点伤害。
(258,1)	1	阳炎冲击	jn33	攻击敌方前排#C(#00FF00)随机单体#n目标。
(258,2)	1	高级阳炎冲击	jn33	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成1600点伤害。
(259,1)	1	雷电	jn29	攻击敌方前排#C(#00FF00)随机单体#n目标。
(259,2)	1	高级雷电	jn29	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成800点伤害。
(260,1)	1	血色契约	jn35	攻击敌方前排#C(#00FF00)随机单体#n目标。
(260,2)	1	高级血色契约	jn35	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成1200点伤害。
(261,1)	1	惩戒	jn39	攻击敌方前排#C(#00FF00)随机单体#n目标。
(261,2)	1	高级惩戒	jn39	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成1200点伤害。
(262,1)	1	龙破斩	jn41	攻击敌方前排#C(#00FF00)随机单体#n目标。
(262,2)	1	高级龙破斩	jn41	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成1200点伤害。
(263,1)	1	裂天长矛	jn37	攻击敌方前排#C(#00FF00)随机单体#n目标。
(263,2)	1	高级裂天长矛	jn37	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成1600点伤害。
(264,1)	1	妖术	jn43	攻击敌方前排#C(#00FF00)随机单体#n目标。
(264,2)	1	高级妖术	jn43	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成1600点伤害。
(265,1)	1	智慧之刃	jn47	攻击敌方前排#C(#00FF00)随机单体#n目标。
(265,2)	1	高级智慧之刃	jn47	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成1600点伤害。
(266,1)	1	地狱突袭	jn45	攻击敌方前排#C(#00FF00)随机单体#n目标。
(266,2)	1	高级地狱突袭	jn45	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成1200点伤害。
(267,1)	1	寒冰箭	jn49	攻击敌方前排#C(#00FF00)随机单体#n目标。
(267,2)	1	高级寒冰箭	jn49	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成2000点伤害。
(268,1)	1	屠杀	jn55	攻击敌方前排#C(#00FF00)随机单体#n目标。
(268,2)	1	高级屠杀	jn55	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成2500点伤害。
(269,1)	1	元素冲击	jn56	攻击敌方前排#C(#00FF00)随机单体#n目标。
(269,2)	1	高级元素冲击	jn56	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成2500点伤害。
(270,1)	1	深渊突袭	jn57	攻击敌方前排#C(#00FF00)随机单体#n目标。
(270,2)	1	高级深渊突袭	jn57	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成2500点伤害。
(271,1)	1	女王之怒	jn58	攻击敌方前排#C(#00FF00)随机单体#n目标。
(271,2)	1	高级女王之怒	jn58	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成2500点伤害。
(274,1)	1	刺杀	jn62	攻击敌方前排#C(#00FF00)随机单体#n目标。
(274,2)	1	高级刺杀	jn62	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成3000点伤害。
(273,1)	1	月之箭	jn63	攻击敌方前排#C(#00FF00)随机单体#n目标。
(273,2)	1	高级月之箭	jn63	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成3000点伤害。
(272,1)	1	致死打击	jn64	攻击敌方前排#C(#00FF00)随机单体#n目标。
(272,2)	1	高级致死打击	jn64	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成3000点伤害。
(277,1)	1	幽冥一击	jn80	攻击敌方前排#C(#00FF00)随机单体#n目标。
(277,2)	1	高级幽冥一击	jn80	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成3500点伤害。
(275,1)	1	死亡绝唱	jn81	攻击敌方前排#C(#00FF00)随机单体#n目标。
(275,2)	1	高级死亡绝唱	jn81	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成3500点伤害。
(276,1)	1	痛苦腐蚀	jn82	攻击敌方前排#C(#00FF00)随机单体#n目标。
(276,2)	1	高级痛苦腐蚀	jn82	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成3500点伤害。
(278,1)	1	死亡利刃	jn98	攻击敌方前排#C(#00FF00)随机单体#n目标。
(278,2)	1	高级死亡利刃	jn98	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成3500点伤害。
(229,1)	1	圣光回复	jn83	#C(#00FF00)冷却回合：2回合#n#H#C(#00FF00)前置冷却回合：1回合#n#H治疗我方#C(#00FF00)全体单位。#n
(229,2)	1	高级圣光回复	jn83	#C(#00FF00)冷却回合：2回合#n#H治疗我方#C(#00FF00)全体单位,#n并额外恢复3500生命。
(230,1)	1	起死回生	jn84	#C(#00FF00)冷却回合：5回合#n#H#C(#00FF00)前置冷却回合：1回合#n#H复活我方#C(#00FF00)1#n个死亡单位，本身攻击力越高，额外恢复的生命越高。
(230,2)	1	高级起死回生	jn84	#C(#00FF00)冷却回合：5回合#n#H复活我方#C(#00FF00)1#n个死亡单位，攻击力越高，额外恢复的生命越高。
(232,1)	1	亡灵大军	jn85	#C(#00FF00)冷却回合：2回合#n#H#C(#00FF00)前置冷却回合：1回合#n#H有概率攻击#C(#00FF00)6#n次敌方随机单体目标，至少有#C(#00FF00)3#n次攻击。
(232,2)	1	高级亡灵大军	jn85	#C(#00FF00)冷却回合：2回合#n#H高概率攻击#C(#00FF00)6#n次敌方随机单体目标，至少有#C(#00FF00)3#n次攻击。
(231,1)	1	不动如山	jn86	#C(#00FF00)冷却回合：2回合#n#H#C(#00FF00)前置冷却回合：1回合#n#H攻击敌方#C(#00FF00)单体#n目标，为自己施放一个护盾，吸收大量伤害，并施放一个反伤buff，反伤最大不超过自身最大生命值。
(231,2)	1	高级不动如山	jn86	#C(#00FF00)冷却回合：2回合#n#H攻击敌方#C(#00FF00)单体#n目标，为自己施放一个护盾，吸收大量伤害，并施放一个#C(#00FF00)30%#n反伤buff，反伤最大不超过自身最大生命值。
(501,2)	0	防御天赋	jn11	被动提升50%生命值与20%格挡几率
(502,2)	0	暴击天赋	jn12	被动提升15%暴击概率
(503,2)	0	法术天赋	jn13	被动提升20%法术攻击力
(504,1)	0	法师血脉	jn15	被动提升10%法术攻击力，并有10%概率重置技能CD
(504,2)	0	高级法师血脉	jn15	被动提升15%法术攻击力，并有15%概率重置技能CD
(505,1)	0	辅助血脉	jn16	进入战斗时提升己方全队5%增伤与5%减伤，不占用出手回合
(505,2)	0	高级辅助血脉	jn16	进入战斗时提升己方全队10%增伤与10%减伤，不占用出手回合
(506,1)	0	守护血脉	jn14	生命低于30%时，免伤60%两个回合
(506,2)	0	高级守护血脉	jn14	生命低于40%时，免伤60%两个回合（一定概率额外增加一个回合的持续时间）
(304,2)	1	天使之光	jn67	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)wszystkich#n wrogów, zadając + 3000 obrażeń i ignorując ich obronę.
(305,2)	1	神圣之剑	jn66	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成3000点伤害。
(225,2)	1	天使之光	jn67	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)wszystkich#n wrogów, zadając + 3000 obrażeń i ignorując ich obronę.
(306,1)	1	剑破苍穹	jn68	#C(#00FF00)冷却回合：2回合#n#H#C(#00FF00)连续两次#n攻击敌方#C(#00FF00)竖排#n目标，额外造成2400的伤害，忽视目标防御。
(307,1)	1	灭杀式	jn69	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成3000点伤害。
(306,2)	1	剑破苍穹	jn68	#C(#00FF00)冷却回合：2回合#n#H#C(#00FF00)连续两次#n攻击敌方#C(#00FF00)竖排#n目标，额外造成2400的伤害，忽视目标防御。
(307,2)	1	灭杀式	jn69	攻击敌方前排#C(#00FF00)随机单体#n目标，额外造成3000点伤害。
(233,1)	1	绝对穿刺	jn99	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Atakuje #C(#00FF00)1 losowego#n wroga i przywraca część HP.#n
(233,2)	1	高级绝对穿刺	jn99	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)losowego#n wroga, zadając + 1000 obrażeń. Przywraca HP.
(234,1)	1	坚定守护	jn100	#C(#00FF00)Odliczanie: 3 rundy. #n#H#C(#00FF00)Początkowe odliczanie: 1 runda #n#H Rozkłada #C(#00FF00)30%#n Twoich obrażeń na członków drużyny. Nie przekroczy Twojego bieżącego HP. Trwa 2 rundy.
(234,2)	1	高级坚定守护	jn100	#C(#00FF00)Odliczanie: 3 rundy. #n#H Share #C(#00FF00)30%#n damage for your teammates. And it nie przekroczy Twojego bieżącego HP. Trwa 2 rundy.
(400,2)	1	高级火焰战魂	jn90	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)losowego#n wroga, ogłusza go i zadaje + 3500 obrażeń. Trwa 1 rundę.
(401,2)	1	高级冰霜祝福	jn91	#C(#00FF00)Odliczanie: 3 rundy. #n#H Uzdrawia #C(#00FF00)jednego#n bohatera i przywraca + 3500 HP.
(402,2)	1	高级地动山摇	jn92	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)losowego#n przeciwnika z przodu, zadając + 3500 obrażeń. Przywraca Twoje HP.
(403,2)	1	高级荡剑灭魔	jn93	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)wszystkich#n wrogów, zmniejszając ich obronę, #C(#00FF00)30#n gniewu. Zadaje + 3500 obrażeń.
(404,2)	1	高级天堂判决	jn94	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)losowego #n wroga z tyłu formacji, zadając + 3000 obrażeń. Może zadać podwójne obrażenia.
(405,2)	1	高级爱心治疗	jn95	#C(#00FF00)Odliczanie: 3 rundy. #n#H Uzdrawia #C(#00FF00)2 bohaterów#n z najniższym HP, przywraca + 3000 HP oraz przywraca HP na 2 rundy.
(406,2)	1	高级混乱冲击	jn96	#C(#00FF00)Odliczanie: 3 rundy. #n#H Atakuje #C(#00FF00)losowego#n wroga 4 razy zadając + 3500 obrażeń. Może ogłuszyć na 2 rundy.
(407,2)	1	高级群星守护	jn97	#C(#00FF00)Odliczanie: 3 rundy. #n#H Narzuca tarcze #C(#00FF00)wszystkim#n bohaterom na 3 rundy. Pochłania + 3500 obrażeń.
(408,2)	0	元素之力	jn101	每次攻击时，提升自身伤害减免3%，最高可叠加到15%。
(409,2)	0	致命一击	jn102	当敌方血量低于30%时，对其造成伤害提升50%。
(410,2)	1	高级圣光祝福	jn103	#C(#00FF00)Odliczanie: 3 rundy. #n#H Uzdrawia #C(#00FF00)wszystkich#n bohaterów. Przywraca + 3500 HP, a oprócz tego przywraca HP na 2 rundy.
(411,2)	1	绝对守护	jn104	#C(#00FF00)Odliczanie: 3 rundy. #n#H Rozkłada #C(#00FF00)50%#n obrażeń na członków drużyny. Nie przekroczy Twojego bieżącego HP i zwiększy je o 50%. Trwa 2 rundy.
