heroNumber	name	career	grade	star	heroType	colorCode	returnItems	needLevel	needReputation	needMoney	needItems	recuritRes	coolCD	color	floorShadow	gradeOrder	nextGradeHeroNumber	maxLevel	upgradeNeedLv	upgradeNeedItem	upgradeNeedHeroNumber	NpcType	canFollow	temple_level	CompareHero	bigIcon	smallIcon	normal_skill	learn_activeSkill	learn_passiveSkill	learned_skill	nolearned_skill	lightskill	attack_Plus	attack_Coe	maxhp_Plus	maxhp_Coe	speedGrow	attackPassive	hpPassive	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	heroDesc	heroTalk	upgradeNeedRoleLv	canAwaken	needHeroActID	awakenRoleLevel	awakenHeroLevel	awakenHeroStar	awakenNeedItem	awakenHeroSkill	awakenHeroNumber	orAwaken	CuiLianShiCnt	zhuanshengLevel	canZhuanSheng	zhuanshengNeedLevel	zhuanshengHeroNumber	zhuanshengNeedRoleZSLv	zhuanshengNeedItem	zhuanshengNeedRes	zhuanshengNeedMoney	maxhp_z	attackspeed_z	anger_z	attack_p_z	defense_p_z	attack_m_z	defense_m_z	crit_z	critpress_z	antibroken_z	notbroken_z	parry_z	puncture_z	damageupgrade_z	damagereduce_z
10	绝美艳后	3	5	1	2	5	25984,3	19	0	0			0	橙色	icoBg5	5	0	50	50	[(25676,0)]	0	9010	0	0	0	5006	5006	("HeroNormalSkill",(252,2))	(202,2)	[(503,1), (505, 1)]	(252,2):(202,2):(503,2):(505,1)			38250	10	33750	30	快	2000	0	1500000	70000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	女王亲临，振奋人心		0	0	0	0	0	0					15	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	天空射手	2	1	1	3	1		26	500	10000			43200	白色	0	1	12	20	20	[(25676,1)]	0	9011	0	3	12	4018	4018	("HeroNormalSkill",(251,1))	(9999,1)	[]	(251,1)	(201,1):(502,2):(504,1)	(201,1)	7700	10	3500	30	中等	0	0	1500000	50000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	天空之子，一箭三雕	升绿可得攻击#C(#f3fc09)随机三个目标#n技能	0	0	0	0	0	0					3	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	天空射手	2	2	1	3	2		26	0	0			0	绿色	icoBg1	2	13	30	30	[(25676,5)]	0	9012	0	0	13	4018	4018	("HeroNormalSkill",(251,1))	(201,1)	[]	(251,1):(201,1)	(502,2):(504,1)	(502,2)	15400	10	7000	30	中等	0	0	1500000	50000	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	天空之子，一箭三雕	升蓝可得#C(#f3fc09)提升15%暴击概率#n被动技能	0	0	0	0	0	0					6	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	天空射手	2	3	1	3	3		26	0	0			0	蓝色	icoBg2	3	14	40	40	[(25676,25)]	0	9013	0	0	14	4018	4018	("HeroNormalSkill",(251,1))	(201,1)	[(502,1)]	(251,1):(201,1):(502,2)	(504,1)	(251,2):(201,2)	24200	10	11000	30	中等	0	0	1500000	50000	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	天空之子，一箭三雕	升紫后可#C(#f3fc09)第一回合使用群攻#n技能	0	0	0	0	0	0					9	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	天空射手	2	4	1	3	4	25984,1	26	0	0			0	紫色	icoBg3	4	15	50	50	[(25676,50)]	14	9014	0	0	15	4018	4018	("HeroNormalSkill",(251,2))	(201,2)	[(502,1)]	(251,2):(201,2):(502,2)	(504,1)	(504,1)	33000	10	15000	30	中等	0	0	1500000	50000	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	天空之子，一箭三雕	升橙可得#C(#f3fc09)30%概率重置技能CD#n被动技能	0	0	0	0	0	0					12	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	天空射手	2	5	1	3	5	25984,3	26	0	0			0	橙色	icoBg5	5	0	50	50	[(25676,0)]	0	9015	0	0	0	4018	4018	("HeroNormalSkill",(251,2))	(201,2)	[(502,1), (504, 1)]	(251,2):(201,2):(502,2):(504,1)			49500	10	22500	30	中等	1000	0	1500000	50000	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	天空之子，一箭三雕		0	0	0	0	0	0					15	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	冠军骑士	1	7	2	4	1		40	8000	100000			86400	白色	0	1	17	40	40	[(25677,1)]	0	9016	0	4	17	20012	20012	("HeroNormalSkill",(256,1))	(9999,1)	[]	(256,1)	(206,1):(501,2):(506,1)	(206,1)	21000	10	35000	30	中等	0	0	1500000	49900	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	王者之将，坚不可摧	升绿可得#C(#f3fc09)护盾#n技能	0	0	0	0	0	0					18	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	冠军骑士	1	8	2	4	2		40	0	0			0	绿色	icoBg1	2	18	50	50	[(25677,5)]	0	9017	0	0	18	20012	20012	("HeroNormalSkill",(256,1))	(206,1)	[]	(256,1):(206,1)	(501,2):(506,1)	(501,2)	24000	10	40000	30	中等	0	0	1500000	49900	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	王者之将，坚不可摧	升蓝可得#C(#f3fc09)提升50%生命与20%格挡几率#n的被动技能	0	0	0	0	0	0					21	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	冠军骑士	1	9	2	4	3		40	0	0			0	蓝色	icoBg2	3	19	60	60	[(25677,25)]	0	9018	0	0	19	20012	20012	("HeroNormalSkill",(256,1))	(206,1)	[(501,1)]	(256,1):(206,1):(501,2)	(506,1)	(256,2):(206,2)	27000	10	45000	30	中等	0	5000	1500000	49900	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	王者之将，坚不可摧	升紫后可#C(#f3fc09)第一回合使用护盾#n技能	0	0	0	0	0	0					24	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	冠军骑士	1	10	2	4	4	25985,1	40	0	0			0	紫色	icoBg3	4	20	70	70	[(25677,50)]	19	9019	0	0	20	20012	20012	("HeroNormalSkill",(256,2))	(206,2)	[(501,1)]	(256,2):(206,2):(501,2)	(506,1)	(506,1)	30000	10	50000	30	中等	0	5000	1500000	49900	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	王者之将，坚不可摧	升橙可得#C(#f3fc09)生命低于30%时免伤60%两回合#n被动技能	0	0	0	0	0	0					27	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	冠军骑士	1	11	2	4	5	25985,3	40	0	0			0	橙色	icoBg5	5	0	70	70	[(25677,0)]	0	9020	0	0	0	20012	20012	("HeroNormalSkill",(256,2))	(206,2)	[(501,1), (506, 1)]	(256,2):(206,2):(501,2):(506,1)			45000	10	75000	30	中等	0	5000	1500000	49900	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	王者之将，坚不可摧		0	0	0	0	0	0					30	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	圣光祭司	3	7	2	5	1		40	20000	100000			86400	白色	0	1	22	40	40	[(25677,1)]	0	9021	0	5	22	5004	5004	("HeroNormalSkill",(255,1))	(9999,1)	[]	(255,1)	(205,1):(503,2):(505,1)	(205,1)	29750	10	26250	30	慢	0	0	1500000	30100	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	神之使徒，妙手回春	升绿可得#C(#f3fc09)治疗#n技能	0	0	0	0	0	0					18	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	圣光祭司	3	8	2	5	2		40	0	0			0	绿色	icoBg1	2	23	50	50	[(25677,5)]	0	9022	0	0	23	5004	5004	("HeroNormalSkill",(255,1))	(205,1)	[]	(255,1):(205,1)	(503,2):(505,1)	(503,2)	34000	10	30000	30	慢	0	0	1500000	30100	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	神之使徒，妙手回春	升蓝可得#C(#f3fc09)提升20%法术攻击力#n被动技能	0	0	0	0	0	0					21	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	圣光祭司	3	9	2	5	3		40	0	0			0	蓝色	icoBg2	3	24	60	60	[(25677,25)]	0	9023	0	0	24	5004	5004	("HeroNormalSkill",(255,1))	(205,1)	[(503,1)]	(255,1):(205,1):(503,2)	(505,1)	(255,2):(205,2)	38250	10	33750	30	慢	2000	0	1500000	30100	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	神之使徒，妙手回春	升紫后可#C(#f3fc09)第一回合使用治疗#n技能	0	0	0	0	0	0					24	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	圣光祭司	3	10	2	5	4	25985,1	40	0	0			0	紫色	icoBg3	4	25	70	70	[(25677,50)]	24	9024	0	0	25	5004	5004	("HeroNormalSkill",(255,2))	(205,2)	[(503,1)]	(255,2):(205,2):(503,2)	(505,1)	(505,1)	42500	10	37500	30	慢	2000	0	1500000	30100	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	神之使徒，妙手回春	升橙可得#C(#f3fc09)提升己方全体5%伤害率和免伤率#n被动技能	0	0	0	0	0	0					27	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	圣光祭司	3	11	2	5	5	25985,3	40	0	0			0	橙色	icoBg5	5	0	70	70	[(25677,0)]	0	9025	0	0	0	5004	5004	("HeroNormalSkill",(255,2))	(205,2)	[(503,1), (505, 1)]	(255,2):(205,2):(503,2):(505,1)			63750	10	56250	30	慢	2000	0	1500000	30100	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	神之使徒，妙手回春		0	0	0	0	0	0					30	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	死神	2	7	2	6	1		40	35000	100000			86400	白色	0	1	27	40	40	[(25677,1)]	0	9026	0	6	27	4023	4023	("HeroNormalSkill",(254,1))	(9999,1)	[]	(254,1)	(204,1):(502,2):(504,1)	(204,1)	38500	10	17500	30	快	0	0	1500000	69900	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	亡灵使者，魂飞魄散	升绿可得攻击#C(#f3fc09)随机三个#n目标，并#C(#f3fc09)破甲#n技能	0	0	0	0	0	0					18	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	死神	2	8	2	6	2		40	0	0			0	绿色	icoBg1	2	28	50	50	[(25677,5)]	0	9027	0	0	28	4023	4023	("HeroNormalSkill",(254,1))	(204,1)	[]	(254,1):(204,1)	(502,2):(504,1)	(502,2)	44000	10	20000	30	快	0	0	1500000	69900	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	亡灵使者，魂飞魄散	升蓝可得#C(#f3fc09)目标生命高于50%时，伤害提升20%#n被动技能	0	0	0	0	0	0					21	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	死神	2	9	2	6	3		40	0	0			0	蓝色	icoBg2	3	29	60	60	[(25677,25)]	0	9028	0	0	29	4023	4023	("HeroNormalSkill",(254,1))	(204,1)	[(502,1)]	(254,1):(204,1):(502,2)	(504,1)	(254,2):(204,2)	49500	10	22500	30	快	0	0	1500000	69900	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	亡灵使者，魂飞魄散	升紫后可#C(#f3fc09)第一回合使用群攻破甲#n技能	0	0	0	0	0	0					24	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	死神	2	10	2	6	4	25985,1	40	0	0			0	紫色	icoBg3	4	30	70	70	[(25677,50)]	29	9029	0	0	30	4023	4023	("HeroNormalSkill",(254,2))	(204,2)	[(502,1)]	(254,2):(204,2):(502,2)	(504,1)	(504,1)	55000	10	25000	30	快	0	0	1500000	69900	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	亡灵使者，魂飞魄散	升橙可得#C(#f3fc09)30%概率重置技能CD#n被动技能	0	0	0	0	0	0					27	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	死神	2	11	2	6	5	25985,3	40	0	0			0	橙色	icoBg5	5	0	70	70	[(25677,0)]	0	9030	0	0	0	4023	4023	("HeroNormalSkill",(254,2))	(204,2)	[(502,1), (504, 1)]	(254,2):(204,2):(502,2):(504,1)			82500	10	37500	30	快	1000	0	1500000	69900	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	亡灵使者，魂飞魄散		0	0	0	0	0	0					30	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	雷神	1	13	3	7	1		60	57000	500000			172800	白色	0	1	32	60	50	[(25678,1)]	0	9031	0	7	32	4016	4016	("HeroNormalSkill",(259,1))	(9999,1)	[]	(259,1)	(209,1):(501,2):(506,1)	(209,1)	33000	10	55000	30	快	0	0	1500000	69800	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	天神护体，万夫莫敌		0	0	0	0	0	0					36	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	雷神	1	14	3	7	2		60	0	0			0	绿色	icoBg1	2	33	70	60	[(25678,5)]	0	9032	0	0	33	4016	4016	("HeroNormalSkill",(259,1))	(209,1)	[]	(259,1):(209,1)	(501,2):(506,1)	(501,2)	36000	10	60000	30	快	0	0	1500000	69800	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	天神护体，万夫莫敌		0	0	0	0	0	0					42	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	雷神	1	15	3	7	3		60	0	0			0	蓝色	icoBg2	3	34	80	70	[(25678,25)]	0	9033	0	0	34	4016	4016	("HeroNormalSkill",(259,1))	(209,1)	[(501,1)]	(259,1):(209,1):(501,2)	(506,1)	(259,2):(209,2)	39000	10	65000	30	快	0	5000	1500000	69800	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	天神护体，万夫莫敌		0	0	0	0	0	0					48	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	雷神	1	16	3	7	4	25986,1	60	0	0			0	紫色	icoBg3	4	35	90	90	[(25678,50)]	34	9034	0	0	35	4016	4016	("HeroNormalSkill",(259,2))	(209,2)	[(501,1)]	(259,2):(209,2):(501,2)	(506,1)	(506,1)	42000	10	70000	30	快	0	5000	1500000	69800	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	天神护体，万夫莫敌		0	0	0	0	0	0					54	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	雷神	1	17	3	7	5	25986,3	60	0	0			0	橙色	icoBg5	5	0	90	90	[(25678,0)]	0	9035	0	0	0	4016	4016	("HeroNormalSkill",(259,2))	(209,2)	[(501,1), (506, 1)]	(259,2):(209,2):(501,2):(506,1)			63000	10	105000	30	快	0	5000	1500000	69800	0	500000	0	500000	0	5000000	0	0	0	20000000	0	0	0	天神护体，万夫莫敌		0	0	0	0	0	0					60	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	红袍女巫	3	13	3	8	1		60	101000	500000			172800	白色	0	1	37	60	50	[(25678,1)]	0	9036	0	8	37	5005	5005	("HeroNormalSkill",(260,1))	(9999,1)	[]	(260,1)	(210,1):(503,2):(505,1)	(210,1)	46750	10	41250	30	中等	0	0	1500000	50200	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	上古巫术，金刚不坏		0	0	0	0	0	0					36	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	红袍女巫	3	14	3	8	2		60	0	0			0	绿色	icoBg1	2	38	70	60	[(25678,5)]	0	9037	0	0	38	5005	5005	("HeroNormalSkill",(260,1))	(210,1)	[]	(260,1):(210,1)	(503,2):(505,1)	(503,2)	51000	10	45000	30	中等	0	0	1500000	50200	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	上古巫术，金刚不坏		0	0	0	0	0	0					42	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	红袍女巫	3	15	3	8	3		60	0	0			0	蓝色	icoBg2	3	39	80	70	[(25678,25)]	0	9038	0	0	39	5005	5005	("HeroNormalSkill",(260,1))	(210,1)	[(503,1)]	(260,1):(210,1):(503,2)	(505,1)	(260,2):(210,2)	55250	10	48750	30	中等	2000	0	1500000	50200	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	上古巫术，金刚不坏		0	0	0	0	0	0					48	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	红袍女巫	3	16	3	8	4	25986,1	60	0	0			0	紫色	icoBg3	4	40	90	90	[(25678,50)]	39	9039	0	0	40	5005	5005	("HeroNormalSkill",(260,2))	(210,2)	[(503,1)]	(260,2):(210,2):(503,2)	(505,1)	(505,1)	59500	10	52500	30	中等	2000	0	1500000	50200	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	上古巫术，金刚不坏		0	0	0	0	0	0					54	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	红袍女巫	3	17	3	8	5	25986,3	60	0	0			0	橙色	icoBg5	5	0	90	90	[(25678,0)]	0	9040	0	0	0	5005	5005	("HeroNormalSkill",(260,2))	(210,2)	[(503,1), (505, 1)]	(260,2):(210,2):(503,2):(505,1)			89250	10	78750	30	中等	2000	0	1500000	50200	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	上古巫术，金刚不坏		0	0	0	0	0	0					60	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	血族剑姬	2	13	3	9	1		60	155000	500000			172800	白色	0	1	42	60	50	[(25678,1)]	0	9041	0	9	42	5001	5001	("HeroNormalSkill",(257,1))	(9999,1)	[]	(257,1)	(207,1):(502,2):(504,1)	(207,1)	60500	10	27500	30	慢	0	0	1500000	30200	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	血之秘剑，横扫千军		0	0	0	0	0	0					36	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	血族剑姬	2	14	3	9	2		60	0	0			0	绿色	icoBg1	2	43	70	60	[(25678,5)]	0	9042	0	0	43	5001	5001	("HeroNormalSkill",(257,1))	(207,1)	[]	(257,1):(207,1)	(502,2):(504,1)	(502,2)	66000	10	30000	30	慢	0	0	1500000	30200	0	500000	0	500000	0	5000000	0	0	0	0	0	0	0	血之秘剑，横扫千军		0	0	0	0	0	0					42	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	血族剑姬	2	15	3	9	3		60	0	0			0	蓝色	icoBg2	3	44	80	70	[(25678,25)]	0	9043	0	0	44	5001	5001	("HeroNormalSkill",(257,1))	(207,1)	[(502,1)]	(257,1):(207,1):(502,2)	(504,1)	(257,2):(207,2)	71500	10	32500	30	慢	0	0	1500000	30200	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	血之秘剑，横扫千军		0	0	0	0	0	0					48	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	血族剑姬	2	16	3	9	4	25986,1	60	0	0			0	紫色	icoBg3	4	45	90	90	[(25678,50)]	44	9044	0	0	45	5001	5001	("HeroNormalSkill",(257,2))	(207,2)	[(502,1)]	(257,2):(207,2):(502,2)	(504,1)	(504,1)	77000	10	35000	30	慢	0	0	1500000	30200	0	500000	0	500000	0	20000000	0	0	0	0	0	0	0	血之秘剑，横扫千军		0	0	0	0	0	0					54	0	0	0		0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
