index	fightID	maxHp	name	haftBody	background	winScore
60	14060	63260000	烈焰女神 Lv60	5011	YZYXT_BG4	[80,60,40,20,10]
61	14061	65360000	亡灵使者 Lv61	4023	YZYXT_BG1	[80,60,40,20,10]
62	14062	67460000	炼狱领主 Lv62	5009	YZYXT_BG2	[80,60,40,20,10]
63	14063	69560000	震怒雷神 Lv63	4016	YZYXT_BG3	[80,60,40,20,10]
64	14064	71760000	烈焰女神 Lv64	5011	YZYXT_BG4	[80,60,40,20,10]
65	14065	73960000	亡灵使者 Lv65	4023	YZYXT_BG1	[80,60,40,20,10]
66	14066	76160000	炼狱领主 Lv66	5009	YZYXT_BG2	[80,60,40,20,10]
67	14067	78460000	震怒雷神 Lv67	4016	YZYXT_BG3	[80,60,40,20,10]
68	14068	80760000	烈焰女神 Lv68	5011	YZYXT_BG4	[80,60,40,20,10]
69	14069	83060000	亡灵使者 Lv69	4023	YZYXT_BG1	[80,60,40,20,10]
70	14070	85460000	炼狱领主 Lv70	5009	YZYXT_BG2	[80,60,40,20,10]
71	14071	87860000	震怒雷神 Lv71	4016	YZYXT_BG3	[80,60,40,20,10]
72	14072	90260000	烈焰女神 Lv72	5011	YZYXT_BG4	[80,60,40,20,10]
73	14073	92760000	亡灵使者 Lv73	4023	YZYXT_BG1	[80,60,40,20,10]
74	14074	95260000	炼狱领主 Lv74	5009	YZYXT_BG2	[80,60,40,20,10]
75	14075	97760000	震怒雷神 Lv75	4016	YZYXT_BG3	[80,60,40,20,10]
76	14076	100360000	烈焰女神 Lv76	5011	YZYXT_BG4	[80,60,40,20,10]
77	14077	102960000	亡灵使者 Lv77	4023	YZYXT_BG1	[80,60,40,20,10]
78	14078	105560000	炼狱领主 Lv78	5009	YZYXT_BG2	[80,60,40,20,10]
79	14079	108260000	震怒雷神 Lv79	4016	YZYXT_BG3	[80,60,40,20,10]
80	14080	110960000	烈焰女神 Lv80	5011	YZYXT_BG4	[80,60,40,20,10]
81	14081	113660000	亡灵使者 Lv81	4023	YZYXT_BG1	[80,60,40,20,10]
82	14082	116460000	炼狱领主 Lv82	5009	YZYXT_BG2	[80,60,40,20,10]
83	14083	119260000	震怒雷神 Lv83	4016	YZYXT_BG3	[80,60,40,20,10]
84	14084	122060000	烈焰女神 Lv84	5011	YZYXT_BG4	[80,60,40,20,10]
85	14085	124960000	亡灵使者 Lv85	4023	YZYXT_BG1	[80,60,40,20,10]
86	14086	127860000	炼狱领主 Lv86	5009	YZYXT_BG2	[80,60,40,20,10]
87	14087	130760000	震怒雷神 Lv87	4016	YZYXT_BG3	[80,60,40,20,10]
88	14088	133760000	烈焰女神 Lv88	5011	YZYXT_BG4	[80,60,40,20,10]
89	14089	136760000	亡灵使者 Lv89	4023	YZYXT_BG1	[80,60,40,20,10]
90	14090	139760000	炼狱领主 Lv90	5009	YZYXT_BG2	[80,60,40,20,10]
91	14091	142860000	震怒雷神 Lv91	4016	YZYXT_BG3	[80,60,40,20,10]
92	14092	145960000	烈焰女神 Lv92	5011	YZYXT_BG4	[80,60,40,20,10]
93	14093	149060000	亡灵使者 Lv93	4023	YZYXT_BG1	[80,60,40,20,10]
94	14094	152260000	炼狱领主 Lv94	5009	YZYXT_BG2	[80,60,40,20,10]
95	14095	155460000	震怒雷神 Lv95	4016	YZYXT_BG3	[80,60,40,20,10]
96	14096	158660000	烈焰女神 Lv96	5011	YZYXT_BG4	[80,60,40,20,10]
97	14097	161960000	亡灵使者 Lv97	4023	YZYXT_BG1	[80,60,40,20,10]
98	14098	165260000	炼狱领主 Lv98	5009	YZYXT_BG2	[80,60,40,20,10]
99	14099	168560000	震怒雷神 Lv99	4016	YZYXT_BG3	[80,60,40,20,10]
100	14100	17196000000	烈焰女神 Lv100	5011	YZYXT_BG4	[80,60,40,20,10]
