index	levelShow	level	needScore	money	reward	rewardShow
28	80,99	80	35400	0	[(26144,15),(25837,15),(26044,9),(26267,9)]	[(26144,15),(25837,15),(26044,9),(26267,9)]
29	80,99	80	44250	0	[(26144,20),(25837,20),(26044,12),(26267,12)]	[(26144,20),(25837,20),(26044,12),(26267,12)]
30	80,99	80	53100	0	[(26144,25),(25837,25),(26044,16),(26267,16)]	[(26144,25),(25837,25),(26044,16),(26267,16)]
1	100,119	100	125	500000	[(25641,12)]	[(25828,500000),(25641,12)]
2	100,119	100	255	550000	[(25641,15)]	[(25828,550000),(25641,15)]
3	100,119	100	680	600000	[(25641,18),(25664,7)]	[(25828,600000),(25641,18),(25664,7)]
4	100,119	100	1105	650000	[(25641,21),(25664,10)]	[(25828,650000),(25641,21),(25664,10)]
5	100,119	100	1615	700000	[(25641,24),(25664,13)]	[(25828,700000),(25641,24),(25664,13)]
6	100,119	100	2125	750000	[(25641,27),(25664,16),(25669,6)]	[(25828,750000),(25641,27),(25664,16),(25669,6)]
7	100,119	100	3060	800000	[(25641,30),(25664,19),(25669,9)]	[(25828,800000),(25641,30),(25664,19),(25669,9)]
8	100,119	100	4250	850000	[(25641,33),(25664,22),(25669,12)]	[(25828,850000),(25641,33),(25664,22),(25669,12)]
9	100,119	100	5100	900000	[(25641,36),(25664,25),(25669,15),(25674,4)]	[(25828,900000),(25641,36),(25664,25),(25669,15),(25674,4)]
10	100,119	100	5950	975000	[(25641,39),(25664,28),(25669,17),(25674,5)]	[(25828,975000),(25641,39),(25664,28),(25669,17),(25674,5)]
11	100,119	100	6800	0	[(25664,31),(25669,19),(25674,6),(26032,1)]	[(25664,31),(25669,19),(25674,6),(26032,1)]
12	100,119	100	7650	0	[(25664,34),(25669,21),(25674,7),(26032,2)]	[(25664,34),(25669,21),(25674,7),(26032,2)]
13	100,119	100	8500	0	[(25664,37),(25669,23),(25674,8),(26032,3)]	[(25664,37),(25669,23),(25674,8),(26032,3)]
14	100,119	100	10200	0	[(25669,25),(25674,9),(26032,4),(26266,1)]	[(25669,25),(25674,9),(26032,4),(26266,1)]
15	100,119	100	11900	0	[(25669,27),(25674,10),(26032,5),(26266,2)]	[(25669,27),(25674,10),(26032,5),(26266,2)]
16	100,119	100	13600	0	[(25669,29),(25674,11),(26032,6),(26266,3)]	[(25669,29),(25674,11),(26032,6),(26266,3)]
17	100,119	100	16150	0	[(25674,12),(26032,7),(26266,4),(26144,3)]	[(25674,12),(26032,7),(26266,4),(26144,3)]
18	100,119	100	18700	0	[(25674,13),(26032,8),(26266,5),(25837,3)]	[(25674,13),(26032,8),(26266,5),(25837,3)]
19	100,119	100	21250	0	[(25674,13),(26032,9),(26266,6),(26144,5)]	[(25674,13),(26032,9),(26266,6),(26144,5)]
20	100,119	100	23800	0	[(25674,13),(26032,10),(26266,7),(25837,5)]	[(25674,13),(26032,10),(26266,7),(25837,5)]
21	100,119	100	26350	0	[(26032,11),(26266,8),(26144,4),(25837,4)]	[(26032,11),(26266,8),(26144,4),(25837,4)]
22	100,119	100	28900	0	[(26032,12),(26266,9),(26144,5),(25837,5)]	[(26032,12),(26266,9),(26144,5),(25837,5)]
23	100,119	100	32300	0	[(26032,13),(26266,10),(26144,8),(25837,8)]	[(26032,13),(26266,10),(26144,8),(25837,8)]
24	100,119	100	35700	0	[(26032,14),(26266,12),(26144,7),(25837,7)]	[(26032,14),(26266,12),(26144,7),(25837,7)]
25	100,119	100	39100	0	[(26032,15),(26266,14),(26144,8),(25837,8)]	[(26032,15),(26266,14),(26144,8),(25837,8)]
26	100,119	100	42500	0	[(26144,10),(25837,10),(26044,3),(26267,3)]	[(26144,10),(25837,10),(26044,3),(26267,3)]
27	100,119	100	46750	0	[(26144,12),(25837,12),(26044,6),(26267,6)]	[(26144,12),(25837,12),(26044,6),(26267,6)]
28	100,119	100	51000	0	[(26144,15),(25837,15),(26044,9),(26267,9)]	[(26144,15),(25837,15),(26044,9),(26267,9)]
29	100,119	100	63750	0	[(26144,20),(25837,20),(26044,12),(26267,12)]	[(26144,20),(25837,20),(26044,12),(26267,12)]
30	100,119	100	76500	0	[(26144,25),(25837,25),(26044,16),(26267,16)]	[(26144,25),(25837,25),(26044,16),(26267,16)]
1	120,139	120	180	500000	[(25641,15)]	[(25828,500000),(25641,15)]
2	120,139	120	360	550000	[(25641,18)]	[(25828,550000),(25641,18)]
3	120,139	120	960	600000	[(25641,21),(25665,7)]	[(25828,600000),(25641,21),(25665,7)]
4	120,139	120	1560	650000	[(25641,24),(25665,10)]	[(25828,650000),(25641,24),(25665,10)]
5	120,139	120	2280	700000	[(25641,27),(25665,13)]	[(25828,700000),(25641,27),(25665,13)]
6	120,139	120	3000	750000	[(25641,30),(25665,16),(25670,6)]	[(25828,750000),(25641,30),(25665,16),(25670,6)]
7	120,139	120	4320	800000	[(25641,33),(25665,19),(25670,9)]	[(25828,800000),(25641,33),(25665,19),(25670,9)]
8	120,139	120	6000	850000	[(25641,36),(25665,22),(25670,12)]	[(25828,850000),(25641,36),(25665,22),(25670,12)]
9	120,139	120	7200	900000	[(25641,39),(25665,25),(25670,15),(25675,4)]	[(25828,900000),(25641,39),(25665,25),(25670,15),(25675,4)]
10	120,139	120	8400	975000	[(25641,42),(25665,28),(25670,17),(25675,5)]	[(25828,975000),(25641,42),(25665,28),(25670,17),(25675,5)]
11	120,139	120	9600	0	[(25665,31),(25670,19),(25675,6),(26032,1)]	[(25665,31),(25670,19),(25675,6),(26032,1)]
12	120,139	120	10800	0	[(25665,34),(25670,21),(25675,7),(26032,2)]	[(25665,34),(25670,21),(25675,7),(26032,2)]
13	120,139	120	12000	0	[(25665,37),(25670,23),(25675,8),(26032,3)]	[(25665,37),(25670,23),(25675,8),(26032,3)]
14	120,139	120	14400	0	[(25670,25),(25675,9),(26032,4),(26266,1)]	[(25670,25),(25675,9),(26032,4),(26266,1)]
15	120,139	120	16800	0	[(25670,27),(25675,10),(26032,5),(26266,2)]	[(25670,27),(25675,10),(26032,5),(26266,2)]
16	120,139	120	19200	0	[(25670,29),(25675,11),(26032,6),(26266,3)]	[(25670,29),(25675,11),(26032,6),(26266,3)]
17	120,139	120	22800	0	[(25675,12),(26032,7),(26266,4),(26144,3)]	[(25675,12),(26032,7),(26266,4),(26144,3)]
18	120,139	120	26400	0	[(25675,13),(26032,8),(26266,5),(25837,3)]	[(25675,13),(26032,8),(26266,5),(25837,3)]
19	120,139	120	30000	0	[(25675,13),(26032,9),(26266,6),(26144,5)]	[(25675,13),(26032,9),(26266,6),(26144,5)]
20	120,139	120	33600	0	[(25675,13),(26032,10),(26266,7),(25837,5)]	[(25675,13),(26032,10),(26266,7),(25837,5)]
21	120,139	120	37200	0	[(26032,11),(26266,8),(26144,4),(25837,4)]	[(26032,11),(26266,8),(26144,4),(25837,4)]
22	120,139	120	40800	0	[(26032,12),(26266,9),(26144,5),(25837,5)]	[(26032,12),(26266,9),(26144,5),(25837,5)]
23	120,139	120	45600	0	[(26032,13),(26266,10),(26144,8),(25837,8)]	[(26032,13),(26266,10),(26144,8),(25837,8)]
24	120,139	120	50400	0	[(26032,14),(26266,12),(26144,7),(25837,7)]	[(26032,14),(26266,12),(26144,7),(25837,7)]
25	120,139	120	55200	0	[(26032,15),(26266,14),(26144,8),(25837,8)]	[(26032,15),(26266,14),(26144,8),(25837,8)]
26	120,139	120	60000	0	[(26144,10),(25837,10),(26044,3),(26267,3)]	[(26144,10),(25837,10),(26044,3),(26267,3)]
27	120,139	120	66000	0	[(26144,12),(25837,12),(26044,6),(26267,6)]	[(26144,12),(25837,12),(26044,6),(26267,6)]
28	120,139	120	72000	0	[(26144,15),(25837,15),(26044,9),(26267,9)]	[(26144,15),(25837,15),(26044,9),(26267,9)]
29	120,139	120	90000	0	[(26144,20),(25837,20),(26044,12),(26267,12)]	[(26144,20),(25837,20),(26044,12),(26267,12)]
30	120,139	120	108000	0	[(26144,25),(25837,25),(26044,16),(26267,16)]	[(26144,25),(25837,25),(26044,16),(26267,16)]
1	140,159	140	240	600000	[(25641,18)]	[(25828,500000),(25641,18)]
2	140,159	140	480	650000	[(25641,21)]	[(25828,550000),(25641,21)]
3	140,159	140	1280	700000	[(25641,24),(27048,7)]	[(25828,600000),(25641,24),(27048,7)]
4	140,159	140	2080	750000	[(25641,27),(27048,10)]	[(25828,650000),(25641,27),(27048,10)]
5	140,159	140	3040	800000	[(25641,30),(27048,13)]	[(25828,700000),(25641,30),(27048,13)]
6	140,159	140	4000	850000	[(25641,33),(27048,16),(27049,6)]	[(25828,750000),(25641,33),(27048,16),(27049,6)]
7	140,159	140	5760	900000	[(25641,36),(27048,19),(27049,9)]	[(25828,800000),(25641,36),(27048,19),(27049,9)]
8	140,159	140	8000	950000	[(25641,39),(27048,22),(27049,12)]	[(25828,850000),(25641,39),(27048,22),(27049,12)]
9	140,159	140	9600	1000000	[(25641,42),(27048,25),(27049,15),(27050,4)]	[(25828,900000),(25641,42),(27048,25),(27049,15),(27050,4)]
10	140,159	140	11200	1075000	[(25641,45),(27048,28),(27049,17),(27050,5)]	[(25828,975000),(25641,45),(27048,28),(27049,17),(27050,5)]
11	140,159	140	12800	0	[(27048,31),(27049,19),(27050,6),(26032,1)]	[(27048,31),(27049,19),(27050,6),(26032,1)]
12	140,159	140	14400	0	[(27048,34),(27049,21),(27050,7),(26032,2)]	[(27048,34),(27049,21),(27050,7),(26032,2)]
13	140,159	140	16000	0	[(27048,37),(27049,23),(27050,8),(26032,3)]	[(27048,37),(27049,23),(27050,8),(26032,3)]
14	140,159	140	19200	0	[(27049,25),(27050,9),(26032,4),(26266,1)]	[(27049,25),(27050,9),(26032,4),(26266,1)]
15	140,159	140	22400	0	[(27049,27),(27050,10),(26032,5),(26266,2)]	[(27049,27),(27050,10),(26032,5),(26266,2)]
16	140,159	140	25600	0	[(27049,29),(27050,11),(26032,6),(26266,3)]	[(27049,29),(27050,11),(26032,6),(26266,3)]
17	140,159	140	30400	0	[(27050,12),(26032,7),(26266,4),(26144,3)]	[(27050,12),(26032,7),(26266,4),(26144,3)]
18	140,159	140	35200	0	[(27050,13),(26032,8),(26266,5),(25837,3)]	[(27050,13),(26032,8),(26266,5),(25837,3)]
19	140,159	140	40000	0	[(27050,13),(26032,9),(26266,6),(26144,5)]	[(27050,13),(26032,9),(26266,6),(26144,5)]
20	140,159	140	44800	0	[(27050,13),(26032,10),(26266,7),(25837,5)]	[(27050,13),(26032,10),(26266,7),(25837,5)]
21	140,159	140	49600	0	[(26032,11),(26266,8),(26144,4),(25837,4)]	[(26032,11),(26266,8),(26144,4),(25837,4)]
22	140,159	140	54400	0	[(26032,12),(26266,9),(26144,5),(25837,5)]	[(26032,12),(26266,9),(26144,5),(25837,5)]
23	140,159	140	60800	0	[(26032,13),(26266,10),(26144,8),(25837,8)]	[(26032,13),(26266,10),(26144,8),(25837,8)]
24	140,159	140	67200	0	[(26032,14),(26266,12),(26144,7),(25837,7)]	[(26032,14),(26266,12),(26144,7),(25837,7)]
25	140,159	140	73600	0	[(26032,15),(26266,14),(26144,8),(25837,8)]	[(26032,15),(26266,14),(26144,8),(25837,8)]
26	140,159	140	80000	0	[(26144,10),(25837,10),(26044,3),(26267,3)]	[(26144,10),(25837,10),(26044,3),(26267,3)]
27	140,159	140	88000	0	[(26144,12),(25837,12),(26044,6),(26267,6)]	[(26144,12),(25837,12),(26044,6),(26267,6)]
28	140,159	140	96000	0	[(26144,15),(25837,15),(26044,9),(26267,9)]	[(26144,15),(25837,15),(26044,9),(26267,9)]
29	140,159	140	120000	0	[(26144,20),(25837,20),(26044,12),(26267,12)]	[(26144,20),(25837,20),(26044,12),(26267,12)]
30	140,159	140	144000	0	[(26144,25),(25837,25),(26044,16),(26267,16)]	[(26144,25),(25837,25),(26044,16),(26267,16)]
1	160,179	160	300	600000	[(25641,21)]	[(25828,500000),(25641,21)]
2	160,179	160	600	650000	[(25641,24)]	[(25828,550000),(25641,24)]
3	160,179	160	1600	700000	[(25641,27),(27904,7)]	[(25828,600000),(25641,27),(27904,7)]
4	160,179	160	2600	750000	[(25641,30),(27904,10)]	[(25828,650000),(25641,30),(27904,10)]
5	160,179	160	3800	800000	[(25641,33),(27904,13)]	[(25828,700000),(25641,33),(27904,13)]
6	160,179	160	5000	850000	[(25641,36),(27904,16),(27905,6)]	[(25828,750000),(25641,36),(27904,16),(27905,6)]
7	160,179	160	7200	900000	[(25641,39),(27904,19),(27905,9)]	[(25828,800000),(25641,39),(27904,19),(27905,9)]
8	160,179	160	10000	950000	[(25641,42),(27904,22),(27905,12)]	[(25828,850000),(25641,42),(27904,22),(27905,12)]
9	160,179	160	12000	1000000	[(25641,45),(27904,25),(27905,15),(27906,4)]	[(25828,900000),(25641,45),(27904,25),(27905,15),(27906,4)]
10	160,179	160	14000	1075000	[(25641,48),(27904,28),(27905,17),(27906,5)]	[(25828,975000),(25641,48),(27904,28),(27905,17),(27906,5)]
11	160,179	160	16000	0	[(27904,31),(27905,19),(27906,6),(26032,1)]	[(27904,31),(27905,19),(27906,6),(26032,1)]
12	160,179	160	18000	0	[(27904,34),(27905,21),(27906,7),(26032,2)]	[(27904,34),(27905,21),(27906,7),(26032,2)]
13	160,179	160	20000	0	[(27904,37),(27905,23),(27906,8),(26032,3)]	[(27904,37),(27905,23),(27906,8),(26032,3)]
14	160,179	160	24000	0	[(27905,25),(27906,9),(26032,4),(26266,1)]	[(27905,25),(27906,9),(26032,4),(26266,1)]
15	160,179	160	28000	0	[(27905,27),(27906,10),(26032,5),(26266,2)]	[(27905,27),(27906,10),(26032,5),(26266,2)]
16	160,179	160	32000	0	[(27905,29),(27906,11),(26032,6),(26266,3)]	[(27905,29),(27906,11),(26032,6),(26266,3)]
17	160,179	160	38000	0	[(27906,12),(26032,7),(26266,4),(26144,3)]	[(27906,12),(26032,7),(26266,4),(26144,3)]
18	160,179	160	44000	0	[(27906,13),(26032,8),(26266,5),(25837,3)]	[(27906,13),(26032,8),(26266,5),(25837,3)]
19	160,179	160	50000	0	[(27906,13),(26032,9),(26266,6),(26144,5)]	[(27906,13),(26032,9),(26266,6),(26144,5)]
20	160,179	160	56000	0	[(27906,13),(26032,10),(26266,7),(25837,5)]	[(27906,13),(26032,10),(26266,7),(25837,5)]
21	160,179	160	62000	0	[(26032,11),(26266,8),(26144,4),(25837,4)]	[(26032,11),(26266,8),(26144,4),(25837,4)]
22	160,179	160	68000	0	[(26032,12),(26266,9),(26144,5),(25837,5)]	[(26032,12),(26266,9),(26144,5),(25837,5)]
23	160,179	160	76000	0	[(26032,13),(26266,10),(26144,8),(25837,8)]	[(26032,13),(26266,10),(26144,8),(25837,8)]
24	160,179	160	84000	0	[(26032,14),(26266,12),(26144,7),(25837,7)]	[(26032,14),(26266,12),(26144,7),(25837,7)]
25	160,179	160	92000	0	[(26032,15),(26266,14),(26144,8),(25837,8)]	[(26032,15),(26266,14),(26144,8),(25837,8)]
26	160,179	160	100000	0	[(26144,10),(25837,10),(26044,3),(26267,3)]	[(26144,10),(25837,10),(26044,3),(26267,3)]
27	160,179	160	110000	0	[(26144,12),(25837,12),(26044,6),(26267,6)]	[(26144,12),(25837,12),(26044,6),(26267,6)]
28	160,179	160	120000	0	[(26144,15),(25837,15),(26044,9),(26267,9)]	[(26144,15),(25837,15),(26044,9),(26267,9)]
29	160,179	160	150000	0	[(26144,20),(25837,20),(26044,12),(26267,12)]	[(26144,20),(25837,20),(26044,12),(26267,12)]
30	160,179	160	180000	0	[(26144,25),(25837,25),(26044,16),(26267,16)]	[(26144,25),(25837,25),(26044,16),(26267,16)]
