SkillResId	SkillRes	desc	spaceTrigger	targetDo	triggerFrame	catchRole	HurtEffect	FireCount	actiontype	SkillType	SkillTarget	SceneEffect	Time	MoveSpeed	Name	xuqiSkillEff	castskilleff	caseSkillEffTrigger	screeneff	hurtEff	back	is_shadow	bullet_length	isZhaoHuan
216	DiYuFuWangShiFa	五星防将主动技			15		DiYuFuWangShiFaShouJi	1	1	2	1	1	400	100		JianShiDaJiQian		10		1	1	0		
217		五星辅将主动技			15		HanBingNvWuShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
218	TuLongJianShengShiFaShouJi	六星攻将主动技1			15			1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
219	ShiFaKong	六星攻将主动技2	400		15		TianTangShengShiShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		0	1	0		
220	ShiFaKong	六星防将主动技			22		ShenYuanManWangShiFaShouJi	1	1	2	1	1	400	100		JianShiDaJiQian		10		1	1	0		
221	ShiFaKong	六星辅将主动技			15		KaPaiNvWangShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
222	ShiFaKong	七星攻将主动技			8		KuLouWangShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
223	ShiFaKong	七星辅助主动技			14		YueZhiJiSiShiFaShouJi	1	1	3	1		400	100		JianShiDaJiQian		10		0	0	0		
224	ShiFaKong	七星防将主动技			12		ShenWangZhiZiShiFaShouJi	1	1	2	1	1	400	100		JianShiDaJiQian		10		1	1	0		
225	DaTianShiShiFaShouJi	五星攻将大天使主动技			15			1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
229	ShiFaKong	八星辅将主动技1			14		DuoLuoTianShiShiFaShouJi01	1	1	3	1		400	100		JianShiDaJiQian		10		0	0	0		
230	ShiFaKong	八星辅将主动技2			14			1	1	3	1		400	100		DuoLuoTianShiShiFaShouJi02		10		0	0	0		1
231	ShiFaKong	八星防将主动技			10		ZhanShenXiongMaoShiFaShouJi	1	1	2	2		400	100		JianShiDaJiQian		10		0	1	0		
232	ShiFaKong	八星攻将主动技	500		15		SiWangQiShiShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
233	ShiFaKong	八星防将A主动技A			10		eigthshouji	1	0	2	2		400	100		JianShiDaJiQian		10		0	1	0		
234	ShiFaKong	八星防将A主动技B			10			1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
251	TianKongSheShouPTDanDao	一星攻将普通攻击(月光)			12		TianKongSheShouPTShouJi	1	0	1	0		400	60				10		0	1	0	270	
252	JMYHDanDao	一星辅将普通攻击(蛇牙)			12		JMYHPTShouJi	1	0	1	2		400	60				10		1	1	0	250	
253	ShiFaKong	一星防将普通攻击(致命突袭)			15		QiangBingPTShouJi	1	0	2	2		400	100				10		0	1	0		
254	ShiFaKong	二星攻将普通攻击(破魂)			15		SiShenPTShouJi	1	0	2	2		400	100				10		0	1	0		
255	NJSPTDanDao	二星辅将普通攻击(圣光)			8		NJSPTShouJi	1	0	1	2		400	50				10		0	1	0	180	
256	ShiFaKong	二星防将普通攻击(冲刺)			15		QiShiPTShouJi	1	0	2	2		400	100				10		0	1	0		
257	ShiFaKong	三星攻将普通攻击1(血祭)			15		XZJJPTShouJi	1	0	2	2		400	100				10		0	1	0		
258	ShiFaKong	三星攻将普通攻击2(阳炎攻击)			11		TaiYangShenPTShouJi	1	0	2	2		400	100				10		0	1	0		
259	LeiShenPTShouJi	三星防将普通攻击(雷电)			18			1	0	3	2		400	100				10		0	1	0		
260	HongPaoNvWuPTDanDao	三星辅将普通攻击(血色契约)			15		HongPaoNvWuPTShouJi	1	0	1	2		400	50				10		0	1	0	130	
261	ZongShenZhiWangPTShouJi	四星攻将普通攻击1(龙破斩)			16			1	0	3	2		400	100				10		0	1	0		
262	DaFaShiPTShouJi	四星攻将普通攻击2(惩戒)			10			1	0	3	2		400	100				10		0	1	0		
263	ShiFaKong	四星防将普通攻击(裂天长矛)			15		ZhanZhengZhiWangPTShouJi	1	0	2	2		400	100				10		0	1	0		
264	HuanShuYaoJiDanDao	四星辅将普通攻击(妖术)			10		HuanShuYaoJiPTShouJi	1	0	1	2		400	60				10		0	1	0	200	
265	LieYanZhanShiPTDanDao	五星攻将普通攻击			15		LieYanZhanShiPTShouJi	1	0	1	2		400	50				10		0	1	0	180	
266	ShiFaKong	五星防将普通攻击			15		DiYuFuWangPTShouJi	1	0	2	2		400	100				10		0	1	0		
267	HanBingNvWuPTShouJi	五星辅将普通攻击			15			1	0	3	2		400	100				10		0	1	0		
268	ShiFaKong	六星攻将普通攻击1			15		TuLongJianShengPTShouJi	1	0	2	2		400	100				10		0	1	0		
269	target	六星攻将普通攻击2			15		TongYongShouJi	1	0	3	2		400	100				10		0	1	0		
270	ShiFaKong	六星防将普通攻击			22		ShenYuanManWangPTShouJi	1	0	2	2		400	100				10		0	1	0		
271		六星辅将普通攻击			15		KaPaiNvWangPTShouJi	1	0	3	2		400	100				10		0	1	0		
272	ShiFaKong	七星攻将普通攻击			8		KuLouWangPTShouJi	1	0	3	2		400	100				10		0	1	0		
273	ShiFaKong	七星辅助普通攻击			20		YueZhiJiSiPTShouJi	1	0	2	2		400	100				10		0	1	0		
274	ShiFaKong	七星防将普通攻击			10		ShenWangZhiZiPTShouJi	1	0	2	2		400	100				10		0	1	0		
275	ShiFaKong	八星攻将普通攻击			20		SiWangQiShiPTShouJi	1	0	2	2		400	100				10		0	1	0		
276	ShiFaKong	八星辅助普通攻击			20		DuoLuoTianShiPTShouJi	1	0	3	2		400	100				10		0	1	0		
277	ShiFaKong	八星防将普通攻击			10		ZhanShenXiongMaoPTShouJi	1	0	2	2		400	100				10		0	1	0		
278	ShiFaKong	八星防将A普通攻击			10		eigthputong	1	0	2	2		400	100				10		0	1	0		
301	target	李天王眩晕技能			10		TongYongShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
302	target	五星辅将主动技			10		TongYongShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
303		哪吒单体加攻击			10			1	1	3	2		400	100		JianShiDaJiQian		10		1	1	0		
304	DaTianShiShiFaShouJi	大天使主动技			15			1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
305	ShiFaKong	大天使普通攻击			17		DaTianShiPTShouJi	1	0	2	2		400	100				10		1	1	0		
306	LingHunJianShiShiFaDandao	灵魂剑士主动技	1000	1	15		LingHunJianShiShiFaShouJi	1	1	3	2	1	400	50		JianShiDaJiQian		10		1	1	0		
307	ShiFaKong	灵魂剑士普通攻击			12		TongYongShouJi	1	0	2	2		400	100				10		0	1	0		
308	DaTianShiShiFaShouJi	攻击所有敌人			15			1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
309	target	九回合秒杀所有单位			10		TongYongShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
311	target	魔龙降临技能			10		TongYongShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
400	ShiFaKong	五星攻将主动技			15		lieyannvshenaoyisss	1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
401		五星辅将主动技			15		HanBingNvWuShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
402	ShiFaKong	六星防将主动技			22		shenyuanmanwangshoujisss	1	1	2	2	1	400	100		JianShiDaJiQian		10		1	1	0		
403	TuLongJianShengShiFaShouJi	六星攻将主动技1			15			1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
404	ShiFaKong	六星攻将主动技2	400		15		TianTangShengShiShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		0	1	0		
405	ShiFaKong	六星辅将主动技			15		KaPaiNvWangShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
406	ShiFaKong	七星攻将主动技	400		15		KuLouWangShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
407	ShiFaKong	七星辅助主动技			14		YueZhiJiSiShiFaShouJi	1	1	3	1		400	100		JianShiDaJiQian		10		0	0	0		
1001		关卡2BOSS治疗技能			10		NJSShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1002		关卡4BOSS秒3技能			10		SiShenShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
1003	ShiFaKong	关卡6BOSS吸血技能			16		QiangBingShiFaShouJi	1	1	2	2		400	100		JianShiDaJiQian		10		1	1	0		
1004	target	关卡8BOSS秒1技能			10		TongYongShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1005		关卡12BOSS治疗技能			10		NJSShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1006	TianKongSheShouJiNengShouJi	关卡14BOSS秒3技能			10			1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
1007	ShiFaKong	关卡16BOSS防御技能			10		QiShiShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1008	target	关卡17BOSS秒1技能			10		TongYongShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1009	ShiFaKong	关卡18BOSS加护罩技能			10		QiShiShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1010		关卡19BOSS单体治疗技能			10		NJSShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1011		关卡20BOSS给自己加攻击的技能			10			1	1	3	2		400	100		JianShiDaJiQian		10		1	1	0		
1012		关卡22BOSS给全体加攻击的技能			10		JMYHShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1013		关卡24BOSS治疗单体技能			10		NJSShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1014		关卡26BOSS治疗单体技能			10		NJSShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1015		关卡28BOSS提升防御技能			10			1	1	3	2		400	100		JianShiDaJiQian		10		1	1	0		
1016		关卡29BOSS治疗单体技能			10		NJSShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1017	LeiShenShiFaShouJi	关卡30BOSS攻击敌方全体			22			1	1	3	1	1,2	400	100		JianShiDaJiQian		10		1	1	0		
1018	target	关卡32BOSS秒1技能			10		TongYongShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		1	1	0		
1019		关卡34BOSS攻击敌方三个目标			10		SiShenShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
1020		关卡35BOSS治疗单体目标			10		NJSShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1021	ShiFaKong	关卡38BOSS给己方全体加护罩			10		HongPaoNvWuShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1022		关卡39BOSS治疗单体目标			10		NJSShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1023	target	关卡41BOSS秒1技能			10		TongYongShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		1	1	0		
1024	XZJJShiFa	关卡42BOSS攻击敌方全体目标			30			1	1	2	1	1,2	400	100		JianShiDaJiQian		10		1	1	0		
1025	ZongShenZhiWangShiFaShouJi	关卡46BOSS攻击敌方全体并爆罩子			22			1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
1026	target	关卡51BOSS秒1技能			10		TongYongShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		1	1	0		
1027	target	关卡52BOSS秒1技能			10		TongYongShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		1	1	0		
1028	target	关卡53BOSS秒1技能			10		TongYongShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1029	target	关卡54BOSS秒1技能			10		TongYongShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		1	1	0		
1030	target	关卡55BOSS秒1技能			10		TongYongShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		1	1	0		
1031	ShiFaKong	关卡56BOSS给己方全体加护罩			10		HongPaoNvWuShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1032	DiYuFuWangShiFa	关卡62BOSS攻击敌方全体并降低对方攻击			15		DiYuFuWangShiFaShouJi	1	1	2	1	1	400	100		JianShiDaJiQian		10		1	1	0		
1033		心魔炼狱小怪治疗单体技能			10		NJSShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1034	ShiFaKong	一星防将主动技(吸血攻击)			15		QiangBingShiFaShouJi	1	1	2	2		400	100		JianShiDaJiQian		10		1	1	0		
1035		一星辅将主动技(蝮蛇祝福)			10		JMYHShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1036		二星辅将主动技(神圣护佑)			10		NJSShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1037	LeiShenShiFaShouJi	三星防将主动技(闪电风暴)			22			1	1	3	1	1,2	400	100		JianShiDaJiQian		10		1	1	0		
1038	TianKongSheShouJiNengShouJi	一星攻将主动技(月神箭)			10			1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
1039		二星攻将主动技(恩赐解脱)			10		SiShenShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
1040	ShiFaKong	三星辅将主动技(鲜血护盾)			10		HongPaoNvWuShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1041	ShiFaKong	四星防将主动技(灵魂盾击)			15		ZhanZhengZhiWangShiFaShouJi	1	1	2	2	1	400	100		JianShiDaJiQian		10		1	1	0		
1042		四星辅将主动技(秘法回复)			10		HuanShuYaoJiShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1043	ZongShenZhiWangPTShouJi	四星攻将普通攻击1(龙破斩)			16			1	0	3	2		400	100				10		0	1	0		
1044	ShiFaKong	二星防将主动技(圣光护盾)			10		QiShiShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1045	ShiFaKong	三星辅将主动技(鲜血护盾)			10		HongPaoNvWuShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1046		四星辅将主动技(秘法回复)			10		HuanShuYaoJiShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1047	DiYuFuWangShiFa	五星防将主动技			15		DiYuFuWangShiFaShouJi	1	1	2	1	1	400	100		JianShiDaJiQian		10		1	1	0		
1048		三星攻将主动技2(剑刃风暴)			10		TaiYangShenShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
1049		五星辅将主动技			15		HanBingNvWuShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1050	DaFaShiShiFaShouJi	四星攻将主动技2(光击阵)			8			1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
1051	XZJJShiFa	三星攻将主动技1(魂之挽歌)			30			1	1	2	1	1,2	400	100		JianShiDaJiQian		10		1	1	0		
1052	ZongShenZhiWangShiFaShouJi	四星攻将主动技1(神王之怒)			22			1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
1053	LieYanZhanShiShiFaShouJi	五星攻将主动技			15			1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
1100	TuLongJianShengShiFaShouJi	六星攻将主动技1（怪物）			15			1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
1101	ShiFaKong	六星攻将主动技2			15		TianTangShengShiShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		0	1	0		
1102	ShiFaKong	六星防将主动技			22		ShenYuanManWangShiFaShouJi	1	1	2	1	1	400	100		JianShiDaJiQian		10		1	1	0		
1103	ShiFaKong	六星辅将主动技			15		KaPaiNvWangShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
1104		kaifuboss寒冰女巫			15		HanBingNvWuShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
2001	BeiMeiLanLongTuXi	蓝龙突袭			21	1		1	1	3	2	1,2	400	100			LZPXFaShiShiFa	10	JuLongTuXiName	1	0	1		
2002	ShiFaKong	护盾			10		BeiMeiHuDun	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
2003	ShiFaKong	保护			10		BeiMeiBaoHu	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
2004	BeiMeiHongLongTuXi	红龙突袭			21	1		1	1	3	2	1,2	400	100			LZPXFaShiShiFa	10	JuLongTuXiName	1	0	1		
2005	BeiMeiLongHou	龙吼						1	0	2	2	1	400	100	yingyongdaji	JianShiDaJiQian	JianShiDaJi	10		1	1	1		
2006	BeiMeiHuiMie	毁灭			48			1	1	3	1	1,2	400	100			LZPXJianShiShiFa	10	HuiMieLongXiName	1	1	1		
2007	BeiMeiLvLongTuXi	绿龙突袭			21	1		1	1	3	2	1,2	400	100			LZPXFaShiShiFa	10	JuLongTuXiName	1	0	1		
2008		伤害链接			10		BeiMeiShangHaiLianJie	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
2009		回血			10		BeiMeiHuiXue	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
3200	ShiFaKong	处女座女神主动技			25		NvShenChuNvZuoShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
3201	NvShenJinNiuZuoDanDao	金牛座女神主动技			12		NvShenJinNiuZuoShiFaShouJi	1	1	1	2		400	100				10		1	1	0	250	
3202	ShiFaKong	白羊座女神主动技			25		NvShenBaiYangZuoShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
3203	NvShenJuXieZuoDanDao	巨蟹座女神主动技			12		NvShenJuXieZuoShouJi	1	1	1	2		400	100				10		1	1	0	300	
3205	NvShenShuangZiZuoDanDao	双子座女神主动技	400		12		NvShenShuangZiZuoBingDongShouJi	1	1	1	2		400	100				10		1	1	0	250	
3204	ShiFaKong	狮子座女神主动技	400		12		NvShenShiZiZuoShouJi	1	1	1	2		400	100				10		1	1	0	210	
3206	ShiFaKong	摩羯座女神主动技			25		NvShenMoJieZuoShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
3207	ShiFaKong	双鱼座女神主动技			25		NvShenShuangYuZuoShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
410		堕落天使觉醒技能(秘法回复)			10		HuanShuYaoJiShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
411	ShiFaKong	绝对守护者觉醒技能			10			1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
331	ShiFaKong	混沌神域增加全体伤害			14		YueZhiJiSiShiFaShouJi	1	1	3	1		400	100		JianShiDaJiQian		10		0	0	0		
333	ShiFaKong	混沌神域造成伤害眩晕回复怒气			15		lieyannvshenaoyisss	1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
330		混沌神域攻击全体并减少怒气			10		SiShenShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
332	TianKongSheShouJiNengShouJi	混沌神域每2回合群攻一次			10			1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
337		混沌神域随机攻击目标并中毒			12			1	1	3	2		400	100		JianShiDaJiQian		10		1	1	0		
335	LeiShenShiFaShouJi	混沌神域减少当前血量70%			22			1	1	3	1	1,2	400	100		JianShiDaJiQian		10		1	1	0		
341		混沌神域全体加血			10		NJSShiFaShouJi	1	1	3	2		400	100		JianShiDaJiQian		10		0	0	0		
339	ShiFaKong	混沌神域打六下	500		15		SiWangQiShiShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
334	ShiFaKong	混沌神域概率伤害翻倍概率回血			8		KuLouWangShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
342	LingHunJianShiShiFaDandao	灵魂剑士技能	1000	1	15		LingHunJianShiShiFaShouJi	1	1	3	2	1	400	50		JianShiDaJiQian		10		1	1	0		
343	DaFaShiShiFaShouJi	大法师技能			8			1	1	3	2	1	400	100		JianShiDaJiQian		10		1	1	0		
346	ShiFaKong	天堂圣使技能	400		15		TianTangShengShiShiFaShouJi	1	1	3	2	1	400	100		JianShiDaJiQian		10		0	1	0		
344	TuLongJianShengShiFaShouJi	屠龙剑圣技能			15			1	1	3	1	1	400	100		JianShiDaJiQian		10		1	1	0		
345	ShiFaKong	战争之王技能			15		ZhanZhengZhiWangShiFaShouJi	1	1	2	2	1	400	100		JianShiDaJiQian		10		1	1	0		
