skillId	level	maxLevel	name	isAutoEquip	isKill	needRoleLv	needCareer	needRoleStar	needGrade	perSkillID	replaceSkillId	perSkillLevel	perSkillIDEx	perSkillLevelEx	fashionNomal	fashionSpecial	dragonVeinLevel	dragonVeinGrades	dragonBalls	starGirlStarLevel	needPro	levelUpName	levelUpEffect	levelUpNumber	skillPoint	coolCD	needMoral	upGradeNeedDesc	iconImg	desc	leveldesc
21	5	5	天使审判	1	0	120	2	0	2	21	21	4			[(1,3,19)]							JN_TextTSSP	JN_TextSHZJ	150	60		12	任一时装套装武器部件达到传说20星	jn190	向远处发出两道审判攻击，攻击#C(#00FF00)两次#n敌方前排随机#C(#00FF00)单体#n目标，造成巨大伤害，额外造成1500点伤害，消耗12点怒气值。	向远处发出两道审判攻击，攻击#C(#00FF00)两次#n敌方前排随机#C(#00FF00)单体#n目标，造成巨大伤害，额外造成1500点伤害，消耗12点怒气值。
24	1	5	魔龙狂袭	1	1	120	1	0		3	3	5	25	1							(27679,1)	JN_TextMLKX	JN_TextSHZJ	560	75	3	40	消耗魔龙狂袭技能书*1	jn200	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成3360点伤害，消耗40点怒气值。	
24	2	5	魔龙狂袭	1	1	125	1	0		24	24	1									(27684,1)	JN_TextMLKX	JN_TextSHZJ	560	75	3	40	消耗魔龙狂袭升级书一*1	jn200	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成3920点伤害，消耗40点怒气值。	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成3920点伤害，消耗40点怒气值。
24	3	5	魔龙狂袭	1	1	130	1	0		24	24	2									(27685,1)	JN_TextMLKX	JN_TextSHZJ	560	75	3	40	消耗魔龙狂袭升级书二*1	jn200	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成4480点伤害，消耗40点怒气值。	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成4480点伤害，消耗40点怒气值。
24	4	5	魔龙狂袭	1	1	135	1	0		24	24	3									(27686,1)	JN_TextMLKX	JN_TextSHZJ	560	75	3	40	消耗魔龙狂袭升级书三*1	jn200	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成5040点伤害，消耗40点怒气值。	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成5040点伤害，消耗40点怒气值。
24	5	5	魔龙狂袭	1	1	140	1	0	2	24	24	4									(27687,1)	JN_TextMLKX	JN_TextSHZJ	560	75	3	40	消耗魔龙狂袭升级书四*1	jn200	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成5600点伤害，消耗40点怒气值。	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成5600点伤害，消耗40点怒气值。
25	1	5	血焰流星	1	0	120	1	0		4	4	5	24	1							(27678,1)	JN_TextXYLX	JN_TextSHZJ	160	75		16	消耗正义血焰技能书*1	jn210	攻击敌方#C(#00FF00)全体#n目标，额外造成800点伤害，消耗16点怒气值。	
25	2	5	血焰流星	1	0	125	1	0		25	25	1									(27680,1)	JN_TextXYLX	JN_TextSHZJ	160	75		16	消耗正义血焰升级书一*1	jn210	攻击敌方#C(#00FF00)全体#n目标，额外造成960点伤害，消耗16点怒气值。	攻击敌方#C(#00FF00)全体#n目标，额外造成960点伤害，消耗16点怒气值。
25	3	5	血焰流星	1	0	130	1	0		25	25	2									(27681,1)	JN_TextXYLX	JN_TextSHZJ	160	75		16	消耗正义血焰升级书二*1	jn210	攻击敌方#C(#00FF00)全体#n目标，额外造成1120点伤害，消耗16点怒气值。	攻击敌方#C(#00FF00)全体#n目标，额外造成1120点伤害，消耗16点怒气值。
25	4	5	血焰流星	1	0	135	1	0		25	25	3									(27682,1)	JN_TextXYLX	JN_TextSHZJ	160	75		16	消耗正义血焰升级书三*1	jn210	攻击敌方#C(#00FF00)全体#n目标，额外造成1280点伤害，消耗16点怒气值。	攻击敌方#C(#00FF00)全体#n目标，额外造成1280点伤害，消耗16点怒气值。
25	5	5	血焰流星	1	0	140	1	0	2	25	25	4									(27683,1)	JN_TextXYLX	JN_TextSHZJ	160	75		16	消耗正义血焰升级书四*1	jn210	攻击敌方#C(#00FF00)全体#n目标，额外造成1440点伤害，消耗16点怒气值。	攻击敌方#C(#00FF00)全体#n目标，额外造成1440点伤害，消耗16点怒气值。
26	1	5	魔龙狂袭	1	1	120	2	0		13	13	5	27	1							(27679,1)	JN_TextMLKX	JN_TextSHZJ	560	75	3	40	消耗魔龙狂袭技能书*1	jn200	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成3360点伤害，消耗40点怒气值。	
26	2	5	魔龙狂袭	1	1	125	2	0		26	26	1									(27684,1)	JN_TextMLKX	JN_TextSHZJ	560	75	3	40	消耗魔龙狂袭升级书一*1	jn200	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成3920点伤害，消耗40点怒气值。	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成3920点伤害，消耗40点怒气值。
26	3	5	魔龙狂袭	1	1	130	2	0		26	26	2									(27685,1)	JN_TextMLKX	JN_TextSHZJ	560	75	3	40	消耗魔龙狂袭升级书二*1	jn200	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成4480点伤害，消耗40点怒气值。	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成4480点伤害，消耗40点怒气值。
26	4	5	魔龙狂袭	1	1	135	2	0		26	26	3									(27686,1)	JN_TextMLKX	JN_TextSHZJ	560	75	3	40	消耗魔龙狂袭升级书三*1	jn200	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成5040点伤害，消耗40点怒气值。	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成5040点伤害，消耗40点怒气值。
26	5	5	魔龙狂袭	1	1	140	2	0	2	26	26	4									(27687,1)	JN_TextMLKX	JN_TextSHZJ	560	75	3	40	消耗魔龙狂袭升级书四*1	jn200	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成5600点伤害，消耗40点怒气值。	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)必杀技#n，攻击敌方#C(#00FF00)单体#n目标，造成巨量伤害，额外造成5600点伤害，消耗40点怒气值。
27	1	5	血焰流星	1	0	120	2	0		14	14	5	26	1							(27678,1)	JN_TextXYLX	JN_TextSHZJ	160	75		16	消耗正义血焰技能书*1	jn210	攻击敌方#C(#00FF00)全体#n目标，额外造成800点伤害，消耗16点怒气值。	
27	2	5	血焰流星	1	0	125	2	0		27	27	1									(27680,1)	JN_TextXYLX	JN_TextSHZJ	160	75		16	消耗正义血焰升级书一*1	jn210	攻击敌方#C(#00FF00)全体#n目标，额外造成960点伤害，消耗16点怒气值。	攻击敌方#C(#00FF00)全体#n目标，额外造成960点伤害，消耗16点怒气值。
27	3	5	血焰流星	1	0	130	2	0		27	27	2									(27681,1)	JN_TextXYLX	JN_TextSHZJ	160	75		16	消耗正义血焰升级书二*1	jn210	攻击敌方#C(#00FF00)全体#n目标，额外造成1120点伤害，消耗16点怒气值。	攻击敌方#C(#00FF00)全体#n目标，额外造成1120点伤害，消耗16点怒气值。
27	4	5	血焰流星	1	0	135	2	0		27	27	3									(27682,1)	JN_TextXYLX	JN_TextSHZJ	160	75		16	消耗正义血焰升级书三*1	jn210	攻击敌方#C(#00FF00)全体#n目标，额外造成1280点伤害，消耗16点怒气值。	攻击敌方#C(#00FF00)全体#n目标，额外造成1280点伤害，消耗16点怒气值。
27	5	5	血焰流星	1	0	140	2	0	2	27	27	4									(27683,1)	JN_TextXYLX	JN_TextSHZJ	160	75		16	消耗正义血焰升级书四*1	jn210	攻击敌方#C(#00FF00)全体#n目标，额外造成1440点伤害，消耗16点怒气值。	攻击敌方#C(#00FF00)全体#n目标，额外造成1440点伤害，消耗16点怒气值。
