lv	yingxing	zuoqi	zhuangbei	baoshi	zhanbo	shenqi	fuwen	chibang	chongwu	hunjie	shengqi	shenlong	shuzhuang
152	5	1	5	1	1	3	2	2	2	1	3	2	3
153	5	1	5	1	1	3	2	2	2	1	3	2	3
154	5	1	5	1	1	3	2	2	2	1	3	2	3
155	5	1	5	1	1	3	2	2	2	1	3	2	3
156	5	1	5	1	1	3	2	2	2	1	3	2	3
157	5	1	5	1	1	3	2	2	2	1	3	2	3
158	5	1	5	1	1	3	2	2	2	1	3	2	3
159	5	1	5	1	1	3	2	2	2	1	3	2	3
160	5	1	5	1	1	3	2	2	2	1	3	2	3
161	5	1	5	1	1	3	2	1	1	1	3	1	3
162	5	1	5	1	1	3	2	1	1	1	3	1	3
163	5	1	5	1	1	3	2	1	1	1	3	1	3
164	5	1	5	1	1	3	2	1	1	1	3	1	3
165	5	1	5	1	1	3	2	1	1	1	3	1	3
166	5	1	5	1	1	3	2	1	1	1	3	1	3
167	5	1	5	1	1	3	2	1	1	1	3	1	3
168	5	1	5	1	1	3	2	1	1	1	3	1	3
169	5	1	5	1	1	3	1	1	1	1	3	1	3
170	5	1	5	1	1	3	1	1	1	1	3	1	3
171	5	1	5	1	1	3	1	1	1	1	3	1	3
172	5	1	5	1	1	3	1	1	1	1	3	1	3
173	5	1	5	1	1	3	1	1	1	1	3	1	3
174	5	1	5	1	1	3	1	1	1	1	3	1	3
175	5	1	5	1	1	3	1	1	1	1	3	1	3
176	5	1	5	1	1	3	1	1	1	1	3	1	3
177	5	1	5	1	1	3	1	1	1	1	3	1	3
178	5	1	5	1	1	3	1	1	1	1	3	1	3
179	5	1	5	1	1	3	1	1	1	1	3	1	3
