lv	zuoqiPY	zuoqiJH	baoshiXQ	baoshiFY	fuwenXQ	fuwenFY	zhanbu	zhanbuFY	chongwuPY	hunjieDZ	yuyiPY	yuyiJJ	xinglingSJ	xinglingSX	shizhuangSX	shizhuangJJ	shenlongJH	diaowenXQ	yingxiongJH
56	10	10	0	1	0	1	1	1	1	10	1	1	1	1	1	1	3	0	0
57	10	10	0	1	0	1	1	1	1	10	1	1	1	1	1	1	3	0	0
58	10	10	0	1	0	1	1	1	1	10	1	1	1	1	1	1	3	0	0
59	10	10	0	1	0	1	1	1	1	10	1	1	1	1	1	1	3	0	0
60	10	10	0	1	0	1	1	1	1	10	1	1	1	1	1	1	3	0	0
61	20	15	0	1	0	1	1	1	1	10	1	1	1	1	1	1	5	0	0
62	20	15	0	1	0	1	1	1	1	10	1	1	1	1	1	1	5	0	0
63	20	15	0	1	0	1	1	1	1	10	1	1	1	1	1	1	5	0	0
64	20	15	0	1	0	1	1	1	1	10	1	1	1	1	1	1	5	0	0
65	20	15	0	1	0	1	1	1	1	10	1	1	1	1	1	1	5	0	0
66	20	20	0	1	0	1	1	1	1	10	1	1	1	1	1	1	5	0	0
67	20	20	0	1	0	1	1	1	1	10	1	1	1	1	1	1	5	0	0
68	20	20	0	1	0	1	1	1	1	10	1	1	1	1	1	1	5	0	0
69	20	20	0	1	0	1	1	1	1	10	1	1	1	1	1	1	5	0	0
70	20	20	0	1	0	1	1	1	1	10	1	1	1	1	1	1	5	0	0
71	30	25	0	1	0	1	2	1	1	20	1	1	1	1	1	1	5	0	0
72	30	25	0	1	0	1	2	1	1	20	1	1	1	1	1	1	5	0	0
73	30	25	0	1	0	1	2	1	1	20	1	1	1	1	1	1	5	0	0
74	30	25	0	1	0	1	2	1	1	20	1	1	1	1	1	1	5	0	0
75	30	25	0	1	0	1	2	1	1	20	1	1	3	3	1	1	5	0	0
76	30	25	0	1	0	1	2	1	5	20	1	1	3	3	1	1	5	0	0
77	30	25	0	1	0	1	2	1	5	20	1	1	3	3	1	1	10	0	0
78	30	25	0	1	0	1	2	1	5	20	1	1	3	3	1	1	10	0	0
79	30	25	0	1	0	1	2	1	5	20	1	1	3	3	1	1	10	0	0
80	30	25	0	1	0	1	2	1	5	20	1	1	3	3	1	1	10	0	0
81	50	25	0	1	0	1	3	1	5	30	5	1	3	3	1	1	10	0	0
82	50	25	0	1	0	1	3	1	5	30	5	1	3	3	1	1	10	0	0
83	50	25	0	1	0	1	3	1	5	30	5	5	3	3	1	1	10	0	0
84	50	25	0	1	0	1	3	1	5	30	5	5	5	5	1	1	10	0	0
85	50	25	0	1	0	1	3	1	5	30	5	5	5	5	3	1	10	0	0
86	50	25	0	1	0	1	3	1	5	30	5	5	5	5	3	1	10	0	0
87	50	25	0	1	0	1	3	1	5	30	5	5	5	5	3	1	10	0	0
88	50	25	0	1	0	1	3	1	5	30	5	5	5	5	3	1	10	0	0
89	50	25	0	1	0	1	3	1	5	30	5	5	5	5	3	1	10	0	0
90	50	25	0	1	0	1	1	1	5	30	5	5	5	5	3	1	10	0	0
91	50	30	0	1	0	1	1	1	15	40	15	10	5	5	3	1	10	0	0
92	50	30	0	1	0	1	1	1	15	40	15	10	5	5	3	2	10	0	0
93	50	30	0	1	0	1	1	1	15	40	15	10	5	5	3	2	10	0	0
94	50	30	0	1	0	1	1	1	15	40	15	10	5	5	3	2	15	0	0
95	50	30	0	1	0	1	1	1	15	40	15	10	5	5	3	2	15	0	0
96	50	30	0	1	0	1	1	1	15	40	15	10	5	5	3	2	15	0	0
97	50	30	0	1	0	1	1	1	15	40	15	10	5	5	3	2	15	0	0
98	50	30	0	1	0	1	1	1	15	40	15	10	5	5	3	2	15	0	0
99	50	30	0	1	0	1	1	1	15	40	15	10	5	5	3	2	15	0	0
100	50	30	0	1	0	1	1	1	15	40	15	10	5	5	8	2	15	0	0
101	50	40	0	1	0	1	1	1	30	50	30	10	5	5	8	2	15	0	0
102	50	40	0	1	0	1	1	1	30	50	30	10	5	5	8	2	15	0	0
103	50	40	0	1	0	1	1	1	30	50	30	10	5	5	8	3	15	0	0
104	50	40	0	1	0	1	1	1	30	50	30	15	10	10	8	3	15	0	0
105	50	40	0	1	0	1	1	1	30	50	30	15	10	10	8	3	15	0	0
106	50	40	0	1	0	1	1	1	30	50	30	15	10	10	8	3	15	0	0
107	50	40	0	1	0	1	1	1	30	50	30	15	10	10	8	3	15	0	0
108	50	40	0	1	0	1	1	1	30	50	30	15	10	10	8	3	15	0	0
109	50	40	0	1	0	1	1	1	30	50	30	15	10	10	8	3	15	0	0
110	50	40	0	1	0	1	1	1	50	50	30	15	10	10	8	3	15	0	0
111	50	60	0	1	0	1	1	1	50	50	30	15	10	10	12	3	20	0	0
112	50	60	0	1	0	1	1	1	50	50	30	20	10	10	12	3	20	0	0
113	50	60	0	1	0	1	1	1	50	50	30	20	10	10	12	3	20	0	0
114	50	60	0	1	0	1	1	1	50	50	30	20	10	10	12	3	20	0	0
115	50	60	0	1	0	1	1	1	50	50	30	20	10	10	12	3	20	0	0
116	50	60	0	1	0	1	1	1	50	50	30	20	10	10	12	3	20	0	0
117	50	60	0	1	0	1	1	1	50	50	30	20	20	20	12	3	20	0	0
118	50	60	0	1	0	1	1	1	50	50	30	20	20	20	12	4	20	0	0
119	50	60	0	1	0	1	1	1	50	50	30	20	20	20	12	4	20	0	0
120	50	60	0	1	0	1	1	1	50	50	30	30	20	20	12	4	20	0	0
121	100	60	0	1	0	1	1	1	50	50	50	30	20	20	12	4	20	0	0
122	100	60	0	1	0	1	1	1	50	50	50	30	20	20	12	4	20	0	0
123	100	60	0	1	0	1	1	1	50	50	50	30	20	20	15	4	20	0	0
124	100	60	0	1	0	1	1	1	50	50	50	30	20	20	15	4	20	0	0
125	100	60	0	1	0	1	1	1	50	50	50	30	20	20	15	4	20	0	0
126	100	60	0	1	0	1	1	1	50	50	50	30	20	20	15	4	20	0	0
127	100	60	0	1	0	1	1	1	50	50	50	30	20	20	15	4	20	0	0
128	100	60	0	1	0	1	1	1	50	50	50	30	20	20	15	4	20	0	0
129	100	60	0	1	0	1	1	1	50	50	50	30	20	20	15	4	20	0	0
130	100	60	0	1	0	1	1	1	50	50	50	30	20	20	15	4	20	0	0
131	100	80	0	1	0	1	1	1	50	100	50	30	20	20	15	4	20	0	0
132	100	80	0	1	0	1	1	1	50	100	50	30	20	20	15	4	20	0	0
133	100	80	0	1	0	1	1	1	50	100	50	40	20	20	15	4	20	0	0
134	100	80	0	1	0	1	1	1	50	100	50	40	20	20	15	4	20	0	0
135	100	80	0	1	0	1	1	1	50	100	50	40	20	20	15	4	20	0	0
136	100	80	0	1	0	1	1	1	50	100	50	40	20	20	15	4	20	0	0
137	100	80	0	1	0	1	1	1	50	100	50	40	20	20	15	4	20	0	0
138	100	80	0	1	0	1	1	1	50	100	50	40	20	20	20	4	20	0	0
139	100	80	0	1	0	1	1	1	50	100	50	40	20	20	20	4	20	0	0
140	100	80	0	1	0	1	1	1	50	100	50	40	20	20	20	4	20	0	0
141	100	100	0	1	0	1	1	1	50	100	50	40	20	20	20	4	20	0	0
142	100	100	0	1	0	1	1	1	50	100	50	40	20	20	20	4	20	0	0
143	100	100	0	1	0	1	1	1	50	100	50	40	20	20	20	4	20	0	0
144	100	100	0	1	0	1	1	1	50	100	50	40	20	20	20	4	20	0	0
145	100	100	0	1	0	1	1	1	50	100	50	40	20	20	20	4	20	0	0
146	100	100	0	1	0	1	1	1	50	100	50	40	20	20	20	4	20	0	0
147	100	100	0	1	0	1	1	1	50	100	50	40	20	20	20	4	20	0	0
148	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
149	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
150	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
151	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
152	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
153	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
154	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
155	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
156	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
157	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
158	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
159	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
160	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
161	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
162	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
163	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
164	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
165	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
166	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
167	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
168	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
169	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
170	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
171	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
172	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
173	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
174	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
175	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
176	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
177	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
178	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
179	100	100	0	1	0	1	1	1	50	100	50	60	20	20	20	4	20	0	0
