posType	starNum	nextStar	needItem	minLucky	maxLucky	baseLucky	addLucky	Starcoding
2	15	16	[26677,5]	26	1650	0	(1,3)	28901
2	16	17	[26677,5]	34	3000	0	(1,3)	28901
2	17	18	[26677,5]	42	4872	0	(1,3)	28901
2	18	19	[26677,5]	48	6730	0	(1,3)	28901
3	0	1	[26677,1]	2	3	2750	(1,3)	28901
3	1	2	[26677,1]	2	3	2250	(1,3)	28901
3	2	3	[26677,1]	4	11	0	(1,3)	28901
3	3	4	[26677,2]	2	7	500	(1,3)	28901
3	4	5	[26677,2]	4	8	150	(1,3)	28901
3	5	6	[26677,2]	4	15	100	(1,3)	28901
3	6	7	[26677,3]	4	9	200	(1,3)	28901
3	7	8	[26677,3]	4	11	0	(1,3)	28901
3	8	9	[26677,3]	4	16	0	(1,3)	28901
3	9	10	[26677,3]	4	27	0	(1,3)	28901
3	10	11	[26677,4]	4	20	0	(1,3)	28901
3	11	12	[26677,4]	4	29	0	(1,3)	28901
3	12	13	[26677,4]	6	40	0	(1,3)	28901
3	13	14	[26677,4]	6	53	0	(1,3)	28901
3	14	15	[26677,5]	6	38	10	(1,3)	28901
3	15	16	[26677,5]	14	392	0	(1,3)	28901
3	16	17	[26677,5]	18	750	0	(1,3)	28901
3	17	18	[26677,5]	22	1140	0	(1,3)	28901
3	18	19	[26677,5]	24	1550	0	(1,3)	28901
4	0	1	[26677,1]	2	3	2750	(1,3)	28901
4	1	2	[26677,1]	2	3	2250	(1,3)	28901
4	2	3	[26677,1]	4	11	0	(1,3)	28901
4	3	4	[26677,2]	2	7	500	(1,3)	28901
4	4	5	[26677,2]	4	8	150	(1,3)	28901
4	5	6	[26677,2]	4	15	100	(1,3)	28901
4	6	7	[26677,3]	4	9	200	(1,3)	28901
4	7	8	[26677,3]	4	11	0	(1,3)	28901
4	8	9	[26677,3]	4	16	0	(1,3)	28901
4	9	10	[26677,3]	4	27	0	(1,3)	28901
4	10	11	[26677,4]	4	20	0	(1,3)	28901
4	11	12	[26677,4]	4	29	0	(1,3)	28901
4	12	13	[26677,4]	6	40	0	(1,3)	28901
4	13	14	[26677,4]	6	53	0	(1,3)	28901
4	14	15	[26677,5]	6	38	10	(1,3)	28901
4	15	16	[26677,5]	14	392	0	(1,3)	28901
4	16	17	[26677,5]	18	750	0	(1,3)	28901
4	17	18	[26677,5]	22	1140	0	(1,3)	28901
4	18	19	[26677,5]	24	1550	0	(1,3)	28901
37055	0	1	[28700,1]	4	11	0	(1,3)	28901
37055	1	2	[28700,1]	4	12	0	(1,3)	28901
37055	2	3	[28700,1]	6	55	0	(1,3)	28901
37055	3	4	[28700,2]	4	32	0	(1,3)	28901
37055	4	5	[28700,2]	6	41	0	(1,3)	28901
37055	5	6	[28700,2]	6	70	0	(1,3)	28901
37055	6	7	[28700,3]	6	44	10	(1,3)	28901
37055	7	8	[28700,3]	6	60	10	(1,3)	28901
37055	8	9	[28700,3]	6	81	0	(1,3)	28901
37055	9	10	[28700,3]	8	121	0	(1,3)	28901
37055	10	11	[28700,4]	8	98	0	(1,3)	28901
37055	11	12	[28700,4]	8	134	0	(1,3)	28901
37055	12	13	[28700,4]	10	180	0	(1,3)	28901
37055	13	14	[28700,4]	10	235	0	(1,3)	28901
37055	14	15	[28700,5]	10	170	10	(1,3)	28901
37055	15	16	[28700,5]	26	1650	0	(1,3)	28901
37055	16	17	[28700,5]	34	3000	0	(1,3)	28901
37055	17	18	[28700,5]	42	4872	0	(1,3)	28901
37055	18	19	[28700,5]	48	6730	0	(1,3)	28901
37056	0	1	[28700,1]	4	11	0	(1,3)	28901
37056	1	2	[28700,1]	4	12	0	(1,3)	28901
37056	2	3	[28700,1]	6	55	0	(1,3)	28901
37056	3	4	[28700,2]	4	32	0	(1,3)	28901
37056	4	5	[28700,2]	6	41	0	(1,3)	28901
37056	5	6	[28700,2]	6	70	0	(1,3)	28901
37056	6	7	[28700,3]	6	44	10	(1,3)	28901
37056	7	8	[28700,3]	6	60	10	(1,3)	28901
37056	8	9	[28700,3]	6	81	0	(1,3)	28901
37056	9	10	[28700,3]	8	121	0	(1,3)	28901
37056	10	11	[28700,4]	8	98	0	(1,3)	28901
37056	11	12	[28700,4]	8	134	0	(1,3)	28901
37056	12	13	[28700,4]	10	180	0	(1,3)	28901
37056	13	14	[28700,4]	10	235	0	(1,3)	28901
37056	14	15	[28700,5]	10	170	10	(1,3)	28901
37056	15	16	[28700,5]	26	1650	0	(1,3)	28901
37056	16	17	[28700,5]	34	3000	0	(1,3)	28901
37056	17	18	[28700,5]	42	4872	0	(1,3)	28901
37056	18	19	[28700,5]	48	6730	0	(1,3)	28901
37057	0	1	[28700,1]	2	3	2750	(1,3)	28901
37057	1	2	[28700,1]	2	3	2250	(1,3)	28901
37057	2	3	[28700,1]	4	11	0	(1,3)	28901
37057	3	4	[28700,2]	2	7	500	(1,3)	28901
37057	4	5	[28700,2]	4	8	150	(1,3)	28901
37057	5	6	[28700,2]	4	15	100	(1,3)	28901
37057	6	7	[28700,3]	4	9	200	(1,3)	28901
37057	7	8	[28700,3]	4	11	0	(1,3)	28901
37057	8	9	[28700,3]	4	16	0	(1,3)	28901
37057	9	10	[28700,3]	4	27	0	(1,3)	28901
37057	10	11	[28700,4]	4	20	0	(1,3)	28901
37057	11	12	[28700,4]	4	29	0	(1,3)	28901
37057	12	13	[28700,4]	6	40	0	(1,3)	28901
37057	13	14	[28700,4]	6	53	0	(1,3)	28901
37057	14	15	[28700,5]	6	38	10	(1,3)	28901
37057	15	16	[28700,5]	14	392	0	(1,3)	28901
37057	16	17	[28700,5]	18	750	0	(1,3)	28901
37057	17	18	[28700,5]	22	1140	0	(1,3)	28901
37057	18	19	[28700,5]	24	1550	0	(1,3)	28901
37058	0	1	[28700,1]	2	3	2750	(1,3)	28901
37058	1	2	[28700,1]	2	3	2250	(1,3)	28901
37058	2	3	[28700,1]	4	11	0	(1,3)	28901
37058	3	4	[28700,2]	2	7	500	(1,3)	28901
37058	4	5	[28700,2]	4	8	150	(1,3)	28901
37058	5	6	[28700,2]	4	15	100	(1,3)	28901
37058	6	7	[28700,3]	4	9	200	(1,3)	28901
37058	7	8	[28700,3]	4	11	0	(1,3)	28901
37058	8	9	[28700,3]	4	16	0	(1,3)	28901
37058	9	10	[28700,3]	4	27	0	(1,3)	28901
37058	10	11	[28700,4]	4	20	0	(1,3)	28901
37058	11	12	[28700,4]	4	29	0	(1,3)	28901
37058	12	13	[28700,4]	6	40	0	(1,3)	28901
37058	13	14	[28700,4]	6	53	0	(1,3)	28901
37058	14	15	[28700,5]	6	38	10	(1,3)	28901
37058	15	16	[28700,5]	14	392	0	(1,3)	28901
37058	16	17	[28700,5]	18	750	0	(1,3)	28901
37058	17	18	[28700,5]	22	1140	0	(1,3)	28901
37058	18	19	[28700,5]	24	1550	0	(1,3)	28901
37059	0	1	[26677,1]	4	11	0	(1,3)	28901
37059	1	2	[26677,1]	4	12	0	(1,3)	28901
37059	2	3	[26677,1]	6	55	0	(1,3)	28901
37059	3	4	[26677,2]	4	32	0	(1,3)	28901
37059	4	5	[26677,2]	6	41	0	(1,3)	28901
37059	5	6	[26677,2]	6	70	0	(1,3)	28901
37059	6	7	[26677,3]	6	44	10	(1,3)	28901
37059	7	8	[26677,3]	6	60	10	(1,3)	28901
37059	8	9	[26677,3]	6	81	0	(1,3)	28901
37059	9	10	[26677,3]	8	121	0	(1,3)	28901
37059	10	11	[26677,4]	8	98	0	(1,3)	28901
37059	11	12	[26677,4]	8	134	0	(1,3)	28901
37059	12	13	[26677,4]	10	180	0	(1,3)	28901
37059	13	14	[26677,4]	10	235	0	(1,3)	28901
37059	14	15	[26677,5]	10	170	10	(1,3)	28901
37059	15	16	[26677,5]	26	1650	0	(1,3)	28901
37059	16	17	[26677,5]	34	3000	0	(1,3)	28901
37059	17	18	[26677,5]	42	4872	0	(1,3)	28901
37059	18	19	[26677,5]	48	6730	0	(1,3)	28901
37060	0	1	[26677,1]	4	11	0	(1,3)	28901
37060	1	2	[26677,1]	4	12	0	(1,3)	28901
37060	2	3	[26677,1]	6	55	0	(1,3)	28901
37060	3	4	[26677,2]	4	32	0	(1,3)	28901
37060	4	5	[26677,2]	6	41	0	(1,3)	28901
37060	5	6	[26677,2]	6	70	0	(1,3)	28901
37060	6	7	[26677,3]	6	44	10	(1,3)	28901
37060	7	8	[26677,3]	6	60	10	(1,3)	28901
37060	8	9	[26677,3]	6	81	0	(1,3)	28901
37060	9	10	[26677,3]	8	121	0	(1,3)	28901
37060	10	11	[26677,4]	8	98	0	(1,3)	28901
37060	11	12	[26677,4]	8	134	0	(1,3)	28901
37060	12	13	[26677,4]	10	180	0	(1,3)	28901
37060	13	14	[26677,4]	10	235	0	(1,3)	28901
37060	14	15	[26677,5]	10	170	10	(1,3)	28901
37060	15	16	[26677,5]	26	1650	0	(1,3)	28901
37060	16	17	[26677,5]	34	3000	0	(1,3)	28901
37060	17	18	[26677,5]	42	4872	0	(1,3)	28901
37060	18	19	[26677,5]	48	6730	0	(1,3)	28901
37061	0	1	[26677,1]	2	3	2750	(1,3)	28901
37061	1	2	[26677,1]	2	3	2250	(1,3)	28901
37061	2	3	[26677,1]	4	11	0	(1,3)	28901
37061	3	4	[26677,2]	2	7	500	(1,3)	28901
37061	4	5	[26677,2]	4	8	150	(1,3)	28901
37061	5	6	[26677,2]	4	15	100	(1,3)	28901
37061	6	7	[26677,3]	4	9	200	(1,3)	28901
37061	7	8	[26677,3]	4	11	0	(1,3)	28901
37061	8	9	[26677,3]	4	16	0	(1,3)	28901
37061	9	10	[26677,3]	4	27	0	(1,3)	28901
37061	10	11	[26677,4]	4	20	0	(1,3)	28901
37061	11	12	[26677,4]	4	29	0	(1,3)	28901
37061	12	13	[26677,4]	6	40	0	(1,3)	28901
37061	13	14	[26677,4]	6	53	0	(1,3)	28901
37061	14	15	[26677,5]	6	38	10	(1,3)	28901
37061	15	16	[26677,5]	14	392	0	(1,3)	28901
37061	16	17	[26677,5]	18	750	0	(1,3)	28901
37061	17	18	[26677,5]	22	1140	0	(1,3)	28901
37061	18	19	[26677,5]	24	1550	0	(1,3)	28901
37062	0	1	[26677,1]	2	3	2750	(1,3)	28901
37062	1	2	[26677,1]	2	3	2250	(1,3)	28901
37062	2	3	[26677,1]	4	11	0	(1,3)	28901
37062	3	4	[26677,2]	2	7	500	(1,3)	28901
37062	4	5	[26677,2]	4	8	150	(1,3)	28901
37062	5	6	[26677,2]	4	15	100	(1,3)	28901
37062	6	7	[26677,3]	4	9	200	(1,3)	28901
37062	7	8	[26677,3]	4	11	0	(1,3)	28901
37062	8	9	[26677,3]	4	16	0	(1,3)	28901
37062	9	10	[26677,3]	4	27	0	(1,3)	28901
37062	10	11	[26677,4]	4	20	0	(1,3)	28901
37062	11	12	[26677,4]	4	29	0	(1,3)	28901
37062	12	13	[26677,4]	6	40	0	(1,3)	28901
37062	13	14	[26677,4]	6	53	0	(1,3)	28901
37062	14	15	[26677,5]	6	38	10	(1,3)	28901
37062	15	16	[26677,5]	14	392	0	(1,3)	28901
37062	16	17	[26677,5]	18	750	0	(1,3)	28901
37062	17	18	[26677,5]	22	1140	0	(1,3)	28901
37062	18	19	[26677,5]	24	1550	0	(1,3)	28901
