coding	name	wingCoding	wingId	needlevel	grade	posType	nameColor	suitId	canSell	salePrice	Idepro	FaileIdepro	needItem	idegorgeous	gorgeous	Basept1	Basepv1	Basept2	Basepv2	Starpt1	Starpv1	Starpt2	Starpv2	Uppt1	Uppv1	Uppt2	Uppv2	Jdpt1	Jdpv1	Jdpt2	Jdpv2	Jdpt3	Jdpv3	needLog	kinds	propsType	icon	sortLevel	miaoshu	doubleclick	jiaMi
37010	红粉佳人	26111	2	45	1	4	[蓝色,紫色,黄色,橙色,红色]	0	1	500	4500	500	[26676,1]	20	5	9	300	12	300	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	hongfenjiaren	709	<font color="#E6DFBB">红粉佳人羽翼部件，图鉴中选择并保存获得红粉佳人羽翼形象。所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买	ACTIVE_CLOTHES	1
37011	青衣之恋	26112	3	45	1	4	[蓝色,紫色,黄色,橙色,红色]	0	1	500	4500	500	[26676,1]	20	5	9	300	12	300	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	qingyizhilian	710	<font color="#E6DFBB">青衣之恋羽翼部件，图鉴中选择并保存获得青衣之恋羽翼形象。所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买	ACTIVE_CLOTHES	1
37012	蓝色妖姬	26113	4	45	1	4	[蓝色,紫色,黄色,橙色,红色]	0	1	500	4500	500	[26676,1]	20	5	9	300	12	300	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	lanseyaoji	711	<font color="#E6DFBB">蓝色妖姬羽翼部件，图鉴中选择并保存获得蓝色妖姬羽翼形象。所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买	ACTIVE_CLOTHES	1
37013	紫陌倾城	26114	5	45	1	4	[蓝色,紫色,黄色,橙色,红色]	0	1	500	4500	500	[26676,1]	20	5	9	300	12	300	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	zimoqingcheng	712	<font color="#E6DFBB">紫陌倾城羽翼部件，图鉴中选择并保存获得紫陌倾城羽翼形象。所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买	ACTIVE_CLOTHES	1
37014	血舞一生	26115	6	45	1	4	[蓝色,紫色,黄色,橙色,红色]	0	1	500	4500	500	[26676,1]	20	5	9	300	12	300	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	xuewuyisheng	713	<font color="#E6DFBB">血舞一生羽翼部件，图鉴中选择并保存获得血舞一生羽翼形象。所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买	ACTIVE_CLOTHES	1
37015	璀璨人生	26116	7	45	1	4	[蓝色,紫色,黄色,橙色,红色]	0	1	500	4500	500	[26676,1]	20	5	9	300	12	300	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	cuicanrensheng	714	<font color="#E6DFBB">璀璨人生羽翼部件，图鉴中选择并保存获得璀璨人生羽翼形象。所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买	ACTIVE_CLOTHES	1
37016	蓝色魅力	26117	8	45	1	4	[蓝色,紫色,黄色,橙色,红色]	0	1	500	4500	500	[26676,1]	20	5	9	300	12	300	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	lanshemeili	715	<font color="#E6DFBB">蓝色魅力羽翼部件，图鉴中选择并保存获得蓝色魅力羽翼形象。所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买	ACTIVE_CLOTHES	1
37017	倾城之恋	26118	9	45	1	4	[蓝色,紫色,黄色,橙色,红色]	0	1	500	4500	500	[26676,1]	20	5	9	300	12	300	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	qingchengzhilian	716	<font color="#E6DFBB">倾城之恋羽翼部件，图鉴中选择并保存获得倾城之恋羽翼形象。所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>精彩活动	ACTIVE_CLOTHES	1
37018	幽影		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	3	1	500	4500	500	[26676,1]	20	5	4	525	6	525	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	szwuqi3	717	<font color="#E6DFBB">万圣节套装-武器部件,图鉴中选择并保存获得万圣节武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37019	幽灵		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	3	1	500	4500	500	[26676,1]	20	8	1	1575	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	szyifu3	718	<font color="#E6DFBB">万圣节套装-衣服部件,图鉴中选择并保存获得万圣节衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37020	幽鬼		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	3	1	500	4500	500	[26676,1]	20	5	8	330	13	280	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	szmaozi3	719	<font color="#E6DFBB">万圣节套装-帽子部件,图鉴中选择并保存获得万圣节帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商城购买<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37021	贵族之灵		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	4	1	500	4500	500	[26676,1]	20	5	4	600	6	600	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	szwuqi4	720	<font color="#E6DFBB">贵族套装-武器部件,图鉴中选择并保存获得贵族武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>龙骑神殿许愿池<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37022	贵族礼服		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	4	1	500	4500	500	[26676,1]	20	8	1	1800	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	szyifu4	721	<font color="#E6DFBB">贵族套装-衣服部件,图鉴中选择并保存获得贵族衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>圣辉城许愿池<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37023	贵族时尚		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	4	1	500	4500	500	[26676,1]	20	5	8	360	13	360	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	szmaozi4	722	<font color="#E6DFBB">贵族套装-帽子部件,图鉴中选择并保存获得贵族帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>精灵大陆许愿池<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37024	卡牌之心		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	5	1	500	4500	500	[26676,1]	20	5	4	600	6	600	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	kpwuqi1	723	<font color="#E6DFBB">卡牌套装-武器部件,图鉴中选择并保存获得卡牌武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>神秘商店<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37025	卡牌异装		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	5	1	500	4500	500	[26676,1]	20	8	1	1800	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	kpyifu1	724	<font color="#E6DFBB">卡牌套装-衣服部件,图鉴中选择并保存获得卡牌衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>神秘商店<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37026	卡牌魅惑		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	5	1	500	4500	500	[26676,1]	20	5	8	400	13	320	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	kpmaozi1	725	<font color="#E6DFBB">卡牌套装-帽子部件,图鉴中选择并保存获得卡牌帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>神秘商店<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37027	圣诞糖果		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	6	1	500	4500	500	[26676,1]	20	8	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	shengdantangguo	726	<font color="#E6DFBB">圣诞套装-武器部件,图鉴中选择并保存获得圣诞武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商店购买<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37028	圣诞礼服		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	6	1	500	4500	500	[26676,1]	20	8	1	3000	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	shengdanlifu	727	<font color="#E6DFBB">圣诞套装-衣服部件,图鉴中选择并保存获得圣诞衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商店购买<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37029	圣诞麋鹿		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	6	1	500	4500	500	[26676,1]	20	8	8	1000	13	1000	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	shengdanmilu	728	<font color="#E6DFBB">圣诞套装-帽子部件,图鉴中选择并保存获得圣诞帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>商店购买<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37030	圣光之舞		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	0	1	500	4500	500	[26676,1]	20	5	4	550	6	550	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	hhlzwq	729	<font color="#E6DFBB">活动专属-武器部件,图鉴中选择并保存获得圣光之舞武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动专属时装武器<br><font color="#cc6633">该部件没有套装属性</font>	ACTIVE_CLOTHES	1
37031	情人玫瑰		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	7	1	500	4500	500	[26676,1]	20	8	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	qingrenjiewuqi	730	<font color="#E6DFBB">情人套装-武器部件,图鉴中选择并保存获得情人武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37032	情人之心		0	45	1	2	[蓝色,紫色,黄色,橙色,红色]	7	1	500	4500	500	[26676,1]	20	8	1	3000	0	0	1	[0,150,330,540,780,1050,1350,1680,2040,2430,2850,3300,3780,4290,4830,5400,6000,6630,7290,7980]	0	0	1	[0,150,300,450,600]	0	0	1	[1452,2916,4404,5862,7296]	11	[100,220,350,500,700]	0	0	1	12	14	qingrenjieyifu	731	<font color="#E6DFBB">情人套装-衣服部件,图鉴中选择并保存获得情人衣服形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37033	情人之灵		0	45	1	3	[蓝色,紫色,黄色,橙色,红色]	7	1	500	4500	500	[26676,1]	20	8	8	1000	13	1000	8	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	13	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	8	[0,30,60,90,120]	13	[0,30,60,90,120]	8	[400,800,1200,1600,2000]	13	[400,800,1200,1600,2000]	0	0	1	12	14	qingrenjietoufa	732	<font color="#E6DFBB">情人套装-帽子部件,图鉴中选择并保存获得情人帽子形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37034	情人之翼	27866	12	45	1	4	[蓝色,紫色,黄色,橙色,红色]	7	1	500	4500	500	[26676,1]	20	5	9	500	12	500	9	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	12	[0,30,66,108,156,210,270,336,408,486,570,660,756,858,966,1080,1200,1326,1458,1596]	9	[0,30,60,90,120]	12	[0,30,60,90,120]	9	[400,800,1200,1600,2000]	12	[400,800,1200,1600,2000]	0	0	1	12	14	qingrenjiechibang	733	<font color="#E6DFBB">情人套装-羽翼部件,图鉴中选择并保存获得情人羽翼形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
37035	万事如意		0	45	1	1	[蓝色,紫色,黄色,橙色,红色]	8	1	500	4500	500	[26676,1]	20	8	4	1000	6	1000	4	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	6	[0,50,110,180,260,350,450,560,680,810,950,1100,1260,1430,1610,1800,2000,2210,2430,2660]	4	[0,50,100,150,200]	6	[0,50,100,150,200]	4	[484,972,1468,1954,2432]	6	[484,972,1468,1954,2432]	10	[100,220,350,500,700]	1	12	14	chunjiewuqi	734	<font color="#E6DFBB">春节套装-武器部件,图鉴中选择并保存获得春节武器形象；所有时装的基础属性（主角）可以叠加生效。<br>获取：</font>活动获取<br><font color="#cc6633">各时装套装属性可叠加同时生效。</font>	ACTIVE_CLOTHES	1
